	average	hotel clean &amp; well presented. easy access to 02 dlr then one tube stop. room service meal was very poor over priced &amp; not very good. breakfast also poor £17 per person for lukewarm cooked breakfast not ideal.	
Oct 1 2009 	cliff richard show	We stayed at the Radisson Edwardian for one night , excellent location , good service , good position for the O2 arean, breafastfast was good nice view of the river thames, not far from the tower, can go by river or train. Good value for money.	
Oct 1 2009 	A total waste of money	I attended a reunion function at the weekend for doctors who trained at the Royal Free. Having stayed at Radissons in Glasgow and elsewhere I expected a certain level of service and care from this hotel. I could not have been more wrong. Just note anybody who is going there, they will make a service charge for paying for drinks at the bar (12.5%). When I questioned the general manager I was told that on the receipt it says it is discrectionary but I did not receive the bill until AFTER I had paid! There are NO signs saying there was an optional service charge going to be made. When I said this to the general manager he made no comment. At the table a friend and I ordered wine, after paying for this I noticed they had brought the wrong white wine. I was told I had incorrectly placed the order, yet we had both told the waiter and pointed out to him what we wanted. He told me it didn't matter as we would not be able to taste the difference!!! I asked him to bring the wine list over as I had told him which number and I wanted to prove to him that we had ordered correctly. He disappeared and never returned. And we were charged 12.5% service charge for this treatment. A consultant on our table wanted to share a glass of wine with a colleague but all the glasses had been cleared away, when he asked for some new glasses he was told that they were all in the dishwasher and there were no more available (this gets more strange by the minute). When he insisted, the waiter brought A tumbler. Another friend buying drinks at the bar was charged 3 different prices for the same drink! The meal was unbelieveable, the starter a diabolical smoked fish dish followed by at best what could only described as a mediocre main course and the pudding, what can I say. This was a poached pear but not like any poached pear I had ever tasted before. It was so unripe and uncooked we had to try and cut this with a knife and fork (and with difficulty)! If we were not with so many friends and colleagues I would have strongly complained then and there but I left it until the Monday. The general manager asked me to put it in writing on an email, which I did but as yet I have had no reply. I intend to contact the rest of people who attended and get their views (I already know many that have already complained to me). This was not an isolated incident as everyone else experienced the same kind of prob lems and worse.	
Sep 24 2009 	Excelent hotel with excelent staff	We stayed here as we were going to a show in the O2. This was our first visit to this hotel and I must say how impressed we were with the service we received. The staff were extremely friendly and efficient. When we checked in, our room had been upgraded to a suite which was a nice surprise! The quality of the room and bathroom were superb and we definitely would recommend this hotel.	
Sep 15 2009 	good customer service - yeah right!	Me and my partner arrived at this hotel, looked pleasant and we thought we would have the best weekend ever! Oh wrong were we! The valet service parked our car for us, checked in and stayed in a one bedroom suite. Rooms were nice, clean, spacious.. everything we were expecting... Then the problems started!I had booked a take two package at the recommended spa, which looked beautiful.. but left my partner feeling relaxed on only one side of his body! The full body massage he recieved for some reason only meant massaging one leg not the other - which is funny as being a qualified beauty therapist i am 100% sure a full body massage involves massaging both legs not just one. This was presented as a misunderstanding on part of the therapist as she could not understand english properly when my partner said only his ankle was to be massaged lightly. After getting ready to go out in the evening, we made a call to reception to bring our car to the front.. only to be told that the car was not starting! After going to see whats wrong with the car (as we had arrived to the hotel in the same car with no problems), my partner was spoken to very rudely by the duty manager called Tibor. We were told its our fault that the car did not start, as their valet service could not have done anything wrong! On inspecting the car, my partner found the lights in the car were left on (which we did not switch on as we had arrived in daylight) effectively killing the car battery. We were still told it was our fault! To top it off, Tibor started giving his own advice as to what he thought we did to the car ( as he obviously was a trained mechanic ). After waiting around for ages, and being talked down to by this manager, we were finally called a cab to take us to where we should have been an hour earlier. When staying at a hotel with such a well known brand name attached to it, one would expect impeccible customer service and a pleasant stay, both of which we did not recieve. The next day we had to wait extra hours for a mechanic that was called out by us, NOT the hotel (as they did not believe it was their fault.) During these extra hours, trying to get a hold of room service was also a difficult process. The phone was answered after ringing them three times, only to find that the menu in our room was for monday not for sunday. So we were told the menu on the phone - very professional! Only on the mechanic stating that the hotel was at fault for the car fiasco where we given a quick apology, and a free upgrade when we book and PAY for a room next time we stay. My partner and I were expecting to have a luxurious relaxing getaway this weekend, which turned out to be a total disaster due to the rude customer service from the manager of the hotel, the delayed room service (may i add it took over an hour for room service to deliver 2 bottles of water) and half a full body massage at full price. But on a positive note.. the room was beautiful.. if thats all you look for when booking a room at radisson.	
Sep 14 2009 	Wonderful hotel	Stayed there on a long weekend. The best hotel I have ever stayed in. Rooms are beautiful. Bathrooms are outstanding. Staff are excellent. Great location. Would definitely stay there again.	
Sep 10 2009 	perfect stay	stayed for two nights at this Hotel, from check in to check out every part of my stay was perfection. The room was large and exceptionally clean. Breakfast was delicious the best ive ever had and staff were always courteous and professional. Would definately stay again when next in London.	
Sep 8 2009 	beautiful	stayed in this hotel in june and i can honestly say its by far the nicest hotel iv stayed in. we were greeted at the door and welcomed to the hotel. on the first nite of our stay we were going to a concert at the o2. we went to the front dest and asked if someone could phone us a cab, expecting a black taxi to come and pick us up, little did we know that we had our own private driver to escort us to the o2, and pick us up again. i felt like royalty.the rooms are very modern, the bathrooms are gorgeous, and the staff really go out of their way for you, will always come back here.	
Sep 7 2009 	Great for a week-end break	We have just returned from a weekend in London. After checking Trip Advisor, we decided upon this hotel and I'm glad we did.The rates offered at weekends are very good and our first impression as we walked into the lobby was positive. The contemporary, clean decor was continued in our room. There was, in my opinion, a real attention to detail and the bathroom was fab. We were in a 'basic' room and I was extremely impressed. I'd definitely pay for the upgrade if I stayed here again!On the Friday evening we decided to eat in the restaurant, as it was getting late. There was a great atmosphere, the food was good and so was the service.Greenwich Park is a mile and a half from the hotel - we ran there on Saturday morning - but it would make a great outing. There are plenty of shops and cafes. The view of London is fabulous. Blackwall DLR is a five minute (maximum) walk - I was a little concerned when I read about scary walks back to the hotel in a review. However, we never felt there was a problem. On the Saturday night we walked back from Blackwall at gone eleven pm. It was well lit and felt safe to us.In my opinion, this is a lovely hotel with high standards. I would recommend it to friends without hesitation.	
Sep 3 2009 	Superb Hotel in a Great Location	We spent 3 nights at this hotel and have to say value for money it was the best hotel we had stayed in whilst in London. We enjoyed a superior room with a view of the Dome. The room was spacious, and very modern. All areas of the hotel were spotless, the staff were extremely polite and helpful. Location was superb, 10 minutes walk to a tube station or into Canary Wharf itself. I can't praise it enough.	
Aug 27 2009 	Don't be Tempted by Low Rates	Stayed here on a four-day sight-seeing trip. Hotel looked nice, and offered cheap rates, so went ahead and booked. Location though is terrible. You think you're by Canary Wharf, but in fact, you're a good 20 minute walk away from Canary Wharf/Jubilee Line/shops/restaurants. Nothing really around the hotel. With cab and Tube fares, and scary walks from Canary Wharf to hotel, you're better off staying closer to the city. Other problem was service. Every time I had an interaction with staff, left very unimpressed. What really steamed me was that I needed a cab to the airport early morning. Called concierge for help, since there was five of us. Told me only alternative was a 90 quid ride in a black cab. Asked if there was a cheaper alternative, he said no. While out, picked up a free flyer, called a cab company that had an advert. They picked me up in a van, friendly driver, 55 quid. Really, isn't that what a concierge is for? Just felt like the bloke had no clue, either that or had no desire to help. Bad enough to be staying in the middle of nowhere, don't need to compound with bad service.	
Aug 27 2009 	One of the best hotels in London	The bedrooms allocated were &quot;absolutely beautiful&quot; the bathrooms elegant with great views of the O2 and surrounding area. The service at check in and checkout was very fast and efficient, Valet parking, so we didn't have to worry about parking the car.Bar - very quick and friendly service. Cleanliness of the rooms was outstanding. Breakfast was brilliant! The fact that breakfast is served until 11.30am at the weekend meant that we didn't feel rushed, a great end to a perfect stay. We had booked three bedrooms on a corporate stay with clients. I would recommend this hotel when wanting to impress your very best clients without a doubt!The New providence is most definitely one of the best hotels in London.	
Aug 26 2009 	Great Hotel	Great hotel in Docklands. Easy access to DLR and London City Airport. Rooms very new and comfortable. Free wireless internet access. I got a rate of 80 GBP per night from Radisson website which was outstanding value. Highly recommend	
Aug 24 2009	Super views - super hotel	I enjoyed a weekend stay at this wonderful hotel. I booked a junior suite which had fantastic views from the floor to ceiling curved windows and a bathroom straight out of a fashionable magazine, complete with walk-in shower, luxury bath and twin washbasins.The hotel is tucked away at Providence Wharf but lies close to a DLR Station.The O2 building lies on the other side of the river - photos attached.Staff were very friendly, the bar was great with a super choice of cocktails. Breakfast was plentiful and very tasty!Stay here for the super rooms!	
Aug 24 2009 	Stylish and comfortable stay	Service on checking in and in the bar was excellent, breakfast was a little slow but we weren't in a hurry so not a problem. The room was very comfortable, apart from the sofa which was a bit &quot;upright&quot;, and the laminate flooring just gave it a slightly less luxurious feel although appreciate that it's practical. Unfortunately the TV in the bathroom didn't work and the aircon was a bit on the noisy side. The location is nice and quiet and good views/impressive surroundings, i found it convenient and relaxing although some might prefer to be closer to the hubbub of the west end. I love the decor in the rooms and other areas of the hotel, but all the bathrooms/mirrors are just a little on the dark side, which is in keeping with the decor and more flattering!	
Aug 23 2009 	Great modern hotel	Hotel itself very impressive. Having booked this hotel because of the views across the river we were disappointed to be given a room overlooking the car park. Also when checking in, the couple next to us were given a free upgrade because it was their anniversary but even though we had already told the guy who was checking us in that it was our anniversary, we were not offered any upgrade, which was disappointing. However, the room itself WAS lovely, very comfortable big bed, flat screen TV, Wifi access, all mod cons and the bathroom was fantastic, very modern and stylish.. The spa facilities were fab, a great place for a relaxing break, although this hotel does NOT have a pool as stated on some websites. The shuttle boat across to the O2 was a nice bonus, loads of bars and restaurants over there to choose from. If booking, try and stress if you want a river view or you may be disappointed. On the whole a pleasurable stay and I would recommend this hotel for anyone visiting the O2.	
Aug 23 2009 	great hotel	just back from a one night saty at this lovely hotel. it is not the easiset to find form the Dockland Light Railway station but well worth the effort. i loved everythign about the hotel itself. the check ion was efficiently done by a friendly memebr of staff. the room was amazing with a bathroom larger than some rooms i have stayed in. the view over the river thames was the best i ahve ever had in london.the spa is well worth a visit if you ahve time , a real place to relax with its steam room, sauna six different types of shower and warm loungers. breakfast was pricey but considering the excellant room rate i got it was worth the convenience of eating there.not convenient if you are wanting a night out in the centre of london but if you want ti visit london and have a relaxing base then this haven of affordable luxury is for you.	
Aug 12 2009 	Luxury in the Docklands	What a fantastic stay, right in the middle of the docklands. Rooms are great and if you are lucky enough to be on the front, great views up and down the river and directly opposite the O2 Arena. Service ecellent and staff could not do enough for you.	
Aug 11 2009 	Sleek modern hotel in docklands	We booked the hotel at the last minute and got a great price for the room. The hotel is a 5 mins walk from Blackwall DLR. There was no queue at reception and the receptionist was very friendly and helpful. The rooms were very modern and the beds were huge. The bathroom was also very nice with a great shower.There is not a lot in the immediate area of the hotel but as the DLR is so close it is easy to get back in to central london or Greenwich	
Aug 10 2009 	Good Value	This hotel is a long walk from Canary Wharf use Blackwall (DLR), no shuttle bus at weekends. Lovely room, very clean, pity about the lukewarm bathwater. Liked the mineral water in reception - nice touch.Fridge unusable for own stuff.	
Aug 3 2009 	Outstanding Canary Wharf Hotel	Having stayed at several Canary Wharf hotels I can honestly say the facilities and standard of this hotel are second to none, The location is excellent at the waterfront and with a shuttle service up to the banks its the perfect stay for business travellers and also a great location for the O2 opposite.	
Jul 30 2009 	Very good value for money and friendly 4 star hotel!	My Fiancee and I originally chose this hotel as we were going to the Michael Jackson concert at the O2 Arena, so we chose it purely for location. Obviously as this gig was cancelled, we had to make other arrangements and got tickets for Dirty Dancing at the Aldwych Theatre instead. So that was the reason for our visit.I've got to say it's one of the poshest yet friendliest and comfortable 4 star hotels we have stayed at. We were allowed an early check in at our request with no extra charge and were greeted with a warm friendly welcome. When we needed to get a taxi the concierge actually opened the cab doors for us. I've not experienced this at many 4 star venues. The room was classed as a superior room but I believe it was just standard but what a room! A MASSIVE king size double bed which was very comfortable, all the mod cons you expect such as a flat screen tele, telephone, tea &amp; coffee facilities, ironing board, radio and mini bar. But this room also had a docking station for Ipods (even shuffles) and a computer for internet access. It also had temperature controls with air conditioning, great if you're always boiling hot in hotels like me! The bathroom is probably the best designed I have seen during my hotel stays. You have to check out the website pics to see what I mean. We just felt comfortable during our stay. Although we didn't spend a massive amount of time in the hotel apart from sleeping, the short time we spent there was great. We didn't get to use the leisure facilities though did manage a drink in the elegantly designed bar which had comfortable lighting and an lcd tele with big screen sport on. The restaurant was candlelit which I liked, though we didn't eat there. For only £78 (room only) through Late Rooms it was certainly very good value for money! We even shared a breakfast for £17 on room service which consisted of a full English fry up, toast, orange juice, tea or coffee, yoghurt, croissants and cereal.Would definitely recommend this hotel to anyone. The only downside is that it's not really near Canary Wharf tube station. I would estimate a 15-20 minute walk and that's if you know how to get there. A taxi from outside the tube station cost us £6 to the hotel. That aside, it's one of the best hotels we've stayed at. Top stuff.	
Jul 30 2009 	Absolutely Brilliant	Very impressed with all aspects of the hotel, so modern and contemporary, rooms well equiped with quality fixtures and fittings, thoughout, great detail had been given to the interior design including the the Bang &amp; Olufsen TV, the bathroom was amazing, free standing bath with fantastic views of the Thames and 02 Arena. Without a doubt, the best hotel we have ever stayed in, would definately use this again and highly recommend to friends and family. Was a bit cautious of the nouveau menu but when the food arrived, it was cooked to perfection and the presentation was amazing, we didnt want to leave, wish we had more time to take the opportunity of using the spa facilities, maybe next time.	
Jul 29 2009 	Sleek clean new hotel.	The hotel was well fitted out with what looked like a high quality finish. Our room was clean and had a lovely rain shower and separate bath which i liked!Staff were fine and answered the couple of questions we had but did not go out of their way to be overly helpful or friendly - eg. at one point we were directed to use the internet as opposed to our question being answered by the staff member. I didn't mind this but it made me feel a bit like we'd been a nuisance!We arrived the first night at about 10.45pm and asked if the restaurant was still serving food. We were told that it served to 11pm so we went straight into the restaurant and they told us the kitchen had switched off the ovens so we could only get bar snacks. I think for a hotel of this size they could serve food in the restaurant until the time they state at reception?... We had 2 pizzas from the bar menu - these were fine and they boxed up for us what we didn't eat without us asking, which was nice. Breakfast was good, seemed like quality stuff, ie. not cheap sausage or bacon! My only little moan was that i was served horrible tea on the second morning, whereas the previous morning i was given a pot. These are not things i'd mention apart from the hotel isn't a cheap one and markets itself as higher end and little things (like nice tea) need to be maintained!We had excellent service from one waiter at breakfast which started off the day well and was appreciated!We got the tube from Victoria to the hotel. The last section is on the DLR. Our booking info recommended we get off at East India stop, however we found Blackwell/Blackwall (or something like that!) was much closer to the hotel. We were quoted £25 in a taxi so were glad we got the train.We had a very good stay and i'd recommend this hotel to others.	
Jul 28 2009 	Modern and comfortable!	We stayed one night in this hotel, which was a little hard to find, but we asked a couple people and eventually figured out the nearest tube. Check in we had a problem with one key, but then just used the other one. Room is very modern. Not sure how I felt about the male butt on the wall as art, but everything else was very clean, modern and enjoyable. The bathroom had glass walls and shower and plenty of room to store clothes if needed. There are a couple restaurants near by as well as a McDonalds.	
Jul 28 2009 	Very nice staff enhance a sleek hotel	I stayed here from 24 - 27 July 2009 for a business / leisure weekend. Via a well known breaks site I got a very good rate. My room was a standard double with a side view to the other new buildings in this pretty-well all-new area. I had asked for a higher level room with a river view (on the site's booking form request field) but didn't get that: however at the price I was not about to complain.I quickly settled into the room and liked it. The bed was a normal double size, good quality, topped with velvet cushions and throw. The angled window had a seat and coffee table, screened off by an organza drape. Big wallmounted TV, good desk and excellent lighting throughout. The fast, free, simple wifi was perfect. One wall socket was broken. Tea / coffee supplied but nothing fancy and no biscuits. Mini bar was fine. The bathroom (room 218) was adapted for disabled guests' use so was very spacious - which I liked, needless to say. The bathrooms are wet-room style. Gilchrist &amp; Soames wall-mounted toiletries were ok but a bit scentless. The shaver point was broken but concierge services had an adaptor with me in 5 minutes.The overall feel of the room was modern, executive and calm. It was certainly quiet and the aircon kept things cool. The window opened. Room service was quick and a delicious smoked salmon bagel sandwich with some chunky chips was about £9 and was with me within 15 mins the twice I ordered it.Just about every member of staff was friendly and smiled a 'hello'. The bowler-hatted concierges met me at the taxi in executive style and were helpful with directions. The check-in reception chap was very friendly and informative (although while we were doing my check in a more senior member appeared round the corner and put down a paper in front of him, ordering him to &quot;do it right next time!&quot; which was rude in from of a guest!).A colleague and I ate in the restaurant and the food was fairly-priced and good throughout with delightful service. A tasty rib-eye type steak with sides was about £13. Scotch whisky was £6 a go for Famous Grouse which was the cheapest - priced the same as more expensive brands, oddly. But bar service too was all good.Breakfast offers various options and is £17 for the full selection. There are a couple of options at a surcharge like Scottish kippers. The buffet selection was fine, both hot and cold (good fresh fruit). Porridge (no supplement) was brought fresh to the table. (If you want to go cheap, there's a Macdonalds about 5 minutes' walk away.)There is a spa (and pool at £5 a day pass) at the hotel - which we didn't try. However the range of treatments was comprehensive and not over-priced.Blackwell Docklands Light Railway (DLR) is 10 minutes' walk away and from there you can link up to the underground (Tower Hill is a good change point) into town. The hotel has seating outside, amongst attractive planting, and a terrace area overlooking the river and O2. So - a notably friendly hotel, executive in feel but not stuffy, in a quiet setting near the impressive towers of Docklands. The downside is that you have to travel a bit to get into town. Your call - but it was a positive trade-off for this visitor!	
Jul 27 2009 	Modern Oasis by the river	Myself and my girlfriend stayed here on the 18th July. We arrived at 12 midday and our room was ready for us. Valet parking costs £12.50 which, is very reasonable for london. I upgraded to a one bedroom suite for £40 and it was well worth it. We didnt have a river view that we would have liked but the room made up for that. Large living room with dinning area - medium to large size bedroom and fantastic bathroom. All 3 rooms had tvs and stereos.The service was excellent, apart from an extra dressing gown that we asked for that never turned up..but that's just being picky. Drinks are expensive, but only in comparison to bars and clubs. They are what you would expect from a 4-5 star hotel.We went into London for the day, cocktails and lunch, followed by dinner at a brazilian restaurant that my girlfriend was dying to try in the o2 village. I had been trying to propose all day but every time it felt like the right time something would happen and ruin the moment. Eventually we sat on a gorgeous terrace at the hotel overlooking the river and the brightly lit o2 directly opposite and i popped the question(she said yes). I would like to thank the hotel for helping me to make it a special day, we are now planning our wedding and will be back on the same date each year to celebrate. Thank you radisson!	
Jul 23 2009 	great hotel.	great hotel, great staff. The only fault i can find is having someone shouting &quot;action&quot; outside my room door at 07:30 in the morning, this was a film crew, which i hadnt been warned about, other than that breakfast was good and the hotel is near the docklands light rail.	
Jul 22 2009 	Horrible experienceWould not stay there again at any price.	Room was booked via hotels.com so the day before are stay i telephoned the hotel to check the reservation was in order as i have stayed in radisson hotels before and checking in is not there strong point,After being passed to 4 different people at the hotel was told sorry we do not have a reservation for you,I told them i have a booking reference number from hotels.com but they were not interested,Had to spend 2 hours sorting out with hotels.com and found out it was the radissons fault spent the next morning on the phone to the hotel trying to find out if they were going to give me a room or not which delayed are trip by half a day,I sent an email to the manager of the hotel to complain and im still waiting for a reply,Very poor.I would say the hotel is typical 4* nothing special rooms are very small there are no little bottles of shampoo etc just a big bottle of shower/shampoo screwed to the wall only 2 towels in the bathroom,Poor lighting, tv to complicated to operate,The bed was very uncomfotable worse than a travelodge bed only 2 pillows,Noisy air conditioning,Only about 20% of the rooms have a river view all the rest either look into peoples flats or at a main road/motorway,Very poor location i would not walk around the area surrounding the hotel after dark.Staff at the hotel are all very snotty,I would not stay at this hotel again if they paid me too.	
Jul 20 2009 	Amazing Hotel - Couldn't be faulted	From the moment we stepped foot in the hotel, we were made to feel welcome. The receptionist who checked us in remembered my voice from a telephone call I made earlier to her in the week, without any hints at all. The rooms were absolutely spotless. The walk in shower/wet room was amazing and even was able to use the supplied ipod docking station (should have left mine at home!). Car parking was fantastic for 12.50 and had a great view of the o2. DLR nearby was really helpful and was only a short journey by cab later that night. Would def recommend to anybody.	
Jul 20 2009 	Excellent Location and Excellent Hotel	We stayed here recently and cannot say enough about the hotel. The staff were extremely professional and friendly giving advice what to go and see. We stayed in a superior room and were not dissappointed. It was excellent and very spacious.The location was great for the O2, just over the thames. The train station was very close, approx 5 mins walk and canary wharf a couple of stops on the train or about 10 mins walk. Hoping to stay there again in January.	
Jul 14 2009 	Great hotel	Very nice hotel. Everything was new and very clean. The bathroom was great. The staff at the hotel was very nice. And the food in the resturant was ecxelent!	
Jul 8 2009 	Nice hotel............BUT.	At a glance the hotel does all the right things, neatly styled bedrooms, good bar area, ticks all the boxes for a casual or business stay.We stayed for a night to goto an event at the o2, which the hotel has a great view of if im honest, once in the hotel check in was reasonable as opposed to swift, bedrooms well appointed-Bang &amp; Olufsen tv etc, wet room stlye bathroom however we notice the toilet was broken, we notified reception who assured us whilst out for dinner they would fix it, we went to the bar for a drink prior to our meal, we got given a cocktail menu ( quite good but pricey), after 25 mins nobody came to take an our order, we left as we had reservations without having a drink!! We returned to the hotel after 10pm to find the toilet had a new button it, it still didn't flush however, we phoned reception again who said they would get back to us (20 mins passed),we phoned again and were told they couldn't move us as they were fully booked, we told them it was unacceptable and we'd be checking out unless something was sorted, oddly enough tens mins later we get a phone call saying they had a room, we finally got into the room a little after 11, which took the shine off our day.On the day of checkout whilst my wife was in the shower I decided to put the light on in the bedroom, the lightbulb shattered and blew the fuse for the room, leaving my wife in the dark,in the shower, we informed reception who sent the maintenance man up (with a screw driver) who looked at it and asked if we were checking out,which we said we were, he then left us and said he'd fix it once we were out the room, we checked out and made our thoughts to the duty manager at the time about our experience, he said he'd email me back a response which to date none has come (we stayed on the 18/06), we have bizarrely had an automated response from Raddison regarding feedback, in addition I also emailed the hotel direct to chase up our complaint and have not even got response from that.Overall, I was dissappointed with the service, the hotel itself was ok, I just hope that anyone who does stay doesn't have any exploding lightbulbs or toilet issues.....In todays market you would of thought service was parramount, clearly not.	
Jul 6 2009 	Very enjoyable	Welcoming hotel and staff (much appreciated after a long journey). Nice room, excellant disabled facilities in spacious bathroom. Good meal enjoyed in restaurant with great view of The O2 Arena.	
