	Excellent - we will be back	We have just spent 3 nights at this hotel and really enjoyed our stay. Reception area was very attractive and the Christmas trees were up which added to the ambience. Reception staff were very accommodating when we arrived 2 hours early they found us a double room right away. It was very spacious, clean, well decorated and there were nice products in the bathroom. We ate in the restaurant on the first night, the food was good and there was an exceptionally friendly Spanish waiter who was really helpful. Breakfast was excellent plenty of choice and something for everyone. There is a well equipped little gym with sauna which we intended to use but sadly we ran out of time. Gloucester Road tube station is only 3 mins walk away which made it easy for us to get around the capital. There are two good little pubs nearby and some shops and cafes. The only negative thing I have to say about the hotel is that the towels were really small and thin - it's about time they were changed for new fluffy BIG bath towels.	
Sep 9 2009 	Good experience not luxury	My teenage daughter and I went to London for a vacation. The hotel lobby was pleasant - clean, not fancy. Our room had two twin beds and was very spacious. The beds were comfortable. The room was clean and quiet. We stayed 6 nights, and not once did we have the accurate linen count - either missing towels, or washcloths. It started to be a joke with us - betting on what we did/didn't have that day!! Location was great - very close to Glouster tube stop. Good restaurants nearby too. We had the breakfast meal plan and that was very convenient. Food choices were the same every day - never varying - and was mediocre in taste and variety. If paying separately, I would not eat at the hotel as it was very pricey. I don't travel in Europe often, but this isn't a 4 star by US standards, but overall a very nice place to stay. I would stay here again.	
Sep 7 2009 	Excellent location but not a four star	Stayed here for three nights on a busy few days in London. We did not spend much time here and it was really only for sleeping. The Great- Location and price (some great deals on this hotel at the moment)The Good -The bedrooms are very spaciousThe Bad- Attention to detail is lacking, one curtain hanging off, the lining ripped on another, towels have seen better days and on one day all we were left were hand towels, one bottle of minerail water left per day and on one day no water left at all. Also one glass for drinking. On the first night we arrived we took 2 glasses of wine up to our bedroom, three days later the glasses were still there, although a kettle is provided ours was burnt out.I would stay here again but only on a special rate.	
Aug 20 2009 	Great hotel	We stayed here one night before flying out to Venice the following day. We had booked via &quot;bookinhotels.com&quot; but upon arrival we were told that our booking had been cancelled by an agent who had dealings with bookinhotels. We had lost our booking and money but luckily Harrington Hall had a vacancy for the night and we paid again (not their fault so can't blame them). The room was spacious and clean - lovely bathroom and comfy bed. There was some noise in the room and we didn't realise until the next morning that the window had been open a little! I'm sure if it had been closed then we would have had a much more quiet room. Great location, lots of places to eat and friendly staff.	
Aug 8 2009 	Elegant hotel-Budget Price-great service!	We have no complaints about this lovely hotel in the South Kensington area of London. It is a safe comfortable location. It is close to the tube. The rooms were very cute and spacious. Plenty of storage space. Small minibar-which we emptied and used for our own stuff. Only weakness-extremely expensive wifi access and limited room service selection (very expensive). There are however many internet cafes and great restaurants in the neighborhood. We were very pleased with the value offered by this fine hotel.	
Jul 31 2009 	Good hotel Great location	We stayed here in July 2009 for 5 nights. It is in a nice neighborhood and just steps from the Gloucester Road tube station with all the other conveniences noted below. There were nice walks in the area too, if you hadn't already walked your feet off. The room was quite spacious and had many useful amenities. The soaps and shampoos were lovely. One thing we were disappointed by was the lack of wireless internet. You could use the wired net for a steep price, but with an iPhone, that doesn't help. This was clearly a hotel frequented by business travelers so they should definitely upgrade and soon. Luckily there was a nice internet cafe around the corner, so we could catch up there. Another note - DO NOT use the laundry in the Gloucester Road tube station. They ruined several items and gave our clothes back in an appalling condition. They didn't smell clean yet were wrinkled beyond repair in some cases. We've had fluff &amp; fold service around the world and have never seen anything nearly this bad.	
Jul 20 2009 	Don't Make the Mistake I Did!	Virgin Vacations booked my wife and I into Harrington Hall. After being in a plane about 11 hours, traveling through more than a half dozen time zones and being up nearly 24 hours, we got to Harrington Hall only to be told the room we prepaid for was not available as they overbooked. The pompous peacock of a Front Desk Manager named Butler handled this in a rude and indifferet manner. I subsequently wrote the president and ceo of NH Hotels and never even got a response. A very unprofessional company. Do yourself a big favor and Don't Make the Mistake I Did, avoid NH Hotels!Tim	
Jul 14 2009 	Huge rooms great location	We stayed in the NH Harrington Hall for 3 nights in July. As has been mentioned previously the hotel rooms are in need of an update but the other aspects of the hotel more than make up for this. First impressions of the hotel on arrival - the reception/foyer area is beautiful and modern so clearly they are beginning to modernise. A very friendly doorman greeted us on arrival and insisted on carrying our case to the reception desk. Check in was quick and easy, although they insisted on having a credit card (debit wouldn't do so if you don't have a credit card you may have problems on arrival). Our room was really huge - an enormous bed plus room for a table and two chairs, a dresser and an enormous wardrobe! A very pleasant surprise considering the average room size in London! Yes the decor was very old fashioned but the room had all modern conveniences - hairdryer, safe, fantastic air conditioning (it was 32 degrees when we stayed so this was a real plus for us!), mini bar, kettle, TV etc. The bathroom was a very good size and recently refurbished with a good shower and plenty of lovely toiletries and towels supplied.The location was absolutely fantastic with Gloucester Road tube station literally a two minute walk away with access to the Victoria, Circle and District lines. There are plenty of restaurants + bars within short walking distance and even a 24hr Tesco within 5 minutes of the hotel! The Natural History Museum + Science Museum are within a very short distance of the hotel and are well worth a visit!One thing I would say though is avoid the room service - when we tried to order 2 of our choices weren't available and when the food eventually did come the portions were absolutely pathetic. My husband ordered fish and chips and received the tiniest portion of cod along with 5 chips for £14.50! Not impressed by that at all! Overall we were very impressed with the hotel, particularly at the price we paid for the room and will definitely return on our next trip to London!	
Jul 12 2009 	A good choice	I stayed here for one night in June. I got a good deal on the room, and overall was pleased with the experience. The room was in good condition and quiet. The bed was perfectly comfortable, unlike the experiences noted by some previous contributors, although maybe rooms vary, and you can choose the type of pillow you wish to use. The best thing about the room on a humid day when temperatures reached 32 centigrade was the efficient air conditioning. Bliss! The in room safe was useful. The only quible was that the built in ironing board was too small and awkward to use. . The location of the hotel is excellent. Gloucester Rd tube station is just steps away. I was in London for a business appointment but the Natural History Museum, Science Museum etc are close. Breakfast in the hotel is pricy, but as noted you can visit a cafe just around the corner and find fresh juice, croissants and coffee at reasonable rates. The staff were helpful and stored my bag after check out until I collected it later in the day. I would have liked to use the sauna but unfortunately it was a very hot day ( by British standards!)	
Jul 9 2009 	Recommended for location dated decor.	The best thing about this hotel is it's location; just around the corner from Gloucester Rd tube it was easy to get to all areas of London and felt safe walking back late at night.The room was clean and spacious with all amenties we needed. Light, with large windows looking out to the pleasant street below.I particularly appreciated the 'pillow service', which invited us make a selection from a 'pillow menu'.Minor negatives- room decoration was very twee and reminded me of a nice old folks rest home with heavily patterned fabrics throughout. Also, the room was very warm despite air conditioning. It felt quite stuffy and the windows were sealed so no opportunity for natural ventilation.If you can get a good price then stay here. It's a nice place in a great location.	
Jul 6 2009 	Very nice convenient hotel and Great Value	We stayed at this hotel for four days in June, 2009. The hotel is located about 500 feet from the Picadilly Line Glouster Rd tube stop. The staff is quite friendly and professional. The staff was very helpful answering all our questions.They stored our luggage after arriving from Heathrow in the morning. The room was large, quiet and comfortable. The morning breakfast buffet was fully stocked and the dining room was very comfortable. We booked through Virgin Vacations and are very satisfied with the hotel. Good pub food available nearby. Very affordable. One word of caution the bathtub is quite slippery	
Jun 21 2009 	Wow - A hidden Gem	This hotel is a true hidden gem of a hotel, especially in London. The rooms were big, well kept and comfortable, the tube station is only minutes away and value out-standing. It is a true Oasis in a city that often only delivers over-priced tatty hotels. I only have 2 gripes, firstly that breakfast doesn't start until 07:30 on a Sunday and is swamped by coach parties. Saying that though, the breakfast was good, service quick and had lots of choice. Full marks to the staff. Secondly I'm disappointed that we didn't stay more that the one night as the hotel, and it's rooms, made me feel so at home I could have stayed a week. Having found this gem I'm going to be coming back to London more often.... as long as I can book here again of course!	
May 21 2009 	A week in May	My wife and I just returned home from a 7 night stay in London at the Harrington Hall Hotel. Staff was excellent, room well appointed and comfortable, even if the bed was FIRM. At 18 pounds each for breakfast, we didn't bother with the hotel restaurant , but nearby pubs and shops (right around the corner on Gloucester Rd) were excellent. The Coffee Forum served a great full English breakfast for under 5 pounds, and the Hereford Arms put out a good pint and nice meal at a reasonable price. It's just a short walk to the Gloucester Rd Tube, so with London Passes and Transportation cards we were set for the week. Would we stay here again? Absolutely!	
May 15 2009 	Good value close to the Tube	This is a very good hotel for the money - - I would have given it 5 stars but the beds were horribly uncomfortable! I was happy to see how large they were (by London standards) but I swear i havent ever been in a bed that uncomfortable anywhere, so much so that I had to sleep on top of the comforter just to get some extra padding. However, they do give you a choice of pillows, but my back ached for a week afterward.The rooms themselves were VERY big by London standards--larger than any London hotel I've ever been in. There was a flat screened tv in the room as well. The bathrooms seemed to have been recently upgraded with travertine tiles, but the tubs were poorly designed and one got the feeling that one must catapult over the lip of the tub to get in. Aside from that there were no anti-slip mats available and I slipped a couple of times while in the shower (this would be an easy and inexpensive thing for the hotel to fix).That said, the buffet breakfast was a great value --provided you got it included in your package (i believe its about 30 pounds per if not). The staff are fantastic, very helpful, very knowledgeable. My boyfriend and I went there on his first-ever trip to London, so the location was great for the tube, especially since I insisted we get up at 5am and pack the day with sightseeing. You're in comfortable walking distance of the Victoria &amp; Albert and there is a Waitrose nearby with ready to eat meals and a large wine selection so we &quot;ate in&quot; a lot, especially . There are plenty of affordable restaurants close at hand if you chose and I love the area in particular because its so &quot;neighborhoody&quot;.I would stay again for sure, but next time I may bring a sleeping bag!	
May 2 2009 	Wonderful stay	Great location! Staff very helpful! We arrived at 7:00 am and were in our room immediately. That helps after flying all nite.	
Apr 28 2009 	Excellent value for London	I have stayed in 3 other hotels in this area and was amazed at the service, size of the room, and value for money of this hotel. We had a very large twin room with excellent cupboard space and mini bar. There was a good choice at breakfast and the staff were very very pleasant and helpful. The location was perfect, not far from the train station, supermarkets and restaurants. I will definitely stay here again. Really impressed with NH hotels little touches and I will search for them in other countries.	
Apr 24 2009 	A nice stay at the Harrington Hall	We spent 7 nights at the Harrington Hall in late March/early April – 5 nights at the beginning of our trip and 2 nights at the end. We booked both stays through Priceline at an unbelievably low rate. We were a little apprehensive about the hotel, but overall we had a lovely time and would definitely stay there again. The location is absolutely fabulous, as others have noted. We found the hotel facilities to be lower quality that Priceline’s four-star rating, but the location and the staff more than made up for that.We arrived at 9 a.m. after an overnight flight, and we were desperately in need of sleep. Front desk staff advised that there were just two king rooms available – both on the smoking floor. We were offered an upgrade – at additional cost – but declined. The hotel let us look at both smoking rooms and, while the smell of smoke was overpowering in the hallways on this floor (the 2nd), the smell in one of the two rooms was not too bad and we took it. We made the decision voluntarily (and the hotel staff advised that we could move to another room later, when one became available, but we did not want to repack), but I would not stay on this floor again – walking through the smoke-filled hallway was terrible. However, we were desperate to check in and very grateful that any room was available. Because it was cool during our stay and the window to our room opened to a quiet courtyard at the back of the hotel, we were able to keep the room aired out.The room was small but perfectly adequate, with a flat-screen TV, minibar which we could empty to store orange juice, etc., two wing chairs, and a very nice bed. There was also a storage chest at the foot of the bed. The bathroom was terrific – large, clean, and with plenty of space for our toiletries (although the hotel’s soap must be intended to be used by Munchkins –the one bar we received each day was approx. 1 inch square). While the bed and bath linens were clean, the condition of the furnishings and wallpaper was terrible – chipped/scratched wood, peeling/stained wallpaper with holes in places, and dirty, dingy upholstery – which included a large rip in the seat of the desk chair. Even so, we had made our choice and, given the incredibly low price, were relatively satisfied. Other than the shoddy condition of the furnishings, we had just one other problem – minor, but very annoying: the hairdryer would not work for more than 15 seconds. The weather was very chilly, and neither of us wanted to go out with wet hair. For 3 days, we asked for the hairdryer (which is built in) to be repaired or replaced and, while the staff was always polite and in one case actually brought a hairdryer that had been left by a guest (but that also did not work), the problem remained unresolved. On the third day, we again asked for the hairdryer to be fixed/replaced – with a certain level of frustration, at this point – and the manager on duty (Peter, I believe) came up to the room with another staff member. He apologized and said that he would personally see to the problem – and would also replace the ripped desk chair. We were skeptical, but he was true to his word: there was a hairdryer on our bed that afternoon, the chair had been replaced, and there was a small bowl of fruit on the table. We were very grateful.Checking out at the end of our first stay, we mentioned to the front-desk employee that we were looking forward to returning 10 days later. He seemed to be making a notation to that effect in the computer, but we did not think much about it. Upon returning, that same front-desk employee was on duty, remembered us immediately, and was very welcoming. He gave us a key to a room on the (nonsmoking) third floor and, when we opened the door, we found one of the largest hotel rooms I have ever seen. There was a solid wall of windows (all with the hotel’s old-fashioned floral draperies, which we liked very much) and at least 500 square feet of floor space. The furnishings and wallpaper were of the same type as our first room, but in much better condition. And this enormous room had a coffee press, ground coffee, and several additional bath amenities. I immediately called the front desk employee to thank him for being so thoughtful and to tell him how much we appreciated the room. He was very gracious. This made the end of our trip (which is always sad) much more pleasant – and it provided us with the necessary floor space to unpack and repack much more easily.Given the outstanding location and responsive and helpful staff, we would definitely stay at the Harrington Hall again – provided we were able to book the room for a reasonable rate reflecting the hotel’s quality level.	
Apr 9 2009 	Good hotel close to tube.	This hotel was booked by my company and when I looked at the website I was a little concerned about the hotel. However, in reality the hotel was very good and I would recommend it.Check in was fast and reception staff were friendly and efficient.The bedroom was large and traditional in style whereas the bathroom was very modern. The room overlooked the main street but I was not disturbed by noise.Breakfast was ok. Nothing special but equally there was nothing to really fault.Hotel is a 2 min walk from Gloucester Road tube, so pretty convenient. There are also some nice restaurants and bars on the doorstep.All in all, I liked the hotel and will stay here again.	
Mar 17 2009 	Better than average for London	More of a business hotel than for tourists. Good location, close to rail links and some attractions. Staff were a little perfunctory in their service and weren't particularly friendly or engaging. Breakfast was expensive but of good quality although there are plenty of other options in the area. Rooms were quite nice if not a bit dated. Some of the furniture was marked but all in reasonable for age.	
Mar 12 2009 	Characterless 'Business' Hotel	On the plus side the location is great with loads of nearby shops, pubs, restaurants, underground etc.On the negative side the staff were below average, (except the bar staff who were fine). Room service was a joke - arguing with us about whether toast should have been included in the delivered breakfast! The so called Suite we booked was also a joke; just an oversized odd shaped room that they had put a desk into and called a suite. The single small window was over some service part of the hotel with vents and fans etc and no view, except the back of the houses opposite.Overall, characterless and very expensive. Clearly a hotel aimed at the business traveller.	
Feb 16 2009 	Reluctant to praise in case it gets booked up when we next want to go!	Let's start with value as some reviewers express totally unrealistic expectations for the outlay. We paid less than £80 per night for a standard double room (B&amp;B for two) for 3 nights. I've learned not to expect too much for this sort of price in London......how wrong could I have been. This is a genuine 4* hotel run by the Spanish NH group. This hotel is properly managed, staff are not just polite but helpful. We didn't take the upgrades to &quot;superior&quot; (+£15) nor to &quot;suite&quot;(for £25) but decided to stick with what we booked. In terms of relative value I think we made the right choice. The room was at the back of the hotel and was exceptionally quiet. The bed was Queen sized I think as it was certainly bigger than our oown king sized at home. There was proper ground coffe and a cafetiere available as well as teas with a nice full sized kettle. The bathroom was all you could expect, and probably more ,with quality Grohe fittings for shower &amp; taps. The power of the shower was excellent. Add a bath robe, flat screen tv,internet point, phone, mini-bar(not used),iron &amp; ironing board(not used either.....I don't take a break in London to do household chores) and a phone and this is excellent value.But there's more: the breakfast experience was first rate....beats any Hilton into a cocked hat. There's not only the &quot;Full English&quot; available (although only with scrambled eggs on show) but meats, cheeses fruit juices, cakes, a variety of tastey breads and fresh fruit.This is all laid out sensibly and Tea&amp; Coffee are served to your table. Not only this but extended seving times at weekends is a nice touch which others could emulate to their advantage.There are other facilities in this hotel including a gym, but come on, I didn't get to where I am today by wasting my time there...........Yes we both loved this hotel; it's location, style and facilities have set a new standard for us.	
Feb 16 2009 	Will this hotel again	We visited London for a weekend staying at the NH Harrington on Saturday night. we booked a standard triple room and were very pleased to be upgraded to a lovely room with ample space for the 3 of us (couple and 12 year old boy). the hotel is in a great location - peaceful but very close to the Glouster Road tube and and less than 10 minutes walk to the Natural History and Science museums and the V&amp;Aservice was great. we arrived early and left our luggage while we enjoyed the city and again left our luggage after checkout on the Sunday and collected it before leaving that evening. my only compliant is that breakfast is very expensive at £20 per person but no problem as there is a very nice cafe serving full english breakfast, smoothies and excellent coffees just round the corner. I'll use this hotel again for holidays and business.	
Jan 23 2009 	Good Location....	Hotel is located in South Kensington close to the Glouster Tube Station. Great area with easy access to tube, several museums and Hyde Park. Staff very friendly, rooms clean, but dated. Shower door was partial glass that was not connected to the tub but to the wall only and swung out. Tile was cracked; wall paper was pealing off in some small places. Beds small, but comfortable. Restuarant not impressive, with the exception on the breakfast buffet - Excellent! Overall, if your looking for safe hotel in a picturesque neighborhood where you will only be changing and sleeping...highly recommended.	
Jan 18 2009	Loved it!	I really loved this hotel! I was taking my partner to London for his birthday and we had booked a standard room-bed and breakfast for a really good rate on Alpharooms. We paid less than 200 euro in total for 2 nights . I never mentioned that it was a birthday break or anything so we were delighted and surprised when we got there and the really nice receptionist upgraded us two levels to an executive room! The room was lovely, really big and bright with a huge bed and a lovely flat screen TV. The range of products that they leave out 4u is pretty impressive too! razors, shave foam, dental kits, sponges etc as well as all the usual stuff. The breakfast is excellent, cant think of anything I would have wanted that wasnt on offer and the location is great. 2 mins to the tube (Gloucester Road) and 10 minute walk to Kensington High Street. Some lovely restaraunts in the vicinity too. We ate in the Steak House on the corner, think it was called Green Door or something like that-really good. Enjoy!	
Jan 2 2009 	Great 4* value and location	The best thing about this hotel is its location - just a few steps near the tube station with several lines, with lot of little restaurants arround it. There is also Tesco Express supermarket open 24/7 on the Glaucester Road (where the tube station is). I stayed here between Xmas and NY for 4 nights with my girlfriend - besides location we loved large comfortable bad, clean bathroom, big flat TV and the fact that it was realy quiet in our room. Sometimes the heating was a bit strong so we opened window while sleaping... Strange thing hapened one evening: the phone in our room start ringing, but nobody was there when we answered. This hapened five or six times in a row. We caled the reception to report this &quot;mestake&quot; and thay handeled it right away - it has stoped ringing since. Breakfast was rich, &quot;full english&quot;, but we didn't like the taste of scrumbled eggs. Thay have fantastic apple-pie and great beans souce. Bread was very tastefull also, but we would prefer a bigger chice of cheeses and juices.The stuff was ok, but a bit slow during our check-in and check-out. On the other hand, thay seam to be very helpfull if you want to book a place to go out, to eat or something similar. Due to an excelent location and a comfortable room and bad, our visit to London was a great one, so I would recomand this hotel to enyone. It gives you a great 4* value for a 4* price.	
Dec 30 2008 	Ab Fab! Loved it!	Booked this hotel through Travel by Fingertip (highly recommend) before leaving Houston for an 11 night tour of Ireland. Flew from Dublin back into LHR and was picked up by car service and delivered to Harrington Hall. We spent 3 nights before our return to Houston.Outside construction was going on, with scaffolding all along the exterior. On check-in was surprised to see the modern interior of the reception, lobby sitting area, and restaurant. Upstairs to our rooms and a quaint English cottage feel. We had one King room on a lower floor...gorgeous, and little noise from construction even in daytime. Our other two rooms were higher...a twin room and a double, nicely decorated and CLEAN. Lovely complimentary toiletries, pillow menu, and in room coffee/tea service that was refilled daily.Housekeeping was very attentive when asked for extra towels, etc. Front desk personnel were friendly, helpful, and courteous...especially to my elderly parents. The green apples in the bowl between elevators was a nice touch.Our cost included full English breakfast which was plentiful and excellent. We ate dinner in house two nights and were very pleased with our choices.We liked the Harrington Hall so much that we are returning for a 5 night stay in July 2009 after our Scotland tour.	
Dec 24 2008 	the hotel's a bit tired	Not bad, but then again not good either.The facade and reception areas are good and presentable but the lobby areas and the bedrooms are a bit dated now.It's clean enough, and on the three or four separate occasions I stayed here in 2008, I didn't have an all together bad stay, but it was only acceptable and nothing more.Clean enough, but I think that the hotel has seen better days. Breakfast is excellent and the hotel is very conveniently located right next to Gloucester Road tube.	
Nov 12 2008 	Good rooms and location in Kensington	Booked a room through wotif.com and got a very good rate. Arrived at our stated time and checked in, and were informed of the 5pm checkout for Sundays, which we of course took up. It's only 1.5 blocks from Gloucester Rd tube station and there are plenty of cafes and restaurants in the area, an a 24-hr Tesco express. Room itself was a decent size and well-appointed and clean, and there were a few nice touches such as the king size bed having two duvets so you don't steal your partner's warmth away, and you can call reception and have your selected kind of pillows sent up (we got nice latex ones). Wi-fi access in our room had a bit of a shaky connection, and was fairly expensive at 15 pounds for 24 hours. We paid the premium as we were too tired to go to the internet cafe 50 metres away! The mini-bar wasn't working (apparently a hotel-wide problem) but the room service prices were not as outrageous as we expected - didn't end up ordering anything so can't comment on food quality however.We didn't eat breakfast there as it's 17 pounds for the buffet! This is obviously a hotel set up for those on a business account, or perhaps well-off older travellers, of which we are neither, but it was a pleasant stay.	
Nov 10 2008 	Good location but a bit crass....	I booked the Harrington Hall Hotel for 3 nights during a work stay in London. Booked online so everything pre-paid for. Checking in took about 15mins as the receptionist spent most of it trying to sell me a room upgrade (which I took for 15pounds) and internet access (£12 for 24-hr access to the 'economy' version meaning you are limited to a download speed and size!! C'mon guys this is 2008 not 1999!!!).Eventually got to my room which was okay but the decor is v. out of date. Wallpaper peeling off the walls, etc. The mini-bar is extortionate at £3.50 for a little tub of pringles (y'know the one that has about 12 pringles in it!!?!).Upside? Location is good (Gloucester Rd tube just around the corner). That's about it really.Downside? Cocky reception staff, you pay through the nose for everything(!), and the whole hotel just has a feeling of trying to be a 4* hotel in Kensington but in fact it just doesn't make the grade.Personally I won't stay here again even though I got 50% of the rack rates - there are far better hotels for the money. Must try A LOT harder.....	
Oct 16 2008 	Exceptional accomodations	My wife and I stayed at Harrington on our first trip to England. It was also our 34th wedding anniversary. We found the staff extremely cordial. They treated very well with answers to our many many questions. The Tube was just a block or so away. Great shopping and museums in the Knightsbridge area. The room was adaquate in size. Being used to larger rooms in US, still we were completely satisfied. The only drawback we had was the height of the tub. You really had to step high to take a shower. The food in the restaurant was very well prepared. We stayed there for 6 nights and I would not hesitate to book it on future trips. Great Job !!	
Oct 11 2008 	Recommended	Booked this hotel for one night stay via LASTMINUTE.COM - excellent location - 2 minutes walk from gloucester road station and all that Gloucester Road has to offer, coffee shops, restaurants, post office etc.Room was good size and very clean, the bed was very comfortable and a good size. Excellent free toiletries and there is a trouser press and iron in the room. Ample flat screen TV.Quiet location even though the room was facing the front.Only criticism I have, is that the bath was very slippery, there was no rubber mat and there was a step up to get into it, you had to hold on for dear life. Would come here again. All in all a pleasant stay.	
