	Mostly good...	Our room was very nice and beautifully decorated. We stayed 4 nights and it was my birthday on the day we arrived and the Ritz had put champagne in the room and a little cake and that was lovely. But we also got some strange treatment in that we asked if we could have a later check-out (not really expecting it because the hotel seemed quite busy) and were told we could have a one hour extension, then got a call at 11.45pm (yes, at night) to say that we couldn't have the extra hour. Very odd to call so late when they could have told us the next morning. We also needed to book our seats on BA and asked if we could use the business centre (meant to be open 24 hours?) computer. No. We had to hire a laptop for $30 or $40AUD and used it for maybe one hour and then had to have the boarding passes emailed to reception at the Ritz, and when we checked if they had them they didn't, but when we checked again they'd been put in the junk folder and they told us so, which was just not professional and the way they handled it was quite insulting. The dining room is spectacular and we enjoyed our dinner there both nights, and we also liked the room service. Breakfast was ordinary. The ladies in the beauty/hair salon were pleasant and thoughtful. If you're the type who gets offended at being asked if you're a guest each time you re-enter the hotel, then don't stay here. We would just have our card handy to show the doormen when we returned. If you aren't the type to dress up each day then don't stay here because there is a dress code and it was great to see all the beautiful clothes, shoes, bags and hairdos, but if you're on a tour then it's difficult to have enough appropriate clothing. We can't rave about the Ritz, but it was an experience we wanted and we get a bit of a buzz to think that we've stayed at such a famous hotel.	
Aug 20 2009 	Afternoon tea at the Ritz - DO NOT GO! Go to Claridges instead!	Well I have to say that I am not at all impressed with afternoon tea at the Ritz. Reading other reviews one feels some similarities are clearly evident. Upon arrival we were greeted by a very pleasant dining area manager. However, after that it was downhill all the way to the exit. Firstly, when one goes to the Ritz you expect the waiters to be attentive. Yes, they were attentive - they did not leave you alone and were constantly hovering checking the tea pots and leaning across you when seated. The sandwiches had very little filling and the smoked salmon was somewhat tough and definitely not of a good standard. Never mind there was the cakes to look forward to.... Upon arrival the cakes looked very nice but upon eating them they were stone cold and clearly refrigerated to a very low temperature indeed - so much so it put one of my guests teeth on edge. Another member of my party was gluten free - clearly the Ritz does not feel that Coeliacs should be given the opportunity to eat comparable food to their gluten eating dining companions. No scones if you are gluten free and one piece of carrot cake that was frozen in the middle! No other cake was offered - a very small plate of fruit was sent in place of cakes I guess - strange as I thought a cake was something that was made and baked? The surroudings are nice enough but one could not help feeling that the Ritz staff feel pretty special about themselves. The music aspect of things was also disappointing as there was no music for the first 30 minutes and this only lasted for 1hr - no piano music just a harpist trying to be heard over the noise that was being created. One final thing that astounded me was that as other diners left the tables the afternoon tea area turned into a what can only be called a canteen area with table cloths being whipped off and shaked, cups and saucers being clattered. Waiters chatting very noisily - clearly this was our cue to leave and we did amongst the dirty table cloths being shook ready for the next diners. The best bit of advice I can give you is to go to Claridges, we have been there and never been disappointed - the staff are lovely, attentive and down to earth. Gluten free is no problem whatsoever, with a full range of pastries being offered (including scones). I am sad that I cannot write a positive review but feel that I must express my disappointment at what should have been a superb afternoon. Summary: Go to Claridges instead - you will love it!	
Aug 19 2009 	Fantastic can't wait to go back	We went here as a special treat for our silver wedding aniversary and received 5 star treatment from the minute we got out of the taxi. We had booked the romance package which included fruit champagne etc on arrival and a meal with wine in the evening. When we went to book in the reception staff were polite and very attentive they congratulated us on our anniversary and we were upgraded to a suite which was beautiful. The room was supurb and the facilities at the hotel were as expected we were treated like royalty from we arrived untill we left. The experience of dressing for dinner and breakfast will live long in the memory and the service was outstanding. We could find no faults with the hotel and can't wait to go back again. A super treat which was well worth waiting for and the dress code made it feel special. Casual dress has its place but not here. Experience it once in your lifetime you will not regret it.	
Aug 10 2009 	A great place..	I booked the Ritz for my fiance's birthday as we were in London shopping. It's just a great place. I'm sure there are better equipped hotels with more facilities - bang and olufsen toilet roll holders etc but this place has got a very special feel about it. The decor is as you'd expect all old school glamour, and it's very old fashioned all round but you can just feel the history and class of the place from the moment you arrive. Rooms are not massive, but are well laid out and are very comfortable. It's very intimate for a grand hotel - about 135 rooms but you are made to feel very much at home and the staff attention to detail is second to none. Having read a few reviews previous, the main theme seemed to be the dress code which is pretty formal. You're ok going in through lobby and to the room in short or jeans etc but if you want to use the bar or restaurants or main communal area then you'll need to have trousers, shoes, jacket &amp; tie. If this doesn't sit well with you then go to the Sanderson, it's just how this place works. Location is obviously great and all round well worth the money for a special occasion.	
Aug 9 2009 	In need of refurbishment a bit like a snooty English Golf Club	We stayed at the Ritz for our wedding anniversary, we have stayed twice before and standards have slipped. We booked in for Friday and Saturday night and forgot to book afternoon tea in advance. We telephoned prior to our arrival to say we would like to book afternoon tea but were told they could only serve us at 7.30pm, who has tea at 7.30pm?Upon check in I said I was disappointed they could not offer us afternoon tea , especially as we are paying £550 per night. I also explained we had recently stayed at Claridges and they held back table for their paying guests. The receptionist did try to help us and offered us tea at 11.30am and 7.30pm - we declined. So book afternoon tea in advance if you want to tea as the proper time - the fact you are a guest holds no weight.Check in was an experience - we had booked a junior suite but were offered at check in a two room suite for an extra £200 per night. We declined as we felt £550 per night was already a huge sum of money. After a bit of discussion, not prompted by ourselves, they said they were very pleased to offer us the two room suite for no extra charge. We were very pleased until we arrived in the room. Our complimentary bottle of champagne and anniversary card was there waiting for us which implied to us we were going to get the room anyway but they thought they would try to get us to pay for it! We opened our champagne and proceeded to run a bath and quite unbelievably the bathroom was unacceptable. The bath was in desperate need of re-grouting and there was mould growing around the edge of the bath. The loo ( pottie ) seat was old and looked like something out of B&amp;Q ( Home Depot ). We decided we would prefer our lower standard room. There was no separate shower and the fittings were all worn out. We called down and said we were not happy with the room and were told we would be shown another room. We were taken to another room, even bigger but the bathroom was only mediocre. It was clean and there was no mould but it was in desperate need of refurbishment. The bedroom, sitting room and hall , were beautiful but were really let down by the bathroom, again no separate shower or double ended bath. We had to wait 30 mins for our luggage to be transferred and then they did not bring down our opened champagne. We called down for this to be brought to our room, this took another 45 mins and we expected a new bottle but no they brought the old bottle! This all took 2 hours from check in and was a real waste of time. Our view is they keep this room for their ad hoc guests who will be so pleased with an upgrade that they won't complain!The dress code is a pain, no jeans at breakfast or around the hotel, jacket and tie at dinner but that is part of their brand and offering as a result we cannot really complain about their proposition, however there were some dreadful outfits coming in for afternoon tea and dinner!Breakfast is served in a beautiful room but is underwhelming - the toast was like cardboard and the scramble egg inedible.We spent our wedding night here and subsequent anniversaries but this will be our last visit until they refurbish this establishment	
Jul 31 2009	A must do experience... fantastic!!!	The Ritz Hotel in London is one of a kind. I stayed there for one night as a treat with my mum and dad and thoroughly enjoyed being treated like royalty for one night. I must admit that when you first arrive at the hotel you feel almost awkard but that doesn't last for long. The service at the hotel is exquisite and the food is devine. At Dinner and Breakfast I was in heaven as I was in when in the room. My parents went off to see a show and I stayed in the hotel where my every need was attended to. I went down to the front desk to ask for DVDs and was given a brilliant choice of films and I was pleasantly suprised when house keeping turned up at the door with complitmentry bath soaps. The only down side in the hotel which is not a problem for most people staying in London is the facilities. There is a gym in the hotel but it is rather small as is the salon but they offer a wide range of treatments. The thing I love about the Ritz is the fact that after a long day shopping in the busy streets of London you can return to the tranquility of the Ritz and you almost feel as you are in a completely different place. Overall the Ritz has been a truely sensational stay and I look foward to returning soon.	
Jul 31 2009 	Grand and very good	The Ritz combines a grand interior with great comfort and excellent service. The suite facing Hyde Park, was large and extremely comfortable (great bed, Bose stereo, enough cupboards for a whole wardrobe, etc.). The bathroom was lightly modernised but in keeping with the classic style of the hotel (red and white marble, gold fittings) and the toiletries were full-size bottles from Floris (a smell I have never seen at their shop).Lunch at the beautiful restaurant was a unique experience (where else do you get a perfect lamb Belle epoque served by liveried waiters?). The Rivoli Bar has a different atmosphere, more like Lalique 1920s. Breakfast is a buffet (very good quality but there could be more variety) and a separate menu for cooked items. Again, the decor of the restaurant and the excellent service stand out.The service throughtout the hotel is world class, warm and very personal (maybe the best doormen, concierges and bellboys I have come across). The dress code is strict, but it adds to the style of such a grand place.One negative: small fitness room, no real spa.Conclusion of my short stay: The Ritz does the grand hotel experience in an unforgettable way (far better than the other historic Ritz property, in Paris).	
Jul 30 2009 	THE BEST EXPERIENCE FANTASTIC HOTEL WONDERFUL RESTAURANT	I have been to the Ritz and i relize my dream.The Hotel is fantastic staff performance very excellent especially in to the restaurant where you can have very good food, and very good service.I am italian and i am sure when i said very good food quality.I be back to the Ritz any time i can if possible!!!Unfortunatly i cannot use the Palm Court tea experience because always full, but i will definitly try again!!!!	
Jul 17 2009 	hmmm. Debatable ..	We stayed here in Feb 09 and i feel like i should have written a review then but needless to say i have taken my time .. grand it is, faultless it is not ! We stayed here on a package deal which included a suite, breakfast, afternoon tea and butler service.Immediately on checkin we were referrred to as 'Mr. &amp; Mrs.' we are not married, i would have thought better of a hotel to make a presumption.We were shown to our room by our butler which was a fabulous suite with great views of Green Park and Piccadilly being a corner suite. You cannot fault the rooms decor nor cleanliness and the same can be said for the hotel throughout.Our butler promptly served us our afternoon tea which was fresh and well presented although they did forget the milk for the tea (a small point but needlessly annoying). Upon my request for a sowing kit the butler said he would bring this .. it never turned up .. the following morning breakfast arrived delivered by room service (not the £325 butler we had paid for) and again the milk was forgotten and the juices along with our requested newpapers - too many incidents !We did complain and we were informed that they were having some issues with the butler services at the time and that they would refund half of the fee and write to us, we are still waiting for that email !!!!! To top it off they charged us again for the afternoon tea and did not pay the full 50% refund they had promised for the non-existant butler service.What can i say really other than that for such a prestigious hotel i would not stay here again and i would not recommend it.	
Jun 13 2009	Celebrate in style	To celebrate a retirement and a 21st birthday five ladies from my family aged from 21 to 62 took Tea at the Ritz on Friday and we were not disappointed. We were greeted by everyone from the Doorman to the cloakroom attendants. The waiters attendended to our every wish. The pianist's choice of music was delighful and added to the atmosphere. The welcome host enquired if we were celebrating a special occasion and unexpectedly presented my niece with a birthday cake whilst happy birthday was played by the pianist. The tea is the best in Britain, and more food than we could eat. A special place for that special occasion. Will be back soon.	
Jun 6 2009 	Century old elegance	Feel very lucky. This slideshow from SwitchYard Media puts it very well:http://switchyardmedia.com/images/stories/showcase/historic_hotels/slideshow448-framed.html	
May 31 2009 	Old school glamour exudes reception but the rooms are a let down - better value for money at Claridges!	I have always wanted to stay at The Ritz- well you hear so much about it, it is the hotel everyone thinks of when they think of London! But the truth of thematter is that it went rapidly downhill from the minute I steped out the car! I was running late for the theatre so I literally wanted to just hand my keys to the concierge as I so often do at Claridges ( where it is dealt with very swiftly) but no five minutes later the doddery concierge ( and no, I am not age-ist - he was under 50!) was still looking for a ticket to give me! Checking at reception was no quicker, although at least my partner could star spot, working in TV, thats a little by the by for me! But the biggest disapointment was the room, small, dated, faded furniture, nothing special at all, nothing more than one would hope for in an £80 a night country house hotel. Thankfully the bathroom had been revamped but was nothing special, standard bath, shower and vanity unit. There were good quality ath products but only one set of it, one shampoo, one shower/ bath gel, two soaps and one body lotion. No conditioner - I wish I had known!!!!! After my partner and I had had a bath and shower before going out to the theatre, there was nothing left for the morning and the turndown service didn't see any of the products get replenished, we did however recieve a not so useful bowl of stale chrisps! All in all I am glad I have 'done The Ritz' but I doubt I will be returning, in fututre I will be sticking with Claridges where the rooms are twice the size and the service is twice as efficient!	
May 30 2009	Disappointing Afternoon Tea - doesn't live up to its reputation	I found my experience at the Ritz disappointing. I agree that the Palm Court is a beautiful setting. However, the whole experience was extremely rushed, the staff rude and abrupt, and the waiters did nothing to make the experience 'special'. The food was nothing to write home about, and the bread on some of the sandwiches seemed a bit stale.The worst part was that the waiters were trying to clear our table after only 35mins, and after we refused to leave the table (after all we had around 50mins of our booking left!), they repeatedly returned to the table after this period to hurry us up and attempt to clear our tea away. Finally, buckling to their pressure to move us on, we asked if we could take the petit fours with us - but we were told very strictly that this 'was not allowed'. It angered me that I had paid for these items (they were part of the original setting, not replenished items) and yet I was prevented from taking them with me. This experience very much upset my relative who I had taken there to experience her dream afternoon tea for her 80th birthday. I was also prevented from taking a (non-flash) photo of my relative at her birthday celebration (not just in the Palm Court, but anywhere in the hotel!). I was surprised that our tea was not poured for us, and the strainers let the tea leaves through, meaning that after one cup of tea, the cup should have been replaced. But it was impossible to gain the attention of the waiters and we simply ended up drinking mouthfuls of tea leaves. Not the best experience.I have written to the Palm Court manager about my experience, but received a very disappointing response. All I can say is don't waste your money - Claridges is so much better!!	
May 14 2009 	Simply the best	I have just enjoyed 4 days at the Ritz, and what a treat!  Location cannot be better. Close to piccadilly, regent street and trafalgar. 10-15 min to harrods and oxfordstreet. It has also good transport outside. Underground right outside and open doubledeckers for tour guiding start outside. The service is beyound compare. The staff has an incredible feeling of the correct service level. It is never too much or too imposing. They seemed genuinly interested and not superficial, high nosed or &quot;tip me attitude&quot;. I cannot praise the staff enough; checkin, checkout, dinner and breakfast personnel, door men and butler service. Room. We were lucky receive a upgrade to a suite at checkin. It was a rather spacious room with everything necessary including a laptop. The bed is really good. Everything very well maintained. FoodThe bar is definitely worth a visit. Intimite and fast service. Good champagne selection.Dinner was the best experience. Great winecard and a good sommelier. I asked how many sommeliers they had. &quot;6&quot; ! During you eat an orchestra of 4 people played soft classic music. The food was very good and best of all again the service. It is so easy that it gets to much, that you cannot put down a glas without someone watching you over the shoulder and refill it. The Ritz had a very good feeling of that and you felt relaxed and not watched. The tea serving is great, especially the food, but a little commersial. We did not get a chance to order what tea serving would like and when we asked for the champagne. they served it together with tea, which then was cold when you finished the champagne. Generelly i felt a little stressed during the tea serving, many servants, could they remove anything, were we ready. The porter adressed you by name and was very efficient, but i preferred the doormen, which was very helpful and attentive.The staff at the SPA area were very skilled, friendly and attentive. Tried massage and reflexology. One thing more and that is that Ritz is very well organised. We had several reservations for dinnings, massages, car transport and everything was always in order.It is an remerable experience to stay at The Ritz . Unlike many other 5 star hotels in the world, not only because its history but for it personalised genuine service.	
May 8 2009 	Fabulous	I have always wanted to visit London, never knowing that my stay at The Ritz would change my life forever. This is by far one of the most spectacular hotels I have ever had the great privilege to visit. I was fortunate enough to enjoy one of the magnificent signature suites - The Trafalgor. The splendor that is upper class London can be glimpsed through a week's stay here. If you have ever dreamt of being The Princess of Wales, visit the Ritz. High Tea in The Palm Room, a trip to the spa, being pampered by the most incredibly customer service oriented staff on the face of the earth. You will never see the world the same way again. In a word -- Fabulous!	
Apr 29 2009 	A Beautiful British Experience	I'll start by saying that the Ritz isn't for everyone. The service is from a different era as well as the decor and ambiance of this remarkable hotel. My husband and I stayed for four nights over my birthday weekend, April 16th-19th. The hotel is welcoming, elegant, plush and over the top in decor. We arrived on a rainy night and were escorted to our room by the front desk. Our bags were shuttled away and arrived in our room without delay. We were upgraded to a lovely room with a huge bathroom and a beautiful fireplace. The bed was extremely comfortable and the heavy terry bathrobes always welcome. I enjoyed the robes so much that I purchased a PINK version during checkout. A few things about the Ritz are that you must leave your key whenever you leave the hotel. The key is huge and heavy so this isn't a bother but a relief. Leaving the key also helps to build rapport with the concierge staff and security. Its actually very charming. The concierges are also helpful and friendly. The other thing is that the Ritz has a very strict dress code. No jeans or sneakers are allowed. We thought about this before booking, but decided to try proper dress for a weekend and it was great! Its quite an improvement to your photos and there wasn't one attraction or restaurant that we felt out of place! One other thing about the Ritz is that they don't allow photos to be taken in the restaurants or public space which is a bit of a bother, but not too big a deal.We had tea at the Ritz on Friday evening and it was lovely. Its just one of those things you should do in your lifetime if you're into that sort of thing. My husband and I relished every minute! The location of the hotel is fantastic. Its literally across the street from the Green Park tube and the Wolseley Restaurant. Fortnum and Mason is a 5 minute walk and 5 more minutes to Picadilly Circus. Buckingham Palace is a 10 minutes stroll through the park! Its fantastic!	
Apr 25 2009 	Don't stay at the Ritz!	The driver from the Ritz was frightning, skinhead with earing. Room was hot and they did not fix air conditioning until next day. Toilet did not flush. Shower did not drain.Suite was beautiful but sofabed was unusable. Staff was unhelpful, condescending with a bad attitude. Staff entered room without permission. Rivoli bar was superb.Spa consisted of two tiny rooms.Internet was very slow.We moved out to the Gore Hotel.	
Apr 20 2009 	An amazing experience	I took my wife for a weekend on March 14. We were met by the Assistant Manager and shown to our upgraded suite. All the personnel we met were nothing short of extraordinary. When traveling to London, I cannot think of a place that has treated us any better than the Ritz. Afternoon tea is an experience that should not be missed. We would go back anytime.	
Apr 10 2009 	go to high tea here if you want to be abused by the staff	After being given a birthday gift of having high tea at The Ritz, we turned up on the incorrect date- our mistake. Instead of being nicely informed of this, I was treated terribly by the elderly maitre-d, who not only was rude and abusive he unbelievably, made fun of my Australian accent to my face. I have never been treated so badly by anyone and still to this day am totally stunned and disgusted.The only good thing about this experience was the intervention of the High Tea Manager who sent the maitre-d away and who then gave us free champagne and apologised profusely. No doubt this has happened before and i feel very sorry for those people who have had similar experiences from undeniably atrocious behaviour from this front of house staff member. The hotel manager would be appalled!	
Apr 5 2009 	Would i go there again? hmmm.	Yes i probably would, but i really would like to see some of that ridiculous stuffiness being done away with. The no jeans and no trainers thing i understand, especially the no trainers, i have however seen some dreadful suits in there! why should i be subjected to those? when a very smart pair of jeans, clean and pressed looks far more presentable than some tatty twenty year old suit thats never visited the Dry Cleaners, lets be honest, if you are the sort of person and are lucky enough to be able to afford to stay at the Ritz, you will want to look smart, so even your jeans will be nice jeans! Anyway, i had steak and eggs there for breakfast this morning, i could not get my knife through the steak and the eggs were undercooked and i was not the only person sending food back! So i decided to be very unforgiving about it all and left the breakfast room with my nose in the air, just to give them a taste of their own medicine, very satisfying!	
