	great location lovely staff but needs double glazing	Arrived early for check in but staff kindly let us in to our room early since we had been travelling from early morning. Room nicely decorated but bathroom very small. The main problem with the room was a very bad draught coming through the window very cold. Think double glazing would solve the problem of the cold and the road noise which kept us awake.Area lovely but not much to do in the immediate area not a great choice of entertainment. Taxis very expensive took one to west end cost us twenty five pounds each way. All said we enjoyed our stay needs a few minor adjustments.	
Oct 6 2009 	Small but well-equipped room in a good location with FAST lifts/elevators	First trip to London. 20th anniversary gift from DH. Lobby is attractive, modern. Check-in was slow. Waited about 12 mins. to check in, tough when you're hungry. One of the best aspects of the hotel was the bank of elevators. We were on the 7th floor and those things were FAST and there were plenty of them, I think 4. Very pleasant surprise and great since we constantly forgot things in the room or ran up to drop off jackets or umbrellas after walking outside to face yet another gorgeous warm late Sept day. High ratings to London and Mother Nature for producing those jewels.The room was laughably small, very plain with stark white walls and threadbare carpeting at the entrance, but overall well-appointed. Room was about 7ft x 15ft. (plus tiny bath) with a double bed at the window end tucked in the corner against 2 walls. Our neighbors must have thought I was sending code because I knocked my elbow against the wall every time I turned over. There were no drawers or closet/armoire, just a rack to hang things so we basically lived out of the suitcases, which I hate, especially for a 3 night stay. There was a long angled desk and chair with a huge mirror (and magnifying mirror built in) that really saved the room. It was so convenient for me to get ready at that unsteamy mirror while my husband showered. AND the hairdryer (which was very powerful and not the typical hotel blower) was located at that desk. My hair looked GREAT in London. I also loved the shower, once I figured out the arrangement of knobs etc. Good water pressure and roomy enough. The hotel should invest in one of those curved shower rods to give a little more space. Biggest drawback was the noise. Our room was at the junction of Bayswater Road (a very busy street that runs along the north edge of Hyde Park) and a side road. There was traffic all night long. I was glad I saved the airplane ear plugs because that saved my sleep for the last two nights.We really liked the location. Hyde Park is a lovely place to walk and sit outside. Our first day, we walked down to the Victoria and Albert Museum, saw the very impressive monument to Prince Albert (a one mile walk from Corus) and Diana's fountain (less impressive, the Royal Family could definitely have done better with that). The Lancaster Gate tube stop is a block and a half away so very convenient, though we ended up taking the doubledecker buses everywhere and enjoyed them more (nearly half the price of the tube as well).Food: a continental breakfast was included in our package so we did eat there each morning, preferring to save our dining pounds for other meals and there wasn't a wait any morning for the continental. My expectations weren't high from reviews I'd read, but the spread was sufficient for our needs. Every day was the same: a platter of very nice ham, a variety of packaged cheeses, croissants and rolls, oatmeal, cereal, some unappealing fruit, plain yogurt with fruit sauces to stir in, tea and coffee. I was happy to see the ham and cheese—the protein kept me going until lunchtime. We didn't try the restaurants but were disappointed by the early closing of the bar and even more so the Swan next door. We tried to go there at 11:45pm on a Saturday night when tables were still occupied outside and we were shooed away by the waiter who insisted they were closed. Not so pleasant to the tourists—in fact few of the bar staff we encountered were anything close to welcoming. We were surprised because we are a former bartender, cocktail waitress couple who knows our way around a drinking establishment. Definitely NOT pushy or obnoxious, plus we tip well (which I don't think is the custom in the UK). All in all a pleasant stay at the Corus. I might like to try another hotel (there are tons in the area) if the price was right and the reviews were excellent, but in the Hyde Park area, I would recommend Corus.	
Oct 4 2009 	Poor	This hotel, in my opinion, is best avoided. We stayed two nights, wither end of a trip to Tokyo. We had booked a family room, which turned out to be an outsize double. Cleanliness wasn't fantastic, and the whole thing felt a tad grubby and dated. There weren't even enough towels for a family. The family sleeping accommodation was two double beds pushed together 'Goldilocks and the three bears' style! The first room in particular was poorer, on a corridor that stank of stale cigarettes. Safes were either inoperative, or not screwed to anything. What a waste of time.On both nights we were distured by fire alarms, and when i stumbled downstairs to find out what was going on, nobody knew. Shambles. Breakfast was a ridiculour price, so we ate at the nearby Craven Cafe, which was very good. I managed to get £50 off my rate for the inconvenience. If I had more time to do some research, I wouldn't have stayed on my return. I cannot recommend this hotel	
Sep 30 2009 	Fantastic Convenient and Spotlessly clean	Lovely hotel in very close proximity to Lancaster Gate Tube. Rooms were very clean, couldn't fault them. Staff were friendly and eager to help. Bathroom small but has everything required. Ironing board and iron in room, flat screen remote control TV, hairdryer, air conditioned... No drawers though, which I found a little irksome.Breakfast was self service and no queues, served from 6.30 - 10 am. Plenty of choices to suit everyones needs. Word of warning.. we returned from the theatre and decided to visit the hotels restaraunt, however it was closed at 10.30 pm!! Walk out the doors of the hotel and across the road into beautiful gardens and on Sunday mornings the local artists display and sell their work on the railings to the park.. very nice.	
Sep 16 2009 	Just what I needed	Booked a single room at this hotel at the last minute, having got a ticket for Proms in the Park. Hotel was within walking distance of venue.Nice, but small, quiet room on 5the floor with A/C, Flat screen tv and small bathroom, perfectly adequate for my needs. Room was clean and bed very comfortableStaff were excellent.Didn't eat in hotel.	
Sep 12 2009 	Great Location	Stayed for three nights in what most be one of the smallest standard rooms in London.Bathroom was tiny, but both the room &amp; bathroom were very clean Hotel is well placed for Hyde Park &amp; close to Paddington Station &amp; tube links.Check in was smooth &amp; staff were very helpfull.Breakfast wasnt worth bothering with! You had to stand in line until your room number was called, then you had to find a table &amp; serve yourself. Food was luke warm &amp; of a poor choice. ( breakfast was served in the basement which was a rather drab room ) Many tables had not been cleared ,generally an unpleasant experience !We found a good take away around the corner .  They would cook anything that you requested for a fraction of the hotel price !!( &amp; it was of a much better quality) The local police &amp; taxi drivers all ate there !!!!!!!!The bar was nice &amp; made the best vodka lime sodas &amp; they had a very comprehensive selection of whisky.We would stay here again .	
Sep 12 2009 	OK .. in the end	My experience was a tale of 2 rooms. I was initially given a room on the 8th floor which was more like a cell than a hotel room. It was so small I had difficulty in getting my bag through the door. The room was dark, dingy, and the carpet smelled badly of cigarette smoke.After complaining, I was told that I could be upgraded for the discounted rate of an additional £20 per night. I had a second go at trying to be moved which was successful. The room on the 9th floor was much better and resulted in a pleasant stay.Personally I thought the hotel was not great value compared to other hotels of similar standard.On the positive side it is in a good location, ideal for Hyde Park.	
Sep 8 2009 	great value for money	this hotel is really good, i enjoyed staying there, mostly the location is great. I ordered the room through easyclick and i think it was a good price. The rooms are very nice and clean. I wouldn't say it's very fancy, though, and the rooms could be bigger. but the location is so great that I really didn't mind. Hyde park is right outside the hotel, and the tube is so close.	
Sep 7 2009 	Corus is a hotel I'd stay at again	Stayed at the Corus from Aug 23-28/09. Have to say that the location of this hotel is fabulous. Hyde park is right outside the door, and the Lancaster Gate tube station is close by. I recommend getting a tube pass for travel around London, we purchased a 7 day oyster card but found that we didn't use the bus system. Very easy to access the tourist attractions from this hotel.I found the hotel was exactly what I expected...a mid-range hotel with rooms on the small side. This is my second stay in the same area of London, and the rooms at the Corus are huge in comparison to the last hotel. I think this is to be expected in London unless you are prepared to pay the big $$$.Extremely friendly staff, clean rooms, internet access in the lobby (for those of us that do not have laptops), and breakfast every morning. I must say that the breakfast is very mundane, but there was something there for everyone. Staff was excellentI would recommend this hotel to anyone as a very reasonable, clean, and central place to stay while in London.	
Sep 3 2009 	Not 4 star. Three at best. Entrance nice but rooms tired and very small.	We booked a superior room for a weekend break with superbreak. Luckily we got a good deal but would have been disappointed if paid any more. Fire alarm went off each morning and this could be very dangerous as people ignored it. Sunday went off at 9.30 in morning for about 10 minutes. Breakfast was slow to say the least and asked for receipt on checkout to show that we had no bill to pay and they were unable to do this. Location great and very close to tube. Was clean but I have stayed in better rooms in 2* bed and breakfast. Poor quality fittings in rooms.	
Sep 2 2009 	Great Location canny staff good breakfast but Claustrphobic rooms.	Stayed over the bank holiday period, 1st room (standard) couldn't see out of the window becasue of all the condensation and its position. For the price they charge for a standard I expected something far, far better than that. Very claustrophobic. This should really have been a single room judging by the dimensions.On complaining, was upgraded to an executive room free of charge. This should be the level expected for a standard room, certainly not what I would call an executive standard. Bathroom was small but usable. However, because the extractor fan did not work mildew was forming on the grouting.The room itself was very clean and the maid service was good. There was a very unusaul smell perveying around the corridor on the floor we occupied. (5th)The meals were ok, unfortunately as the breakfasts are self-service, the food is continually topped up during the period and is kept hot in the baine-maries. (only the weekend before we stayed in a country hotel and breakfasts were cooked to order and prices were half the costs ). The staff in the restaurants were very welcoming and pleasant enough.We took an early &quot; Theatre Dinner&quot; which was quite nice but not a great deal of choice. Our waitress, a polish girl by the name of &quot;Blanka&quot;, seen to our every need and was very charming and very efficient with a good command of english.The fire alarms went off in the early hours, twice. An apology was placed in the lifts but apparently it is a frequent occurance.The hotel has an underground station only 100mtrs away ( you can feel it when lying in bed) and is across the road from the parks, the main city centre isn't too far away if you enjoy a walk.The previous year we stayed at the Tara Copthorne and was a better hotel in comparison and much cheaper. The owners/management should have a real good look at what it charges for its rooms and the level of accommodation on offer. Sorry, but just because its got a good location does not justify its pricing policy. Would we stay there again? I don't think so. I heard other people say it was very good, well theres no accounting for peoples taste is there.	
Aug 30 2009 	overnight stay	Stayed at Corus 1 night. Had upgraded to executive room. Room was small, bathroom tiny, decor tired. Hate to think what standard/superior room would have been like. Breakfast not included. Large queues for breakfast.Location superb opposite Italian gardens Hyde Park. 10 mins walk in Hyde Park following serpentine brings you to Hyde Park Lido, great location on lake for breakfast, full english breakfast £6.50 + healthy alternatives, juices etc.Hotel average, location great	
Aug 28 2009 	Lovely Hotel Great Location	This hotel is in a great location, just beside Hyde Park and within walking distance of the tube. The rooms themselves are a little bit small but are really clean and comfortable. The Swan pub is around the corner and offers some lovely food at a reasonable price. I will be staying there again when I go back again in October.	
Aug 25 2009	Never again - 2 nights twice as many problems!	The location of this hotel is great - same could not be said of some of the staff and their accounts department. Evening meal on the first evening was when it came alright, however when it came to pay the bill we were ignored and in the end my daughter went to bed. Only after another 25 mins did I finally get the bill!Made a cup of tea in the room and the long life milk was off !Breakfast - dont bother with the full english - you have to give your room number in then are told to wait untill it is called out. We were told around 15 mins - 45 mins later after others had come down after us had gone for theirs we asked what was happening , &quot;Sorry we overlooked your room number.&quot; Safe to say that on the second morning we booked breakfast to be taken to the room. Finally we paid our bill for the stay only to receive a letter later the following week saying that they had had problems with their card machines and would I kindly send them a cheque for the amount owing. Luckily I still had my receipt and card authorisation code and have contacted my bank to check, who told the amount had gone through on the said day. Contacted the hotel and told them only to have a half hearted apology. Their account had also since twice tried to put my card details through without my being there.Be very careful staying here with your cards! Location is not worth being conned!!!	
Aug 24 2009 	Great Location Not so Great Hotel	I can't recommend this four star hotel. The rooms are tiny (usual for London) and painted stark white, like little hospital rooms with absolutely no character or charm. Unless you upgrade your room, there are also no fans or air conditiioners and consequently the little rooms heat up very quickly. The staff is indifferent and somewhat snippy. The continental break at around 8 pounds is difinitely not worth the money. I suggest picking a three star hotel with a little local charm and staff who care if you live or die.	
Aug 21 2009 	good choice	I had the opportunity to stay in three different types of rooms on two seperate occasions at this hotel.... all in a span of few days.Thing is we were a party of three enroute canada... and had reserved one single and one standard twin room.We arrived early in the morning and were informed that single room was ready but the twin room would not be available till 2 pm.. however they offered us an upgrade to executive twin room for 30 pounds per night.i stayed in the single room while my companions stayed in the twin room. On our return from Canada we stayed in london for one night in standard twin room... and heres my take on the room categories..The standard single and twin rooms are small... but very comfortable.. specially if you dont have more than a single suitcase each. Rooms are fitted with modern amenities, flat screen TV, inroom safe, climate control, kettle and tea/coffee.Bathrooms are also on the smaller side but very clean. Adequate towels, washcloths, tissues, etc.Rooms are kept very tidy too.Continental breakfast was included in our room rate and was the usual fare. Nothing special.The executive rooms are much larger. But I believe they havent been refurbished in a while. The standard rooms have more contemporary fittings.I guess if one needs lotsa space the executive rooms are fine. But if one doesent plan to be in the room for a long time, the standard rooms are more than adequate.The location of the hotel is very good too. couple of mins walk from lancaster gate tube station. A taxi ride to nearby paddington station costs around 5-6 pounds, and gives easy access to heathrow via the heathrow express ( 16.50 pounds, per person, one way, standard class).I have stayed at the Cumberland during one of my earlier visits, which is better located ( right next to marble arch tube station)and is a four star hotel, but its also lot more expensive.Comparitively, the Corus Hyde park offers better value.If I am on a business trip to London again, I would definitely stay at the Corus.	
Aug 20 2009 	excellent for a theatre break	the only down side was that the bed side lights did not operate separately so when my son or i woke up in the middle of the night we did not feel able to put our bedside light on for fear of waking the other person up as they were operated on a joint basis only.other than that friendly staff, convenient location, excellent breakfast choice.	
Aug 19 2009 	Good clean no frills hotel in good location	Very welcoming staff and good, clean room. Like most hotels, not a lot of room for two largish cases but that is normal.Facilities good and real nice food.	
Aug 18 2009 	Good location enjoyed our stay !!	Just back from a 2 night stay at the Corus ( booked via Travel republic ) Board was B&amp;B ( contintental).Hotel is really close to Lancaster Gate ( central line ) and overlooks Hyde Park, about 10-15 mins walk to Oxford streetLobby area quite nice, our room was not ready until 2pm. The room itself was small, but cosy, beds comfortable, aircon working, hairdryer, tea and coffee making facilties. Bathroom was small, but clean, good power shower. Breakfast was ok ....could have been better ( more fruit) but was adequate, the breakfast room was nice and the seat by the window was lovely in the sunshine.Staff friendly enough, nice little bar area. Would stay again, for the price and location .	
Aug 18 2009 	nice hotel but definitely not a 4 star hotel. not value for money.	I chose this hotel on the basis that it is a 4 star hotel and was very disappointed. we stayed in room 602 and oh my goodness it was the tiniest room ever, even by london standards!!we booked into the viceroy, Executive room and wished we'd never bothered, as I'm sure the standard room couldn't have been much smaller! I wish we'd complained now looking back but i am going to complain as it really was tiny!! even the door into the en suite wasn't a full size door!!the staff were ok, nothing special a bit like walking into a travel lodge, hotel was clean but very average, not at all a 4 star quality!the food for breakfast was good but the service in here were terrible! tables were left messy and while we were eating used plates/bowls weren't moved as we had finished using them. staff were generally pleasant and well mannered but it all seemed apologetic at the state of the service. again not 4 star!in general I would say it's an average 3 star hotel not a 4 star so with that the rooms are VERY over priced even though hyde park is on it's door step and it's very close to lancaster gate tube station.	
Aug 16 2009 	Not Bad	This hotel has a great location just outside of the central city. The concierge and front desk staff are not very friendly, but overall the hotel is decent. The room was a decent size. We had trouble with the toilet not flushing and maintenance came to fix it twice before it worked. The continental breakfast is lacking. They only provided the bare minimal in food. Overall, for the price, location and surroundings.	
