	Just ordinary	I stayed in an individual room at the Meliá White House for one night. I found the hotel just ordinary. The decoration and furnishing are pretentious and a bit dated.The staff at the reception desk were nice and both the chek-in and the check-out were fast. The room was small, if not too much for London standards; however there wasn't even one chair and the only &quot;table&quot; in the room was more of a ledge with legs, barely 25cm deep and placed in a narrow, poorly-lit, aisle-like space (which is awkward for a four-star hotel that claims to be ideal for business travelers; but of course with a chair and a desk the room would have appeared crammed). The TV was big and a bit old. The closet looked a bit shabby. The bed was comfortable. The bathroom was up-to-date but really tiny; not even a shelf for the toilet bag, just the small counter around the sink. Everything was clean enough. There is a coffee and tea kit (inside the closet, as there is no other place to put it).There is something odd about the use of the in-room minibar: an note advises that if the customer uses the minibar to cool his own stuff then he will be charged 15 pounds.No free internet at any area of the hotel. Rate is 15 pounds per 24h.I didn't have breakfast at the hotel; I don'd remember the price but it was in the region of 20 pounds, so I had a good breakfast somewhere nearby (Great Portland St. is just across the street).The hotel is well located but you can find plenty of well located hotels in London at similar or cheaper rates and this one does't add any special value.In brief, it was just fine but there's nothing special about it. I've stayed at nicer hotels in London and would recommend this one only if you get a cheap rate.	
Oct 27 2009 	A nice 2 star hotel...never again	The hotel location is very good, just few steps from 2 tube stations and close to the Madame Thussaud´s or London ZOO. We booked the hotel without breakfast - paying more than 20 pounds per person seems rather ridiculous. The check out was very slow, room safe did not work and also the key cards had to be replaced twice in 3 days. The room we had was tiny - smaller than a cabin on a ship, one could barely move in there - IBIS has larger rooms. The bathroom was also very small and one can only wonder how this can be a 4 star hotel? The overall impression of the hotel was OK, but there are nice hotels in London offering better service and space... If you remove anything from the minibar (e.g. if you wish to put your medicaments in there), expect to be charged automatically 15 pounds... When we claimed this charge, we were offered a fridge for the medicaments - it was supposed to come in 15 minutes but has never arrived. The reception seemed tired and not very professional. There was no free internet access.	
Oct 25 2009 	it's okbut I'm done with this place......	As a regular guest I can say a lot of things about this hotel,but this stay has been for sure our last one. We booked a deluxe room as usual. Upon check in,it took two ladies to find our reservation and an unbelivable long time,we were very tired. Finding our reservation was just a matter of switching screens between hotel mode and apartment mode ( the WH has some apartments available too). Once stepped into our room,we immediately saw something was wrong. It was a deluxed room in the inside corner of the X shape ( the hotel is shaped like a X),problem is that it was a room nobody refreshed up for a long time. It was all dusty,musty and smelly,and with the corner window was like being really in a castle !! Not to mention the very small bed. We usually rent deluxe rooms just because of the large beds but this one was a small one !! Went down to the front desk,got another room and so on,very very annoying. Did not get much sleep as usual,the mattress is huge but very uncomfortable,so are the terrible pillows. Breakfast very good,as usual,but expensive if you are not MAS member. That's it..bye bye Melia White House,i'm done with you,	
Oct 25 2009 	Great Location	Superior Room was large and comfortable, Efficient lift system, Great breakfast	
Oct 23 2009 	First stay left something to be desired but The Level was excellent	The hotel is around 10 minutes walk from Euston station (to the West) and is in a pleasant location close to Regents Park. My first stay was in a Classic Room and I was not impressed at all; no cold water, the iron didn't work and neither did two of the lights. The room was cramped and had old style steel framed windows that were draughty. The bed was not a full size double despite a double room for single occupancy having been paid for. Drinks exorbitant, charged £7 for 2 small glasses of still mineral water as the tap water was 17 degrees so not fit to drink. Huge queues for breakfast in the main restaurant and even longer queues to get to reception to check out or report the faulty items. After an e-mail to the hotel an upgrade to The Level was offered by way of an apology at my next stay.Check in was marred as the upgrade had not been delivered as promised, only a Level room had been given and not Level service. After 10 minutes and having to produce the e-mail (thank goodness for mobile phones with internet access), the issue was resolved. The Level rooms were superb. Super king size beds and double glazing, plus the slippers, bathrobe etc. The Level lounge is very pleasant with a soothing atmosphere reminiscent of a club class lounge at an airport and the added bonus of complimentary drinks until 10pm. Breakfast is served in the Level lounge with staff attentive and food is excellent.I used the International restaurant in the evening and the 3 course buffet was excellent value at £24 with the ability to return as many times as you liked taking small portions so you are able to sample all of the dishes you would like. All of the dishes I ate were of a really good quality. I cant recommend their profiteroles highly enough!Overall, excellent restaurant and superb accommodation/services if you opt for the upgrade to The Level. I would recommend both.	
Oct 18 2009 	We'd definitely return	As part of a special birthday treat to my wife, we stayed at the Melia White House during our recent stay in London. Truly a wonderful experience: great breakfasts, clean rooms, terrific shower, friendly staff (special thanks to the concierge!). My wife is especially sensitive to scents and the lodging of nearby smokers made it less than ideal when the fan wasn't on. But that's minor. We'd definitely return!	
Oct 11 2009 	Gracious Hospitality!	I arrived with no money, my wallet having been stolen on the plane. They paid my taxi fare and waited two days for me to get a new credit card and funds! Trul y a great relief for my birthday treat to myself!	
Oct 8 2009 	Just Amazing	Everything about this hotel was just great! It was clean, the staff was friendly, and most of all it's located near everything!	
Oct 8 2009 	Gorgeous Hotel and Great Value!	We stayed at the Melia White House Hotel in the Regents Park area of London. The hotel was so convenient only 1 block away from the Warren St. Tube Stop! We stayed in the Level section of the hotel which included breakfast for free as well as a lounge area where drinks and snacks were always available! It was really perfect for a quick snak in between touring and dinner! The hotel is beautiful, the room spacious, and the food delicious! Great stay!	
Oct 2 2009 	Lovely Hotel	Lovely hotel, could do with a few more staff at checkin and at breakfast but still everything went rapidly. Apart from slightly worn carpet everyhting was in great condition even if the decor was a bit overly Spanish for my liking!	
Sep 29 2009 	Couldn't fault this hotel for money I paid	Booked this under a secret hotel deal and saved circa £100 off normal price and after reading some of the reviews prior to going I have to say that checking in wasn't slow at all. Obviously had to wait about 5 minutes as others was checking in but the checking in process was very quick with the front of house having all my details. Staff were polite and helpful in my opinion. We had Classic Double room which was nice and comfortable however the layout made it appear a little cramped but this wasn't an issue.Overall the place was beautifully presented and clean and the experience was a very pleasant one	
Sep 25 2009 	Can't beat the price or the location!	An excellent choice for easy access to London at an affordable price. Located just steps away from two major tube stops and with easy access to Regent's Park the hotel location is ideal. Service was very good at times (staff helped accommodate thoughtfully helped us at breakfast without request) and acceptable at others (received a smoking room with no other options even though I had requested non-smoking - apologies yes, but solution no). Rooms are typically small for London and don't expect great views but overall the location and price more than made up for this!	
Sep 22 2009 	Very slow checkin rooms very nice but kept they did not refund my deposit. still waiting!	A coach full of tourist arrived at the same time as us, unable to checkin straight away. Went for some early dinner, returned an hour later, just two people in front, still took over 20 minutes to check in 2 rooms. Made to pay an additional £25 on our card for the room, as holding deposit. On checkout the following day, very slow still, paid in full on the same card to find out 2 days later that deposit had been taken and put still on hold, even though we had paid also in full.	
Sep 20 2009 	Quality hotel in a good location.	Booked a standard room, was offered and an upgrade on arrival for £20. We took this to get the superior room. The superior room was spacious enough. The room was of a good standard, but not exceptional. Hotel staff where friendly and the service was efficient.The hotel is a large busy hotel and is situated in a good place for access into the city, with 2 tube stations close by.Classed as a 5 star hotel, but would be closer to a good 4 star as although the hotel is Ok it is not exceptional.	
Sep 18 2009 	The Best London Hotel We Have Stayed In...	My husband and I booked a room at The Level at the Melia White House for the August Bank Holiday. Customer service delivery in this hotel was absolutely fantastic from the moment we arrived at the Level reception; the room was a great size and catered for our every need. We availed of the Level Lounge; complementary papers, drinks and tapas and it was a very relaxing area of the hotel. Breakfast was served here every morning and catered for all tastes and served great coffee!! If I had to point out one problem, it was the height of the bath whilst getting in and out of the shower. Both my husband and I are tall, but we thought it could be dangerous for others maneuvering as the side was extremely high.We will certainly return to the Melia and would certainly recommend it to anyone who wanted to stay near Regent's Park; the tube is across the road; there are taxis readily available and is very quiet at night (if you stay in the Level rooms).Well done Melia White House!	
Sep 14 2009 	Functional quality in great location	Just a stones throw across Marylebone Road from Great Portland Street tube this is a popular hotel judging by high occupancy this weekend. We upgraded to a superior room based on previous advice below and am glad we invested in a bit more comfort. However for a superior room surprised how small the rom was and the lack of small touches like bottled water in the room.These are minor gripes. The service and breakfast was very good and I would come back again.	
Sep 1 2009 	basic rooms are . . . well basic!	Have stayed at the Melia many times. This was the first time in a standard double - previously stayed in a superior double. The superior rooms were very nice and spacious although the bathroom was small. The standard rooms are basic - comfortable bed but very small room, a little faded and the bathroom was even smaller. Portable TV on the desk, poor room lighting. The lesson - you get what you pay for but for a simple stop over £95 plus tax is good value for a great central london position.	
Aug 23 2009 	great hotel perfect location	We've been to London with our 8 old child. We know London very well since we lived there for many years. This hotel is very nice, perfect location and comfortable large rooms.Good price for a perfect hotel.	
Aug 22 2009 	Did not live up to its reputation	The hotel has great style and service is good but on my two trips I have not enjoyed my stay as much as I expected. The first time (in deep winter) the single glazing on the bathroom windows meant it was freezing. Lack of blinds etc meant I was quite visible to the outside world when showering ( not a pretty sight). On my latest stay, there was a strong smell of drains in the room (although strangely not in the bathroom). Pillows distinctly saggy.	
Aug 18 2009 	Great location near Great Portland St Tube - noisy room	We booked an Level Executive Double room which was spacious, nicely furnished and very clean. Reception was was very impressive, as was our welcome.Hotel is very close to the Tube and as we were seeing a concert at Wembley (only 3 tube stops along) this was a perfect location.The bar is open until 1.30 am and the atmosphere was great with snacks available until close. Drinks are very expensive.Our room was close to the lift and extremely noisy which we didn't realise until we went to bed at 1.00am, so I didn't get a good night sleep. I mentioned this to the receptionist at 7am and she advised we should have told them last night and they would have changed the room, too late :-( I asked if we could have a late check out so I could have a siesta but was only allowed to keep the room for an extra hour and was told 1 minute late on check out and we would be charged £50.00. Breakfast was in the Level lounge and was buffett, good selection.All in all a great hotel, we will learn to ask for a room not near the lift! BTW No parking available at the hotel.	
Aug 10 2009 	could not fault it	after returning from the Melia White House, I would just like to say that the level of servicefrom each and every sector of the hotel was to the highest standard that you would expect of a hotel of this caliber, nothing was to much trouble, every member of staff wasattentive and very obliging, and we will certainly stay there again, yes it is a short walk to the likes of piccadilly circus, but is that not why we have legs, buses and taxi's.	
Aug 5 2009 	Poor Service Overworked Staff and Bad management.	Located near Regents Park in London, you would expect at least 1 English speaking receptionist. Don't expect that in this Hotel. The breakfast room was full and even thou there was a few empty tables they couldn't be used as they were not cleared. There was only 2 staff who were overloaded with work. This was not a one off but it happened on every single day of my stay. The hotel is not bad but the level of service in the bar and restaurants as well as no English speaking receptionist was disappointing..I do however recommend the food at the Albufera restaurant..	
Aug 3 2009 	Excelent Hotel	I've stayed for two times in the Melia hotel in London and I have had two diferent experiences regarding the rooms. If you have a superior room you will be like a king. If you have a standard room you have a nice room but with lack of space. Nevertheless the facilities of the hotel are excelent, the ambience is great and the hotel is beatifull. I recomend this hotel and the superior room if you really want a great hotel experience but don't mind being a little bit far from the center (15 min fast walk to oxford circus).	
Aug 3 2009 	Okay - nothing out of the ordinary	Read previous bad reviews about standard room so booked The Level Executive Double Room. Room was exactly as pictured in website photos.The Level rooms include breakfast, free wifi, nibbles and drinks in The Level Lounge. Lounge very comfortable and a good place to chill out.Buffet dinner in The Place Restaurant was horrible so don't waste your money going there. Didn't eat in the Spanish restaurant.Not the best location to see London on foot. Close to underground station though.Can get better value for money elsewhere.	
Aug 2 2009 	Over priced for small room	Now I know that London prices are higher than UK norm, but I felt this hotel was poor value for money. The lobby looks great, but rooms are tiny. For £160 per night B&amp;B for one person, I did expect a little more. In addition, internet access was charged at £5 extra - I did feel was just taking the micky. I refused to pay on principle, and took a 5 min walk to local Starbucks where internet connection was free , with a nice coffee.On the positive, the breakfast was excellent and staff were friendly - but this no more than I would expect anyway!	
Jul 27 2009 	Another perfect stay	Just back from our second visit to the White House this year, this time celebrating my parents Diamond wedding anniversary, there is nothing that you could want that this hotel does not provide.........but the truly great part is the amazing service that every member of the staff offer. Nothing is too much trouble, every request is met with a smile, Do upgrade to the Level when you stay, it is splendid, and worth the extra And finally prepare to be utterly charmed by this excelent hotel and the delightful staff.	
Jul 25 2009 	Everything was better than we expected - Beautiful Hotel (hidden)	This stay in march was wonderful, the hotel was very accessable to transport, and walking, with park on one side and a short walk to Oxford street on the other. My husband and nephew will be staying here again in August and my husband and I hope to be back again Sept./Oct 09.I would highly recommend this hotel for both business and pleasure	
Jul 23 2009 	Visa charges not authorized debitted without prior notice	We have been in Hotel Melia White House for 3 nights, from 14/07/09 till 17/07/09. We are very disapointed to see that beside other visa charges that we signed, we have found a visa charge of around € 135 which have not been spent and of course not signed/authorized. We got in touch this morning by phone with Hotel and they informed us they should ammend and void the charges sending instructions through their bankers and also an email confirming above would be sent to us, but so far have not seen any change.	
Jul 21 2009 	Good hotel but beware tiny rooms	I have stayed here a number of times when in London for the cricket at Lords and generally have a good experience. The last time I was there I was upgraded to a larger room. This time I was in the standard 'classic' room which is really small, although just about OK for one. The furniture is a bit tatty too.Still overall I like this hotel. The bar is a particularly good place to relax and the spectacularly beautiful Regent's Park is over the road.If you are staying here try and avoid the tiny 'classic rooms'.	
Jul 21 2009 	Box rooms!!	Melia White House close to Regent Street is definitely a good looking hotel, huge, neat and good restaurants. Infact when my partner and me were at the lobby - we were quite impressed and glad at the choice we made......ofcourse we were yet to see our room. That was a huge disappointment - you can stretch out your arms and touch the two walls on opposite sides. The room was so cramped, small and dingy. There was hardly any place to get off - you literally jump hop off the bed to the door or into the bathroom.I would not recommend this to couples, especially if they are in London on a holiday.	
Jul 19 2009 	Great value - top London hotel	Having read the reviews we opted for a 'Level' room. The room was soundproofed, bed great, service and food were terrific - a fabulous start to our Europian holiday. Would highly recommend. We'll be back next time we visit the UK.	
Jul 13 2009 	Good 4* London hotel	Stayed here on business - had a small room - clean and good facilities (very small bath though - just a shower tray really). Nice design and decoration.Public areas clean and well designed. Staff helpful. Location great very close to tube, Marylebone and Euston and Regents park for a walk.Nothing to fault.	
Jul 13 2009 	Not worth the money!!	Myself and 2 friends stayed at this hotel in June for 2 nights. we had booked months in advance and had rang the day before to confirm our booking. when we arrived at the hotel it was past midnight so we were dying to get to our room. The man at reception then told us that the booking was only for 2 people even though we had booked a triple room but sent us to our room anyway. When we got there it was the smallest room i have ever seen!! We were on the 8th floor which is the dearer rooms so we were expecting a lot more. We had a double bed and a sofa bed...the sofa bed was from one wall to the other when opened so to get to the bathroom or out of the room you had to climb over it!! Not fun at night when your trying to sleep and have people climbing over you. The next morning at breakfast we were told again that only 2 people were down for breakfast even though we sorted it at reception the night before. One of the waiting staff was so rude and annoying i would have breakfast elsewhere just to avoid her...she was hassling everyone while trying to eat, even the other waiting staff couldn't stand her!! also the food was not very appetizing and certainly not worth the 22.50 for an english breakfast. Along with that they debited the credit card when we checked in even though they said they would not and tried to charge us for taking items from the minibar we never took. Overall good location and it is a very clean and lovely decorated hotel but its very overpriced and badly run. not worth 500 pounds for 2 nights.	
Jul 12 2009 	Just very average - small rooms - but real good breakfast	I stayed at the Melia to participate in an event of one of my clients. I arrived early, just before 12 noon, and there was no room available at first. This is unusual as some guests check out early in the morning so there should be some rooms ready at around 11. When I finally got a room (I had to change and wanted to shower), it was really small - smaller than you would expect it from the hotel category or the hotel website. Also, everything on the floor and in the room was very british old-fashioned with dark colours, wood, thick carpets etc. Not at all Melia style but that often happens when a cool hotel chain acquires hotels abroad and just puts its label on them. The good thing with the (new) Spanish owners is the breakfast: It combines the best of several worlds, including Spain. This was really delightful. Also the location is really good: Almost on Regents Park, and just a ten minute walk to Oxford Street / Soho. The area is hugely preferred over the more touristic areas like Russell Sq or Picadilly C. Unfortunately, the bad rooms make it impossible to recommend Melia.	
Jul 8 2009 	What a very friendly Hotel in a superb location	I have stayed at the Melia White House last year. Three friends and I booked the Level 7 accomodation. We were very impressed with the friendly, attentive staff and the accomodation itself. The location is excellent, my friends and I were in London for one night. A stones throw from Euston Station, handy to take a stroll in beautiful Regents Park and just three stops on the tube (Tube station over the road from the Hotel) to Wembley where we were attending a concert. Left the concert at 10.30pm and we were sat in the bar enjoying a relaxing drink and snack by 11.15pm.The bar itself tends to have a pleasant ambience. Some public areas have no atmosphere and if you are a solo resident this can be off putting. Pleased to say this was not the case with The Melia White House. Congratulations to the Mangement and staff for all their efforts in making our stay so enjoyable. Will definitely re book when I am in London next and will recommend to friends.	
Jul 6 2009 	Small bedrooms but comfortable surroundings	A nice stylish hotel that felt like we were on the Titanic (see photos) which added humour to our stay.The room was a little small and only single beds for a twin room and a small bathroom so not very spacious at all. HOWEVER it was a nice stay, breakfast was buffet style either hot or cold and generous for choice.Friendly &amp; helpfull staff at reception, and at the end of the night theres a nice relaxing piano bar for a night cap after a social evening out.	
Jul 4 2009 	We really like it...	The hotel is amazing.We've been there only for 3 days,but we were very satisfied.The location is perfect near to the underground,to the park.We don't like only the service on the reception,they were very slowly and made that they didn't understand what we talk about.But except that our stay in the hotel was great.The breakfast is good too.And I would go back someday again in Melia.	
Jun 27 2009 	Attentive Staff Very Pleasant High End of 4 Star	I booked the White Melia through Lastminute.com where I managed to get an amazing rate, around £100 each for 3 nights or £200 for a double room. The hotel is a 2 minute walk up from Great Portland Street Tube. The location is nice and convenient, quite central but also peaceful, with Pret A Manger, cosy pub and grill close by. As soon as my friend and I arrived we were greeted by friendly and helpful staff. We were swiftly given the key to our room and offered help with our luggage. The reception staff were very pleasant and smiley. The lobby is lovely, with fresh flowers and marble floors with a comfortable seating area. Our room was on the first floor, again great decor in the hallway, we walked by the maid who was busy at work, she also gave us a warm smile and greeted us. The room is the typical size for London, not huge, but ample, with a large desk and good storage. There was a television (with films for order, although pretty expensive if I remember correctly) refreshments (tea, coffee, hot chocolate and even some shortbread which went down a treat!) The bed was a good size and comfortable enough, the bathroom was nice with toiletries, the shower was fantastic- very powerful (a welcome change!) and stocked with plenty of towels. If you like your minibar, there is a perfectly stocked fridge in the room. Room service is also available (although I didn't use either of these) there is also a bar and restaurant in the hotel, again I didn't use this, but it looked very nice and ambient.The room was cleaned regularly. Check out was no problem.Only complaint? No free wifi. This incurs a hefty charge.But overall and very good hotel and comfortable stay. Very impressed, highly recommended and would certainly visit again!Also the elevators are pretty cool! (you'll know what I mean when you get there!)	
Jun 15 2009 	What a dissapointment!	We stayed at White House 8 years ago and had a great experience so were looking forward to our recent stay. We were very disappointed. Our main complaint is the cleanliness of the rooms: carpet was awfully dirty, sheets were stained, dust everywhere, safe and AC did not work. Service is not high quality anymore. Agree with a previous reviewer who stated the hotel has gone downhill. Only good thing about hotel is its location within walking distance from underground stops and Regent's Park.	
Jun 12 2009 	Faeces on floor: everything broken or dirty	Wow - has this place gone downhill. I've stayed here 3 times before and this time was a horror. the first room had paint peeling off the windows, which didn't shut and the roar of the buses was deafening. the mirror in the bathroom was cracked. The next room (which I stayed in) had a plug for the bath 2cm smaller than the plug hole, so that was unusable; the powerpoints in the wall didn't work so you couldn't boil a kettle or charge the phone; the hairdryer was so cracked that the hot air came out of the handle and scalded your hand and there was a pile of dirt behind the bathroom door. The room was so small you couldn't physically sit at the table.I made the mistake of using the toilet in the lobby. There were faeces on the floor. Seriously... there was also a substantial amount of dirt and grime round the edges of the floor. I'm not a clean freak at all and this just revolted me.The queues for check in, check out and breakfast grow ever long. More than 30 people queued in front of me at breakfast as their method of allocating seating was so slow. The staff are pretty curt.Stay somewhere else!!	
Jun 11 2009 	loved this hotel	we got a great deal on booking.com 200 for 2nights the hotel is centrally located on the circle line a couple of stops from Victoria, Liverpool and Paddington stations. nice area with a pret a manger, express tesco, regents park and a couple of pubs and restaurants the reception area is really nice and the staff were very friendly. our room was small enough but very comfortable and warm. we had lots of channels on the tv, good powerful shower, tea and coffee facilities, iron, trouser presser, safe and fluffy towels there is a nice leisure centre, a gym, coffee shop, bar and restaurant with an extensive menu, we tried it one of the nights and enjoyed our mealwe would stay here again, central, very comfortable and that little bit away from the noise so you can relax after a day on Oxford St	
Jun 10 2009 	outside trendy Londoninside a wonderfull place to rest...	We stayed in The Melia White house for 6 wonderfull days and nights.The Staff was very kind and friendly.The Level room we had was very comfortable.From breakfast to late in the evening ,everything was good served.We'll comeback in december for another great stay in London and the Melia White house hotel...	
Jun 8 2009 	Friendly Helpful Staff	Stayed in room 682, lovely and clean, bed slightly too hard for me. Had a problem with my neighbours in room 683, foreign couple talked really loudly, on the first night I reported them to reception, and they sent a porter to their room, they went quiet for a while but then started again at 1240hrs. Had to complain again on the 2nd night, not much fun when you have your 11yr old daughter staying with you and bearing in mind this was now 2330hrs, they were smoking as well, which they shouldn't have been. I banged really hard on the adjoining door to tell them to shut up and they ignored me!!! I rang reception again and told them that I was not satisfied with the couple next door and also told the receptionist that they were smoking, he told me that they were non smoking rooms and he would send somebody up straightaway, true to their word they did and the couple actually shut up for the rest of the night, probably because they had been caught!!!!This is the first time I have stayed in an hotel of this calibre.It certainly is not a cheap hotel and make sure that you read the instructions for the mini bar, luckily I was not charged for anything.Friendly and helpful staff, very clean and accomodating.	
Jun 5 2009 	AWESOME PLACE	This is the best hotel i have ever stayed in . fantastic sevice ,great location good breakfast and bar ,loverly room ,modernised but with style and class .loved it and when i left they gave me some money wayhay!	
Jun 4 2009 	Great value	We stayed at the Melia White House in London for a few nights in May. On arrival, we upgraded to a deluxe room for an extra 15 pounds – meaning that we paid a total of around 120 pounds inclusive of tax per night.In my view, this represented great value. The hotel is in a prime location near Great Portland Street station, a couple of minutes’ walk from Regent’s Park station and about ten minutes walk from the Baker Street station. The lobby is enormous by London standards – all marble, orchids and chandeliers – with a bustling, pleasingly big-city feel.The rooms are a decent size for London - very clean, secure, and well appointed in typical anonymous four-star hotel style. The bathroom was small but functional. Our only minor concern was the rooms were pretty warm, even if you turned down the thermostat.Lastly, the bar was pricey but quite full with a good atmosphere – and bonus points for the spirits trolley the waiting staff wheeled around the room!	
