	Great location for traveling out of the capital	Recently spent the night at Premier Inn Euston, i must say that the location of this hotel for both Euston Station and Kings Cross was great, i go to visit my Parents in Berwick upon Tweed quiet regularly so having a good hotel close to the station has been great . If you need to get an early morning train ,then i would recomend this Hotel, the staff are were very polite and rooms very clean, breakfast was reasonable as it was a buffet and you could eat whatever you liked and even started at 6.30am.I hope this helps anyone planning to stay in London.	
Aug 18 2009 	Great hotel and location	This hotel is really good. I found little to fault it. The rooms are air-conditioned which is really important to me as im a hot person and it's always stuffy in London hotels. The bar is nice and the breakfast was lovely, buffet style. Lots available and everything was fresh.The bed was really comfy and with pressed brilliant-white sheets and a purple satin throw. The window was really big and blocked out the noise well. You can see how effective the windows are when you open it then realise how noisy the traffic is outside then close it again.Staff are nice and helpful and the bathroom was clean and smart. The room was really lovely and i would definitely stay in a premier inn again.I managed to get a great nights sleep and woke up refreshed in the morning.The hotel is directly opposite Euston station, just through the small park where you can access most of London by tube or train. It's also near to a lot of London attractions such as Harrods, Westminster, The London Eye and Picadilly Circus.This is one of the better hotels to stay in London wihtout breaking the bank. It was most impressive. Next door is a lovely Italian restuarant which we went to for an evening meal too which was great.	
Aug 17 2009 	Highly recommended hotel with friendly service	I recently stayed at the euston premier inn with my young neice. This was our second stay at this hotel as we had stayed here before back in june. We arrived very early in the morning and went straight to the hotel to see if it was possible to leave our bags somewhere before returning later to check in. However, the reception staff were really freindly and helpful and allowed us to check in early. The room was spotless, spacious and the beds were very comfortable, our room was on the ground floor yet we heard very little noise from traffic as the rooms are well insulated. We had the all you can eat breakfast which was excellent value and also ate at the hotel restaurant which again was excellent value and all the staff were really freindly. The location of the hotel is ideal, literally 5 mins walk from euston station and just a short walk to euston square which makes it easy access to all the sights. Overall I would recommend this hotel to anyone planning to stay in london and we hope to stay here again very soon.	
Aug 17 2009 	Premier by name and Premier by nature!	'My wife and I stayed at The Premier Inn, Euston, for one night. We both wished we could have stayed far longer. Having toured Europe and the US in celebration of our 30th year of marriage, we would place this hotel in the top three in terms of cleanliness, comfort, courtesy and professionalism. The prices were very reasonable, and the hotel gave terrific value for money. We were treated extremely well. We were made to feel like royalty throughout our stay. The location is convenient for Euston, King's Cross and St. Pancras (Eurostar) stations. The British Library is across the road. A bus stop right outside serves Trafalgar Square, Waterloo and Victoria stations, passing through central London on the way. They guarantee you a peaceful night or your money back. Go and stay there with confidence.'	
Aug 16 2009 	Impressed by the service !	Very convenient location as I was looking for a hotel near the new railway station Saint Pancras International. The Premier Inn London Euston is less than 10 minutes walk to the station.I was welcomed by a kind and smiling young lady called Bibi who gave me all the necessary details very clearly. She helped me several times for various questions and remain very courteous. Makes the place feels very friendly.The hardware is good and the overall purple color concept of the hotel is very nice ! The room was clean and very quiet. Mattresses were not too hard and not too soft, just perfect. The bathroom was clean with good amenities. Water pressure was also good.The next morning I found the breakfast was great and service was again very attentive. Although I had paid an additional £25 for a late check-out (4pm) and put a &quot;do not disturb&quot; sign at my door, a maid knocked around 12:15am but said she was very sorry when I explained her the situation. As I didn't feel like having a nap anymore, I went down to the reception and my £25 were refunded by the supervisor without any problem. I recommend this hotel for anyone visiting London and wishing to be near St Pancras. The Euston Premier Inn has a great hardware and its staff is kind and very courteous. I will for sure drop back again whenever I am back to London !	
Aug 14 2009 	friendly and helpful staff great location would use again	we were able to leave our bags and go sight seeing as soon as we arrived , the staff were very helpful at all times . the rooms were clean and the breakfast was everything we needed . one tip go for breakfast early we ate around 8 and when we came out there seemed to be a lot of people waiting . a short walk from euston station , i would use this hotel again .	
Aug 13 2009 	GOOD LOCATION AND GOOD VALUE FOR MONEY.	We stayed here for 4 nights, and even though our room overlooked Euston road, was very quiet, apart from the Emergency vehicles (Fire Station just down the road, also UCH A &amp;E ). It was lovely to have Air Conditioning. The double bed was really comfortable, lovely bedding, and nice to have 2 pillows each. Our 12 year old daughter had a single bed in the room, yet room was still very spacious. Lovely clean bathroom, plenty of hot water, comfortable bath. Breakfast was really good, though we had to queue for quite a while on the Sunday morning. The staff were very friendly and helpful. I think my only critisism is that there was not enough storage for clothes in the bedroom, especially with 3 people in the room.	
Aug 3 2009 	Not very comfortable however staff is good and friendly	In our room there was a smell of dampness and mold (surpisingly not in the bathroom, but in bedroom). So we have to twice ask for another room at reception. The third room was good, but with additional single bed consuming space.Personal was good and friendly except the maid. It came to our door at 8:50am, knocked three times and then entered the room. She observed our surprised sleepy faces she said &quot;Sorry&quot; and rushed out. So if you plan to sleep until midnight be careful.	
Jul 14 2009	Not too bad.	Room size was okay. Bathroom a bit awkward. Room was nice and clean. The rusty heating element in the tea maker made me feel uncomfortable about using it. Not happy that there was only a choice of paying for a full English breakfast at about £8, so decided to have breakfast elsewhere, and there are many choices for this. There's a Costa Coffee shop attached to the hotel, there's also Starbucks and a Pret A Manger within a block and Caffè Nero at the Euston train station across the street. There are also choices at the nearby Kings Cross train station. Didn't see grocery stores in the neighborhood, except for a small Sainsbury near the Euston Square underground station. Staff at the reception desk couldn't answer any of my tourist attraction questions and didn't have very many tourist attraction brochures, neither did the train stations, so do your own research before coming. One of the reception desk staff told me that they have scales for weighing luggage, but when we went to check out, were told that they didn't. No little fridge in the room. We had previously stayed at a Premier Inn and ate at their restaurant, since there were no other restaurants in the area (unless you took a taxi to get to one), and since the food was so-so, we decided not to eat at their restaurant this time. Glad that there was air conditioning in the room. The toilet paper is better at the airport. You have to use at least ten sheets of the one in the hotel. Nice flat screen tv. I like the hotel colors.	
Jul 10 2009 	Nice Chain Hotel	The Premier Inn is a typical chain hotel. Nice, comfortable, but not extraordinary. Except for the mattress. It was extraordinary. The hotel was pricey for its class but that was probably due to location. The hotel is very close to St. Pancras International and Kings Cross which make travel into and around the city easy. Although the hotel is on a busy street, one can totally isolate the noise thanks to double windows in the room.Plenty of restaurants nearby. The real negative to the hotel is the cost of the internet service. 5 pounds per hour.	
Jul 7 2009 	Great location and room...if you don't mind a little noise	Stayed for one night ahead of a business meeting. The hotel is literally only a few minutes walk from Euston station which is great if you need easy access to national rail or tube services. Check in was very straight forward and the reception staff were friendly. My room was huge especially considering this is a budget hotel in central London. I've stayed in lots of hotels in London (three others in the Euston area alone) and this room was double the size of a nearby more upmarket hotel room I was put in with my partner back in February. The room and bathroom was spotless and they've just installed a new air conditioning unit. My room looked onto Euston Road so there was a fair bit of traffic noise so i'd recommend asking for a room away from the main road or get some earplugs if you're a light sleeper!Breakfast was the standard Premier Inn breakfast which is always okay but nothing special. Overall this hotel is ideal if you need to be near Euston or Kings Cross/St Pancras and you want to stay in a room bigger than a cardboard box!	
Jul 7 2009 	Spacious comfortable rooms with friendly service	Right near Kings Cross and Euston Stations, this was easy to get to using the tube during our short stay in London. The rooms were really spacious, and comfortable. We had two children, so there was one extra bed supplied, and a mattress on the ground. Some people might not like that, but our kids were very happy with the bedding. The room was clean and fresh, and it was great to have air-conditioning in the room. Staff were friendly.,There was a restaurant downstairs, and although we only ate breakfast, we noticed people having a great time there in the evenings, with a live band performing on the Friday night.	
Jul 4 2009 	Back again for another stay	Overnight visit again on business.Staff are really helpful and welcoming.Breakfast is excellent.Made mistake of accepting ground floor room only 2 metres from the traffic on busy Euston Road.Room and public areas were spotless.I expect to return.	
Jun 28 2009 	Premier Inn London - Euston is a great place to stay.	My friend and I stayed at Premier Inn in London - Euston for a brief two night visit. The hotel is situated right across the street from Euston Station and is convenient to trains as well as the tube, which makes navigating London easy. The rooms were clean and comfortable and the staff was accomodating. My only frustration was with the outlets in the room. I brought my curling iron with me from the US, along with an adaptor for the outlet. My adaptor fit the outlets in Birmingham, on the first part of my trip, but it would not work at this hotel. I wasn't too upset about it, though. It was just one of those things.	
Jun 28 2009 	If you are just wanting a place to eat and sleep...?	My family stayed at the Premier Inn for several nights in the summer of '07 (this review is obviously belated). It was clean, comfortable, and relatively quiet--as much as you can expect for being in the city. The bathroom was decently sized, which was nice after the very wimpy one we'd had in Copenhagen! The staff was courteous and helpful when necessary, though we didn't require much of them. The breakfast was ample every morning, and satisfied my then 13 year-old son's 'growing boy' appetite. We love London anyway, and Premier made our experience pleasurable!	
Jun 24 2009 	Convenient	Booked hotel as a base for theatre and sight seeing trip in London. Staff are the best with nothing too much trouble and always helpful.The location was chosen for being close to Euston station, which I didn't realsie had a tube station at the same site as rail. This proved to be a good advert for public transport and only took us 5 minutes to picadilly circus. With the hotal a 5 minute stroll the location was ideal.The rooms are standard Prem Inn comfortable with good sized bed TV that works Shower Toilet and bath etc. The bar was well staffed and meals looked reasonable although we only had drinks which were reasonably priced.We felt that the price for the rooms was a little higher than others but well worth it when the standard is good.	
Jun 14 2009 	Busy Efficient Value for Money Hotel in London	Standard premier inn. Clean, value for money, friendly staff, good breakfast, convenient position, great for a couple of nights. You know what to expect, you are not disappointed, and you can return again and again knowing that everything works and that the staff are friendly and helpful.	
Jun 13 2009 	Clean tidy and very quiet	I stayed here for a business trip and I found this hotel very clean, tidy and quiet. Check in/out and breakfast were fine. The hotel is in a very busy location but it was very quiet (something I find hard to find in London).The wifi is Swisscom with the usual issues/pricing and there is no access to other internet services. It’s an easy walk to central London locations and there are plenty of tube stations and buses in the area so travelling around was very easy.	
May 31 2009 	Convenient - but very mouldy	We chose the Premier Inn Euston because we had an early Eurostar train in the morning. It is a very convenient location, and overall the room was very clean looking, but we were bowled over by the smell of mould in the room. It was so damp it literally felt like sleeping in a tent. For just over £100/night this really isn't acceptable. We've stayed in the Premier Inn at Tower Bridge and found it very agreeable but for the money, next time we'll find a place that is a bit drier and less smelly! Staff were very friendly and when we brought this to our attention, did offer to move us to a room facing the other side of the building for our next night of stay but we opted to cancel, not willing to risk it.	
May 31 2009 	Great value-what more do you need ?	We stayed at the Premier Inn Dukes Rd, Euston for 3 nights in the last week of May.The hotel is conveniently located just 5 minutes walk away from Euston main line station and is also only a few stops on the Northern Line tube from Embankment station.The hotel would win no prizes for Architectural elegance being a typical city block,but then thats not what its designed to do.What it does do is provide good value,clean,comfortable, accommodation and in this respect,it cannot be faulted. Rooms are air conditioned and the bathroom had a very powerful ,hot shower !The rooms and general public areas are standard Premier Inn. Clean,comfortable and functional.The staff could not be faulted. They were all very efficient,pleasant ,smart in appearance and always willing to help.The hotel has an attached Costa Coffee outlet and also its own in house restaurant area for breakfast and dinner. Breakfast can be pre paid or purchased as required on the day.Wifi is available though this is not complimentary.All in all,a comfortable stay and these days,i do tend to use premier Inns as one can easily pay much more and yet get a poorer standard. With Premier Inn,you can always be sure of what your getting.	
May 20 2009 	Great budget hotel but beware of restaurant "deals"	My husband and I stayed here for a few nights during our first trip to London. The location was very convenient to both the underground station and the Eurostar station. The staff at reception were incredibly courteous and professional. Many times throughout our stay, we relied on them for 'local information' and they did not disappoint - they were great. The room was very no-frills (read: bring your own shampoo). However, we had just come from Paris, so to us, the size of the room was HUGE! Overall, the room was a nice, quiet, clean place to come back to after a long day of sight-seeing.As far as the restaurant is concerned...We pre-purchased our breakfast with each night's stay for 7.95 pounds, and overall that was a fairly good deal. The breakfast assortment was actually quite good as it included eggs, bacon or sausage, beans, tomatoes, breads, muffins, fruits, cereals, etc. We were offered, and unfortunately accepted, an offer to have dinner at the hotel one night for 20 pounds per person (I believe this price may have also included breakfast?). Nonetheless, the set menu that was offered for the dinner was not varied, but we finally arrived on something. To make a long story short, it took 30 minutes for our wine to be delivered to our table (after asking two separate waiters who had 1) taken our order and 2) delivered our appetizers). Also, upon being given no choice as to how I would like my beef cooked, once it was delivered, it was a nice charcoal-y grey color and about as tasty as a charcoal briquette. The one thing that was keeping me going through all of this was that Waiter #1 had informed us when we were seated that the dessert was a chocolate fudge pudding (who wouldn't look forward to that?). So, after having sat at the table 20 minutes after we were through with our food, I was politely informed that our dinner did not include dessert. Argh.I would recommend this hotel to a friend as a budget alternative when in London. I would also recommend the breakfast, just not the dinner :)	
May 19 2009 	Good London Hotel	This was my fith stay in London (3rd review of a london Hotel) and this Hotel is one of the better ones. The staff at the reception was friendly and open to recieve us. We booked the hotel in a package travel service so all the other tickets and maps were present at the desk. The room was cousy and clean. Also the restaurant is a nice choice when you like to eat something at the hotel.The hotel is close to the international Eurostar Trainstation (St Pancras) and also a major hub for the Tube-network.	
May 14 2009 	Decent hotel in convenient location	I booked this at short notice, but I spent a lot of time looking at various hotel booking sites trying to find a decent deal somewhere central that had good reviews. Nowhere really stood out. Decided to check Premier Inn, which came in slightly cheaper than similar hotels, and it had good reviews, which was probably the most important.Stayed here for 4 nights, didn't have any problems. We hadn't prebooked for breakfast, but we went along twice, which was no problem, just pay it when you turn up. Think it was £7.99 for breakfast, or you could get a coffee and croissant to takeaway. The info in our room mentioned a third option of a continental breakfast for about £5, but that wasn't available. Breakfast always busy, reasonable selection of the usual hot/cold stuff. They can also warm up a microwaveable porridge on order.Didn't eat in the hotel in the evenings, as we ate out nearby. Room of reasonable size, bathroom fine. Everything seemed clean and good condition. Slightly noisy at night due to being right next to Euston Rd and close to a fire station. Small safe in the room which you had to pay for I think. Iron and ironing board available near the lifts. Location very convenient; 5 mins walk from Euston station, St Pancras and Kings Cross. 15 mins from Russell Square and Regent's Park. Check out the British Library and/or the Wellcome Institute, both very close and with free wi-fi (nice cafe at the latter).Hotel has a couple of PCs if you need to check your email etc, for 20 pence per minute. They've also got a thing in reception for charging most types of phones for £1 a time, which could be handy.Service always very friendly and helpful. We were able to leave our bags in the hotel after checking out for collection later. Would stay here again without any hesitation.	
