	Super views reasonably priced	Stayed at the Tower for one night on business due to an overnight function in London.The view from some of the rooms or the front of the hotel over Tower Bridge, especially at night, is something to see. Room was comfortable if not a little small but for the rate paid that was fine. Breakfast in the morning was plentiful with a good selection of hot and cold.Check-out was quick on this occasion - have known it to be slower.	
Nov 1 2009 	Great location poor quality breakfast	Stayed for 3 days at the end of Oct. Ate in The Brassierie each night. Food was good, but pricey. Room was clean, but had 3 single beds making it cramped. Hard to get to window to see the nice view! Service and staff were all very good. The only disappointment was the buffet style breakfast. The food was rock hard, never got a fried egg that wasn't rubbery, and the bacon was not worth getting as it was so dried out. Also only had BT openzone wifi, no free wifi which is fast becoming as basic as TV...	
Oct 27 2009 	Excellent	My partner and I stayed at &quot;The Tower&quot; for 1 night. We stayed on the fifth floor, room 565 to be exact and found the hotel to be very clean and tidy. Our room was recently refurbished and was very pleasant with many mod cons, particularly good was the underfloor heating within the bathroom area.My only comment with regards to the room would be that the windows did seem slightly unstable but nevertheless this had no impact on our stay and did not spoil the spectacular view of tower briidge. Plus first thing in the morning it did seem slightly loud at times, you coud clearly hear cleaners conversations, domestic appliances etc.I also highly recommend the hotel in terms of friendly and knowledgeable staff, in particular the concierge team. Lovely hotel, highly recommended and invevitable I'll stay again.	
Oct 20 2009 	Beautiful view but definitely needs repair.	Beautifully located near Tower Bridge with views on river or St. Catherine docks. Some repair should be done soon. Bathroom not so clean as it could be. Water-tap moving in every direction. Windows very old and I had feeling that after opening they will go down.	
Oct 12 2009 	Great location hotel pricey	The location of the hotel is the best in my opinion, as it overlooks Tower Bridge, and is a minutes walk from the Tower and St Katherine's docks. Across the Thames is Butler's Wharf which has lots of nice places to eat. The DLR line is minutes away also, as well as the thames boat stopsThe rooms are on the whole lovely and the decor can either be modern or traditional depending on which floor the room is on. The bed and bath are large, though the room can be a little dusty. I once had a room overlooking the Tower and it was beautiful at night. There are queues in the morning for breakfast and for checkin/checkout, despite having 2 breakfast rooms. I would recommend, having an early breakfast and using the fast checkout if time is a problem,Overall a lovely hotel, though there are equally nice hotels minutes away from Guoman, that are not quite so expensive. If I were to stay on leisure, I would probably choose another	
Oct 9 2009 	The view makes this hotel feel better than it is	The hotel was booked for us, so we had little choice, but looking at the website was excited by the views over the iconic Tower Bridge and river. It's a bit of a drive to get to but has parking which is useful. Expect to pay £20 per night though for the privilege. I had a single room which was adequate, but described by my colleague as a &quot;shoe box on it's side&quot;. The room was well decorated and had the relevant 4 star refinements ( safe, iron, press, kettle, little box of free soap) Bed was comfortable, A new 32 inch TV with about 25 channels was nice. As I was thinking about my review on this site, I compiled the following list of negatives. They are necessarily bad, but could be improved. They will try and get you to upgrade the room at reception and there is a league table called &quot;Upgrade Championship&quot; hidden in the office behind the desk, the sell was not too bad though. Because of the shape of the hotel (T shaped) Some rooms get no view of Tower Bridge but view down the river, perhaps an upgrade would get a better view. I could see into the rooms of 2 guests so I guess they could see in to mine. The windows are wood and badly need painting on the outside. Having just done mine, I would not relish the task for the 800 rooms! Brasserie was quite expensive £23.95 for an 8oz steak..... walk 20 mins. into the city and get a 12oz for £13 and wine at half the price.Breakfast was good, lots of choice on the buffet and good waiter service for tea and coffee. I did not pay personally, but would find £117 per night for a single too much for my personal budget. If you get a deal it might not be a bad place to stay. Good location and therapeutic view over the water a plus point. A bit dated and some room positions not so good. I would be happy to stay again	
Oct 3 2009 	Not what we signed up for	We booked with last minute.com which was an easy procedure but the pictures advertised for this hotel are not' what our room resembled. Although all the facilities were available in the room, we had chintz wall paper hanging off the walls, mouldy skirting boards and the carpet was not only dirty but thread bare in places.Would not stay in this hotel again unless a last resort.....drinks in the bar was ultra expensive even for London.Karen	
Sep 25 2009 	Paying a lot for nothing	Reception not interested in your needs, just wanted to get you out of the way. Wardrobe looked like it was a DIY job done by my granny. Minibar was like a vending machine. The room was adequate. No Sky sports or other channels on the TV which you get at other hotels. The bathroom was small and the shower was over the bath with a plastic curtain. Watch out for Anthony Perkins. Couldn't order food which was on the room menu in the restaurant which I can at other hotels. Don't talk to the staff as they won't understand you.	
Sep 24 2009 	Archetypal London Location Tower Bridge is London	Great rooms and service , we had breakfast included which was very poor more like a package holiday hotel feel.	
Sep 23 2009 	The worst hotel I have ever stayed in.......	I and my colleagues got transferred here at short notice from another (nicer) hotel in the group as there had been a mistake in their reservation system. On check in I was not asked whether or not I wanted a smoking room (and stupidly assumed it was all non smoking) and was given a smoking room. I got moved - but no apology from the hotel. We all had executive rooms - free upgrades due to the error but to be honest the rooms were shabby and didn't have the normal amenities you would expect like bathrobes or nice toiletries. Later, returning to the hotel after a night out, we went to the bar. It was full (not just our party) at midnight and they still rather sullenly closed the bar. The reception area was already in full cleaning mode with mops and polishers everywhere and uniformed hotel staff lounging around on stairs and chairs. My room key also no longer worked and on taking it to reception I was given a rather snotty lecture by the receptionist on how to look after a key! On the plus side the hotel had great views of Tower Bridge - given a bit of investment and staff who cared it would be a nice place to stay.	
Sep 22 2009 	Excellent stay - very comfortable	Great stay at this Guoman hotel (they also own the Royal Horseguards near the Houses of Parliament). Very helpful check-in, very comfortable supeior room on 5th floor. Good bars and reasonable food. Right next door to Tower Bridge and the Tower of London but some way from Central London. Lots of restaurants on the Thames river so eating not a problem unless you're a veggie and don't like pasta - no true veggie restauramnts nearby at all.Recomended	
Sep 19 2009 	Really Enjoyed our Stay!!	My husband and I absolutely loved this hotel! We had a last minute booking and the hotel staff was very accomodating, gave us a newly renovated room with an amazing view of the Tower Bridge. They allowed us to check in right away and after a long flight, it was much appreciated. The hotel is very modern and the room was big for normal standards. The room was very clean and the shower was great after a long day of sightseeing. All of the hotel staff was very polite, professional, helpful and accomodating. There is a great restaurant called The Brassiere downstairs that serves really good food if you don't feel like venturing out of the hotel. The service there was excellent as well. The hotel is in a great location, right next to the Tower Bridge and Tower of London, next to a great Tube Station and within walking distance of restaurants, coffee shops and shopping. We absolutely loved this City! We hope to return to London as soon as we can and when we do, we will definetly stay at this hotel! I highly recommend this hotel to anybody traveling to the area.	
Sep 18 2009	4* but average and pricey	We stayed at The Tower Hotel for the weekend as part of a special deal (supermarket vouchers) - vouchers covered one night and we paid to stay an extra night to make a weekend of it.(120 pounds)First impressions were ok - its all a bit sterile as many large chain hotels are. This is a very large hotel and perfectly situated next to Tower Bridge and the Tower of London. Its spotlessly clean everywhere and with polite staff. Each floor is decorated differently with a theme. We had booked an Executive Double Room and I was a little disappointed when we entered the room. It only measured approximately 12 X 12 foot square with a tiny bathroom. The bed was very comfortable though and I had a good nights sleep.The shower was weak and took ages to rinse the shampoo out of my hair. The second night I had a hot bubble-bath and with the toiletries they supply, it was heaven! The window was quite high so you couldn't sit and look at the view (ours faced east with Canary Wharf in sight) . We overlooked the entrance to St Katherines Dock with lots of boats coming and going but we weren't able to sit and relax and watch them.The breakfast is supplied in two restaurants and there is always a very long queue. It is all buffet-style with lots to choose from, with all worldly tastes catered for.There seems to be plenty of parking, we had no trouble finding a space in the carpark. Our biggest problem was finding it! The sat-nav sent us up the wrong road! I think 120 pounds per night for our room was over-priced considering the size of the room and it was supposed to be 'Executive'. It was an ordinary double room in my book. The breakfast was good value (included in the price) but our biggest shock was the bar prices!! EXTORTIONATE! Half of Belgian beer and a Barcardi with a bottle of diet coke 11.20 of my English pounds!!! We knew it would be pricey but thats mad. The bar over-looked an illuminated Tower Bridge and I think we were paying for that view.To summarise, the hotel is convienient for so many sights, but its hard to find a proper pub in the area. Its a good walk along the river till you get to bars and places to eat. Its pricey for what it is. Would prefer to stay somewhere smaller with a bit of atmosphere.	
Sep 13 2009 	Great Location	We’ve stayed at this hotel several times now so I think it’s safe to say we are fairly happy with this hotel.The hotel is in a great position overlooking Tower Bridge, Tower of London and St Catherine dock, depending which side of the hotel your room overlooks depends on which view you get. Rooms are a good size and quite comfortable with all you’d expect of a modern hotel. The décor in the rooms is starting to look a bit tired and is probably due a re-vamp. Breakfast in the hotel is very good buffet style. Evening meal is also a buffet style but was not available during our visit, because the hotel was not that busy we were told! We did try it on a previous visit but we always prefer to go out to dine because there’s plenty of choices close by. There are several restaurants around St Catherine dock and also across Tower Bridge along the side of the River Thames. Hotel is a great base to see all the sites of London, tour bus’s pass by the hotel and it’s great to walk along the side of the Thames. Web did encounter queuing at the lifts and ended up using the stairs to save time.	
Sep 3 2009 	Good location bad hotel...	Maybe it was just my room, but it was old, outdated, and overpriced - and all that after I was upgraded at no costs. I hear they are working on updating the rooms and some floors are complete. If you get one of those maybe it would be better, otherwise I don't recommend this place at all.	
Aug 26 2009 	Suprisingly good and will stay again when back in London	I was expecting the worst with this Hotel given it was on a business budget restricted list.However, I was pleasantly surprised in almost every department here. Rooms were spacious and clean despite the fixtures being somewhat dated and approaching overhaul time. Location is superb being beside Tower Bridge and St. Katherine's Dock. Staff were efficient and courteous. The quality of breakfast was good if rather predictable.I would recommend and intend staying here when in London next.	
Aug 24 2009 	good all round hotel	Stayed here purely because we all got a good deal but we were pleased with the hotel and would certainly stay there again. The staff were helpful. the room spacious modern and clean and the breakfast good. The position was superb right next to Tower Bridge and St Katherine's Dock	
Aug 22 2009 	What can I say? I loved it and booked it for my parents	I booked the Tower for 2 nights in Oct 2008 for my partners Birthday via Superbreaks and the Theatre Package (Lion King). I live on the outskirts of London and this hotel was a great rate (basically top seats to the Lion King were free).So, I decided to book the Tower for my parents anniversary, Superbreak were working out expensive with Oliver (Theatre Break, Drury Lane) so decided to book seperate. Customer Service at the Tower was great and not to worry, they upgraded them to Double Executive suite. Everything was taken care of, my parents called me today (check in day) and said I know you paid for room and breakfast but we were told Dinner was included too, which wasn't right .. not even on the Paperwork. Mum went down to reception and was told... no your daughter (me) has paid for the room and breakfast, but the Tower would like to give you a complimentary dinner for your anniversary. The Tower said not every day do you have a daughter/son book this for their parents.My experience with the Tower as a guest and for my parents has been great	
Aug 20 2009 	O.k. - not quite as good as it was	My third visit over the last 2 years. The hotel is still o.k. but his time there were little niggles as far as I was concerned. Offered upgrade of £30 a night for my stay and accepted. The room was very good but I should have checked the view I would be give. Previously my upgrade gave me a view of Tower Bridge and the River. This time it was over the lock to St.Katherine's Dock and the RN station. NOT worth the extra, I'm afraid. In addition the carvery, advertised as &quot;one of the few left in London&quot; was closed on the Saturday/Sunday nights!! If I'd known that in advance I would have booked another hotel. Location and views from the public rooms are brilliant. And, once again, I found all the staff friendly and helpful. Overall, I'd stay again but would be very careful about what was available BEFORE booking!!!!!	
Aug 15 2009 	I'd rather stay somwhere elsereally..	After a long and tiring journey, it took us two hours and three rooms until we were settled.All we expect, and certainly from a 4 star hotel ,is that everything in the room works, that your room is cleaned and your bed made.( on one day it wasn't) You could write your name in the dust on the surfaces and I don't think I saw anyone with a vacuum cleaner at all. The hotel is a favourite venue for coach parties so the staff are obviously stretched all the time.It's not their fault , just the way it is! Breakfast is over-priced and not that exciting and you will have to queue.The hotel is not in that favourable a location for most of the &quot;sights&quot; so expect an uncomfortable tube journey anywhere.In a busy city your hotel room needs to be a refuge at the end of a day.You can probably do better than this.Food in central London being mostly over-priced and badly cooked it's a pleasure to recommend &quot; The Mermaids Tale/Tail?&quot; in Leicester Square near the Empire cinema.The food was freshly cooked,hot , tasty , not over-priced and served with a smile by an attentive waitress. Nice place to go.O'Neills Irish Pub is a good second bet ,near The Queens theatre , just up from Chinatown in Soho.Good drinks and tasty snacks.	
Aug 14 2009	Good base for London's Sights	Stayed for 4 nights with my wife as part of a coach holiday.Found the location brilliant,Tower Bridge outside the hotel right next to The Tower of London.Queen Katherines Dock at the rear of the hotel.Tube station 5 mins walk away.Check- in was well organised.Our room was well appointed with views of the river,nice firm double bed,flat screen TV,decent shower the only downside here was the tea/coffee was sparse in the room (1 sachet each per day).Lifts were difficult to obtain at peak times &amp; we couldnt find the stairs although we were on the 9th floor it wasn't really an option.Fire escapes were well marked though.We stayed on a B&amp;B breakfast.We couldn't fault the food at breakfast time,we had opted for full english &amp; there was always plenty of choice available.There were 2 restaurants available for breakfast &amp; we had to que to get in on the first morning but after that they opened another large restaurant so it was never a problem again.They did have 8 coaches wanting breakfast at the same time plus other guests!!so they did well to manage after the first day.We found the restaurant &amp; bar prices very expensive so didn't use them.£5/pint of bitter is too much even for me.However there are loads of places to eat close by at reasonable cost.We found the &quot;Minories&quot;adjacent to Tower Hill Station very good value.Overall is was an excellent place to stay on a coach tour because we had excellent rates or for a buisness stay on expences but i wouldn't stop here if i was paying the standard rates as an independent traveller.The staff were very friendly &amp; helpful,even the bar staff (at least Dick Turpin wore a mask)	
Aug 10 2009	Excellent customer orientated Hotel - central to London's attractions.	The service was excellent - from reception, portering, concerge to dining.I managed to negotiate an &quot;earl-bird&quot; reduction of 20% at the restaurant by talking with the catering manager - even though this was not currently available. They also brought forward a reservation by half an hour, at short notice, to suit our family group.Our room was comfortable, clean, spacious and well equiped; everything worked. An in-room safe was provided at no extra charge and the flat screen TV was larger than I had expected (32&quot;).The room view overlooked Tower Bridge and the river Thames (other rooms overlooked St Katherine's Dock). Excellent/restful.A short five minute walk took one to the Tower of London or London Bridge. Ten minutes reached the nearest Underground Station (Tower Hill) with its adjacent London Dock Railway.The &quot;Monument&quot; and St Paul's Cathedral were also within reasonable walking distance.River ferries and access to riverside walks were only a few minutes away; excellent.A variety of good restaurants was available around the St Katherine's Dock area and on both sides of the Tower Bridge; we were spoilt with choice - most at reasonable prices.We were permitted to hold one room for an hour past &quot;booking-out&quot; time at no extra charge!Caution: Try to access breakfast around 7. 45am or before as short queues formed after this time.This was one of the quietest hotels I have stayed in - in central London over thge past 20 years (Monday to Friday).	
Aug 10 2009 	Great for the view and location but little else and dont stay here if you hate hard beds!!!	I stayed here for 5 nights after having chosen the hotel purely because the family members I was travelling with had already booked there. I wouldn't have booked Guoman Tower based on the TA reviews I have seen on here and my stay there has backed up much of the negative reviews posted.Upon arrival I was plyed with the 'upgrade' script and since I was expecting this to happen, offered a lower price I had already decided on (80 GBP, thier offer was 120). This was accepted and when I went to look at the rom, it was no different to the room I was getting except on a higher floor!! When I approached reception to asked why this wasnt a refurbished room, the girl said that it had a bigger TV and better sheets but I would need to pay minmum of 150 GBP for an upgrade to the refurbished room. I was pretty annoyed at this as at no point during the offer did she say that this room wasnt one of the refurbished ones. And she certainly led me to believe it was... beware of this craftiness as Im sure they do this to everyone.Once reallocated to the lesser room (after I said i wasnt paying 80GBP for nothing extra!) I found myself in a room much the same as the first one but with a better view of the Tower Bridge.. go figure! Same Telly and sheets too.....I found the bed to be very very very hard (take note if like me, you like even a semi soft bed dont stay at this hotel!!!.... I have stayed in hotels in Japan with softer beds!!). When I asked housekeeping to fix this problem, a very hard bitten angry woman came up to the room and said &quot;what am i supposed to do about it? Hard beds are very healthful&quot;. I pointed out that I have back problems and just needed something on the bed to soften it to which she angrily said she would 'get a duvee but not until later'... too bad if I wanted a short nap after my long journey from Melbourne to the UK!!!On the plus side, the hotel is in a great location and the Tower Hill Tube station nearby means getting everywhere is fairly easy. The breakfast was ok and we didnt have to line up long if at all. The only issue with breakfast was that they dont replenish things when they run out so if you go later in the morning, you will miss out on fruit and yogurt etc.In fact the bar near reception which also does breaky seemed to be more adequately stocked than the main restaurant.In summing up, if you want a view and location and to spend more than the room is worth (even at the discounted rate I got on superbreak, the room was overpriced) then stay here.If you want a soft bed, freindly staff, a reasonably priced room and a hotel that doesnt look shabby with wall paper falling off all over the place, then best you look elsewhere...	
Aug 2 2009 	Great view - Thats all that is great!	My wife and I stayed at this hotel along with my parents, my brother and his girlfriend. We had taken my mother to London for the weekend as a treat for her 60th birthday and stayed at this hotel due to the recommendation of a family friend who I am sure did not have the same issues we had. Check in time is 2pm and we arrived at 11am and so, being a little cheeky, asked if we could check in early if possible. This appeared to confuse the young lady at the front desk, however after explaining this to her twice she checked availability of our rooms. Firstly she couldn't find the reservation ( made and paid for 6 months prior ) then when she did find them we were told the rooms were not available, then one of them was but we couldn't have it and should come back in a couple of hours.We came back at 1:15pm and spoke to the same lady again who.... wait for it....couldn't find our reservation, then one room was available, come back at 2pm.We sat in the lobby til 2pm and this time we approached another young lady. It's worth mentioning that the reception was full at this stage with many complaing guests. This did not fill us with confidence. However we did get our rooms they were not the ones we ordered so we went back down to reception to try and sort it out. After trying to sort it out for 25 mins we had to go as we had an appointment at tht Ritz for tea and was told everything would be fine upon our return.We got back at 6pm. The rooms had not been sorted. Another 30 mins spent at reception. eventually at 7:30pm our three rooms were sorted. One of them being upgraded to a suite.Our room was a deluxe double. Not sure what was deluxe about it though. The room looked old and tired. Wallpaper was peeling. Floor tiles cracked in the bathroom. Shower took hercules to turn on and was not very clean.On a plus point the bar was lovely, with a fantastic view and friendly, helpful staff. The breakfast in the morning was very nice with a good selection. I'm sure though you can get a lot better for your money elsewhere. 4 star, 4 get it.	
Aug 2 2009 	excellent hotel - highly recommended	check in was extremely efficient and friendlylocation excellentroom very comfortable and lovely view. Free upgradebreakfast was extremely good. excellent staff servicereception desk only too pleased to help with any questionswould return at any time for a visit.	
Jul 30 2009 	Pod hotel..bad rooms in a good location	The hotel plays entirely on its' location which i grant is astonishing, and that i am afraid is it..the end...If you want to be by the Tower of London and right under Tower Bridge..this is great, but i would recommend you go to the bar and then leave to stay somewhere else. The rooms are quite extraordinary. They are like little pods from the 1960s or 1970s. They are simply tiny little sapce capsules dressed in reaaly dowdy clothes. I was in a deluxe room and i swear i've stayed in bigger bathrooms. Then there's the fact that every room is piled on top of the other so you can literally look right into your neighbours rooms. The decor is tried and dingy and somehow completely inappropriate to the `1970s feel of the hotel...sad and dreary The hotel bar and restaurants are pretty shabby too,though i admit with wonderful viewss. Then on top of all this is the cost. The hotel is really expensive especially considering what you get elsewhere (even by London standards)...and if you pay extra for a river view which you would need to in order to make you feel happier so that you could look out at the view rather than looking inwards on your rabbit hutch of a room. My advice..Find somewhere else...this hotel needs a major re-think and upgrade to match its' location. Thumbs down....	
Jul 20 2009 	Medium level 4-star	Stayed 3 nights at Tower in July 2009.Overall impression is good hotel with great location and friendly staff but a bit too many minor problems which drag the standard to just a medium 4 star.The locatino right nex to Tower brigde and St. Katharines Dock is great. The nearest tube is Tower Hill which is served by the District og the Circle line. It is about 8-12 minutes walk from the station. Behind the hotel in the area of St. Katharines Dock you'll find some restaurants/bars and they were perfect for us after a long day in London.The room was fine and no more if you think of it as a 4-star hotel. The bed was great and the room was plenty spacious for us but water dripping, lights not working and stuff like that makes the hotel seem a bit old. Very clean - no problems there at all.Staff was very friendly but they showed a couple of times that they were not that professional. We waited about 20 minutes upon arrival because they had difficulties sorting out our pretty simple booking made directly in their website. For that they gave us an upgrade (which was nice but not that effective when the room os a bit old;)). The night before we left we asked for a late check-out which they said was ok without making a note of it. And sure enough our room key (card) was not working anymore as we returned to leave the hotel around 1 pm. Two restaurants serves the guests breakfast. The breakfast is just fine with a wide selection. For the price we paid for the stay we were not happy to wait in line to be seated though. We had a wonderful time in London but if we come back to the Tower it will be because of the location and if we get a good deal.	
Jul 14 2009 	Great hotel great location highly recommended!	Just arrived back after staying at the Tower for 4 nights and it was excellent. I read some negative reviews prior and I couldnt agree less with these comments. It's situated next to St Katherines Dock, overlooking Tower Bridge. Our room unfortunately didnt have a view of it but you see it everyday anyway! It's a 5-10 minute walk to Tower Hill tube station and a 5 minute walk to Tower of London/Tower Pier. Very convenient.Check in was very smooth, pleasant staff. We requested a quiet, non smoking room and were given this. Room was average size, MASSIVE comfy double bed, clean bathroom with shower, widescreen tv, mini bar stocked upon request, very pleasant. Room service menu was quite pricey but varied. Breakfast was included which was a buffet serving a choice of cereals, fruit, continental and full english breakfast, we were always seated right away, friendly staff. We ate in the Brasserie restaurant once and this was the only negative part of our stay. The menu was fairly poor in my opinion and very expensive-my boyfriend paid £15 for a mediocre plate of pasta. Our waiter was uninterested in us as we weren't rich business people spending lots of money. He looked disgusted when I just ordered chips and a soda water. He took forever to take our payment and didnt even say thankyou, he just chucked the receipt on our table and grunted.Aside from this one poor aspect of our stay, I would very much recommend this hotel to anyone, its huge, 900 rooms, mainly business clients but good for a leisure stay, close to tube station and the Tower. I was also given a tour of the hotel as I work in travel and the more expensive rooms were very impressive. The staff always said hello and were willing to help with anything. Highly recommened(just not the restuarant!)	
Jul 14 2009 	Great location good value	Stayed one night on July 5th because of it's proximity to the Globe theatre (15 mins walk). I was a little wary of some of the reviews on here, particularly how petty some of them seemed.I must say that for the location, it is an ideal place to stay. Close to the tube for the rest of London, but more importantly for me right on the river and a stroll across Tower Bridge takes you to the vibrant South bank area with lots of restaurants, bars and things to do or if you are like us, lots of people watching.The corner room we were allocated was on the 'dreaded' (according to reviews) first floor and we were pleasantly surprised to find we had a lovely view over St Katherine's dock and across to the Thames. Yes, the bed was a little firm but I wouldn't call it uncomfortable. We ate out so can't comment on the food. Reception were most helpful and I must make a special mention and thank you to the housekeeping manager. Several hours after checking out I realised I had left my mobile phone and reading glasses in the bedside drawer. On returning to the hotel I was relieved to find that the aforementioned had placed them in an envelope and they were safely put away for my collection.Would I stay here again or recommend this hotel to friends? Certainly.	
Jul 8 2009 	What An Upgrade!	HOTEL. After 3 weeks of staying in hostels and apartments, we decided to treat ourselves to a relaxing stay at a hotel for the remaining days of our trip. We found a pretty good deal on Expedia for less than $150 per night.. In London! By the Bridge!!! We jumped on the opportunity immediately. When we finally arrived to the hotel, we could not believe the hotel and the amazing location. In fact, we both thought we were in the wrong place. We hesitated to check in, thinking there is no way this place cost less than $150 per night. The lady at the check in counter ask for our names and assures us we were in the right place. So we just went with it. As we got checked in, she ask if we wanted to upgrade our room to a suite for an additional cost of about $50. We respectfully declined. As the bellman escorted us and our backpacks to our room, we notice inside the elevators the floors were marked by types of rooms. For instance, floor 1- 5 was standard rooms, 6- 10 were suites and 11- 15 were penthouses. Our bellman pushed number 8. We didn't notice right off hand and just went with it. The floor was spotless and Victorian looking. On the front of our room door, &quot;St. Katherine Suite&quot;! We looked at each other and was speechless. Whether it was out of courtesy or out of error, we had the most romantic and beautiful suite that I had ever seen. What a way to end an unforgettable trip!STAFF. Very accommodating. ROOM. Clean and spacious with plush bed and pillows.SHOWER. Giant bathtubs. Perfect for a relaxing bubble bath. LOCATION. In front of the London Bridge-- could not have ask for a better view. Walking distance to the Tower of London and the tube station.ATTRACTION. Although not walking distance to most, with the exception of the Bridge, everything is accessible via the tube which is a few minutes away. TIP(S). Not sure if rejecting the upgrade works every time, but now that I've seen the suites, I'd say it's worth the extra $50 had we had to pay.	
