	Fantastic Value/location	Stayed at the hotel Nov. 24 - 26 in room #8. Fantastic location for the hotel, the room was spotless and what really impressed my wife was the cleanliness of the washroom. The room was quite small by North American standards but all we did was sleep there. Special thanks to the guys at the front desk, you made our stay very enjoyable. We will be back...	
Nov 8 2009 	Decent value good location but with drawbacks	It's between Victoria and Pimlico tube stations, easy walking distance to Tate Britain. You get a warm welcome in the smart reception however it doesn't have a lift and being on the fourth floor is not therefore a very attractive option, the stairs seem pretty heavy going when you've been sightseeing all day! The room was clean but small and the 4 foot 6 inch double bed wasn't particularly comfy, however there was a good shower. Breakfast finished at 8.30, which was a major drawback for us!	
Nov 7 2009 	Loved London loved Luna Simone	Truly a hidden gem, going back to London in June and will definately stay here again. Rooms were small but perfect.The power shower gets a super special mention. We had two rooms on the first floor with adjoining balconies overlooking the main street. The tube is a short walk away and over the road you can catch a central bus or a taxi. Wicked is just down the road! At first the breakfast menu may appear to be limited, but it's not at all. They have different cereals available, not just cornflakes, bananas, yogurt, extras of anything, just ask. Can't wait for June.	
Nov 6 2009 	Clean comfortable and well located	Clean and comfortable. Hot showers, great service and excellent location.Stayed here 2 years ago and thought the same.Double rooms are small, but not by London standards.Good hot breakfast and helpful staff.	
Nov 5 2009	Pretty good but not spectacular	I'm not sure I understand all the rave reviews. It's a nice little hotel but the rooms are absolutely minuscule and the walls are paper thin. Our next door neighbor kept yelling at us to keep it down when we were having an ordinary conversation in our room. The internet only works on the lower levels of the hotel so we had to sit in the reception area to use it.The breakfast is pretty bad in my opinion. It's a sort of traditional British breakfast of bacon, eggs, and beans with toast and either corn flakes or orange juice. I've had much better at other hotels in London.The people are very friendly and helpful and they are certainly what makes the hotel in any way special.	
Oct 28 2009 	Great Location friendly staff	Stayed here for three nights in late October. The nieghborhood is really nice and the 24 bus literally stops outside. Both Pimlico and Victoria Station are within easy walking distance. Also, if you're flying into Heathrow it is only four minutes longer to take the tube here then it is to take the express train. The express train is 16.5 pounds i believe, the tube ride is 4 pounds. There are a few good places to eat around here as well as a bunch of nice little pubs. The breakfast provided is good and the service is very friendly. The rooms are small but that is to be expected in the UK. For the price this place can't be beat. I would definately recommend it.	
Oct 28 2009 	Will stay again	Having stayed in may hotels over time, this was by far one of the best. It was clean, in very good repair with very friendly staff. There was a good breakfast provided. Would recommend this hotel to others and would certainly use the hotel again.	
Oct 26 2009 	Top Quality London Hotel at a Reasonable Price	I booked this hotel based on other reviews. I didn't want to be skeptical, but I found it hard to believe that this place could be THAT good. In two words . . . it is. We were there less than a minute and knew why people are raving about the place. The staff are incredible! Everyone! Our room was spotless and quite large for European standards. We stayed in the room for 4 that is in the basement next to the breakfast area. There was plenty of room for the two of us and our teenage boys. The hotel is a 10 minute walk from Victoria Station and bus 24 right out front takes you right to the station or to many other attractions in the area. Upon arrival at Victoria Station we took a cab to the hotel because we had not been to London before and we had luggage, but the 24 bus stops right out side the hotel, I mean on the doorstep. It was actually easier for us to take the buses everywhere rather than the tube. I was shocked how easy it was. You can still get a day pass from Victoria station and use both.The breakfast is like nothing I have had included at a hotel at this price point. It is a sit-down breakfast with a menu. The eggs are cooked to order. We couldn't believe it. It was a great start to our day.Stop your search for a great hotel at a reasonable price right now. Book it. You won't be sorry.	
Oct 22 2009 	Great London Deal with class!	Began a trip to UK at the Luna &amp; Simone. What can I say about the quality of service this small hotel offers? Begin with the location. 5 minutes walk from Victoria Station and 2 minute (or less) bus ride (#24 that will take you to many tourist must locations i.e Westminster, Trafalgar, Leicester, etc). When I arrived the young man at the desk made a ;point of learning my name and referring to me by name throughout my visit. He was very helpful with everything from tourist tips to making sure my plug converter was working properly. When he realized that my &quot;roomate&quot; was to be my 77 year old mother, he moved us down two floors to make it easier for us to access ojur room. Only down-side I can think of is small room but as one who spends a lot of time in Europe this is a given! Breakfast at this location includes the full English, soft boiled eggs (oh how we Americans miss this delicacy!) and yoghurts, a banana (if reuested) and white or brown toast. I highly recommend Luna &amp; Simone for its unquestionable cleanliness, efficent and friendly service, and location.	
Oct 22 2009 	Excellent value for the price	Rooms are on the small side but that is to be expected. Bathroom functional and very clean, great shower. Hotel very well located, 10 minute walk to Victoria Station. No elevator - I counted 69 steps to get to our room on the 3rd floor! Breakfast served between 7:00 and 8:30 AM - too early! Little room with a computer to access the Internet - very much appreciated. Friendly staff. Nice neighbourhood. All in all, an excellent value for the price.	
Oct 18 2009 	Queen of Budgets	Yes, this is a budget hotel, but it's the queen of budget hotels. As a base for exploring London it is ideal. Any reasonably mobile person can walk to most of the London tourist spots. Otherwise, the 24 bus stops outside the hotel door and goes to the heart of the West End.The rooms are small, but comfortable, well equipped and spotlessly clean. The breakfasts were of adequate size and prepared to perfection. Wear your sunglasses so as not to be blinded by the sparkling tableware. The staff are friendly and helpful. I just cannot find anything negative to write about this place. Book with absolute confidence.	
Oct 16 2009 	Great staff great location 	I stayed at the Luna &amp; Simone Hotel for 3 nights whilst on a short trip to London based on recommendations from Tripadvisor. I can confirm that this hotel is wonderful, safe and secure. Perfect location, 10 minutes walk with luggage from Victoria Station and down the road from the Victoria Bus station. My room was small, as expected but very comfortable and clean with a small bathroom that had a powerful and hot shower. The full English breakfast is a wonderful way to start the day and the hotel has a small computer room for guests to use. The best thing though were the staff, so helpful and courteous who really went out of their way to make me feel welcome - a very big thank you to Peter for carrying my suitcase to my top floor room. I would recommend this hotel highly....a hidden gem.	
Oct 14 2009 	A great little hotel in Westminster	Excellent room, great location, solid breakfast, wonderful staff!!	
Oct 13 2009 	Great Value for a Hotel in London	This was a very simple hotel located in a nice area of London -- near the Victoria Station. The hotel is decorated very simply, and overall we were happy with the service provided. One thing that I think I should mention is that there is no lift! We were put on the 5th floor (top floor) of the hotel, and had to drag suitcases all the way to the top! This was not mentioned by any reviewers (well, that I can remember), so I wanted to make sure to mention it in my review. If you are not able to carry heavy suitcases up multiple flights of stairs -- then you will want to request ahead of time a lower floor. I thought that the family running the hotel was very cordial as well.	
Oct 12 2009 	Sparking Clean	The cleanest accomodation we've ever stayed!We stayed here for 4 nights.Location: 15 mins walk from Victoria Station, a bit longer if you are dragging heavy suitcases. Saw a couple of bus stops nearby but we didn't take bus.Staff was ok, family run.Room: we got a room on the 2nd highest level (I can't remember how many floors there are) which meant lots of stairs! We are young and healthy, when we first arrived lugging heavy suitcases up the stairs almost finished us off. A lift, however small, would be very-very nice. After a full day of sightseeing and walking from Victoria Station (without suitcases), we still found the stairs a challenge. Next time we'll ask for a room one level down (rooms near the breakfast room or even on street level would be too noisy). Being so high up and the room facing inside (not street), the room was quiet. Room and bathroom was wonderfully clean, spacious, well ventilated and lit, and comfortable. Breakfast was okay. It was very early, I think it finished around 8AM? This establishment is good value, clean, comfortable and in a good location.	
Oct 12 2009 	Like Staying in Someones Guest Room	I booked this hotel on line and the morning after I booked, I got a call from the owner. I had put the wrong email and he wanted to confirm that I had a confirmation. I arrived at the hotel from Heathrow via the tube which was not complicated at all. My room was very small, but quite clean. It was warm so I did miss the a/c but the fan in the room is sufficient. My room was up 8 flights of stairs which in fairness, the owner did warm me about when I booked. I heard no street noise what so ever. There is enough variety on the breakfast menu for a few days stay but after that, it may get a bit monotonous. The Wi-Fi is inconsistent and honestly, quite madening!Upon leaving, the owners son(Mark I think) was most helpful in getting me to the right tube station.I must admit, I was a bit underwhelmed at first, but as the days went on(three night stay), I came to really like the hotel, the coziness, and the location.	
Oct 11 2009 	Friendly family hotel	Very friendly comfortable place to stay, located close to Victoria Station with Bus service Number 24 outside the hotel. Room was very clean, small with 2 single beds and not much room for anything else, but enough for a week stay in London. Great breakfast served downstairs and service was unbelievable. Highly recommend this hotel.	
Oct 9 2009 	The tradition continues	I have read every tripadvisor review on this hotel prior to booking, and it lived up to expectations. Rather than to reiterate all the things that have been written, I shall just make a few observations.The twins, Peter &amp; Bernard, work breakfast and run the front desk for the mornings and part of the afternoon, then Bernard's son Mark comes in for the afternoon shift. Mark is a nice young man who has just become a father in the past year, and is proud to carry on the family business, now in its third generation. With this in mind, the hotel has been refurbished with nicer bathroom features, flat screen TV, and extra soundproofing. The refurbished rooms, in the Luna side of the hotel, has a modern look. In January 2010, the Simone side will undergo similar work, so the hotel will be even nicer.Although the rooms are small, they do have high ceilings ( and ceiling fans in the refurbished units instead of wall hung ones) which compensates for the size.There have been write ups on the occasional long wait for breakfast. This is due to the breakfast room has capacity for 40, and the hotel full occupancy is 80. If most gusts decide to get there at 8 for breakfast, naturally they cannot accomodate so many people all arriving at the same time. Service is swift, so if one can go down for breakfast before 7:45am, one can get out within 30 minutes.Luna &amp; Simone is now my favourite London hotel.	
Oct 8 2009 	A great hotel at a great price	I really enjoyed my stay at this hotel. It's not fancy, but it's a GREAT deal, close to a variety of attractions and a short walk to a major Tube/rail station. Breakfast (included) was very good, and all the staff was friendly and helpful. I would happily stay here again! My room was clean and well lit, and the lack of air conditioning is not a problem at all.	
Oct 1 2009 	Perfect Affordable Accommodation	I finally got around to posting my review. I loved this hotel. As a solo, female, middlaged traveler, I had asked on the forum, for suggestions for a clean budgetminded safe place to stay. I wanted something central and near the transit system. The Luna &amp; Simone was all of the above and more. I have to admit that upon my arrival, I was a bit daunted by the 8 flights of stairs to my room. ( I had been traveling 24hrs with an overnight flight, and was very tired,... also I had entirely too much luggage...lol) But the owner cheerfully took my bags up to my room for me and, by day three, I was jogging up and down the stairs no problem. My room was small, functional, and imaculate... very, very clean! I did not mind the small room. How much time do you spend in your room anyway?? (when you are exploring the city) I was only there to shower and sleep, and found it quite cozy. The shower was wonderful (Kept very clean) lots of hot water and good water pressure.There was a small television and a phone in my room along with a fan. Also Internet is available at no charge. I felt safe in this area. The bus stop was just at the front door. Victoria station just a short walk away (10 minutes). I walked to Buckingham Palace, and used the buses no problem. I saw all the sights easily from my hotel. The owners were are very friendly and helpful. They booked my excursion to Paris and arranged my taxi to the airport when I was heading home. Breakfast was included with the price of the room and when after a couple of days, I had had enough of bacon eggs and toast, they offered cereal and yogourt. The kitchen and breakfast area was spotless, The staff always cheerful.I would certainly stay again and would recommend The Luna and Simone Hotel to my friends and family, as a great alternative to the very high priced and not nearly as clean hotels in London.	
Sep 18 2009 	Excellent Staff	I traveled to London in the second week of September and stayed here at the Hotel Luna Simone. It was actually recommended to a friend of mine via the Rick Steve book on London, but I saw it was also rated highly on here. It was a lovely place the stay, and the staff bent over backwards to be of service. On two separate occasions I had to print out something and instead of going to an internet cafe, the staff invited me behind their desk to use their personal computer and printer! The breakfast is included and service was excellent, especially by one of their staffers who was rather cute. The place doesn't have an elevator, but really that's the only downside I could think of in the place. Again, the rooms aren't Holiday Inn rooms, but they were comfortable and always clean. They do give you a single computer on the bottom floor for your personal use. I'd definitely come here again! Very convenient to Victoria Station too.	
Sep 14 2009 	All Around Excellent	We just spent 8 nights at the Luna Simone. The location was perfect for us with bus service right outside the door and Victoria Station just blocks away. There are several blocks of small shops, cafes, grocery and restaurants within a few mintues walk. The brothers and one son who own the hotel were always helpful and willing to answer questions. With the included breakfast we skipped lunch everyday and saved that expense. Rooms were very clean. Ours had new carpet and new bathroom...I think all the baths had been remodeled. But keep in mind this is London and the rooms are small.	
Sep 11 2009	A great stay and great value!	My family thoroughly enjoyed our stay in this clean, family run hotel. This was my second time here and I knew from my previous stay how clean and comfortable it would be, and I was not disappointed. It is conveniently located about 10min walk to Victoria Station and about 15mins walk to Buckingham Palace and it also has a very good bus line which runs just outside the hotel’s front door. It is in a pleasant street filled with hotels. Cooked breakfast in the morning is good, however, it is run on a tight schedule, no sleeping in! One of the highlights of staying here is meeting the brothers who own and operate this hotel. They were so friendly and helpful and we enjoyed chatting to them. We would recommend staying here to everyone!	
Sep 1 2009 	Excellent Stay	The Luna and Simone was absolutely perfect for our trip to London. The location was its best quality. There is a bus that services most of the big sights that picks up and drops off right out front. Also, it is within reasonable walking distance to Victoria Station.The staff was extremely kind and helpful. Although small, the room was always clean and comfortable. If climbing stairs is a problem then make sure you get a low floor. The amount of flights sometimes became burdensome. We exhausted the breakfast choices within the first few days, but it was good and the staff was always accommodating.I would definitely recommend this hotel to someone who wants a cozy hub from which to enjoy London, but doesn’t care too much about luxury.	
Aug 23 2009 	excellent b	On holiday in London with 11 family members. Our family of 4, including 2 children (ages 4 &amp; 6) stayed in the 1st floor quad. We were allowed into our room early, as our flight arrived in the early morning. Hosts were kind and answered our questions politely. Bus strop right outside the door. Tube station about 5-10 minute walk. Great base for touring London! Nice English breakfasts daily.	
Aug 23 2009 	Real cosy place with XTRA friendly staff.	I've booked Luna for my wife &amp; me on advice from Tripadvisor. Our stay there on August 15-22, 2009 luckily proved 100% of all good reviews of the place! Situated right where it should be - Victoria Station is 10 minutes' walk - and managed by extremely lovely people (one family, I suppose). Nothing else to look for if you'd like a real cosy small hotel with the best value for money.Vitalii OsadchyiUkraine	
Aug 23 2009 	Very good bargain friendly hotel	This hotel was given very good reviews by tripadvisor so we decided to stay here for out 4 day trip to london and did not regret it. Our stay was lovely with no dramas. The staff were very nice and friendly, check in was quick, and the staff were very nice in that they ensured I recieved emails from relatives that they sent to the hotel.We booked early to get an early bird rate and only paid 100 euro a night, which was good bargain. Breakfast was very nice and service was great! The rooms were spacious and clean, although not as stylish as other hotels I've stayed in for the same price, but still good, with tv (in english yay!),The only thing is we got room 12 which was on floor 4 (from memory) and no elevator, so we had to lug up 4 flights of stairs every time, which was good exercise all the same but quite tedious!Quite out of the way from the centre of London, about a 10 min walk to Victoria station, which is great transport hub to take you anywhere in London, so we didn't mind the walk. There is a bus 24 that goes from right outside the hotel, into centre, but we didn't catch it, as we didn't have tickets to get on every day. We saw it quite often though.Free interent was a bargain as well!Overall, great hotel, clean, friendly staff, good breakfast, very homely feel to it. I would come back here again definately, great base for fantastic london trip. And cheap too!	
Aug 21 2009 	A Real Gem in London!	We stayed at the Luna and Simone Hotel in July and enjoyed our stay tremendously. The hotel is located within walking distance of Victoria Station and the bus stops are right in front of the hotel- what more do you want! The hotel is split into two sections- our friends stayed in the one section and we in the other section. The breakfast room is downstairs where a full English breakfast were served every morning.The room and en suite bathroom were clean and tidy. The size of the rooms were average but sufficient as we were sightseeing and only sleeping there! The rooms were cleaned every day with fresh towels.We did not encounter any noise problems from other guests or outside traffic.The owners were lovely with friendly bantering every morning and the staff very helpful. We can recommend this establishment wholeheartedly! There are some lovely pubs close by and a lovely Indian Restaurant near Victoria Station(on the station side of the road). You will not be disappointed!	
Aug 21 2009 	Bargain priced hotel in superbly convenient location	Spent 4 nights at the Luna Simone Hotel, on the Simone side. Room - The room was excellent sized for two people, and the shower room was modern and very clean. I was at the front of the building overlooking a busy road in a heatwave, so was in a quandry - cool and noisy with window open, quiet but hot with window closed. There was a fan in the room, however.Cleanliness: There were some scuff marks on the walls however, if I have to be picky.Service - excellent! Cooked breakfast provided by courteous, friendly staff. I'm glad the owners wore different shirts to tell them apart. Staff were also very helpful with advice on buses etc.Location: Transport links and many tourist attractions very near by.Overall a very pleasant stay and will return, I'm sure.	
Aug 16 2009 	Great Value	We stayed at Luna and Simone and found it to be a great value and good location. It is near Victoria Stn. and only 95 GBP/night. It is a family owned business and they were very helpful with assisting us with directions to tourist attractions. The hotel has free internet access off of the lobby. Good breakfast included also. Very clean.	
Aug 13 2009 	Courteous staff in a spartan hotel with a very good location	The impressions my fiance and I had about this hotel were quite mixed. On the up side, the staff was extremely courteous and helpful, the room was clean, tidy and well-equipped for the hotel's rating. However, on the down side, the rooms are definitely on the small side and the breakfast menu is a bit spartan. However, if you're planning to spend all your waking hours outside the hotel, then that should not pose a problem as it's location near the Victoria train/bus/coach/subway station makes it a good vantage point for sightseeing and travel even outside of London. Only about 15 minutes walk from the Buckingham palace and St. James's Park, and about half an hour from the Parliament, Big Ben and Westminster Abbey.	
Aug 12 2009 	Best value-for-money hotel in London	From the telephone reservation to the final checking out, we experienced only friendly, competent service. The room for three people was a good size with plenty of storage space. The bathroom was modern and very clean, as was the rest of the hotel. The breakfast was beautifully cooked and special requests were delivered without a question. The location of the hotel, near Victoria and with bus stop outside the front door was ideal and walking around the area in the evening, we felt safe. The &quot;Chimes&quot; restaurant around the corner is cosily decorated and serves delicious English food.	
Aug 6 2009 	I would definitely stay here again	I booked this place for my husband and myself as a result of TripAdvisor reviews and was not disappointed. We actually loved the location. Since we are walkers, we walked all around the area, and it has a pile of restaurants and bars that are reasonably priced and have really good food. It is also close to some pretty major hubs for transportation around London. The room is small, but then it's not an expensive place and it was quite adequate for us. We figure that if we are basically out all day, we just want a place that is clean, fairly quiet, has decent beds, friendly/helpful staff and a good breakfast to start us off with, and this place had all of that. We were most pleased with it and would stay there again.	
Aug 3 2009 	A Little Bit Special	This hotel is surrounded by what on the face of it are similar establishments but none of them can compare to Luna Simone. The difference, I think, is that this is run by people who care. My wife and I stayed for two nights in a very nice front room with a balcony and apart from the fact that it was just a touch on the snug side, if both of us were moving at the same time it was fine. The shower room was fine with new equipment and fittings. We had a flat screen TV and teamaking facilities. We weren't troubled by any noise from outside at all, although we could hear it if the window was opened. We could tell when nextdoor had their TV on but not too much. People tend to have their TVs on too loudly in hotels anyway not realising if the TV is stuck on the wall sound will travel out of the back of it. Breakfast is cooked to order and is bacon, egg (fried or scrambled) and beans or any combination of these plus orange juice, tea or coffee and toast, you could also have porridge. Simple enough and nicely cooked. The two brothers who serve it are twins so it causes a lot of double takes. There is also the wife of one of these gentlemen and a son of one on reception. So a nice family who are very helpful and obliging and this is what must be, the thing that makes the difference.The position of the hotel is convenient for so much. the No 24 bus stop is directly outside and if like me you have a senior citizen bus pass you can go anywhere for free. If you want to use the tube trains, again if you have a senior railcard you can buy a day ticket at a greatly reduced rate. Pimlico station is less crowded than Victoria so you are not likely to be rushed when you are buying your ticket.There are plenty of pubs and restaurants within easy walking distance but for my money Bumbles is probably one of the best. On Buckigham Palce Road, this is run on the very same lines as the best Michelin Starred restaurants except the menus are £10, £20 and £30. The front of house staff are not quite as polished but the chef and his team are very good indeed.We will certainly be using Luna Simone again, whenever we are in London.	
Aug 2 2009 	If willing to walk great deal for London	This is a nice little hotel a 5-to-10-minute walk from Victoria Station and a 15-minute walk to the Thames and Tate Modern. Very good deal for a very expensive city. Book early for best deals; by waiting one extra day I was unable to get a single room and had to book a double for an additional £20--but still one of the best deals I found in London. I cannot recommend any nearby restaurants--you'd be better off walking out of this touristy neighborhood or finding a grocery store. Staff was friendly and helpful. Room was decent size, not immaculate, but fine. Decent breakfast but prepare to get scolded if you sleep in!	
Jul 30 2009 	Good location	Luna Simone provided us with a clean, friendly, and quiet place to stay on a one night stopover before heading up to Scotland. It is situated about 8 blocks from Victoria Station and 3 or so blocks from Pimlico. The rooms were small, but very clean. Breakfst provided us with the hearty meal we needed before heading off to catch trains etc. There is free internet access. Additionally, we ate at the delicious &quot;Grumbles&quot; around the corner from the hotel and highly recommend a lunch or dinner there.	
Jul 26 2009 	Good value for London	We stayed one night in June and chose this hotel based on TA reviews. It is about 10-15 minutes walk from the back entrance to Victoria Station where airport train leaves from so very handy. Our front room was small but that is what we expected in London. Being a Saturday night there were revellers out on the street so perhaps a rear room would be a better choice as others have suggested. Breakfast was cooked to order and along the lines of eggs on toast. There are plenty of other hotels along this stretch of road so I'm not sure how this property stacks up when compared. At least we had no complaints about LS and that is probably a good thing from what we have heard in London!	
Jul 26 2009 	Perfect Home Base For Seeing London	The Luna &amp; Simone is a great home base for seeing London. The #24 Bus which takes you all the way to Trafalgar Sq, Westminster Abbey, Big Ben, Victoria Station, etc...is literally right out the front door. The Tube is a 7 minute walk. Plenty of restaurants, shops, and services nearby. The room we had (a triple) was roomy and super clean and comfy. The staff, everyone, was very very nice and helpful and always smiling. The breakfast was top notch and a relief on the pocketbook is this super expensive city. I will return to the Luna &amp; Simone Hotel.	
Jul 25 2009 	Very pleased that I chose to stay here	The hotel had created high expectations after reading the reviews posted here, but did not disappoint. The owners were friendly and helpful, cheerful and attentive to the guests. In fact, I arrived very early at 930am after a flight from Singapore and was prepared to leave my bags and explore until after lunch. However, on check-in they said I could get my room keys at 11am. The room was a single, rather tiny, but very clean and comfortable with an en-suite. All as described on their website. Even the steep stairs were not a surprise after reading the reviews here on Trip Advisor - maybe a bit inconvenient as I was on the top floor, but nothing that was too bad. The room was cleaned every day which was nice. The breakfast on offer was an excellent way to start the day, you just have to be there between 7am and 830am. The Wi-Fi was only available from the ground level or the breakfast room, not the best, but it worked ok. I found my room to be very quiet, no traffic noise at all. One of the best parts of the hotel location is that you are 10 mins walk from Victoria Station (Tube) and the trains to Gatwick, plus, the number 24 bus runs right down Belgrave Road, and stops at the front of the hotel. This is a bus route that operates 24/7, so great for getting back late after the tube stops running. Overall, good value for money, worth the 70 pounds per night.	
Jul 23 2009 	Great place wonderful staff our stay was so enjoyable !!!	We arrived at the hotel off an 18 day European Tour, tired and needing a place to call home for a week before we set off on another 20 day tour.After receiving a warm welcome on arrival, check in was a breeze, the staff very accommodating and we found our recently refurbished room (bathroom) was compact but more than adequate for 2 women travelling together.The breakfast that is served daily is beautifully cooked and presented by the friendly staff each morning. Each area was scrupulously clean. Staff responded to all requests and offered further information with our enquiries which helped to make our stay in London a very enjoyable experience. We will certainly use this venue again when returning to London; we also found the close proximity to Victoria Train Station, (5 minute walk away) and regular bus services with a bus stop at the door a great benefit.There is a wide range of shops, restaurants and services all within a short stroll from the hotel. We would not hesitate to recommend The Luna Simone Hotel to all travelers looking for value for money, comfort and hospitality.	
Jul 18 2009 	Excellent hotel in great location and moderately priced	11 of my family stayed at this hotel for 4 nights in 5 rooms and we had a fantastic stay. The hotel is very clean, rooms are small but comfy with all the facilities you need. The breakfast is freshly cooked (the toast arrives hot!) The hotel is approx 10 mins walk from Victoria station and about 5 mins from Pimlico tube station so is in a great location for getting around London. The staff all very friendly and more than willing to help.	
