	Great place	Stayed here on weekend of 28th Nov, with 3 other ladies. Was brilliant room, great value for money. Cant knock anything, it was fab. Would definitely recommend. The location is ideal and the tube is right outside the door. The staff couldnt do enough, it deserves its 4 stars. Kensington is a lovely place, very quiet and safe.	
Sep 24 2009 	Very nice rooms for London 	The rooms were of a nice standard better than alot of the Hiltons I stay in. Also the public spaces were good. It is unusual to find family rooms in this standard of hotel at a reasonable price. This is why we chose it. We were very surprised it had a huge garden which would have been lovely for the children to run around in or for that matter grown ups, but unfortunately it was not secure I took a stroll to the rear of it and realised it was open on to a back street wwith lots of people sleeping rough. They need to fence it in so you feel it is safe for the kids to play in. They had problems in the kitchen the night we were there and we had to wait a very long time for our meals, however they did apologise and gave us free drinks with the meal. The food was good but portions were very small. Very close to natural history museum etc. so ideal for that. Overall a pleasant stay.	
Sep 22 2009 	Hot and Stuffy!	We stayed for just one night on the way back from a 9 month trip through Asia mostly in 30c heat. Check-in was ok, the hotel has only one lift at the moment which is tiny, so it took a while to get to the room with all of our luggage! The room was far too hot, even after getting an engineer to come and take a look at it, the guy found that the filter was badly clogged, but to be honest even after he hoovered it out the room was still too hot, to the point that I had the most awful headache in the morning. Apparently under the manager's instructions all windows have been locked shut!?! Another gripe is the space in the room, it was virtually impossible to get round the bottom of the bed without kneecapping yourself, partly due to the oversized bed and also bad design of the room and furniture. The location is ok, opposite Gloucester Road station. My fiance has stayed in many Crowne Plaza and Holiday Inns and is a Gold Priority Club member and this has bneen one of the worst stays he has had! For the money we paid we were really very disappointed.	
Sep 21 2009 	Fantastic in every way	My husband, brother, his girlfriend and I stayed at the crowne plaza for two nights on the 18th and 19th September.Having stayed in Holiday Inns and Crowne Plaza's all over the UK I was most impressed by everything the crowne plaza kensignton had to offer.Firstly the location is brilliant, across the road from Glouster Road tube station. Within 5 mins walk you have access to some wonderful bars and restaurants, if you want a good english pub with great food then visit the stanhope arms, just along from tesco's.If you turn left out of the hotel and walk for about 10 mins you will find yourself in the heart of Knightsbridge (Harrods, Hyde Park, Harvey Nicholls), if you turn right and walk for 10 mins you will reach Earls Court, lots of restarants and bars.The hotel itself if very modern, the bar is great and the cocktails are fantastic. The service was wonderful and the concierge very helpful.Our room was lovely with 2 double beds, plasma screen etc.Overall I was thoroughly impressed and I will definately stay again next time we are in London.	
Sep 15 2009 	Nice hotel great location	Hotel was lovely, great location with easy access to both the airport and to the Eurostar. Rooms were as pictured both on the website and by others here with the exception that our room was a little tight between the beds and the furniture on the tv wall. The dressers and desk were a bit too wide for the room (see photos). Other than that, the hotel is fabulous. Loved the back garden area. I would most definitely recommend this hotel to family and friends.	
Sep 15 2009 	Fantastic stay	From the level of attention paid to every review I had no doubts this would be one great hotel, always looking out for ways to improve its service, and it really was. The location is excellent, just across the road from the Gloucester road tube so no problems arriving from either Paddington or in our case King's Cross. Nice area, can walk to Knightsbridge (Harrods, etc), Hyde Park, and lots of supermarkets (waitrose is straight across!) open late too in case you need them. We dropped by the nearby south kensington branch of Ottolenghi and grabbed some fantastic takeaway lunch treats.We checked in a bit early (1pm) but there were no problems, room was ready and to our great joy full Platinum member benefits applied. Lady at the reception was very friendly and efficient, told us about her recent trip to our native country and made us feel welcome. We had purchased the club room option already so we were treated to some nice pre-dinner drinks and snacks on the club lounge as well as breakfast the next morning. Well worth the extra in my opinion. If I had any request would be that they get an espresso (or nespresso like some Radissons do) machine for a nice morning cappucino :) (maybe it would be possible, I didn't ask)So had a fantastic weekend, made even better thanks to our fantastic experience at this Crowne Plaza. It's definitely going to be the first option for me, everytime I need to stay down to London.	
Sep 12 2009 	Good Hotel 	My sister and I stayed here for 4 nites. The location was great -- right across the street from the Gloucester Rd tube stop on the Picadilly, Circle and District lines. Within a block of the hotel there were several restaurants, a gourmet grocery store, a Starbucks, and a Paul's bakery. The hotel was very comfortable and quiet. We had a room with 2 double beds and I was suprised at how spacious it was. European hotels are notoriously small, but this was what I would expect to find in the U.S. Highly recommend it!	
Sep 7 2009 	NIce Hotel	My daughters and I stayed 1 night prior to a cruise. Nice hotel in a great location. We had a room with 2 double beds and it was good space for the three of us. I booked using points and added on the club program which was great because of internet access, breakfast and drinks. We dropped in for the early evening snack but there was little left. Our room was very nice, clean and looked over the courtyard. My only complaint would be the slow elevator service as there is only one. I think they are adding the second shortly.We came via Heathrow and bought full day travel pass for metro and trains. It was a direct train ride via PIcadilly to Gloucester and a short walk to the hotel.We walked and used the subway all over and suffering jet lag did not want to sit through a meal for dinner. We stopped at the Whole Foods and had some great food in their food market and nice treats from their bakery.	
Sep 2 2009 	Excellent hotel cannot fault it	Just returned from a 2 night stay here, I booked a triple room last minute on the recommendation of a friend and was not disappointed. We were given a free upgrade to a junior suite on arrival, don't ask me why but have noticed other posts have received this too! This was ideal for us as it was a 2 storey suite which provided us with privacy as our teenage son was able to sleep downstairs having his his own seperate TV. The hotel provided us with everything you would expect from a 4 star hotel and not only that but the staff were exeptionally friendly and helpful and it's location was superb,with Gloucester Rd tube station literally across the road providing easy access to everywhere in London and also several restaurants in very close proximity,which we unfortunately didn't get to try . A Waitrose and Tesco supermarket were also on the doorstep which enabled those on a limited budget to shop and take drinks,snacks etc to the room. Thoroughly enyoyed our stay here and will certainly return to this hotel on our next visit.Excellent!	
Sep 1 2009 	Lovely Hotel with Excellent Ammenities	We had a terrific experience at London Kensington Crowne Plaza....room was for 3 adults - a rarity in many cities! - and it was a decent size. Everything worked well. There was even a beautiful English garden in the back of the property. The staff was a pleasure for us to work with. Next time in London: we already know where we shall be staying! As of location: it was a fine location. Many restuarants and shops around the corner. At night, it was still busy and we felt safe coming &quot;home&quot; from other areas at late hours.	
Aug 31 2009 	Ideal London hotel	We were extremely happy with our stay at the Crowne Plaza. Spacious (especially for a London hotel) twin double bedded room and very clean bathroom. Excellent buffet choice at breakfast and the garden was a quiet oasis to sit in rather than staying in the room. Unfortunately, only one computer to access the internet for free by guests in the hotel foyer so this was constantly in use. Hotel is in an ideal location for easy access either by foot, bus or tube for shopping, tourist attraction, museums and places to eat. Recommend Tower of London - arrive for 9.00am - do Crown Jewels first and a Beefeater tour. Any ladies who have time for pampering can highly recommend a facial at Liz Earle (www.lizearle.com) which is within walking distance of the hotel or by tube at Duke of York Square by Sloane Square, Kings Road.	
Aug 31 2009 	Great Stay	My husband, daughter and I returned for a three day stay last week. We first stayed at this hotel in August 2007 and we were very pleased with the upgrades. I have been closely monitoring the reviews so was prepared for both the slow elevator service and the non working wifi. Once the second elevator is installed I am sure that problem will resolve itself. The renovation makes the place much brighter and comfortable. We had a double room on the fifth floor which gave us a decent amount of space for the three of us. the rooms are small but manageable and we came to London to sight see, not to spend time in the room. Like a prior reviewer noted - you do need to keep your clothes in the suitcase as there really isn't any storage space for clothes outside of a closet for hanging things. We overlooked the garden which I had requested at the time of our reservation last Spring and that was nice. . We opted for the breakfast plan and I was impressed with the new bright dining room (two years ago you ate downstairs which was somewhat dark and dank) and the good service. The food, while plentiful was just ok. On the other hand, it was extremely convenient as all three of us tended to wake up at different times, it was nice to have a place to go while waiting for the rest of the family to get up. We should note that we booked and prepaid for our room three or four months ago so and we had a really good rate which I am sure made us more tolerant of slow elevators etc. The location of the hotel is terrific. The Glouster Road tube station is a half a block away and there are several reasonably priced restaurants just a short walk away as well. We ate at Little India, Memories of India and The Prince Regent. All had decent food. A Waitrose supermarket is directly across the street and a small Tesco about a block away. The hotel staff was kind and attentive. We had a small problem with the TV and that was rectified within 20 minutes and a taxi was arranged for us to bring us back to Heathrow. We would certainly stay here again and would recommend this hotel to our friends.	
Aug 30 2009 	A really good value for London and the staff was outstanding	We had just one night in London in transit to Spain and we didn't want to spend a fortune. Based on the revies on Trip Advisor, we stayed at this hotel and we were not disappointed. We were 2 adults and 2 teenagers in one room--2 double beds. So it was a bit cramped. But hotel is well-maintained and quiet despite being on a very noisy road. But what really stood out was the staff. The desk clerk not only checked us in but once she heard we were on our way to Barcelona, asked all about where we were staying and offered advice. When we had an issue with the TV, the manager on duty came upstairs right away and fixed it. The concierge worked with us on making the most of our day in London and in organizing our travel to Stansted (the trains were on strike - eek!) and he arranged alternative transportation without a glitch. The breakfast was lovely - veddy British. My only complaint was that after 10 pm you cannot get food in the bar (which is open - and the bartender was very sweet- from Australia) you can only order room service. In many ways this was a perfectly ordinary hotel made better than that by a very attentive staff. Exactly what we wanted and needed.	
Aug 30 2009 	Disappointed	I think perhaps the incredible reviews this hotel had gained led me to have unrealistic expectations ... I was expecting something very special and it wasn't. It was perfectly adequate, but not special. I booked on a reward points rate so maybe we got a small room as it was free but it was small ... no space on one side of the double bed for a bedside table or stand of any sort and not really space for anyone to get in or out of bed. the windows had had some type of frosting applied so there was no view whatsoever.Everywhere was clean and tidy, bathroom again was small - I'd love to say perfectly formed but unfortunately the toilet paper dispenser was attached to the side of the bath which led to damp paper once one of us had had a shower. That apart and the short bath, it was lovely... again clean and modern.My main concern was the air conditioning ... it was fine on Saturday afternoon, but when we returned from the West End at 11pm the room was stifling, the windows locked and I had a really poor nights sleep. On check out the next day the receptionist intimated that there had been a problem over night so maybe we were just unlucky.Don't get me wrong, the hotel was stylish, the staff friendly, we had no problem with the lift, the toiletries lovely and the pillows soft. I think we had a particularly small room, an unfortunate experience with the air conditioning and possibly over inflated expectations. Would I stay there again? Possibly, but I'd pay for a deluxe room if I could get it at a decent price.	
Aug 30 2009 	Chain dependability with boutique feel	My wife, daughter stayed at this hotel for a week. If you're looking for a boutique hotel but seek dependability of a quality chain hotel, this is a great place to stay. It is a former Holiday Inn which has been renovated/modernized to current Crowne Plaza brand. This means that lobby and rooms are modern/trendy and comfortable. Yet, it has the feel of a boutique hotel - there aren't ten thousand rooms and the staff is quite friendly and helpful. The pictures on the hotel website are quite accurate.Service is excellent on all fronts. If you need ice (I asked for it every night), the room service staff brought it within 2-3 minutes. The concierges are very helpful and knowledgeable. They steered us to an excellent family run Indian restaurant that is within a five minute walk (Memories of India, by the way). Because the hotel is not huge, you get to know the staff. One night my daughter needed scissors to open one of those bullet proof plastic packages, the concierge immediately produced a pair and skillfully cut it open. When we went up to our room after opening the package, we left, of all things, a dog toy that we had bought at Harrod's. The next day the concierge recognized us and gave us the package. Little things like that are huge to me.Our room was, for the most part, comfortable and roomy enough for the three of us. We faced the rear courtyard, which is a great place to sit. There was no street noise. My only complaint was that the air conditioning was a bit weak for weather that was quite warm by London standards (90 degrees). I mentioned this to the front desk in the morning; when we returned that afternoon, it had been adjusted and they had left a fan for us. The elevator situation is a problem; however, if you're on a lower floor (we were on the 3rd floor) you can easily walk up the steps. They're working on getting a new second elevator installed.The location is awesome - a block away from the Gloucester Road tube stop. There are plenty of good restaurants nearby. And, there is a grocery store (Waitrose), drug store (Boots), convenience store (Tesco), and the ubiquitous Starbucks all on the block between the hotel and the tube stop.Altogether, the few flaws are minor inconveniences that are greatly outweighed by the quality of the common areas, rooms, fantastic staff, and reasonable rates.	
Aug 26 2009 	Great hotel	Had a great stay at the Crowne Plaza.The hotel was a very short walk from the Gloucester Road station and therefore access to all of London.We had a room at the back of the hotel overlooking the lovely garden. The room was very quiet for London, beds were great. Yup one lift was broken and therefore the other was full all the time but this didn't affect us as we were on the first floor and just walked down the stairs.Food was good in the hotel but our favourite bit about staying at this hotel was the ability to go sit outside in a nice quiet garden, sit with a gin and tonic. (The first hotel in London I've stayed in with a garden you can sit outside in.There were a couple of families making good use of the large garden.	
Aug 23 2009 	Good hotel great location	We picked the Crowne Plaza for its location, which we love. Our rooms were standard double rooms, so rather cramped for a family of four. We stayed for three nights but had to keep all our clothes in our suitcases as there was no storage other than a tiny wardrobe with four hangers. Breakfast was very good and all the staff were friendly and helpful. We paid for in room internet and it never worked (they refunded us, which was nice of them, but we would have preferred working email!) Bathroom, although small, was very nicely decorated, with upscale soaps and shampoos. Our room looked out over Cromwell Road but was very quiet, thanks to good sound-insulating windows. The room was very clean but the corridor outside smelled of something we'd rather not think about too hard and the carpet was badly stained in some places. The biggest drawback was the lift, or lack of it. There was only one tiny and temperamental lift, which sometimes refused to stop on our floor. And when it did, it was always full. Using the stairs involved learning a tortuous route along various corridors and fire exits. Still, we met other people that way and everyone enjoyed complaining about the poor lift. We'd stay here again but would pay more for one of the suites, which we heard others say were excellent.	
Aug 21 2009 	proirity club ... what is this?	I was London with my family (4 persons: 2adts. +2 Child.) Guest at the Crowne Plaza Kensington for 4 nights ( 11st &gt;15th August). I'm members of priority club since 1994 and from severl years I 'm platinum member.Unfortunately I have noticed that being part of the priority club or to have the platinum card priority is zero for them. I had a standard room (two double beds)I made my on-line reservation on May 26 for 4 nights as rewards nights. Upon arrival, they have proposed the formula 50sterling per day for breakfast and free access to the lounge. I then discovered that the same price (50 sterling charge and free access to the lounge) applied to anyone. Upon check out at the reception asking to speak with a manager, I was presented Mr. Lee Sylvester (Hr manager) Has confirmed to me that their hotel in fact makes no difference between those who participate in program priority club or those of platinum priority club, except the check out time extended to 14: 00 instead of 12:00. No room up-grade, no proposal ..... nothing .I'll remember for next time that in kensington area there are many other nicehotel chains Marriott etc, who are very careful ee distinction between affiliates and customers do not.Graziano Sampieri	
Aug 17 2009 	Probably the Best Crowne Plaza in London	I usually stay at the Holiday Inn Kensington Forum, but was intrigued by the upscaled Kensington Holiday Inn to a Crowne Plaza, and I wasn't disappointed. Far better than Crowne Plaza St James, and even more modern than Crowne Plaza Blackfriars, this hotel won't disappoint you.The reception staff are all friendly and helpful. The reception area is large and airy. We had booked a club room, which was in tip top condition, with a view over the gardens/towards the chuch, which was peaceful as you could get in the centre of london. The french doors opened so you could get some fresh air. Rooms are modern with leather comfy seats, good desk area, a real haidryer which is independent of any fixed plug (a big plus for me!), enough wardrobe/drawer space for a weeks stay. Ironing board, umbrella (didn't use it!). Large Philips LCD TV screen, didn't realise to point the remote at the top of the screen rather than the infrared port on bottom left (silly me!). A Pure DAB radio with integral alarm and IPOD dock. Unfortunately at night you couldn't move the radio from it's fixed position (stop someone taking it I suppose!), so I couldn't see the time - had to keep putting on my mobile phone to check the time. Air con was efficient.The bathroom had a full length bath with separate shower. Huge heavy bathrobes (gorgeous) and lovely cotton slippers. Sensuous large editions of aran toiletries (who can resist a mandarin and mint body lotion?) a very modern bathroom. illuminated vanity mirror and a pair of weighing scales to check how much weight you have gained through eating in the restaurant! The club lounge is a haven away from the noise of london. comfy seating, free internet access. Free evening drinks/canapes and a free full english breakfast (first time I have experienced that in a club lounge and loved it!). However, one of the doors wasn't secure meaning people who shouldn't have access came in saying they had been told it was OK to eat there, a little less exclusive than I had thought.Negatives - one lift is undergoing renovation, so it was very busy at peak times. Especially lots of luggage in the lift meaning not many people could get in. Perhaps management might want to think about pointing out an alternative route at these times, I wouldn't have minded a walk down some stairs or using the service lift. My room deadlock didn't work despite me asking it to be sorted, it worked once, then didn't work again. But these things were just trivial compared to the lovely time we had.I wouldn't hesitate visiting here again, and I would like to thank the staff who I came into contact with - you were just so happy and had a can do attitude, very refreshing.	
Aug 13 2009 	A wonderful place to stay in London	We stayed at this hotel in July for a weekend as a treat to ourselves. Admittedly the one thing that sold this hotel to us more than anything else wasn’t the quality of the reviews on Tripadvisor, although they were impressive, it was the brilliant management responses – these hinted at an establishment run by human beings, with intelligence and a dry wit and a sense of fun. On arrival, we were initially delighted to be told we’d been given a free upgrade to a suite, but when we actually saw our split level, deluxe accommodation, we were squealing excitedly and would have been jumping up and down, if we weren’t two sensible women. Apologies to neighbouring guests if our shrill squeals disturbed or frightened you.The rooms were simply, yet stylishly decorated, the bed huge and comfortable, the extra touches wonderful, from the large brolly in the umbrella stand to the Arran toiletries in the well appointed bathroom. Towels were big and fluffy, and the bathrobes luxurious and heavy (we were tempted to request the option of strong men to lift us from the floor when we fell over wearing them, but couldn’t find the number). Room service was also very good, we particularly enjoyed the flavoursome chilli and the trout. Breakfast in the main restaurant was also very good. Now, that tells you about the suite, which was amazing, clean, well equipped and, even though it faced onto the main road, the double glazing cut out all exterior sounds. However, what really made our stay special was the service provided and the incredible friendliness of the staff. Every member of staff that we had dealings with, from the receptionist to the concierge, to the waitresses and the manager, were all cheerful and happy to help in whatever way they could.It isn’t a luxury we find easy to justify, staying in a smart hotel in central London, but should the option ever avail itself again we wouldn’t hesitate to stay at the Crown Plaza in Kensington, it put smiles on our faces and made us very happy.	
Aug 8 2009 	NIce Place and will return	Nice hotel entirely within the keeping of the Crowne Plaza. Good location, accommodating staff and a good overall experience.	
Aug 6 2009 	Excellent Location - Recommended for this reason alone	I stayed here with my mum and sister for a theatre break weekend. The location of the hotel is perfect especially for people who don't know London very well as you can almost see the hotel as you exit the tube station. The room was lovely and the standard you'd expect from this type of hotel. The hotel was undergoing renovations whilst we were staying and the staff did their best to make sure we were happy and comfortable. The one exception was the barman. He was useless!!	
