	Very nice would certainly revisit	I visited this hotel for 7 nights this November, and I was very pleased with the service that we received relative to the good price that we paid for our stay. The hotel is in a relatively central location, just minutes away from the tube. The room was basic but had whatever was necessary to make our stay a good one, cleaned and having fresh towels provided on a daily basis. Breakfast was a good one, with fresh fruit being really fresh, whilst the hotel environment and staff were extremely helpful. This hotel is ideal for anyone looking for a centrally located budget hotel in london for a very good price, and we'd recommend this hotel to anyone.	
Jul 29 2009 	it was great!	we loved umi hotel, we stayed for 5 days, and we were so happy! very cute breakfast in the morning just simple yogurt, croissant, juice, coffee, tea, fruit. 4 options. very nice. the rooms were very clean- simple nice, hair dryer, soaps, flat screen tv, etc. was very close to train just a few blocks - we loved the area! in fact our 2nd hotel was so bad we tried to come back but umi was booked so we got another one around the corner we didnt want to leave bayswater. nice people, good internet although a little pricey we later found out that just up the block on the way to the train there was the same time limit for 2 pounds less. but we want to stay there every time we go back	
Jul 28 2009 	Good value and location	Room was very clean,bathroom small but well supplied with towels and soaps.Hotel is well located for the tube and shops and is close to Kensington gardens . Staff were pleasant and helpful.As a light sleeper i requested a quiet room and was duly given one looking onto Leinster square which ensured a good nights sleep.I would recommend this hotel to anyone visiting London on a budget looking to do some sight seeing.I did not use the hotel restaurant but prices seemed very reasonable.	
Jul 28 2009 	Not what we were hoping for	The reason I booked this hotel was its fantastic website promising ' a new concept in hotels...to offer you some of the best London hotel accommodation, with excellent service and facilities, all at a value price.' As a young couple this really sounded up our street! I kept an eye on the price of a Grovsner Room as it fluctuated right up to £165 per night and after finding it for just under £80 I jumped at the chance of a 'great deal' expecting a fresh, vibrant and funky hotel with comfortable, contempory rooms (again a reflection of the website).On arriving at the hotel we werre definatley impressed with the location and the hotel building (it really was a Notting Hill setting). The staff were helpful as promised and everything was looking good! The only problem was on enterering our room... The furniture looked like something you would pick up at a car boot sale and the bathroom was so small it couldn't even fit a sink in it which subseqently was in our bedroom. It definatley was not the type of room we had been promised...and paid extra for as a Grovsner Room. I even had to call downstairs to double check we had the right room. I know that finding a room in London for under £100 a night can be a challenge but I really believe that Umi Hotels are promoting a false idea of what the hotel has to offer.	
Jul 26 2009 	Good value for London	I liked the location of this hotel; it's about three blocks from Queensway Street (with loads of restaurants and pubs) and four blocks from the Bayswater tube station on the Circle Line. I liked the neighborhood, with its multicultural busy streets. Our room was of a good size, although (I'm guessing it's because the building was older) it had about a 10-degree list. I'm not kidding, it slanted that much. You could feel the slant even ont he ground floor. Also, while we never heard anything from our neighbors to either side of us, we heard everything from our neighbors above us. Very thin ceiling, plus the floors creaked so much. For the most part, our upstairs neighbors didn't do anything out of the ordinary but it was very loud in our room. I'm sure we were the same to the people below us. Get a room on the top floor! The staff was very nice, although the breakfasts were overprices. If you go in looking for a home base with a nice location, this is the place for you. Also, we ewre very close to Kensington Gardens, so my wife go up early and was able to run most mornings. Internet was available, but for a price.	
Jul 9 2009 	Really Old and Dirty	We have booked three rooms and paid in advance through hotel websites. However, when we check-in they said we have only booked one room! Finally, only our parents can stay in the hotel ,rest of us had to stay in an apartment for one night. We finally got another two rooms next day, but finally they did not give us an explaination why they did not have our booking. I did not satisfied about the room. Firstly, there are some stains on the carpet, and it seems the carpet have not been cleaned for a long period of time. Secondly, we find that the two reading lamps did not working, we had to wait for three days before the lamps repaired. Thirdly, the hair dryer was too weak, fortunately my sister had brought one.There are too many doors in the corridor, I think they are unnesssary and only make people inconvenient go in and go out! If possible, do not choose the rooms on fifth floor - lifts can only go to fourth floor and you must go to fifth floor by stair. The hotel give us the room on fifth floor, we were very clumsy when taking our suitcase to walk the stairs!The only advantange for the hotel is location - quite near to the Bayswater underground station and there are also some restaurants it is very convinent for dining and sightseeing. However, compare with the money I paid, I do not think it is worth to get a such room and service!	
Jul 4 2009 	Umi Deluxe suite	We moved to the Umi hotel from Ibis hotel in Barking and we were very happy. We booked in a deluxe suite in one of the adjusting buildings. The room had a nice view into a park in front of the building. Area was quiet and room was very cozy. It was very small though, but as we stayed only a few nights we did not bother. There was a little kitchnette and everything looked nice. Well chosen colors and nice furniture did a good impression. If you looked closer, lots of things were damaged or hardly holding together. So that decreased the final rating. Staff was helpful as far as we needed. Breakfast was not special, but was OK. We got what we expected and after seeing Barking we were happy to move to the Bayswater... :-D	
Jul 2 2009 	Very Good Location	I stood four nights at UMI Hotel in London and I was very pleased about its location. The underground stations are near and it is a very quiet area in London, although close to restaurants and cafés, perfect for a night walk. I agree with the other customers about the noise and the flushing problems, but our room was cozy and I slept very well. I will surely come back.	
Jun 28 2009 	Room service gave us their garbage	Okay, this is a budget hotel but *still*... We stayed for four nights, having booked from overseas and having had friends who stayed here. It wasn't much for *London* prices (89GBP to 139 GBP) but it still seemed like a complete waste of money. We were woken on the first morning by obscene shouting coming from the corridor/next room. I thought maybe it was guests and ignored it for a while, but when we left I realized who was making the noise. We were next to room service's little 'office' on the third floor. Okay, so the doors and walls were thin. But on the last morning we were woken by room service shouting about the &quot;[--] bottles in the room, why are there so many [--] bottles in the bl**dy room.&quot; Nice.Perhaps because we didn't tip room service, they basically didn't bother to clean the room after the first day; I mean, they made the bed, but they didn't bother wiping down the sink (which is in the bedroom, yes).There was also the matter of the leaking bath faucets, which probably disturbed someone downstars, as a hotel employee tried to get into our room while my fiancee was showering in order to see whether we were somehow joyously spraying water all over the bathroom. They didn't fix it that day while we were out; instead we went through the same rigmarole the next morning; this time, we were finished our showers and let them in to look at the tub. They fixed it with a LOT of grout.The hotel needs a bit of repair; creaking floorboards and shrieking taps are a noisy, bed is really uncomfortable and you just roll off it basically... the tub is cracked and the bathroom ceiling was mouldy ... but okay, this is budget... yes, the tv worked fine (except when you plug something in--and then it just stops) ... Probably the best part of this was on the third night when we arrived back to find a full bag of garbage in our room left by room service. I guess they 'forgot' it. Awesome. I took it down to reception and they wrote something down in their little book, apologized... but that was it. I guess that was business as usual at Umi Hotel.If for some reason you do go there and need wireless access to search for your next stay, don't spend 3GBP for 3 hours on the internet, go down the street to one of the several internet cafes there.Oh and of course... do keep in mind that if you don't check in by 11am, you will be required to pay for or stay for two nights, rather than just one.	
Jun 24 2009 	Family trip to London - Umi is ok	Very British standard, anyway clean hotel in the beautiful old building. Renovated but in the British way. Not for the people who want big hotel chain standards.Quite a good situation (Bayswater and Queensway underground stations in 5-10 mins walking distance). A lot of teenager guests who were having fun on the hotel door steps during the night on Friday / Sunday -&gt; very noisy two nights of our five nights. The floors of the old house make noise as well. Have your ear plugs with you :).Beautiful small park in front of the hotel. Good breakfast in nice restaurant. During the breakfast you could see the quiet guests (couples, families) as well. Very international.Umi has a concierge service and for example Mme Tussauds &amp; sightseeing bus tour tickets can be bought in the hotel without queing.Overall: ok.	
Jun 13 2009 	Beware!	My friend and I stayed at the Umi once at the outset of our trip before flying to Italy and also at the conclusion before flying home to the US. The first room had the sink in the bedroom. The sink had two faucets, one for hot and one for cold, and neither worked very well. There is a trick to getting the toilet to flush by repeatedly pumping the handle. The carpeting had huge stains and the bed gave me a backache. The shower was impossible to turn off and you needed to grab a towel in order to get a strong grip on the shut off valve. When staying in the second room, all the same problems remained except now our crummy sink was in the bathroom. What amazed me is that, on one hand I was worried that I couldn't flush the toilet, yet I could watch a flat screen tv. I'm not sure Umi has its priorities straight. I'm not used to luxury when I travel but this was a little too much for me.	
Jun 9 2009 	Small room but good location. Bad for car parking.	It was ok. The room was very small which i knew beforehand but it was clean and good enough for a couple of days. I had big hassles getting out of the hotel though as there is no where to park and load up the car and i had to park down the street and try to ring up and pay for parking even though i was leaving and only wanted to grab my cases and go. I tried ringing and ended up spending a heap more $$ on the phone call than the parking fee. I was really annoyed as all i wanted to do was go and i thought it was all ridiculous. They should get special permission for a drop off/pickup bay. it is in a good location, near Hyde park and Oxford St.	
Jun 8 2009 	Very disappointed	although staff are helpful and polite. I am afraid the hotel is let down by at least the room I stayed in. It was not cleaned well and the furniture a litle shabby. Taps and showers didnt work well. One good point is its location. Near to tube ,shops and many types of eateries.	
Jun 3 2009 	Impressive hotel in London	We stayed in the en-suite twin bedrooms. Although rooms are a little small, they are nicely designed and with all amenities provided - clean towels, wardrobe, tea and coffee, hair dryer, iron and ironing board. The hotel is located slightly off the Bayswater high street so there are plenty of eateries and shops nearby! Will definitely stay at this hotel again!	
Jun 2 2009 	nice great value for london	I was really impressed with Umi Hotel. The location is very pleasant - on a quiet square with a nice little park and very close to some decent restaurants. Bayswater and Queensway tube stations are about a 10 minute walk from the hotel and a taxi from Paddington costs about 7 pounds. Rooms are small, but clean - the rooms overlooking the park are nice. And they have small LCD TVs, which is a nice touch. The only negative thing is that the noise in the hallways of people hauling their luggage can be a little annoying, and the floors are pretty creaky, but it's an oldish building, so that's to be expected. The continental breakfast is really substantial and you get proper lattes if you want also. The staff were also really friendly and warm. I would definitely stay here again.	
May 21 2009 	Well worth the money simple but clean	I stayed in the Umi hotel with friends, we booked quite late, literally a few days before we went &amp; this was a last option. We had looked at a few other hotels within this price range &amp; found they had bad reviews so we just hoped for the best with this one.When we arrived we were pleasantly surprised to find it situated in quite a nice area, though it wasn't the best it was out of the way enough to allow a decent sleep. The tube station was a short walk away &amp; the location wasn't awful, as we did most of our travelling on the tubes &amp; knew the lines quite well already.The room we had was a twin bunk, it was 2 bunk beds, a desk, freeview television, kettle &amp; en-suite. It was clean , white sheets on the bed which were spotless so I can't complain. Bathroom was statisfactory, not spotless but not dirty as such. Though two of the lights were literally hanging off the wall (Yes safety hazard you would think) there was no major issues, though I was fairly annoyed that you had to squeeze against the wall to get to the top bunk on one of the beds, they had clearly not thought the postion of the bed through.Overall I liked the hotel, I found it was clean &amp; well worth the money. I would definately stay here next time I visit London as the price is great for what you get &amp; I've heard some real horror stories of other hotels.	
May 7 2009 	Nice stay	We were 3 persons who stayed 3 nights in May in a double and single room. Very good service in reception and breakfast room. Good breakfast apart from tea and coffee which did not taste very much. Big double room, but very small single room. Comfort in beds could have been better. Otherwise great location in quet surroundings	
May 3 2009 	could not fault it	We were a group of 10 girls on a hen weekend from Wales. Very close to Paddington Station and a few minutes walk from shops and restaurants. Very friendly staff, rooms were very clean and our towels were changed eventhough we were only there for two nights which we didn't expect.Continental breakfast was very nice and was served until noon. The barman in the bar downstairs was very friendly and stayed open until the early hours!! Would definatly recommend this hotel and would stay again if I were to visit London.Great weekend, thanks!	
Apr 1 2009 	Good to visit London	The hotel is in a perfect position to visit London, very close to the yellow, red and green tube line (I think this is the strongest point of this structure).Rooms are old (wooden flat, old moquette) but sufficiently clean and spacious.The quarter is lovely and very quiet; in a fiew minutes by feet you are in Queensway, an animated and cool street full of pubs, restaurant, night opened supermarketPrices of rooms are cheap for London. I would advise this hotel	
Mar 18 2009	thank you	we stayed at umi london last week we were a group of 42 people, we had such a great stay the staff was really friendly and hard working, the food was great the breakfast was much more than we expectted ( continential) the concierge was very helpfull and the reception staff and cafe staff was very hard working and nice, the rooms were very clean the housekeeping was fantastic! great location , quite hotel and great prices.we are deffinently coming back.and we were very happy with our stay there.thank you to all umi staff	
Mar 5 2009 	Mmmm - not quite sure.	I am not sharing the love for this hotel. Maybe I got an old single room but it was decidedly tatty and poorly furnished. The bathroom had a pull cord light for goodness sake. On the plus side the staff were friendly and with loads of European families staying there was a very nice atmosphere about the place. I will stay again and see if I was just unlucky with the room but overall I have stayed in better value for money alternatives in pretty much the same location.	
Feb 6 2009 	Highly Recommended - Fab place for the price	This is a gem of an hotel in one of the best locations in London. Its near to all forms of public transport in a very nice area of London.Reception, cafe and relaxation areas were clean, stylish and comfortable. Loads of free daily newpapers, Timeout etc.Roam was compact and neat as a pin. Very comfortable bed(single). Had little extras such as a sewing kit, tea and cofee etc which one does not expect from an hotel in London in this category. Breakfast for me was great - A big frothy cappucino, croissants, muesli and orange juice along with a national daily newspaper.Service in reception was courteous and efficent. I stayed here on the night of the worst snow in London in 18 years (1st Feb 2009) and so glad that I did.Recommend this place without hesitation.	
Jan 11 2009 	Great Place to Stay in London	Recently stayed 3x at the Umi in between trips visting friends. The place was fantastic. Clean, friendly and very reasonably priced. My first impression was how clean the room was. Staff were very friendly and helpful. I would not hesitate for a moment to return to the Umi and am thankful for this hotel helping make my stay in the UK enjoyable.	
Jan 6 2009 	Served its purpose well	I decided to stay at the umi hotel because of its location, price (£89 between three of us) and its reasonable reviews on this website. On reaching the hotel (which we didn't have very good directions to and only arrived at thanks to a passerby) we were pleased to see quite modern decor and it seemed to be very clean. The receptionist said all the right things although seemed to have an abrupt manner and her male counterpart was mcuh friendlier.She informed us we had been upgraded to a quad room which was excellent as we were supposed to be getting a triple bunk. The lift was in good condition and the room was average but very clean and had a good view onto a pretty garden in the middle of leinster square. The windows were hard to use and we didn't really want to use the shower as it was old and although probably clean, wasn't very pleasant.There was a flat screen television in the room, a wardrobe and a safe (which cost £5 to use.)The duvets were very thin and i was cold at one point in the night, i was also awoken by footsteps above us but i suppose there's not much the hotel can do about that.The next day after checking out we were able to leave our luggage in the 'luggage room' which was very convenient as we didn't have to drag our luggage around all day, but again the same receptionist was not very pleasant.There was also a concierge at the hotel who although seemed sincere and was helpful enough, did not have a great grasp of english (something i would consider vital for a concierge) and couldn't supply us with a tube map, although did tell us where the station was etc.The cafe in the hotel was very nicely decorated and the breakfast was really nice with a friendly waitress, the only downside was that her lack of english caused her to get my order wrong twice. The day of our arrival however, we sat in the cafe to order a drink and perhaps something to eat (it claims to be available throughout the day) and after waiting for ages i eventually went and asked the receptionist if we could get something from the cafe politely. She replied &quot;What do you want?&quot; to which i said we didn't know but would like to ask what was available etc.On retrospect the umi served us well for our purpose as we were only there for one night. It was comfortable enough, had a great location and price. However, I wouldn't recommend it for a longer stay than this as i didn't feel inclined to use the shower. Also, although the staff were helpful enough that particular receptionist had a terrible manner and didn't make eye contact with us once. I would stay again if I had to stay for one night, but for longer periods I would invest in a hotel with better bathrooms.	
Dec 15 2008 	Average	This hotel is not too badly priced by London standards - I booked through the hotel website quite far in advance. The location is good - safe, not too noisy and a five minute walk from Bayswater underground. The room was tiny (but that's inevitable in London and for the price), but clean and well stocked with robes, hot drinks etc. The bathroom was clean with a good shower. Breakfast was not too bad, and included. A good system, but a bit stingey. Nice coffee though! The staff on the whole weren't too bad - not exactly sunbeams of joy and laughter but not rude either. All in all, it's a good value hotel but doesn't have much character.	
Dec 11 2008 	Great Hotel!!!	I will deifintely return to this hotel. It is situated in a safe neighbourhood with all the amenities one could need. The hotel staff were friendly and very informative. They even booked my London bus tour from the hotel. They have a great cab service which is reliable and reasonable. There is a restaurant and bar in the hotel if you are up for a nightcap before bed. The nearest tube station is Bayswater and it is very central (on the central line) so not far from anywhere you wish to go. The rooms were clean and comfortable. I would stay here again without question and their rates are fantanstic in comparrison to others in the neighbourhood. I highly recommend the Umi!!	
Nov 29 2008 	Very disappointed	We decided to use this hotel following high recommendations from this site however I was extremely disappointed. The initial entrance and reception was very pleasant and the staff were very friendly. On entering our room, 116 at the rear of the hotel, the first thing we noticed was it was in dire need of modernisation. Although it was fairly large, the sink was in the main bedroom (which took up a quarter of the room), and there was very little room between the bed and sink.., how this passed a health and safety check, I will never know. Thank god we didn't need to get out in an emergency. The taps in the sink both ran hot water so we had to buy bottled water to clean our teeth. Despite being at the rear of the hotel, there was noise throughout the night, (from inside the hotel), ie creaking floor boards and doors banging and if you want a lie in, well forget it..., the hoover starts at 8.30 am. Despite all the negatives, the hygiene was of a very high standard but I would not wish to go back. Also on a positive note, it was situated in a very pleasant part of London and within a couple of minutes from the hotel, you had all the shops and restaurants you could wish for.	
Nov 22 2008 	Loved Umi London	My family and I stayed 4 nights at Umi in October and really enjoyed our stay!!The staff was friendly and serviceminded, our quad room was nice and clean with four lovely single beds, a fridge and a nice private bathroom! The maids made the beds, cleaned the room and changed towels every day! It was great to come back to our hotel after a long day, shopping and sightseeing!The hotel had a bar, a small restaurant and internet, which is unusual for a budget hotel. The area was nice and calm, and close to restaurants, shops and the tube. We were also pleased with the price of this hotel = good value for the money! We really recommened this hotel and will stay there next time we go to London!	
Nov 19 2008 	Good value hotel in the center of London; clean 	This is a great place to stay if you're on a budget as it's clean, cheerful and right in the center of Nottinghill Gate/Bayswater. We paid £100/night for a family room with one double bed and one single for our 6-yr-old. The reception &amp; cafe staff were very friendly and helpful. The rooms were basic and small but clean. There is wear and tear on the bottom of the walls and doors, but otherwise the room was clean and cheerfully decorated. The beds and all linens/drapes were clean and new. The beds have white cotton-covered duvets which is a nice change from the usual polyester budget hotel bed covers. The bathroom was basic/small but clean and well-organized. The shower and bath worked and there was no lack of hot water for drawing a bath.There were only 3 minor negatives: 1. We were given a room on the ground floor facing the front of the building and it was a bit noisy from cars &amp; guests talking in front of the building at night. If you stay, definitely request a room facing the garden side which is very quiet. 2. The cafe continental breakfast isn't terribly filling--the croissants and muffins were rather empty of taste as well as calories. 3. The TV reception is awful--even the TV in the bar had fuzzy dots and lines through the programs being shown.	
