	Great location	Just returned from 2nights stay at this hotel. About 10minute walk from London Bridge and Southwark Underground stations. We visited the O2 arena and a London theatre during our stay and found it a great central location which was very easy to get to.We arrived early on the day of check in and had hoped to leave our bags so that we could go on to our destination but check-in staff were really helpful and found a room available for us to check into immediately (at 10.30am). The room itself was great. Not the biggest but the bed was comfortable with fabulous black out blinds. Road outside was fairly busy so would suggest bringing along ear plugs unless you're used to city traffic. Continental breakfast was great with plenty of variety-we didn't find it necessary to upgrade to the full english but this is an option if you want. Also had an evening meal at the hotel-great value food and drink especially for London. Plenty of main courses for under £10 and very nice too. Other reviews have said that there isn't much nearby but Bourough market has plenty of lunch options while there is a high street about a 5minute walk away with plenty of different restaurant options. Staff were very friendly and helpful during stay. Would definitely stay there again and would recomend it especially for anyone arriving into London via Waterloo or Kings Cross national rail stations due to convenience. Kepp an eye out on their website as they are running offers for weekend stays!	
Jul 16 2009 	WELL LOCATED EFFICIENT HOTEL	We stayed in this hotel for 9 nights and found it really well-located for all kinds of activities.The continental breakfast was excellent . The rooms although quite small were clean and comfortable. The area is quite quiet and we slept very well. The week-end special offer made it a good quality for the price we paid. The only negative thing we found was that instructions and important notices were only written in English- at least one other language would have been desirable.	
Jul 13 2009 	A boutique hotel	Good location, it is a fine stay for a boutique hotel, room of a fair size, food was fine and so was the service.	
Jul 4 2009 	What a rip off!	Where to begin! Room - pokey ...bathroom - good job I don't have a cat! I would never be able to swing it in that bathroom. Not to mention the fact that they DON'T PROVIDE HAND TOWELS!!! Beds - I have slept on softer floors. Reception staff - surley and indifferent and couldn't even get the booking right when we were stood in front of them!! Parking - my favourite - advertised as £20 per day online but if you take your car out of the car park after arrival and before departure you pay by the hour! Our £20 ended up costing us £28!!! Had to ask where the car park was as no visible information as how to find it. Would I recommend this hotel? Not a cat in hell's chance!!!!	
May 27 2009 	Believe the hype	Stayed at Southwark Rose hotel over the Bank holiday weekend with my girlfriend. Nice hotel, good location, on the bustling South Bank, near London Bridge station, Borough Market, etc. Even walking to Covent Garden and the touristy centre doesn't take long (especially when the sun is shining). If you can book a couple of months in advance, you should be able to get a good deal, paying less than the rates displayed in the lobby. A very good deal even, if you keep the quality and location in mind. The rooms are clean, big enough and the staff are friendly. Didn't have any meals in the hotel, so cannot comment on that. But overall, recommended.	
Apr 24 2009 	decent hotel terrible food	Spent for GBP 160 night in Southwark Rose. The loction is excellent, rooms are very small but OK but I shouldn't have finished my hamburger when I thought the taste was a bit off....draught beers were warm. Not going back here...in this area Hilton London Bridge is much better.	
Apr 15 2009 	Good value hotel well located bad breakfast!	We paid £110 per night for a double room and this offered very good value for money. Had we paid their standard rate we might have felt a little less happy, but at this price (and on a Saturday night in London) we couldn't really complain.The location is good - just a 5 min walk to the Tate Modern. You can cross the embankment at your leisure and within 15 mins you could be walking on Fleet Street. It also benefits from having London Bridge tube station a mere 4 minute walk away. DO NOT order a taxi via the hotel. We paid an extortionate £12 for a 2 minute ride to the rather soul-less Hays Galeria development. The hotel is very modern in style and the rooms are lovely. I was anticipating that they would be tiny, but they were more than adequate. We failed to get a non-smoking room (despite having requested one) and the odour of cigarette smoke was quite unpleasant at times, which is worth considering. The breakfast is reasonable value, particularly if you opt for the veggie version. For £11 you also have access to all the continental offerings. However, I couldn't recommend it. It can't be that difficult to cook a few hash browns, veggie sausages and mushrooms, but it was quite a poor quality affair. Unless it's absolutely essential to have breakfast at the hotel I would suggest avoiding it. However, at the price we paid, this hotel did offer very reasonable value for money.	
Apr 5 2009 	fantastic	The room, and hotel were very clean and all the staff were very very friendly. Having never been to London before was a little unsure where to book a hotel but very glad this is the one we decided on. The bed was comfortable and the room cosy. The restaurant staff were friendly and the food was reasonably priced and very nice. Would stay again and have recommended it to several friends.	
Feb 23 2009 	Wonderful Staff	We booked this hotel late at a cost of £65 per night for a double room which was excellent value.We arrived at the hotel and found the car park which is at the rear of the hotel. We got to the bar just after 10pm and not realising the time asked if they were still serving food. Although the restaurant had closed we were advised that as the kitchen staff were still there they would make us something and gace us the choice of the full menu. The food was excellent value and there is a decent vegi selection.The bar is open until 2am and also provides very reasonably priced bar snacks - chips £1.90, sandwich £3.50 from 10pm - 2am. The drinks are also not too expensive and there is free internet access.The location of the hotel is fantastic. Very close to Southwark Bridge and easy walking dstance to many attractions.The room was big enough for a couple of nights although I did find the bed a little hard and the toilet roll holder was falling off the wall.A hairdryer and iron are provided and there is a mirror built into the dressing table, which I managed to miss until we left as I kept putting my coat on the flap that you lift up!There is access to a local fitness suite / sauna free of charge although I didn't try this out.The continental breakfast was ok for £8.95 and they do a vegi cooked breakfast, which I didn't try. My husband was not at all impressed with the Full English Breakfast though.Parking is £20 per day and is also the car park for hotels a good 5 min walk away. London Bridge Tube Station is only a few minutes walk.Overall, I would definitely stay here again. It may not be the most luxurious hotel but it''s excellent value and the staff do everything (and more) to make your stay enjoyable.	
Feb 3 2009 	Good hotel	The hotel is located near the subway, so no problem to get downtown. Rooms are not very big but with a very nice interior, quiet and clean. The breakfast buffet is very nice, too.	
Feb 1 2009 	Never again!	Reading the other reviews on this site I wonder if we are even talking about the same hotel. I have never been prompted to write a negative review before - I always prefer to give the benefit of the doubt, but my experience of this place was awful . The staff were unwelcoming, unhelpful and charmless. The room was smelly (smoke, even though it was apparently a non-smoking room) and claustrophobic (not much room for more than 1 person and a suitcase), the bed uncomfortable (much too hard), the television reception very poor, the shower COLD (!!) and the breakfast very disappointing and overpriced. It was also very noisy during night. Only good thing to say was that room was clean - although this should be standard. I normally stay in one of the nearby chain hotels, but thought the Southwark Rose looked modern and interesting and decided to give it a try, depsite it being more expensive. My advice, stay at the Travel Inn down the road, it might not have such a trendy website but you will have a good nights' sleep and not leave feeling utterly ripped off. The only thing I can recommend about the Southwark Rose is the surrounding area, i.e. once you step outside the front door the experience improves dramatically. Sorry, don't have a positive note to end on - one to avoid!!!	
Jan 3 2009	Convenient Location	Just spent an overnight stay at this hotel following seeing a West End Show.It was very convenient for London Bridge Station and within easy walking distance of Thames attractions - Tate Modern, Globe, Millenium Bridge with easy access to St Pauls and other City sites. The hotel was smart, modern and quiet. Bedroom was quite large for a City Hotel, well equipped, with safe and hairdryer, dressing table/desk, 2 phones and plenty of wardrobe space. En suite shower, washbasin and toilet was also a good size. Continental breakfast had a large choice and there were good views from the 6th floor dining room. Staff friendly and helpful.Altogether a good place to stay in London.	
Dec 9 2008 	mostly good value	The hotel is mostly a good value, with everything being well up to scratch, except the beds. The bed was very firm to the point of unacceptable. The highlight, however, was the service and the staff - everyone, including front desk, restaurant and cleaning ladies were extremely helpful. They provided extra duvets to make beds softer. Free internet. Overall, good.	
Dec 2 2008 	A Rose with no thorns!	Spent 3 nights at the Southwark Rose at a special weekend rate of 85 pounds per room per night - fantastic value! The hotel is modern and comfortable with everything you need - they even had a corkscrew in the room. The bar/restaurant area provides free internet and unlimited free tea and coffee. There is a late night bar menu from 11 pm to 2 am which provides sandwiches and chips at reasonable prices great for the late night munchies!The hotel is situated just off Southwark bridge, and the South Bank. The nearest tube station is London Bridge (5 min walk) on the Jubilee line. Borough Market (Food) is also less than 5 minutes away and is an absolute must! If you fancy breakfast with a difference check out the organic porridge with stewed apples and fruit at the market on Thursday, Friday and Saturday mornings. Rick Stein recommended Cornish Pasties also went down a treat for lunch from Mr. Mowbrays stall - food heaven! For those on a tight budget ( or just fancy a great cooked breakfast in a local cafe with no fuss or fancy decor) Cafe Rossi located opposite the entrance to Borough market is a gem. Get the day off to a great start for less than a fiver!	
Nov 25 2008 	Book It Now	This is truly an exceptional hotel. From the moment we entered till our departure we felt pampered, well taken care of and extremely welcome. The staff at all levels are friendly, knowledgeable and anxious to help.The hotel is very well situated; many attractions are within walking distance.....Tate Modern, Globe Theatre ,Southbank Centre.Soutwark Cathedral,Borough market,the original Clink site museum and Tower of London. All other attractions are easily accessible by tube. Nearest station,London Bridge is a 5 minute walk and Cannon street is about 8 minutes away. The latter is handy if you're arriving in London at Victoria station,as no change is required.The decor of the hotel is sharp, clean minimalist....very relaxing. The rooms are well-appointed and comfortable. Beds are firm, rooms(to the rear) are very quiet. Rooms have a good bathroom/toilet. great power shower and good quality cosmetics. Rooms have wide screen HD tv with internet, electronic safe with internal power point enabling safe recharging of your mobile and laptop, tea&amp; coffee making facilities with top quality products(great cookies!!!) and two comfortable swivel chairs plus all the other amenities you'd expect in a top class hotel.Breakfast is a wonderful treat. We took the continental option.Large variety of top notch products....meats, cheeses, cereals ,juices fresh fruit salad,dried fruits and best of all hot porridge. Earthenware teapots are supplied along with good English tea....so no nasty teabags dangling out of cups!!! A wide variety of newspapers is available for your perusal. Small details like this make for an outstanding hotel.This was one of the most pleasant stays I've ever had in a city hotel anywhere.The staff ensured this wonderful experience....housekeeping staff do an amazing job each day.Finally, I would like to congratulate the manager( whom I didn't get the opportunity to meet) on running a top class hotel at very affordable prices. I will return to this hotel and have no hesitation whatsover in recommending it to others.	
Oct 30 2008 	Good value with the right deal	Less than 10 minutes from London Bridge station, fairly close to Tate Modern.Double room size typical for London, so compact. Clean, generally well equipped and modern. Very pleasant staff. Restaurant a bit limited for choice but quite good for what it was. I stayed two nights for total room cost £190 so good value if you get a deal.One real irritant - there's only one electricity socket in the room and the hotel doesn't have any extension leads so if you want to charge up your laptop and use a second electrical item, you're out of luck.	
Oct 4 2008	Looking for the thorn	Had stayed previously next door at the Novotel and driven mad by its split bathrooms, wanted to try something else.Room was bigger and somewhat more spacious than that at the Novotel (and not just, I think, because I ended up in a handicap room), though fittings and furnishings less plush.Still, the room has most of the basics covered, only thing really missed vis a vis the Novotel was the lack of a in-room fridge at the Rose.... Place is also run somewhat more informally than the Novotel, which is a mixed blessing of charm and carelessness; a late-night call from a friend to my room was twice mis connected, waking up some poor old lady down the hall.... Not sure if true at Novotel, but kitchen of the hotel closes at 10:30pm which can be inconvenient at times. (Also no free newspapers or magazines like in the Novotel lobby.)A benefit of the Rose is the free Internet access in the top-floor restaurant outside business hours and certain other times. Plus it's cheaper, though bill must be examined closely as I was initially billed for much higher than the confirmed rate for a couple nights till I showed my confirmation.All in all, a good deal.	
Oct 3 2008 	Hotel Parking	we stayed at hotel for a weekend break, also to go to the criterion theatre to see 39 steps which was very good. we had to get a bus to the theatre from the hotel, bus stop was by st pauls which was over the bridge from the hotel. once on the bus its about 10-15mins from st pauls. that not to bad. we could have got a tube but you have to change and get on another train.the hotel is very nice, the room was on the small size and me and my husband were bumping into each other. felt abit like sardines in a tin. however the room was clean and looks nice.we had 2 bath towels. it could have done with an hand towel awell.when i booked the hotel it states it is £16 to park your car for 24 hours on my booking form. it also states in the hotel pack in the room. it is £16 a day. we was charged £40. for 2 days. we were told it has gone up. they did not seem brothed about this and tey did not offer a refund. i have wrote to the hotel manager for a refund, we went up to the bar on the 5th floor to have a drink at 10.30pm the bar person was doing something and he did not seem interested in us. so we left after about 10mins. and went to the hotel next door for a drink.	
Sep 23 2008 	business stay	This hotel seems a very nice hotel but do not stay on the 5th floor. It is noisy. There seems to be regular noise from the 6th floor/roof, not sure if its the plantroom up there or something else but there was bangs and clanks during the night. It may need further accoustic protection! I'm not the first to report this problem on review websites.Also in the morning of my nights stay the kitchen power was down and so it was continental breakfast only for about £9!!	
Aug 13 2008 	Loved this hotel	I primarily picked this place on our European honeymoon because we had tickets to see King Lear at the Globe (it's own amazing experience). I am glad I chose where we did.The hotel is located very close to the Thames River and the heart of London. It is a bit of a walk to get to places across the river like St Paul's, but nearby is the London Bridge underground station. It is about a 10 minute walk away, but we were worried about walking from there to the hotel at night, although we had no incidents.The hotel staff was good and I had no complaints about them. Our room was on the second floor and had no view, but that was not a major problem. The room was a decent size with modern amenities. The bed was comfortable and we slept very well. Our bathroom was a bit small, but comfortable. My major complaint about the bathroom was that we only had two towels, including no floor towel, and the shower is a swinging door that leaked onto the floor.As someone who enjoys a good television, the television was very cool. I would highly recommend this hotel, and it is a good value for the cost.	
Aug 6 2008 	nice hotel!	this hotel is the perfect location!! The hotel is very modern the rooms were on the small side but spotlessly clean which in my view is more important than a huge room.the bar/restaurant on the 6th floor is nice, had couple drinks and chat with helpful and friendly barman,impressed! The breakfast was included in the rates and was a full English. It was very nice.and the staff were kind enough.If you visit on Thursday - Saturday don't miss Borough Market. The atmosphere is wonderful and there is so much high quality food . The pubs and restaurants around the market provide a great place to sit and watch the world go by.Would definitely stay here again.	
Aug 3 2008 	Great hotel	Stayed here for one night as a treat after seeing a midnight showing of King Lear at the Globe Theatre, which is only a five-minute walk away. Check-in was a breeze and the room was fine; bright, clean and certainly bigger than the room we stayed in in New York at Easter that cost twice the price! Although quite large, the Southwark Rose has a boutique-y feel to it and, despite being a little off the beaten track, it's in a great location for the South Bank's offerings (the Tate Modern, Globe, City Hall, Hay's Galleria, the attractions around London Bridge - Tower Bridge is another 10 minutes or so along the river - and so on). It was good to have a safe in the room, plus an iron &amp; ironing board as standard. The large flat screen TV was a nice touch, although it responded a bit erratically to the remote! Had a drink in the 6th floor bar but didn't eat there; the menu seemed OK but it wasn't at all busy on a Friday night and didn't have the greatest of atmospheres - maybe this is more of a business hotel but at these prices it's a steal for clued-up tourists too. Only a couple of (minor) negatives: the hotel's website offers a choice of upper or lower floors - we chose upper and yet ended up with a room on the second of six floors; we also asked for a late check-out on the web booking and mentioned this again on checking in. We were advised to call reception on the morning of the check-out to confirm, which we duly did, and yet still the maid was knocking on the door a few minutes after the standard check-out time.	
Jun 14 2008 	Really Good	Nice modern hotel with a good bar. Some language barriers with the barman who, when asked if he had any nuts or Japenese rice crackers, presented us with a plate full of dry Jacobs Cream Crackers. Funny though! Very clean, comfortable hotel with contemporary design, flat screen tv and good inroom facilities. Only complaint was there only seemed to be a thin window covering which let the light in early morning. Didn't stay for breakfast so no comments there. Not brilliant for the tube if you have lots of luggage but managed to get a cab no problem outside. All in all, nice hotel which would probably be double the price if it wasn't on the southbank.	
Jun 11 2008 	Good hotel	Very nice hotel with good price value if you book a long weekend for 85 a night. I have staid in London three times before and the hotels were all awfull. So I know what to expect in a hotel in London and Southwark Rose was compared to those really good! Only remark I have to make is about the bed, it was really too hard. Furthermore the room is very modern and well equiped. I would definitely stay here again. (we did not have breakfast here, instead we went to Starbucks which is only a 3 min. walk away from the hotel).	
Jun 7 2008 	Nice room awful breakfast!	Really nice room, great it was air conditioned. Make sure you if you request a non smoking room when you book you also double check when you arrive. Breakfast was AWFUL! £12.95 for a full and continental...breakfast on my BA flight was more impressive. Bad tasting and just overpriced. Staff at front desk are not super friendly.	
Jun 3 2008 	Clean and functional but awful towels	We booked a room at the Southwark Rose as business commitments meant a late night followed by an early start. We chose the Southwark Rose for its location and its price plus it has some onsite parking available.Check In was good and the room was small but comfortable. You need your key card to access the lift which suggests to me that they may have had some issues in the past. The bathroom only had a shower but that was fine. Importantly it had a decent water pressure! The only real issue was the towels. As with many of the cheaper hotels they were small, thin and bordering on threadbare. We requested replacements but they were no better. We did not eat at the hotel so cannot comment on the food.Overall it was OK as an overnight stopover. I would not recomment it for longer stays.	
May 20 2008 	Nice And Modern	This is a nice modern hotel on the South bank of the Thames, with stylish decor.Enjoyed the stay of two nights.Only complaints are: The room could have been cleaned a little better, gave the appearance of being rushed.At breakfast the dishes and plates were not taken away when used, so the table filled up with empties. Also the English breakfast was not value for money.	
May 18 2008 	Non smokers beware!	We made a booking for this hotel in March, several weeks before our stay, and at that pointed stated a non smoking preference. When we arrived at the hotel, we showed our booking confirmation and were allocated a room. When we got into the room, there was a distinct smell of stale smoke. We opened all the windows and went out for a while, but on our return the smell was still there. Our friends who had booked at the same time (and had arrived after us) were on a different floor and had a non smoking room. They came back to our room and indeed there was a smell of stale smoke as soon as one stepped out of the lift on that floor! We then went to reception and asked for a non smoking room as stated on our booking confirmation, but the manageress was less than helpful. She said at the time of booking, we only stated a preference, and they allocated rooms as people arrived. So stating a preference on a booking form is a complete waste of time, as hotels (at least this one!) take no notice of that preference and will just give you whatever is available. When we checked in, we weren't asked if we wanted a smoking or a non smoking room. So if you definitely want a non smoking room, and book through a website and not directly with the hotel, make sure you contact the hotel and confirm that you want a non smoking room. We were able to move rooms for the second night, but were annoyed at the attitude of the manageress. She could at least have apologised. The rest of the staff we found courteous and helpful.	
May 9 2008 	Mediocre Hotel	I stayed at this hotel for a couple of nights because it was conveniently located just across Southwark Bridge where my office is. However, I didn't think much of it because the rooms were too small and seemed quite old as well. I had one big Samsonite luggage with me and another carry-on and there wasn't even a place to put the bags. The bathroom lacked space as well and there was no place for my toiletries. There wasn't a proper closet, more a cheap one where the door was rolling back and forth. Anyway, there are a couple of hotels in the vicinity which are much better.	
May 1 2008 	As always Excellent experience in the Southwark	This was the second time for us to stay at the Southwark. Our first visit was somewhat tarnished by a booking error, and our subsequent hanging around reception for some time whilst it was sorted out.It appears they have overcome this problem, as check-in was swift and hassle-freeThe rooms, as we remembered them, were very tidy and clean, and of a good size for a city hotel. Shower facilities were good (no bath-tub, and they are a bit stingy on the soap unless you ask for a bit more).Otherwise the room has all the amenities - hair-dryer, safe with internal socket (so you can lock away and recharge your laptop), internet-ready TV (internet is paid for, but is free at the restaurant), tea and coffee facilities (where would you be in England if you couldn't make a cuppa?).The rest of the hotel is stylishly decorated, with works of up and coming photographers lining the walls. The top floor carries the hotel's restaurant, where in the morning a fell well stocked and spread continental breakfast is served - if you had a late night the night before, pay a little extra and get yourself a full English breakfast - they do it to an art!Internet if freely available in the restaurant, and there is a big screen TV for those wishing to catch up on the news at breaky.The best part about this hotel is it's location. Its a crawl away from atleast FOUR (yes, count them) pubs, 3 minutes walk from London Bridge tube (giving you access to the Jubilee and Northern lines), and 2 minutes walk to the river. It really is central london, and whether your there for business or pleasure, you could not really find a better place.And to top things off, the usual rates are very reasonable. We got our room for EUR 100 a night, which by London standards should be the usual rate for a two star, unless you book under some special offer. I highly recommend this hotel if your looking for a clean, nice room in the heart of London, but don't feel like busting your wallet for typical London high prices.	
Mar 17 2008 	fab hotel	after looking on various websites booked this via superbreak as we were going to see prince in concert at the o2 and the after show party and wanted somewhere central that we could get home from after the concert in the very early hours. we couldnt have picked a better hotel. couple of minutes walk to london bridge tube, which connects everywhere! grabbed the tube to the o2 for a stunning concert, and at .4.30 in the morning simply got the thames clipper back to london bridge . we were amazed how easy it was.!! everything ran smoothly. a lot of the staff were foreigners but had a good understanding of the english language. ate in the hotel friday night, and really nice food, breakfast at the weekend was plentiful, continental as standard but you can upgrade to full english. we did and it was well worth it. tip - after returning from london bridge tube station cut through the car park at the back of the hotel and use back doors!!overall wonderful weekend, hotel highly recommended	
Mar 12 2008	Rose - reasonable value	A little bit out of the way, but close to Borough Market and the South Bank areas - just close to a slightly edgy area.Clinical but stylish reception and rooms, nice bar and restaurant area. Pretty good value for central London too.	
Mar 2 2008 	Had a great stay	We have just arrived back from a stay at the Southwark Rose Hotel.The location was just over the river on the south bank, it is very close to a few good pubs and restaurants on the south bank. It is a 5 minute walk to the Borough Market and just a bit further to the London Bridge tube station so very central.The rooms were clean and well proportioned. My only criticism is that there were only two smallish bath towels but other than that it was fine. We didn’t eat at the hotel so can’t make a comment on the quality. We did have a drink and found the restaurant/bar area to be very comfortable. There is also free internet access in the bar area.The hotel staff were friendly and efficient. Overall I would recommend this hotel for a short stay.	
Jan 15 2008	ripped off	nice and tidy hotel. But when it comes to checking out, that's when the hotel earns a bit more out off your pocket. When i put the parking ticket in the machine it said i had to pay £18. i'd only been parked up for 13 hours. They couldn't care less when asked if this was correct.	
Dec 15 2007 	Excellent location	Just returned from a short break staying at The Southwark Rose Hotel. The location was excellent being very close to London Bridge underground with easy connections to King's Cross and all the main London sights including The 02.The hotel reception and staff were more than welcoming and we were given a spotless room on the first floor which was very comfortable and seemed to have brand new fittings. The corridors were lit in a stunning fashion and the whole hotel had the appearance of at least 4 stars. We dined in the restaurant as we were tired after our journey and although it was quiet (it was mid week) we enjoyed our meal very much.We booked our hotel through Superbreak and we were very pleased overall as they also made the arrangements for the nearby London Eye and The Terracotta Army exhibition at The British Museum. We booked Spamalot ourselves and this was terrific and we also took the short trip by Tube to The 02 to see the Tutankhamun exhibition.We would recommend staying in this location as there are fine views across the river from here to St Pauls, Parliament etc and you are only yards away from The Millenium Bridge ,The Globe Theatre and The Borough Market.We will certainly use this hotel again as it has been a pleasant change from the bustling places we have stayed at across the river.	
Nov 5 2007 	Lovely hotel	We stayed for 2 nights in this hotel and were very impressed by it. People say you should take a star off a hotel's rating In london but not in this case, it's a VERY good 3 star and, in fact, as nice as many a four star we've stayed in. Very clean, nicely decorated rooms (Pretty much exactly as you see on the website), spotless white duvet cover instead of grotty blankets (that always gets my vote!), very nice bathroom (Shower no bath but a very big shower!). We had continental breakfast included which is in a nice setting on the top floor, comfy seats and daily papers to read. The breakfast was fine, good selection of fruit, yoghurt, pastries etc. I wouldn't pay £6.95 for it but when it's included it was very good.We LOVED the location of the hotel, GREAT atmosphere around along the South Bank of the river with new (and old!) bars, restaurants and cafes less than 5 minutes walk away. The Globe Theatre is 3 mins walk away and well worth a visit even if there are no plays on. We walked to Covent Garden in 30 minutes, a really lovely walk along the river at night with all the lights and lively atmosphere. We even walked back to the hotel at the end of the night as we enjoyed the walk so much the first time! Overall, a VERY good hotel for London, we were over for a function and talking to friends staying in other hotels, I think we did very well in terms of quality for the price we paid.	
Oct 18 2007 	Good Hotel	Well positioned on surprisingly quiet Southwark Bridge Road 300 Metres from the South Bank Riverside Walk and 400 Metres from London Bridge Underground and Borough Market. Very clean, well run hotel with modern decor. Room was well equiped and the shower was very good. The beds are firm and if you are used to a soft bed you may find them hard. Buffet continental breakfast included fresh fruit, cheese and cold meats and was good. Very good rates through Superbreak. I would stay there again. Martin Lander	
