	Cracking Gem with Central London a 30min tube ride away	Stayed 2 nights at the Chiswick Moran to attend a friends wedding at Kew Gardens and I am soooo glad that we did. Its a cracking hotel which, if it was in central London would be far more expensive. We were booked into Room 425 which was a lovely spacious room, albeit set up for disabled guests-although that meant it was very spacious. The carpet was lovely and the room was very modern and well designed. It is only about 400m away from Gunnersby Tube station and ideal to visit Kew Gardens and about a half an hour away from Hampton Court-it was ideal for our needs. The bar is lively and when we stayed (Fri and Sat) had a DJ playing which gave a great atmosphere with some cracking bar staff to boot! Only had breakfast the first morning (was severly hungover on day 2!) but it was good 7/8 out of 10-its a help yourself style buffet but no baked beans : (. We had a lovely evening meal on the first night selecting the set menu which at around £17 for 2 courses was good value for the food.	
May 27 2009 	Very Impressed!	My husband and I stayed here for leisure. Living in Las Vegas we come accross some fine hotels. In comparison, we were very impressed with this hotel. The staff was very helpful and friendly! The room and bathroom were spacious and clean. The restaurant was like fine dining and the food was delicious &amp; plentiful! The location was perfect in a nice area and away from hustle and bustle of the city, but near the Tube (Gunnersbury Station). The only thing I would recommend is for the hotel to get pillowtop mattresses. Other than that, we would definately stay here again!	
May 20 2009 	Good business hotel - wouldn't want to stay there for a leisure weekend	I spent a long, long time at this hotel during my training with my new company and it's absolutely fine as a business hotel.The rooms are fine, some slightly nicer than others (I like the shape and size of the corner rooms - make sure you ask for one with a separate shower and bath)The staff are all very friendly, but I would avoid the restaurant. It's over-priced and there's much nicer food available just a little further down the Chiswick High Road.All in all, a fine place and particularly handy if you're working at Chiswick Park, which is just around the corner.	
May 6 2009 	Not our Cup of Tea!	My husband and I stayed here for one night for a business trip. We checked in and went down to the bar to order food - the restaurant was deserted of customers at 9.30pm. We ordered our food which arrived very quickly, it was not very warm and we suspect had been sitting around for a while. My husband was awake from 5.00am not feeling too well. The hotel we would describe as modern 70's, not really our choice of decor, but it was convenient for our purpose, and I am sure would appeal to many others. The bedroom was a suite, with lots of room, 2 bedrooms and a large bathroom with bath and separate shower. The shower made an awful noise and was not a particularly pleasant experience. We turned the air conditioning off to sleep, but then found that the windows could not be opened so the room was a bit stuffy. I would not reccomend the coffee in the rooms, incredibly strong. We had booked a special deal for the night, but had to ask for the bottle of champagne the next morning which had not arrived. As an apology though the hotel gave us the £20 parking fee as complimentary. At the meeting the next day we were told that the hotel does not have a good reputation for service and that they would not have reccomended eating there!	
Apr 27 2009 	Surprisingly stylish rooms	We stayed here for one night purely on account of the fact that we were attending an event locally. For the price we paid we were very happy with the stylish room and were pleasantly surprised by the size / décor / facilities.Check-in and check-out were very quick and the staff courteous. We didn’t ask them for anything so I can’t comment on their local knowledge or efficiency, nor did we eat in the hotel.Chiswick is not a tourist centre, so if you are visiting London you might find the hotel’s location somewhat remote. However, it is well-connected with tube / railway stations approximately 2 and 10 minutes’ walk respectively and probably offers more than you would get for the same price closer to central London.	
Apr 26 2009 	Not sure what all the fuss is about?	Really can't get my head around why people are getting excited about this hotel. If you want a cheap hotel outside central London then fine I am sure you could do worse but this place is not all that. Yes the rooms are clean and beds comfortable but thats where it ends. The food is dreadful, service indifferent at best and the rooms look like they have been styled by Austin Powers. Avoid the Irish breakfast at all costs, in fact I would say do yourself a favour and grab breakfast in one of the cafés 5 minutes down the road for a fraction of the price and quadraple the quality.The hotel is slightly better than a holiday inn, no more than that. Don't book this place thinking you have got some sort of bargain as you have seen the &quot;funky&quot; pics on the website as you will only let down. There is many hotels in London and I'd have a good look around before booking here unless you have to stay in The Chiswick area.	
Apr 17 2009 	Disappointed and frustrating	We stayed in the Moran Chiswick for the second time this easter. However, we found it to be a frustrating and disappointing experience! We had booked a junior suite and especially requested a quiet room. The room we were allocated was a lovely big room, exactly as in the photos but it was on a very noisy main road with alot of windows. Lacking sleep we asked to be moved the next morning to the back of the hotel, even if it meant a standard room. Imagine our dismay when we returned that evening to find we had been relocated two doors down from our original room, to a smaller noisy room at the front with an overpowering smell of bleach!! We again asked to be moved and were shown a small smoking room on the first floor, which seemed very noisy. Refusing this we were given a small smoking room on the seventh floor with the toilet , shower and bath in the room!! Overall it was very disappointing and we avoided spending any time in the room.	
Mar 5 2009 	Excellent room	We needed to stay a night at the Moran while our flat had some work done and we were not disappointed! Although the hotel is not cheap, the room we had was large and ultra modern. The bed was very big and well made and the bathroom was very clean and nicely done. Honestly, it was one of the nicest hotel rooms I have been in, and I have been in a few!The bar downstairs is also nice and if you need to stay in Chiswick then this is an excellent option.	
Mar 4 2009 	Loved It!	I booked the hotel for the valentines day weekend, arriving on saturday and leaving on the monday morning, and was pleased with everythimg about the place.Arriving shortly after 4pm, check in was easy and the friendly french receptionist made us feel very welcome, we were allocated a room on the first floor..a smoking room as we requested.The room was right next to the hotels gym, and we seemed to be the only people that had realised there was one, my partner was extremely pleased at having his own private work out room and made full use of it! at 2 in the morning and again at 10am! The room was spotless and i fell in love with the bathroom, not sure how necassary it is to have both a huge shower AND a double end bath but we made good use of both and it is a nice touch, as are the numerous different light settings, huge bed and simple yet modern decor.I must say my partner and i were slightly annoying, in the whole duration of our stay we ordered up no less than 5 ice buckets (as there is no mini fridge) and several bottles of wine, but on each call room service was friendly and polite. Housekeeping were OVERLY keen to tidy our room calling around 3 times before she could actual clean, when we finally left our room we returned to how it was when we first arrived (new sheets and all).Parking was fine and as there is a back entrance to the hotel we could walk straight from the car park to the lifts, PLUS we managed to get away without paying anything for it! TIP.. just dont pay, they'll never know :-)We didnt experience the globe bar or the restaurant but both seemed lovely.The hotel is quiet and the staff leave you alone unless u approach them, but that was exactly what we wanted on our valentines weekend so it was perfect. I'd definetly go again! A hotel like this in central london would be double the price!	
Mar 3 2009 	Good location	Lovely hotel with excelent location for getting into central London. Found the staff to be friendly and helpful. Liked the decor and the food was good too. All round good and would recommend to friends.	
Feb 21 2009 	total lack of customer service	stayed here for 3 nights and overall found hotel good.The biggest let down for me wastheservice in hotel. They seemed to be completly indifferent to customersWe enquired on how to get to wimbledon tennis club and were shown tube map then askedif we could look up a computer to see tour times and were told none available onlysockets for laptops , noone offered to check for us just left standing at desk which was very poor.Also on checking out were not asked did we enjoy stay, everything ok etc just handed bill we paid that was it !On plus side room was lovely nice and modern and breakfast was very enjoyableAll in all woud not stay again as felt their indifference was just too off putting	
Feb 20 2009 	Could be good if not stealing...	It could be a good experience for us if they didn't steal my t-shirt! we've moved to another room and i forgot my t-shirt under the pillow. few hours later after i've realized what happened we've checked the old room (still had the key), but it was already cleaned. t-shirt was never found in &quot;lost and stolen&quot; and they said they couldn't track a person who cleaned the room. the incident like that tells me a lot about the quality of the hotel. also, we had breakfast included, but turned out it was only continental which is only cold stuff, if you want something hot you have to pay for it. in general, hotel served it purpose for us (we had a wedding in a church near by). rooms are big, metro station near by..oh, the best part was our dinner-food was amazing! We had a company of ten people and every dish was great, didn't expect anything like that good in a hotel...	
Feb 16 2009 	Very nice but ruined by one member of staff.	Me and my boyfriend stayed at this hotel for Valentines Day.My boyfriend rung on Thursday morning to ask for the room to have roses in our room as a Valentines present. The staff member, named R Duggal, said he would do this. My boyfriend called to check on Friday evening that this had been done- and it hadn't. By this time it was too late for him to order more roses. The staff member he spoke to was very rude and unapologetic. I consider this completely unacceptable. Not only did a staff member fail to carry out the request, but then to be spoken to so rudely is beyond unacceptable. Moreover, if my boyfriend hadn't rung to check- there is no way he would've known that there were no roses waiting in our room. This was deeply dissapointing for me and I hope the staff members know how much they have dissapointed both me and my boyfriend. Overall, I enjoyed my stay- I thought the price was very good for the quality of the hotel. We also paid extra for passes to the health club down the road which was excellent and great value. I was also very pleased with the standard of food in the Globe Bar. Most staff members were excellent but I'm afraid the whole stay was tinted with the dissapointing turn of events my boyfriend had experiened. I hope the manager will make sure these staff members are reprimanded for their poor service and understand that failing to do this made me and my boyfriend very unhappy. Their actions affect others and as individuals working in the customer service industry, they need to understand this.	
Feb 14 2009 	Cracking hotel!	This is a great hotel for those wanting to access Central London easily but stay away from the main hustle and bustle.The hotel is situated about 3 mins away away from Gunnersbury station and ideally positioned just a few hundred yards outside of the Congestion charging zone! The train into central London takes about 15/20mins- we found it quickest to change trains at Hammersmith to join the underground lines.The hotel itself is bright and modern and easily accessible. Check in is advertised as beginning from 2pm although we were able to obtain a room at approx 12:30pm having arrived earlier than intended.We were allocated a room on the second floor and were amazed by spacious layout.The room was brightly decorated in keeping the the modern feel of the hotel. The bathroom was a fantastic size with a separate bath and shower unit. Our room was equipped with LCD tv (on a swivel platform allowing you to move it closer to the bed), wireless internet access and for the ladies, a decent hairdryer that actually dries hair!The bed was huge and extremely comfortable! Whilst there is very little noise from the road opposite or other guests next door, we were aware of the music being played very loudly in the bar below until about 12:30am-not something that caused concern for us but may affect those with an early start.Breakfast ran between 07:00 and 10:30 and charged at £10 for a Full Irish breakfast (cooked to order) and £8.95 for a Continental breakfast. The hotel offers onsite car parking which is detailed in the welcome pack as £20 for 24 hours. As mentioned in other reviews, this is reduced to £10 for hotel residents if the ticket is validated on checking out.All in all a very pleasant stay and very difficult to find fault! I will most definitly be staying at the Chiswick Moran again.	
Jan 22 2009 	New Years Eve pary at the Hotel	We had a great time at the Bar/Lounge and brought in the New Year in the dance floor area, hugging and kissing the other guest!The atmosphere of the hotel is classy and refined. The decor is modern and warm. The staff smiles sometimes!!! and the Champaign was affordable and the wine was reasonable. They ran out of Corona's but that is ok. The washrooms were clean, and the security and staff were considerate.	
Dec 29 2008 	Made me feel very welcome	I’ve stayed at this hotel twice; once right before Christmas and once during summer. The Chiswick Moran Hotel is a four star hotel right by Gunnersbury tube station. Gunnersbury is on the District line to Richmond, and it takes about 20 minutes to get to Victoria tube station in central London.Upon arrival on my first stay I was upgraded to an executive room. The room, and especially the bathroom, was spacious and very light and airy. There was a full-size bathtub on one side of the bathroom, and a shower the size of the tub on the opposite side of the bathroom. In addition to the regular hotel room features, I liked that they had a card on the bedside table that said that they would bring you new books from a selection of bestsellers to read if you’d finished yours. Great idea! The bathroom had a really cool window/light, which was very much in keeping with the general design of the hotel. Let me add that even though this is a hotel that places great emphasis on design, it doesn’t sacrifice comfort. The room had all the amenities you could wish for, except for a refrigerator and free internet access (I think it’s tacky when hotels make you pay for internet access). Even though the room faced the street, I could not hear any noise. On my second stay I was told that they would have upgraded me to an executive room if they had had any available. I adore that the hotel is so nice to their guests. It seems to me that they want their guests to have the best stay possible, and if they have a better category room available during your stay, they just might upgrade you. That’s very good customer service. I was given one of their regular rooms, and was allowed to choose the color design of the room I was going to stay in. I chose a blue room, which was beautiful. The bathroom was the same huge size as the bathroom in the executive room, but it did not have a waterfall showerhead. I do not remember if the executive room had hair conditioner, but I sure missed that on my second stay. The room was smaller than the executive room, and it did not have fresh flowers or a card offering new books (although there’s a selection of constantly changing newspapers and magazines for you in the lobby to take to your room). It was never the less a great room. Breakfast was wonderful. There was a great selection of fruit (that had gotten even better on my second stay), bread, pastries, and a full Irish breakfast. On weekends there’s a hot buffet as well as the cold buffet, on weekdays there’s only a cold buffet, but seeing as they cook whatever you want, you still get the same selection all through the week. On my first stay I had some communication problems because some breakfast staff members didn’t speak English very well. I’m happy to report that the same members of staff had improved their English considerably half a year later.The gym has all the necessary equipment you would need to keep up your work out routine while travelling. It’s not very big, but it’s got one of every type of cardio machine, and an ok selection of weights. I was the only one using the gym while I was there. There is some room for improvement in a few areas: The staff is very knowledgeable about the hotel, but not about its surroundings. They’re very helpful, and they will do their best to look up the answer in their folder, but I think maybe they ought to be taken on a field trip to the nearby area to see where the restaurants are, what type of food they serve, which buses leave from right outside the hotel and where they take you to, where the closest drugstore is and when it closes, etc. I really wish the hotel had a computer available for guests to use or a business center. The staff is very friendly and they do try their best to help, but when you have to spell Tower of London as they’ve never heard of it before, you don’t really bother asking for their help. The staff members should also take more initiative. For instance on my first stay, the hotel didn’t have any adapters left, so I think a member of staff should have gone to Boots and bought a bunch of £3 adapters to lend out to guests.This seems to me to be a hotel that’s very interested in having satisfied guests. Judging from the improvements I noticed from my first to my second stay, I’m sure it’s only a matter of weeks before it will be impossible to fault this hotel.I’m pretty sure that this is the best value hotel in London. I love it. It’s got lots of cool design, yet it’s very homey and cozy, and you’re very well taken care of. I’ve already been back once, and I’m sure I’ll be back again.	
Dec 28 2008 	Excellent!!	My husband &amp; I went to watch rugby at Twickenham and stayed at this hotel. It is very convienantly located, very close to the train station and only 2 stops away from the Twickenham rugby stadium.The hotel itself was awesome! Very clean room and we loved the decor!! Very modern!! We enjoyed the fluffy duvet, soft pillows and the spacious bathroom. Very, very nice room! Staff was very friendly and effecient.Breakfast was YUMMY!! We liked the hotel from the minute we set foot in it!Overall, a GREAT stay and we'll definately be back!	
