	ubiquitous large hotel but excellent value for money	Rooms were a decent size, very clean and very quiet. Excellent location and good value for money.	
Oct 20 2009 	Nothing but lip.	Stayed at the Park Plaza over the W/E of 18th Oct. Visited London with 2 friends Sweden, I'm a Brit. The hotel location ,and condition was perfectly OK ,the rooms were nice and clean, beds comfortably.However we found the staff were, rude in most cases,and very abrupt.Simple requests like putting the drinks on the room were a major task, bare-faced lies regarding a change of TV channel.Having already eaten the breakfast, I asked if I could re-enter to pick up a fruit juice, before I'd finished I got a hand held up to my face, and told to speak to someone else, I tried again, and got the same response with more volume.That guy still does not know what I was going to ask for.....for all he knew I could have needed medical help.It's a shame ecause the Hotel itself in in good shape, however the last like I expect from hotel staff, is nothing but lip !Additionally, it seemed not confined to the odd individual, but 3 or 4 small irriting issues,from 3 or 4 different staff members seems more like a problem in training / hiring, although the staff behind the front desk were much more what one should expect.	
Oct 3 2009 	Good Quality Chain Hotel	I stayed at the Park Plaza Victoria for a week. This is a good hotel. It's part of a large chain, so it's a bit impersonal, but it's fairly well kept up and well run. I arrived at 8:30 am from a transatlantic flight so I expected to have to drop off my luggage and come back later to check in, but there was a room available and the manager at the front desk let me have it right then; a very pleasant surprise. The room itself was fine, no complaints. I did not use any hotel facilities. I had breakfast at the hotel once; a fairly standard and quite acceptable buffet-style operation. There are pleanty of coffee/sandwich shops nearby. The hotel's location is excellent if one wants to be close to the Victoria Station rail/tube/bus hub.	
Sep 22 2009 	Great location and modern hotel	Modern, efficient professional staff, clean and a perfect location for leisure or business. Walk to Victoria train station and Tube, shopping close by including a M&amp;S food store (save $). Good lounge. Walk to Parliament and Buckingham Palace. I have stayed here before and sought it out again on this trip because I knew it was reliable. I dislike drafty old hotels with hot water that might not be so hot. and elevators that are tiny and scary. Like all UK mattresses, this one was a bit soft but he rooms are large (like US hotels for those of you who are obsessed with room size).	
Sep 11 2009 	A bit pricey for what you get	My husband, 6 year old daughter, and I stayed at the Victoria Park Plaza 2 nights, one the night before our coach tour &amp; one the night after, a week apart. The first night check-in was very late due to our plane landing at Heathrow just after 8 pm, then waiting for our luggage, and the 1 hour subway ride to Victoria Station. The hotel is super convenient to Victoria Station &amp; lots of theatres and sightseeing. We had requested a room with a queen or king bed plus a roll-away or sofa bed for our daughter. We did indeed get a large king bed with a roll-away tucked next to the window. Truly, the bed was large enough that all three of us could have easily fit, but our daughter was thrilled to have her own little bed. The first night we were so tired and hungry we decided to just order room service. At that late time, the menu is limited. Mostly just sandwiches. The sandwiches were just brown wheat bread with a slice of cheese &amp; loaded with ham, but certainly not 30 pounds worth for two sandwiches &amp; a few &quot;crisps.&quot; The next morning we had to meet our tour group early, so we woke early and got every one ready in the tiny, but clean bathroom. The staff at reception the night before incorrectly told us breakfast started at 6:30. This time is correct Monday thru Saturday, but Sundays it starts at 7, leaving us with only an hour to eat and walk to the tour center. Breakfast was included in the room rate and was a serve-yourself buffet style with runny, watery scrambled eggs (yuck), sausages, hash browns, and a variety of cereals &amp; pastries. A waiter took our hot drink orders (coffee and hot cocoa). The staff was quick to take away dirty dishes and offer refills on the coffee.The second night was at the conclusion of our coach tour. Having been in the UK for a solid week, we realized that runny, watery scrambled eggs were the norm. Everywhere we went (Lancaster, Edinburgh, Glasgow, etc) served the same breakfast with very little variation regardless of the brand or size of the hotel. This time we decided to go out for dinner, only to find that many places close by couldn't serve us do to the pub vs. restaurant rules that state that children cannot be served after a certain time. It was 7 pm and we ended up going to Sainbury's and picking up sandwiches to take back to the room. This night the room was exactly one floor above where we had been the first night. But this room was dirty and dingy. The carpeting just outside the bathroom door had obvious mildew from too many leaky showers. The sink was not dirty, but seemed old and worn despite being the same style as the sink in the first room.Upon check out both nights, we were asked what currency we wanted our credit card billed in, pounds or euro or US dollars. Being American we requested dollars, but were charged in euros.The absolute BEST thing about this hotel is it's location. It only took us 4-5 minutes (with three suitcases &amp; a tired 6 year old) to walk to and from Victoria Station. We had some time before we needed to head to the airport for our flight home, so we walked to Buckingham Palace, Big Ben &amp; the London Eye, and Westminster Abbey and back along Victoria Street to the hotel. All in just over 90 minutes. I can say that I want to return to London for a more detailed sightseeing tour, but I wil NOT be staying at this over-priced, not quiet a 4 star hotel.I would only recommend this hotel if location is your primary concern.	
Sep 10 2009 	Great location nice room	Nice room, comfortable beds, quiet. I had to book a room with 2 beds, and bith were comfortable. Its in a great location because it is very close to Victoria Tube and Train station, yet walkable to Big Ben etc. This location was great for travel to the underground station, the trains to southern cities I visited, and the bus/tour bus station was a short walk. Also, Victoria station has food, groceries, etc. I liked this location much better than Bayswater where I stayed last time. The hotel room was very modern, quiet on the 5th and 6th floors, air conditioned etc.Complaints? Ok, for the $$ I spent, they could at least have a free computer you could use like many other hotels do. Also, the tubs are very high sided, so stepping in and out is tricky, especially for older people when the pretty tile floors get slick. Take care is all.I would definetely stay there again.	
Sep 3 2009 	Lower end of 4 star but great location	This hotel is at the lower end of 4 star however the location is fantastic. The hotel is less than 5 minutes from the Victoria overland and tube train stations, making it very easy to travel around London and beyond. There are also two small supermarkets nearby together with a larger store (Sainsbury). Hotel staff are helpful and friendly, though the rooms are somewhat dated. Although located in quite a busy area, the rooms are well insulated from the outside noise. There is a small fitness centre on the 3rd underground floor but no pool.	
Aug 25 2009 	Try to find something better for this much money!	I will start from the end: I noticed the hotel charged without asking me my credit card in euro, instead than in GBP, this I am sure they did on purpose because the exchange rate applied is higher and is increasing their income. I stayed for 4 nights, the only reason to be there is the location. I stayed in the Park Plaza in Bangkok and I loved, I choose this one thinking was the same and I was so much disappointed. The rooms are pretty old, although not so small as other hotels in London, bedsheets are old even though are clean, there is old tv with little channels and often not working, no DVD set, no lights except the main switch, so the room is quite dark. The wardrobe has a fancy handle so stupid you cannot even grab as little it is! Bathroom ok, the staff is providing little things for personal care (only soap, shower gel and shampoo). NO SLIPPERS! Unbelievable! I even complained with the reception, they don't care very much, they learned like an answering machine how to check in and check out a customer and that's it! Gym is very small but at least is complimentary, the only thing, because internet is for paying in the room and in the hall, no complimentary water in the room, generally the impression is you are paying even for the air you breath. Breakfast is good although after a while you get bored. Of course the location is good because around there is everything you may need, and Victoria station for transportation. I know London is like this, and the other hotels are more or less the same, but this is not the service of a 4-star hotel of such a prestigious chain.	
Aug 20 2009 	Vacation on London	A very good hotel, very central with good condition for leisure or business trip.The only critic i do is the fact of they make wedding cerimonis and the guest were vey noisy. I think the hotel must be more carefull.They have a good restaurant and the personal are very professional and nice with the guests.	
Aug 17 2009 	Good central location but falls short of 4 star hotel	Did not get off to a good start when booking in! Despite producing e-mail confirmation from travel booking company confirming that account was to be charged to my employers (pre-arranged, as is the usual practice with our large organisation), receptionist insisted that I could not be allocated a room until I tendered my credit card! I explained that I was running late for an extremely important appointment and that payment had all been prearranged - she would not be convinced and said she would have to make some telephone enquiries. Her male colleague continually butted in to say that I could not be allocated a room until confirmation of payment was received - felt quite humiated by that point! I was then left hanging around reception for some considerable time until I had my employers intervene. Missed appointment - my sole reason for travelling to London and had to reschedule. Very poor customer service.Room was huge and bed clean and comfortable. Bathroom grubby with taps etc stained from previous occupants use. Tea/coffee tray but no frills such as biscuits, water etc, although there is an ice machine next to the lift. Had just emerged from the shower at 0845 hrs when cleaner knocked once and then marched into the room without waiting for an answer!Main lounge area next to reception is a pleasant place to relax but carpet is heavily stained and should be cleaned or replaced.On attending at restaurant for breakfast, which was included in tarriff, I was told there were no seats left and I would have to take my self service breakfast into lounge area and eat it at low coffee type table. Breakfast was okay but there was no sign of any staff behind the servery and a lot of items had not been replaced (9.00 am).All in all - yes I would return and give it another chance as it is really handy for Victoria train station and the Underground.	
Aug 14 2009 	Pros and Cons 	We stayed here for 12 nights during August 2009.Pros: Concierges are very helpful; Rooms are modern and clean; 2minute walk to Victoria subway/bus/train station.Cons: No free wifi (available in nearby eateries); Older guests should be careful not to slip while entering/exiting the bathtub.Suggestions:The hotel is bounded on opposite sides by Wilton Street and by Vauxhill Bridge Road. On Wilton, within 3 blocks from the hotel are some very good restaurants--a. Grand Paradisio - Mediterranean, Spanish, and moreb. About Thyme - varietyc. Or, save lots of money buy getting take-out food/liquor from Sainsbury's grocery store.At Victoria Station, a good French restaurant is Chez Gerard.For good Chinese or Japanese food, try Chinatown (Gerard Street) not far from Leicester Square.If you're staying a few days, buy an Oyster card for discounted travel on subway, bus; renting a car is expensive and impractical if you're staying in London.Discount same-day theatre tickets from TKTS booth in the center of Leicester Square.British Natural History Museum - great exhibit dinosaur exhibit, but get there as soon as it opens, as the lines grow fast and long. British Museum is free and less crowded.	
Aug 1 2009 	Fantastic Location Spacious Room So-So Service	I came to London alone and was so excited to explore the city. Being in Victoria, right next to the tube/train station was perfect for my traveling needs. The hotel is absolutely gorgeous, and I was so pleased with my room when first entering. I had heard hotel rooms in Europe were a bit smaller. But this room was comparable to anything in the states and the bathroom looked brand new. Unfortunately, the U.S. adaptor didn't work, the shower leaked heavily, there was no air conditioning, and a faulty light. I can't say the view is fantastic either.... After calling and have someone look at my shower I was able to move into another room and it was hassle free!! The people at the front desk are very friendly and I did love this hotel but without my package deal inclusive of travel, hotel stay, and theater I probably would have looked for a better value hotel.	
Jul 30 2009 	Not perfect but convenient and generally very nice	My sister-in-law and I stayed at this hotel during our 5-day trip to London in July of 2009. We had a little bit of trouble finding the hotel initially after coming from the Victoria coach station, but that was mostly due to a poor map. Generally speaking, the location is extremely convenient as you can get anywhere you need to from Victoria station. The lobby of the hotel is very nice, although I have to say that check in was slow because the front desk was extremely busy. We arrived early afternoon - probably 1:00 or 2:00 pm - and got into our room right away which was very nice. The room was spacious, modern, and clean. We usually had no trouble at all with housekeeping, however one morning they seemed to have come in and made the beds without doing anything else. No new towels and the bathroom was still dirty. Also, we were disappointed that the hotel bar closed so early, but then so do all of the pubs in London. Finally, we were going to make use of the computers and internet access in the hotel lobby until we found out that the cost was 25 pence PER MINUTE. We found that to be absolutely ridiculous and decided not to use it. I can understand if a hotel charges to use their computers, but at least make it a reasonable rate! Anyway, I was however impressed when the hotel sent us a survey to complete when we arrived home and that they actually responded to my complaints. Hopefully improvements will be made in the future. Generally speaking, I would recommend this hotel. It is convenient, spacious, and modern - what more could you ask for?	
Jul 30 2009 	Great location	The hotel is conveniently located to Victoria Station and several small restaurants. We found the staff to be pleasant and helpful. The lighting in the rooms was not the best and the carpet throughout the hotel needs to be replaced. Perhaps they are waiting until it's closer to the Olympics? However, the room was clean, quiet, and comfortable with plenty of storage space. The breakfast in the Executive Room was good. We ate in the restaurant one night and had a late snack in the bar which were both enjoyable.	
Jul 20 2009 	One should expect more from a four star hotel	This hotel can be easily found, just few steps from Victoria train station, which is very comfortable when you want to party in Vauxhall clubs.When I made my reservation I've emphasized my early (is it really early?) arrival at 12 o'clock, but unfortunately my room wasn't ready, I was asked to leave my luggage at concierge and came back at 2 o'clock. When I came back at 2 o'clock it occured that there was 30 people waiting at the reception desk to check-in.The concierge service can only offer storing your luggage, asked for booking the movie theatre tickets, bringing speakerphone to my room or ice-bucket was impossible for them.The rooms are spacious, but the sheet was ripped; there are lovely heated mirrors in the bathroom but the glass restraining water from leaking on the floor while taking a shower was hardly screwed which I noticed just before it could fall off and make same serious damage.Reasumming my stay in Park Plaza Hotel was full of unpleasant surprises :( I won't stay there again!	
Jul 14 2009 	SOUR STAY-EXPENSIVE HOTEL	My partner and I stayed at this hotel for three nights. From the minute we checked in, it was obvious that the front desk reception staff were untrained and unfriendly. It was as though we were imposing on them to let us stay there! We were so sorry to have arrived!Although the room itself was not bad, the lighting in the bathroom was deplorable. The cost of breakfast was astronomical, but luckily the hotel is near to several eating places and restaurants. In terms of location, its excellent-in terms of everything else, it certainly needs some positive team work, some staff upgrades and training...its better to stay at the Hesperia..which I will do from now on...	
Jul 11 2009 	Great staff running a mediocre facility	I stayed at this hotel for a few nights with two other family members in one room. Getting a triple accommodation in London is tough in my experience, but this place was quite flexible, offering a sofabed in a king room. The price was steep, typical of London, but the experience was not a great one. Let me say at the outset that the staff here are fantastic, but they have been given a mediocre hotel to run. It is hard to believe that the chain does not invest in the hotel to clean it up or replace worn furnishings, and the room design is simply awful. Although the rooms are adequately clean and the lobby is rather striking, the halls are filthy dirty and the &quot;executive breakfast room&quot; (only available for the higher priced rooms) looks worn out and frayed. The breakfast itself is pretty good, and the server was courteous and quite friendly. The first room we were given did not have a working AC unit, so we were quickly and efficiently moved to an apartment, which represented a free upgrade. I can't say this was a typical room, but it was not comfortable. The bed was poorly made up (I hate when too-small bottom sheets work their way out from the mattress and the bed ends up a mess). The lighting was annoying with only glaring ceiling spotlights that could not be used to read in bed. The wi-fi internet worked fine (extra charge - could not get the 1 hour free wired version to work, but they offered to come fix it right away had I wanted it). The location is great for the two Victoria area theaters (we picked up seats for Wicked from the box office right down the street, and Billy Elliot was playing around the corner). The hotel is a short walk to Victoria station and we were able to roll our copious luggage there and catch the Gatwick Express train with no problem. The Victoria area is a short walk to Big Ben, the Eye, the War Rooms museum, Buckingham Palace, Trafalger square etc, but you would want to take a cab back to the hotel after a west end theater show lets out at night (except for the two nearby theaters). All in all, this could be a great London hotel if the chain would invest in upkeep and interior upgrades. The staff is excellent, work hard, and deserve better.	
Jul 7 2009 	Great Hotel - Definitely recommend it!	I stayed in this hotel for 4 nights while visiting London. The location was very convenient, an easy 5-10 minute walk to Victoria station and the rooms were clean and nice. I paid extra to have breakfast included and It was worth it. I was traveling with my 9 year old and I recommend it for families with kids.	
Jun 29 2009 	Good stay	We stayed for 1 night in June 09. Check in was efficient - we got into our room earlier than the 2 pm normal time. The room was comfortable - well lit - with a king size bed. We'd have been comfortable staying fro longer. Good bathroom. Everything clean. Friendly helpful staff. Victoria Station close by.	
Jun 25 2009	great hotel great location	My husband and I stayed at the Park Plaza reciently, we found the room clean and comfortable, the staff were helpful and friendly, the hotel is close to Victoria Station, and easy walk to attractions.	
Jun 23 2009 	Hassle Free Hotel	I stay here regularly while on business in London. Its certainly not the plushest hotel out there but represents good value for money. The rooms are mid-sized with the usual amenities (desk, tv, small table, safe, etc) and always clean.The location is so-so.... Victoria is a bustling area but somewhat charachterless, although it is close to many of the major tourist attractions and very handy for the tube.The only complaint I had about this hotel was when I tried to look for a cable for the &quot;free internet&quot; I was told they were all in use. I was not best pleased... but after some strong words they agreed to enable the wireless access for me at no extra charge.	
Jun 18 2009 	Perfect weekend stay at the Victoria Park Plaza!	Me and my partner stayed at the Victoria Park Plaza for only one night as we went there to see the show Wicked which was about 2 minutes from the hotel which is well worth seeing it if you will be staying there.. it was amazing!! The hotel was really nice and modern. My partner and i stayed in an executive room which was a really nice size and had a lovely bathroon and a huge bed that was so comfortable. The food was nice and the executive lougne was good as you get free drinks in there from 6pm-8pm ( guests in executive suites only). The hotel was just minutes away from victoria train station and victoria tube station and it was really easy to get to. I would deffinatly stay there again on my next trip into london.	
Jun 15 2009 	Good Hotel	was fine for a business stay, and close to central london - victoria station/tube, long walk to the thames and buckingham palace. hotel was showing some signs of age: spots on floors, etc, but everyone was terrific, the place was clean, nice gym, and good food.	
Jun 15 2009 	Great hotel and great location	We really enjoyed staying at this hotel. Booked it because of the good reviews on Trip Advisor and as usual, we were not disappointed. So close to Victoria Station and lots of great restaurants and bars. The hotel staff were all very friendly and welcoming which is unusual for a city hotel. Our bedroom was on the 7th floor looking out to the back of the hotel so it was nice and quiet. The room was very spacious and the bed was extremely comfy!! We found the location to be very central for a lot of the touristy sights ( no tube travel required ) Great hotel.	
Jun 14 2009 	underground access and walking distance to sights but no nightlife	Good price and my room was clean and quiet with a view over rooftops that I enjoyed. It was within (long) walking distance to many of the places I wanted to see, e.g. Buckingham Palace, Westiminster Abbey, etc. It was good for me but may be too long for some people, and definitely too long for children. It is right next to the train station, so it was easy to get to via the train and then underground from the airport, and it has easy access to the underground to other sights and areas (e.g. Tower of London, Picadilly Circus, West End.) All around the hotel however it is a very busy street scene with lots of construction and kind of run down with nothing happening at night. Also be warned they charge your credit card 75 pounds in advance at check in for incidentals, promising to re-credit the card 2-3 days afterwards minus the incidentals. All in all, it would be good for a single business traveler but for vacation next time I might look elsewhere. I suggest families look elsewhere for more space and friendlier street scenes.	
Jun 13 2009 	Great Hotel close to theatre and train station	The Victoria Park Plaza was more that enjoyable for my stay in London. I only stayed one night and was going to see Wicked and this hotel is really just a block away which was very nice as it took just two minutes after the show went out to stroll back to the hotel. The rooms are very nice, with a great working AC, nice large bathroom and comfy beds. The walls were a bit thin and I could hear my neighbors during the day but they were quite at night.It is also very close to the Victoria Station which makes arriving and going around London very easy.	
Jun 11 2009 	Enjoyable stay.	While not the best place I have ever stayed at, this hotel definitely holds its own. The rooms were very clean, if slightly sparse, and the hotel itself feels very modern. It is nearby many great restaurants and an easy walk to the theatres and to the underground station. The staff were friendly and helpful, and the woman who checked us in upgraded us to a king room... we aren't sure why, but we didn't argue! We stayed for only two nights at the end of our trip but I would absolutely stay here again.	
May 29 2009 	Loved the Park Plaza	We stayed here for just one night but the hotel was such a refreshing change from other hotels in the city of London , It is in the heart of central London, close to Victoria station and looks new and beautiful, i booked through the secret hotels offer at lastminute .com after guessing that the hotel was the park plaza . The bathroom was huge and had a shower as well as a bath tub , i was amazed when i saw the size since London hotels can be so expensive and yet crunch up the space ! What i also loved was that the room had a full length mirror , wonder why so many hotel rooms miss on this. The staff was prompt and helpful. All in all a very pleasant stay.	
May 28 2009 	Definitely Would Stay Again	Great location. Great value. So central and handy. Definitely enjoyed my stay. If you book a room with the buffet breakfast included would recommend eating your breakfast in the restaurant rather than the executive room on Floor One (just more comfortable and spacious --- and the breakfast is the same).	
May 24 2009 	Good hotel clean and modern rooms	I stayed in the Park Plaza hotel for a business trip, having a conference in the same hotel the following day. The hotel is literally a one minute walk away from Victoria train station so is ideal for those travelling by train. The hotel lobby is quite impressive, with plenty of staff available to deal with you. I stayed in an executive room that cost £160 for the night. The room was very nice and had obviously been recently renovated to a high standard. The room was very clean and the bed was large. There was every amenity that you could need for a business trip with Wi-Fi etc available. The room was quiet despite being above a busy road. The breakfast the following day was excellent. All of the staff that I spoke to during my stay were friendly. The conference facilities the following day were also good, they are situated below the main lobby area. I would recommend this hotel to those on business trips, but it would also be a good place to stay with your family if you are visiting London.	
May 18 2009 	Highly Recommended and Excellent Value	A refreshing experience. All the staff, with which I had contact, were polite and knowledgeable. The tone of voice and body language was sincere, indicating their willingness to be of assistance.The rooms are well equipped, clean and very comfortable.The Hotel is situated in a very convenient part of the West End of London, close to many amenities.Most appreciated was the fact that the bar area remained open until the early hours, offering a wide selection of beverages and snacks.“Don’t look this one over when searching for accommodation in London”.	
May 16 2009 	Great Location So So Staff and Room	We stayed here 2 nights on our first trip to London. The location was great, we walked out of the train station and even with many bags ( thankfully hooked together &amp; on rollers) we were able to walk across the street and easily found the hotel after asking some train station employees having a smoke break outside. The room was a bit of a disappointment, I had payed extra for an Executive Room and thought it would be at least a little plush. It was on the first floor, poor view, had 2 beds as we had requested and was not spacious at all. There were 2 bottles of mineral water, 3 small &amp; beat up looking pieces of fruit and a box of 2 chocolates - filled with a powerful booze flavored filling that was nasty. The chocolates were not replaced the next day and that was fine. Our first night there, at 1 or 2AM it sounded like we were sitting over a noisy bar. Turns out the people next door were having a loud party. I called the desk &amp; they were good about sending someone to ask them to pipe down. The concierge, Peter, was very helpful but often occupied with other guests. An assistant tried to help me with advice on which tube to take to get to our desired attraction that day, but I needed more help &amp; better advice than he could give. He tried to help but gave me such complicated instructions - with too many options, that it almost did more harm than good. The bathroom was nice but a little worn, the mirror next to the tub was badly etched at the bottom - mirror type backing worn away. The spa toiletries were very cheap quality although packaged nicely. The bathrobes were extremely old &amp; scratchy. I would have been embarrassed to offer robes to wear of this condition to a guest. The lounge was nice enough, you are able to get coffee or tea throughout the day - although the coffee is from a push button type machine and not great. The creamer offered is like skim milk, no half &amp; half available. The snacks are offered from 8pm to 10, I am sure I saw 6 to 10 advertised but this is not the case. We were at the ballet on our first night, &amp; tried the lounge our 2nd evening there. Snacks consisted of slices of ham on a plate, and 2 bowls of cracker like munchies. There was wine available, and nice bottles of beer &amp; cans of soda in the cooler. Maybe there were more snacks available earlier but they ran out, although we were in the lounge by 6:30. I got the breakfast from the lounge on our first morning &amp; was able to get a plate &amp; bring it back to my son, who wanted to sleep in that day. Most of the items looked pretty good, but the bin of scrambled eggs looked gray, undercooked and unappetizing. They were out of pastries except for toast. The other items were ok, not great, I would say this breakfast is worth 5 or 10 dollars. We had it because it came with the price of the room, but I would have been disappointed had I payed their ala carte price for it. The 2nd day we went down to the restaurant and the offerings were much better there, and there was adequate seating. In the lounge, all the tables were either occupied or full of old dishes, so taking it all back to our seemed the only option. The eggs were the same gray &amp; slimey looking concoction downstairs, but there were also fried eggs, potatoes, sausage &amp; ham as well as some very nice pastries &amp; fresh fruit. I would advise skipping the lounge location entirely for breakfast, the food is better in the restaurant the staff more helpful.I would stay here again if the price were right. The location is great and just a block away from 2 theaters, where Wicked and Billy Elliott were playing. We were busy &amp; only here for 2 nights, perhaps if I had bothered to ask we would have been given a better Executive room. The down points on this hotel is that it is so big and impersonal, and most of the staff seem apathetic &amp; not service oriented. London is expensive, so I suppose for what we payed (going through expedia) around $500 US for 2 nights including tax was not terrible. Still, for what we payed I did expect more.	
May 15 2009 	Loved the hotel location staff and atmosphere!	This hotel made a hectic start to a long vacation much easier than anticipated! My flight arrived to London at 7 in the morning and check-in was at 2 PM. I asked the front desk if we could check in early, and thankfully, we got a room upon arrival! The room was incredibly clean, the bathrooms were modern, and the beds extremely comfortable. What was even more convenient: the electrical outlets! They were American plugs and already converted. The service and staff was great as well. The location is great, Victoria station is just a short walk away. My one complaint would be the expensive internet BUT....right down the street is a great little cafe called &quot;Pret a Manger&quot; that offers free wi-fi.	
