	Don't stress just book it- it's fine!	I stayed up until 1:30 a.m. one night, stressing about hotels (and their cost !) and especially worrying about the reviews on this place and whether I could find a more affordable, more centrally located, nicer hotel in London. I wish I had gone to bed earlier in the night, because the hotel was fine. It wasn't grand- simple, small, clean and a place to sleep. But it wasn't awful, either. Would I book here again? Yeah, probably if the price was right. However, I wouldn't go out of my way to book here either. LOCATION- I wouldn't say it was &quot;centrally&quot; located- maybe walkable to Kensington Palace, but that's about it. However, it is just about a 7 minute walk to two different tube stops (the district, central and cirlce lines), so that's really all that matters in London. BREAKFAST- We purchased through Veneer and breakfast was NOT included in our price- it would've been an extra 8 pounds. So, instead, we stopped at the Spar near the tube stop and purchased some bananas and cereal bars. Much cheaper and allowed us to get going at our own pace. SIZE/AMENITIES- We stayed in room 37. It was small- if you're American, imagine a typical guest bedroom with bath. However, I personally don't care about having a large room 'cause we are active and siteseeing. Rooms included a nice large hair dryer, shirt press, hot water pot with instant coffee and tea, large closet with safe. The TV did not have cable, only about 5 stations or so... again, doesn't matter to us, but might to others.BATHROOM- Decent sized, with deep tub. Really bad shower pressure. Tile was loose on the floor. Included lots of counter space and a towel warmer. STAFF- Always seemed nice enough. No problems, but they didn't go out of their way to be super kind or anything, either. They did let us leave our bags in the &quot;luggage area&quot; when we arrived VERY early in the a.m. before our check in time. The luggage area was really just open shelves. It worried my hubby at first because we were the first to put our belongings there, but when we got back later that evening, the luggage shelves were full and noone had tampered with our luggage. NEIGHBORHOOD- The street where the Tube exit/entrance is was a bustling area with lots of food and shopping. Some of the restaurants were obviously more geared toward tourists, but there were a few unique spots, including some authentic Chinese and Mediterranean. There's also an indoor mall, marked with a big &quot;W&quot; on the outside near the Bayswater Tube station and I also noticed a few consignment shops, which I was discovered too late to visit. So... if you're up late reading this and super worried about the accomodations... just book it!	
Aug 22 2009 	Fantastic well equipped friendly hotel	I stayed at the Byron with my teenage daughter and we had a Fantastic time. The hotel was easily located from the directions given from the tube station and when we got lost late at night we rang the reception and had an extremely friendly, helpful response and found the hotel within minutes. The room was well equipped and we wanted for nothing. Although we didn't get chance to use them the garden looked beautiful from a central London positon and the restaurant was well also something that promised lots but we didn't have chance to sample. Would recommend and will certainly use again.	
Jul 27 2009 	Country hotel in the middle of London!	That's how the hotel describes itself, and its not too far from the truth! I stayed there for two nights with my girlfriend, mum and 5 year-old son, and we all thoroughly enjoyed our stay. The hotel is situated approx 5 mins walk from Queensway and Bayswater tube stations, and 2 mins from Hyde park. We travelled to/from Paddington which is just one stop away on the District &amp; Circle line. The rooms were very clean and well presented, having been recently re-decorated. All the normal facilities were provided, with flat screen TVs and wireless internet access available. The breakfast was slightly pricey at £7.95 per person, but you can reserve your table the night before and there is a very good selection of continental breakfast as well as a full english, with all the trimmings and a seemingly endless supply of toast and tea &amp; coffee, served by friendly and courteous staff. I will definitely stay there again when I need to stay in London in the future, and would have no hesitation in recommending the Byron Hotel to anyone.	
Jul 27 2009 	Good clean hotel and great location	Would definately recommend this hotel. Yes the rooms are fairly small but you are in the centre of London - that's how it is! If you are expecting bigger you are looking at the wrong class of hotel and price range!We got a room for around £100 per night including continental breakfast which is quite good for London at peak season (wouldn't be as happy if I'd paid the full price of £150-180 though!). As it had recently been renovated the rooms were nicely decorated and generally clean except for what looked like a blood stain on my white sheets and a very dusty skirting board. Staff were helpful and common areas were clean and nicely decorated.Good location about a 5 minute walk to Queensway and Bayswayer tube stations and close to hyde park (afternoon tea at Kensington palace is recommended!).One bit of advice is to ask for a room at the back of the hotel as we were at the front and it was quite noisy.	
Jul 21 2009 	Nice for the price!	If you are looking for a place to lay your head for the night and take a nice shower for the least amount of money, this hotel is for you. Lovely location right by Hyde Park. We walked to Kensington. Easy access to the Tube. Overall nice hotel. Rooms are small but that is to be expected.	
Jul 18 2009 	Not the best hotel but clean and very central	Small rooms. Nut very luxury but clean. The hotel is very central. Price is o.k. Just 1 minute away from St. James Park. Restaurants, shops and a shopping mall are 2 minutes away.	
Jul 17 2009 	Avoid! No A/C Run-down tiny roomsvery rude staff!	I was there recently for 2 days and I should of turned on my heels and walked back out the minute I arrived!I hate complaining but had to for several reasons...It was mid summer and hot so booking an aircon hotel was a must but sadly we were told the a/c wasnt working and were handed one small warm bottle of water and a fan!The room was over the kitchen so it was very noisy so we couldnt open the window. At 6am the extractor fan started up under our room and it was like a plane taking off!The room was cut in half because we had the lift shaft next to us. We eventually got moved the next afternoon and had to sleep one of our 2 days to recover from the lack of sleep!The sink was in the wardrobe! the twin beds were barely a foot apart and the pillows were pancakes!The breakfast was warm yogurts, cold toast, warm tinned fruit and god forbid you get a pot of tea! we did pay for a &quot;breakfast&quot; not thinking it was considered continental- what a waste of money that was, I would prefered to go out for a decent breakfast!When we told the &quot;management&quot; about our complaints and to see if we could get a few extras ours after check-out time they were'nt very considerite after all it was their noisy room that mad us miss out on one our days from a 2 day holiday!Avoid at all costs! Big let down! Shop around!	
Jun 30 2009 	Good value. Friendly	Clean, staff helpful, quiet. Other reviews are correct!	
Jun 27 2009 	Clean and tidy with pleasant staff our own room was rather small though	We stayed in London for a few days. The location of the Byron Hotel is convenient, near two tube stations that sit on different lines. The hotel was clean and tidy, generally well decorated and the staff always pleasant. The breakfast room, being smaller than the amount of guests the hotel can accommodate, works on a rota basis where guests book a 'sitting' the following morning. Works in principle but as you'd expect not everyone turns up at the allocated time, sometimes requiring those who did book in having a brief wait. We booked direct via their website. Our own room, on the top floor, appeared to be built into the attic and was much smaller than we expected, not having much room to swing the proverbial cat. The room had a small window overlooking the rear courtyard, and had the standard facilities you'd expect of a 3star. It appears, from other contributors and their pictures, that there are much better rooms available in the same building. There is a hotel lift which does the job a lift should, although it is 'cosy' with four occupants. To summarise, we would stay again as the hotel is nice enough backed up by pleasant staff but only if the room provided was larger.	
Jun 17 2009 	Good value for money	Ideally situated just a short walk from Queensway/Bayswater tubes. Plenty of restaurants in locality and good access to shopping and tourist sites. V Close to Hyde Park too.Double room was small, but well presented with modern furnishings. V clean.Breakfast was offered at £7.95 which seemed reasonable but we didn't have time to enjoy it this time. Hotel also states that it has a bar, but again didn't try. Reception were welcoming and efficient.Only down side was the loud hum from the electrical circuit board in the room. The lights and power are activated by a slot in card. We solved the problem by removing the card - and had a good nights sleep!Would recommend for short business stays and tourists.	
Jun 16 2009 	I was very pleased with this hotel	I chose hotel Byron because of the positive comments in the internet and agree with them. The hotel staff was very helpful and friendly. I stayed 6 nights and only one morning starting at 5 there was noisy persons close by, so I slept very good all the other nights. Room was tiny but had everything I needed and was suitable for me. They kept everything very clean. The whole hotel was no smoking that was very nice for astmathic person like me.I took Heathrow Connect (cheaper than H.Express) to Paddington and walked 20 minutes to the hotel. It was easy way even with 10 kg trolley. Tuesday and Wednesday afternoon I bought cheap tickets (at the theatre) to WestEnd shows only 30 minutes before they started.	
Jun 9 2009 	very nice hotel ideally located to visit London for a week-end	We stayed at the Byron Hotel for 2 nights with 2 other couples and 2 young teenagers. The staff was very friendly, rooms nice and clean and although some rooms are quite small, they are all charming and comfortable enough for a short stay. Breakfast OK.The hotel is very well located near Hyde Park with 2 underground stations at a few minutes walk and also bus facilities. Many restaurants for the evening and shopping mal at 3 min. walk. We will certainly go back with our children this time.	
Jun 8 2009 	Very nice clean quiet hotel near Hyde Park	We stayed here for 2 nights on June 4-5, 2009. We found the staff to be helpful and friendly. The room we had was small but spotless and amazingly quiet considering it is half a block off of Bayswater Road. It is convenient to tour buses and the underground. We would stay there again.	
Jun 3 2009 	If you want a place to sleep...	I stayed two nights in a single at Hotel Byron in late May 2009. Good points -- good bed, in-room bath (toilet, sink, shower), AC, a small lift (good not to have to lug your bags up the stairs), 24-hour reception desk with people knowledgeable about the area (steering me to the good Indian restaurant 3 blocks away, not two mediocre ones that were closer), location (two Tube stations, Bayswater and Queensway, on different lines within two blocks, lots of restaurants/stores within two blocks, fairly quiet street near Hyde Park), TV, wi-fi Internet access...Bad points -- matchbox-sized single room (not big enough for a luggage rack), the first night the shower door fell off into my hands as I was taking a shower (but they did manage to fix it), and London lodging is just plain expensive, including this one (but the price was similar to two other places I looked at that had no AC and no lift).Unknowns -- I did not try the breakfast. I did not get to see a double room.Conclusion -- stay here if you want a place to sleep but not luxuriate.	
Jun 1 2009 	Very nice hotel in quiet area	I stayed at this hotel in February/March 2009 with a friend. Initially we would be given a room with one bed, but after objecting about that the reception staff gave us a room in a nearby hotel with two separate beds. The following day we could check into the Byron hotel and we were given a room with two separate beds. The staff at this hotel is thus very helpful, they also advised us about train schedules and attractions in the vicinity. The rooms are quite small, but very clean and comfortable. The hotel is quite easy to reach by Underground. Queensway and Bayswater stations are both within a few minutes walking from the hotel. When travelling to Cerntral London by Heathrow Express which arrives at Paddington station, the hotel is within walking distance. The area around the hotel is very pleasant with Kensington Gardens and Hyde Park within walking distance. I would certainly stay at this hotel again!	
May 24 2009 	Would definitely stay again.	For my first trip to London I stayed at the Byron on 3 seperate occasions. Would stay there again. Yes the rooms are small just like most rooms in london. The staff were very helpful, the rooms and bathroom were very clean. The price was the best I could find for the location. The Location is idea 2 minute walk to Queensway station and 4 to Baystwater station. 1 mintue to Bayswater Rd for bus. Queensway Rd has shops and all kinds of restaurants, which is a couple of minutes away from the hotel. The hotel is only a couple of minutes from hyde park and a 20 easy walk to Marble Arch. I would recommend the hotel to my mother andi plan to stay again.	
May 21 2009 	Budget Hotel Done Right	We got an excellent rate here in February and really felt like we got a great value for the price. The rooms are small, this is London, yet the nicely done renovations and details like the flat screen TV's make it so that you don't feel like you're slumming it. The location is not uber central but with the easy tube access it's not a problem and there are lots of shops and restaurants in the vicinity. We weren't tempted by the breakfast and truth be known there are lots of cafes nearby for a quick bite (We particularly enjoyed the Cafe Espana adjacent to the Queensway tube station). One note- the stored luggage facility has essentially no security so I'd recommend bringing some locks with out just as a deterrent. We had a lovely experience and would definitely recommend The Byron (assuming their rates stay competitive).	
May 5 2009 	Ok for a budget trip	We were a group of ladies on a weekend away and the Byron was adequate as a base for us. Plus points are that the room rates are very reasonable for London and the rooms/hotel generally were pleasantly decorated/furnished and very clean.On the not-so-plus side shower screens rather than curtains would have been preferable and the air conditioning did not work at all in either of our rooms.Breakfast sittings are staggered and you have to book a specific breakfast time for the following morning - slightly irritating if you want some flexibility. Breakfast itself was distinctly average (ie, canned fruit/mushrooms rather than fresh).We negotiated it as part of our room rate but would not have wished to pay extra for it. That said, the breakfast staff were pleasant &amp; attentive and the coffee/toast was plentiful and regularly replenished without being asked.Also, payment for our stay was required on check-in, not check-out - not a problem in itself but this is unusual and was not mentioned when we booked.The hotel advertises a full concierge service and licensed bar but we saw no evidence of this (the bar consists of a mini-bar fridge in the lounge which staff will unlock upon request) and do beware that any luggage stored at the hotel is in an area at the end of a corridor open to all; not locked away or labelled by reception staff (unlike any hotel I have ever stayed at anywhere in the world!). The daytime reception staff are simply not interested (evening staff were better and friendlier).The hotel is located just off Bayswater Road with very easy access either across Hyde Park to Knightsbridge (20 mins) or along the park up to Oxford Street (30 mins).Two tube stations are close by which you are likely to need in the evenings as there is little to tempt you in Bayswater itself ( 1 main street with a couple of pubs and a small selection of restaurants).In summary, the Byron is good value for a budget stay in London but I would not recommend it for a special occasion or romantic getaway. You get what you pay for.	
May 4 2009 	Great location friendly and helpful staff!	As a business travel with a couple of extra days 'vacation' at the end of my trip, I thoroughly enjoyed my weekend stay in the Byron Hotel. Though the room was a bit small, it was very clean and comfortable. The hotel is located in a nice, quiet neighborhood close to Hyde Park in one direction and the Bayswater Underground station in the other direction, both excellent reasons to stay here. It is easy to get anywhere in central London using the Bayswater station, and a walk over to Hyde Park from the hotel is a pleasant way to spend a free afternoon. The staff were friendly and helpful, suggesting places to eat and even printing a ticket voucher for me at the last minute. I highly recommend the Byron Hotel!	
Apr 28 2009 	Very good experience - we absolutely reccommend this hotel	I found this Hotel through Tripadvisor, and I fully agree with the good reviews I found there. The Hotel is placed in a quiet street, but close to the tube (Queensway station), and a street with shops and restaurants. Very friendly staff, clean and cozy, nice breakfast. We had a triple room, and of course it could have been some sqf larger, but we jusr used the room as a place to sleep. We recommend this Hotel...absolutely!	
Apr 25 2009 	Nice and clean quite small	We originally booked for 7 nights, but had a spare &amp; 4 nights decided to come to this hotel, they took my last minute booking (via email) and gave me the internet rate as well as a full breakfast, the staff were alway courteous and helpful, the breakfasts were substantial and most days we managed on a breakfast or either a lunch or dinner, we didn't seem to be too hungry after breakfast. When we checked in the lady in the front office saw the amount of luggage we had with us and changed us into a larger room, we were a bit surprised by her definition of large but coming from Australia and being used to large hotel room it took a little bit of getting used to. We had a double bed with a single, we put our luggage on the single as there was no where else to put it. The bed was probably the 2nd worst bed i slept on while away, but that is only because i like a hard mattress, this was very soft. The hotel is in a really good location, just a short walk around to queensway to two undergrounds and buses run at the end of the street at all times. We would definitely stay there again	
Apr 24 2009 	Great Hotel Great Location I've been there for the second time.	The Hotel has a very good link to Tube and buses. There are also good Pubs and resturants near the Hotel. The staff is very friendly and the breakfest is great!! For the normal breakfest you can choose from a buffet or you can have English Breakfest. The rooms have T.V and Internet conection.	
Apr 14 2009 	Very friendly staff nice hotel	nice hotel, friendly staff, near bayswater tube,some very good restaurants near bye	
Apr 13 2009	a clean safe tasteful hotel with concerned 	One can look on the Byron's website for statistics and representative photos. The redecorating that was done after 2005 has I think has taken away some of the &quot;country house in the city&quot; character of the hotel, but if one compares it to a lot of similar hotels in the area, one will find it still stands head and shoulders above the others. The exterior of the building sets the tone. The lovely, fresh light blue colour, for example, sets it apart from the ubiquitous white facades of the rows of ubiquitous similar earlier 19th century middle class homes in Bayswater and other parts of London. As one approaches the Byron, one notes that it looks clean, neat and in good repair. Although the lobby is a little sparse, it is clean and tasteful, and fortunately contains a bust of Lord Byron &amp; two of his poems, simply framed on the wall. Each room is named after a &quot;stately&quot; English country homes and still contains a charming 19th print of the home after which it is named. Seemingly minor, but significant touches.  Rooms &amp; bathrooms vary is exact size and details, as they have been made to fit into the original plans of two 19th century homes. But no matter the size of the room and how much one is paying for it, one's safety and comfort are of great concern to the staff. In fact, of the three times I've stayed at the Byron, I found that for this stay, the level of helpfulness and concern of the staff was at its highest. This is no doubt due to the leadership and management of one of London's jewels, Carmen Gomez.	
Apr 13 2009 	Both my parents and parents-in-law like it	Been there twice in March 2009, bringing my parents-in-law and (one week later) parents for a trip to London. First time took the family room and second time took two double rooms. I have to say the double rooms was the better choice. no breakfast provided, unless you want to add some extra money. You will love the red decorative piece of cloth that they put on your bed; makes your room look grand. However, I dislike the old style locking system at the door where you need to turn key twice to open it and turn it the opposite way one time just to take the key out; wish they could change it to card which is much faster and convenient.It is much cheaper to book online and on weekdays, because on weekends this place will be fully booked. So, reserve in advance. Bayswater is a lively lower middle class shopping area where you feel safe and this hotel is just 5 minutes away by foot. Same goes for the Hyde Park, Bayswater and Queensway Tube stations.	
Apr 11 2009 	This is my second time	staying here at the Byron hotel . I was attending a conference and later went to the theatre.This hotel is very accessible and convenient for the major sights.The staff are really friendly and helpful.The atmosphere in the hotel is very relaxed and the service is so much more personal than in some of the more corporate/souless places you could stay in.Admittedly the rooms are small but well furnished with comfy beds and a great power shower in the bathroom.Everywhere was spotlessly cleanBrilliant value for money .Will definitely return when on future trips	
Mar 14 2009 	An ok hotel	Spent one night here. Highlight was the helpful and pleasant chap on reception. Even upgraded my single room reservation to a double. The room was ok but a little tired in terms of carpet looking old and bed linen being frayed.Location was a plus, close to restaurants etc.Did not eat in hotel so no comment on food.	
Feb 26 2009 	Friendly cosy hotel with country feel.....	I was pleasantly surprised by this smashing quiet little hotel tucked away down a side street a few minutes walk from Queensway Tube station (Central Line). Needing to stay overnight whilst attending a training course in Pall Mall, I found this hotel very convenient and economical. It saved me battling back and forth on the train and saved me another costly fare from the Midlands! There are loads of eateries nearby on Queensway and a handy pub serving good food around the corner. The staff were exceptionally friendly and sorted out a glitch I had with the TV remote in double-quick time! I had a lovely quiet room on the ground floor (Aynho....all the rooms are named after stately homes) which was warm, clean and well equipped.....a small double that some may find compact but what do you expect for such a competitive price in London! The big bonus for me (being a Byron fan) was that the hotel contained Lord Byron related furnishings such as paintings, poems and busts etc which complemented the country-feel of the hotel. Any Greek visitors to London wishing to experience the presence of one of their national heros (Greek War of Independence) would feel very much at home here!	
Feb 19 2009 	Great hotel - Helpful staff and very clean rooms	I stayed at the hotel with a group of friends, as we were in London to see a show. The staff were incredibly friendly and helpful. The rooms were nicely decorated and the whole place was really clean. It was the perfect place for a stop over in London. It is not a luxury hotel and dosn't pretend to be but if you need a good place to crash out after a busy day (and evening) you can't go wrong.	
Feb 9 2009 	Good but could have been better.....	The Byron is a decent hotel generally and I would stay there again if I could get a decent deal. I would certainly not be staying there if I had to pay the full price as displayed at the reception desk. It is supposed to be 4 star hotel. Not sure what exactly qualifies as a 4 star but I would have said this fell a bit short of the mark.Plus points.1) Location. You are near 2 underground stations and Hyde Park. The immediate area is quite lively with a modern shopping mall and some decent shops and pubs. 10 minutes by foot and you are in Kensington.2) The rooms generally clean and well appointed. The shower was good. TV, tea and coffee facilities, complimentry shower gel and soap. 3) Price – if you can get a good deal.4) Staff were friendly.Minus points.1) The room was very small. Just enough room to stand around one side of the double bed – although storage room was adequate. 2 people could end up tripping over each other in a double.2) The carpet was dirty and needed replacing or cleaning.3) The sound insulation was very poor. We were woken on several occasions by people in the room above moving about or the staff preparing the tables in the restaurant below.	
Jan 30 2009 	Horror at The Byron	it is quite some time since I stayed at The Byron but the horror of my experience has never left me and I am astonished to read so many fairly positive reviews about the hotel so maybe it has pulled it's socks up. It is the worst hotel I have ever stayed in (and I include those in third world countries I have visited!). The single room was so small that I could barely squeeze my suitcase into the tiny gap at the end of the bed (there was nowhere else to put it). When in bed I felt as though I was in a shop window display I was so close to the window. The television was attached to the wall (there being no other surface to put it on) and the remote control did not work. However the ultimate heinous horror lay awaiting me on my return from the function i was in London to attend ( and therefore too late for me to do anything about it), the sheets were not clean and had pubic hairs on them, as did a towel in the bathroom.As a result of this experience, the first thing I do on arriving in a hotel now is to check the sheets!Following my stay, the hotel very politely contacted me by e-mail to ask if I had enjoyed my visit, I replied detailing my experience and received a courteous reply from the manager and was offered a free night on any future stays of two nights or more ...... suffice to stay I have never been remotely tempted to accept the offer!	
Jan 26 2009 	Great Location	Stayed at this hotel 18th-21st January for a nice break with the other half. It was a bit disappointing from the outside, but as we know, it's what's on the inside that counts!!! They are very strict with their check in policy - we arrived at 1.40pm and were informed that we were welcome to store our cases in their lobby, but check in was at 2pm! Not so much of a problem with Bayswater and Queensway on the doorstep, so one &quot;Subway&quot; sarnie later and we were back to check in. The room - which are all named after country estates - was very small which would be my only major negative of this hotel. The decor was lovely, the bed comfortable and the bathroom clean and modern, with a very nice, strong, hot shower. However, the double bed was pushed up against one wall which meant whoever drew the short straw for that side of the bed had to master a series of moves having to get out of it without disturbing the person on the other side, which at 3am when you're bursting for the loo isn't the best situation to be in!! However, this isn't unusal for London and wouldn't put me off staying here again.Breakfast, for me, was a bit boring. Whilst nothing was wrong with it in theory, I thought there could have been more choice of cereal than just cornflakes and museli, and more fresh fruit would have been nice. However, the staff were friendly and attentive without being too &quot;in your face&quot; and there was a choice of times you could go for breakfast - you put your preferred time in the day before - going right up to 9.45am!The hotel info in the room states there is a &quot;conservatory&quot; and a &quot;bar&quot; - when we asked about this we were met with a blank state from one member of staff, and then were told there isn't a conservatory nor a bar - mmmmm. It didn't bother us, as we don't book hotels for the bar, but I know some people do and you'd be dissapointed.The hotel is excellently situated - two tubes within walking distance and buses from Bayswater Road which take you straight to the West End. We toured both Kesington Palace and the Royal Albert Hall - a tip, if you're travelling by rail, have a look at the 2 for 1 site on the national rail enquiries website and get your voucher as Kensington Palace is NOT worth £12.30 per person!!!! We will definitly stay at this hotel again, although I agree with another review that it is a very nice 3 star, and not a 4 star.	
Jan 18 2009	THE BYRON HOTEL......Great weekend.	We had a very good stay at the Byron hotel,The room was small but very comfortable, clean and tidy,The hotel was birght and welcoming and the staff were very friendly and helpful.The hotel location is not too far from attractions and the local ammenaties are on the doorstep.	
Jan 11 2009 	very good!	We spent 4 nights in this hotel, and everything was fine! Staff was very nice and the room was clean and made up every day. Bathroom was comfortable, clean, large and warm. Maybe the room could be a bit small for a big-size person or if you have big luggage to open. Breakfast was very good, different kinds of cereals, bread, toasts, juice, coffee, tea, yogurt, jam... you could even order a continental breakfast.If I ever return to London, I will surely choose this hotel again!Thank you!	
Jan 8 2009 	London: Byron Hotel the best quality/price ratio choice	Our staying in London was very good. The Byron Hotel is a very good choice. The price is not so high if compared with the good level comfort offered. The hotel position is fantastic: near two metro station (Queensway and Bayswater) that allow to reach quickly quite all main city atractions.	
