	Great location	Have just returned from three days at the Holiday Inn Bloomsbury from Nov 27th. We could not fault the hotel. We had room 429 right opposite the lift and had no problems sleeping on any of our three nights there. location is great, Euston Station is only 10 mins walk away, so messing with taxi's when you arrive or leave. Lots of places to eat within walking distance, make sure you take a walk into the Bunswick shopping centre right by the hotel, really nice in there and lots of good places to eat. We ate at Giraffe and Strada which we could not fault. Would highly recommend using the Big Bus Company tours to get around, you pick up the bus on the main road buy the hotel, it drops you at Trafalgar Square where you can collect the other buses to different attractions, brilliant way to get around, 48 hr pass for the two of us cost £50 and we well had are moneys worth [one ten minute taxi ride back from the strand cost us £10 and that was around 10pm so when the traffic is busy I'm sure the price would be a lot higher. To sum up great location, great breakfast, nice staff, would highly recommend.	
Sep 12 2009 	Friendly helpful staff...	Stayed at the Holiday Inn, Bllomsbury, in order to be in London for my daughter's graduation ceremony. My wife and I were hugely impressed by the calibre of the hotel staff. From the friendly and helful receptionist, to the fastidious cleaning staff, to the table server for whom nothing was too much trouble, they were a great team. The room was a modest size, and in London nothing's exactly cheap, but we enjoyed the easy going atmosphere and pleasant public areas. Another plus point was that there is a car park directly under the hotel. It cost me £20.00 for 24 hours, but believe me it was worth it for the peace of mind obtained through parking in a secure area that was manned 24/7. The restaurant offered a good range of food, very much to my taste. I prefer simple dishes well cooked to the irritatingly small and fussy portions of 'cheffy nonsense' that some hotels seem to think will impress. Service was superb! Breakfast is to be highly recommended - buffet style with something for everyone. All this in a location in pleasant Bloomsbury, with easy access to central London attractions.David, Bristol	
Sep 10 2009 	Good value; great location	The hotel is located on two side streets with little traffic or pedestrian noise in rooms. It is adjacent to the Brunswick Center which has shops, a grocery store, and good quality inexpensive restaurants--try Nandos for Portugese style barbecued chicken and Crussh for your morning porridge with bananas and honey. The hotel restaurant is too expensive. It's also only one block from the Russell Square tube (subway) stop. Overall quality is similar to US Holiday Inns.	
Sep 6 2009 	Excellent Hotel	Stayed here as my first preference close to St pancras was unavailable for the date I needed, My god I'm so happy that was the case.On arrival the receptionist was attentive and helpful, offering to make meal reservations, and offering information on the locality while she tended to the mundane checking in process.I was impressed with the reception area and both my partner and I had a good feelng after check-in, then we arrived on the first floor as we had booked an executive room, the surrounding lobby for the lifts was plush and elegant and had a really dynamic feel to it, toilets available next to the lifts for the business centre was a nice touch I felt.We entered our room and found it to be clean beyond all expection, the split level room with the lounge area at the farend looked wonderful, the decor was crisp and everything was really well placed, obviously we thought it had been designed very very well. I checked the view from the window not expecting much from a first floor room and we found we were right above the main entrance and the Irish Bar right beisde it, this worried us about sleeping with drunks late at night, but this was not the case, the room didn't suffer from any sort of noise, even the standard things you expect in a hotel like banging doors etc were nowhere to be found, the Aircon was fantastic and cooled the room almost instantly and was soo easy to use.After checking out the room we walked to The British Musuem, and found a Tesco Express and various other shops just around the corner beisde the tube station.After an excellent nights sleep I woke early and headed across the road to the shopping centre toStarbuck's a nice area seems well presented for central London and pleasant, could almost be a small town anywhere, which was lovely.Overally a fantastic stay and will be staying here again as much as possible, my partner and I have fallen in love with the hotel.	
Sep 6 2009 	Definately stay here again!!!	Booked 4 nights through Show and STay, for my 40th birthday with 4 friends... what a fabulous time, the rooms are pretty much standard but clean and airy.. the bar and restaurant were clean and comfortable.. breakfast Outstanding... but best of all were the staff.. they couldn't have been more helpful or friendly. They actually made our stay run smoothly and were very involved in the &quot;little surprises&quot; that kept turning up... I would without doubt stay here again..So easy to get to all the place you need with the tube station a minutes walk away ..	
Sep 1 2009 	I was surprised.	Considering that this is a central London hotel (well, almost central), this hotel is nice and is good value for money.I was so pleased with my stay, I had to find the manager to tell him.I'm spreading the word within my Company to get others to use this hotel.Exec rooms really nice for the price.	
Sep 1 2009 	awesome location and top value	This hotel and its staff is great, excellent value 4 star hotel with top facilities.Easy access to so much, and tube is just round the corner, grocery shop straight opposite.Breakfast excellant!Twin room very spacious	
Aug 25 2009 	Excellent Location!!!	The hotel is awesome. It is one block from the Russell Square tube station on the Picadilly line. The Picadilly line is very convenient to lots of places like the Picadilly Circus. Also, Russell Square is only one block from the St Pancras station where you can catch the Eurostar trains to Brussels or Paris. I would stay at this hotel again. I got a super deal on Expedia and I stayed here for four nights. If you are worried about expensive food, there is a Tesco supermarket around the corner where you can get cold sandwiches and drinks for 2GBP altogether. You can stock up on food and drinks before heading back for the night. Or there is another chain of supermarkets call Sainsbury about 10 minutes walk away where you can buy hot Indian meals for under 3GBP each. The portions are great and tasty. An HSBC bank is also one block away for easy cash withdrawal. The neighborhood is safe and full of life even at late hours. As for the hotel itself, its quite old on the outside but some floors and rooms have been renovated. The room we stayed in seems quite worn out but is clean and simple and spacious on the top floor. The bathroom is HUGE but the water pressure of the shower is not strong enough. This could vary from room to room though. Although the rooms are nothing to be thrilled about, the beds are super comfortable. I got a good nights sleep every night after long hours of walking around London during the day. The rooms are OK and no frills but the location is the best part of it.The British Pound is expensive compared to US Dollars but if you want to save some money, buy food from the supermarkets instead of eating at restaurants and buy an Oyster card for tube and bus. It can save you almost half. Just top up as much as you want and you can even get a refund for unused fares. Honestly I have not found a restaurant I am crazy about in London with the exception of a fast food Fish and Chips place near the Tower of London. It’s in a basement near the ticket booth. The Fish is tasty and fresh.	
Aug 18 2009 	Would stay again.	ProsGary, the concierge was great. A walking Google. 1 block from the Tube.3 blocks from British Museum.Across the street from grocery/mall.Local eateriesCalled room service for pillow and arrived in an hour.2 blocks from laundry ( no I'm not paying $5 to wash my underwear ) ConsAverage room. Breakfast was 11 pounds and at a discount for Premier members! We didn't sign up and ate at local eateries and saved 50%	
Aug 16 2009 	Comfortable/Great Location	Very good quality Hotel, London Hotels can be very disappointing and overpriced but this is just right.Very comfortable, clean and with very friendly staff.Brilliant location for all London 'stuff' and locally good range of shops which was very unexpected. The Brunswick centre opposite has some usual high street stores but some more 'upmarket' ones. Great eating with fair prices, including Yo! sushi/Giraffe/Carluccis/Patisserie Valerie/Starbuck to name a few!!!Great transport nearby, but do yourself a favour and walk!! Some of the back streets on the way have some very interesting shops/restaurants/cafes.	
Aug 15 2009 	Great location would stay again.	Hotel was very clean. We booked 2 single beds (mom and I traveled together) The location was fantastic. The Russell Square tube station was around the corner. There are many grocery stores right nearby also. Wireless fee was ridiculous (about $30 a day American money) so I just went to Pret a Manger (yummy coffee and Sandwiches) around the corner and used the free wi-fi. There are also many internet cafes around London where you can use the internet for an hour for a pound. There is a &quot;Fitness First&quot; gym that you can use for the day for $10 also if walking around London isn't enough exercise or the weather is inclement.No complaints here and would stay again.	
Aug 14 2009 	Pleasantly surprised how good this hotel is	We stayed six nights in a nice quiet &quot;Superior&quot; room which we found big enough and a huge bed plus all usual conveniences but no room safe. We used a front desk safety deposit system which while secure was not as convenient as a room safe. Arrival first impression was no hovering Bell Boy which suited us however assistance is available if required. Very helpful and efficient staff all round. Good breakfast. Excellent location to Russell Square Tube station, bus stops including the Original London Sightseeing Tour open top hop on/off bus. Also a nearby pick up point for Premium Tours to Windsor Castle, Stonehenge &amp; Bath etc which saves time and trekking to Victoria Bus Station. Many eating places nearby plus shops including a huge Waitrose supermarket where money saving rotissoried chicken and salad can be purchased along with bottle of wine to enjoy in hotel room. A good Laundrette is nearby. When we departed the Concierge hailed a London Black cab for us. St Pancras Eurostar station is also close by. We'll stay here again	
Jul 30 2009 	All around good stay	We had 2 nights in a Crowne Plaza we were unhappy with and then came here. We had a &quot;family&quot; room which was quite a good size with an extra sleeper couch. The staff was extremely helpful and friendly. The location was fantastic and lots of store nearby for groceries and essentials. A central tube line is around the block and it's walking distance to sevral other major tube stops. The breakfast buffet was very good and there are plenty of good places to eat a wlak away. All in all it was an excellent value; a large room that would sleep 4 at $145 with full english breakfast.	
Jul 23 2009 	Great place to stay	This was my first trip to London. Loved this hotel. It was a block from the Russell Square Tube Station. Had a great little grocery store across from the Tube. The employees in this hotel was great. Very knowledgable about the area and could give you directions for about anywhere you wanted to go. Nice quiet area and easy also to get to the buses to travel around London. Close to the British Musuem and a great little park (Russell Square Park). I would highly recommend this hotel.	
Jul 22 2009 	good location-room was smallbut typical with London hotels	Good location for west end,friendly staff &amp; fast check in &amp; out. Room was small but this is typical with alot of London hotels. Got a very good deal ( £116 dinner bed &amp; breakfast ) so can't complain. Just round the corner from Russell Square tube.	
Jul 21 2009 	One of the worst hotels I've ever stayed at	I really can't say anything positive about this hotel to be honest.The room was small, cramped, dated and had a view of air conditioning ducts out of the window.Room service was almost inedible and breakfast was marginally better.Luckily I stayed with work so didn't have to pay because otherwise I would've demanded a refund and moved to another hotel...!	
Jul 20 2009 	Convenient location with good basic amentities	Stayed here for a week-long business trip. Overall, would stay again the next time I need a hotel near the office. Pros:- V. close to Russell Square tube stop (basically it's right behind the hotel)- The Brunswick shopping center is across the street so there are restaurants, a Waitrose grocery store, 2 pharmacies, a Starbucks, etc. all within walking distance.- Clean rooms with basic amenities like hair dryer and a mini fridge (not a mini bar in my room).Cons:- The rooms are a bit small, from an American point of view. But good sized from RoW view point.- If your room is facing the streets (esp. Coram St) then it can be very noisy due to the pubs and also the drunks stumbling back to the hotel at 1am.- While I understand they wish to be environmentally friendly, if I follow the rules on the bathroom sign and put my towels on the floor, I'd like fresh, new towels -- not my old towels hung back up.- Internet connection (both Wifi and Ethernet) costs £15 for 24 hours.	
Jul 14 2009 	Good location Great Service	Stayed for 1 night on business, great location with loads of shops and tube near by. Rooms as you would expect from a Holiday Inn, general areas very plush.	
Jul 10 2009 	Central hotelgood value.	My friend and I have stayed at this hotel several times. Rooms very clean, bathroom small, but adequate. Lots of choice at breakfast. Able to leave case ar the hotel after checking out. Helpful staff.Russell Square tube station only a few minutes walk away. Close to the West End.Waitrose &amp; Boots opposite. Coffee bar and mini supermaket round the corner.Taxis always around. Close to St Pancras &amp; Kings Cross.Can highly recommend.	
Jun 23 2009 	You get a bit more than what you pay for	London accommodations are expensive, especially in Central London. The Holiday Inn Bloomsbury is, for the money, a good value. Check-in was not great, but the basic rooms are comfortable and relatively large for London standards in this price range. Despite the thin-ish walls and loud elevators, the location of the hotel makes these things easy to overlook. You often get what you pay for in European hotels, but the HI Bloomsbury gives you more than the typical London budget hotel. Internet access is pricey, but if you are on a budget in London, this is a good place to consider.	
Jun 17 2009 	Worst check in ever!	I stayed here for two night in April and experienced the absolute worst check-in ever. The young woman working on reception looked me up and down as if I were a tramp checking into the Ritz. No greeting, no smile, no conversation. She handed me a room key and told me the elevator was behind me. Considering the three lifts are literally 10 feet from the reception desk, she went all out there. Then the bloody room key didn't wotk and I had to return (to a different staff member thankfully) to have it recoded.Since my last stay in this hotel, nothing has changed. The rooms are still small but they are clean and comfortable. The hotel has an excellent location beside Russell Square tube station and the more energetic can walk to Covent Garden in about 15 minutes.The buffet breakfast was a good selection and thankfully no of the other staff members I met during my stay were anything like the sour, unhelpful woman I had the misfortune to meet on check-in.There is an Irish themed bar in the hotel which has a good atmosphere and usually shows any live sports that are on tv.	
Jun 11 2009 	Great location - would stay again	We stayed for four nights in an executive room. The executive level in this hotel is the first floor (American 2nd floor) where the meeting rooms are. Our friends had a standard room. The executive room was slightly larger and had upgraded furnishings and paneling. The standard room was nice and spacious (for a city hotel). Next time I would probably book the standard room. The upgrades were not enough to reflect the price differential. It is a Holiday Inn and the guestrooms and facilities met our expectations.The hotel is very close to the Russell Square tube station and a short walk to the British Museum. It is definitely in a tourist area. Brunswick Centre is cattycorner to the hotel and has a nice grocery store and restaurants. We liked Carluccio's and Nando's. Carluccio's has a nice breakfast. (We did not eat at the hotel.) We would stay here again.	
Jun 8 2009 	Nice hotel shame about the dinner	We had booked this hotel as part of a theatre package which included accommodation, evening meal and breakfast. The room was basic, bathroom small but adequate for what we needed. The evening meal before going to the theatre was awful. It closely resembled a frozen TV dinner, frozen roast potatoes and frozen mixed veg! Although it was a hot buffet the food was dished out by the chef and only very small portions offered. The puddings looked lovely, and unlike the main meal these were freely available for us to help ourselves... sadly they were frozen too and my dish of trifle still had ice in the middle. I was disappointed and wouldn’t recommend the evening meal.The hotel is next to a pub and at 3am the following morning we were woken by crowds of youngsters hanging around outside the front of the hotel chatting loudly with car engines running. I have to say, the breakfast was excellent. Freshly cooked with plenty of choice.As there are so many hotels in the area when I next book a theatre package I doubt I’d return to the Holiday Inn at Bloomsbury, sadly for me the evening meal let them down.	
Jun 3 2009 	Fantastic location with amazing breakfast	We walked from Euston to this hotel (equidistant from Kings Cross) and found it had a shopping a center adjacent to it as well as the tube and Tesco Express. Room was standard but breakfast great with fruit, cereal &amp; full English. Pub adjoining with fair prices for meals &amp; drinks. Left Luggage a complimentary extra, so we did our sightseeing without worrying about our cases.	
May 30 2009	Ideal location for most travellers especially tourists.	As mentioned by at least one other reviewer, this hotel was the chosen hotel for a Yorkshire - London Tours Weekend. We didn't realise at the time just what a gem it was. Including travel by coach from Yorkshire, and a two night stay with breakfast, the cost was £258.00 - not the cheapest of weekends, but well worth the money to re-aquaint ourselves with London, its hotels, and hotel locations. Especially this Holiday Inn. This was, apart from the more expensive 4 and 5 star hotels, the one that if given the chance, we'd opt for every time - if the price and allocated bedroom was right. To get it out of the way, the downsides were:1 - A bedroom that overlooked nothing but other hotel rooms, and what I presume were the outlets for the air-conditioning workings and machinations. So no view, but none was needed. We were in London after all.2 - The need for guests to be more vigilant with their personal possessions. One lady, (from a different coach tour), was unfortunate to have her handbag taken. Please take note that wherever you stay in London, you need to look after your valuables, and this was not the fault of the hotel, who looked to be trying as best as they could to alleviate the lady's distress. And that's it, apart from some very minor things like having a (very large) fridge, but nothing in it? But that proved to be a bonus- as we stored milk and our own drinks in it - and no explanation of how the swipe cards worked the lifts - so very minor negatives. This is a hotel with a quick change about, so it's not 'cosy' but it's not inhospitable either. The receptionists and booking in staff were excellent, considering it was a very busy weekend.The positives were:1 - An ideal location in a relatively quiet square.2 - An ideal location in a relatively quiet square that (apart from the room allocation perhaps) did not make coach visitors feel like second-class citizens, which is how we'd viewed these tour hotels in the past..3 - A hearty breakfast that we'd gladly have paid more for. If you need freshly cooked eggs for example, it' was only a short wait. The serving staff were efficient, fast, and a credit to the hotel. Whoever you were - thank you. Your hospitality was much appreciated. 4 - The proximity to the tube station and all the London attractions.5 - Despite the missing handbag, the feeling that we were in a safe area. It was a hotel that I'd choose if I was staying alone.6 - Clean rooms, clean bed linen, and clean towels, and ample toiletries provided for a weekend. The same for the hospitality tray but if you like an extra coffee sachet without disturbing the staff, take a small amount in a quick-lock container :-) I could go on and on, but this is a lovely Holiday Inn, albeit a very busy one with airline staff booking in at all times of the day and night - another positive in my humble opinion - coach parties too - but in an area where you can easily walk to a take-away, a shopping centre, a chemist, and there's an Irish bar attached, and the pub opposite was lively but friendly and well policed. At no point did I feel afraid when I wandered away from the hotel. Tips:If you do as we did and buy tickets for the Original Bus Tours, there's a stop that's very near to the hotel and cuts out the need to travel on the tubes (but make a note of the running times and stops. I think the one that took us back to near the hotel was between 5 and 6 PM, but very handy for us nevertheless. We had to be back out an hour later. ) If you need to travel further afield, then do buy an Oyster card. I can't rate those highly enough, but this hotel is so central, that you'd need to add very little money to them.If you're on a budget, buy any necessities at the local Tesco - including snacks, bottled water etc, which is were the empty fridge came in handy. The same fr toiletries: the Boots pharmacist is just across the road.If you're booking this hotel, I think I can safely say (from our short visit) that the housekeeping staff are a credit, as are the waiting staff at breakfast time. It's being added to my favourite hotels in London folder :-)Would we go again? Too right we would! :) Thank you to all that helped to make our stay such a pleasant one. We'll be back soon, I hope.	
May 24 2009 	Great Location.	A comfortable hotel conveniently located near Russell Square and British Museum. About a block away from the Russell Square Underground and next to s small shopping centre with sushi restaurants, a cinema and a Boots. Also a reasonable walk (or 5 UKP taxi fare) from St. Pancreas Station, if you are on the Eurostar. We were in London for theatre, so it had good connections to Leicester Square/Piccadilly Circus/Chinatown.Also a short walk to The Lamb on Lamb Conduit, one of the best pubs in London.What I didn’t like. Wireless internet was available, but for 15UKP a day. Hotels lose big points with me when the wireless isn’t free. And most Holiday Inns in the US have free wireless. This one didn’t. Boo Holiday Inn. Mini-fridge wasn‘t working. The hotel is investigating a new “scheme” for fridges and while they are doing that, well, too bad. Worse, it looks like a movement sensitive system they are considering. Move an item in the mini-fridge and it goes on your bill whether you use it or not. Boo again Holiday Inn. TV was an older tube model, rather than the flat screens commonly found in most hotels these days. Finally, walls were rather thin. You could easily hear TVs and people in other rooms and hallways.Good points. Nice size room for two. TV remote had a paper sleeve that detailed the available channels (liked that). Air conditioner was powerful - although it mysteriously turned off during the night. Switch it on again and no more problems. Coffee/Tea in room. Safe in closet. Furnishings new and functional. Reception staff were helpful and friendly.Breakfast was included in the room rate and was better than most. The normal ingredients to a British breakfast plus fresh fruit combinations and various breads, juices and cereals.I had stayed here years ago and considering the price and location, would most likely stay there again. Unless I found something close by for the same price that was quieter with free wireless.	
May 21 2009 	Lovely American-style biz hotel	This is a pretty great Holiday Inn... the rooms are not large but very well appointed; my bathroom had a great shower and water pressure. Nice large tea set in the room with an electric pot. My only complaint is the lack of TV channels (only 15, which to me is sparse, since most hotels have 40+), and the in-room internet is CRAZY expensive (around US$17 for a 24-hour period... insane!).The location is FANTASTIC... blocks from the British Museum, 1/2 block from the Russell Square tube stop, etc. Really easy to walk everywhere from here.I got my room for $95/night on Priceline, which is crazy cheap and makes me very happy :-)	
May 16 2009 	Excellent Hotel in great location	Stayed here recently for anniversary weekend. Speedy check-in by helpful and polite staff. No queue at all and after a few minutes we were in our Executive room on the first floor. Room clean with all the amenities expected of a 4 star hotel. Room was very quiet, despite being on first floor, but Coram Street is not very busy with traffic, so that was welcome. Bathroom clean and well maintained and excellent selection of toiletries and bits and pieces. We did have a couple of minor housekeeping issues which were dealt with efficiently and swiftly by the manager, Mr Hennessy - a great guy!We did not eat at the hotel, but used the Irish Bar where service was brilliant and polite, and the Guinness was great. All in all a good stay in a nice quiet location, yet only a few steps away from Tube and Bus stops. Returning later in the year and this will be our first choice.	
