	Dorchester Hotel - London	It was ouir second time at the Dorchserter and when we got yo our room there was a bottle of champagne. They show you around your room and make you feel so welcome.	
Apr 10 2009 	great place top for service	stayed here 20 dec very nice hotel we usually stay at the savoy in riverside suite but as it was a little tired its now closed for major refurb. the dorchester roomsEXECUTIVE DELUXE DOUBLE quite large and very nice decorated nice touch was a tea on silver tray on arrival the service in this hotel was totally spot on. the bars very nice. we eat at rodes24 in a private dinning suite which was not up to the great standard you would expect. my advice would be go to china tang or if you can eat at the krug room if you cross the road the at the top of the hilton galvin at windows the food here was first class book a window table in advance in a nut shell this hotel is one of the best in london we will return and a big thanks to the management and staff totally A1	
Apr 10 2009 	the staff worried me...	we paid over £300 for a night at the dorchester, the hotel is amazing you feel very special.The staff were most polite on the front desk and altho we were early found us a room already at no extra cost. The hotel is luxuary in every way form marble bathrooms to £80 bath robes ( take the free slippers instead!) however i went shopping in selfridges and purchased items one of which was a handbag, not being able to wait i unwrapped my bag and left the cloth bag along with tissue paper in the large selfridges bag and placed it with all my other shopping in the corner of the room and went to the 99 comedy club. when i returned some later hours i went to put my new bag away and the selfridges bag along with cloth bag and tissue paper had gone,i rung house keeping who were sent bin diving to find it but didnt understand i wanted the cloth bag they kept comming up with selfridges bags. In the end it all got silly and we said not to bother as at this point we had found out staff were trawling through bins. The dorchester didnt seem fussed and explained it was all rubbish i kept explaining it wasnt and this made me angry that they had gone through my shopping and thrown items away. If it had of been rubbish i would have put it by the bins but the fact it was with all my other shopping i would've thought i made it clear it wasnt rubbish?upon my return home i was sent a letter stating they had taken the liberty of charging the mini bar to my card furious that i had not had anything from the mini bar i contacted the manager who i the end refunded me.Now what bothers me are the staff , if my items were thrown out and then i am charged for a mini bar i did not use items such as champange! i really do wonder about the house keeping!The hotel was wonderful and yes i would recommend it but at the same time i would say put your belongings away and ask for the mini bar to be emptied on arrival if you have no plans to use it.	
Apr 6 2009 	The Dorchester made my anniversary super special	We had a wonderful one night stay at The Dorchester last weekend. My husband had booked it as a surprise for our anniversary and we were upgraded on arrival, which was nice. In our room there was complimentary champagne and chocolate-dipped strawberries, along with a card wishing us a Happy Anniversary from the manager. We left the freebies and went down to have afternoon tea, which my husband had booked. The service was excellent, and just before we left we were presented with a lovely cake, again wishing us a Happy Anniversary. A bonus for us was spotting Russell Crowe striding through the hotel lobby! We have stayed at The Dorchester before (we got married there) and have always found the bedrooms spacious (for London) and well equipped. The best thing about The Dorchester is the baths! They are wonderfully deep and the water pressure means they fill very quickly.Making use of the information that the hotel gives you we took a running route map with us on a jog around Hyde Park the next morning, which was fun. We followed this up with a hearty breakfast in The Promenade. In addition to the full English they also do a health breakfast which is absolutely great…the carrot muffins are really, really good.Another wonderful stay at The Dorchester, where we were spoilt rotten in spite of being mere proles staying in the cheapest room available.	
Apr 6 2009 	Simply Stunning	There is no other way to describe our 7 nights at the Dorchester, but &quot;simply stunning&quot;.We recieved a phone call a week prior to departure from Melbourne Australia confirming our booking- that I had made on line. When making the booking I had mentioned in the e-mail that my partner was celebrating his 60th birthday and they rang to ask his name, so we discovered later they could wish him a happy birthday, everything about the Dorchester was 5 star.On arrival we were upgraded to a beautful room with large sitting area and huge marble bathroom. Champagne and chocolate dipped strawberries were waiting for the the two of us with a hand written happy birthday card for my partner, from the Hotel's General Manager.A valet was sent to unpack our luggage immediately.We had room service twice for dinner over the 7 night stay and the standard was way above the normal room service dinner offering of most 5 star hotels.The Dorchester makes everything appear seamless. No matter what time of day you left your room it was always made up on your return. Even if you only went downstairs for a drink- the staff knew and the bathroom was refreshed etc etc.Evening turndown service was excellent and the location in the middle of everything as walking is so easy and pleasurable around Mayfair.I have stayed in many other hotels in London in the Mayfair area and while the Dorchester is without doubt the most expensive, it is worth every cent.Every member of the Dorchester team should be congratulated for not only what they deliver but the way the deliver it.We cannot wait to return to the Simply Stunning Dorchester.	
Mar 29 2009	Amazing Amazing Amazing.	As a treat for my daughter's birthday we recently went to the Dorchester for Afternoon tea. From the moment we arrived the staff made us feel so welcome and with smiles and hellos from everyone. We were quickly shown to our table, The Promenade, where afternoon tea is served is sumptuously decorated and I sat on a beautiful sofa with plumped cushions and my daughter in an oversized extremely comfortable armchair. The staff were courteous, prompt, and efficient and yet everything felt relaxed, the piano player in the middle of the room played easy on the ear numbers, just at the right level so you could carry on a conversation with ease. The food was great, I loved the selection of sandwiches, which the waiter came and offered more of and as much of them as we liked, the scones were melt in the mouth with the best jam ever and of course the delicious clotted cream to go with them. The pastries were a delight on the palate and the waiter, as with all the food explained what each one was and what was in them. I joked with one waiter if he had tried all the cakes himself to the reply of &quot;yes I admit I tried them all&quot; but, he, like me loved the scones best though my daughter adored the cakes, actually it was hard to decide. A well known personality passed by at one stage, but at the Dorchester everyone is made to feel special so it was no big deal. The best was yet to come for as I mentioned it was my daughter's birthday and one of the waiters came out with a gorgeous chocolate cake complete with candle and the piano player played Happy Birthday. Of course we had to have some, it was amazing and what was left they put in a box for us. There is a time limit on your stay however this was never an issue as we were never hurried and and at all times were made to feel totally relaxed. I cant wait to go back again it was the best afternoon tea experience ever.	
Mar 28 2009 	Lived up to its name!	Having stayed and was impressed by its sister hotel in Milan, I had made a two nights reservation at The Dorchester months ahead. Enjoyed special weekend rates (265 pounds) for a Deluxe room with full English breakfasts included. Upon arrival, we were shown to a &quot;&quot;suite-like&quot;&quot; room, which I learnt later was a small upgrade to their Executive room, about 50 pounds extra a night. What a gesture, I thought! The room, number 709, was located at the corner of the building, rather large but not overly so - walk in area leads to separated small closet area, bathroom (very deep tub indeed!) and a door leading to the bedroom. The bedroom is quite spacious, with a lovely four poster bed - very romantic indeed. There was a sofa chair in the room, with work desk, make up table and mirror. I had asked for a Hyde Park view room earlier, but wasn't too impressed with the view when I actually saw it ... lots of greenery but with no flowers in sight, slightly disappointed. The hotel is facing a busy road, so there was some road noise during the day. At night, it was rather quiet for a good nights sleep though. Common areas though very classy and elegant, surprisingly, is not overly large. It basically contains two restaurants, The Promenade and The Grill.Breakfasts at The Promenade was both yummy and high quality. 3 course set lunch at The Grill was rather good value and tasty. However, I had food poisoning a few hours after eating my medium cooked ''Wild Salmon&quot; - do be careful if ordering this dish.. ...My husband's roast beef was pretty good, though. Overall, our two nights stay here was as wonderful and memorable as it could be. However, these are some areas the Hotel could improve upon -1. there was no iron and ironing board in the room2. no coffee or tea making facility in the room3. the Queen sized bed was a tad small 4. location to the neartest tube station was a 10-12 minutes walk (not the hotel's fault) 5. slightly noisy during the day, even when room was on the 7th floorThis famous hotel is located in the classy Mayfair residential district, where you could see some Bently, Mercedes S-class, Rolls Royce etc. However, to get to some shopping or some eating, you would have to walk at least 8-10 minutes. Staff are all well trained and polite. Book this hotel and you won't regret staying here!	
Mar 26 2009 	Excellent hotel	This was my first time at the Dorchester and hope to visit again. The location is excellent right across from Hyde Park and a short walk to the Hyde Park Circle Tube stop. The staff were friendly and very helpful. Had breakfast in the lounge and ordered room service, both of which were prompt and yummy! Large rooms with wonderful bathrooms. Just an overall excellent hotel.	
Mar 23 2009 	Classic 	If you are used to staying at 5 star hotels in the US this is going to be a little different in that its not new and huge. Rather it has a classic feel to it. Its an older hotel. The service is very good and the tea lounge is fantastic. The rooms felt average, but a good size. Again this is probably because I'm used to newer plush hotel rooms. But the bathroom was superb. Huge tub, towel warmers, marble, etc. The hotel location was pretty good in that it was central, but you need a cab to get to something. Unlike the Ritz or the Mandarin which are across the street from lots of shopping opportunities. There is also an excellent but pricey French restaurant in this hotel.	
Mar 16 2009 	Didn't live up to expectation	Having stayed once before was looking forward to a three night stay in a junior suite, booked direct with hotel.Helpful, courteous pick up at airport from an early morning flight. Was informed at check in that the room type we had booked was not yet ready, hardly surprising as it was still only 0800. We were offered a &quot;very nice superior room&quot; as being available immediately. having slept adequately in overnight first on TG and being keen to get out and explore we were happy to wait for the junior suite to become ready later in the day. I wasn't given any other information on the room we were being offered to know whether to accept it or not and was concerned not to end up paying for a basic room when i had booked a &quot;junior suite&quot;.What a mistake! The &quot;suite&quot; was adjacent to intrusive AC compressors, and was best described as low ceilinged council house 1980s chic overlooking more of the same - think Peabody trust without the altrusitic pricing structure. Lots of swaggy curtains, yet nowhere to unpack a suitcase and a Holiday Inn style bathroom with a marble tiled makeover. Except the shower screen din't fit and meant the bathroom floor was drenched whenever one showered.Despite assurances that our luggage would be in the room when we returned at 2.30 pm, it wasn't. The receptionist who escorted us to the room assured me he would arrange for it immediately once the oversight was realised. I imagine he forgot. 20 minutes later I called the bell desk, the luggage arrived about 10 minutes later.We decided to freshen up before dinner with a steam to sweat out 11 hours of flying. The spa / steam room was closed for renovation. I was starting to get a bit tetchy by this stage, but the concierge was helpful and arranged for us to use the steam room at the Park Lane Hilton. That, followed by a pint in Shepherds Market, made me realise that there were numerous alternative hotels that would work for us and offering better value too. On our return I informed the receptionist that we planned to check out early. She helpfully informed me that we had already been given a room upgrade and that there was nothing to be done. I'd hoped for service - not freebie upgrades. Shame.We returned to the room just after 8pm. It hadn't been made up. I called the Duty Manager, more to vent frustration at the P--- poor service and VFM that the Dorchester was peddling. To his credit he seemed concerned and to want to make a difference. He asked what he could do to make amends. Having irretrievably lost faith in the Dorchester's ability to deliver service or value it might have helped more if he could have suggested something himself. In my jetlagged state I could only suggest he made sure our revised check out date was noted by reception so that I could move to a hotel that &quot;did what it says on the tin&quot;.A bill of around 800 pounds for an overnight stay was presented in the morning. We moved to the Park Lane Sheraton, which promises rather less but delivered substantially more - at half the price.The positives? Breakfast is pretty good. Should be at 35 pounds or so, but I don't begrudge paying for quality. Sadly, the rest of our Dorchester &quot;experience&quot; fell shamefully short.	
Mar 2 2009 	Wonderful hotel with great service	My daughter and I spent 2 nights at the hotel with her friend to celebrate my daughter's birthday. Our room was ready when we checked in at 1030am which was a nice surprise. The room was beautiful and there was more than enough room for the 3 of us. When we got back from our day out there was a huge dessert tray with a small birthday cake for my daughter. The girls loved it to say the least. The staff is extremely accomodating and look to make sure you are comfortable and have everything you need. My only complaint would be that they charge you renting a DVD player whereas other hotels in this class all have DVD players in the rooms and they are complimentary. While the hotel is not the cheapest in London, the service, location and rooms are fantastic. We would definitely stay here again.	
Feb 21 2009 	Great staff professional staff	We stayed at the Dorchester for a Wedding at the end of December and can say that the standards of the hotel lived up to expectation. It isn't cheap but you are in a central London hotel and can get some good deals. The rooms were well decorated and spacious with a large bathroom. All staff were very profssional and courteous and couldnt do enough to help. The only slight disappointment was the very poor service at breakfast but staff were very apologetic and removed service charge from the bill.	
Feb 20 2009 	Fantastic totally wonderful	stayed for one night, had booked one one room but staff said would be more comfortable with an adjoining room for kids so offered one complimentary!! The staff cannot help enough they are so friendly. We had breakfast in our room and it arrived boiling hot perfectly cooked even the boiled eggs were just right. We ate at the chinese restaurant on site Tangs and had the most amazing meal ever. The staff there were just as wonderful. The hotel is truly fantastic and we are booking again for a few nights at Easter. If you want fantastic service then this is the hotel for you.	
Feb 13 2009 	Reliable quality	I have stayed at The Dorchester several times now on business. Whilst expensive there are some excellent rates to be obtained on the hotel website. This time I had a Park View room which was worth the extra. Quality and service is on a level rarely seen in London and all the staff always go out of their way to ensure you are happy. My only niggle is the price of any extras.....a late night room -service supper cost almost £70, if I had put on a movie it would have cost £13 and as for the mini-bar....I would have needed to take out a loan. So avoid the extras but enjoy the best hotel in London.	
Nov 30 2008 	Fantastic week-end at The Dorchester	My wife and I booked into The Dorchester to celebrate our anniversary and my birthday. We told the staff and were upgraded to a superior suite. While at the hotel we ate at the Alain Ducasse restaurant on the ground floor. All the staff, the room, the attention to detail and the hotel atmosphere were truly fantastic. Nothing could be faulted - we had champagne in the room, a surprise birthday cake, rose petals on the bed and a view over Hyde park. The staff greeted us by name, we were escorted to our room by the on-duty manager and the food in the Alain Ducasse restaurant beat some I have had in Michelin-starred restaurants in France. We paid a lot for the experience, but would not hesitate to go to this hotel again, for a celebration or for a relaxing week-end retreat. I give it 6 stars!	
Nov 25 2008 	A solid 5-star experience	The Dorchester hotel is a true 5-star property. I prebooked an airport transportation to the hotel which was worth the money (£145). Room wasn't ready (10 am) so I was offered a complimentary breakfast. It seems that the hotel is very busy from 10am 'tll 2 pm so it took quite time before my luggages arrived in my room (I had to call the front desk). Room was nice and clean in the 8th floor of the hotel.Service in general is very attentive. I really enjoyed the bar where the service was fabulous. I disliked the breakfast where the service was a bit slow. I personally prefer buffet breakfasts instead of the ones ordered from the menus.Although I enjoyed staying at the Dorchester I may try some other hotel next time.	
Nov 13 2008 	Mad Hatter's Tea Party	Afternoon tea at this outstanding hotel was the highlight of our 30th anniversery celebrations. Luxurious but not pretentious, the service could not have been better and all the staff excellent. Everything was personal and the food outstanding!Considering what we got staying at The Russell, for very little less cost but torn wallpaper, very basic accomodation and indifferent service, we now rate The Dorchester as an excellent experience and true value for money. It is a time capsule of old fashioned courtesy and service in outstanding surroundings.	
Nov 9 2008	Luxury with a capital L	Booked room direct with hotel, no problems encountered on arrival greeted and shown to upgraded room which was outstanding, however my daughter was in an executive suite and we would have preferred her large bathroom, but our room was more individual.Staff were pleasant and helpful at all times, breakfast yummy try the white pudding delicious on the whole we would definately stay again	
Nov 6 2008 	A great surprise	We normally stay at The Berkeley however it was full so decided to try here. We found: rooms great, gym - dark but contained above average equipment, location good and the bar well worth a visit.A few niggles: Internet difficult to use, VERY expensive even by London standards for anything purchased in the hotel. We ate at the Scottish themed restaurant [can't remember the name] the food was VERY VERY expensive and awful.	
Nov 4 2008 	gorgeous hotel but lacks in service !	stayed at the dorchester on 31st october for 2 nights with my husband and 2 yr old daughter and i will make it brief.The room was gorgeous really classy and old style decorated but super massive marble bathrooms, with excellent floris toiletries, although we had a few niggles with the room the sound system didnt work very well and was too loud so you also couldnt turn it down so you had to leave it switched off, so told the front desk a few times and it took them 3 hrs before anyone appered to fix it, although they didnt they just switched the speakers off so we only had sound from the tv and not the sound in the bathroom and our lobby?the promenade is lovely and spotless with loads of staff but very slow in parts and it sometimes was very hard to get a table here as lots of people not booked into the hotel would while there afternoons here at the promenade which was a problem for us as if we wanted a drink to celebrate our 10yrs wedding anniversary we had to try for a table here as our daughter wasnt allowed in the bar. Also at breakfast although very nice was slow and had to ask about 4-5 people and wait around 20 mins before we would get a highchair?During our stay here our daughter hurt her arm and was screaming in pain with it but they said they couldnt help so i had to get a taxi there and back to a chemist somewhere in london on saturady night just to get calpol childrens paracetamol they said they couldnt get this for me? overall the hotel is good but the service is not great at all, well not 5 stars anyway andit is also a little impersonal i think if they can sort out some of the niggles then they would truly be deserving of there 5 stars but when you pay 300 pounds + a night you expect a lot more than this. I would try somewhere else next time, and having stayed at the chesterfield and the milestone these hotels were far better in service standards so the dorchester could learn from these hotels!!!	
Nov 3 2008 	Tranquility and Luxury in London	We stayed at the Dorchester for a short break, this is not a cheap hotel but you get what you pay for! The art of a good hotel is making you feel comfortable and special and the hotel managed this beautifully. This hotel is a real taste of tranquillity within the hustle and bustle of London. The location to Hyde Park was great and we walked to Kensington without any problems. We were impressed by the décor and the comfort and found our room (king deluxe) to be large and elegant, yet comfortable. We ate in the restaurant one night and although this is not the price we would normally pay we felt that we had a very special and memorable meal. (Vegetarians were well catered for!) Breakfast was unhurried and you would be hard pushed to not find something on the menu to suit your taste buds!My only comment would be that the rooms needed tea and coffee making facilities, (£16 for two teas seemed quite steep to us!) but if that is the only negative who’s complaining!Overall this was fabulous experience, a real taste of the deluxe end of the market and well worth the money for a special occasion.	
Oct 23 2008 	First Class Luxury Hotel!	I stayed in the Dorchester with my husband Saturday just gone for 2nights. We had a wonderful stay. I booked about 5days in adavance on the website, got a great deal for £529 in a Superior double room. Its the lowest grade room they do, but you wouldn't think it! It was amazingly comfortable. Classic English beauty, a gorgeous bathroom with the most luxurious deep bath! :)When we checked in, we were told we had a complimetary upgrade as we were celebrating a birthday, but was soon told there had been a mistake...We wasn't too fussed. Our room wasnt ready so they offered us drinks in the bar.When we arrived in our room there was complimentary champagne on ice, chocolate covered strawberries and a lovely choc birthday cake which was all lovely.I really cnt fault anything about this hotel, we wil definatley be returning. I wouln't reccomend it to anyone on budget though...2hours in th bar with about 6drinks 3of which non-alcoholic and a club sandwich came to about £166....Second night we had dinner in the promenade, which was wonderful. Fairly priced too £75 for 2meals, 1 desert and 4soft drinks.Service is second to none, especially the room service breakfast. Cooked to perfection and enough to feed a small army!Will definatley be returning this year and cant wait! A true Gem of London.	
Oct 15 2008 	Treated like royalty	My husband and i stayed at The Dorchester for 1 night. We booked a deluxe room which was a large size room with a wonderful bathroom.It was our anniversary upon arrival we were shown to our room and within 10 minutes of us being there we were suprised with chocolate covered strawberries and a bottle of champagne, what a lovely touch.Everywhere we went in the hotel we were greeted by name and wished a happy anniversary.I would recommend this hotel without a moments hesitation as it is in a great location, has excellent breakfast which we had in our room and is well appointed.	
Sep 28 2008 	loved The Dorchester	We have been in London several times this year and stayed in quite a few really good hotels, but, I think The Dorchester wins top prize for that extra special stay. We have only just returned today and already I have been on their website to check availability for our next stay. We were celebrating a 50th birthday and on check in found that our room had been upgraded to an executive suite. I mentioned when booking that it was for a birthday present, can you imagine the surprise when we also received a birthday cake and a card from the hotel. I don't think anything could have been any better. The staff were fantastic, really helpful. I think you know from the minute you arrive outside the front of the hotel that you're going somewhere special.	
Sep 28 2008 	Great English Hotel - Not so Great English Breakfast	Chose the Dorchester for an overnight stay in London after lunch at Gordon Ramsay's restaurant in Claridges because we love the feel of the established London hotels. The hotel itself is lovely, room was great, fantastic bathroom etc..My only issue is with the breakfast. We were booked on a B&amp;B rate but if I had paid the menu price of £29.50 for the English breakfast I would have refused to settle the bill (when I was checking out I heard someone making the same point to the receptionist). The food was cold, the sausage was like something from the local cafe, and the eggs were overdone. My wife's scrambled eggs were like rubber. We normally would have stayed at Claridges but fancied a change - please visit there to see how breakfast should be made and presented. What a shame Dorchester - we will not return and will not recommend you to friends.	
Sep 22 2008 	Classical Charm with a Modern Twist	We have just returned from a short break in London having stayed at The Dorchester as part of a 20th Wedding Anniversary treat. All I can say is this that it was worth every penny spent. The hotel is amazing and not pretentious in anyway, as it could quite easily be.A great asset to the hotel is their staff who help to create a wonderful relaxed atmosphere. They were all extremely welcoming, from the doorman to the maids, nothing was too much trouble and everyone spoke to you. All I can say is that it my visit way surpassed my expectations and I am already saving up for my next visit. The hotel has recently be refurbished and has been done very sympathetically especially the Promenade which is a lovely area to take tea/breakfast etc. Overall I would say this is probably the best hotel we have ever stayed in. Not the cheapest but if you want to a mix of relaxed seer luxury then this is an absolute must. I am pleased we chose this over the Ritz however I have warned my husband that it would be good to compare them at some point!	
Sep 9 2008	You get what you pay for	Given the minimum amount of time and wanting the maximum refreshing break, I booked my wife and I into the Dorchester for a weekend. We'd had drinks and eaten at the hotel before, so were looking forward to staying overnight. Quality of staff is pretty much everything at a premium hotel, and the friendliness of everyone, from the doorman to the maitre'd was very welcoming. No pretension here.The room was very comfortable, though it lacked a view, facing on to the inner courtyard. The bed, and partiuclarly the pillows, were excellent. Breakfast in the morning was a real treat of just about anything you could wish for, though a better choice of fish may have suited others better.To while away an evening in the Promenade listening to the live trio, sipping a few glasses of wine, is one of the treats in life. The Dorchester does exaclty what a five star hotel should do - it indulges and provides an escape from the stresses of modern life. That it does so with a complete lack of pretension makes it close to perfect.One word of advice - the spa is tired and not particuarly well equipped, though I understand a refurbishment is coming soon.Overall I would throughly recommend the hotel	
Sep 4 2008 	Classic full 5-star experience	A true 5-star experience but in the classic mode. May feel a bit too 'old world' for a more contempory/younger traveller (i.e., Mr and Mrs Hip Hotels). Remains a benchmark for the lover of classic hotels/older traveller.Great location, very high standard of fit-out (this is not an aging 5-star like several other London properties), classic style (heavily carpetted, velvet wallpaper, white marble bathrooms etc.).Lovely luxury gound floor lounge (lot of money changing hands and walking around this area !). Donetalla Versache passed me one day and Celiene Dion the next. Bar is a bit small.Contains series of amazing restaurants including China Tang (one of the best chinese restaurants in London).Brilliant service - one of the best concierage desks in London (got me straight into the Woolsley on a busy Friday night).You may not love it but you will never hate it !	
Aug 31 2008	Avoid at all cost !!	Check in was the worst I have ever experienced,the staff was so arrogant and unpleasant...The hotel is filled with people from the Middle East and Russians, so if you do not fit in this category you are not considered at all and the atmosphere in the lobby is somehow unpleasant..We had booked a deluxe category , the room we were shown was so small and dark that we asked to change and we finally were given a room of a more decent size, the carpet had just been changed so there was a strong smell. We had to call three times housekeeping in order to get an extra duvet, it took just under an hour to have it brought to our room.Next morning breakfast was a disgrace, the scrambled eggs were cold , the service was sloppy.	
Aug 3 2008	Loved it!	Stayed in the Dorchester last month and loved it. Yes its expensive but the hotel is beautiful. Staff were excellent and very friendly. Rooms were very nice and location is great, with nice restaurants in the area. All I can say is I can't wait to return.	
Jun 16 2008	Afternoon Tea at The Dorchester	I took my mother for Afternoon Tea at The Dorchester as a Mother's Day treat. I booked the gift vouchers online at The Dorchester's own website and they arrived the following day.Their service was first class and you can email them with any queries and in my experience they replied very quickly.The Afternoon Tea itself comprised of a selection of Teas or Coffees, followed by sandwichs - egg, smoked salmon, chicken, ham and mustard. They are only small but they bring second round along and always offer you more of everything throughout the afternoon. That was followed by a passion fruit and cream dessert which was lovely. Next came the scones - 2 each (again, they offer you more) with clotted cream and a selection of homemade jam. Finally there was a selection of continental pastries/cakes which were also very good - although perhaps i would have prefered them to be more traditional 'english' cakes, but that's just a personal preference. The cakes we had were still of the highest quality.I would like to make a point of complimenting the staff, from those on reception to the waiters who served us. All were completely charming and made us feel at ease in the luxurious surroundings. My worst fear was that the hotel would be pretentious, but the people were lovely and it was very relaxing. We arrived at 2.30pm and stayed for almost 2 hours, at no point do the staff rush you to leave.I would highly recommend The Dorchester for anyone wishing to take Afternoon Tea at one of the top hotels.	
May 26 2008 	Love The Dorchester	The Dorchester is not hip or cool or stylish. It's old fashioned all the way &amp; yet it's wonderful. We had one night there on the 25 May for a treat. It's our second visit. We'd booked a junior suite &amp; were upgraded to a suite which was large &amp; decorated in the elaborate english floral fabric style which works well in this setting.The housekeeping is impeccable &amp; generous. The products in the bathroom are great.The bed was comfortable. The sound proofing worked very well.The staff were without exception lovely &amp; warm. There was no hovering for tips &amp; in one instance a tip was actually refused !We ate a light dinner in The Promenade &amp; again it's old fashioned a bit like a hollywood movie with a pianist playing dated songs &amp; singing in a passable voice. But for all that we had a nice meal - it was very comfortable &amp; the food was fresh &amp; plentiful &amp; very tasty &amp; the staff were helpful without being intrusive.We had a lovely stay.	
May 12 2008	Beautiful place but letchy tip-hogging staff and stiff clientele	Upon spending £300 for a night here, I was expecting a wonderfully relaxing stay.I knew that wasn't going to happen when a letchy check-in boy from eastern europe showed us to our room and showed us a bedroom, a bathroom and er, is there anything else sir? Urr, no, why, should there be? Okay, it's a bedroom and er, yes, so it is, it's a bathroom.Of course, he was hanging around like a bad smell for his ahem, tip and he wasn't half brazen about it.The tip culture really ruined this hotel for me and my wife. It was really in your face and blatent. You couldn't break wind without someone hinting heavily for a tip.The porter came to take our bags and pointed loudely to the number of bags, repeating the number of bags that were on his trolley. I wouldn't mind but I put most of them on his trolley in the first place!To get out of the hotel cost me £30 in tips! £10 for the porter, £10 for the maids (who I insist on tipping because they do all the work and get the least credit whilst the mini-bar letchers are rolling in it), and £10 for the guy who got my car (the car parking having cost me £50 for parking there for about 12 hours!).We went to the restaurant early because we had a baby with us. That was fine until the stuffy clientele made us feel like we were sat there with two heads. The helpful manager having sat us down in the corner and then despite a large empty restaurant, put a romancing couple directly next to us.The food was from the chinese place, tiger something maybe? Food was at best, below average and the atmosphere very stuffy. Wouldn't recommend it.I would love this place if it were more child friendly, staff who are friendly because they're actually pleasant people rather than fighting to please you for a big tip (most of whom looked scared to loosen up a bit in case of &quot;the frown&quot;.My best advice would be stay here, enjoy it and don't give them letches tips.	
May 4 2008 	The BEST!	The staff and service here are first class all the way. The rooms are very luxurious. My room overlooked the park. Great location for easy walking if you want. We were treated like royalty. In fact, royalty was actually there at the time. Pricey, but if you can afford it, you can't do much better in London.	
Apr 26 2008	If you think the Dorchester if poor...........	Service in hotels is not what is used to be anywhere in the world.I have stayed at many of the best over the years, and consider the Dorchester up there among the World Class leaders with its World Class prices!!!If you want to visit a poorly run 5* hotel, then walk five hundred meters down Park Lane to the Hilton Flagship! It gives new meaning to the word POORLY RUN!!!!Why oh why are London Hotels so damned expensive...... Rip Off Britain.	
Apr 20 2008 	Failed Completely to Live Up to its Reputation	What could go wrong did go wrong during our recent stay at The Dorchester. And a previous guest, I can say without qualitifcation that the hotel is not even close to what it used to be. Starting with our arrival at the hotel on foot, the doorman did not even offer to help us with our bags but, rather, pointed to the door adjacent to the revolving door through which we pulled our own bags.Once in, there was a protracted wait at check in, and then when I produced the confirmation number for the Hyde Park view 39 sq. metre room I had booked through my travel agent, I was told abruptly that there had been a mistake, that the rate I was quoted was only for a Mayfair rooftoop room of smaller dimensions. I insisted on the room we reserved and a manager was called, who said we could have it but only if we agreed to pay 65 GPB ($130) more each night. Only when I produced the written confirmation for the room at the rate I was promised, did the manager ungraciously relent, and agree to the agreed-upon rate.Then, through a comedy of errors, the mini-bar inspector woke us from our jet lag nap, and the piercing fire alarms sounded during a test that concluded our rest. The phones all failed to work for a number of hours, for which the front desk barely apologized.Housekeeping twice forgot to provide turn-down service, and room service took a full 40 minutes for breakfast delivery.Moreover, the charming, art deco ambiance is long gone, replaced by a Hotel Monaco kitschy-looking orange lobby.Once worth the splurge, the Dorchester is one of the poorest values in London where one feels like an imposition rather than a welcome guest.	
