	Quiet clean and modern.	We loved our stay and found the hotel to be very clean and relaxing. We actually lounged in the lobby and read from their collection of travel guide books. The front desk staff was happy to assist us with snail mail, restaurants, and anything else we needed. The breakfast was of a great variety and the staff tending to the buffet were readily available to supply whatever we needed. We stayed on the back side of the building and had no noise and a comfortable bed. The rooms were a decent size for Europe. Also the location was three blocks north of a major metro stop and Hyde Park.	
Oct 5 2009 	Fantastic small hotel	My husband and our 13 year old son recently stayed at The Sumner for a week and have not stopped raving about it. We had a good size room with THE most comfortable hotel bed we have ever slept in. The staff were great, the location was great, the hotel was quiet, and they also serve the freshest breakfast (no overcooked eggs here). The hotel feels like you are in someone's home as the staff were very discreet, and it is very tastefully furnished. We would definitely recommend this hotel and would stay here again.	
Oct 4 2009 	Little room big exprience - worth every penny err pence	For our delayed honeymoon, we chose Africa as our destination of choice. But on the way, we flew through London, and we decided to spend 4 days there en route. Sumner Hotel was our choice forwhere to stay, and I have to say, we chose well.The stay started off a bit rocky. We arrived a bit early, and they do not allow early check-in. With so few rooms, they are always full, so they had to turn over the rooms. We arrived, and after sitting in Hyde Park (right across the street basically), we went back to wait in the waiting area. There were two other parties waiting as well. Everyone was tired (probably all on the same all-night flight), and the Sumner staff kept assuring us &quot;5 more minutes&quot;. To be honest, that was annoying. It was not 5 more minutes - it was like 45 more minutes - and we were tired. But to be fair, they needed to clean the rooms, and they did their best to be accommodating. We were just grumpy.The rooms themsleves are tastefully decorated, though they are small as is the case in all of London. The bed was comfy, the bathroom was clean and functional, and the window offered at least a partial view over some rooftops. The breakfast was pretty good, and their beakfast area was actually quite nifty. Considering it was a complimentary breakfast, we were actually quite pleased. A little bacon, some eggs, and random fruits and juices made every day start off a little better.The service there was actually quite remarkable. We needed help setting up the touristy things, and they were very helpful in arranging transports and getting tickets and whatnot. I needed to head to my company's work office in London, and they arranged for a private car for me. It was all quite good.The best part was the location. About 5 minutes from the tube, it was easy to get around. And there were plenty of things to do in the immediate area, and we found a couple of nice places to eat within walking distance. The Sumner is good value, very quaint, and worth the stay. It is more functional then stylish, but for what we needed, I think we chose about as well as we could have.	
Sep 30 2009 	Yes the Tripadvisor comments really are true!!	I booked the Sumner for my husband and I for two nights following a month of traveling around the UK,well it proved to be an oasis. Everything said on this site was true,great rooms,helpful staff,lovely buffet breakfast,perfect location,relaxing lounge area and QUIET!We will definitely return! Soon I hope!	
Sep 22 2009 	Excellent all-around hotel with great location	Although labeled as a hotel, this posh flat is more like a bed and breakfast. Very clean with ample room and an excellent shower, this hotel makes for a great stay. Other notable advantages include an outstanding staff, LCD TV's, and a five minute walk to the tube-Marble Arch. I would defintiely recommend this hotel.	
Sep 14 2009 	Awesome!	Frankly this is the nicest hotel we've been in Europe so far and even in North America (excluding some luxury resorts in the Caribbean e.g. Sandals). Courteous almost over polite staff, and knowledgeable.We had Room 201 (a deluxe room) and every thing was perfect from mattress to bathroom to looks. Conveniently located close to Marble Arch (including its tube station), close to shops on Oxford, Hyde Park, etc.Very good breakfast in a small basement room.We were there only for one night and it was perfect for us. Would return any time.	
Sep 14 2009 	Great location great rooms and nice staf	We just came back from a very nice weekend in London. We have been in London a lot over the years but for the first time we enjoyed the hotel :-) The room where great, clean and airy. The staf was nice and helpfull and of cours the location is perfect. This will be our choice the next time too.	
Sep 13 2009 	Superb!	This was a great find (through this site).The staff are some of the most friendly, helpful and informed I've come across.The whole hotel was spotlessly clean and room was delightful - one of the most comfotable hotel beds I've ever slept on. we were in London for a couple of days (20th Wedding Anniversery), but would have happily stayed longer.Highly reccommended.	
Aug 25 2009 	Small understated town house in good location	We traveled with our teenage daughter and found the triple accommodations to be very spacious by European standards. Location was very good, near Marble Arch, Oxford Street (good shopping) and lots of restaurants. Hotel itself is in a residential area and not within easy walking distance to major sights (eg. Buckingham Palace, the Eye, etc.). It was a very good location for us, as this was not our first time to London. Included breakfast was very convenient, although the window of opportunity for it is from 8 to 9:30 -- worked for us, maybe not for all. Beds very comfortable, including single twin bed brought in for our daughter. Bathroom was very clean and worked well. Staff was very helpful. Sitting room is very comfortable, lots of seating and a computer with free internet service. Can also use your own in the room with a free password. There is a real bed and breakfast feel to the place and the other guests were friendly but not intrusive. Our room faced the front, but it was perfectly quiet. Would absolutely stay here again.	
Aug 23 2009 	Loved this hotel!	We truly enjoyed our stay at The Sumner. It was in a great location. Friendly and helpful staff. Extremely comfortable beds. Nice breakfast. Free internet which was a bonus. I get so tired of paying for internet use in hotels! I would highly recommend this hotel and would definitely stay here again.	
Aug 22 2009 	Lovely staff comfortable bed.	Stayed in August 09 after reading Trip Advisor reviews. We found the staff so very friendly and helpful, and the bed the most comfortable ever. But as we were given the only ground floor room, we found that people could look in as they walked past. The A/C did not seem to work very well and the room smelled stuffy, but if we opened the window we got street noise. In hindsight, we would have been much happier with the room if it had been upstairs, it was quite large and the standard was very good really. The breakfast was quite good, although there was no fruit platter, but some fresh fruit was available. BUT breakfast was only served from 8 AM till 9.30 AM, not great for a lot of people.Overall though, I would recommend the Sumner, just book a deluxe room like we did, but stipulate upstairs.	
Aug 22 2009 	Perfect location great boutique hotel	This is the 2nd time we have stayed at the Sumner and we have to say if we are in London again we will be back. The accommodation itself has everything you need, there is a pleasant room down stairs where you can have a cup of tea, read one of their books or browse the complimentary internet. The location is fantastic, there is a self service laundry just around the block, transport isn't far and Oxford street and a selection of restaurants is just around the corner. Highly recommended by us!	
Aug 21 2009 	Lovely little 'town house' hotel	Smart converted town house hotel, a couple of minutes walk from Marble Arch. Room (we stayed in room 109 on the top floor) was of a reasonable size for central London, spotlessly clean, with a comfy queen size bed, good linen, air con, flat screen TV and mini-bar. The room faced the street but did not suffer from much noise due to secondary glazing. Bathroom was again very clean and modern although on the small size - shower only, no bath and very little space for toiletries etc. The compliementary breakfast was ok with a range of cereals, croissants, ham &amp; cheese plus coffee and orange juice. However, hot items limited to scrambled egg, beans and, strangely, hot dog sausages only - certainly don't expect a full english breakfast buffet. The breakfast room is quite small and bright and not a place you'd take time over a leisurely breakfast reading the Sunday papers. Overall, a pleasant change from the major 4 &amp; 5 * chains and perhaps a little bit cheaper. Downside is the limited breakfast selection in the small breakfast room which you would not want to spend more than 15mins in............	
Aug 16 2009 	Not dreadful not fabulous either.	I had been looking forward to my stay at the Sumner after reading such strong reviews for it. Unfortunately, the room I'd booked was in the basement of the hotel. It was a good-sized king room, and for the basement level the light was OK. However, one really shouldn't be greeted with this scenario after flying for seven and a half hours, claiming baggage, going through customs, and managing the tube out of LHR. To boot, my room was across the hall from the hotel's breakfast room, so every morning I was subjected to the din of clinking flatware, porcelain, and tourist conversation. Not unbearable, but again not what I'd signed on for. The breakfast was OK, but lacked the sense of bounteousness that marks a decent buffet. I'm not a huge eater - but a good fruit selection would have made a difference. I kept thinking of this great little hotel where I stayed in Cologne last year...Lastly, the hotel offers to procure tickets to London shows for its guests. I could have taken care of this on my own, but delegated the task to the front desk on my last day in London. I returned to the hotel around 5:00 to find that it hadn't happened, and the person working the front desk had received no information on this request from the staff working earlier in the day. By this time, the pickings for the show were slim.Overall, I felt like these people were not on their game. For the rate I paid, I expected more.	
Aug 13 2009 	Fantastic	Hotel and staff were fantastic!! It was a double celebration for us a 35th Wedding Anniversary and A 56th Birthday celebration so it had to be special and it was! Very friendly staff, excellent cleanliness and a rather nice buffet breakfast. We will be back for sure. Thank you. Mr &amp; Mrs Oak, Oxford,UK	
Aug 11 2009 	GEM!	Superb location - easy access to Marble Arch and surrounding attractions. Room, although dark (we were in basement) was spacious, comfy and lovely. Staff were welcoming &amp; helpful. Overall, really enjoyed our two night stay. Our son stayed in room with us and there was still plenty of room even with sofa bed down. Would recommend this b&amp;b with 4/5* appeal.	
Aug 10 2009 	Loved this place!	This hotel is more like a bed and breakfast and it is like a renovated brownstone. The rooms are lovely, the staff is nice and very helpful and it was a great location for all that I wanted to do. It felt as though I was in a nice home. The rooms are very comfortable with nice beds and bedding. Breakfast is good though the one room that could use better decor is the breakfast room. I plan on staying again for my next trip.	
Aug 9 2009 	Loved it !	Having stayed at the Sumner hotel last year, we decided to return for a 2nd stay. We opted for a larger front-facing room this time and were not disappointed. We requested a room on the top floor and this request was granted.The whole hotel is simply wonderful - the helpful staff, the adequate breakfast, the free internet in the lounge.Would definatly return for a 3rd stay!	
Aug 7 2009 	Nice Boutique Hotel Good Location	The Sumner Hotel received good ratings on Trip Advisor so we choose it for our stay in London. Good choice. It is a quiet, small hotel, quite modern, with 20 rooms. The staff was young, friendly and very helpful. We had a large room with all the amenities except an in room safe. The only real disappointment was that the walls were not well insulated as we could hear the next room. Excellent hot full breakfast was included in the price. We really liked the location, only a couple of blocks from Oxford Street and Marble Arch making access to the Underground and the rest of London, quick and easy. Several restaurants, in all price ranges. near the hotel. Guests are provided with a map and details of most of them.	
Jul 31 2009 	Just as good the second time	We stayed at the Sumner in October (2008) and had a very enjoyable stay. Our return visit was just as good. The room was a little larger than the &quot;standard&quot; London hotel room, the bathroom compact but very serviceable. The only negative being the stairs on the landings to the room - if you are unsteady on your feet - thread carefully as the stairs are narrow and not always perfectly level (they do have lifts, but to access some rooms you do need to negotiate a few sets of stairs). Otherwise no issues.The breakfast - generous and fresh. The service excellent - the same waitress (from last year) who remembered tea and coffee preferences on days 2-4. The internet facility in the lounge was a plus.This time we ate locally and found the fact sheet that the hotel provided an excellent guide. After a couple of nights of expensive meals elsewhere we were delighted to eat at reasonably priced (by London standards) neighbourhood restaurants, all within a couple of hundred metres of the hotel.The hotel is perfectly located to transport and shopping.Excellent price value - for London.	
Jul 21 2009 	Location is Great	Just back from our second stay at the Sumner.. Very nice ,again.Location is great , you can walk through Hyde Park to Harrods,Buckingham Palace or Victoria Station. Also, Oxford St and the tube at Marblearch.Nice restaurants in the area and a few local pubs. If you can get a good price--take it.	
Jul 21 2009 	Stylish great location and good value for money	We stayed here for two nights, having booked tickets to see a Westend Play and do a bit of shopping in London. The hotel was lovely, bright, friendly and small. Our room was on the second floor, facing the street and although it's a busy part of the city, the noise level was very low inside. The bed was comfortable and the bathroom was good. Breakfast was served in the basement, with lots to choose from and the staff were very pleasent. Reception guys couldn't have been more helpfull.We never got a chance to relax in the lounge, but it looked very relaxing.Will book this hotel the next time I'm in London. Fab	
Jul 19 2009 	In a word - perfect	Very pleasantly surprised. Room was spacious (for inner-city London), quiet, location close to paddington and st pancras stations, metro, buses and shopping walking distance. Staff were pleasant and helpful.The breakfast is basic, but included in rate.	
Jul 16 2009 	Wonderful Hotel excellent location	We stayed at the Sumner for 8 nights and enjoyed it very much. The hotel is very clean, the complimentary breakfast is very good and helpful especially when a full day of sightseeing is planned.We had two rooms, a king and a double. The hotel is very quiet and comfortable.The location is about 2 blocks from the Marble Arch tube station. There are many shops and restaurants within a short walking distance.Bus tours leave from the Cumberland hotel and the On and Off Bus tours have tickets booths across the street from the tube station.We would stay her again..loved it!	
Jul 14 2009 	Wonderful experience highly recommend	My husband and I just returned from spending a week at this hotel and we loved every minute of our stay. Everything was lovely, very clean, very modern. The staff was very helpful and did a fantastic job of cleaning our room each day. The location is terrific, right off of Marble Arch. This was our first time staying in the Marylebone area and I would definitely recommend the neighborhood to anyone who wants to stay someplace central, and is looking for something a bit less touristy than some of the other central areas. Great restaurants in the surrounding area (Marylebone High Street has so many), great hotel, just a wonderful time.	
Jul 14 2009 	Great Stay in London	We stayed 3 nights at the Sumner from June 22 to June 25, 2009. The Sumner is a great place for London visitors to stay. The room and bathroom were large and well decorated and supplied. The front desk personnel were very helpful in answering all our questions. The breakfast was great. Breakfast was not scheduled to be served until 8:00am but we were able to get everything they offered except the hot food items at 6:45am so we could catch our tour bus at 7:15. On the last day when we were not going on a tour, the breakfast included all the hot food items and was very good. The place was very well located, close to bus stops and the Tube at Marble Arch, and in a good neighborhood. The Premium Tours' bus stops at the Cumberland Hotel to pick people up for their tours. The Cumberland is about two blocks from the Sumner. There were plenty of places nearby to eat and places to buy almost anything a visitor would want. The Internet is available at no cost. We would definitely recommend this hotel. Be sure to ask for the Rick Steve's discount when you make reservations.	
Jul 14 2009	A great place to stay in London.	We chose The Sumner on the basis of outstanding TripAdvisor reviews and it entirely lived up to our high expectations. It is thoughtfully laid out, very well appointed, scrupulously clean. Three of us (me, my son, his 13-year-old son) shared a King Twin room with an extra bed and, though it was predictably cozy, we were quite comfortable. There are many things to like about The Sumner (convenient Marble Arch location, more-than-satisfactory complimentary breakfast, free broadband access on the computer in the lounge, etc.)---but its greatest asset is its staff. From first email contact to checkout and beyond, the hotel personnel were efficient, unfailingly friendly and as helpful as could be.	
Jul 5 2009 	Great location and good value	After arriving in London after a long haul flight it was delightful to be welcomed to the Sumner Hotel. Good rooms, good service, good breakfast and a great location. A thoroughly enjoyable stay. Loved the cups ot tea delivered to the room after a very busy day sightseeing.	
Jul 2 2009 	Great Hotel Near Marble Arch	My wife and I returned to London where we spent our honeymoon years ago. We found the Sumner to be a great little hotel. We stayed in a nice size deluxe queen room, tastefully decorated, with a firm bed, armoire, and flat screen TV. The bathroom had a shower and was spotless. Breakfast was very good and included eggs, sausage or bacon, cereals, and great coffee. The Sumner has free internet access, with a 110V line available in the wall adjacent to the desk for an easy laptop connection. The hotel is located about a 5 minute walk to the Marble Arch tube station, and is a short cab ride to both Paddington Station (connection with Heathrow airport train) and St Pancras (Eurostar Station). It was also an easy ride to the West End, where we spent our evenings. Great location, nice accommodations, and helpful staff make the Sumner a great choice to stay in London!	
Jul 2 2009 	Great Location very helpful staff!	The room was very nice and a nice size for London. It was a little expensive, but I believe that is par for the course when traveling to London. The location was great...right next to Hyde Park and the Marble Arch tube station (we would just make a short walk to this tube station whenever we would go out for the day). The breakfast was very good; buffet style with an assortment of foods (eggs, beans, cereal toast, yogurt, juice). The staff was very nice and accomodating whenever we had questions. The seating area in the front of the hotel is very classy with several travel books available to use during your stay. The computer with internet in this room was definately a plus and was available most of the time throughout our visit.	
Jun 25 2009 	Gorgeous Elegant Friendly Clean Quite Hotel	Highly recommended. We stayed at The Sumner on New Years Eve Dec 07 / Jan 09 and its a gorgeous small friendly hotel right in the heart of 'old fashioned' London. When you look out of your room window Its like stepping on to the Mary Poppins film set. Gorgeous rooms and lobby area. Clean, friendly, quite hotel with security entry into the main building. Nice cozy warm rooms for a wintery new years eve. Perfect distance to Hyde Park/Oxford street and tube stations. Just perfect all round! Will stay there again and again.	
Jun 18 2009 	Great find for a repeat traveler and a London 1st-timer	I have been to London twice on &quot;college buddy&quot; trips ten years ago. This time (March 2009) I was there with my wife. Previously I had stayed at hostels; but finally chose a hotel this go around.What a find! I am a member of Best Western points club, but could not find a favorable location based on other Trip Advisor reviews and price. We stumbled on The Sumner through a ton of online searches.We arrived earlier in the day than expected and our room was already to go. Marble Arch area is great. In actuality, this location is between Marble Arch and St. Christopher's part of town. Very easy (few blocks) walk to Marble Arch tube station.Room was great (ours was on the back side and quiet). Bathroom was large compared to many of the London bathrooms. Electrical outlets were configured to all types. We learned that the owner recently purchased the building and the one next to it, combined the two, and gutting everything to create the hotel. Everythnig is new, modern, and very very clean. Because everything was gutted and built from scratch, the rooms are large and &quot;make sense&quot; (unlike many hotel rooms in GB that retro-fit an old apartment into three hotel rooms). Although the hotel was filled, we rarely saw any other guests. My wife and I are still amazed at how little the cost was too!We will always stay here,	
Jun 18 2009 	GOOD VALUE	We stayed at the Sumner in May of 2009. W|e had a large room (15 sq) overlooking the front of the hotel. The large windows opened up to the street but unfortunately there were no screens so we had to close them in the evening. It was a nice surprise that North American electrical appliances worked in the already adapted plugs. The room was comfortable, the bathroom adequate but extremely small. A small bar fridge would greatly have enhanced our visit as ice was not readily available. The breakfast was excellent considering this was part of the already reasonable hotel rate. The coffee was great - this was in fact the only place we had a decent coffee in England and the selection for breakfast was lovely. The only negative comments I would have would be to do with the foyer area - it looks very unwelcoming - dark hallway - leading to back of townhouse - would have been better to change the sitting area at the front into the reception area. The staff were efficient, and helpful but not very outgoing/friendly - perhaps this was due to a language problem. Previous reviewers were correct in that it is a marvelous location and only a five minute walk to Marble Arch tube station - there are two convenience stores on the way to the tube to pick up refreshments (beer and wine as well). There are many restaurants in the neighbourhood but we found at the end of May the lineups were quite long. We did find a wonderul Italian restaurant one block south and a few blocks west of the Sumner called the Biagis Restaurant - the food was wonderful, the service excellent and the price very reasonable. The airport transportation we arranged thru the Sumner was prompt and efficient - good value - no hassles. All is all, we would recommend the Sumner and would stay there again.	
Jun 14 2009 	Cute townhouse hotel in Marble Arch	We really enjoyed our stay at the Sumner. We upgraded to a deluxe queen room which we honestly thought was a bit small for what we were expecting, but we are used to the huge USA rooms. The rooms had great furnishings including a very comfortable bed, desk, armoire, flat screen TV and large bathroom. The continental breakfast is quite good, especially as free breakfast at hotels are not good at all. They had eggs, selection of meats, cereals, and more with great service. The hotel is located about two or three blocks from the underground, making this a very great location. It is in a very safe neighborhood with lots of local shops and eateries. I'd highly recommend this place to anyone staying in London - the staff provides excellent service, the rooms are very clean and a decent size, and it is located in a great location - all for a good price.	
Jun 13 2009 	bring earplugs	The hotel was in a great location, check in was efficient and friendly, the room was lovely.Traffic noise was noticeable but not too bad. The people walking around upstairs were the most heavily footed, restless and inconsiderate we have encountered.Every night for our 3 night stay they paced heavily back and forth for what seemed likemost of the night. I might add that I have a partial hearing impairment so mosthotel noise is not bothersome but this was an exception. Maybe we were unluckybut I think the floors are not very soundproof. I would not stay here again the Luna Simone is a much better deal and we have had good rest here on previous stays.	
Jun 11 2009 	Comfortable and welcoming.	This hotel is comfortable and stylish, and the staff are friendly and helpful The location is convenient. Marble Arch tube stop for us is a five minute walk, not the 10-15 minutes mentioned in another review. The breakfast is fine, although real fruit juice, rather than flavored water, would have been appreciated. The hotel is clean and well maintained, and we would be happy to stay there again.	
Jun 6 2009 	A real find - at competitive prices	I'd have given The Sumner a five star rating had it not been for the fact that they bungled our booking and put us in a first floor room when we'd specifically asked to be at the top of the hotel to avoid street noise. They were, however, good enough to move us on our second day, though it was an inconvenience.The king size rooms are a very good size for London though the bathrooms are very small - but clean and adequate.The hotel is small, beautifully presented and spotlessly clean. Staff are professional, efficient and helpful. Breakfast was a bit limited and the hotel would do well to look at this, as well as perhaps considering supply tea/coffee making facilities in the rooms.The place is a bit of a rabbit warren so be sure to get directions from reception as to which lift to use. Also be prepared to carry your luggage up and down a few stairs.The Sumner's location is extremely central - about a 5 minute walk to Marble Arch tube station.Perhaps the most critical factor is the price of the Sumner - truly excellent value for a hotel of this quality in central London.We'll stay there again.	
Jun 4 2009 	Nice boutique hotel in London	Very nice and helpful staff. The room was not too small for a small hotel and it had a king side bed. Good breakfast and the internet was available in the lobby. It was about 10-15 minute walk to Marble Arch tube stop. I would recommend this hotel if your are in London. We also got a discount by mentioning Rick Steves' book.	
