	Great value very convenient helpful staff hearty breakfast	We were there for 2 days and returned for another 7. Location couldn't be more convenient as it's a 5 minute walk to the Gloucester Street tube station with Picadilly, Circle, and District lines. Good, reasonable restaurants nearby and a grocery store at Gloucester and Cromwell. Staff was very nice and helpful. Breakfast is great. They call it continental, but it includes eggs, bacon or sausage, baked beans, toast, sweet rolls, cheese, meats, juice, etc. Only thing missing was fresh fruit. We stayed in two different rooms, both of which were quite nice. Really liked having the refrigerator. They have two non-smoking floors if you request ahead. Didn't try wifi but there are computers with internet access in the lobby, 1 GBP for 20 minutes. I guess we like crisp sheets and firm beds because we found everything very comfortable and clean.	
Jun 23 2009 	Great location basic accomodation	Stayed at the Park International for four nights from 14th to 18th June, selected hotel for its location and tripple room (3 beds not sofa bed). Air conditioning in room worked. well, small fridge was ideal for keeping cool drinks and tea and coffee facilities too. Our room was at front of hotel - would ask for room to back of hotel if I were to return. Busy road and area. Reviewed this hotel on TA before went and reviews are accurate. Close to Gloucester Road tube - good line on circle/district and picad. lines good access to city. Shops and fast food &amp; restraunts in area. Hotel room small but clean.Breakfast reasonable for rate paid. The Breakfast room is compact and can get very busy - best to go early. Choice of hot and cold breakfast. Safe in room did not work - someone sent to look at it but that was it - not able to fix - had to use communial safe at reception. Did not make a fuss after receptionist communicated to me in her best english that this is common in most of the rooms at the hotel. The bar in the hotel is very small and has not much atmosphere or customers - it is situated in the area that is used for the overflow of guests from the main breakfast room in the morning time. I thought the bar would be better situated in the area to the left of the reception on entrance to the hotel whch had computer and seating - this area was far more comfortable and inviting. The bar could then be used to expand the breakfast room and make the area less cramped and cluttered.Overall I suppose this hotel is value for money we booked on hotel website and got 'summer discount' - 485stg approx for 2 adults and teenager for four nights.It served it purpose for us on this trip - some were safe and clean with a spot of breakfast.Will I return!!! verdict still out. I would be inclined to do a search on other hotels in area first and then maybe!! If I was to recommend to a friend I would say it as it is and let them decide if it suited there needs.	
Jun 7 2009 	Great location clean but small rooms	I chose this hotel for its location in South Kensington. I was visiting Imperial College which is situated next to the Royal Albert Hall. The Park International Hotel is on Cromwell Road, two short blocks from the Gloucester Road tube station, which is on the Piccadilly line with direct access to Heathrow Airport in about 40 minutes. Note that there are about 20 steps that one must ascend in the tube station, which can be a challenge if you have a lot of luggage. The tube station provides direct access to the Buckingham Palace area, and the east end theatre district. Cromwell Road has plenty of pedestrians and seems to be very safe. There is a grocery store and fast food restaurants near the tube station, as well as good restaurants.The hotel, like many in the area, is converted from a series of Victorian era townhouses, interconnected with lots of staircases and fire doors. There are a number of similar hotels to choose from on Cromwell Road. I paid 70 GBP per night plus 15% VAT for a single room. I asked for a quiet room and was given one facing the back, away from the traffic. I was accompanied by two students who shared a double room for 70 GBP total; they seemed to be happy with their room.The single room is characteristically tiny. It has a single bed, a desk and chair, a bathroom with shower, electronic safe, kettle, bar fridge, and a device for pressing your trousers. There is a light immediately above the bed that is great for reading. The window is a modern metal framed one, but it only opened about an inch. There was an air conditioning unit above the door, but it was not turned on in May; the room temperature was 26C, and if it got any hotter I was going to ask about the air conditioning. The linens were crisp and clean, the bathroom was clean, although the roll flooring was a bit uneven. The shower had plenty of hot water. I think the wall to the adjoining room is a bit thin because I could here the guest coughing, but it was otherwise extremely quiet.The breakfast was generic, with typical English hotel coffee (i.e. bad). The orange juice was good. The lobby had a front desk plus a concierge stand. The staff was friendly, and the concierge was very helpful to me on several occasions. There were two elevators (lifts). This is the second time that I have stayed at this hotel.	
May 29 2009 	excellent value friendly staff	stayed in this hotel for two nights in a king size room hotel room basic but very clean staff very good but breakfast staff lookedrather overworked.continental breakfast was good and was surprised at choice but be warned only small room and does get very busy only grumble was tv remote didnt work but didnt bother reporting this as saw this as just a minor issuewould definitely stay again	
May 28 2009 	Very Pleasant Stay	Just returned from one night at this hotel and would recommend it highly for a stay in London. We got a rate of £50 for myself and my teenage son including breakfast which was excellent. The Hotel is very central, close to the Gloucester Road Station and Science and Natural History Museums, just up the road. The staff were very nice. We had a drink in the bar which was very reasonable. Our room was clean and comfortable and the Hotel itself was clean. The breakfast was excellent. All in all a good stay. I would definitely go again	
May 22 2009 	Extremely pleased with hotel and its locaton	My wife and I stayed at this hotel for six nights(Sunday to Saturday). I booked direct with the hotel on the internet and got a discount for staying three nights or more. This was not available if booked through any of the internet agencies. Booking direct also guarantees your breakfast being included. The hotel staff were very pleasant and helpful. We had a double room which, although not large, contained a king size bed, fridge, TV and was en suite. Every thing was spotlessly clean. There was a good selection at breakfast but the restaurant got quite busy after 9am.Gloucester Road Tube Station is 200 yards away and you can get right into the heart of London in less than 20 mins. or catch the 74 bus right outside the hotel to get to the museums in 5 mins.There are several restaurants across the road from the hotel(I would recommend the Bella Vista). There are the usual fast food outlets KFC etc. by Gloucester Road Station.The only criticism I have about this hotel is that one, the room was a little too warm even with the aircon on and two, the floor boards in our room and the room above creaked although it didn't spoil our stay.I would recommend that anyone staying in London for more than 5 days get a weekly travel card (Oyster) from the Tube Station as soon as you arrive in London. It costs £25 but will save you a small fortune in bus and train travel. It also gets you a 33% discount on river trips.	
May 16 2009 	Very pleasent stay	I was looking for a good quality budget hotel and was very pleased to find this. Stayed for 3 nights in a single room to the back of the hotel. Very quite, clean and comfortable. The room wasn't too small and had a fridge and safe. The staff were helpful and friendly. The main downsides were that breakfast was very busy on Saturday morning (weekday mornings were ok) and the Friday night price was significantly higher than the weeknights.The hotel is 5 minutes walk from Glocester Road station, some cafes and supermarkets.	
May 10 2009 	Much better than expected - excellent value	Booked the hotel direct via their website - only £65 pn B&amp;B for a King room. Wasn't expecting much to be honest, as normally expect to pay double that for London midweek. Was pleasantly surprised - very clean medium-sized room, including good shower and full size fridge. Friendly staff on reception and concierge accepted luggage to be stored on arrival and departure. £12 taxi to Leicester Square, 15 mins by tube (2mins walk Gloucester Rd). Breakfast was reasonable, bar a bit small and lacking atmosphere. Would certainly stay again.	
May 9 2009 	Highly recommended for its price and location!	Just had our holidays in London from 25th April to 3rd May. ( 8 nights)Had actually wanted to book Glouscester Millenium Hotel around the same vincity. I had stayed with them on all occasions when I was in London so I kinda of like the location. As they were booked and the remaining rooms were grossly over-priced, I decided to go with Park International Hotel for less. I booked a room with King size bed as I have my 2 young kids with me ( 2 and 4 yrs old). They stayed with us using the same bedding therefore there wasn't any extra charges for them.The room is just big enough for 2 suitcases, with not much walking space. This is to be expected for hotels in Europe so we are not complaining.Considering the price we paid, I found it to be value for money considering the hotel is just 5 mins walk from the Gloucester Tube Station with breakfast included.The hotel provided continental breakfast which I find particular good for a small hotel. However, to aviod the crowd, please have your breakfast early as the guests tend to stream in about an hour after the cafe open in the morning. The room were being made everyday, except that they didn't change the bedsheets on the last night that we were there eventhough a big obvious milk spilled patch was on the sheet. The room has boiler for tea-making facility and standard tv programs. Internet is available at a fees.They staff were friendly enough, but not very knowledgable. However, they found out the information that I needed from the internet ask inform me when I walk past the reception later. Well done!I would recommend this for the hotel location and competitive pricing!	
May 8 2009 	Comfortable room - don't go for the food	The room was fine and the bed very comfortable - I had a good night's sleep. Not too noisy even though my room looked over the Cromwell Road. The bar is a bit weird - patio-style furniture arranged in front of a big TV. The breakfast was not great - bit of a free-for-all at the buffet and the cooked breakfast was not nice. Great for a quick stay but go out for breakfast.	
Apr 5 2009 	Would never stay again	We stayed at this hotel in September of 2008. Arrived late about 11:45pm and immediately were very disapointed at the checking in. The clerk never smiled and never even made eye contact. The room is not inviting and had a smell. Feels like the cheepest motel in the USA.They also made sure to repeat several times that our breakfast is not included , sinse we made reservation on the internet.But the worst experience was when we asked them to order as a cab to Victoria station. The concierge told us that the ride will be 25 pounds. But when driver of the cab dropped us off ,he demended 35, and would hear nothing. He also dropped us off 3 blocks away from the entrance , and we had to shlep our cases without even a buggy. That just shows how indifferent and ignorant the staff was . They just didn't care. If you don't have you breakfast included in you deal-don't eat there. You will find cheeper and better food outside. The only good part , that it was very close to the underground station	
Mar 2 2009 	reasonably priced	I stayed at the Park International for a mini break from February 21st to feb 24th. I chose this hotel because I had stayed there some time before and had found it excellent. I must admit that even this time it was not disappointing, only a little older and in need of an upgrading and updating. The twin room we were given on the 4th floor was away from the hectic Cromwell road traffic. The bathroom was big enough for two people and clean. The beds were comfortable even if the pillows were too high in my opinion. The floor was creaky at times. The mini fridge in the room proved very useful at night when we needed some cold drinks. No LCD or Plasma TV in the room. The continental buffet breakfast was just as I remembered it with a large selection of foods and beverages.The hotel is very centrally located, just a couple of minutes walk from Gloucester Rd tube station and the Museums; about 15 minutes from Harrods and Hyde Park.	
Feb 28 2009 	won't go back been to better.	Picked this hotel for location as we have stayed in this area before, but the hotel we wanted was fully booked so we chose this one.The reception area and staff where the best part of the hotel. We where given our room on the 5th floor right above the front door of thehotel,which was ok we thought, but as the air con was rubbish and we where constantly boiling, if we wanted the window open for some air you couldn't sleep for traffic noise. Breakfast wasn't worth getting up for, as there wasn't even tables for everyone and they ran out of food the two mornings we did go down.Ww didn't go till about 9 and breakfast was served 7-10 and they still ran out and of clean cutlery. If the reakfast staff where any slower you would think they where dead as they had no expression what so ever. The room itself was clean but very basic. small bathroom and the shower pressure was crap, especially if you have long hair to wash as i do. N ot far from the tube which was ideal if you like to use it. The millenium glouster is much better and not much difference in price.	
Feb 24 2009 	Ok for a quick stop off!	I found this hotel to be everything I needed for a two night stay in London.The location is really great, especially if your travelling from Heathrow. You can get the piccadilly line straight from the airport to Gloucester Road tube station along with the circle and district lines to pretty much all of central London . The hotel is very conveniently located 2 mins walk round the corner from the station also.The area around the hotel is also perfect for a trip to London. Numerous coffee shops, burger joints, restaraunts and newsagents come in handy seen as they are so close by.The hotel staff I found to be very polite and very helpful upon my arrival. I was checked in no problem and was informed of breakfast times etcWhen I got to my room I wasn't bowled over by how amazing it was, it was a very generic hotel room and not overly spacious but still was very comfortable and had everything I needed for my stay (TV, Coffee and Tea, Kettle etc) My only main issue with the hotel was my bathroom. I opened the door and the smell was completley horrific! There must have been a SEVERE drain issue cause the bathroom just stunk of rotten egg! I didnt have time to say anything as i had to make a quick dash out again and had completley forgotten about it until i got back in the evening.Even though there was a smell of bad drains in the bathroom I didn't report it to the front desk which is my bad, but i simply didnt have time, but if i was staying any longer than I had done it would certainly have become a problem.Overall I found this hotel to be comfortable, convenient and with friendly helpful staff.... would recomend for a 2-3 day stay but not much longer!	
Jan 14 2009 	Great value for money !!!	Stayed at the Park International Hotel from the 6th to the 8th Jan. After reading some mixed reviews I went ahead and booked 2 nights at the Hotel. Unlike some of the reviews myself and my partner had a fabulous stay, the staff were friendly and helpful, the rooms were clean and beds comfortable and the price was only 61 pounds....bargain!, which is very good for London I think! . Also the location was awesome ! Just 2min walk you have access to the tube network (Gloucester Road Station), where you can easily get to the centre of London in 15min and Heathrow in 45min without changing lines.I read the review regarding the credit card charges and think the guest may have been mis-informed. Upon our check out we were offered to pay in $Canadian or British Pounds. As the exchange rate was very good we opted for $CAN. The best thing is that the amount that was on our slip, was the amount on my bank statment, so no hiddden bank charges. (As you know the exchange rate can increase and decrease whenever).Overall I really enjoyed the stay and when I return to London I know where to book	
Jan 12 2009 	Shockingly bad	The service I received there was shocking. 1. When I arrived there at midnight I had to sit in the hall for half an hour before being checked in (first they couldn't find the booking, then apparently they had a problem with their computer...).2. They gave me a room with no heating at all (freezing), so I had to go back to the reception desk to ask for another room (which was only slightly warmer...possibly 15 C)....3. ..when I went to the bathroom the toilet was dirty (!). Since at that point it was already 1:30 in the morning, and I was exhaused I just went to bed with all my cloths on to keep me warm.The next morning, when I complained for the overall standard, they were very dismissive and no apology or reimbursement for the discomfort was made. So, basically they DO NOT CARE about the customers.	
Jan 1 2009 	beware check-out scam for US visitors	Stayed at the Park International, Cromwell Road, London. Upon check out (12 December) we received our bill in GB Pounds. We paid with our Master Card. The receipt gave the amount in GB Pounds and also in US Dollars, which I thought was a bit strange. After we got home I did some checking. Although I was billed in GB Pounds and expected to pay in GB Pounds with normal Master Card bank conversion rates, that hotel has an arrangement where they use a US agency and the charge is in US Dollars (no conversion fee). The scam is that they use an exchange rate 7 percent higher than the bank rate (1.55 vs. the bank rate of 1.48 for 12 Dec). I'm not sure this is legal, or if it is it's surely unethical. And while our overcharge was only about US$65, considering most of their clients are from the US and pay by credit card, I expect they get a pretty good take from this scam.	
Dec 28 2008 	An Affordable Room in a Nice Area of London	If you're looking for a decent hotel at a reasonable price, you can hardly do better than The Park International. Our room was clean and quiet (3rd floor in the back, away from Cromwell Rd), snug but typical European size. Staff was friendly when addressed, but not keen to go out of their way to assist. The free breakfast buffet was satisfactory. Mostly, we liked the location. The tube was a brief 2 minute walk east, ready to take you anywhere in London. There's a shopping area close by, complete with a grocery, drug store, and restaurants. If you feel like walking, Hyde Park, Kensington Palace and Harrods are near. I highly recommend taking in afternoon tea at The Orangery (adjacent to Kensington Palace Gardens - Do not pass up the fruit scones!). All in all, a pleasant experience.	
Dec 14 2008 	Decent for a quick stay.	My mother and I stayed at the Park International for 2 nights in October 2008 for a quick trip to London. For the price, I feel like the hotel was just about right. Our room with 2 twins was average sized for Europe, and it had a decent en suite bathroom with a tub/shower, a mini-fridge, and a small TV. It was decently clean, but it was in need of renovation. Most of the hotel did smell old and musty, but London in general is old. The hotel staff was helpful, the public areas were nice, and the breakfast was pretty good. It was about a 5 minute walk to the Goucester Road Underground station, which was very convenient. Being so close to the city center (one stop over from Victoria Station) was very nice, as well. There were some nice little cafes and a shopping center by the Underground station. The Park International is definitely not anything fancy, but if you're mainly going to be out during the day seeing the sights, and you want somewhere that's decent and well located, I would recommend this hotel.	
Dec 5 2008 	Great Spot at Gloucester Road	This is a great hotel that is clean, affordable, and has a large room and bathroom for London. Request room 218 as it was in the back of the hotel overlooking a large courtyard. Super-quiet and away from the heavy traffic of Cromwell Road just outside.	
Nov 10 2008 	Worst Hotel Ever!!!!!	Myself and a friend booked a &quot;Kingsize&quot; Room in the Park International Hotel where we stayed for 3 Nights!Kingsize room? I dont think so, big bed in a Tiny room more like. We're not big girls thank gos, cos if we were we wouldnt have been able to fit around the bed!!! We werent expecting luxury but the place wasnt even clean. The rooms were old and smelt damp, the staff were uncooperative, by accident we left behind money, keys and vouchers in an envelope - it took us over one week of constant phoning to even get someone who could understand us, and then another week before the keys got returned - without the Euro's and the vouchers! Did I mention, after not returning the Money, they actually charged me for postage????When we checked in, we were told our room included Breakfast which we had on the first morning (absolutely terrible by the way - the only good thing on it was the juice!), on the second morning we went for in again and were chased across the breakfast room by some screaming woman saying we hadnt paid for it - oh my god mortified! It wasnt worth it anyway, but a bit of common decency and curtosy wouldnt have went astray!I could complain all day about this hotel - I have staying in Hotels in almost every European Country and this was by far the worst ever. 3 Star?? I wouldnt give it 1 Star!	
Oct 27 2008 	beware of the basement rooms	Had made booking online sometime before my travel for a single room for 4 days. The room they allocated for my stay, on the lower ground floor, was small and uncomfortable. After being in the room a short time and tripping over a few times, I had requested (that night) that I be changed - but was told they couldn’t do it (no real reason given). I had one of the most uncomfortable sleepless nights, it felt like I was in the subway as I heard and felt every train that passed by on the district line. Early the next day I again requested that I be changed as I couldn’t not see myself staying in that room for the remainder of my stay - I was prepared to move to another place. This time a more suitable single room on another floor was found. Apart from that the place was okay, you get what you pay for - but it should be something better than the subway.	
Oct 9 2008 	Average hotel	Park International hotel was OK overall. We had a quad room, so it wasn't too terribly small. Even though the hotel has been updated, it still had an &quot;old&quot; feeling. The air conditioning and phone were not working in our room and it took a few calls to the front desk to get them fixed. The location was great, only a 3 minute walk from the Gloucester Street tube stop which connects 3 important lines heading into London.We had the breakfast one morning and it was alright, but it was not included in our booking through hotels.com so we had to pay for it. If it was a free continental breakfast, it would have been quite good. I would recommend this hotel for people who aren't looking for a luxurious modern hotel, but just somewhere decent to sleep while exploring London.	
Oct 1 2008 	Nice hotel for the price and location	Stayed at the Park International for business at Earl's Court. This area of town is filled with expensive, shabby tourist hotels. The Park International was definitely above average. There was a refrigerator in the room, which was nice. it is 2 blocks from the Tube and halfway between two supermarkets. Had a package that included breakfast, but only tried it once as the offerings were &quot;Hampton Inn&quot; fare and not up to my tastes. The staff was extremely helpful and really went out of their way to make our stay successful. There was a problem with the in room safe that they fixed quickly and they brought an iron to the room quickly as well. If the price were right, I'd definitely consider staying here again.	
Sep 29 2008 	Not bad not great just OK	I booked three rooms at the Park International for a trip to see some football (soccer) matches in London--2 twin rooms and a king size room for 4 nights. I stayed in the king and my traveling partners stayed in the twins. The king room was small, even for a single traveler-I'm used to rooms at business class hotels in the US and this room was quite a bit smaller but if you don't plan to spend a great deal of time in the room (and we didn't), it will work fine. The twin rooms were much, much smaller and I wouldn't have been comfortable staying in one. If you do, be prepared for very close quarters. The breakfast wasn't great but managed to do the trick. It was certainly nothing special but we weren't staying there for the food. The price of the rooms was reasonable-I compared several hotels and it was the best bargain in the area, at the time. The hotel was clean and my room was made up every day to my satisfaction. The room safe didn't work and the clerks at the front desk weren't much help in that regard. I did have a hard time regulating the room temperature-it was cold during our trip and my room was consistently too warm. Opening the windows did help but the traffic on Cromwell Road will be loud enough to wake you earlier than you might want. The very best thing about the Park International is the location-very convenient to the Gloucester Road tube station, Harrods, and many other tourist attractions. We found it to be a very convenient location from which to base our travels. There are restaurants across the street and around the corner, closer to the tube station. We'll be returning this spring and while we plan to stay in the same general area, I doubt we'll return to the Park International. We want something just a bit nicer and while the Park International would do in a pinch, it won't be our first choice. Don't expect a luxurious stay but do expect a small but reasonably priced (for London) room in a great location.	
Sep 14 2008	Average	The hotel was adqeuate and was exactly as described. It was considerably cheaper than any of the other hotels I researched in London, and you get what you pay for. London is a very expensive city in every regard. The hotel is very central and the tube is a couple minutes walk in addition to two grocery stores being minutes away. There's also a very convenient Internet cafe directly across the street.The hotel was very clean and our room was always cleaned every day in addition to new sheets and towels each day.I have allergies that usually just act up in the Spring or around cigarette smoke, and the hotel bothered mine really bad. The last few days of my stay I was constantly coughing and blowing my nose when I was in the hotel. They consistently cleared up when I left the hotel to go out and about. So if you have allergies or asthma I don't think I would recommend you stay here. To me, it seemed like the room had once been a smoking room and turned into non-smoking.When I go back to London, I think I would pay the extra money to stay at a different hotel - there's a huge Holiday Inn a block away that is much newer and modern.	
Sep 8 2008 	Wouldn't stay at the Park International again	We stayed there for three nights. I wasn't expecting wonderful but I was expecting clean. The hallway smelled kind of musty. In our room, the carpet was worn and dingy (spills and dirt) and the room was teeny. There was not a top sheet on our bed. The duvet cover was the sheet and I just tried really hard to not think about whether it had been cleaned and changed before we arrived. The location was very good. It was a quick walk to the tube station but we didn't want to hang out in our room. Next time, I would spend the extra money to have a better experience.	
Aug 19 2008 	Park International - convenient adequate	My family (2 adults, 1 child) stayed at the Park International for a week in August 2008. Based on the price and other TripAdvisor reviews, I expected the hotel to be &quot;fine&quot; not &quot;fabulous&quot;. The room was moderately priced by London standards (not US). It was as expected: convenient, adequate. Our room was a triple with a comfortable king and a single. The room was clean and everything in working order. Note to anyone with a bad back or limited leg mobility: the bathtub wall is high by US standards and requires a bit of a high leg lift to get in and out. Our room faced the busy Cromwell Road but the windows offer good noise protection. Keeping the windows shut was no problem because the room's air conditioning worked well. The staff was helpful.Geographically and price-wise, the Gloucester Rd area is between Earl's Court (lower budget hotels and eateries) and South Kensington (higher budget hotels and eateries). The nearby Gloucester Rd underground stop gives convenient access to District, Circle, and Picadilly lines. Buses (both tour bus and public) stop nearby.I would recommend the Park International to travelers who want a decent room in a convenient location.	
Jul 25 2008 	nice surprise	We stayed in May 2008 for 4 nights at the Park International Hotel, Kensington and were pleasantly surprised to find a quite reasonably priced Hotel in the middle of London. It's in a nice neighbourhood with many affordable Restaurants close by. There are also 2 very large Supermarkets within 5 min. walking distance. Glouster Street Tube is also only about a 5 min. stroll away. The Hotel is old, but nicely maintained and has a real English feel about it. We payed a little more and stayed in a room with king size bed (aptly called Kingroom). The fridge was quite large. Tee or Coffee making facility in room and windows that actually open up. Our room was to the street, but traffic noise didn't affect us as we were on the 3rd or 4th floor. Bathroom was quite small but everything in perfect working order and clean. Buffet breakfast was included in the price and quite sufficient. Staff was on the whole very friendly and helpful. Would definitely stay there again.	
Jul 12 2008	Needs updating	First room was in the basement with no real windows, dirty and worn carpets, and intense smoke odour. Told there was no other rooms. When I returned to desk and told them I was leaving unless another room could be found, we were moved to a 3rd floor room that was adequate. Needs updating overall. Appears to be mostly frequented by student groups and tour groups.	
Jul 6 2008 	Perfect for single traveller	Enjoyed my stay here very much. Had a single room -- it was tiny, but that was part of its charm. It was cozy, clean, comfortable and quiet (my room overlooked a quiet residential street behind the hotel). All the staff I encountered were very friendly and helpful. The hotel is in a good neighbourhood and very close to the Underground. The building is old, but well kept, clean and quite modern. There is an Internet cafe directly across the street. Breakfast was decent -- croissants, cold cuts, cheese, yogurt, cereals, etc. Overall, a very good value, considering the hotel's good location within an expensive city. Would definitely stay here again.	
Jun 23 2008 	Great stay for the price!	Was in London for just a few days for this trip. I am a frequent visitor to London. The 4 star hotel in this Gloucester Road neighborhood where I usually stay was booked. I warily booked my accomodations at this 3 star property, and was pleasantly suprised. My room, average size by European standards, was quiet, clean, and the AC worked exceptionally well. Bathroom was clean and spacious, and plumbing worked adequately. Breakfast selection was quite good, offering standard continental fare, but eggs, bacon and beans as well.Great location, only 2 blocks from the Gloucester Road Underground stop.	
Jun 17 2008 	OK Hotel - NO A/C	Hotel is old and the air conditioning does not work properly. They tried to fix it but finally admited that the hotel is very old and that many ac do not work. try to avoid the fourth floor as no A/C worked but the ones on the third floor worked great. (My brother had a room on the 3rd floor. Other than that, the hotel provided us with a great place to stay. Loved London!!	
Jun 11 2008 	Good Value for Kensington	I stayed in a single at the Millenium Bailey's in my last trip, but the room and bathroom were so small It was an okay stay. Therefore, I booked a King Sized Room for the same price at Park International and I have to say, it was much better.	
