	Almost Perfect...	I was in London on 21-24.11.2009. We stayed in Premier inn which is situated in center of London (50m from London Eye and Big Ben). They have unconventional reception which is very good (you can check-in on check-in machine if you want to, so there is no waiting). We have reserved twin bedroom but we have got a extra large bedroom with one double bed and one bed extra!!! Great!!! Room was perfect. Extra clean with nice and clean bathroom, flat TV, hairdrayer, cofee machine...Breakfast is so good that I can't describe... Full english buffet breakfast... planty of everthing... no more words... One and one only thing which has not been OK is that shampoo in our bedroom stayed empty for all three days. Definetly I'm going again in Premier inn...	
Aug 25 2009 	Fantastic value big room great location 	Stayed here in a family room for 4 nights in August 2009 with children aged 14 &amp; 11. Staff were extremely efficient and pleasant but didn't bother us unnecessarily e.g. housekeeping was speedy &amp; unobtrusive, staff printed our return boarding passes for us and check-out took all of 6 seconds. Staff greeted us in the corridors &amp; at breakfast &amp; explained breakfast buffet very clearly. Hotel room &amp; bathroom were of a fantastic standard, were spacious &amp; looked like they had never been used before! The hotel building itself is lovely &amp; forms part of a bigger block incorporating the Dali museum &amp; London Eye offices. Double-glazing was very effective in shutting out city noise. Breakfast was varied, plentiful, hot and tasty. The County Hall location is great as it's very close to Waterloo tube station &amp; there's plenty of life all day &amp; in the evenings around the London Eye, Westminister and Southbank areas e.g. street performers, bars, restaurants, nice walks. We will DEFINITELY stay here again.	
Aug 24 2009 	Consistently good but needs air conditioning	I've stayed here a few times on business over the past couple of year and have always found the rooms clean and comfortable and have enjoyed a good breakfast each time. On the most recent visit, the room was too warm (around 26C) and the chambermaid had not left the window open. The hotel had provided a fan which improved matters slightly, but some proper air conditioning would be good. The rooms are surprisingly quiet even the ones overlooking the street. Very convenient for Waterloo station, the London Eye, Westminster Abbey etc etc.	
Aug 22 2009 	liked it good value good for kids close to tube london eye	We stayed here as a family of four. Cost us about 120 pounds. we found that to be a good value compared to other hotels in london, especially with the two kids in tow.excellent location next to london eye, close to the tube, breakfast is good deal as kids eat free, and it's all you can eat buffet style, quick and easy. Kids enjoyed buskers close by at london eye. I like being walking distance to globe theater. Rooms were in very good shape. No air conditioning when we stayed, and london was having a hot spell, but fans in room. I&quot;ve had good luck with this chain, I stayed at one of their hotels in doncaster a while back. Only complaint, elevators were slow, and you weren't allowed to take the stairs for some strange reason. wi-fi was expensive. but I would definitely stay here again.	
Aug 12 2009 	Under the London Eye	London is expensive! This is one of the few chain hotels available. They are right close to the London Eye, Big Ben, Westminster Abbey, the Thames and within walking distance of many other attractions. London is easy to get around in using the Underground-so you are within reach of everything. The rooms were clean, the restaurant food was very good. We felt breakfast was a little pricey tho, so went across the street for a less expensive breakfast. Also a nice Italian restaurant is catty-corner. The staff was great and very helpful. They had wifi-but it was not free-I didn't like that part. All in all tho, a very pleasant stay.	
Aug 11 2009 	Good hotel Excellent location	Spent 3 nights here on a sightseeing trip with family.Excellent location, on the banks of the Thames, within walking distance of London Eye, Big Ben, Westminster Abbey, Buckingham Palace, Trafalgar Square, and Waterloo and Charing Cross stations, and piers.Very friendly and helpful staff.Comfortable rooms, no frills hotel. Note: no airconditioning, no alarm clocks in rooms.	
Aug 10 2009 	great value for money in super location	This hotel is ideally located. It is right beside the London eye, minutes from big ben and short walks away from all the major locations. Other hotels may offer more, but I'm sure at a much greater price. Simple, no frills, for value for money this hotel cannot be beaten. I arrived with wife and 2 teeenagers. The room was immaculate and looked like it had been recently refurbished. All staff were extremely friendly and helpful. We included breakfast in our package and I'm pleased we did. Buffet style with all the usual options available and to a high standard. We also dined in the restaurant at evening and the quality of food and service was superb.	
Aug 9 2009	FantasticLocation. Family-Friendly base. Reliably clean and comfortable.	Having travelled to London 4th August 2009 with my two young daughters (7yrs and 9yrs) I was suddenly faced with the position of having no accommodation that night due to double-booking,(another story...) We were at The London Eye and I was able to go to the Premier Inn behind County Hall, to see if they could help. I received all help, attention. and suggestions for my case. My daughters have special needs preventing travel on the underground and so the staff shortlisted my options with Premier Inn.A lucky cancellation just at that moment meant that we were able to stay right there and I'm very glad we did. The main staff, I have to thank are Lennie and Eve who did a fantastic job and went out of their way to help. I noted that all the staff were courteous and always said 'Hello' with a smile.The room was very spacious, clean and comfortable, along with a pleasant view of the Southbank.. The bathroom again was surprisingly large, spotless and new? The beds were comfy and all mod cons were there and functioning. Only one small point, as another reviewer noted, the doors were extremely heavy and so needed a hard shove to open. My girls have weak limbs and wedged the bathroom door open with a towel! but it wasn't a problem...The management had already noted the heat and due to a lack of air conditioning, had provided fans. (my girls liked the Ben and Jerry's Ice-cream vending machine in the lift area)!The Location is ideal, as Westminster Bridge easily leads to many of the sights. Big Ben, The Thames and The London Eye all lit up on a warm evening takes some beating.Children were well catered for and ate breakfast for free.The dining room was busy, but it was efficiently run and the well cooked &amp; presented food just kept coming... A wide range of tastes catered for and as much as you like. fruit-salad and muffins for breakfast lovely!.As we left, we passed Lennie who immediately wanted to know that all had been well, very nice. We felt relaxed in a busy city and for this reasonable price , I can't wait to go back.	
Aug 7 2009 	It was so great in March I have booked again for a special Christmas 09 visit!	Sorry for late review, but having checked other opinions, wanted to add my thoughts.This is a wonderful hotel. The staff are quite the most friendly and helpful you will ever find - I have not had this level of attention in a 5 star! We are going back in December 09, and I am delighted to discover, that so far, everyone else who has stayed there seems to be of the same opinion!Wonderful location - I can't recommend it highly enough. It is within easy walking distance of theatre land and is so romantic, being right on the river, near Westminster Bridge and the London Eye is within one minutes stroll!It well exceeds its class and many so called &quot;luxury&quot; hotels could learn a heck of a lot from the Premier Inn County Hall.I wonder how the company generates this excellence in staff attitude and customer service, and if the manager of the hotel reads these reviews, I would be interested in how they do it and hope management pass on my sincere compliments to the staff. I am hoping it's because they are a good company to work for. Whatever it is - it is working!You will not regret your stay at the Premier Inn County Hall!	
Aug 7 2009 	Will definately return	Stayed here for 3 nights and have nothing but praise. Location was fantastic for all the sights, we could see the London Eye from our bedroom. You know what you are getting with a Travel Inn and yes, it can be a bit bland, but it takes the worry out. Very quiet considering the location and we ate at some of the eateries opposite the entrance. Good value for money.	
Aug 4 2009 	You won't find a better located or staffed family hotel in London!	Stayed 2 nights kids first real visit to London (although we have stayed here in the past). Room large and comfortable, good views across Thames and South Bank area (unexpected).Service Excellent every member of staff had a smile and greeting (unlike many of the more expensive hotels I,ve stayed in) special mention for Lenny who helped look after our bags on final day of stay (Free of charge). Breakfast better than the more expensive chains and once more service excellent and despite busy time no problems getting food or seated.Good transport very close pick up points for 'Original Bus Tours', 'Big Bus Tours' &amp; 'Duck Tours' as well as London buses and directly opposite Waterloo Station &amp; Tube also Taxi rank outside hotel. In same building are London Aquarium, McDonalds, London Eye and Marriot Hotel (much more expensive), plenty of bars and restaurants in vicinity (South Bank area lively). You can't go wrong especially in this price range.	
Aug 3 2009 	Brilliant	Travelled with husband and 6 year old daughter, booked through London Eye website. Hotel is in brilliant position, literally 2 mins from the London Eye, 5 mins from Waterloo underground station.Room was large and clean - spotless bathroom, comfy beds.Staff were really helpful and friendly.Able to drop bags off and go off for the day then check in later. Bar was nice - plenty of families staying there.Breakfast was outstanding! Loads of choice from hot cooked food to fresh friut and cereal - and you can have as much as you want! Tea, coffee and fruit juice on tap. Really good value for the money.Would stay again next time we hit London town.Go and see for yourselves..	
Aug 2 2009 	Location superb amenties sub par	Booked 2 family rooms for two nights. Rooms spacious, amenities hostel like, staff OK. However, we booked from the premier website where it lists premier hotels with amenties like AC and toiletries but this location was explained to us that since it was a historic building, it does not have AC and, with it being in a loud location (central to all), it was difficult to sleep. They gave us a few fans but did not apologize for the misadvertising. Bfast was good, the rooms were clean but for the money, Elsewhere bargains can be found with a little research. However, the location cannot be beat!! Love London and Love England!	
