	RUDE STAFF REPULSIVE ROOM. NO CUSTOMER SERVICE. AVOID AT ALL COSTS. WORSE THAN A HOSTEL	This hotel has the rudest person in a customer service based job that I have ever had the misfortune to encounter. She lied, she accused me of lying, she was obnoxious and completely incapable of working in a hotel reception. No people skills and quite clearly no ability to deal with a genuine complaint. In our brief time at the hotel I hoverheard 4 seperate people making complaints about the facilities.We had booked 3 double rooms for a family break, as we were travelling seperately the others in the party arrived before my partner and I and had booked in. When we arrived we were told by the 'receptionist' that they did not have any double rooms left and that we would be in a tripple, she said that if we came down before 12pm the follwing day we could change our room to a double, we reluctantly accepted this, and made our way to the tripple room. The room was not what we would have expected from a travelodge (see photos). The bathroom was dirty and had dirty towels that had not been removed, there was a hole in the bathrooms door, the grout around the bath and sink was grubby, there was dry rot in the skirting and a disgusting brown build up of something unidentified around the join between the toilet and tiles, we had no soap, the plastic disposable cups had clearly been used by the guests before us (toothpaste stains etc) The dressing table/desk had no chair, there were what looked like brown liquid stains all over the walls from top to bottom (god knows what happened in that room?!?!) there were what looked like either vomit or hot chocolate stains down the side of the tv unit and finaly there was mould around the window. DISGUSTING. AVOID AT ALL COSTS. THE PHOTOS POSTED BY OTHER REVIEWERS ARE NOT REPRESENTATIVE OF ALL THE ROOMS IN THE HOTEL. ONLY SOME OF THE FLOORS HAVE RENOVATED ROOMS.As suggested the night before we went to reception to ask for our room to be changed, The receptionsist (a different one) said that this was fine and told us to pack our bags in preparation for the move. We were told to come back in the afternoon and our double room would be ready. When we returned the original rude receptionist was back on duty- to cut a very long story short - our double room was not available, she denied that the person we spoke to in the morning even existed, then when countered about it she said the woman didn't work there!!!! She denied that she had told us when we checked in that we could swap rooms, and basically accused me of lying and making it all up. The hotel was overbooked so our option was to stay in the room we had or to find another hotel. It appeared to be ok for the hotel to give someone else the double room we had booked and paid for before arrival but she refised point blank to give us a double room that someone else had not yet booked into even although it meant splitting up a party of 6 . In the end two of us had to move to another hotel. She arranged for us to be picked up by taxi and moved to another travelodge. As it turned out the taxi was unmarked and the driver dropped us off 10mins away from the travelodge. We had no idea where we were going and had to hail a black cab to take us there. When we got to the second hotel they had no record of us being moved! We had to wait an hour before the deputy manager was able to give us a room. He had to sort out the mess. I am not fussy, I expect a room of the standard that is being paid for, we paid £59 per night (room only), cheap by London standards. I was not expecting a palace but I was expecting to get a double room, get a clean room and have staff treat me with a bit of respect and dignity as a paying customer.	
Oct 6 2009	A great budget hotel	My classmates from Norway and I spent three nights at Travelodge Kings Cross Royal Scot in London. It turned out that the hotel was much better then I first thought. It was very accesible, with only a few minutes walking to the nearest metro station. The prices at the hotel was affordable, we did not pay much for three nights. The staff was kind and helpful. Even tough the rooms were small, I think they were very cosy .I got a good impression of this hotel. Also, we could use the restaurant at the hotel as we liked, without having to buy food. We sat there and played cards and talked for several hours. I think that Travelodge Kings Cross Royal Scot is a really great budget hotel!	
Oct 6 2009	Good choice if you travel on a budget	I stayed here for three nights, and I’m not disappointed with my choice of hotel. I arrived with Eurostar from Paris, and I could easily walk from the station to the hotel (it took probably around 10 minutes with suitcases). The staff was friendly and helpful, and the room was nice and clean. The beds were comfy, and the bathroom was good. Not the largest amounts of space, but you get what you pay for. During the day and evening, I usually went out, so can’t say anything in particular about the hotel during daytime. I ate dinner in the restaurant one night, and the food was affordable and tasted quite good. The breakfast, as all the other breakfast I’ve experienced in London, were poor. I will recommend you to pay for full breakfast, because continental breakfasts consist only of toast and jam.	
Oct 6 2009	Three nights in London	A big hotel with lots of space. Help full staff and a nice restaurant / bar. Cleaning of the rooms was very. The breakfast was simple, with toast and strawberry. We got what we paid for. Location is not so close to the city of London, but metro, buses and taxi will get you where you want in no time! If you want to stay at a fine hotel, this should be one of your alternatives.	
Sep 29 2009 	Great Hotel	We stayed in this hotel from the 26th-29th September 09' I slept soundly (no alcohol) and did not experience any of the 'noises' that the previous reviewer mentioned. I had looked at Tripadvisor before leaving home and was a bit anxious reading all the negative reviews, however, we can only report good things about this hotel - check-in was excellent, staff were friendly, the rooms (although the decor was a bit poor )were clean and comfortable. I would book this hotel again and recommend it to others.	
Sep 28 2009 	Drink heavily to ensure abilityto sleep	I paid £50 for a friday night. Location brilliant for St. Pancreas. Pretty standard Hotel and rooms for a middle of the range Travelodge. Sadly I got absolutely no sleep due to street noise (inner windows did very little if nothing to quieten noise) and banging of doors above, below and surrounding rooms were akin to gunshots going off. I'm not someone who complains about noise as this was London on a Friday night so people are always going to be noisy but this hotel was the least relaxing night i've had ina long time. I got more sleep on the Eurostar the next day.I recommend this if you are one of the people who will be out late and just need a flat pace to pass out on. if you are in danger of being sober then please avoid this hotel	
Sep 28 2009 	Good location ok acommodation.	Not as bad as some of the reviews suggest, location good as Kings cross is a main Tube station. Maybe not up to the standard of regular travelodges. Room well serviced.	
Sep 22 2009 	Good value under £19 a night offers sometimes get!	I treated my friend to a one night stay here last weekend - managed to get room for £19 under one of there special offers. Great location as only 10minutes walk from St Pancras/Kings Cross Station. Went out for my friends birthday, and was ideal to just have centrally located hotel to come back to.Hotel is nothing flash but most travellers to London will spend more time out of there room than in, so therefore this makes the place ideal.Would recommend for one or two nights central London stay.	
Sep 10 2009 	Standard hotel convenient for Eurostar terminal	I seldom stay in hotels in the UK so I had little idea of what to expect from Travelodge when I needed, close to St Pancras International rail station, a reasonably priced hotel to lay my head before getting up at 04.00 for the first Eurostar to Paris.I was not disappointed by the Travelodge Royal Scot. It is a 10 minutes brisk wall southeast from Kings Cross station in a reasonably good, well-lit area. As other reviewers have said, it is a solid block, operating a production-line approach to check in.I stayed Tuesday night 8 September and prepaid £87 without breakfast. At the time of booking, their website said they were almost full. On arrival it felt like it!My room 2010 was downstairs off a side corridor from 2nd floor, and not that easy to find. It was compact, with a double bed, desk and chair. It had a kettle though I did not use it. The TV was the old bulky sortI did not find either a telephone or any alarm on the TV. So I relied on my mobile phone's alarm. The bathroom and toilet had a shower over the bath. I had not seen this design before and without a degree in sanitary equipment, I had great difficulty in working out how to direct water to the showerhead rather than bath tap.I did not have breakfast or use any of the services. The guests were a wide cross section from workmen to city types in suits.If I have another crack-of-dawn start on Eurostar I would stay again, but this most definitely is not an hotel in a tourist scenic spot!	
Sep 3 2009 	GREAT VALUE FOR LONDON	Just had three great nights in london in the travelodge.Like any travelodge the royal scot is basic clean,great location only 10mins walk from kings cross and if you book early you can get some great deals.When in london we spend all day and most of the night out so we dont need top of the range hotels.We also took aday return to paris on the euro star as again the travelodge great location.The royal scot as a resturant so do cooked breakfast buffey style which is just ok and if you are up early they will give you a pack up but not bad value.It also does basic meals as well,but there is alot takeaways just outside and small shops.We found the reception very helpful and frendly.We would use the royal scot again for good value.	
Aug 27 2009 	great room good price ideal base for london looking....	after reading the reviews i was concerned, but as we walked the ten mins from kings cross station and checked into our family room 331 which over looked a lovely little park called percy cross.... my concerns faded away.. the room had two lovely big windows, and was clean the bathroom was small but compact!.nice to have tea and coffee in the room.. i have never stayed this side of london and there wasnt much around, a nice italian restaurant was 2 mins walk away and ten mins walk in the opposite direction were several restaurants where you could eat outside, which was so nice, to do in london (the indian was excellent. )..breakfast was ok!...but they had no delivery of eggs two days running... but still charged the 7.50!.. ( children go free...). i would stay in this hotel again.....	
Aug 21 2009 	Wasnt too bad if your on a budget as a base to see London	Hotel - Old and a bit gloomy - rooms could do with a coat of paint. There was no air conditioning and windows were fixed so couldnt be opened any further. Rooms were of a reasonable size and on suite was fine. Rooms were cleaned daily. The doors seemed to be on springs and slammed loudly when shut making it pretty noisy. Lifts worked on and off ! Its just up the road from Kings Cross so a good location for the station and travelling round London.Staff were all very pleasant and helpful.All in all you get what you pay for would reccomend as a reasonable budget hotel in quite a good location to see London.Food wasnt very nice though, only ate there one night for convenience, breakfast was ok but a bit crowded.	
Aug 15 2009	Not a good advert for travelodge	I phoned travelodge to book a cheap overnight stay whilst visiting London to see Oliver in the West End. The location of the hotel suited our needs well as it was only a 20 minute walk to the theatre and as we were watching the midday performance we felt it was easy to walk there and back. The room was disappointing as I have stayed in Travelodge's before and always been satisfied. As mentioned most of the staff were foreign and this gave the impression of rudeness due to the lack of understanding. Our room was very cramped and the twin beds might as well have been a double as the beds were so close together. My bed felt like it was going to collapse each time I rolled over. The day we stayed was a hot day and the ventillation in the room was awful due to the fact that the window would only open about 2 inches. The worst was the doors to the rooms as you had to slam them to shut them, even if you tried to shut them quietly they banged. I was kept awake for a lot of the night by the doors banging in the corridor and the air conditioning unit for the cafe/bar.I'd recommend this to someone who wanted to have a cheap stay in London with a good location but would warn them not to expect much. Be warned that the hotel is just inside the congestion charging zone and to use the hotels, small dingy carpark you have to drive about 3 metres into the zone which means you have to pay the charge or be stumped with a heavy fine.	
Aug 6 2009 	CHEAP AND CHEERFUL AND HOSTEL LIKE	As above really. This certainly isn't for the romantics out there, but if you want somewhere to sleep(just) then I suppose it would do. We asked for a quite room approx 3 weeks before arrival so that probably helped but it was still less than peaceful but adequate. A/C was efficient in room, although it took us ages to find our room as directions on walls are limited. Lift area stiffling.Decor tired but the reception staff were very good. Continental brekkie typically basic and you have to be up with the larks to get it as it stopped at 9 instead of 10 as stated.Good location but try not to pay full asking price as you will be dissapointed-book in advance and you shouldn't have any probs - YOU GET WHAT YOU PAY FOR	
Aug 3 2009 	Needs a good clean!	I stayed at the Royal Scot a couple of years ago, whereby I got a deal for £29 a night and it was fabulous. Clean, basic, fresh rooms, but 2 years on ....My motto is &quot;you get what you pay for&quot;.... well I certainly did this time. I paid £34 for a twin room (which I got) for an overnight stay en-route to Belgium, near St Pancras Station.The bed was comfy, the linen clean, and the towels, but the carpet needed a good hoover, some kid had black hands and put hand prints on the walls near the tv. The tv did not work, did not even switch on. The skirting boards were 2 inch thick in dust, they had not seen a clean in months. The bathroom just passed for cleanliness.Disappointed. I use Travelodges alot and will not use this one again in London. Should have stopped at the Premier Inn just over the road from Kings Cross, that had good reviews and would have been worth the extra £30 or so quid to 'kip in a clean room'.Most disappointed!	
Jul 28 2009 	One of the worst hotels i have ever stayed in	We have stayed in many Travelodges over the years and have come to expect clean, basic, comfortable rooms. What we got here was dirty, cramped and noisy. Broken furniture, dust everywhere, mould and a cracked washbasin in bathroom, towels like sandpaper, damp patches on the walls, windows that did not close properly, no bedside tables and single beds so narrow you fell out if you turned over (we had booked a double room!). Would not have stayed if we had booked for more than one night.	
Jul 28 2009 	cheap and cheerful	I have stayed at this hotel before and picked it again due to its location and price. Yes it is an old hotel and the decor is a bit worn but for £69 per night for a twin room in central London I can put up with that. Can be a bit busy when the tourist buses arrive and I found it funny that the foreign travellers tried to get into the lift on the ground floor before letting myself and my son out of the lift first! Manners cost nothing. Good food in the restaurant and reasonably priced for London although it doesnt open til 5pm. Same goes for the bar. Breakfast time can get a bit chaotic with the tour people and if you dont want to pay the £7.50 there are plenty of good cafes within walking distance that are cheaper.Bedrooms are compact but big enough for the amount of time we spent in it. Beds are comfortable and the linen very clean. Bathroom is small but who wants to dance in it.Hotel staff are very friendly and polite and overworked.The only down side is the noise from guests slamming their doors late at night and early in the morning. I read that other guests said you had to slam the door to ensure that it closed. I found that I could close it normally without slamming and it locked ok.Would definately stay here again. Kings Cross Station is a 5 minute walk away	
Jul 26 2009 	Tired old hotel with a second wind as a travelodge	We used the summer sale offer to book in here for just £9 a night, and then you look at the reviews and think ahhhhh.... such a mixed bag. To be honest, for the rate we paid the hotel was fine and no complaints, but if I had paid a higher rate then I might not be as happy. The hotel is a farm thistle hotel and it has in all fairness seen better days. Whilst clean and tidy it needs some tender loving care and a fair few quid spent on it. Our room needed a good lick of pint and the furntiure needed to be repaired. The wardbrobe back was missing and the draws in the desk broken. we appeared to be missing a chair and a bin too, but again for £9 it was clean and tidy and had a soft bed and good sized bath room. No air con added to windows that tethered shut apart from the top inch meant it got quite warm in the room. No phone but a TV included some freeview channels. The previous hotel chain phone sockets etc were still about. The room had heating, well two boxes on a wall, one old on new.Check in staff were efficient but perhaps not of the smiley kind but this didnt effect the overall appearance. There is a bar and a small cafe room which doubles as trhe breakfast room which always seemed busy. To be honest we walked down to kings cross and used the coffee shops down there. Would i go back again? Well yes if it were £9 but if i had paid any more then I might not hjave been as positive. Backpackers or thew yound may well love the cheapness.	
Jul 26 2009 	great location basic but clean hotel	not as bad as other reviews would have you believe.Yes it's old and basic but the rooms are clean with comfy beds, tea and coffee making facilities, small but clean en suite with very powerful shower.10 min walk to Kings Cross, St Pancras stations, so location is execllent.Cheap and basic but you definately get your moneys worth.	
Jul 25 2009 	great value for money esp for central london	great location 10-15min walk to kings cross station, clean, spacious rooms, friendly staff. TV with remote control. Extra tea/coffee and towels available on request.I stayed over with my sisters we all enjoyed our stay with travelodge and would come again.negatives can only check in after 3pm and no storage room available, so unless you are travelling light it might become troublesome.Would I have stay here again-- Yes	
Jul 16 2009 	Dreadful	An awful rundown property in an unattractive area close to Kings cross. This is a blatant example of budget chains using the &quot;no frills&quot; excuse for shoddy housekeeping and a complete lack of renovation. From unsmiling reception staff to ancient beds, dirty carpets and decade old paint jobs, no TV remote, no tea and coffee in the room, bathroom furniture literally falling of the wall and smelly curtains, this is an awful hotel. If you wnat this standard then stay at a backpackers hostel for half the price. If you want budget and quality, pay a little more and stay at the hotels of this chains close competitor. Disgusting&gt;	
Jul 13 2009 	I'll be back	Despite reading some off the reviews on here prior to travelling i arrived with an open mind and can say that i was not disappointed at all Firstly - Value for money.We booked 2 nights (sat/sun) and paid on only £87 between two of us which for central London i thought was very reasonable although breakfast wasnt included we did have breakfast in the hotel in Sunday (£7.50) which was adequate and seen us through to lunch.Secondly - Location We booked this hotel in the first instance because of its location, closeness to the tube and local buses into central london, This hotel is litterally 5-10 minutes walk from Kings Cross / St Pancras Int, and there buses into central London from outside Kings Cross every 2-3 minutes during the day and many night buses also serve the area so public transport access is excellent 24/7, The hotel is also with walking distannce of central London we walked to Tottenham Court Road in around 45-50 minutes.Third - The Hotel GenerallyThe hotel I though was excellent although the only negative point is that some areas could do with a lick of paint, but otherwise everything was brilliant. As a previous review has stated this hotel is used by quite alot of tours so some times the reception / bar area can feel crowded but generally this is sorted as quickly as possible.The staff were all extremely helpful and couldnt do enough to ensure we had a pleasant stay, The hotel also has a strict no smoking policy (in line with the ban on smoking in public places) and this is rigurously enforced by staff with a fine of £150 for anyone caught smoking in their room.The room we booked was described as twin and was adequate although the bathroom was tad on the small side but we were only using the place as a base and somewhere to sleep. The hotel bar is open from 5pm till 1am daily food served till 10pm and for central London was quite reasonbly priced, although there are many bars and fast food outlets around the hotel.All things considered I would definatley recomend this hotel to anyone looking for a central London base for their stay in the capital.Two Top Tips1) book as early as possible to get the best deals our stay was £55 for the Sat night and only £32 for the Sun night so bargains are there to be had.2) if your travelling round London, consider getting an Oyster card from Transport for London which gives discounted tube travel, or simply get a travel card as these can be considerably cheaper than paying for seperate journeys (cash fare between two zone 1 stations cost £4.00 single, but only £1.60 with an oyster card, and a zone 1-2 travel card cost £7.20 making oyster cards or travel cards much cheaper for multiplr trips in anyone day.	
Jul 6 2009 	Not what you would expect from travelodge	Have used Travelodge many times before but this one the worst.Reception staff friendly and reception area clean enough, the room though needed an overhaul, bathroom terrible, mould in the bathroom &amp; not really as clean as it should have been, a broken bed. room previously used by a smoker although it was non smoking- the smell remained. - dismal room really. Corridors dark &amp; dismal and need a good vacuuming. I couldn't really recommend this one.	
