	Excellent location disappointing hotel service	I stayed in this hotel as a solo traveller, I was visiting various friends in London, The location of this hotel was excellent, right next door to warren street station, &amp; within a 5 min walk of Euston &amp; Euston Square. Unfortunately warren street was closed for maintenance for the weekend, but Euston square is a 2 min walk. On first impressions I thought the hotel was reasonable value for money. But that night my single room which was small &amp; perfectly adequate for me was Freezing! I turned the thermostat up in the room, did not work, there was a huge window which had a blind but the cold draught could be felt. I was so cold that I could not sleep properly, in the morning I reported it to reception who seemed very flustered with the people coming &amp; going. I went for breakfast &amp; had to wait 20mins to get a table, with the lady seating me saying it's busy this morning, but do they not realise how many guests are coming for breakfast. The breakfast was lovely great &amp; prompt tea&amp; toast. I presumed that the heating had been fixed due to the card in my room that night saying the problem I reported had been sorted, but again that night was freezing, but after getting kitted up in my jumper &amp; leggings as well as PJs things where warmer &amp; a better nights sleep. I also had a note in my room asking me to go to breakfast later as it was too busy, between 9-10am.The hotel was very clean &amp; staff where friendly enough, I just expected a better service from a 4 star hotel. I will admit I didn't complain again about the cold room or about the breakfast queue, I just got on with it, but just found it disappointing as I've stayed in hostels, tents etc &amp; payed for a better hotel as a treat, it didn't help as it rained very hard the 2nd night I was there, with the streets flooded &amp; it was soooo cold, so it made the hotel room more noticable.Location wise this hotel cannot be faulted, I would stay again if it was cheaper, &amp; with thermals of course!	
Oct 30 2009 	Really Great StayClean Room and Friendly Staff!	The locale of this hotel really is excellent. Practically next door to Warren Street tube station and with 1 stop on the tube on the Victoria line you are in Oxford Circus which is central to the shops as you will be on Oxford Street!! From the hotel it is also really easy to get anywhere on the tube. The hotel was very clean and the room we had was quite spacious. Breakfast delicious and plentiful. We had room service one night and it is well presented and well cooked. We found all staff extremely helpful.	
Oct 25 2009 	Nice hotel: Good loaction nice rooms bad shower	The Radisson Edwardian Grafton hotel is very nice. I was upgraded for free to a King suite when I paid for a double room which was a nice surprise. Although it was not one of the more expensive hotels in London it was missing some extras that I feel a hotel in this price range should have (especially in the most expensive room of the hotel). It lacked a flat screen television - the one that was in the room was quite antiquated. The toiletries were also lacking. No separate shampoo/conditioner/body wash - it was all combined into one lackluster soap. The shower also was not very good. The temperature fluctuated and the pressure wasn't great. However the room was very quiet given the central location.But all in all a very nice hotel for the price and location.	
Oct 24 2009 	Clean efficient and convenient	I have stayed at the Grafton on a couple of occasions for business purposes. The staff are all very friendly and helpful - the hotel itself is clean and conveniently located very near to Warren Street tube - which is a definite bonus if you are travelling with baggage and don't use taxis. I can highly recommend this hotel for the business traveller.	
Oct 22 2009 	Ideal good value city centre hotel	Very good service from all the staff. Room was a bit on the dark side, decorated in different shades of beige and brown. The lighting was downlights which were brutal when you switched them on in the morning! The room was very clean, the towels were soft and fluffy and the bed linen was fresh and crisp. I would have liked more channels on the TV if I had had time to watch it! Breakfast is a feast with everything you could want on offer. Although I didn't have dinner on this occasion I have had evening meals in the hotel when I am down on business and the food and service is always good.The loction of this hotel is ideal with Warren Street and Goodge Street undergrounds both within minutes where you can reach everything in only a few stops. If you feel energetic you can walk, Oxford Circus is only 10-15 away but it takes much longer if you stop and shop on the way!	
Oct 21 2009 	Good hotel in an excellent location	I've stayed at the Grafton a number of times on business and I'm very impressed with it. The staff are friendly and helpful, the rooms are very clean and it's virtually on top of a Victoria Line tube station. Highly recommended	
Oct 20 2009 	Brilliant hotel! Polite staff spotless 	Me and my partner stayed there for a weekend of shopping in Oxford Street and a visit to London Zoo. The location of the hotel was great as it was about 10minutes on the tube away from either location. When we arrived at the hotel we were kindly greeted and they offered to look after are bags while we went and shopped some more, they booked us in gave us our room key and explained about breakfast. When we came back and went to our room we were glad to see how spotless everything was. The room was a little on the small side but that didnt matter. In the morning we went down for breakfast at 7:30, it wasn't busy, we were taken to our table and asked if we wanted tea and toast. Then we went to the buffet, which you can go up to how ever many times you want. There was a vast choice of food, including fresh fruit and a tradditional english fry up.We had a great experience staying there, would definately stay again and most certainly reccomend the hotel!!	
Oct 19 2009 	Excellent location	I stopped at the Grafton with my Mum for one night as we were going to the theatre. We arrived early, and the hotel was able to accomodate this and we were given our twin room at 11.30, although the reception staff are not the most friendly of people. The room itself was comfortable, and did the trick for a short stay (clean and a hot shower!). We ate out at ASK pizza around the corner from the hotel before going to the theatre, and came back to the hotel for a night cap which took forever! (note - drinks expensive in the bar, and service charge included but you can refuse to pay this). We had an early breakfast, and it was busy. But by the time we finished at say 9am people were lining up for tables. The breakfast was nice, but make sure in your room rate (if not close by you'll find starbucks and other places you can have breakfast). The location of the hotel is its selling point, very close to Warren st and Goodge street tube stations, and walking distance to Oxford Street. Less than £10 taxi to theatre districts and Covent garden etc (and very close to Euston and St Panc train stations). Plenty of coffee places, pizza restaurants and pubs nearby too, as well as a tesco's which is always handy if you forget anything. Busy hotel, staff not the friendliest but location/cost makes up for it.	
Oct 16 2009 	Good business in hotel in excellent location	I stayed for one night on business. Location cannot be faulted. Next door to Warren Street station on the Northern Line and with good restaurants on the door step.Staff on check in and check out were particularly helpful and efficient. The room was small and lacked natural light but otherwise was perfectly adequate for what I needed. It appeared to have been re-furbished and was clean and comfortable.Breakfast was excellent particularly as the hotel seemed to be very busy. The only gripe was that unlike other Radissons coffee was slow coming and only then in small quantities but that is a minor gripe. Would happily stay again and would recommend to others for business.	
Oct 15 2009 	We can't wait to visit the grafton againfantastic serviceextremely friendly staff and the room was spotless.	great location,everything we needed was on the doorstep and warren street tube station is virtually next door. The staff were very friendly and helpful also they couldn't do enough for us.The room was spotless and everything we needed was provided,we will definately return to the grafton and probably add a couple more nights!!	
Oct 15 2009 	Great hotel great location	This is a very nice hotel.Clean rooms.Nice, modern, clean bathroom.Working airco &amp; heating.Very good breakfast and service.Great location.Walking distance from Oxford street, St Pancras station, Tussauds.Warren street underground at 50 meters, Euston tube at 200 meters.We stayed for 2 nights.Will return to the same hotel when visiting London again.	
Oct 15 2009 	The mysterious dissappearing and reappearing rooms	I arrived with my 78 year old mother after 8.30 pm in the evening. On checking in I said that we had booked a twin. We were told that there were no twin rooms remaining and we were booked into a double. My mother doesn't sleep well at the best of times and has recently had foot surgery. We were offered an upgrade to a kingsize bed. I insisted on either a twin room or two singles. The receptionist insisted this was not possible as the hotel was full. I produced the confirmation email saying we had booked a twin. The receptionist then said she would phone a colleague - conversation went like this - she gave our name, pause, &quot;yes, I have told them that but she has a confirmation e-mail&quot; - pause, pressing of a few computer keys, then &quot;ok I have managed to find a twin room.&quot; Why not just give us what we paid for and save me and my elderly mother all this hassle?? Terrible, unwelcoming service.	
Oct 13 2009 	great hotel in good location	my partner and i stayed here 10th oct 09 for a nightits not in a bad location,a few minutes walk to oxford street and we were checked in quicklystayed in a king size suite which we found a nice size,very clean and a really comfortable bed,decor looked great and being round the back of the hotel it was peacefulloverall a great hotel	
Oct 11 2009 	wonderful value	Staff polite, clean, good room service. Handy for theatre and shopping	
Oct 10 2009 	Courteous Staff Clean and Convenient	Good location, easy walking distance to Euston. Good sized room, spotlessly clean. Will definitely stay again but would avoid the breakfast tray service as I was asked for £1.50 upon delivery of the tray rather than at checkout - despite my being wrapped in only a towel having just got out of the shower! The two follow up 'phone calls to chase up the £1.50 wasn't the best way to start the day so ruined what would otherwise have been a very good experience. It's the small things that trip you up.!	
Oct 9 2009 	Perfect business hotel	From start to finish the staff, without exception, were excellent,as was everything else about this Hotel.	
Oct 8 2009 	simple but inexpensive overnight stay in London	This hotel is conveniently located directly above Warren Street tube station, and within 10 minutes walk from the extensive Regents Park just north of the city. The single room was small but adequately presented. A discount prices was obtained from web based hotel booking service.Breakfast was the classic English breakfast of bacon sausages mash eggs and the lot. Juices are adequate, but the muesli had run out when I got there.Wifi was available free in the room on an unsecured network, with no problems with connection or speed.	
Oct 7 2009	A very enjoyable weekend	A very pleasant hotel in excellent location. The staff were very friendly and helpful. Good choices for breakfast, all fresh and well presented.	
Oct 6 2009 	Average Hotel but overpriced	This hotel is average in it's decor and staff, both of which could be improved with a bit of attention. Food was very good, but expensive even for a Lomdon hotel. The rooms are tiny, again even by London standards. Also, the windows don't open and the heating is always on which makes a very stuffy atmosphere. Overall, there are better hotels for the same money.	
Oct 5 2009 	Nice place to stay!!!!	Me and my girlie friends stayed here for a weekend. We actually booked a triple through superbreak and when we arrived it was a double with sofa bed, we asked to be moved which they attended to straight away, however our new room wasnt what we booked either, this one had 2 single beds but the third was still a sofa bed, on enquiring further the hotel stated that they dont actually have triple rooms so the mistake was with superbreak, we called them and they blamed the travel agent (funny cuz thats me!!!!!) Any way we were now running late for the theatre so we settled for this!!!!Other than this mishap which was no fault of Radisson Edwardian Grafton everything else was great. The room was spacious and had the usual facilities!!!! The check in was speedy and they let us check in early!!!The breakfast was lovely and a great choice, full english, cereal, pastries, fruite, juices and coffee, tea etc!!!! The restaurant was lovely and had a nice relaxed atmosphere!!!!Location was ok, at one end of Tottenham Court Road, accesable by bus or tube ( warren street). 15 min walk from Oxford Street, 25 min walk from Covent Garden. Id stay here again and I would reccomend to a friend!!!!	
Oct 5 2009 	Average Hotel	Good location right by Warren Street tube on the Northern line. Hotel is just ok, prices are in my opinion quite high considering the nicer London hotels you can stay in for the same money.	
Oct 2 2009 	satisfied but had to use underground	I was booked at the Radisson Edwardian but when I got there I was told they were overbooked (see my review there too) and so I got a free taxi and checked in here where the room was much larger as it was for two so my friend who also had booked the Edwardian but was completely thrown out as they claimed that roomsnet never gave them her booking, got to stay with me. Except for the longer ride into the Tottenham Court Rd area where I usually hang out, the hotel served my purpose. Breakfast was fine and staff were very courteous. Room had view of walls but was quiet. Safe, bathroom , tv, etc all worked fine but because of location I wouldn't return.	
Sep 26 2009 	Bait and Switch	My room was paid for weeks in advance of my trip. I showed up at the Radisson Grafton, was kept waiting 10 minutes before even being greeted by anyone, and then was told they were overbooked and would be sending me to another one of their hotels in London. They kept me waiting for another 15 minutes, then dumped me in a cab, which took me to the other side of the city, where I was given a terrible room in the basement! My plans for the weekend are screwed up now as I had selected my hotel for the location and to be on that specific Underground line. Shame on Radisson for treating customers so very poorly! Apparently this is a common practice for them. Lesson learned: never ever stay at a Radisson in London! Not worth the time, money, or hassle.	
Sep 25 2009 	Second Time's A Charm...	We first stayed here in and I was not impressed, the air con didn't work and the staff were rude and snobby. However I did give feedback and was pleasantly surprised when we stayed again a month later. The staff were friendly, helpful and our room (although rather small) was very nice. Bed was comfy and bathroom was a good size. Free wifi was great too. The location is excellent and very convenient walking distance to tube station and Oxford St (about 15 min walk). Lots of eateries and supermarkets nearby...and a laundromat (very happy after 4 weeks travelling!). I would definitely stay here again.	
Sep 22 2009 	Good service big and small rooms	First the good: We had very nice service at check-in, Jacqui helped us figure out how to work around a booking mistake on our part. The breakfast was wonderful. Two of us shared a suite and it was a nice, big room. Being next to the Warren Street station is a plus. A 10 minute walk puts you in Leicaster square. On the downside those in our group that had a single room complained about the small size of the room. You can get a great price for these single rooms and they're worth it if you're not going to spend much time in the room. Overall it was a good experience and I would return to this hotel.	
Sep 21 2009 	Great business hotel in ideal location	I stay regularly at the Grafton Tottenham Court Road on business. The hotel is close to my central London office and on the tube network with easy walk to Euston.I am regularly upgraded and the upgraded rooms are good for my purposes.The hotel bar and restaurant is always busy although I tend to eat out of the hotel with the abundance of venues close to the hotel.The staff are vey friendly and often willing to help although the service can dip when the hotel is maxed out.I would happily stay here for either business of pleasure.	
Sep 14 2009 	Excellent Location Clean 	Having stayed at this excellent hotel for four nights we were delighted at the cleanliness of the rooms, bedlinen and bathroom.The staff are without doubt the most helpful and friendly of any of the hotels we have stayed in in London. Breakfast was delightful and had more than enough variety to suit everyone. Hotel well placed for Euston Station - only 10 minutes walk. Tube Station 400 yards. Buses and Taxis right outside. Plenty of places to buy snacks for lunch and a wide variety of resturants nearby.Couldn't have made a better choice to stay. Highly recommended!	
Sep 13 2009 	Could get better for the price you pay!	We went to London for a one night stay so that we could watch Sister Act at the London Palladium (which was fantastic). We decided on this hotel for location but it wasn't as close as we thought it would be. Unfortunately, the underground station right next to the hotel was shut for the weekend otherwise we would have appreciated the location much more. However, the area that the hotel was in was just ok! When we arrived they said that we had booked in a double which infact was wrong, we asked for a twin. They said 'luckily' there was a twin available which came across as bad customer service. We were quite disappointed when we got to our bedroom, it was small, old fashioned and dull. It was also loud at night with the ambulances driving past from the hospital across the road. The hotel would really benefit from a redecoration.We realised that we could have definitely have stayed in a nicer hotel with better location for the same price!	
Sep 13 2009 	Friendly comfortable nicely furnished and clean.	Well positioned within walking distance of Euston,adjacent to underground. Walking distance to main attractions and theatres. Very friendly helpful staff. Room nicely furnished and decorated with crisp, clean bed linen and gleaming spacious bathroom. Breakfast was fabulous with good service and excellant choice. Only complaint as room was at back of hotel no view out of small window, but also no street noise.	
Sep 7 2009 	best hotel i have stayed in central london .	having stayed at the raddisson edwardian grafton hotel , we syayed in one of their suites room ( 245) at the front of the hotel . some reviews said that it was noisey at the front , but i have to say that it was very quiet , and we had 2 good nights sleep . the hotel staff are very friendly and helpful .checkin was very quick.our room had a king size bed ,and A sofa bed . the room room was large with a table and 8 chairs , fridge , air conditioning.the bathroom was 1st class done in marble with seperare shower and bath .the beds are really comfortable, this hotel is spotless really clean.warren st tube station is just outside your door . oxford st is only 2 stops away on the tube ,so excellant location.would highly recommend this hotel to anyone .read some bad reviews about this hotel but take it from me , this is a great hotel to stay in london .desi hunter n .ireland ...................	
Sep 6 2009 	Ghastly room - rockhard bed - excellent breakfast	My husband and I booked this hotel because of its location to Camden Centre and Euston Station We arrived on Friday 4th September 2009 for two nights bed &amp; breakfast. The check in was speedy staff very friendly. We were allocated room 465 a double room. The room was at the back of the hotel. It was a bit disappointing for a four star. I didn't like that there were no nets at the windows just Roman Blinds. With blinds open you felt like you were in full view to the other guests across the way. No bedside lamps just down lighters horrible to use for reading. The worst was the bed - OK it had nice crisp clean cotton sheets but the mattress was rock hard you could feel the springs really cheap and nasty. Altogether not a room you wanted to spend anytime in. Upside breakfast and friendly efficient staff.	
Sep 3 2009 	Wonderful Stay at the Grafton	My fifteen year-old daughter and I spent five nights at the Radisson Edwardian Grafton during our recent visit to London. We could not have been more pleased with our experience with this hotel.We arrived at the Grafton at about 10:00 on a Sunday morning after a long, overnight flight from Grand Rapids via Chicago, followed by a tube ride from Heathrow Airport. We arrived at the hotel hoping to check our luggage and kill some time in the city until we could check in. To our pleasant surprise, we were informed that our room would be ready in a few minutes and we could check in then. By 10:30 we were in our room, freshening up and resting a bit before our first day in this amazing city.Our room was not as large as we are accustomed to in the US, but it was very nice. The view was not great as we were on a small courtyard facing other rooms across the way, but then we didn’t fly to London to stay in our hotel and look out the window! The bathroom was exceptionally clean and modern with a nice, hot shower. There was a nice, big closet large enough to hold our luggage and hang our clothes. One unexpected feature in our room was a 110 volt outlet for our American electronics. This was nice so we could charge my laptop, iPods, etc. I would say that the only downside to our room was that the carpeting was beginning to look “tired”. Even so, the room was as nice or better than I had anticipated.The British Breakfast that was included in our package was very good. Fresh fruit, pastries, three kinds of eggs, bacon, sausage, toast, juice, etc. was available each morning. The staff was very friendly and attentive to our need each morning.The location of the Grafton is fantastic. The front is three doors down from the Warren Street subway station. How nice it was to leave our hotel and be just a few steps away from the tube. The area around the hotel felt very safe at all times of day. Located across the street from the hotel is a Sainsbury’s grocery store, perfect for picking up snack items, backed goods, sodas, etc. at a reasonable cost. Other businesses on the same block include a pharmacy, PC World computer store, Wasabi Sushi restaurant, Subway restaurant, McDonald’s, banks, and several smaller, independent restaurants. One of London’s hospitals is just a block north of the hotel.The hotel staff was very helpful and friendly. They were very attentive to our needs and always made us feel welcome in their hotel.In short, we had a wonderful experience at the Grafton. Should we return to London – (I hope to again soon!) – I would eagerly stay at the Grafton again.	
Sep 2 2009 	My Radisson Experience	We stayed for 3 nights in the Hotel, and it was &quot;BRILLIANT&quot;. The staff were superb, the rooms were top quality, and the food was great.	
Aug 30 2009 	Good sized rooms and great service at breakfast time very clean and friendly	Myself husband and two children stayed for 2 nights 19-21 August 2009. Our check in was very quick and easy by very friendly staff.On both days we were given free morning newspapers and the lifts could only be operated by our room card, which we thought was very good from a security point of view.We only stayed B&amp;B but the staff who served us in the resaurant for breakfast were very quick friendly and efficient, even our two young children were given hot chocolate which we thought was very good. The choice of hot and cold food was varied and well presented with plenty to choose from.The room was very clean, with added extras like an iron and ironing board plus the use of a safe (at no extra cost) nice touch as lots of other hotels do charge for these. The maids were also very nice and friendly, our bedding was turned down every day and we got fresh towels also.Check out was also very quick and easy, the concierge put our bags in a safe room for us on our departure day so we could spend a few ours in London without them.We were very pleased to discover that just round the corner from our hotel literally 25 yards was a tube station (Warren St) great for us for getting around London. All in all a very enjoyable stay!We would all love to stop here again and would recommend this hotel to anyway especially families.	
Aug 29 2009 	Not quite as good as we expected for a 4 start hotel.	We booked this hotel because of its location to the theatres, we had a standard room, and paid the top price for it, as I was using airmiles. The staff are very helpful and friendly, the Aston bar was OK but lacked any kind of atmosphere, Breakfast was excellent, but sadly the room was not up to standard, the bed was very unconfortable, in that is was rock hard, and creaked at the slightest movement, the A/C was so noisey it would have been impossible to sleep with it running, the room was very shabby, with stains on the carpet, and wallpaper peeling off the walls. I like to read at night, but we didn't have a bedside lamp, so it meant having the main light on. it didn't live up to what you expect from a 4 star hotel. we stayed in room 230 on the second floor. Overall the hotel offers good service but poor value and comfort...	
Aug 26 2009 	It was OK just OK	As far as cleanliness &amp; staff are concerned I couldn't fault it, but for the money I paid (bearing in mind I got my travel agent staff discount) I expected more from the rooms. Small doesn't cover it, there was a foot of space between the end of the bed and the wall, you can't see out the windows as they are frosted over - probable for our privacy I understand but nontheless I didn't like it and it made the room dark. Breakfast was OK with plenty of choice &amp; they didn't quibble when we turned up a hour before the alloted check in time which was excellent customer service. Good connections to anywhere in London from Warren Street station which is a hop, skip &amp; a jump away. Plenty of food establishments &amp; shops locally, there is also an A&amp;E dept across the road.....cue the nee nahs all night! All in all I would go back but only if there is a special offer on!!!PS. If you are splashing out on a nice meal out try 'Rules' in Covent Garden - it's FAB!	
Aug 23 2009 	expected more	great location couldnt get better rooms are dark and so small we couldnt wait to get out the beds were hard and the breakfast was nice but the service was shocking .	
Aug 22 2009	Excellent value good location	I have stayed at this hotel several times, most recently August 09. During this stay I was impressed by the level of customer service. Shortly after arriving a lady, who I think is possibly head of Housekeeping, knocked on the door to ask if everything was to our satisfaction. It was, except there was no iron or ironing board in the room. She arrived back moments later with the items.The room and bathroom were spacious and very clean, and subsequently cleaned thoroughly during our stay. The breakfast buffet was nice, the usual on offer including cooked items. They were a little bit quick to take away plates though, when we had barely finished eating. Staff throughout the hotel were friendly yet professional. The hotel is in a good location next to Warren Street tube station, and there is a bus stop right outside. Security is very good in the hotel, a key card is required to use the lift and to gain access to the corridors leading to the rooms. My only complaint, although not the fault of the hotel, was music from a pub across the street but this did stop before 1am and was only one night. I will most definitely return to this hotel and would highly recommend it.	
Aug 19 2009 	Good Hotel ideally placed	We stayed here for 2 nights and found the hotel to be just about what we expected after reading the other reviews. Clean, spacious room (we were on the 4th floor), the only problem was the lighting in the rooms, it seemed to be all or nothing with strong spot lights on the bed which sort of made reading a bit difficult. Breakfasts were great, staff were friendly and we would go back again if we needed a central location.	
Aug 18 2009 	Oh no didn't like this one	I have to say, I expected better things from this hotel but this had to have been one of the worse hotels I have stayed in. It's dated, the air con did not work and the lift was as fast as a snail! I won't be staying here again.	
Aug 14 2009 	V. small rooms outdated but good location	great location for busy with euston station within 5mins walk and Warren tube next door but constant noisy from Tottenham Court Road and side streets is not good unless you are in the very back of hotel which offers no view at all but that is typical of London. I did not eat here but there are a number of cafes/pubs/restaurants right outside which are much more value for money. Staff were ok but not overly polite and the checkin queues are confusing. I am fairly petite and found the tiny bathroom a struggle with no sink space and no shelves around the shower. The best thing about it is the clean bathroom and the nice bed linen. I don't think I'll be back.	
Aug 13 2009 	Functional but not friendly	We stayed here for a weekend with the main purpose of visiting the theatre to see Lion King. The location is great, only 10 mins max from Euston station if you want to avoid the undergroung. There are also taxis just across the road and busses run frequently past the door of the hotel. The hotel is clean and fairly well maintained. It just lacks something that makes it enjoyable rather than functional. Breakfast is good (mmmm, crispy bacon!) with plenty of choice but it is drummed into you to arrive early to avoid a que. 0830 was spot on and we went straight to a table. Staff were &quot;ok&quot;. No complaints but no compliments either, they just did their job and it was nothing special. The bar is very expensive with zero atmosphere, just go out of the front door, turn right and there are some very nice pubs and restaurants a short walk away. The room was clean and served the purpose. The bathroom was very nice although fairly small. The tv was old and had terrible sound but we were not to bothered by that. The bed was very comfortable, the room well equipped with an iron and board, hairdryer, tea and coffee and wine glasses. Only complaint was only 1 cup in a double room. We rang down to reception to ask for another as we fancied a coffee after an evening out (boring I know!) waited an hour for one to arrive then gave up. One big plus is the concierge service is great. We left our luggage in the morning before we checked in and all day after we checked out, no problems. We also requested a quiet room and were put at the back of the hotel, the view is not so good but it is very quiet there, no street noise whatsoever.	
Aug 11 2009 	Great Hotel	Stayed here with my wife and 2 daughters on a long weekend. Lovely hotel with v friendly staff. Great location with tube station less than 50 mtrs away. Rooms were fine.Our daughters' room was slighter better equiped than ours!! Lack of storage space in our bathroom was a minus point. Breakfast was superb. Great choice and piping hot. We found the arrangements for using the lift a bit of a fiddle ( you have to use your room card to operate it), to the extent that we tended to use the stairs. Would definitely stay again	
