	Great hotel quiet location ideal for weekend away!	We stayed at the Apex for a weekend in November based on the reviews from this site. We were not disappointed. We stayed in a King Deluxe room on the first floor and the room was HUGE! The bathroom had a large bath and a walk in shower.My only gripe was that the pillows were terrible! The standard ones are feather so I would suggest ordering extra or foam ones for a more comfortable night.The room was VERY quiet for London as we could only hear the wind in the trees of the small square opposite our window. It is within 3 minutes walk of Tower Hill tube station, which will take you to Embankment which is only a 5 minute walk from Leicester Square etc. Ideal for Tower of London as it is just across the road. We didn't have any food in the hotel as there was a pub just around the block that did full English breakfasts for £3.99 which was OK for us. There is also a pizza place, noodle bar and various other eateries within a 5 minute walk. I would also suggest walking over Tower Bridge and walking towards London Bridger on the South Bank as there were a multitude of places there.All in all a fab weekend at a fab price.	
Oct 19 2009 	Pleasant enough hotel shame about the room service	This is a nice enough hotel, well situated in a quiet road and close to underground and bus stops. No complaints about the room, again nice enough with a decent size bathroom, although the view was of a huge brick wall! As we were only there for a one night theatre break we weren't too bothered about that. However, on returning to our room after the theatre, we ordered some supper from Room Service. This arrived fairly promptly, but a short while later Room Service rang through and asked my husband if he would go down to Reception and pay for it, as they had failed to ask us for credit card pre-authorisation when we checked in. We felt this was an unreasonable request considering it was getting on for midnight and were trying to enjoy our supper, but he reluctantly went and Reception did apologise, but it was pretty annoying all the same. We decided to heed the hotel's warnings that the restaurant gets very busy for breakfast at the weekends, so we pre-ordered breakfast in our room for the next morning, and requested for it between 10.00-10.15. It arrived at 09.40! My husband was still in the shower, so by the time he had finished, his breakfast was cold. What is the point of asking what time you would like your breakfast delivered, if Room Service are then not going to take any notice?!!	
Oct 15 2009 	nice place - great location	Only a few mins walk from tower hill station on the victoria tube line, 5 mins walk from the DLR stop. Nice modern hotel. pret a manger 2 mins away if breakfast isn't included in your rate. Stayed on the 4th floor. Room was a little small ( standard for London) but was spotless clean. large bathroom with walk in shower. Staff were very helpful and allowed us to check in early on the day of arrival. Breakfast was fine - standard buffet selection. Bar was quite pricey - though there are a few bars within a few mins walk.	
Oct 12 2009 	Excellent modern hotel	I loved this hotel. Great location (2 min walk to Tower Hill tube station), friendly &amp; helpful staff, modern &amp; large rooms. The best breakfast - everything from a full fry up to pancakes &amp; waffles..amazing! I could not fault this hotel. The only small thing i didnt like was the bedroom windows are locked and the only way to open them is call reception and someone will come to unlock them but they dont leave the key with you so you have to call them again to lock them! I will definitely stay here again.	
Oct 8 2009 	Convenient to the Tube and Tower of London	My daughter and I stayed at the Apex Hotel for a couple of days after traveling around during her spring break from college. The staff at the Apex Hotel was friendly and efficient. The room was upscale and comfortable. We enjoyed having the chance to watch a DVD from the hotel's collection. The Tube stop was just a few blocks away, but be sure to get directions so that you don't wander around like we did. While we were there, we visited the Tower of London, which is huge...you could spend an entire day there. We brought home the little yellow rubber duck that was in our hotel bathroom for a souvenir of our time as Apex Hotel patrons.	
Oct 7 2009 	Good Name> good Service> excellent stay	had to book the hotel at the last minute. had trouble with booking online - reservation desk was closed but left name and my number. when i called to book the next day, internet rate was honoured. furthermore when i decided to extend the day by 1 more, i was offered the same rate buy the hotel staffhotel is very close to tube station &lt;5 mins walk and next to famous tower of london. and getting anywhere into london is made so easy by the fact tube is so close by.what i find most interesting and love about this hotel is that it had free wireless internet service, so you can plan your weekend, or look for deals to you heart's content without having to worry about paying ridiculous prices of internet use.if you love your sport, like me, then you would be glad to have sky sports channel as part of the TV channels (for free) in you room, so you dont miss any football/rugby/cricket games if you are away from home.if you fancy a nigt-in, you can get a free dvd from front desk to watch on a flat screen tv.second time i stayed at this place, no change in service. totally felt relaxed and hassle free. staff very polite and helpful as usual.thanks. C u soon	
Oct 5 2009 	Peaceful	We stayed in this hotel in late September. Although in busy part of London it was quiet at the weekend. Overall the staff were very freindly and the accommodation excellent for our needs	
Oct 5 2009 	a hidden gem	my boyrfiend and I stayed here at the weekend. we thoroughly enjoyed our stay!we were upgraded on arrival, greeted by very friendly staff, given directions to anything we needed. room was lovely, with lots of extras, warm. conceriege were so accomodating and friendly. free internet to plan our days activities and print any maps needed.it is very close to lots of tourist attractions, there is a tube station outside if you need to travel further afield, very good especially if you are travelling to take the train to the airport.we really enjoyed our stay here and will be recommending this to friends.	
Oct 3 2009 	Awesome hotel with HUGE BEAUTIFUL rooms	This was a fantastic hotel! Very near a tube stop and the Tower of London. There are plenty of places to eat nearby as well. We stayed in a basement room that was great, very quiet and quite large. Hotel had a very cool look and was very clean. The only complaint I had was on the shower (it is separate from a huge tub). Water leaked out onto the bathroom floor so we ended using the bath mat as a water dam to prevent the leakage. The bed sheet was also not really wide enough for the bed but we managed. The free internet was a welcome surprise since many hotels charge ridiculous fees for it.	
Oct 1 2009 	Great hotel	Stayed here for 3 nights in Aug 09 and loved it. After a minor hiccup checking in the room turned out to be fantastic, staff great and very clean all round. The location is great with easy access to Tower Hill Station, the Tower of London and the Tower Bridge, but it's a fair way from the rest of the touristy areas. Use the tube and this is a great place to base yourself when visiting London. Great service.... great hotel.	
Sep 30 2009 	Overpriced rabbit hutch	After spending a couple of days in London at the Premier Inn County Hall, I had to stay down for one night on business. Thought I'd choose a hotel closer to my work venue AND go upmarket - the client was paying. So I went on Laterooms and found the Apex; £168 room only (Queen room), down from a normal price of &gt;£300. Great deal I thought. NOT. The room was 1/2 the size of my one at the Premier Inn. OK there was a bar of soap and some smellies. The internet didn't work. I connected reception - no good. I spoke to the techncial support people- no good. I gave up. Apparently 12 more guests were having the same problem.hAll in all, overrated, overpriced and small rooms. AND they wanted to charge me £15 for a breakfast. I went to a cafe down the road, full English for £4,50 !!	
Sep 29 2009 	Great Hotel	The hotel is beautifull and the price is great!A little far away from downtown London, but really close to a subway station.	
Sep 28 2009 	Very good hotel	This is the second time we've stayed at the Apex and the second time we've found it to be a very good place to stay. Rooms are fairly spacious, the first time we had (although we didn't realise) a superior room with extra space for a sofa and table, this time we had a standard room which still left enough spacce to move about although the truly enormous bed does take up a fair amount of room. Everywhere was clean, staff were efficient and polite and the bar snacks &amp; continental breakfast we had were nice. There were a few minor gripes, no shampoo in the bathroom on the first day, we had to remind the breakfast staff that we wanted toast each morning and the bar service one afternoon was non-existent. But, if that's all I can find to complain about then I consider myself very lucky!Location is good,and even the 7 tube lines disrupted by 'planned engineering works' didn't inconvience us too much. Highly recommended.	
Sep 28 2009 	An amazing hotel - exceeded expectations	There is nothing to fault about our stay at this hotel - staff were friendly and professional and the room was very clean, spacious and modern. Despite being minutes away from the tube station and some large roads, there was absolutely no noise within the room, with enough space between rooms so other guests can't be heard. We booked a budget room but there was definitely nothing &quot;budget&quot; about it! Bottled water and a variety of toiletries (replaced every day) were a nice touch. We really enjoyed our stay and will definitely be going back! A top hotel without the 5-star price tag - what more could you want?!	
Sep 28 2009 	Superb	Excellent hotel - rooms were great, clean and contemporary. Extras were nice - complimentary water, tea, coffee etc, full size ironing board, iron, and a fridge. Liked the touches, such as being able to play the TV into the bathroom, and the little rubber duck! Staff were pleasant and very helpful. I thoroughly recommend this hotel, the location is great for the underground, close to tower bridge and tower of London, and within walking distance of Southwark, St Pauls etc. Handy Pret a Manger next door, and a couple of bars close by, plus their own very nice restaurant and bar. Nice and quiet area. Couldn't have asked for better, surprised it's classed as 3 star on here, as it's probably best hotel I've stayed in for ages, within Europe &amp; US!	
Sep 27 2009 	Great staff	Very friendly staff and a good-sized comfortable room. Pleasant location (near St. Katherine's Dock).The only downside was that my room wasn't ready until 3.45 p.m. which was somewhat inconvenient. Recommended otherwise, however.	
Sep 24 2009 	Great Value!	Was thoroughly impressed by the Apex--service was impeccable as was the room. The room safe didn't work on arrival and the maintenance guy replaced it straight away. Will definitely stay here again. Free bottles of water in the room is a nice touch-as is the choice of pillows on the bed (foam or goosedown)	
Sep 22 2009 	one of the best stays we had in London	excellent hotel..the staff is so helpful and pleasant. everything is modern, in excellent working order. the perks of telephone rates and free internet were greatly appreciated by this new york city couple. we ate several meals in the Addendum, and it was excellent and the room service is prompt and served very nicely.we had special needs over the weekend wherein we could not travel: it was a pleasure to be in our lovely suite (junior suite very nice) in this excellent hotel.we will stay there any time we are in London.	
Sep 21 2009 	Absolutely brilliant hotel	This was the best all round hotel that I have stayed in when visiting London. A total surprise, as I was not expecting it to be just as good as it was. Very modern and spotlessly clean, just a few hundred yards from Tower Hill underground station and the Tower of London. Within easy walking distance of St Katherine's Dock with it's many restaurants. Perfect for anyone visitng the eastern side of London.Upgraded to an executive room which was spacious and well equipped. If you are tired of tiny grubby hotel rooms then this is the place for you. Breakfast was excellent and this is the only hotel in England where the bacon is cooked properly. Usually you get a greyish pink limp offering on your plate masquerading as bacon {why can nobody else in England cook bacon properly?} but here it is crisp and delicious. It was accompanied by pancakes and maple syrup. PerfectThe staff were unbelievably good, with both receptionists helpful and professional, while the concierge was the best that I have experienced in the UK.We had tickets for Coldplay but I would have almost preferred to hang around the hotel!A terrific stop over and will definitely use it again.	
Sep 17 2009 	first class base to return to after a busy day's sightseeing	We spent 3 nights at the Apex and found the staff very helpful and courteous, the room very clean and spacious and the breakfasts were excellent. We couldn't have asked for any more and would certainly go back.	
Sep 10 2009 	Excellent design of rooms energy-saving elegant and trendy	Very neat and elegant decoration, full of all kinds of energy-saving ideas - light bulb, toilet flushing, etc.	
Sep 10 2009 	Great value for money	We paid 99£ for this hotel including breakfast and thought that the price was very fair. Our room was nice, clean and modern with a well equiped bathroom. The breakfast was good, all you could want like pastries, juices and lots of fruits except cooked things like sausages and eggs (which I don't like anyway so I didn't mind). Service is superb in this hotel: staff are extremely friendly and welcoming. Free WiFi in our room worked well too, so really no complaints at all. The hotel is not very centrally located, but you've got a tube station right around the corner (Tower Hill). This is where you want to stay if you don't have a massive budget and still want to enjoy some luxury.	
Sep 9 2009 	Superb Choice	Deciding to stay at the Apex London was a superb choice. Perfectly located only a short walk from Tower Hill station and the Tower of London it was readily accessible to all that London has to offer. At the same time the location was quiet being down the wonderfully named Seething Lane opposite a small park. The room was large by London standards and had a stylish, modern bathroom with a large bath and separate shower. The “rubber ducky” was a cute touch. The “king” bed was firm but comfortable. There was an ironing board and clothes iron and hair dryer and well stocked tea, hot chocolate and coffee options. There was a wide screen TV and wifi access. The only thing lacking was a clock or clock radio. The continental breakfast was better than most we have experienced in large hotels with great varieties of bread, fresh fruit, beverages and cheese along with generous special options such as smoked salmon. Cooked breakfasts were also available, but really not necessary to get a good start to the day.The hotel has a restaurant which we didn’t try, and there were lots of other eating options nearby and over the other side of the Thames after a short walk over Tower Bridge.There is also a gym which we were too busy to use.Staff was helpful and friendly, with special mentions going to the breakfast maitre de and the concierge. We stayed for six days and it was a nice touch when the breakfast maitre de remembered our name after the second day and our beverage order – and it is a large hotel. We are now on the road to Edinburgh and after our experience in London we are booked into the ‘Waterloo Place’ Apex there. One good piece of advice is to check the hotel specials before booking. We managed to get an off-season price in late summer.	
Sep 3 2009 	Apex is at the apex	Having a course for 5 days in London City is not a bad idea at all. Add to that the excellent hotel, and you can add those days to your holiday total. Apex staff were very helpful and Wi-Fi in the room was very good. (My room was 550). I had a technical problem the first time, at 23:00, but the receptionist and technician helped in no time.ROOM: Large, with twin bed, warm cover for my taste, but manageable. Large screen TV when trying to fall asleep or to wake up. Two phone sets, and free local calls helped when I used my Phone card. There were no open-able windows but the climate control was excellent, it could warm and cool, depending on your feel. This is important, as you usually get only one option, depending on the time of the year.BREAKFAST: The breakfast was continental, with plenty of fresh fruits (watermelon, melon - two varieties, strawberries and pineapple), smoked salmon, fruit or plain yoghurt, mortadella, ham, parmaham and Milanese sausage, cheddar, edam, ementaler, brie, various cereals, fresh apple and orange juice, white and full grain bread and deli. I hope I did not miss something, it was the same every morning, but I can not complain.LOCATION: 200m from Tower Hill tube station, 500m from Monument station. Walking distance to Fenchurch Train station and from bus stop for 15. It was very close to Tower of London. Reaching city centre could be a challenge since you have to change lines, but you could walk the last 500m. It has access for disabled.	
Sep 2 2009 	Top quality thoroughly professional and great value for money.	My fiance discovered this hotel on line and we based our booking on the outstanding reviews it had previously received. These were fully justified and our 3 night stay taking in the sights of London was superb. On checking in the staff at reception were particularly friendly and upgraded us to a luxury room at no extra cost! The room turned out to be fantastic with an extremely comfortable quality 6' bed, full sofa and a huge flat screen TV. The sound system even had speakers mounted in the ceiling of the bathroom! The sound insulation and black-out curtains ensured undisturbed nights of sleep and the whole place was spotlessly clean with a very high standard of decor. The linen was Egyptian cotton and there were even bath robes and slippers provided. The dining room was first class with discrete, friendly, cheerful and thoroughly professional staff and the continental breakfast splendid. Whilst this hotel is located only yards from the Tower of London it is some distance from the majority of London's 'sights' and 2 tube journeys from the West End theatres. This is the only aspect that we can criticise and we've tried hard to be as honest as possible. This hotel gets our 'thumbs-up' and is highly recommended.	
Sep 2 2009 	A hit in the City	Our first stay at the Apex City of London in August was most enjoyable.We were pleasantly surprised with a room upgrade, which unfortunately we weren't able to make the most of as we were out and about.The room was spacious, tastefully decorated, extremely comfortable and with a fantastic bathroom (big bath and separate walk in shower).The Tower Hill tube station is nearby, but we preferred to take the bus number 15, which takes you past St Paul’s cathedral right into central London, with the bonus of a few of the old buses which I miss so much!The staff was friendly and helpful.Highly recommended!	
Sep 1 2009 	Superb - Clean Great Location Spacious...generally Excellent	I chose this hotel after reading the Excellent reviews on here, and i wasn't disappointed!My girlfriend and I stayed for the night on Bank Holiday sunday whilst visiting the Natural History Museum and the Tate Modern. The location was perfect for us as we came into Fenchurch street, which is about 2 or 3 minutes walk away...its at the end of the road opposite The Grange Hotel (next to the back entrance of Fen Street), and is also about 5 minutes walk to Tower Hill Underground. As we had Travelcards we used the Underground to get South Kensington (11 stops on the District/Circle lines) for the Natural History Museum and also later in the evening to Leicester Square (6 stops to Embankment then 2 stops to Leicester Square). The following day we took a nice stroll along the Thames to the Tate Modern via the Millenium Bridge, i would say its about a 25 minute walk. As a few people have mentioned, we received a complimentary upgrade from City King Room to Superior Room, which we loved...it was very spacious, unfortunately the view wasn't but that didn't really bother us. We were very comfortable and loved the Bed, Bathroom, the big flatscreen TV (had the main Terrestrial channels aswell as Sky Sports 1,2 &amp; 3, plus the News channels and Foreign ones) and the general ammenties...aswell as the Rubber Duckie in the Bath too! The Bath was really big, and with myself being quite a big guy was really comfortable in it. The Shower was also huge, easily fitting 2 people in if that takes your fancy! We paid the general price for the hotel of £99 which didn't include breakfast, i thought this was a really reasonable price for a lovely hotel in a good location. I did see some deals later that did include breakfast for a similar price so would probably do that next time as i did think the breakfast was expensive (£12 or £13 i think)...we ended up just eating out across the road in the Wetherspoons pub (Liberty Bounds) which is about a 1 minute walk to the back entrance to the right as you leave the hotel, if you are happy with a Wetherspoons then i would suggest it as its one of the better ones i've been too, plus its cheap food and drink.I thought the receptionists and concierge were very friendly and helpful aswell, and was very impressed with the casual seating area (lots of sofas and comfy seats) where i saw people using the free Wi-Fi on their Laptops. We ended up taking our drinks from the Bar to our room, but would have easily been comfortable sitting there. Overall i would definately use this hotel again, as we both loved it! Plus after reading some positive reviews of the City Budget Rooms (Basement rooms), would consider this as the price is very reasonable! But i suppose if you are after a room with a view then this wouldn't be your thing.	
Aug 31 2009 	Excellent location	5 minutes walk from Tower Hill, located in the city of London. Reception (and bar area) very welcoming and modern.Room slightly on the small side with and old fashioned TV (LCD would be more appropriate) but bathroom area very roomy.Bar and restaurant get lively in the evening, slight downside was the 12.5% service charge on ordering drinks, although this is discretionary.Would recommend and would stay there again.	
Aug 28 2009 	Will most certainly be back again	stayed for 2 nights mid week while doing some tourist sights with my mum. Excellent location beside tower hill tube station. Hotel was tip top, bedroom has plently of space and the bathroom was huge and extremely clean, friendly staff, great choice of breakfast, couldn't fault our stay and would recommend to all :-)	
Aug 28 2009 	Just what I had hoped for	Good location for T of L, st.Pauls and can walk to Parliament square along the river, or the Eye. Tucked away. Most convenient .Everything very immaculate. Good cheap pub close and restaurants. People very nice.	
Aug 27 2009 	Excellent	Good location, quiet street, 5 mins from Tower Hill Station. Helpful staff, good size room, very clean and very good price. We will stay there again	
Aug 27 2009 	"Left to my own devices I definitely would...go again"	Can't fault the hotel for anything,We were attending a concert at the O2 arena so the location(round the corner from the Tower Gateway DLR) was perfect for us.Check in was executed as it should be,the Deluxe King Room was as described on the website and the Bar area at the front of the hotel had a nice atmosphere.My wife had a problem with her passport and the concierge dealt with the matter admirably.All in all a hotel that delivered the goods as per it's websites promise which is not always the case with other hotels we have encountered.	
Aug 26 2009 	Great Location Perfect Rooms Really Nice Staff	This hotel is in a great location, just around the corner from Tower Hill station and the Tower of London.The rooms are very nice, they have an excellent interface for their TV's, it provides component video in, etc.	
Aug 26 2009 	Nice contemporary hotel	Nice contemporary hotel tucked away on a quiet street just by Tower Hill tube station. Friendly efficient check in with free upgrade which was a nice touch. The room although modern was lacking somewhat. Old fashioned huge TV and radio with manual search. Scuff marks on the wallpaper and skirting boards, The carpet was torn where furniture had been moved. However, the room was nicely decorated with contemporary furnishing and bedding. The bathroom had a separate walk in shower big enough for two and bath. Nice toiletries and plenty of them. The toilet seat was round and very uncomfortable (we both thought so). I presume this was just a quirk of this room but to flush the toilet took huge effort and muscle power. (room 610) There is a fridge in the room but nothing in it. It is handy for storing snacks or drinks. Generally it was very quiet for a London hotel, but there is construction going on nearby which started at 0700 in the morning. Also there seemed to be quite a lot of after party noise around 0200 in the morning, not sure if it was from the hotel or local bars but it did last quite a while. Continental breakfast is minimal and really not worth getting out of bed for. The only member of staff who was unfriendly was the man who greeted us (grudgingly) and showed us to our table. Everyone else was friendly, professional and efficient. We had difficulty accessing wireless internet in our room and used the meeting area in the lobby free they even brought us an extension lead to charge our laptops without being asked. Overall I would recommend this hotel. However, be aware it is a bit pricey and there is not much going on in the way of nightlife or convenience stores as this is in the city and therefore geared for the business traveller. Very handy for the Tower of London.	
Aug 26 2009 	Clean comfortable good value.	Booked this hotel for 4 nights with 1800hotels at a great price which included the continental breakfast. We checked in at noon the day we arrived and pleasantly found our room to be available. We had a comfortable and quiet room (looked like this was an expansion that was part of an old church that looked down into a courtyard) with a king-size bed, flat screen television, large bathroom with full-size shower and separate tub, and most importantly air conditioning as it was very hot and dry during our stay.The continental breakfast was very good including deli meats, cheeses, smoked salmon (during the weekday), yogurt, granola, juice, coffee, and a variety of baked goods. A separate menu to order from was available but completely unnecessary.The staff bent over backwards to ensure we were happy. Since the Circle line (Underground nearest the hotel) was closed for construction during the weekend, we relied on double decker buses to get around then and the staff was very accommodating to help us find the bus routes that ran 24 hours to get around town, even calling their information line for us to answer questions.The only negative was the tube closure near the hotel over the weekend. However, the hotel is a 5 minute walk to an alternate stop (Bank) and bus service was extremely convenient as taxis are very expensive in London.	
Aug 25 2009 	Great Hotel - Modern Building 	Stayed her as a surprise for my girlfriends’ birthday. The hotel was very clean and the staffs are very friendly.Stayed in a “Superior King Room”, this was very nice. Separate bath and shower.The only disappointing part of the whole weekend, was the breakfast. Continental options were very limited and the main breakfast wasn’t much; small beans, one sausage, mushroom and 2 eggs, personally not worth the £15.There are many café’s/pubs within a couple of minutes of the hotel, so would use them the next time we stay.	
Aug 24 2009 	Beautiful Trendy Central Located and Brilliant Service (accommodating a Coeliac)	Travelling from Australia I was in transit for 30 hours and absolutely exhausted. My flights landed very early in London (6am) and by the time I got through immigration I was on the way to my hotel just after 8am, hoping desperately that they would allow me to check into my room early as all I needed was a shower and just a little sleep to peep up (note, check-in is 2.30pm). The staff was very accommodating and whilst a room wasn't immediately available, I waited in the lounge for a little less than an hour while they made up a room. Initially I thought my 'city king' room was a little small, but it was really well fit-out and actually quite comfortable meeting all my needs (especially the ensuite having a separate walk in shower and bath, which came in handy when soaking my sore feet after a day of walking around London.My main concerns about travelling to Europe this time, was my dietary requirements thinking that I would need to ensure I was carrying some gluten free products at all times (especially touring the other European countries) yet, I was absolutely astounded when I asked the waitress, in the hotel restaurant at breakfast if they had gluten free bread and they did. Providing it to me with no additional charge. Note for other coeliacs, as it was early Sunday in the business district when I got my act together, the local tescos was closed although waitrose supermarket was only a short 15-20 min walk was open by 11am for me to obtain some gluten free snacks for on the road. They had a small centralized selection of bread, rolls, ready-made cakes, muesli, rice-cakes &amp; snack bars. I also checked out Tesco’s the following day which didn’t appear to have as many options. I did quite a bit of research considering where to book my initial accommodation as I joined a tour 3 days after arriving in London - whether to stay at the hotel where my tour leaves from, which would have been convenient but had mainly terrible reviews or stay central to London and make my way to the set-off point on the day of the tour. The reviews won me over with booking this hotel &amp; they were very well justified. I can confirm the pictures of the hotel on the website are very current. My tour departed early Tuesday morning at 6.30am in Victoria and therefore I had the concierge organize my cab to collect me at 6am and he was also kind enough to organize my breakfast to be delivered to my room at 5.45 (15 mins before they officially start delivering breakfast and 45 mins before the restaurant is even open for breakfast) - Again another brilliant example of the staff going out of their way to accommodate their guest. I was very grateful &amp; very impressed. I ended up booking my accommodation directly through the Apex Hotel website - as a short break package which included a continental breakfast every morning and saved me around $50AUD a night compared with booking through either expedia.com or wotif.com (which didn’t have a breakfast inclusion). Overall I have stayed in a lot of different hotels around the world and this one is truly world class without blowing the budget. I would definitely stay here again and recommend all to do so….	
Aug 24 2009 	Excellent stay	Just had a very enjoyable stay at the Apex, chosen because of the reviews on this site. We stayed just one night, and found the staff, room and service hard to fault. The feel is modern, with some nice views towards The Gherkin. The hotel is within a two minute walk from Tower Hill tube, and close to the Tower of London. The location is quiet, a couple of pubs close by.Our room was 'superior', we got a free upgrade, and was not huge, but was perfect for two.	
Aug 24 2009 	Just fantastic	Just returned from a weekend stay here and have nothing but praise for the place.The location was great - 2 mins walk from Tower Hill tube for easy access to the whole of London and being in the &quot;city&quot; it was very quiet at night.We booked the Deluxe King room on the top floor, which was fantastic. It was so nice to have a modern hotel room for a change, rather than the typical old fashioned rooms one gets used to. The view out of our window over Tower Bridge was especially good - and all for about the same price as a basic box room in the west end. Look no further.	
