	Nice hotel - great value	After checking the reviews to try to find something not too expensive in this area, I decided to book the City Hotel. I was not disappointed. Entering our twin-bedded room on the 4th floor I thought I was going to pass out with the heat, but I was able to turn the very efficient radiators down to a comfortable level even though the control knob was very stiff. It was surprisingly spacious, clean and with a nice view of the City lights. The beds were a little small and on the hard side, and I would have preferred duvees rather than sheets and blankets, but still comfortable enough, and reasonably quiet. The bathroom was small, but a surprisingly enjoyable shower for a small non-power-shower rose, so no complaints. I didn't have breakfast, which would have cost an additional £10. Very good value for a City hotel!	
Jul 3 2009 	Please dont go there	We stayed for a weekend in february 2008. An absolute disaster from start to finish.Do not be deceived by the richly elongated photos. It is a cramped and scruffy place.Arriving on friday evening we were told by an unhappy staff member that we had to pay in advance. No reason or exclamation. Fair enough, in some places that happens. We paid up and went to the bedroom. At the time the place was being refurbished but it was impossible to tell which parts had been refurbished and which hadnt. The place was so dirty even the mice wore overalls.The rooms had a laminate floor finish, curling at the corners. They were just unnattractive but reasonably clean. We were told that breakfast would be served in the bar the next morning so we turned up and had an inedible breakfast among the upturned tables and chairs.On the saturday night we thought we'd have a few drinks in the bar but were told at the street entrance of the bar that there was a &quot;Private Party&quot; that we had to pay £10 or £15 each cover charge (cant remember which). We said we were residents and were told we still had to pay. On asking reception they didnt want to know. The bar had been advertised as one of the place's best features. Throughout the whole weekend we never heard a single comment about anything from any staff member. On monday morning on checking out I let the staff know of my grievances, but was answered with 3 blank stares. No explanation or apology except to say that the bar was reserved for a party by the owners son. Not one staff member even identified themselves or took any responsibility for everyone. The place was completely devoid of atmosphere. The rooms were furnished with family size fridges, abviously for DSS residents but that wouldnt be a problem if the place at least pretended to be a hotel. Please dont waste your money. its depressing	
Jun 30 2009 	Great entrance lobby shame the rooms didn't match!	Seeing the pictures online, and then the entrance lobby i was expecting something great. The room stank of smoke, there was someones rubbish on the bed so i immediately asked to be moved.The rooms are ugly and need re-doing. The hallways looked horrible too.The staff didnt talk great english either.It was okay for 1 night stay but i would stay for any longer.	
Jun 29 2009 	Cheap and Chic	Booked this hotel due to the cheapness of it, we paid £99 for 2 people for 2 nights...Upon getting the hotel it looked very smart on the outside..and the rooms were big and airy. Couldnt fault the beds. We had a fridge. tea/coffee making facilities as well which was good. TV was an old shabby one which was a bit off putting, some reisdents had flat screen tvs! The hotel is in a bit of a rough area, its not too bad but as a woman i wouldnt feel safe walking around alone in that area at night. It had a tesco metro about 2mins walk away and tube was 5mins walk. Ideally placed if you want to be close to all the touristy things but you dont want to pay central london hotel places. All in all...great hotel but needs to be in a different location	
Jun 14 2009 	Terrible service!	I thought it would probably be cheaper to book direct, so I attempted to book a room in this hotel over the telephone. On phoning, I found the staff to be very hard to understand, and it was very difficult to make myself understood. After a few minutes trying to get the staff to realise what I wanted, I decided to give up and book in person instead the next day when I would be in the area. As a native english speaker, I don't think it's too difficult to expect the phone to be answered by someone who is capable of communicating with me effectively!I turned up the next day, and I expected the communication difficulties would be easily resolved in person. Sadly, I was completely mistaken. The same problems continued. After a ten minute conversation, where I attempted to get the staff to perform the simple task of booking a room for me in two weeks time, I became increasingly frustrated. They didn't seem to grasp the idea that, no, I didn't want a room tonight, I want it in 2 weeks time! These communication difficulties could easily have been sorted out had the staff not become even more frustrated with me than I was with them. I tried my hardest to be as polite and patient as possible, but they were very rude and I got the impression from them that they basically couldn't be bothered. In the end I just left without making the booking, because I simply couldn't afford to waste any more of my time! I decided to stay somewhere else in the end!City Hotel is probably a very nice place to stay, but god knows how anyone can manage to actually make a booking	
Jun 6 2009 	Avoid this hotel. Terrible management and rooms	Avoid this hotel. Terrible management and rooms. I spent two-night in City Hotel in May. It is by far the worst hotel I’ve ever stayed. I checked in the hotel after 11pm and just wanted to relax, but nothing in the room worked, and I was not able to sleep until 1am. The TV remote control was not functioning and TV itself’s channel button were all gone. I called reception desk. The guy came up, did something and an image showed up. He said “see it works” as if I didn’t know how to use a TV. It turned out the remote control was not working and one had to enter a specific channel number (if you know which channel is working) to change channels. Then no hot water came out of the shower. I had to call again, waited, the first person came didn’t know what the problem is and the second one was able to fix the show knob, but again said “see it works” as if I didn’t know how to operate shower. Not only I wasted all my time, but I was insulted.The next day I was in a rash to get to a place but not sure where exactly it is on the map, so I asked the reception desk on my way out. Big mistake. The guy did something in front of his company for 10 minutes and still had no answer for me. When I asked what happened since I was in a hurry, the manager stepped out of his office and told me “we don’t provide this service.” No wonder the hotel has so many problems, just look at what kind of manager the hotel has. When I asked anybody for direction on London streets, they were all very happy to help. However, the manager in this hotel doesn’t seem to know he is in hospitality and service business.	
Jun 4 2009 	Excellent hotel next to the heart of London	At first we had trouble locating the hotel. But once we did it turns out its less than a block from the Aldgate Underground entrance.The area itself is seedy but once you go into the hotel its nice enough. Not a neighborhood I would recommend walking around at night, even more so once I found out other things.For those who are looking to do the tourist thing it is only one metro stop from the Tower of London and like I already said it is less than one block from the Underground.The staff was exceptionally friendly and very helpful. The hotel restaurant was ok but there is a small cafe next door that offers excellent breakfasts for very cheap. If you ask for a crescent you can ask them to put what ever you want on it for less than 3 pounds.The room was very large and since we had 4 people it worked out really nice. We never figured out how to turn the tv on but since we weren't really there it didn't matter.Turns out the hotel is located between Aldgate and Whitechapel, the area where Jack the Ripper attacked all those women. In fact several of the locations where they were found were only a few blocks from the hotel. While my mother in-law was a little nervous my husband and I, who are history buffs, LOVED it.Overall great hotel for the price, not a lot of frills but worked out perfectly for us.	
May 13 2009 	Pleasently surprised	I did not have the opportunity to read any reviews for this last minute booking for the city hotel in London.I am not one hundred per cent familiar with the &quot;best&quot; area's to stay within London but having a budget of only £500 for a 2 night trip to London (and that includes travel!!!) we decided to take a chance on this hotel being priced at only £80 for a triple room and 2 adult breakfasts.I must admit I was expecting a very budget hotel due to the price, this hotel is located on osbourne st which is an extension of brick lane. The nearest tube is aldgate and the tower of london and tower bridge are a ten minute walk away. The location does seem a bit run down and gloomy but the hotel itself was quite upbeat once inside. The bar area looked nice and modern and I believe had undertaken a new face lift recently.The reception staff were extremely friendly,understood english and were exceptionally nice to my 3 year old daughter who was grumpy after a long journey!the room was a pleasant surprise, a good size, clean, comfortable double bed and single bed and plenty of space to maneuver.The bathroom was clean and provided a good supply of water,I cant stand fiddly showers with weak water which I usually find in budget hotels. Shower gel, soap and shower hat provided. There was also a fridge within the room which we found fantastic to store drinks and there was a coffee/tea making facilities aswell as a phone and a modern flat screen tv!Our room looked out over a very bleak part of london, a junk yard opposite and the bleak stone buildings of the city and the gherkin but this was the only thing which I could find any fault with. The bed was cosy, the tube was a small walk, there was a choice of restaurants within walking distance, late night convenience shops within a short walk and although I wouldnt advise walking round anywhere alone at night as a women, I did feel safe in the hotel, unlike some hotels I have stayed in london! We got a good nights undisturbed sleep, no sirens, chatter from outside or noisy tubes running underground!Breakfast was fantastic, a really good choice of buffet including continental (lovely pastries) fresh juices,cereals,fruit and a full cooked breakfast buffet with mushrooms,tomatos,hash browns,sausages,bacon and 2 choices of egg! The restaurant staff were very attentive, filling my coffee cup the moment it was running low. Smiley friendly staff and a fantastic head waiter who did not charge for my 3 year old daughter despite the fact she gave me and my hubby a run for our money with what she managed to plow through for breakfast!All in all an excellent stay. It is a little bit away from all the main attractions so is not very central but well worth the price and just 5 mins on tube to west end.Highly recommended and would stay again.	
May 10 2009 	Great stay for great price!!	I was a bit afraid of staying at this hotel after reading the reviews, but there was no reason to!The hotel is great, central location (just around the corner from Aldgate East tube station). The lobby looks 4-stars and the room was very much acceptable. The staff is VERY international, but still very helpful and available.Everything worked, bed linen and towels changed every day.I was there with my mum and a friend and recommend it for a city break!	
May 2 2009 	Great stay	Firstly: Americans seem to have a problem with British loos. Just push the lever all the way, don't pump it, and then let it go,and things may turn right:-)I had a room facing the back, so i can't really comment on the level of noise if you should have a room facing the street. True enough, this is a party area at week ends, but although my room was right above the bar, I wasn't disturbed.Had a great stay. Room wasn't refurbished but still very pleasant. Service at breakfast good. Fridge and safe box OK. Clean tub that I used every morning. Telly small but who cares? I didn't go to London to watch telly. Still I managed to watch East Enders and Match of The Day:-)At weekends, people are pouring from the tube into Osborn Street heading for Brick Lane. Take the walk yourself. There are about 100 Indian and Bangla restuarants in the street and loads of night clubs.Coming out of the hotel, turning right, you'll find an old, crammy pub on the next corner called The Archers. Just sit down with a pint of John Smith's. I can really recommend that pub. Small and very East End. Including the drunks, the tacky paint and interiors,and the occasional West Ham supporters. But very homely, including the blonde smacker behind the bar:-) (no offence, Ladies, only a joke)Don't use the Tube, use your feet. Going left from the hotel and right into Aldwych High Street just keep going and you'll be right in The City of London after a short walk. Or turn left into Mansell Street and then right and into The Minories. In The Minories you'll find a Fuller's Pub called The Chamberlain. Great ales there. Walking down The Minories you'll only have a short walk to The Tower of London.This hotel is perhaps not all five stars, but the location is. Take advantage of it and use your feet.Now that I have the chance, I would like to thank Juli at reception for being so nice.	
Mar 24 2009 	2 am...awakened by the sounds of a fight outside our window!	I will never stay here again!They are trying to renovate the hotel...but in our room they must've forgotten the bathroom! Old w/yucky shower curtains...horrible toilets that you have to pump the handle to flush!only good thing was the view of the Gherkin tower from our room...you just have to look up from the view of the dump you have first...	
Mar 20 2009 	Great Value for money. Would definitely stay again	What a wonderful surprise. After being a little dubious reading other reviews we were not sure what to expect. However, our room was on the top floor and was modern bright airy and very comfortable, had everything we wanted. I think maybe it's their best room (600) as is was on the corner and had dual aspect windows. We never heard any night club...didn't even know it existed. Breakfast was also good with a excellent choice of fare. Very good value for money, every other hotel was asking for double the nightly rate that we paid. We paid £75 each including breakfast.	
Mar 17 2009 	Close to attractions	We spent 7 nights in July, we enjoyed our stay in the hotel, it is very close to public transportation which we used every day, it also had a very nice continental breakfast, the nearest attraction to the hotel that we went to was the Tower of London which was one subway stop away.	
Feb 27 2009 	You could do worse probably a bit better	We were originally given room 101, right over the nightclub. I read about the nightclub on this website and thought the complaints were exaggerated...they aren't. In fact, I quickly asked the front desk about the degree to which the nightclub would disturb us and was told we would not be affected. It was pretty loud. The plumming is a bit rough, too. The room is of decent size and the hotel is located very close to the Aldgate-East metro station. The Tower of London is a few blocks away. The area itself is blue collar and is filled with ethnic businesses and restaurants. Some of them looked tasty!I think I paid about 65 pounds a night and wish i would have spent more for a better hotel.	
Feb 21 2009 	Hotel nightclub turns night's sleep into a nightmare	my letter of complaint to trading standards sums it up: here's a copy of my letter to trading standards: I am one of the many tourists who have stayed in one of London's hotels. I have a complaint to make about a 3* property. City Hotel, 12-20 Osborne Street, London, E1 6TE. I stayed in said property from 19-21 February. The proprietor chose to provide me with a room on the first floor (room 103). When I returned to my room at about 10 pm on the 20th I noticed that right under my room, in the hotel's restaurant a massive event was taking place, DJ, karaoke etc. Basically the restaurant had turned into a nightclub. When I opened my room I realised that it wasn't soundproof. It actually vibrated from the nose right underneath me. I booked the room, like probably most travellers, in order to get a good night's sleep before continuing my trip from Montreal to Singapore on the 21 February. I complained to the receptionist about the noise. She lied to me, explaining that the noise would stop within 30 min (that's when her shift ended and the problem would have become someone else's problem). I tried for awhile to sleep and complained again at the reception at 2:30 am, at which point in time I realised that I would not be able to sleep at all. I checked out at 5 am, the nightclub closed at 3 am. Prior to that I watched TV, at fairly high noise pitch, simply to drown out the disco happening on the floor below my room. I believe the proprietor's failure to offer me an alternative room and the proprietor's utilisation of the restaurant as a quasi nightclub suggests a complete lack of professional concern for the paying hotel guests. How can it be that a nightclub can be operated under guest rooms that are not sound proofed? I duly received an apology on check-out, but frankly, these apologies are cost-neutral to the proprietor and probably uttered all the time to international travellers that got stranded in this questionable establishment. I wonder what means I have to receive my money back and to receive reasonable compensation for the lost night's sleep. This operation does not deserve the name 'hotel'. It didn't even live up to its own promises, namely to deal with customer complaints instantly. Frankly, the staff couldn't care less.Sincerely,	
Feb 8 2009 	Terrible Hotel!!!!!!!!	Not been very happy with my stay here at all. When I turned up there were two receptionists of which none were really interested in speaking to me. The original room they put me in was at the front of the hotel which was noisey and just horrible!I complained in the evening and my luck was that I found another receptionis who try to be verry nice to me an make me feel better, Giorgia I believe and I was moved into a room which was at the back. . Also back onto the service area so really noisey at 7.30 when staff are banging up and down the lift!The fire exit plan is not clear.... I could go on and on and I believe they were proud of this room!Honestly with the area this hotel is in I would not recommend anyone staying here no matter of the cost and it would not shock me all the good reviews are planted.	
Jan 22 2009	Great Location for Brick Lane good cheap eats near-by	I wanted to stay somewhere near Brick Lane to check out what all the fuss was about, and discovered City Hotel after searching online. The hotel is on Osborn Street, which actually turns into Brick Lane. Being so near by is convenient since the tube closes at around midnight, and I was clueless in terms of night buses. This saves a pretty penny in terms of taxi rides. It was also nice to be able to wander to the weekend Brick Lane market in minutes. The room was clean and spacious. The toilet was a little finicky, but I mastered the lever after a few tries. The staff was friendly and helpful. The buffet breakfast was 10 pounds, but I thought I would give it a try. Not really worth it... especially if you don't eat meat. And they had run out of cheese by the time that I got there at around 9:30a. I would suggest that you try one of the many inexpensive eateries in the surrounding area. There's also a Tesco not too far away on Whitechapel. The room has a fridge and a kettle, so you can store perishable foods and make all the tea that your heart desires.Also, the online price was 50 pounds, which was extremely reasonable comparative to all the other hotels downtown. However, when I reached the hotel, the listed price was 150 pounds. So, I advise booking online!	
Jan 18 2009	Basic convenient location	Myself and my sister stayed for one night at the City Hotel London on 28 November 2008, as we were going to the theatre. We found the area ok, a little out of the main hustle and bustle and easy to get to on the Tube. The area itself is a little bit delapidated with cheap clothes shops and reminded me a little bit of the slightly dodgier areas of other big cities such as New York and Liverpool. In itself I have no complaints and we had no problems, there is a Tesco, newsagents and a few bars and it's about a 5 minute walk from Aldgate East Tube station and more like 8-10 minutes from Aldgate.The lobby seemed smart with marble flooring and modern fittings, the staff were welcoming and professional. We did not book breakfast and £10 or whatever it was seemed a little steep to us, so we went to Starbucks nearby. The room could have been better, on first impression it looked a little bit shabby, but this was because of simple things such as floral net curtains that were drooping and the fixtures and fittings were a little worn, if they were of a slightly higher spec, for instance blinds or plain nets, smarter appliances, plain bed covers, it would lift the whole feel of the room. The bathroom had what looked like a net curtain attached to a shower curtain, it was this kind of thing that affected mine and my sister's impression of our room. It appeared to be clean and was otherwise ok. The walls did seem a little thin and it appeared there was a Christmas party going on in the bar, which we could hear into to the small hours. I also found the room a little cold and although there was a radiator (which could have done with a clean/lick of paint) you couldn't control it. In the night I woke up feeling cold and there were no spare covers or pillows as you would expect, out of laziness I couldn't be bothered to go and ask for spares - certainly not at 3am in my pj's anyway.On the plus side, the location is quite good due to close proximity to the tube. When we were going out we asked reception if they could order us a taxi, we were a little worried when a chauffer driven Jag turned up but it only cost us £20 from the hotel to Soho during rush hour traffic, which is what it cost us in a hackney when we were going back that night. It is also very cheap, I booked a special internet rate which was non-refundable (10 day advance booking) and cost £53. The room was spacious and the beds reasonably comfortable, on the whole it met our needs.All in all if I couldn't get a cheap deal with a chain hotel I would probably book here again if I was simply looking for somewhere to get my head down, if it was a romantic break or a special occasion then I wouldn't. Otherwise it is a great base and I would definitely recommend it if you are simply sightseeing on a budget and just want somewhere to go back to at the end of the day.	
Oct 19 2008	Almost there but not quite	Just had 4 nights at the City Hotel in London EC2. Great room with plenty of space, but the air con was not working anywhere and it was pretty hot.Great location at the end of Brick Lane if you fancy a curry - 20+ indian restaurants in a single street. Plenty of nightlife and a very non-threatening atmosphere.Good location, 3 mins walk from Aldgate East tube.Breakfast was average, with 1 poor one on the last day - cold and poorly cooked.	
Sep 23 2008 	Gets the job done; sketchy service	My wife and I stayed at City Hotel for two nights in early September of 2008. Our rates were about 75-90L per night, though we probably could have done better if we had planned earlier.The hotel is located in the east end of London, a bit north of the City region. It is a short walk from the Aldgate East underground station, though at the time of our trip, the walk required crossing some poorly managed, dangerous intersections under contruction. The neighborhood is notable for a few reasons. Firstly, this is right near Brick Lane, which is overflowing with Indian food. We had intended to sample the famed London-Indian food, but never had a chance during our trip. Secondly, this area is popular for visitors seeking Jack-the-Ripper tours. This was once one of the worst areas of London, ridden with crime, filth and prostitution. During our stay, we never felt unsafe walking back and forth to the Underground station.Our room at the City Hotel was more than adequate in terms of size, furnishing, cleanliness, and amenities. It included a hairdryer, but wi-fi access cost extra.We had an ugly view out the back yard of the block. There were a lot of channels &quot;available&quot; on the television, but most of them were inaccessible or had very poor reception. But then again, who cares about the window view and tv. You're there to get out and see London, right?We experienced some noise from renovation work in the hotel, but these were generally in the middle of the day. We did not hear any noise from the club on the ground floor, though we were on the fifth floor, perhaps far enough to insulate any noise. My biggest complaint about the City Hotel is the front desk service. Our initial flight to London was cancelled (TY, Delta). I made an expensive international call to City Hotel, informing them that I would not arrive the first night of our booking, but that we still intended to arrive the following morning. The receptionist acknowledged my message and my reservation, and assured me everything would be taken care of. I also sent a text message to their email address, noting our delayed arrival.When we arrived the next day, there was no record of my having called. When they pulled out our booking, there was a large &quot;NO SHOW&quot; written across the front. They kept on asking me who I talked to when I called. They eventually were able to get a room for me, but not without us having to wait some 20-30 minutes while they sorted things out. What was the point of my calling ahead?Furthermore, the front desk staff, although they seemed always well intentioned and friendly, repeatedly struggled to perform relatively simple tasks. We asked if they had extra shampoo and soap (Delta lost our luggage), and they told us they would bring it up. We had to ask about three times for it.We also asked for a &quot;do not disturb&quot; door sign. They said they would bring it up. We asked around three times over two days. They finally explained that their DND signs are frequently stolen by guests and that they had run out. Huh?! I never heard of hotel guests stealing DND door signs. They were finally able to get us one, on our final night there, though I noticed that the sign had the url of a different hotel on it.We declined breakfast and we did not try out the food or drink available at the restaurant/bar.All in all, City Hotel is not bad for the money or location, but if you must deal with them on the phone, make sure you get the name of whom you are talking to.	
Aug 26 2008 	Cockroaches Building Work 	I have stayed in this Hotel many times through work who unfortunately has an account with this awful place...Do not be fooled by the new tacky marble entrance, or the hilarious descriptions of &quot;Boutique Hotel&quot; as advertised on many websites such as Expeida.The City Hotel is a disgusting, smelly rotten dump of a building that is infested with Cockroaches. Don't be surprised if you wake up in the middle of the night with one crawling across you face. If that isn't bad enough, you'll also be woken every morning at 7am by horrendously loud building work, banging and drilling throughout the Hotel.I wrote a letter of complaint to the City Hotel manager, Mr Gomez, demanding for a refund. He completely ignored me for one month, until I pestered so much that he eventually offered a measly 30% off my next stay - provided that I booked directly through the Hotel at full rate. Naturally I turned this down and have decided to write this review to warn anyone who is seriously considering staying at this foul place.Sadly, I had to stay there this weekend, again arranged through my work, and once again I received terrible service, was woken up by builders NEXT DOOR at 7am, and almost puked when I saw the state of the toilet.The City Hotel is run by a money grabbing manager who couldn't care less about his customers. The staff are equally miserable. Not surprising though I guess.If you want to stay in Brick Lane, you'd be better off spending this night in a big Curry Bin with the Rats.	
Aug 4 2008 	Worst value for money ever	I have stayed at several hotels in the London area over the past years. City Hotel is definitely the worst value for money, I have experienced. Our room was located at the first floor where the noise from the street, the hallway and the nightclub downstairs was terrible. Really terrible. The rooms themselves where acceptable but not better than you would find in a hotel in the same price range with a more central location.I definitely regret that I did not read the many warnings on this website before I booked our rooms. I would not recommend the City Hotel to anyone.	
