	Great neighbourhood classic hotel	Overall satisfied, the lobby makes you feel in an expensive hotel. The room is perfect, however walls are thin, the neighbours kept knocking on the wall for any small noise from our room. The hotel is huge, and in the morning the breakfast area is totally crowded - the breakfast selection is quite ok.	
Sep 14 2009 	Great Location Poor service and bad attention to detail	The hotel has one great thing to recommend - location. Was travelling for the 1st time to London and it is just about a minute away from the tube station, the best way to get around. Gloucster Road Station has 3 tube lines running thru and is in the middle of zone 1. Walking distance from Kensington High Street and Hyde park. Good pubs and eateries around.By mistake my secretary had booked twice, on the internet as the booking confirmation had not flashed on the screen when she booked it for the 1st time. Was charged for both the bookings! Lousy attitude! most other hotels in my experience would have cancelled the extra booking! Also when I arrived at 0800, after a 11 hour flight, I had to wait for 2 hours before the room was ready. Post that when I proceeded to the room, having being advised it was ready I was shocked to find it in complete disarray. Had to wait another hour before the room was cleaned up and ready for use!The attention to detail in the room was lousy. Was staying in the 1st floor room and it felt like I was sleeping on the road. Noise all the time! Make sure in case ur staying here ask for a room in the 3rd floor or above. The attention to detail was just plain missing. The dressing mirror in the 1st floor rooms, is at a funny place - where one stores the luggage. It would have taken a houdini like feat to get in front of it. One of the mens room in the reception area had hooks missing. There was no telephone next to the bed and morning calls meant a somnabulation to the desk. Lights were funny! No proper bedlamps! the list can go on! The worst was the internet ! a lousy 20 pound charge! for one day! daylight robbery!There is a good internet browsing center nearby. Skip the hotel internet!It typified the attitude at the hotel, take it or leave it!The concierge desk was the only redeeming feature as far as service is concerned. My advice. If all you want is bed and location for travelling around london, take the hotel. Else skip it.	
Sep 9 2009 	Lovely hotel in lovely location	We booked this through lastminute.com and got it for £60ppn B&amp;B, which for London is a good price. When we saw the hotel we realised it was a great price.At less than one minute from Gloucester Road tube station and with its own car park it is well situated. Easy walk to Museums, Albert Hall and Harrods at this end of the city. The surrounding area is fabulous - very up market Kensington and great for an evening or early morning stroll.The rooms were comfortable and adequate. Though watch out for extras.Make sure you are B&amp;B, the breakfast was fantastic - buffet style, though you would have to be going some to get £17.50 worth if you bought it separately.We did not try any of the hotel restaurants or bars, though the restaurants did not look too expensive. Nearby there are loads of other places to eat and a couple of old style pubs and even a Tesco and Waitrose.David H - Shropshire	
Sep 2 2009 	Wonderful Fun Educational Party Time	London was all I hoped it would be. My husband and I spent 5 days and a half ; 27 Aug - 1 Sep 09. The hotel is a a great location; two min walf to Gloucester Rd Tub stop and close to the 74 Bus, which runs all night. No need to rent a car. One of the best subway systems I have seen. The weather was perfect, 77ish with no rain. There is so much to see, take good walking shoes. Dollar rate was not very good, recommend checking a few place before you exchange money; airport does not have a good exchange rate. got a better rate in mall around the corner from hotel. Attended the Notting Hill Carnival (West Indies/Caribean Festival). Nice crowd control by police, for so many people. We will be going back. Highly recommend this hotel. Staff was friendly and room was Hilton+ quality.	
Aug 29 2009 	Very nice hotel - great location!	I stayed here with my niece for 8 nights in August. We had a great rate - booked 3 months ahead at 20% off under the hotel's &quot;Leisure for Longer&quot; offer. Though I had booked a standard room, we were given a superior room, which was quite roomy. The front desk personnel were efficient if not overly friendly. Most people working at the concierge desk were very helpful. The location can't be beat - the hotel is steps from the Gloucester Road tube station, which is on 3 lines (Piccadilly, District, Circle). We did not have the hotel's breakfast, which seemed a little expensive, but there were plenty of places to grab a light breakfast within a block of the hotel. Would stay here again.	
Aug 27 2009 	Wonderful Time!	Had a great experience with this hotel! The staff was excellent, friendly, helpful! The Hotel is beautiful inside, the room we had was great, large for European hotels! Very clean and decorated nicely! Continental breakfast was also great! Would definately stay here next trip to London!	
Aug 24 2009 	Good Hotel	This was my second stay at this hotel and if I can find a good deal, I will stay again. The hotel is very well managed. I hardly had any interactions with the staff, which actually, what I consider a good stay as everything goes so smoothly. Check-in and out was quick. There is always staff at the door to assit. Had a great room on the 4th floor. Though this is a very busy area, the hotel is just off the major road enough to have complete quiet. Even with the window open, I never heard any street noise.Everything was clean and very well appointed. The room for London is quite large--2 twin beds, TV/storage dresser, desk &amp; chair, as well as a more relaxing chair with table. Good closet area. And large bathroom.Decent selection of channels on the TV. The location couldn't be more convenient, maybe a 1 minute walk from the Gloucester Road Tube. Adjacent are a number of resturants with a wide range of offerings, and other shops inclduing a Waitrose, Boots, Tesco Express, and Starbucks. The Post Office is also just across the road. It's a very safe area, and as a middle aged female, often coming and going on my own in the evening, that is very important. The surrounding streets are busy with lots of tourists and also locals, and iit is a very upscale area. A short walk brings you to Kensington High Street, another good area with lots of shops and resturants.I've stayed at several other hotels in the near vinicty and those were also nice, but not at the level of the Millenium Gloucester. I highly recomend this hotel.	
Aug 23 2009 	Worst front desk experiance of all time...	Checked into the hotel after 20 hours of flying and all I wanted was a room... After a lengthy check in period was given keys to two rooms which were reserved as adjoining however they were not available so one was just down the hall. My parents got to their room and all was fine. go down the hall to find the room was not made up. Back down to the front desk, given key to another room after 5 minutes and up the elevator again. Open the room and there was someone in it sleeping! Went back downstairs again, repeated the process and given keys to another room. Opened the door and it was not made up! On the fourth go, finally given keys to a room that was one room of the Presidential suite. It was over an hour until I finally got into a room – not pleased.On the third night, was awaken to a fire alarm at 3am, which then changed to the evacuate tone. Grabbing my passport and wallet, went down across the roof of the building, down the stairs and onto the street. There was a group of people gathering in the lobby and the lone clerk at the front desk had no idea what was going on. Apparently some drunken idiot smashed a fire panel and set off the system. The front desk clerk was refusing to call the fire department as he thought it was just a fault and also refused to call the manager of the hotel at home, as he was under the impression he would get in trouble… There was an irate group of individuals at this point. After an hour the alarm was finally taken care of by the fire department which showed up 30 minutes after the first alarm.Only good things about the property was the closeness to the Piccadilly tube line and there was good pub across the street. Would not recommended at all…	
Aug 11 2009 	lots of street noise	This hotel has a nice location and I found the staff to be friendly. My room was very clean and I thought the hallways and elevators were kept clean as well. My room was on an extremely busy, loud street so it was hard to get good sleep. I am sure that there are more quiet rooms but I did not get one. I had room 251--if they assign this room to you insist on a different one if you want to sleep.	
Aug 4 2009 	Unfriendly and rude Front Desk 	We stayed at the Millennium Gloucester for 3 nights in end-July. The hotel is in a great location - just a cross the road to from the Gloucester Road tube station. I would share all the positive reviews that people have put here. The only drawback is the front desk and concierge staff. Again, speak little English, unprofessional, never offer any help. The only exception was with a GREAT English lad at the concierge at around 7:30 pm on July 29 2009.	
Aug 2 2009 	Great Hotel	We stayed here for a weekend break and the hotel was excellent.It is right next to Gloucester Street tube station, which you can reach direct from Paddington train station. We managed to get a good deal through Lastmin.com so for what we paid it was great value, not sure what usual rates are.There was lots of cabin crew and pilots staying so it must be good. Rooms were clean and really comfortable, the bed and pillows are memory foam so really nice! I could not moan about anything except the hairdryer was rubbish, girls take your own if you can!!There is a few resturants around the hotel, we visited two. On the first night went to Dim T, a great noodle/oriental type resturant which was great. Not bad value for London and really nice food. On the last day we went to Bugis St, which is part of the hotel, they do a Sunday lunch buffet for £7.95. This was not great, there was very limited choice and most items were fried! However I suppose for the price it was not too bad, and when we left I did leave my bag and the owner chased us to hand it back. Very honest, thank you!So overall a great hotel, I would definitely go back if visiting London again.Tip: If you are looking for a good show we would reccomend Sister Act, great fun!	
Jul 31 2009 	Nice Hotel but definitely for the business traveler	I came to London to spend a few days with friends and wanted to stay in/near the South Kensington area. The neighborhood is fantastic and quaint and there is easy access to the Gloucester station tube. The hotel doormen were very friendly and accommodating. The staff behind the desk were less friendly and helpful. The rooms were very nice and clean, a little stark. The best part of this hotel is location.	
Jul 27 2009 	Gone steadily downhill over the last 20 years	We've stayed at this hotel almost every time we've visited London since the late 1980s and it has always been our first choice, staying in other hotels on only a handful of occasions I can recall (and even one of those we moved to the Gloucester part-way into our visit because we disliked the other hotel so much).However, in recent years our visits to the hotel have become more and more disappointing. With us being most dissatisfied with this most recent visit. Probably the most annoying was the attitude of some staff members, particularly the front desk staff. Our relationship with whom started our rocky after we were put in a twin room when I'd specifically booked a double. &quot;The room is in the computer as a double&quot;, says he. &quot;I can assure you it's not&quot;, says I (having been in the hotel business and knowing full-well the difference between the two). Then the solution of having housekeeping turn said room into a double by moving the beds together being the only/best solution proffered? On a reservation that was booked six months out? Well it's just not good enough really.But one thing was better - I really liked the new digital TV system and large flat screen LCD TVs that have been introduced since our last visit 18 months ago. However, that will not be enough to get me back again.	
Jul 21 2009 	Not a great experience - rough around the edges	With my work, I travel a lot, and am fortunate to stay in a number of very good hotels. I was attending a conference at the Millenium Gloucester and the organisers had arranged for all delegates to stay at the hotel, as well as dining within the establishment throughout our two night stay.Upon arriving at the hotel at their stated check in time, I was told that there was only going smoking rooms left, something that I do not especially like as a non smoker. Upon arrival in the room, I was impressed with the overall space offered and there is a nice large television and comfortable bath room. These are the good points. The bathroom was not clean, with some form of dripped discoloration down the front of the counter and a bath that was sticky. The bed was a double bed, but a old fashioned one, basically comprised of two single beds, joined in the middle One half of the bed was incredibly rock hard, and the other hard was like a bean bag - this all made for a very uncomfortable nights sleep.The room lacked a guest information directory, so I went down to reception to purchase an internet access card. I went to reception and asked for a WIFI card for my room, which they subsequently provided and charged me for. Returning to my room, I could not get it to work, however had to then leave for dinner, so decided to leave it. In the morning I said I cannot get the wifi to work. Reception told me that the WIFI does not work in guest rooms and she could not believe I had not been told this at the time of purchase. After a prolonged discussion, I was refunded. I would say that this hotel aims itself at business customers - something that I cannot see being a great success with such more internet access and a cost of £9 for only 4 hours, when most business hotels now offer free wifi.Dinner was in the hotels conservatory, which was standard conference fare - all served hot and relatively tasty - however the Roast Lamb was served with a parsnip mash that tasted so sweet it turned your stomach. The desert, was utterly hideous and one of the most poorly conceived dishes that I have ever seen - it has become a running joke for all of our conference delegates.The public area lavatories were also permanently messy and unappealing. On a positive side, the checkout was smooth and the breakfast was the best I have ever had in London.Basically, this was not up to scratch and you could do much, much better for less money, including hotels such as the City Inn Westminster and the Gloucester' sister hotel at Chelsea FC - both of which do such a better job and have a higher level of attention to detail. Deeply disappointing.	
Jul 19 2009	Good Price Good Location	This hotel isn't in the heart of London, but it is in a very nice neighborhood and is steps from the Gloucester Road tube station and the tour bus stop. I think we paid about 110 Euro/night. It's more of a business hotel than a tourist hotel. The rooms and bathrooms are huge by London standards. The staff was very nice: they allowed us to check in early, and the concierge was happy to show us how to get around, and got us a reasonably-priced car service to the train station. There are lots of cafes and shops nearby, including a 24-hour Tesco. We ate at Light of India and DaMario nearby--both were good.	
Jul 15 2009 	Not really up to scratch	I stay here from time to time through work (we get preferential rates). This stay was very average with some problems along the way.The hotel is very well located 1 mins walk from Gloucester Rd Tube Station, and 5-10 mins walk from the museums of South Kensington.First impressions aren't bad. A large covered driveway, with limos parked around. The door is often manned. The lobby is reasonably large and looks like the designers have taken inspiration from the large hotels in Asia. The hotel is obviously popular for airline crew stays. I think the the dozen or so times I've been in the lobby I've always seen at least half a dozen airline staff milling about.For such a large hotel the restaurant selection is odd. There is a nicely laid out restaurant that is only open for Breakfast and a small restaurant serving Singaporean food, and that's it! I've previously tried this restaurant and it was really nothing special - The Hot &amp; Sour soup was neither hot or sour. You can use the sister hotel, The Bailey's Hotel Restaurant next door for meditteranean fare if you like, but on a wet night if you don't want Singaporean food you're stuck with room service. The hotel bar is not too bad and makes a reasonable place to have a small meeting.I was allocated a double non smoking on the 3rd floor. There was no offer of a morning call, or paper (free or otherwise). The room was adequate and in reasonable condition. With the curtains closed the lighting was a bit dim. The bathroom is average sized. The bath has an overhead shower (albeit set very low at about 5'6&quot;.). A word of warning my bath had very steep and high sides which made getting out of the bath awkward and potentially hazardous. There is a handrail but it's only useful if you want to climb out of the bath and put your foot into the toilet!The TV didn't work in my room. An engineer came but said he had 20 other rooms who had known problems and that it was probably a server issue and that wouldn't get fixed tonight (8pm). With at least 20 rooms experiencing problems - I didn't see there being much point in requesting a room change.The following morning I could only get lukewarm water, so a bath was out of the question. The water pressure in the shower was very power, little more than a trickle.Breakfast was included in my tariff. I'd be very unhappy paying the quoted £17.50 below. The only papers available at the desk at 7.45am were copies of the Wall St Journal. Although the Matre D did go and get me a copy of the Telegraph from the concierge. The Buffet is pretty uninspiring and seems to offer little more than the standard buffet - no surprises. At 17.50 in a large hotel I would have thought they could finance a few extras, but no. The orange juice is terrible and tastes like they've added 1/2 a glass of water to the concentrate you normally drink neat from the supermarket. Coffee is OK.On check-out I mentioned the problems and after a quick word with the assistant manager - a note was made to upgrade me on my next visit - we'll see.Overall, the hotel isn't bad. It's clean, and feels comfortable. If you can get a good price and assuming the plumbing and electrics work, I think you'll have a good stay. There are a lot worse hotels out there.	
Jul 15 2009 	Great expectations that lead to an even greater let down	Okay my fellow trip advisors i was a little hesitant on writing this review because i dont like to be the party pooper on this hotel.I am a very easy to please sort of guy so it takes a lot to put me off of something.When we first checked in we were told the room was not ready which is standard since we were early we dropped off our bags and went to explore the beautiful city of London.We got back to the hotel around 3 to go to our room so that we could relax after getting off the eurostar and take a shower to get ready for dinner.We got off on the 5 th floor only to see we had a smoking room but we requested a non smoking room.Once again not being picky i have severe asthma so that alone is a nightmare trying to sleep at night.When we entered the room there were carpet burns all over the place,and on the furniture and the t.v did not work neither did the internet service also the peeling ceiling paint didnt do anything for me either..So we called to see if the room could be changed we booked a superior room so we asked for a similar room to which we paid for.They moved us to the club room which is supposed to be a better room than what we had.So we said at least the hotel is making up for the inconvenience after a long trip.Well when we got into the room it looked like the bedroom set from the Golden Girls....no exaggeration.After that point i gave up and said it is what it is lets just enjoy London...hey where in europe.. Lets try nd find someplace to eat.dinner tonight...ohh wait we cant the internet doesn't work and worked once for an hour for my entire stay..... so here i am typing this long review ..one which i never thought i would have to..so stay here folks at your own risk....p.s steer clear of the shady queen at the check in desk....not nice at all.... you were warned...this place is a hit or miss ..so if you get a great deal go for it but if you paid a regular price head for the hills..no like now..go..no really go	
Jul 14 2009 	Internet Charges not acceptable.	Checked into the hotel 1 hour early and our room was ready - which was a relief. The hotel is a bit souless and not really welcoming. None of the front of house staff speak English as a first language - so communication is a bit difficult. The hotel decor is a bit dark overalll and could do with brightening up.Our room was clean except for a few of those hairs in the bath you do not like to see !!!.We checked a box when booking to ask for internet access in our room - which we got - eventually - after we had to call an IT man from the staff to re-configure our lap top to connect by cable to the hotel internet [ no Wi -Fi in the rooms]. What was a shock was £20 per day to use the service. In this day and age this is not accetable and a rip off really - when every pub and cafe around the hotel offer WiFi for free.On the plus side the hotel is very quiet - at night and our Queen size bed very comfortable - Ihad 2 very good sleeps at night.the breakfast at £17.50 is very average - from the buffet - with a £5 reduction if you prebook when checking in. Again a total abscence of English staff makes communication just a bit more difficult - although I accept this is a sign of the times in london. Breakfast is available accross the road in a very nice deli for £6.99 - including coffee.Not a bad hotel - just that bit impersonal - but I suppose a lot of people prefer this. just the uinternet access thing badly let it down. I hate being ripped off. I speak from expewrience being chairman of a Tourism Association so I know how the business works.	
Jul 13 2009 	great location great deals with Last Minute	we were very pleased with the location of this hotel. We got a great deal with Top Secret and so cannot fault this for value. The interior is beautiful and is very well maintained	
Jul 12 2009 	Great value and comfort	I normally stay in this area and decided to give the Millenium a try. I got one of their 3 night deals and had a very nice room on the first floor. It was on the road but can't say it was noisy. The breakfast buffet was varied and worth the extra but I am not a b/fast person and wouldn't bother next time. I had a Queen size or some such bed and large TV in a very stylish room. It didn't seem the budget room that would go with the deal! The hotel had AC which was great during the hot spell of my visit. Will be back. Certainly better value than the aparthotel in this area I used in the past. Internet access was 20 pounds a night but there is an internet cafe around the corner.	
Jul 5 2009 	Everything You Need	Have just returned after a 3 night stay at this hotel. Took about 2 minutes to check in, this is a lovely hotel and very handy for Knightsbridge and Chelsea which is only about 10-15 minutes walk to both. Gloucester tube is just around the corner, and there are some lovely cafe's and restaurants and pubs just outside the hotel. ( Decided to give the breakfast a miss for that reason ) also Tesco's which comes in very handy. The hotel room was lovely, very modern with a flat screen tv, queen size bed, lovely and clean with new white fluffy towels good air con, which was needed as it was boiling hot in London, i'm happy to say. There was tea and coffee facilities, iron and board, safe and plenty of space and cupboards etc in the room.I paid £99 per night which i thought was a good deal for London. Would be more than happy to stay there again. The range of takeaway food in London is very good you can can get almost anything. I would recommend a trip up to Camden Lock there's loads of markets and food stalls, very lively and a great day out. There's a restaurant called Cloves near the hotel which sadly i cannot recommend. Paid £9.95 for a tiny lamb chop with four baby potatoes, i asked for one portion of veg which cost another £3.25 i'm not a big eater but this is the first time i have left a restaurant still hungry ! Also they stuck £3.89 service charge on the bill. There's plenty others out there which will probably be much better value.	
Jun 20 2009 	It has been better!	I have stayed at this hotel at second time. First time I was there in July, 2006 and it seemed to me very good. The second stay was not so smooth. We have been upgraded to the superior room as we had booked standard room with double bad and was offered a room with twin bed. I complained about this to the manager and received upgrade. The breakfast was excellent, the room was spacious enough, but the bathroom should be renewed - it looks old. Also we had to recharge our room keys almost every day.In the end of our stay we have been locked in our room!!! And it took us 15 minutes calling to reception and house-keeping in order to have someone to unlock us!	
Jun 10 2009 	Great Location	Spent seven days at this very good hotel, excellent location, just meters away from Underground on Piccadilly line. Huge room, excellent facilities. Would recommend it to anyone, business or leisure.	
Jun 8 2009 	Great location and very amiable staff - club lounge is very nice	My wife and I stayed at this hotel because many airlines use it for their crews so we thought it must be OK. It is an upscale, modern hotel with a great location and was also nice and quiet. The Picadilly tube line station is only a few steps away making it very convenient as this line goes straight to Heathrow Airport. Museums, Harrods and many reasonably priced restaurants are within walking distance. We upgraded to a Club Room and did not realize it , but this upgrade allows you into the Club Lounge where a very fine (loxs, fruit, latte, etc.) complimentary continental breakfast served every morning and in the evening there is wine, cheese, etc. If you don't require a big breakfast, the continental breakfast as served is plenty (in some respects better than the buffet in the main dining room.) We made the mistake of buying the Buffet every morning (at a reduced rate) but would have been more than happy with the offering in the Club Room. The hotel would not give us a refund. We will know better next time.	
Jun 7 2009 	Great location look for good deals	My review is based on the fact that I got an excellent deal on this hotel - I paid less for this hotel than you would a Travel Lodge and therefore am very impressed with what I got for my money. Impressive lobby, polite door and reception staff, upgraded to a Superior room which consisted of a Super King size bed, huge TV and small office area with desk &amp; leather chair. Location is fantastic, right on the door step of Gloucester Rd tube, walking distance to lots of tourist traps incl Hyde Park, Notting Hill, Knightsbridge etc. Perfect for a London weekend break. Can't fault the hotel - oh except the one bathrobe in a 2 person room??? A bit odd but if that's my only complaint it's not so bad!	
Jun 3 2009 	Well run but not as good as it should be for the price	Stayed here for business recently for 3 days. I knew the hotel years ago when I stayed here regularly, and it hasn't changed very muchGood stuff:location is excellent, in a prosperous area and right next to a convenient tube. Lots of local facilities; Cleanliness and standards of maintenance are tip-top; Service is very efficient and friendly enough; Rooms are well sized; Not so good stuff:Decor is pretty dated and too transatlantic for my taste - OK if you like lots of brass and orange wood; In-room facilities (toiletries etc) are pretty stingy for this class of hotel; Internet is a total rip-off. Gouging £8/hr for something which costs the hotel virtually nothing leaves a very nasty taste in the mouthSo overall it can't muster more than an average mark. There are much better hotels for this sort of money, which offer a more modern and &quot;special&quot; experience. The Gloucester is just a bit too mediocre to be anything more than a well-run corporate hotel in a decent location. It is very well managed, and if this sort of decor and impersonality appeals to you and you get a good deal, it's well worth a look.	
May 26 2009 	Great - except for air freshener!!!	We stayed on the 5th floor (a Millennium Club room). The staff were very friendly and helpful. We took advantage of the Club Room on the 6th floor one night for wine and snacks and every morning for a limited breakfast.The location is great -- the Gloucester Road tube station is literally across the street, so easy access to the Circle, District, and Piccadilly lines. Stores and restaurants in the same block.My only complaint is that they use some kind of fancy air freshener every time they clean the room and I have perfume allergies. The odor was overpowering every time you walked into the room! I had maintenance come up and open the window for me -- we kept it open the entire 4 nights we spent there -- fortunately the weather was great. Having the window open helped, but did not eliminate, the odor. (Yes, I asked our maid not to use the air freshener while we were there.) Because of this we spent as little time as possible in the room.So, IF YOU HAVE PERFUME ALLERGIES OR ASTHMA, you would be better off staying somewhere else!	
