	Great hotel great location lacking on breakfast"	I went there with a group from school and it was a really nice experience. The rooms where really nice and everything was to our service. Local pubs and restaurants around the hotel made the stay even better. But from a grade 1-10, 10 being the best and 1 the worst, the breakfast buffet at the hotel was like a 6. After the first day eating there, the following morning all I ate was toast and coffee. The food overral wasnt that good, but besides that a very beutiful hotel.	
Nov 2 2009 	Could do better	Stayed here for a two night weekend visiting son at college so the location was perfect. Got a cheap rate with breakfast included via GTA but thank goodness- I would have been very disappointed if we were there for longer or at full rate! Check in was brisk and efficient once we'd located the reception area tucked away to the side of the entrance. First impressions were of faded glory - a very musty smell in the landings and corridors spoilt the impact of the beautiful foyer and marble staircase. The usual tricky operation of an electronic door key meant a dozen tries before the room door opened.The double bedroom was small even by London standards and at first floor level looking onto Bernard Street. No double glazing meant a lot of noise from the street into the early hours which then re-started 6.00 am onwards. No hooks in the room or bathroom to hang stuff on, the minibar was empty, the safety deposit box was out of service, there was a duff lamp above the washbasin, the room lights could not be switched off independently of the master switch, the bed was very short even for me at 5'7&quot;, the heated towel rail in the bathroom (the only source of heat in the room) was permanently off. I'm sure that some of these faults could have been fixed quickly if I'd reported them but when you're there on a short visit you don't want to spend time sorting everything out or demanding a room change and possibly being labelled a troublesome guest.Breakfast was very nice although the large numbers of staff didn't really seem interested in making things run smoothly, wandering round aimlessly rather than clearing tables. Shining exceptions on the staffing front were the barmen and the concierge staff who were friendly and helpful.This hotel is more 3-star quality and based on our experience you could do much better for the money in London. Maybe we were just unlucky with the room so we might try again as it was so convenient otherwise.	
Nov 1 2009 	Perfect stay... again!	We were in room 725, a renovated room. My husband &amp; I were there for the New England Patriots game at Wembly with his cousins. As we've been to London before &amp; stayed at the Russell, we recommended it to his cousins as it is (we believe) the best value in town. His uncle &amp; wife stayed at the Lansboro in Hyde Park as their wallets do not have a limit. Room 725, an executive double, was offered to us as we checked in early after our red eye flight as this was the only clean room at the time. We had booked a Superior Double. The room is contemporary &amp; had red mood lighting. This was fine, except when I needed to locate things in my suitcase. The big shower for two, was nice but it had a clog. We informed the cleaning lady &amp; she promised to let maintenance know (reception was always busy in the AM). No resolution. So we informed reception... it was resolved immediately then. Room warm but had A/C. It was facing inwards so the view was not ideal though vast but this is what we prefer than having street noise. The 2 cousins &amp; girlfriend enjoyed their stay too &amp; thanked us for the recommendation. They couldn't believe the value for the money and to be in the perfect location...and the Tube right next door. As usual, we absolutely love the old English bar room...	
Oct 29 2009 	Lovely hotel	Couldn't fault anything. Ideal location, friendly staff, clean and great food. We will return!	
Oct 28 2009 	Great location if you get a good deal.	The location was wonderful...close to both the tube and the train station. We got a good rate from a travelzoo.com deal, so the price was reasonable. The front desk was not as helpful or as friendly as many other places that we've stayed. Some of the interior features were very nice, but the room was dark and a little dated.	
Oct 28 2009 	Beautiful building but some aspects far from 4 star quality	Check-in was friendly but slow (not enough staff on duty).Bed was very comfortable but room had no natural light (entirely frosted glass); it was supposed to have an in-room safe but did not.Long slow queue to go into breakfast (I have never had this at a 4 star hotel - it was like being back in the school canteen!) - there was only one member of staff who was rushing backwards and forwards trying to seat people.Breakfast was very poor - I have had much better quality breakfasts in basic B&amp;Bs and budget hotels. There were no individual tea pots on tables; instead staff milled around with large pots - my tea was stewed and lukewarm and I was never offered any refills. The toast was cold. My table was laid with all knives (instead of knife and fork) and no salt and pepper. The hot buffet had run out of several items. And so on. I felt sorry for the staff - the processes in the dining room at breakfast clearly need a radical rethink to bring the standard up to 4 star. Considering the room cost nearly £200, the breakfast I had was very poor value for money.	
Oct 25 2009 	Elegant. Good location.	To start, we were fortunate to be upgraded to a suite, Sweet! The room was generous in size, with 2 bathrooms. Since we were in the hotel for 4 nights, the extra space was much appreciated. Aside from the upgrade, the hotel was elegant, employees were very helpful and the location was convenient to bus, tube and St Pancras train station. The room was very quiet and we slept well. Bloomsbury is a lovely neighborhood.. It was a bit pricey, but we wanted to splurge and we weren't disappointed. We didn't eat in the hotel, so we have no comments there. There were plentiful restaurants nearby, more reasonably priced. I would stay there again.	
Oct 23 2009 	Good but I had a suite	Looking at the other reviews I think I did well staying in a suite here.Hotel is located just less than 10 minutes walk from Euston in a reasonable location.Swift check-in, suite was lovely. Shame about the traffic noise but it was not horrendous. The food in the restaurant was good but the service was very slow. Sat down and told them we were on tight timescales as had theatre tickets, it took an hour to get a main out and they charged us for the sweet we didnt even get. Had to run and still missed curtain up. Breakfast wasnt as problematic but it was a buffet so no issue with service.As it was business I am not sure of the cost but looking at other reviews I suspect overpriced.	
Oct 23 2009 	Past the best	Great location but needs to invest in a makeover - especially as some rooms have no double glazing !!!Cost are high given the conditions - staff nice but let down by the building that must be just coping with modern expectation. Oh and please wireless should be available and 'free'.	
Oct 18 2009 	Find another hotel - there are plenty in and around the square that are much better.	A terrible hotel that should be ashamed of itself. Once out of the very grand public areas, the hotel goes rapidly down hill. I wouldn't mind so much is if wasn't grossly over priced, but with shabby rooms, ridiculously small bathrooms, no double glazing or secondary glazing meaning the rooms are noisy - there are plenty of much better hotels where I would suggest you stay. In terms of location, its reasonably ok. Within walking distance of Covent Garden (10 minutes), Oxford Street, (10 minutes), St Pancras / Kings Cross Station (20 Minutes), Soho, (20 Minutes) - MANY other cheaper hotels are also well located!!!	
Oct 16 2009 	OK but nothing exciting	Stayed for one night on business as the Radisson where I usually stay was fully booked. The room appeared to have been re-furbished and was clean but old fashioned in design. The air con was extremely noisy and the control panel on the wall was not working. I was not impressed by reception. I warned them that I was expecting a parcel but they failed to tell me that it had arrived and were reluctant on check out to check for me. It turned out that it had been delivered the previous evening and noone had bothered to tell me.Breakfast was OK but service of coffee/ tea was slow.In summary I would not turn down this hotel but would certainly not request it. I much preferred my stay the previous evening at the Radisson Grafton	
Oct 14 2009 	I saw a RAT in the breakfast hall!	I checked out of the hotel yesterday morning and was there for a training course. It was the first time I have visited this hotel.Before I checked out I went downstairs to have breakfast. I sat by myself facing the side of the hall where a few tables were lined up. Displayed on these tables were the soft drinks including the tea and coffee and the cereals.As I was about to take a sip of the orange juice I had just got when I saw a RAT running along the floor close to the table.The breakfast dining hall wall full of people and it was about 8.30am.I immediatly got up and ran away stunned!I told the attendant at the helpdesk and she asked me to write a complaint letter and send it in but did not do anything herself that I could see.If this is supposed to be a 5* hotel then this is completely unacceptable!!	
Oct 13 2009 	Great hotel and fab location!	Stayed in the Russell Hotel, Russell Square, for 2 nights. It is a gorgeous hotel in a great location, right next to the underground and about 10/15 minutes walk from Shaftesbury area. Hotel staff helpful and room very clean. The room wasn't massive but what do you need for 2 people!! The bathroom was big and clean. Breakfast was very nice and lots to choose from and the good thing was that they served it until 12 noon on Sunday!!! Definitely stay there again and recommend it.	
Oct 13 2009 	Where did these people stay	We are just back from an amazing weekend in London staying at the Hotel Russell. I had just read Trip Advisor the night before we left and was worried about the mixed reaction regarding the hotel. To say that i was pleased when we arrived is an understatement. We arrived at the hotel at 8.30am to check in our luggage only to be told that we could have a room immediately which was traditionally furnished and not refurnished yet or if we wanted to wait a couple of hours we could have the refurbished room, needless to say we waited and our room was lovely. The staff were excellent and the breakfast was amazing. We had stayed at the Marriott Kennsington a few months ago and Hotel Russell is definately a superior hotel. I just don't understand where everyone else stayed because it certainyl doesn't seem to be the same hotel we stayed in. We are planning to go back again before the end of the year.	
Oct 8 2009 	Not worth the money	The room faced an air shaft and the windows were opaque and did not open. I had to call the desk to find out if it was raining. No desk lamp and the ceiling light was inadequate for desk work. They claimed they had no lamps but would 'upgrade&quot; us to a brighter room for anothe 20 quid a night. Breakfast was hideously expensive, we ate donots from the Tesco across the street. A disappointment in all departments.	
Oct 3 2009 	Not as good as it seems	For a long weekend away my mother and me spent three nights in the hotel. Room was small but rather ok, the chair in the room was ancient, beds good, bathroom horrible fungus behind the tap in the bath. Complaint and requested for cleaning but to no good. Absolutely no warning about the GBP 2.5 credit card charge. Complaint about that, but receptionist told me it was due to the fact that credit companies charge them. A management decision. Well maybe they can use the GBP 2.5 they charge most guests to replace the furniture in the rooms and get the rooms cleaned properly.	
Sep 30 2009 	Absolutely disgusting they should be ashamed of this hotel	Staying on the 29th Sept 2009 Staying for one evening due to a over run at work, found this hotel via bookings .com £125 reduced from £369.00, reviews were mixed but the hotel was in a good location. I was checked in fast enough with the staff quite helpful, given room 628 on the sixth floor... well i was shocked, i stay in Hotels all over the uk and europe with work, but was shocked to see the run down old smelly room i was given. Im sat here now fumming only still in the room as currently watching the football the the tiny old telly. i've been scraching since i've been in here, there is paint falling off the walls and door frames the bath room has no window and looks like a public toliet, tiny and filthyInternet access is 15 pounds !!!! I really would like to say something nice about this hotel but sadly from the moment you enter you will regreat it. STAY AWAY trust me	
Sep 30 2009 	long london weekend	stayed here for 4 nights over the august bank holiday,came to london for the rugby final at wembley and to take in a show.on arrival we were greeted by reception and allocated our rooms in no time ,the first impression of the hotel is very good as the frontage is impressive the public rooms have all been recentely refurbed,our room was of a good size although the outlook was poor,staff in the bar and restaurant very freindley,breakfast was very well organised although the hotel was full you never waited,the food was excellent and had plenty of variety. the hotel is sitiated next to russell square tube so all london is easily accessible ,i would strongley recomend this hotel to all types.	
Sep 25 2009 	An Expensive "OK" Hotel	Check in was fine and helpful, I had a small suite on the top floor, very comfortable.dinner in the hotel was ok but pricey not a great deal of choice,Breakfast had most things on show but I rate it only 3/5, and get there early... Check out........ well very odd I did not see the signs warning about the £2.50 charge for credit card use when I checked in but they were very evident on my departure !discovered the shower control handle was designed for Mr universe once I had got in to it !, all 3 people in my lift had the same issue on my morning of departure, perhaps a lesson for me .	
Sep 25 2009 	Frustrating start...	My boyfriend and I arrived at the Russel after a long day of travel from the States. We had booked the Russel online, and had prepaid for our room. Upon arrival we were told that &quot;there were no rooms&quot; which as we had already paid for our room was not acceptable. Eventually a manager was found and we were put in an &quot;old room&quot; which had a lovely bathroom but the room itself had some wear and tear. The manager offered to buy us some drinks at the bar to make up for the inconvenience, however there was a large party going on so we went elsewhere. The next day we were switched to our proper room which was wonderful and beautiful, I only wish we could have spent both nights there! The staircase going upstairs is very beautiful as are the huge chandeliers.I would stay here again, however I would make sure to tell them this story to make sure that they actually reserve our room next time!	
Sep 23 2009	Happy Canadian Ladies	Our tour group of 12 Canadian Ladies stayed at this hotel from Sept. 12 - 16. The hotel was totally accommodating in every way. The foyer is beautiful and elegant. When I got to my room, I was a little surprized at how small it was but -- what the heck -- I'm not in Canada anymore. I had been told the rooms in UK and Europe were going to be small so I easliy adjusted. I was also initially disappointed that my room looked into the courtyard -- no grass -- just mechanism for the hotel -- but in the end, it was a complete blessing because it was totally quiet and I slept like a baby. Our entire group raved about how comfortable and cozy the beds were. The bathrooms were huge and spotless. The plumbing was obviously recently updated as the showerhead was state of the art and the water was as hot as I could stand it. The breakfast room (and marble staircase in foyer) was designed by the same man who designed the dining room and grand staircase on the Titanic! Breakfast was an elegant affair in a beautiful setting and lovely soft music playing. The food staff were attentive and efficient. We did not eat any other meals at the hotel but there are many resonably priced restaurants / bars nearby. The Russell Square Tube station is 1/4 of a block away. It whisks you anywhere you want to go in London. I felt safe in this area and like a Princess staying at this hotel. Thank you Hotel Russell for everything you did for the Voyages Millefleurs Canadian Ladies Tour Group!	
Sep 21 2009 	Can do much better	This hotel was booked by me by someone else and they've obviously never stayed there themselves. Tiny room, three attempts to get my room key to work, gloomy staff, gloomy decor and seriously expensive compared to others in the same part of town. Still using tiny 10&quot; portable tv's in the rooms (mine was broken and they refused to fix it or move me) rather than flat screens as are common across this kind of hotel in london - that kind of sums it up: no doubt popular with tour operators but needing to catch up with their peers	
Sep 18 2009 	RUDE	To pay 256 £ a night and not even have internett on the room.. when asking for internett i was regarded a trouble maker.. the worst kind of service have ever encountered.. Stay away.It must have been a very nice hotel once.. but not anymore.	
Sep 12 2009 	2 different stays 2 different experience	Stayed here at the Russell Hotel and had two different experiences. First time I've stayed there the front desk was fantastic. A big smile and a friendly welcome and tried to assist me in every way possible. The room was big, air con was good and a very quiet room. The second time we stayed here the concierge was terrible. There are a few steps up to the entrance. The concierge was standing right at the entrance. He saw me and a friend pulling our suitcase up the stairs very slowly and he just stood there offering no assistance at all. Didn't bother to open the doors for us too so I query why is there a concierge at the hotel when he does absolutely nothing but just standing and staring. The front desk this time wasn't very friendly and initially said they can't give me a twin bed room because I didn't book for it. However on the booking confirmation printout I brought along with me, clearly reads 2 twin beds required. So therefore 2 stays with 2 very different experiences. I guess it just depends on who is working at the hotel on the day you arrive/depart. The location is very good, literally right next door to the Russell Sq tube station. Rates are quite reasonable for a 4 star hotel.	
Sep 3 2009 	brilliant weekend stay	greta location just around the corner from russell square tubecentral for all touristy spots , theatre, shopping and museumsstaff,food and room in hotel all of high standard	
Sep 2 2009 	Ideal location good hotel but management needs to review some of it practices	We stayed here on the 'Shopping Package' from www.booking.com, an excellent deal that covered 2 nights B&amp;B, a £20 voucher for Harrods and two complimentary glasses of champagne. The receptionist gave us the voucher on check-in but we had to question her a second time about the champagne, if we hadn't pursued it with her we'd never have got them... The room was situated at the back of the hotel was large (for a London hotel) and we had a fab view out over the city but the air conditioning unit was fairly antique and loud but it was vital to have it running as the room was quiet hot. The bed was really comfy and the hot breakfast was very good.There is a charge of £4 for 20mins internet usage for the computers provided on the ground floor. I paid by credit card (&amp; was charged £2.50 for the privilege) but the receptionist put the charge through in Euros on my card without being asked, when I questioned her she said as I had a Euro Visa card she charged in Euros instead of Sterling. When I checked later I had been charged at an exchange rate of 1.19 instead of 1.09 which was the rate on the day... This added an extra €30 more on the bill - insist you are charged in sterling - this exchange rate was robbery.We left our cases with the concierge after checking out as our flight wasn't until the evening, when we went to collect them the porter led us into the room where all the cases were held and told us to take ours, he never checked the docket we had been given earlier. We took our cases but could have taken any ones we wanted...	
Sep 1 2009 	Nice hotel...Good location	We stayed at the Russell Hotel for 2 nights in a regular room, I was given the option to up grade but at £60 extra thought it was a bit pointless just for a bigger bed! The room however was slightly on the small side but it served it's purpose...no-one wants to stay in there hotel room long when your in London anyway! The bed was really comfortable and the bathroom was a decent size. The only down side was the lighting or should I say lack of it!! The windows were totally frosted so didn't let in any natural light... I did have a bit of a nightmare getting ready in the room! The hotel lobby is really nice with a lovely big marble staircase. We only went for breakfast one morning, it was nice but nothing special. The little cafe's dotted around London were much better for breakfast. The hotel is in a lovely location across from Russell Square and only about 10 mins walk from the train station (45 mins for us though because we got totally lost) Oxford street is only 10 mins walk away as well, and the shops are fabI would recomend Axis restaurant in One Aldwych Hotel, the food was gorgeous and staff lovely. Also Dirty Martini in Covent Garden it' cute little cocktail bar I would probably stay in the Russell again but the lack of lighting may put me off for a future visit!!	
Aug 30 2009 	4 stars yes but a lot to improve and to think about for the management !!!	I travel a lot as you can see from my profile and I was surprised because of the following negative points:- NO WIFI IN ROOMS (only internet with wire)????? is this acceptable in 2009 for a 4 star hotel?? I definitely do not think so !- NO MINIBAR (at least in my room)- THIN WINDOWS (so if you are noise sensitive, not the best place as you will hear all the trafic outside)- ADDITIONAL GBP 2.50 ADDED TO YOU BILL IF YOU PAY VIA CREDIT CARD??????(also not very professional, considering that I booked a few months ago and that they implemented this new rule in August). Basically the 3 stars rating I have put here, is for the location, cleanliness, reception and rooms.Personnally I would think twice before recommanding this hotel to a friend or only if you get a very good rate (as I did)	
Aug 28 2009 	Quiet rooms. Well situated.	I stayed at the Russell briefly while on a business trip to London luckily work was paying :-) so I cant really comment on value for money.The rooms were clean, comfortable and quiet. The Aircon was a god send as London was HOT that evening! The only downside was that there was a sizable queue for breakfast as the dining room is a little on the small side considering the apparently endless amount of guests.2 minutes from Kings X, I'd reccomend it for short stays and ideal for those on business in Central London.	
Aug 27 2009 	Only order through the hotel direct reseravtion chanels!	Been at the hotel from August 21 to the 24. the room was ordered thrugh an agency that could not guranty that we will get a renovated room. Upon arriving to the hotel, the receptionist said that &quot;if you book throgh an agency or a web site other then that of the hotel you get a refurbished room. we keep the renovated rooms for guests that ordered thrugh the hotel reservation system only&quot;. so we got an old room, not before we were offered to upgrade to a suite for 40 pounds a night, an offer we have declined.The room was very disappointing, the air condition was noisy, the room faced the inner yard of the hotter which is full with noisy air-condition units so we could not open the window.We have decided to wait till morning and complain. it was comforting to see the management decision - it took them two minutes to confirm a move to a renovated room, with no extra charge or the slightest argument.If the hotel had a gym and a swiming pool it could be perfect, but other then that and the first night inconvenience I can certainly recomend the Russell hotel.	
Aug 24 2009 	should be 5 star no complaints !	Stayed here on the 21st of august 09 for two nights.Our personal experiance was fantastic. The staff were very friendly and polite and helpfull, the cleanliness of the rooms was second to none ! Breakfast was nice with plenty to choose from to suit all tastes, beautiful victorian hotel, would stay again. :)	
Aug 21 2009 	Great location easy access to all London's attractions	Booked this hotel at a great discount price with GTA booking site. The Russell is a old grand hotel, service at the reception was very efficient , and we were allowed to check in three hours in advance. Itssituated just around the corner from the tube station, many bus stops are also nearby, It provided a cheap and safe way of transport to the theatre shows. I would have to give special thanks to the assistant manager, who, when we tried to check in on line for our departure was very helpful and went out of his way to ensure that we recieved appropriate documentation.	
Aug 18 2009 	Another Great Stay at The Russell	This was my fourth time at the Russell, I really counld,nt imagine staying anywhere else.It was my friends first time in London and I wanted to make sure that she had a great time. We had booked a weekend break through Superbreak, I could'nt believe what a great deal we got.Three nights b&amp;b, theatre tickets for Sister Act, tickets for the London bus tour which included a river curise and standard return rail tickets Glasgow to London.We had booked a twin room and when booking in were asked if we would like a single room each for no extra cost, but we declined this. Our room was smaller than usual as it was a standard room however it did not lack in another way. Housekeeping where on the ball and we even had fresh bedding on our second last hight.The breakfast was as usual plentyful we always came away stuffed which set us up for the day we never ate until dinner any of the days.The Russell has a great location right on Russell Square, the tube station is just round the corner to your right as you exit the hotel,( when I come to London I usually get an all day ticket but this time we got the Oyster Card which had been charge with £10 before we went, for us it anyway, it was not as good as they make out if your jumping on and off the tube for all the different sights and shopping, you really have to be carefull and make sure that you swipe your ticket properly when you exit the tube or it will charge you £4 instead of £1.60 we had to top up twice, at the end up we bought an all day ticket a lot better for your money we thought.Also as you exit the hotel and to your right there is the bus tour pickup, for both of the main bus tours of London. Straight ahead as you exit the hotel a 10-15 minute walk will take you to the British Museum.This hotel ticks all the right boxes comfort, location and friendly staff, i'll be back again next year.	
Aug 10 2009 	Definitely not four star service.	I stayed at this hotel between the 7th and 9th 0f August and although our room was clean and presentable, the standard of service was poor.First of all the bar staff had a poor understanding of English, - this led to us being served the wrong drinks twice. Then the lack of communication between them led to them attempting to charge us twice for the same drinks. The standard of beer in the bar was also poor; - They serve Stella Artois and Leffe. These both tasted of detergent, the Leffe being so bad that I had to send it back and refuse to drink it. The barman then argued with me that this is how it should taste, despite me informing him that I drink this back in my local pub in Somerset, so I know what it should taste like. - What does it take to flush pipes through so they are clean and detergent free?!We ordered an evening meal in the restaraunt and upon arrival were surprised that only one other couple were in the restaraunt with us. - We soon found out why! We were expecting a 'four star' dining experience, but instead were presented with the lunch menu, which included a choice of paninis and bagels, etc. When we inquired of the waitress she said they were currently unable to provide a dinner menu. - Why had we not been informed of this when we booked? We left and found a restaurant close by. A 25th wedding anniversary trip to London, which was ruined by a hotel in a shambles.	
Aug 7 2009 	Great place to stay to tour London	Stayed recently to bring my wife and son to London to tour around. Great base to work out of, as hotel near Russell Square tube station on Picadilly Line. Able to take the tube in 5 minutes to Picadilly Circus and 50 mintues to Heathrow. The hotel is a nice area, with a great pub near by. The hotel is one tube stop from Kings Cross (or a 10 minute walk). Easy buses to Traflgar Square in 10 - 15 minutes. You can walk this if you were inclined.There is a great English breakfast buffet at the hotel, which was included in our room. Only drawback was that there was no fridge in the room (although looked like there had been) and they charged you for newspapers if delivered to your room (although they were free in the lobby). I was not told there was a charge until check out, so do not get papers sent to your room.I recommend this for a great place to base touring London	
Aug 6 2009 	breakfast fantastic great location. would recommend room upgrade!	arrived on a friday morning, was greeted by very friendly staff. we upgraded our room at the desk for only 20 pounds. hotel was spotless, food fantastic and the most comfortable bed in history.tube station just around corner.battery going now on laptop so have to stop writing. will def stay here again. just charged battery now, sitting here now relaxing thinking about our stay and we would absolutley love to go back to london. the only downfall in the hotel maybe that the drinks are pricey but it would not stop us from going again and staying at hotel russell. the upgraded room is a def must if the offer is available! i would also recommend visiting a broadway show, we seen billy elliot and it was fantastic!enjoy ur stay!!x	
