	It's the staff that make it excellent	Just off Leicester square, but surprisingly quiet this is a functional Radisson, with well equipped rooms and feels very new. I was given a first class welcome at Reception and that level of service continued through my one night stay. At breakfast (which is costly but worth it) it was a real pleasure to be served by staff who seemed to be enoying their work, but were also professional. Simple things like saying &quot;May I take your plate away&quot; make a big difference. Definitely not a budget option, but worth it for the location.	
Oct 8 2009 	Quiet amidst bustle	NIce hotel - right next to leicester square so yo ucan have a littel oasis yet still be close to everything. Issues: No real desk or desk chair - difficult for business.They charge very large amounts for local and tol free calls - yet this is not visibly noted at the telephone - you have to hunt for the information.	
Oct 8 2009 	The only place to stay in London!	The best advantage of this hotel is the location-it is situated on Leicester Square-it is in walking distance to so many attractions-2/3mins walk from the tube. The hotel staff were so friendly and extremely helpful. The breakfast was out of this world-amazing-the best omelette ever!!The room was clean, comfortable and a good size. I would not stay anywhere else if going to London.	
Oct 5 2009 	It's the little things unfortunately.....	We booked for £180 per night for 2 nights with an infant and were shown to a pokey room with no bath. I insisted that we have a bath and the concierge obliged. It took them 45 min to find a replacement room and then a further 15 min to check us into the room. By this stage I was furious - holding a small baby for an hour while waiting to check in is simply unacceptable. (The concierge blamed an earlier bomb scare on Leicester Square for the delays)But it was the small things that ruined my stay. In no particular order, these included:1. No robes or slippers in the room2. Fan no working in the bathroom (steamy and stinky)3. No newspapers dropped off in the morning (even though I was asked for my preference once checking in)4. We kept on being phoned by reception - have your trays been cleared - has your room been cleaned etc5. The TV was trying to sell adult channels. Push any button and pleasures of the flesh were for sale. It was a bit too obvious and seedy for this hotel.6. Muffins were soggy on the breakfast platter7. The ketchup on the tables was in the sachets8. The jam on the tables were 3 of the same kind.9. The salt grinder on our table was broken10. Our bill was wrong and we were overchargedIt really does go on and on. If you are still reading - the receptionist's English was so broken that she struggled to give me directions.Great location for sure, but more care needs to be taken.	
Sep 29 2009 	Small and beautiful	We stayed here for a single night towards the end of September, chosen for it's location close to Trafalgar Square to allow one of us to participate in an event there.The hotel is well located to the side of Leicester Square down a small side road which makes it not only convenient but also quiet. Like almost all hotels in London, the rooms are small, but not so much that it is inconvenient.The furnishing is of a high standard, as to be expected from its rating, and the hours we did spend asleep (split due to event attendance) were comfortable and trouble free - the rear facing room lacking anything that could normally be considered a view but quieter than some countryside hotels!The staff were welcoming, accommodating, polite, cheerful and helpful at al time - even when we needed to come and go at awkward hours.The only downside is that next time I stay in a hotel it is likely to be another budget-range chain motel, which I will be mentally comparing with the luxury of the Radisson Edwardian Leicester Square!	
Sep 26 2009 	enjoyable stay	Booked 2 rooms for one night - wifes birthday .Very nice rooms with great views towards Parliament and London Eye.Brilliant location in Leicester Sq close to theatres and night life of Sohe and Covent garden.Staff also very helpful and pleasant.Definitely stay again soon.	
Sep 19 2009 	Great place for a romantic weekend	Central hotel for sightseeing and for visiting the theate; we did both. Check in was pretty smooth, the hotel seemed kind of dark, though fine once you got used to it. We had a view over Leicester Square which would have been even better in Winter as views blocked by leaves! Drinks in the bar were usual hotel type prices, but cocktails expertly mixed and service good. We ate out for both dinner and breakfast - no breakfast unless you eat everything in sight is worth £21! However we did eat the best potato wedges at midnight from room service - naughty but nice. There was a mini bar in the room but didn't touch it - had plenty while out and in the bar. We were minutes from the theatre for Jersey Boys which we really enjoyed.After breakfast in a local cafe next morning (£5.95 for full english) we left our luggage at the hotel and did all the tourist stuff which made a great change for us (we live just an hour away but never do that kind of stuff).	
Sep 18 2009 	Excellent hotel for a theatre break...	We stayed at the Radisson Edwardian Leicester Square for one night (10th September). The room was very clean and comfortable with full climate control which worked perfectly. The bathroom was nicely fitted and the turndown service is always lovely to come back to after a show. We had a full English breakfast which was superb.The reception staff were friendly and helpful too. Overall excellent.	
Sep 18 2009 	very satisfactory experience	Overall a very good experience in a good location within easy walking distance of both our work venue and all major attractions.It is a bit of a bother that the taxi does not get you right to the front door (when you have a number of pieces of luggage) but its only a short walk and the concierge staff are outstanding.Try to avoid premium check-in and out times as the foyer is a bit cramped when a number of people are all trying to check in at the same time - but I have to be really picky to have that as the only real issue.The rooms are a good size and the wireless internet connection great.All in all very good and would certainly stay there again	
Sep 9 2009 	Fab Hotel Fab Location.	First stay at his hotel and would definitely stay here again. Amazing location off Leicester Square, this is central to everything. This hotel has quite a small, boutique feel to it but had everything we needed including an amazing breakfast which was the best hotel breakfast i've had in a long time. Service was great and all the staff very polite. 5 stars from me!	
Sep 8 2009 	Not as good as last time...	Having stayed here before and really liked the hotel I decided to book it again. Sadly this time I felt let down and my stay wasn't as enjoyable as last time.The last time I stayed the room felt clean and almost spotless but this time there was lots of dust in the room (I suffer from asthma so it caused me some trouble) and it seemed that the carpet hadn't been vacuumed as there were crumbs on the floor. The bed linen didn't fit the bed properly and the duvet kept coming out of the duvet cover. The duvet looked filthy and had quite a few stains on it.The staff were pleasant again but I was given the wrong travel information by the woman working on the front desk which made me change my plans for the day.Again I'd ask the hotel to get better windows as the noise level from outside the hotel coupled with the shoddy windows makes it sound like the drunk people outside are actually inside your room!	
Sep 6 2009 	5 * hotel with 6 * service!!	1st stay at the leicester square hotel, we couln't have got more central to the theatre land.This hotel feels more like a family hotel as the staff really want your stay to be perfect, the atmosphere is very relaxed and the facilities are spot on.if anyone wants a great hotel that they would recommend to their friends then THIS IS THE HOTEL to stay in!! I must say i have stayed in some very expensive hotels and this hotel is no match for the others by far. Please dont take my word for this, try it yourself and im sure you will be writing the same details as me.	
Sep 5 2009 	Excellent Location bad hotel	I have never been in a 4 stars hotel with such small rooms. There was not mini bar, the furniture, except the B&amp;O TV was horrible. The room was dusty. There is just a small elevator, that is full with just 3 people. Some people in reception (during the night) was rude. The views was over a small courtyard. Our room was in the 5 floor, and there was light, but the first floors has to be dungeons.	
Sep 3 2009 	Fantastic Hotel!	I booked this hotel as part of a birthday treat for my husband, a break away with a trip to the Theatre. The hotel although in Leicester Square is just down a side lane, and although we stayed on a Friday night and I was expecting it to be quite noisy at night, inside the hotel we heard nothing.We were greeted by 2 very nice receptionists who made us feel very welcome, and gave us directions to the Theatre for that evening. we stayed in room 705 (the suite). A lot of the comments on here about room size say that the rooms are quite small. If you have the extra money to upgrade to a Suite - do it as this room is beautiful. You walk in to a very nice and comfortable longe area, have a separate WC, and then an open plan bathroom/bedroom with huge wardrobes. The room in my opinion was well worth the extra money for a special occasion.We had dinner in the restaurant that evening and found the service and food to be excellent, and very good value for money. There was a very comprehensive menu with plenty of choice for all tastes.Location wise - it was only a 5 minute walk to Her Majestys Theatre, and all the main attractions very close by. We took a taxi the next morning (which the concierge very kindly went out into the square to get one for us - now thats service) to the London Eye which was only £7.00 fare. Regent St etc was only a 8-10 minute walk.We did not have breakfast so canot comment on this.All in all if we were ever to go to London again to stay I would 100% stay at The Radisson Leicester Square again and highly recommend it to anyone who wants comfort, cleanliness, secure surroundings, excellent food &amp; service.	
Sep 3 2009 	Excellent	Hotel staff very helpful. Room very modern and clean. Excellent restaurant - could not ask for more. Both my husband and I were more than impressed.	
Aug 20 2009 	Location Excellent	My daughter and I had booked a twin room for two nights but were asked on arrival if we would mind having two double rooms next to each other. No, we didn't mind at all! The rooms were light and airy, with air conditioning and modern cream decor. The shower room was lovely and very spacious. No bath for those who like a bath. The included breakfast was also really good. Unfortunately we did not get to sample the dinner menu so cannot comment. The staff were helpful and friendly. In fact I cannot fault the hotel and we enjoyed our stay here. However possibly the best thing about this hotel is the location, bang on Leicester Square. It is not far from the tube and an easy walk to many attractions, shops, Covent Garden and the theatres. It was ideal for our visit to The Prince of Wales Theatre nearby. Of course there is a bit of noise at night, especially Saturday night but it did not really cause me a problem, though my daughter found it a bit disturbing. In all it was a pleasant experience staying here and would recommend it to others.	
Aug 17 2009 	Beautiful Bijou Hotel	I booked this hotel for a friend and I to visit London and a show. The receptionist was very friendly and even though we arrived early allowed us to store our cases so we could go and explore. The room was bijou but perfect! The location is excellent, just of Leicester square, so a little quieter but central enough to explore. The best part of the hotel was breakfast! The staff were very helpful and the breakfast was delicious! I could have stayed there all day!	
Aug 16 2009 	Faultless	Stayed over one night after West End theatre visit, this hotel is excellent in every way, could not fault it.Only 5 minutes walk to most theatres.	
Aug 12 2009 	Centrally Located	If you are looking for a hotel in the middle of all of the tourist attractions, you have found your place. This hotel is tucked behind a Ben &amp; Jerry's adjacent to Leicester Square. There are numerous bars, pubs, clubs, restaurants and theaters all within a short walk. You are also only a ten minute walk from Regent street with lots of great shopping.The hotel itself is simple and sparsely decorated. The front desk people were helpful, however, I would not recommend the breakfast for 9 pounds. Its not worth it. The room was not terribly small compared to other European hotels, and the ambiance was lovely. The one complain I had about the room was that it did not have a bath tub. It was also so close to the square that you tended to hear a lot of traffic noises. There was also construction that was going on during the day which was very loud and annoying. Overall the rooms were comfortable, and the location was ideal so as long as you do not mind noise and a lack of a bathtub, you should be just fine.	
Aug 4 2009 	Fantastic locality good food	Great location, a little tricky to find, but it is beside the Radission Edwardian Hampshire which actually faces Leicester Square! The names are confusing, but the Leicester Square hotel is down the right side of the Hampshire, as you face it!Anyway, it is a small hotel with modern decor. Staff seemed to be on the short side, most seemed to come over from the Hamphire, so that you need to wait sometimes at reception. Very pleasant and efficient receptionist. Superior room was small and we would not have wanted to stay for a week in it - my husband pointed out that it would not be great for a business person, either. However, two or three days would be fine. Lovely bed, reasonable decor (if a little dark for the size of room) great bathroom with walk in shower and everything that you would need in a bathroom.We ate in the restaurant in which service was good and friendly and the food was delicious and not overly priced for a central London hotel.Checkout was fine and the porter/concierge very helpfully went to get a taxi for us.All in all we will definitely use the hotel again due to its location, food and service - one thing to mention that from time to time there was an odour in the hallway that seemed to be urine- like. It wasn't in the rooms and was only there intermittently and it is the sort of smell that you find in many places around London. It was not enough to put us off going again.	
Jul 30 2009 	Bijou hotel in central London	This is a sibling of the well know Radisson Edwardian, Hampshire close by and situated in St Martins Street, just off Leicester Square.As London hotels go it is small enough to be personal as well as very conveniently positioned, right next to Leicester Square itself yet in a very quiet lane. Our room was a bit small but well appointed and deserved the title of &quot;superior&quot; with comfortable bed, and good bathroom facilities. Staff were helpful, welcoming and pleasant. We ate our evening meal in the restaurant, which was a revelation - well priced (for London) with imaginative menu. The starters and fish dishes we ordered were excellent and deserving of any good, medium priced independent restaurant. Breakfast again covered all the bases.Having tried so many hotels in central London with varing success in the past, it's encouraging to find something that really ticks all the boxes. We have decided to make it our regular haunt from now on - I just hope it keeps its standard up.	
Jul 30 2009	Friendlyprofessional staff ensure a lovely city break for all	This is a small but smart,discreet and thoroughly lovely hottel to stay in.The staff are helpful and curteous without being intrusive.My room was modern and comfortable.If I had only 2s, minor quibble please consider putting a small shelf in the walk in shower as there is no where to keep your sponges etc.. and moving in and out of the cubicle with wet feet is a bit dangerous.Please also make the text on the tv work for the hard of hearingOverall with this minor exception I would heartily recommend this hotel for singles,couples and business travellers alike.The restaurant is small but modern and relaxed and the food is good.I would have no hesitation in staying here again .Most attractions are also within walking distance so cutting down on expensive travel bills.The manager should be proud of his hotel and staff (but please put a shelf in the shower)	
Jul 29 2009 	funny they do not have a wardrobe	Perfect location, small hotel, that is something that I like...Ten steps from Leicester Square, fifty for Trafalgar Square... You are in middle of everything. Good breakfast, helpful personnel.This thing with the wardrobe in bathroom open area is not so good.	
Jul 27 2009 	Relaxing welcoming staff excellent rooms	my husband and I have just returned from a weekend break in this hotel, The hotel is located idealy for getting to various attraction being in Leicester Sq then just minutes from Picadilly Circus, China Town and Trafalgar Sq. There are plenty of bars and restaurants in leicester sq and it is so easy to travel in any direction to get to many other places of interest. Regents St is walkable and the signs are clear to point you in right direction. We initially couldn't find the hotel but once we phoned them we were given clear directions as we had walked from Euston (approx 40 mins) We then walked to all attractions Big Ben, Southbank, Covent Garden, Regent St, Oxford st, knightsbridge, Theatr Land, Buckingham Palace, St James Park, Hyde park etc etc, all these are walkable if you have got a good pair of shoes on and don't mind the walk sometimes 40 mins or more but we felt this was the best way to see all the sights properly. The first night we had a meal in the hotel, which was lovely and it was very quiet in there not too hustle and bustle. We had full english breakfast on both mornings which was gorgeous and plentiful so much so we didn't need lunch! The room was a little on small side we were on 4th floor but was lovely and clean and had everything we wanted but a larger room would have been nice ( I think each room varies in size, as we were right at end of corridor believe this is one of smaller ones). The staff were pleasant and One of the reception staff in particular was lovely not sure of his name (sorry) think it was Akeem! Tall gentleman very nice manner nothing too much trouble.He made our stay more special thanks.. Overall lovely stay brilliant breakfast if we come again think would ask for a bigger room.	
Jul 25 2009 	Good central London Stay	Hotel has nice rooms, and good service. The Restaurant and Bar is a great place to relax and catch up with email at the end of the day. The location is very close to the Tube, and right on Leicester Square, a busy tourist place. If you like busy crowded areas (I do), this place is great for that. Room 122 has a bad smell in it - but 222 and 223 are large remodeled rooms which are very nice.	
Jul 20 2009	A wonderful place	As I was going to the theatre with my 80 year old friend the location of the hotel was very important, The leicester Square Hotel suited our needs down to the ground. The staff were very pleasant and helpful and they offered us an upgraid free of charge , giving us a wonderful queen bedded room. Breakfast was one of the best I have had in a hotel for a long time . I would recomend this hotel to anyone .	
Jul 15 2009 	Excellent hotel in ideal location	Great hotel - very understated and elegant. Staff were excellent - I arrived early on a hot humid day in need of a shower and change of clothes. Although my room was not ready they immediately provided an alternative choice (that happened to be an upgrade) at no extra cost. The restaurant was very good too -especially the fish. Brilliant location just off leicester square.	
Jul 12 2009 	A beautiful contemporary hotel	The hotel's location is next to Leicester Square...a very lively area of London. We happened to be in the Square, along with thousands of people, for a visit from Harry Potter and some cast members for the opening of his new movie. The hotel has a very contemporary and elegant feel and the rooms are very smartly and simply decorated...a contemporary theme throughout. Granite and marble bathrooms with up-to-date European fixtures lend to its elegance. Service and staff are superior. We also had breakfast and dinner at the hotel, and again, elegance and good quality food prevails. A fitness center is also available.	
Jul 10 2009 	Excellent	My wife and I stayed at this Hotel for our 40th wedding anniversary and had a thoroughly enjoyable stay. The staff were extremely friendly, attentive and courteous and couldn't do enough for us.The location of the Hotel is great for anyone who, like us, are on a site seeing/theatre break as it is situated about 10 steps from Leicester Square.However,although it is situated so close to this busy location, our room, which was on the 6th floor and overlooked the front was very quiet.I would not hesitate to recommend this Hotel.	
Jul 8 2009 	a simply amazing hotel right in the heart of leicester square...perfect!	My husband surprised me with four nights in central London. When I got to the hotel, it was absolutely amazing, it was right on leicester sqaure...perfect. The hotel looked great, very modern compared to other Radisson's I had stayed at. The staff were great, sp polite and friendly. The room was fantastic, very spacious and most importantly spotless...I was impressed. We had a few drinks in the bar which was lovely, the bar and bar staff were great. We also went to the sister hotel the Radisson Hampshire right next door for lunch and cocktails. We started the day with the hotel gym every morning, which was fab...they had clean towels, a water fountain, fruit in the gym aswell as great equipment. We ordered room service one night and it was delicious and arrived quickly. The staff at the Reception desk were so accomodating, organising taxis' and making dinner reservations for us. I couldn't have asked for anything more. It was the best stay in London I have had. We already booked our stays for August and October. I don't think I'd ever stay in another hotel when staying in central London again.	
Jun 25 2009 	Great location beautiful hotel with very helpful friendly staff	Its a wonderful hotel in a great location, central to everything. We really enjoyed our stay, the staff were very friendly and extremely helpful. The facilities were great, the bar and restaurant were lovely and the terrace bar was particularly enjoyable. Our room was spacious and comfortable and the room service was excellent.	
Jun 16 2009 	Best Service we have EVER received from front desk and concierge staff	We stayed at this property from June 9-14th. We booked on-line directly with Radisson's 1-800 number and saved a wee bit by pre-paying. The downside is that we could not change our dates, and if cancelled, our money would not be refunded. However, as our air was booked and we knew it was a definite go...this was a good option for us. Just to warn you....I am long winded:).....We paid more here than any other property we have stayed at in the past, including .other London stays. We had a King superor room at 160.00 pounds per evening...roughly $300.00 Canadian per evening. We took an over-night flight with the very UNFRIENDLY Air Canada.. We arrived at the airport and went swiftly to the luggage area...luggage received we got through customs very quickly. Very efficiently actually.We met with our car hire service driver (pre-arranged with Simply Airports...thanks to info gained over the London forum here on trip advisor....over the internet a week prior).Our driver was wonderful. He informed us of different sights as we entered the city. He did have a problem finding our Hotel initially. The property is situated on a side-street, just steps from ...literally...Leicester Square. It looks on to the side of its sister hotel Radisson Hampshire.Arriving at just before noon, the hotel did not have a room ready . They told us it would take approx. 1.5 hours until the room was ready. On the website it does tell you that check in is 2pm...maybe even 3pm. They did offer to store our luggage without us first asking and pointed the way to a restroom so that I could freshen up. Antincipating this, we had brought a change of clothing and toothbrushes etc with us. We toured about London for approx 1.5 hours and came back to the Hotel...our room was ready!Just to note...there are many places in Leicester Square to purchase theatre tickets...the main one being a tourist information stop right at the square...we however ended up getting cheaper tickets by checking with little tny store/vendors along the streets leading from the square and got much better deals. Just make sure you walk away with a ticket and check the ticket. We saw two shows...great value.Our bags had been brought up to the room The elevator (lift:)) was very small as people say...but just fine for us. This is a boutique style hotel with very sparse, but beautiful. contemporary furnishings.Our room was 602. We had one chair...space to put our luggage on the floor against the wall...a very nice king bed on a platform, two wee side tables, flat screen TV mounted on the wall, a wee desk in the corner and a window that opened just enough so that we could stick our heads out to see Leicester Square. It is a tiny room and the carpet needs cleaning, but the room itself was just fine for us. We would have liked to have a place to sit and have breakfast...but we liked the bedding and design of the room, that it made up for that.  We were lucky enough to get a bigger bath then some. We had a full tub, and raised bowel sink and plenty of shelf space to put our things. There was closet space within the bathroom with 3 drawers. We had a iron and board, a safe and tea making things:). There is a hair blower located inside the first drawer...Powerful enough to dry my longish thick hair. The mirrors are quite dark in the bathroom, so bring a wee make-up mirror with you. The towels are white and luxurious. There is a body/shampoo combination that we used for body only ......made my hair pretty frizzy...so used my own:) There was a nice conditioner as well. ..By the sink was a little sewing kit, shower cap, and mounted soap and skin cream...not for face, but great for over all body.The door that seperated the bedrom area was glazed, but private enough.There are two extra pillows on top of the cupboard. We asked for extra hangers for hanging clothing and two housecoats. Both were brought to us. There is a room service offered....extremely expensive...we did not partake...because of this, and no where to sit and eat:)There are two phones in the room, one with alarm clock. We used wake-up service and alarm...just in case:)There is a tiny switch by the main light switches that indicates if you want your room made up. Red means no and green....yes. I didn't realize this the first day and left the red on....The housekeeper asked my husband if we had meant this...and we were shown were the switch was. Our housekeeper was very friendly and good at what she did. We left her a tip the last day. Beds were comfy to sleep on...pillows hard, but fine. You can control the air conditioning/warmth of room very easilyA little noisy the first night...not from outside the square...just the person in the hallway...doors are heavy and slam shut...they kept going to and from their room and woke me up several times.We had nothing but good service from the concierge and front desk. I do forget names...but wanted to thank the two we/I remember. Hashim who gave us wonderful overall advice, from the tube strike and how to get around, where &quot;not&quot; to eat....should have asked him sooner lol....he was always smiling helped us pick out a great restaurant ...extremely personal service, even checking out...he always went out of his way for us.... Maria...very professional as well. Again...always smiling...extremely friendly.there were three other persons on the desk while we were there, and each one of them was so friendly...hailing cabs...even walking good distances to get one...great senses of humour etc.This was very important to us. I don't know why every hotel does not realize that the first point of entry really leaves an impression on their guests. Beacause of this and the unbelievably great placement of the hotel...we would pay the extra money and stay again. Breakfast was had here. The cocktails were just too expensive. We received a coupon upon checking in. We paid 9pounds (quite a lot in Cdn standards....$18.00) for a continental breakfast, for one use. You receive toast, coffee, juices, breads/pasteries, cereals, a small selection of cheeses and some cold meats and fish. There are several small pubs within a minute or two for about 5 pounds for a full english breakfast. We did enjoy sitting in our hotel restaurant though...very pretty...As most pubs in London close at 10om....we had hardly any options after the theatre as to having a cocktail. We did have drinks at the sister property twice, but it is very expesive. It does have a nice lounge to sit and look out over Leicester Square...so this helped:)Places we dined at that we liked.....Giovanni's ...Italian..nothing to look at but incredible service and good food...place where stars (while in town) dine at...was recommended by our hotel. We also dinned in Paddington area at a Turkish restaurant called TAS for lunch..we ordered tapas...really good. Very handy to the British Museum. We also liked the Mexican restaurnt in Leicester Square called Chiquitos...food was pretty good...fun place to sit and eat and look over the square...very casual.We did NOT like Bella Italia...it is a chain Italian restaurant. We did not realize this. When we told our concierge he smiled and gave us Giovanni's restaurnat name:)We liked a few spots in around Covent Garden...pretty pub called McMullen's...but meals were just ok in around here. Nice area to sit and watch tourists like us though. We found the Leicester Square area perfect up until the late evening...becomes a teen hang-out..with clubs hopping. There are signs warning tourists that. &quot;this is a high crime area.&quot;..we tried to take a picture of the sign...We spoke to the police and they told us if anyone approaches us and goes to hug us...and say s &quot;I have'nt seen you for a long time&quot; to check for our wallets! The police had a strog pressence here and Picadilly at night. The police were extemely helpful and friendly. Another teen hand-out at night on two nghts we were there, was Trafalgar square. Late at night...not a good idea...teens drinking and doing drugs that we saw by the National Gallery.Now ...all of these places are quite wonderful by day...just be careful at night...Shopping very handy to this hotel as well. Found it clausterphobic on Saturda.. though...weekday...much better. To all Canadians...there is a pub called the Maple Leaf...we watched the Stanley Cup here and had a blast!!! Wonderful and friendly. ....food just ok... near Covent Garden area...walkable distance as most things are here.We used the one free computer on the lower level several times to email home. There is a small gym besdie it. We did not use it, but it is pretty well equiped.That is about it...sorry to be so long windedEnjoy your stay here:)	
Jun 12 2009 	Prefect Location	Stayed here for 3 nights for Britney and Beyonce Concerts. We booked a Superior Room which couldnt have been a little big bigger but was fine for what we needed it for. Had a king size bed, flat screen tv and a wardrobe. There was no where to sit in the room other then the bed. Bathroom was nice with a double walk in shower, had no bath though.The location is perfect. Took us a while to find the hotel as its hidden in a little street. If you get the tube to Leicester Square station (Picadilly Line). If you walk straight from the tube station into Leicester Square and find the Odean West End (There is a few Odeon's in the Square) and the Ben &amp; Jerrys Cafe and inbetween them is St Martins Street and the hotel is just there. It's beside the Hampshire hotel. Your in easy walking distance of the tube, west end theatres, trafalgar square, picadilly circus, embankment pier (where you catch the river boat) and all the shops including regent street and oxford street.Didnt use the hotel facilities so cannot comment on them.Staff were very friendly and helpful especially when the tube was on strike they helped us find alternative transport.Id watch when booking as the price you see if not what you pay. They add on vat when you get there so we ended up paying an extra £90 when we left.The tube from Heathrow Terminal 5 to Leicester Square is about 30mins / 45mins and costs about £3 / £4. By taxi is about 45mins / 60mins and will cost you about £60. The river boat from Embankment Pier to London 02 Arena is about 60mins and will cost £5pp each way. The tube from Green Park to North Greenwich (02 Arena) is about 30mins and will cost you no more than £4 i think. Id advise getting a pay as you go Osyter Card which you put money on to get tickets for tubes, trains, buses etc but not the river taxi. You just swipe it at the barriers which saves you queing for a ticket. You can get refunded what you dont use at the end of your stay. You can get an Oyster Card and the airport or tube stations and will cost you £3 but is alot cheaper then paying for individual tickets.Overall this hotel is in perfect location for anything you plan to do in london.	
Jun 11 2009 	It was a wonderful place to stay in the heart of London	Our room was wonderful. This hotel is terrific and a bargain for everything we got. It was quiet, clean and the hotel staff were exceptionally nice and helpful. The location of this hotel is perfect for anyone traveling from the airport or for anyone wanting to be in the heart of London with easy access to the underground. We could get ANYWHERE we wanted within minutes. It is less than a block away from the underground,, with many restaurants withing walking distance and even a Starbucks nearby. The included breakfast was wonderful.and made staying here such a bargain. I wish we could have stayed longer to enjoy more of the amenities the hotel had to offer. Would definitely recommend this hotel, and hope to come back and stay there again.	
Jun 6 2009 	Great location in the centre of London!	Very friendly staff. The room was decorated in a modern way and was very clean. Television is good quality and it is great to have wi-fi access. We liked the fact that it is quiet at night, you don't here any noise (except for the door closing in the hallway when people pass). Being so central is great for visiting London, you can easily access the hotel. That was our main reason for choosing this hotel and we would do so again. It's a little expensive but well worth the money!	
Jun 4 2009 	Perfect location for a city break; suit all ages.	The location is perfect for accessing all areas of the city. The staff could not have been more friendly or helpful and made my stay very enjoyable.	
