	On the slide	This hotel is on the way down. We have been going for several years and it started off as a great value find. Time passes and standards slip. Dirty towels, disinterested staff, no staff on Reception...no sense of Service	
Aug 27 2009 	Ideal place to stay..friendly clean and convenient	We stayed at Jurys inn Chelsea harbour for our 2 night city break. , having not been to london before was little unsure of which location to stay in, but am glad we found this little gem.....even though a little further away, it was an ideal base, no hussle and bustle, very easy convenient transport to tube station and very clean comfortable accomodation.check in was easy, receptionist was very friendly both at check in and departure, room was fine, lovely comfy bed, and breakfast was served until later in the morning, usual choice of english breakfast or fresh fruits etc, very nice.It was very easy to get around, dont bother with taxis, we purchased the 3 day off peak pass, (you can use after 9.30) for buses, tubes and overground, which paid for itself on the 1st day. the C3 bus to earls court tube comes by about every 5 mins, then hop on piccadilly line to covent garden, soho, leicester square , basically you can get everywhere this way.we used the bus and tube tons, and ate out in covent garden, china town and then made sure we got tube back to earls court in time for c3 bus to bagleys lane, right by jurys inn, this bus runs unitl midnight! you can get anywhere from here, just need to take the 10 minute bus ride to earls court tube, we saw all the major sights, but wear comfy shoes, think in the 3 days we were there we walked a good 20 miles....The car park near the hotel is expensive we parked outside london, at Hillingdon tube, cost £8.70 for the 3 days, then went to ticket office purchased our 3 day pass and got on the tube to earls court, very easy.we saved loads money this way.I would definately stay at this hotel again, it was brilliant for us, and hope to return next year....also the tube nextto the hotel will be open by then, how easy will that be? so easy. I cant wait.....	
Aug 18 2009 	Great location clean hotel	We stayed here for 3 nights with our 12 and 15 year old children. There is no need for taxi's or a car, the C3 bus service is excellent to Earls Court or the 391 to Fulham Broadway, both have regular services and stop accross the road from the hotel. When the Imperial Wharf train station opens later this year, this hotel will be more appealing.Since reading some earlier reviews of the hotel I notice they have reduced their breakfast rate to £8.50 and £4.50 for the kids. Although our room was beside the lift we did not hear one sound coming from the corridor and we were facing the road, again not a sound at night. I would definitely recommend this hotel as a base in London, its not in the heart of the city but is in a lovely area.	
Aug 3 2009	Good Hotel	I stayed at this hotel with my Mum for one night. We were very impressed from the moment we arrived, which was at 10.30am, we were hoping to drop our luggage off and come back ready for check- in, instead we were given the opportunity to check- in there and then, which was lovely.The hotel is relatively close to Fulham Broadway underground station, though I wouldn't call it within walking distance (which is what it says on the hotel website), instead a bus costs £2 an adult for a single journey as they don't do a return. As the hotel is situated just inside Zone 2 of the Underground network it means having to buy a Zone 1 and 2 ticket, which was unfortunate as for the exception of the hotel everything else we were visiting was in Zone 1.The rooms were of a good size, very clean and had everything your would need. Breakfast was also very nice, with a wide variety of different foods to choose from.All in all a very good hotel and I would stay again.	
Jul 28 2009 	Great hotel	I stayed at this hotel for 3 nights while in London to watch Celtic in the Wembley cup. We arrived at the hotel at 11am and we were surprised to find that our room was ready for us to check in, this was a great start to our weekend.We had booked a triple room and were given a room on the 3rd floor, the room was spacious and exactly what we were after for our short stay - clean and comfortable.We travelled to the nearby Earls court Tube using the C3 bus which was very convienient, the hotel will be even more accessible when the new Imperial Wharf station opens.We ordered food from the bar on two of our nights, and the food was delicious and good value. It was also good that you could phone down your food order to the bar and they would ring for you to collect it when it was ready.We really enjoyed our trip to London (Celtic won the Cup !!) and we would stay at this hotel again when visiting London.The only negative aspect i have with this hotel is the breakfast issue, £8.50 is very expensive for a buffet style breakfast alot more people would have this if it was around £5!!	
Jul 26 2009 	Functional 	Because other hotels in Chelsea area were fully booked for Wimbledon fortnight we took 2 rooms at Jury's Inn.It was quite a long walk to nearest tube &amp; there were very few local amenities near the hotel site. Rooms we had booked on line were more expensive (Laura Ashley floor) but we were given standards on a lower floor. After some delays &amp; a long wait at reception we were changed. Hotel was clean &amp; functional but lobby, restaurant &amp; particularly the bar were devoid of any atmosphere or basic style. Had previously stayed at the hotels adjoining Chelsea F.C. which were a little more expensive but well worth the extra.	
Jul 23 2009 	Look no further	How glad I am that I stumbled upon Trip Advisor and the user reviews, especially having experienced more than a couple of disasters in choice of London hotels in the past. Although the hotel location may appear to some to be rather out of the way, this was not the case. The two bus routes which serve the hotel's location are both great services, and can get you to wherever you wish to go. Both Fulham Broadway and Earls Court Underground stations can be reached easily, although Fulham Broadway is barely a ten minute walk. Having purchased the London Visitor Oyster Card before leaving Canada, we found that this alleviated all worries about taking the wrong bus, missing our stop or failing to understand the fare system, allowing one to easily return to the hotel from any point in London. Throughout our six night stay we found the front desk staff to be very friendly and helpful, apologizing profusely that they were not able to offer us earlier access to our room (having arrived at Heathrow at 06:30 hrs) due to their being fully booked during the Wimbledon Tennis week. The room was larger than the average London hotel room, and well equipped. The beds were very comfortable and, thankfully, the air conditioning worked well and virtually silently. The bath room was spotless and spacious, with one of the best showers I've experienced in a London hotel. Although our room overlooked the main road, we were not disturbed by road noise, sound-proofing being more than adequate. All-in-all it would be hard to fault this hotel, except for one small point ..... breakfast! Although the price had been reduced from 10 to 8.5 GBP, this remains rather expensive when one simply desires a freshly brewed coffee and a couple of slices of toast. I can understand charging for a cooked breakfast, but perhaps some consideration should be given to including a Continental breakfast with the room rate. Okay, maybe one other niggle, the card operated room locks should be included in a regular maintenance schedule. We both experienced problems, from time to time, with getting the lock to open as, I noticed, did some other guests with their rooms and also the maid when she attempted to help me gain access to our room. Nothing can be 100% perfect, and I would rate the Jurys Inn Chelsea with 9 points out of a possible 10, and would most certainly return when next visiting London.	
Jul 21 2009 	would stay again	As I walked the death march to this hotel from Fulham Broadway station carrying a 50 pound case, I gave my husband the evil eye for choosing this hotel. As I asked the receptionist where I could find a market and he replied the nearest one was 15 minutes away, my frustation grew and husband's knee cap was in danger. When I went upstairs and saw my room was across from not one, but two elevators, I turned around and walked back to reception and demanded a new room. After about 30 minutes, I got my new room with view of a concrete wall from my window, I was down trodden.. and collapsed exhausted from jet lag... sure I would hate the next two days.Surprisingly, two days later my attitude completely changed as I grew to appreciate the location of the hotel, and I found that I really was enjoying my stay enough to come back! Why did I change my mind? It's on a quiet street that is easily reached by the C3 Bus. The hotel is very clean and the staff is friendly, esp. the bar staff. We learned to stop by the market in Earls Court before taking the ten minute bus trip to the hotel so the lack of market didn't matter since we could plan around it.. As others mentioned, you do have to leave your card in the slot for the electricity to work, but we had two cards so one of us could run out to get ice, etc, We did have to take the bus to Earls Court to get more dinner options, but that was fine overall because the bus came frequently and Earls Court was a hub that allowed us to go to a variety of other venues easily., after going to Kensington and seeing some shifty characters there, I was actually glad to get back to the quiet of Chelsea for the night.Don't be me! Enjoy your stay the first day! If you are arriving in London via any of the airports, just go to the National Express Counter (train ticket counter) in the airport, get an oyster card. It is a reloadable card for tourists and can be used on the subway and the bus You can easily transfer from the tube to the bus using this card- just make sure you put at least 7 pounds on it (it comes loaded with ten). (look it up on the internet for more info).SO get a oyster card, take the tube to Earls Court, exit to the street and look straight across the road for the bus sign for the C3 bus (just download a bus map from the web), take the bus toward the Harbour- that is what the front of the bus says- after about ten minutes, the bus will pass the Jurys-you'll see it on the right (the bus goes underneath a overpass and the Jurys appears when the bus pops out the other side) -press the stop button and hop out and walk the 1/2 block back to the hotel. Its easy! Don't walk from Fulham Broadway carrying 50 lbs like I did! I was intimdated to use the bus- don't be.,, there is plenty of room in for your lugguage! (You can take a cab from FBway for about 7 pounds according to the hotel, but using the bus is easier and cheaper).	
Jul 18 2009 	Convenient for my needs	My recent 3 night stay at this hotel was due to wanting to be close to a friend who lived in Chelsea. I actually found it very convenient to get the C3 bus to Earls Court and then the Tube from there to anywhere. We travelled into the City every day with no fuss or bother. The Hotel was clean and the bed was comfortable. I only had the breakfast buffet once as I did not want a full buffet every day. The buffet price has been reduced to a reasonable amount IMO. Be aware that the room walls are very thin. One night the occupants next door woke me at 2.30am. I think they had just arrived and where excited about their weekend away. After 20 minutes of excessively loud conversation ( i.e. I could hear every word) I banged on the wall which saw instant silence. Hotels cannot be held responsible for inconsiderate guests but adequate sound proofing should be mandatory even for a 3* hotel. I would also like to have had a chain or similar on the door, although I know there was a special door lock.Once the new train line is up and running, this would be a very convenient hotel for the fussiest traveller. I would stay here again. Oh and the local pubs are brilliant!	
Jul 12 2009 	nice hotel but out of the way	We stayed here because we thought it would give us access to the Tube and Wimbledon. The hotel is very difficult to get to with the nearest Tube being a good 20 minutes away and with a heavy suitcase, it was no fun. There is a bus route and taxis but we still felt very constrained. The room was very good for a budget hotel, but I couldn't recommend it.	
Jul 7 2009 	Great no frills hotel	Jurys Inn in Chelsea is a great hotel for a family. We decided to go a step out of the super high prices of London and our gamble paid off. The family room we were assigned was a fantastic size, comfortable (2 adults, 2 children) and clean. The check in staff were great and very helpful with local knowledge and recommendations. This helped us suss out the transport and find a great local place to eat. Indeed you are a little more isolated but the C3 bus to Earls court station and return is very easy as the bus stops are both across the road from the Jurys Inn. The Imperial Wharf is a little dead still but there is a great little park if you have kids and the Wharfside Pub is a nice place to eat. On the weekends heaps of families around and the kids make new friends very easily. The breakfast I cannot recommend. Found the whole thing depressing and food was no better than cafeteria fare. Jury's could do alot better with their restaurants. However, if you are heading to Earls Court station, across the road are bakeries and eateries where you can get a yummy breakfast for much cheaper. The staff commitment to doing their best (except in the restaurants) is easy to see and they are professional, helpful and any requests or quickly responded to. Jurys Inn is value for money if your prepared to add in a little bit of travel time to your schedule. It's just a smidge outside of South Kensington. The difference in prices between the two locations is worth the travel time in my opinion. I would recommend this hotel for families, business travellers on a budget and football fans (chelsea and fullham close by). Not for a romantic weekend but for a weekend getaway where you want to spend your money on doing rather than the hotel - Jury's Inn is well worth the stay.	
Jun 27 2009 	Great hotel for weekend break in London	We stayed in Jurys Chelsea for 3 nights last weekend and all in all thoroughly would recommend this hotel.The welcome at check in from reception was extremely efficient, friendly and professional (we arrived early just after 11am) we were given local maps and directions on getting out and about. The room itself on the 4th floor was excellent. Nice bright room, spotlessly clean and good size.Breakfast was included in our rate and we couldn't fault anything there was continental and cooked selection, fresh coffee and juices and everything was replenished regularly and attentive staff were on hand for any requests. We also used the hotel bar when we got back after nights out in Central London and it was nice to kick back and chill.Location wise it was a 15 minute walk to Fulham Broadway tube station- if preferred, buses also run very frequently and your underground travel ticket can be used. On foot we located bars and restaurants on both Fulham and Kings Road and Eel Brook Common park was a lovely route to the station-when the new station opens I think it will be convenient but would also get out and about in Fulham in the evening...and looking at the planned development on Imperial wharf I would say that this area is going to be a very up and coming location in the near future.Will definitely use Jurys Chelsea again both for general London visits and when we visit Stamford Bridge next season-it is so convenient to Chelsea!	
Jun 15 2009 	Good Value	My husband and I stayed at the Jurys Inn for 3 nights in early June. From Gatwick, we opted to take the easyBus to the Fulham Broadway since this was the closest tube stop to the hotel. At only 4 GBP roundtrip per person, the easyBus turned out to be a great deal for getting to and from Gatwick.The Jurys Inn Chelsea was a good value for the price paid. It is about a 15-minute walk from Fulham Broadway. Although not the shortest walk, it was still convenient due to the number of restaurants in the area as well as grocery stores for those interested in packing a picnic. Also, we were able to take the tube everywhere. For those staying in London for a few days, I’d recommend getting the Oyster card. You must leave a 3 GBP deposit, but when you return the card, you get back the deposit as well as the remaining balance (if any).The service at the hotel was quite good. We arrived around 10am and even though check-in is not until the afternoon, we were given a room immediately. The a/c in the first room was broken but after reporting the problem, they were able to put us in another room within minutes. The room was a decent size (compared to American standards) and clean.Unfortunately, the hotel does not offer complimentary WIFI. The cost is a bit high for internet access – 10 GBP for 24 hours or 5 GBP for 1 hour. There is a computer in the lobby for those without a laptop. I believe that cost 1 GBP for 20 minutes.If you are not comfortable with leaving valuables in the room, the hotel offers its guests use of the safety deposit boxes in the lobby. This is very convenient, especially if you have a laptop you do not wish to carry around all day.If you purchase the breakfast during check-in, it is 8 GBP. Otherwise, it is 10 GBP. We skipped the breakfast because you can get a better deal at one of the nearby restaurants.Overall, we enjoyed our stay at the Jurys Inn. It was a bit far from the major London attractions, which is reflected in the price (and we knew this in advance). That said, if you are looking for budget-friendly, comfortable, basic accommodations, this is a good choice in an otherwise expensive city.	
Jun 9 2009 	Great value but a bit out of the way until end of 2009: new tube stop.	With the exception of the location, I'd strongly recommend Jury's Inn Chelsea. The rooms and hotel generally were clean and pleasant enough; nothing fancy but just fine. There is a nice breakfast buffet for 10 euros if you want to eat more than we did in the mornings. The staff was helpful also. The only downside was that the hotel is located about 10-15 minutes walk from the nearest metro stop at Fulham Broadway. Late at night it was a hassle having to walk back, and a bit disconcerting too, because for the last stretch there is really nothing and nobody around (the upside of which is that it's a quiet location). When the new metro stop is built nearby -- supposedly by late 2009 -- this hotel will be a real gem. But then the rate may well go above the 80 pounds per night which we paid.	
May 31 2009 	Best Hotel for Chelsea FC - C3 and 391 Buses perfect and Customer Service exceptional	Have just returned from a two night stay at the Jury's Inn Chelsea taking in the pubs down the Fulham Road for the FA Cup Final and my fiance's birthday surprise at Sloane Square along with the evening dogs at Wimbledon on Greyhound Derby Night. !What we must say is the Customer Service at this hotel is superb, the rooms though basic are spotless and our room had a lovely view.We have stayed at the higher star Chelsea Copthorne / Millenium Hotels and recommend the Jury's Inn in preference without a shadow of doubt.The C3 bus runs every 5 mins or so to Earls Court and 391 to Fulham Broadway and they start and return bang outside the hotel. It takes away the hectic tube travel in and away on matchday and will 100% be staying at this hotel again.The staff at the reception desk were fantastic and stored not only our cases on checking out but my fiance's birthday cake. The bar staff were excellent and the drinks very reasonable for this part of London.Breakfast was very good with a fantastic selection for everyone, we noticed quite a few children, both Chelsea and Everton fans tucking in happily !The 'room rates' are fantastic given the location and service.We truly hope 'this remains' for when the Chelsea Harbour Station opens and the Imperial Wharf River development is completed this will become a very desirable area indeed.The walk in the sunshine to Chelsea's ground is only about 15 to 20 mins if one is happy to do so !All in all this is an excellent hotel with people who deserve to be commended by the Jury's Inn company. We had a lovely stay and wish to thank all the staff at in our eyes Chelsea's NO1 hotel.	
May 29 2009 	Excellent hotel	We had a problem with the bathroom fixtures which was immediately resolved by the duty manager.The location was not as convenient as I'd wished but that was my fault as I obviously wasn't vigilant enough when booking . It turned out fine though.Restaurant was very good although not high profile enough in the hotel. Imperial Wharf has some really good restaurants, mainly Young's which we visited twice. Excellent food and staff.	
May 29 2009 	Clean 	This is a clean, tidy &amp; well presented hotel. We didn't have much contact with the staff but what little we did have was positive. They were polite, helpful &amp; friendly.We had two rooms on the 5th floor which were of a reasonable size. The beds were comfortable &amp; there were tea &amp; coffee making facilities in the room. (No biscuits though). The TVs were not flat screens &amp; the choice of channels was a little limited however I wasn't there to watch TV so it didn't really matter. The bathroom was functional if a little basic, there are better bathrooms in some of the other Jurys hotels. The fan wasn't very powerful which left the bathroom steamed up for a while after taking a shower.We didn't pre-book breakfast so this cost us £10 per person. The dining room was bright &amp; spacious and you could help yourself to cereals, fruit, yoghurt, traditional english breakfast with toast, tea, coffee &amp; fruit juices.The nearest tube station is Fulham Broadway which takes 10-15 minutes on foot. There is also a regular bus service approx 100 yards away. There isn't much to do outside the hotel, it's situated in an quiet location which is clearly in the process of a large regeneration project. A small railway station approx 200yards away will be completed in late 2009 and will improve links to the tube stations.All in all, this is a pleasant hotel in a quiet location. The only point I would make is that it can take a little while to get into town from here. As long as you're prepared for this then this hotel will be a good choice.	
May 22 2009 	Good hotel location would stay again	First time to London, found the room excellent, and the staff extremely helpful especally &quot;Magdealena&quot; at the counter. Location was next to the C-3 bus line that took us right to the tube and back. Only bad mark was their &quot;Innfusion Restaurant &quot;, the dinner service there was poor and the dinner was only fair Their large greek salad is the same size as the dinner salad at 3 times the cost and they use black olives from a can. But there is a excellent Pub down the street called the Lots Sreet Pub, that has great food. Would definitely stay here again.	
May 12 2009 	Very good value for the money	My husband and I stayed at Jury's Inn Chelsea for five nights to celebrate his birthday and just returned yesterday. We were a little alarmed at some of the comments regarding the hotel, particularly the service. We found that all the staff we met were helpful and professional. We have stayed at hotels in England, France, Spain and Italy. The staff at European hotels do not typically show customers to their rooms, nor give them tours of the facility. They do, however, respond to requests for information/assistance, usually cheerfully, and almost always politely. This was the case at Jury's Inn as well. We met the wonderful Gary, and he was all that was described, but the other staff were also polite and accommodating. We were able to check in as soon as we arrived, although this was at 11:00 AM. This was a pleasant surprise; we don't expect to be permitted to check in before the stated time, whether or not we have flown cross-Atlantic that day.The hotel is quite far from the main tourist areas of the city. We purchased a Travelcard for the bus and tube, and took them all over the place. The bus which stops almost in front of the hotel does take you to the Fulham Broadway tube stop, or another one will take you all the way to the Earl's Court station, which connects to two other lines. We also walked to Fulham Broadway at least half of the time, and found it took us only about ten or twelve minutes. Staff at the desk will be happy to provide you with an area map of Fulham, since standard guidebook maps show only Central London.Our room had both a twin and a double bed, and it and the bathroom (fairly good size, average fittings, only one small shelf) were scrupulously clean and well-maintained. It was very large by three-star standards, with plenty of room to move around. There is not a chest, and the only drawer is a small one in the desk. There are also two shelves, also very small, in the closet area. We decided to just live out of our suitcases, and didn't really mind. There is not a safe in the room, so we got a safe-deposit box at the desk. There is no charge for this service unless the box key is lost.Our room fronted on the street. There was some street noise from the roundabout just below, but not enough to bother me (and I'm a light sleeper). There was almost no noise after about 10:00, and it didn't start extremely early in the morning. The air conditioner/heater worked very well, and the higher fan setting worked as a kind of &quot;white noise&quot; as well.Having booked through British Airways, we had the full breakfast as part of our rate. The food wasn't gourmet, but was adequate and had a fairly wide selection, including hot porridge, fried or scrambled eggs, ham, bacon, sausage, breads (with a toaster so it's hot when you make it), fruit, pastries, juices, and hot beverages.All in all, this hotel suited our needs perfectly. If you are likely to want to go to town, or even up to Fulham Road for the restaurants (Nando's in the mall is just major fun and good food at a low price) or shopping more than once a day, I would seriouly suggest buying a Travelcard. The cost is well worth it; we think it saved us perhaps twenty to thirty pounds.All in all, Jury's Inn delivered what they advertised, and responded graciously to all of our requests for help/service. A bonus for us was the many nationalities of the other guests. Many Britons choose to stay here as well. This adds to the experience, as far as we're concerned. We are glad we chose it.	
May 6 2009 	Good inexpensive option	We were a party of 5 (including a child) and spent 4 nights at this hotel, we had two adjacent rooms with a door between them, which was convenient. One room was for disabled people, so it was rather large, especially the bathroom. Rooms faced the rear of building, so the view was not very nice, you may want to ask for a front room.The bed was comfortable, the room had a desk, hairdryer, tv, phone, pricey internet (10 pounds per day) an electric tea kettle, and some tea and instant coffee. The bathroom had those refillable soap containers (not the tiny samples). Towels and linens were fine. The room was fairly clean, no in depth cleaning, but it was perfectly acceptable. The front desk staff was efficient, they came quickly when we complained that they hadn't unlocked the door between our rooms as we had asked. Some in our party had breakfast at the hotel, the buffet was reasonable, nothing fancy, but enough to get you going (juice, coffee, eggs, beans, bangers, blood sausage, fruit, cereal, bread, butter). A bit expensive for what you got (10pounds per person). There is also a bar/restaurant where you can have something basic for dinner. Nothing fancy either, but reasonable. If you want to have dinner nearby, I recommend Memories of India on the River, just 2 minutes away, in the buildings by the river, called Imperial Wharf. We had dinner three times at this Indian restaurant, the food was very good, and so was the service. The hotel is modern, basic, but reasonably comfortable, and it came with an attractive rate (we paid 79punds per night per room, breakfast not included, which for London is pretty good, I believe). The area is not in the hustle and bustle of London, but it's not unpleasant either. If you want a lot of pubs/restaurants near your hotel look elsewhere, as there's really nothing around, yet. But if you travel with children, as we did, this is a good option. I recommend morning walks along the Thames, just 1 minute away, really beautiful. I heard they're building a tube station, for the meantime buses 391 and C3 take you to Fulham Broadway and Earl's Court (respectively) where you can catch the tube. It's a shorter ride if you take # 391 (about 5 min), against 10-15min on C3. Overall a good find in London, especially for families, and at a very reasonable price.	
