	Small dusty noisy and bad service	My husband and i stayed here for one night only and that was enough. I know this may sound harsh but we have never been so disapointed with a hotel. I boasted to my family about staying in a 4* hotel but had to admit on my return that there wasn't much to boast about. The room was tiny, you have to walk around it sideways apart from the bathroom which i must say was the only good point especially the way the water ran out of the tap but i must stress this was the only good point. It was dusty because of the continued refurbishment that was happening. I know many peopke have taken this into account but the work should be finished if it's going to cause disruption fot the guests. The next pitfall parking, this is something we specifically looked for and it suggested that parking is available for guests but it didn't state as long as you are willing to pay £40 a night. Last but not least breakfast, after entering the dining room and waiting 10 minutes for them to clear a table which we subsequently cleared ourselves, we then waited 10 minutes for some clean plates but forgot to ask for clean cups at the same time which took another 5 minutes to get. After eventually sitting down to breakfast which wasn't very nice we then heard a funny noise followed by two of the guests unplugging the warming hubs as it sounded as though it was about to blow up. We shortlly checked out after this. We responded to the review on their website and were offered an apology and a free upgrade to a clubroom on our next stay if we paid for a double standard room. Which i personally thought was a bit of a joke!!!! The other point we found was after entering our debit card details online we were then asked to pay for the hotel when we got there as it didn't take the money out from the online booking which on top of everything else was a little irritating!!!!!	
Dec 15 2007 	Grace in Hyde Park	This Hotel has the most gracious and spacious entrance area, reminiscent of an 'Old Boys Club'. There is a glorious,wood panelled sitting room for guests to enjoy. The rooms are small, make no mistake, but for price, location &amp; decore they are second to none. Hyde Park, Queensway and SO many restaurants, bars and shops are steps away.Every attention to detail has been addressed in this hotel's upgrade: Outstanding bathrooms, huge TV screens and well planned, luxurious fixtures &amp; fittings. Our small , but beautiful, wrought iron balcony overlooked Inverness Terrace and out to Hyde Park. A fruit platter was offered on arrival, and we were staying in the standard room.We stayed in London 5YEARS AGO in this same area, and paid the SAME AMOUNT for accomodation which was closer to a Retention Center than a hotel.This place offers grace, quality and location at an extraordinary price. We could not have been happier.Utilise their limo booking service which gets you to Heathrow for a quarter of the price you would pay in a taxi.. quality and relaxation.Can not recommend this Hotel highly enough for couples and business.	
Oct 1 2007	We will go back	Like most people we read the reviews written and then spent many, many hours surfing the net to find that elusive &quot;excellent&quot; rating. This time we decided to 'bite the bullet' and booked up over the phone and resigned ourselves to the fact that you only spend the night in a hotel to sleep, not live. We booked up a Sunday night at a cost of £62 for a double with breakfast included (the internet price was £55 bed only) so i thought £7 for breakfast for the two of us was better value. We arrived at the hotel early where we stored our bags. We returned at two and found that our room was still not ready. Due to the fact we needed our room to freshen up to go out again they upgraded our room free of charge. We got room 519. Wow!! It was the biggest hotel room I've ever been in (and i've been in many). A sunken bath and shower. In the bedroom was a large four-poster bed and furniture to die for. The hotel room alone was at least forty foot square. The breakfast was a buffet and no complaints there either, left there 'stuffed'. The hotel is Edwardian and the woodwork, ceilings and drawing room are breath-taking. Although we did not experience the &quot;tiny rooms&quot; as described by other reviews, i for one will return regardless of room size. All we want is a bed and somewhere to freshen up, we could spend the day in the drawing room without a single breath of complaint.	
Sep 29 2007 	satisfied guest	The good things: Nice decorated rooms, free internet in the lobby, free internet in the room, clean, good english breakfast (if included, though not worth 15£ as they would otherwise charge).Close to underground station and morningwalk in Hydepark. After complaining about the fact that the triple room is really a double room with chair upfolded to an extra bed the staff solved this in excelent way by giving us an extra single room.Helpful and friendly staff.The bad things: Triple room´s not really triple room and way to small for three people. Bathroom and shower verry tiny, clean except for the showerdrape. The corridore on our floor (basement) had a funny (but not to stinky) smell. I would defenetley stay here again. Especially for the sake of free internet in room (witch at another hotel during my stay in london charged 5£/h or 12£/24h) I do recommend this hotel to others.	
Sep 26 2007 	Very convenient hotel	The only bad thing was that the room was in the basement and quite small but considering the standart of Londons hotels, this one was very good value for the money that we paid. We got double room for 70 pound per night and we stayed for five nights. Air conditioning was great and the bathroom also, there was also a fridge in the room which was great.Breakfest was ok, more vegetables would have been nice.But generally we can recommend this hotel to everyone who appreciate great location but don't pay more than a 90 pound per night, you can get better hotel with that money.	
Sep 23 2007	Let's put things in perspective...	I read some very alarming reviews about this hotel after I had booked... but it actually offers good value for money. I think the 4 stars label is what may raise unrealistic expectations for the price but basically the prestation is of a good standard.I was in the hotel for a week on business and I could not find evidence of cockroaches as mentioned in other reviews. the room was compact indeed, but the ajoining bathroom was excellent, clean, newly refurbished to a high standard. The bedding was very good and the room reasonably quiet for London.In terms of services the room offered the usual kettle/tea/coffee (good quality, not the cheapest), iron and free wired internet access. The TV had a weak signal. The small room still allowed me to work on the desk for the best part of a day in good comfort. Put it like this: it may not be 4* but was better suited to my needs than the usual cheap hotel chain.As for the staff they were genuinely helpful and available 24 hrs. Again I could not see evidence of them trying to &quot;rip you off&quot; as I read in another recent review, I actually witnessed them trying to help foreign speaking clients beyond their duty. They did take internet booking (mine was) without problem. The hotel also offers good amenities, bar, a nice lounge with papers, magazines and internet access, free fruit bowl. One of two lifts was out of service. I am not sure this hotel would be very accessible to clients with reduced mobility.In conclusion the 4* may raise your expectations beyond the actual stadard offered, but if you look at the average room price it offers very good value for money.	
Sep 20 2007 	Not that bad	We stayed one night at the hotel.The bad stuff? Well, my heart sank when I saw that it was directly opposite a homeless hostel, lots of shifty people hanging around. I agree that the rooms are tiny and that they are hot! The good stuff?Well, the facade of the hotel and the public rooms are a treasure, they made me smile with delight. The hotel is just around the corner from Queensway, which has the greatest selection of restaurants I have ever seen.I was booked in with speed and the staff were friendly. I was shown the way to my room and yes, the corridors were narrow. I do not mind walking up stairs so that was no problem.The room was tiny, enough room for a bed and a tv. But as we were travelling light, there was no problem with the small wardrobe. The tv worked.The room was HOT. It took me a while to work out that the air conditioning was blowing hot air into the room. So, off that went and the window (clean the windows in a while please!!!) opened and the room was fine.My wife told me there was only tepid water in the morning for her sohwer.But for the money we paid (£90) we got a clean, tidy and comfortable room. It is great for tube stations, great for Hyde Park and great for eateries. I did not bother with the hotel restaureant as the menu wwas terrible.If I had stayed for longer maybe the small room would have grated and maybe my patience would have snapped over fixing things like the air conditioning	
Sep 18 2007 	Fantastic Stay at the Shaftesbury Hyde Park	I booked a one night stay at the Shaftesbury Hyde Park HoteI (before I read the reviews) to celebrate special birthdays that myself and my husband were celebrating. To say I was very apprehensive about staying at the Shaftesbury after reading the reviews was an understatement, so I contacted the web-site via e-mail with whom I made the booking to voice my concerns informing them it was for a special occasion. I was assured that some of the problems had been addressed and most of the bad reviews were about how small the rooms were, I was also assured that as it was a special occasion they would leave a message at reception to provide me with one of their larger rooms. I was still unsure but as my stay was within a week and I was concerned about booking somewhere else I decided to give it a go, my husband said well it's only for one night. On the day of travel we were faced with train delays and then we got lost in London, by early evening and still trying to find the hotel (which was the husbands fault) by the time we did find it, I was ready to do battle with any cockroaches or reception staff. However reception informed us they were aware that it was a special occasion and that they had a lovely room for us, we thanked them but still not convinced until of course we went into the room, when we entered we were faced with 2 doors off a small hallway we entered the door on the right to be faced with what I can only describe as a suite, it was fabulous - we had a four poster king sized bed at least that's what it seemed like it was certainly bigger than the double bed we have at home, there was a hugh sofa and 3 large comfy chairs another 2 small chairs, a huge marble mantel &amp; log fire which was serviced by gas (not sure if it worked as I didn't try it) beautiful built in wardrobes with plenty of storage space, we went back into the hallway to enter the room on the left, this was the bathroom and what a bathroom the bathroom also had a built in wardrobe, it had a beautiful huge bath (I think it was a double) with a shower over and the bathroom was nearly the size of the bedroom, I wished we had been staying longer we could have easily been happy staying in this suite for two, three or more weeks. I shall certainly stay there again but I would request the room number we had which was on the 5th floor as I did hear a gentleman complain while I was standing at reception about the size of his room he was not happy. But I can only say I am pleased I did not change the hotel and that I did voice my concerns about the problems, as perhaps this helped with the room I was allocated. Susan and Davey. Newcastle	
Sep 16 2007	very disappointing	Room far too small.TV broke down several times during my stay. My faulty key card had to be replaced .. no apology or comment ! Staff unhelpfull and unfriendly. Could`nt recommend this hotel to anyone. One of the worst hotels I`ve experienced.	
Sep 9 2007 	lovely hotel-but not what is advertised	our stay at this hotel was pleasent eventually we were a bit weary as we read the reviews after we booked but there was not a cockroach in sight and was assured when we rang the hotel that the problem was dealt with. the hotel rooms from the reception to the hotel rooms are not as big as they look on the pictures in fact when we arrived into our room we were horrified to find how tiny it was so we rang down to reception and the very polite receptionist said they would show us another room the following day. at 11 oclock no one came so we went out for the day arriving back at about 11 oclock on the evening we could not get into our room so a bell boy let us in and when we entered we realised that all our stuff was missing and someone elses stuff was in there instead they had moved us and our stuff with out any prior notice which made us feel violated as the chamber maids had rummaged through our belongings but the next room was slightly better in size on the front of the building on the 8th floor but only 1 lift in service so sometimes a bit of a queue .we complained to the duty manager because it was wrong that we were moved with out notice and somethings had gone missing which was slightly distressing as this was my bday and did not expect this kind of things to happen but after 2 days our missing items were rerturned thankfully and i was given a bottle of wine and bowl of fruit for my bday and a way of an appology.but after that things were fine . but please donot expect a large room they have none at all the pictures are very missleading they are incredibly small but comfortable . we had no problems booking in or out a matter of minutes. the staff were quite helpful .i would stay there again now i know what to expect overall not too bad.	
Sep 2 2007 	Avoid Like Plague Else You Will Regret It	Well if i could give Minus 100 rating i would.....Upon checking in the manager at the desk was very very very i repeat very cunning told us first you have to pay extra we dont take online booking when i showed my annoyance then he said ohh yes this website we can to make it look like it was just small mistake then he charges me for deluxe room and give me standard double how do i know ? (make sure if you pay for double make sure its double by checking room is BIG and it has headboard behind the bed and overhead lights and bigger bath else walk out there is a better hotel on the same road! (i repeat they will try to rip you off!)I didnt knew that the room is standard i only found out when i decided to take a shower and the shower was leaking (come on its a four star my as*) then they should be another room which had leaking shower and spraying tap disgusting then i went down to reception and told them straight i want my MONEY BACK the guy then realise ohh i cant keep sending him corners now so when i kicked off he took me to a new ROOM which WAS DELUX ROOM WHICH I PAID FOR and when i told him he tried to say oh sorry i didnt get it you wanted standard room! (i repeat if you go in there make sure you watch out for bigger room else they are ripping you off ELSE AVOID AT ALL COST) I REPEAT AVOID.anyway after 3hours of mucking around i finally managed to get my room sorted lift wasnt working and usually doesnt work either and there broadband is watched over (i work as security consultant ) they monitor every activities of yours.IF I WAS BOOKING THIS HOTEL I WILL AVOID LIKE PLAGUE.....ELSE GO THERE AND YOU WILL REGRET!!!!!	
Jul 29 2007 	smallest room I have ever had	Our family of three spent 3 nights at the Clarion Shaftesbury Hyde Park. We found the hotel to be quite close to the tube, 1/2 block to the Queensway stop and the same distance to Hyde Park. The lobby had three computers free for use including internet connection. The lobbies are beautifully decorated and quite comfortable. Upon check in we went straight to our room and were dismayed to find one double bed for for the three of us, with only 8 inches clearance all the way around the bed. We went straight back reception and had to show the clerk our reservation form showing a triple with refrigerator and microwave had been requested. We were then sent to another room with a double and a chair that made out into a twin bed. This room was again very small, but otherwise seemed clean and safe. We turned on the air conditioning and went to get supper. After supper and baths we realized the air conditioning would not stay on and called for maintenance. A young man came straight away and after some time said that he would arrange a new room for us. We were then moved to a third room. This was by far larger than the room we had just left and very nice. The rest of our stay was unhampered and the hotel was very clean and quiet. Hallways are very narrow, you must go single file. The breakfast was to expensive for us, we found several wonderful places around the corner from the tube station for a better price. I would not stay here again due to the size of the rooms and the initial room assignment.	
Jul 28 2007 	Can you not rate a hotel Zero?	I have had the misfortune of staying at this hotel 3 times now on business, and not one of them was without incident. First stay, I had a bulging damp patch in the ceiling above my door which started to drip through the light fixtures at 2 in the morning. The shower was so small that the damp shower curtain stuck to my back. 2nd time around I was put in a basement room with a broken window which wouldn't close and had a noisy vetilation shaft running below it. I called reception to get someone to fix it but half an hour later, no-one had turned up so I went to reception myself and had to fight for a room change. The 3rd and final time I will ever stay at this hotel I arrived to find the shower wasn't working and I could hardly get my case up the side of the bed the room was that small. The shower was fixed the following day but that was a minor detail. On waking one morning I found the biggest cockroach I have ever seen climbing up my curtain. In thought I'd try and put it out of my mind (I was so exhausted with the hotel by this point) and stayed for my final night. Awoke at midnight to find 6 of the buggers down the side of my bed! Called reception imediately (few of the staff have the best grasp of English) and they sent up a poor, unsuspecting man with a bottle of Coke - they thought I wanted room service! I was told that 'It is just a cockroach' and 'It's probably left the room'. I demanded another room change and was put in an icy shoebox with a pin-hole for a window. DO NOT STAY HERE	
Jul 21 2007 	Ruined our trip!	In London for a very special occassion, booked through internet which implied it was a luxery 4* hotel. On arrival kept waiting, room in basement, no air, very stuffy and smelly. Toilet was dirty, cups had lipstick on, milk was mouldy. No plug for bath, no extractor fan, no view, very small window hardly opened, bedside lamps didn't work, 'twin' beds but due to lack of space there was no gap between beds. As soon as we put the ironing board up there was no room to move at all. Glass shower guard was hanging off the wall. We paid for breakfast but they didn't have us down for having paid so the manager refused us breakfast and we got no apologies for anything and got told by the manager that it wasn't his fault the hotel is run by CentralR. Never go there, we paid £180 and it wasn't worth £18 - very upsetting and dissapointing - couldn't wait to get back home!!!	
Jul 9 2007 	Rooms Small	Whatever you do don't bother paying any extra for a twin &quot;luxury&quot; room. The twin rooms are exactly the same size as all the double rooms and there is not enough space to separate the beds either, so in fact it's a double except that you have a two single beds pushed together. How that justifies the extra £50 I don't know. The guy at reception accepted that there is now difference in size but would not refund the difference. The rooms are very very small. Interiours fitted to a high standard yet the lack of space lets it down. The breakfast rooms is also so small also that we had to wait 15 minutes to be seated as it was full. Staff were pleasant and all seemed to speak good English, the service on the whole I would rate as good.	
Jul 5 2007 	Disappointing	Booked a twin room and when we got there put in two tiny single roomsin the basement. mind you at least we had a room as numerous people were being shipped off to other hotels due to a 'maintenance problem'. Could not swing a cat in our rooms. Staff on reception awful and only one of them seemed to know what he was doing. Had to ring reception 5 times to get a hairdryer delivered to my room. Close to Paddington but thats the only thing it has going for it....would not stay there again	
Jul 3 2007 	Excellent location	My husband and I stayed at the Shaftesbury Hyde Park for 5 nights. As it was relatively cheap - GBP 480 including vat - we just hoped for the best. Having a 4 star rating, we expected quite high standards which was most definately not met. At best it deserves a 3 star rating. Our deluxe room was minute. We were expected to stay for almost a week with very little closet space and only two hangers. It was difficult to move around. Granted, it had a large modern TV, and the bathroom was OK. Just a word of warning though... If you are tall, stay away. The bed is just a double, and the shower is so low that you will bump your head. The shower is situated in the bath which is so high that an older person or child would find it almost impossible to get in and out of. The breakfast was OK but not what one would expect from a 4 star hotel. It was the same for 5 mornings with absolutely no variation in style of eggs, fruit, juice, etc. The absolute best part of this hotel is the location. It is very close to Queensway and Bayswater stations. It is also within walking distance to a lot of attractions eg. Diana Memorial, Kensington Palace, bus stops etc. It was cleanish, and well maintained. The staff was friendly and assisted where possible. One morning at around 03:30 the fire alarm went off twice for no reason. We had to phone to have them switch it off. I presume it is faulty as there was no fire anywhere.	
Jul 2 2007 	Disgusting	I was on the ground floor , which from reading the other reviews is one of the bigger rooms. Fine for one person but as soon as my partner arrived on the 2nd night the room was far too small for two people to be in.Rooms were never cleaned properly and although everything worked in my room every single time I passed though reception (without exception) there was someone complaining (I was there for 3 nights)Finally there are cockroaches, I saw one on my last night in the room, I didn’t say anything as my partner would have had a heart attack and I wanted a nights sleep. Teh fact the hotel knows and clearly have done nothign over a matter of weeks should tell yuo all you need to know. I read reviews the day before i went and was going to cancel but didn't. If you are in the same situation then cancel...trust meDon’t stay here, it’s dirty and infested	
Jun 30 2007 	So there we were tuked up in bed having nightmares about cockroaches when...	Looking for a relaxing, cockroache free holiday in london?? Looking for a good nights sleep uninterrupted in london??Well, whatever you do...on your life do not stay at this hotel. This has to be the worst experience I have ever had the misfortune of having. When we first arrived at the hotel it was raining, we were tired and I suppose we didnt have the energy to give a toss about the size of the room. Little did we know that this would be the least of our problems!!! We went for a nice meal in town and arrived back to the hotel at around 11 pm. We entered our room and there on our bed was the biggest cockroache I have ever seen. We eventually caught it and fecked it out the window. I went straight down to reception, where i informed them of the intruder. They acted like this had never happened before and that I was the first person ever to report. I was told that they would sort the probleme out in the morning when the room was serviced. We eventually went to sleep with one eye open incase we had any more visitors.Two nights later (just after 4am) I was tucked up in bed having nightmares about cockroaches when all of a sudden the bloody fire alarm goes off in the hotel. Me and my boyfriend jump up, quickly put our clothes on and run out of the room. I saw the nightporter at the end of the corridor and asked him where the fire was. He informed me that there was no fire, that someone was smoking in their room and had set it off!! I had to be pulled back into the room by my boyfriend ( and im not the violent type) to stop me from running down to reception and ringing someones neck.I was eventually calmed down and had just setteled into bed when the fire alarm got set off again. Now this is the loudest fire alarm I have ever heard...I was fit to kill.To add to all this the room next door were obviously locked and were having a party. I had asked the nightporter to call into the room and tell them to shut up but he told me he would ring them and ask them to keep the noise down...ring them...hahahahahahaha i laughed (in a demented way).The nxt daty we checked out. My main regret was that we didnt check trip advisor before we went...I would no way have went there. This hotel is a joke and should be downgraded.Avoid at all costs.	
Jun 26 2007 	Cockroach Towers!!!!	This place seemed ok to begin with. However, as we had booked through a third party website at a discount price we were put in one of the smaller rooms without a view. we later met our extra guests...the COCKROACHES that appeared just as we were settling in for the night. We imeadiately phoned reception and demanded that we were moved to another room, we were informed that this was not possble but they would go and find poison to put down in the meantime. This did not arrive.....ever. The next moring after sleeping with all the lights on to keep our guests at bay we demanded to be moved. Whch we were to another pokey little room but at least no cockroaches.Moral of the story...you get what you pay for!STAY AWAY FROM THIS PLACE!	
Jun 14 2007 	Stay away!!!	My partner and I checked in to this hotel to celebrate my partner's birthday. We had been at the hotel just half an hour when all of the electricity went off. We were told this would be fixed in a matter of minuteswhen we called reception. However, we were left in the dark unable to shower or get ready for our evening we had planned for over half an hour. The power eventually cameback on and we proceeded to get ready and carried on with the evening's plans. Upon returning to our room at around 11:30pm we were greeted by the sight of two cockroaches running across our bed! My partner stamped on one of them, but the other ran away. I was very shaky so went to sit in the bathroom to calm down. Upon entering the bathroom I noticed yet another cockroach running across the floor, again my partner stamped on it. We called reception who sent someone to our room. Upon seeing the dead cockroaches, his reply was &quot;but they're dead.&quot;There were no apologies or concern, and we were told that we couldn't be moved to another room even though there was still a live cockroach in our room somewhere, but we could have a drink compliments of the hotel! They promised that this was the first time anything of this kind had happened. By this point I was very disturbed by the situation and we told the member of staff that this was not acceptable and we wnated to be moved to another room, or failing that, another hotel. He left and said he would see what he could do. After we received no reply for around 15 minutes, we called reception again. They told us they were fully booked but would call around a couple of local hotels to see if there was any room. (At this point they were expecting us to pay for another hotel room, should we wish to move!)We waited in our room and after about half an hour I looked over towards the wardrobe and what should I see, but another cockroach scurrying along the floor! This was the last straw for the two of us and we went to reception and they said the nearest hotel they could find a room was at Canary Wharf, and we would have to go and look ourselves if we wanted to find somewhere closer. By this time it was around 12:30am and it was raining hard outside. Nevertheless, my partner and I walked around Bayswater in the pouring rain to find oursleves a hotel. On having no luck we decided to return to the hotel and see if they had come up with any other options. Upon arriving back at the hotel, we asked the member of staff at reception what they were going to do about our room's cockroach problem. There was another couple standing at reception who, upon hearing us say this, told us that they too had returned to their room to find two cockroaches running around, and had also been told, as we had, that it was a one time occurence!The member of staff behind reception then told us that they had found us a room at the Hilton (a 5 star hotel) in Wembley. They also said they would arrange a taxi there for all four of us. We were very tired by this point, as it was around 1:30am, so we readily accepted.After driving for half an hour, we arrived at the Ibis 2 star hotel in Wembley! Not the 5 star we had been promised! So not only did we have to leave our rooms at the Shaftesbury at 1:30 in the morning, but we were sent from a 4 star hotel, to a 2 star £57 a night hotel! We called the hotel and they gave no apologies and were generally very rude! Also, we were told by the taxi driver that took us to Wembley that he has to pick people up from the Shaftesbury because of similar incidents at least every two weeks! So this was clearly not a first time incident.	
