	Who gave this hotel 4 Stars ??	I have just spent Saturday night at this hotel, and must say it was a big mistake.A West End show, romantic dinner and a night in a great area of London was spoilt by this Hotel.Although all of the staff were very pleasant and helpful, the room was very tired / antiquated bathroom / pathetic toiletries / dirty windows / tatty net curtains / filthy window runners / no mini bar (in a 4 star London hotel ??) breakfast was awful (which the hotel tried to charge me for, after I had prepaid on B &amp; B terms / bad stains on the carpet / very basic bed and pillows - just a very miserable room.I am not sure about Health and Safety regulations, but if ever there was a fire in the corridor outside the room I stayed in , the occupants would perish as the windows could not be opened at all- they were secured by means of obvious screws into the window frames. It's hotels like this that can give London a bad name - the room was two star at best - do not stay here expecting 4 star !	
Oct 26 2009 	WE WILL BE BACK	At last we have found a hotel in london that we are looking forward to to stay at, at the next posible occaision,..over the passed years our visits to London have been spoiled by the hotel's (even by going through agencies)on arrival the check-in was very friendly(thanks to Quentin, on the desk)we got what we asked for!!1. a smoking room.2. and a room not overlooking the tube station(after reading the reviews on tripadvisor)these 2 wishes were granted!! what's more he gave us reduced breakfast vouchers (£10 instead of £13,) after the check-in,now was the time for the &quot;Surprise&quot;(we were still very doubtful about the room!!! and what a wonderful surprise!! the room was large(what they say on their web page) the bathroom spacious! it was a dream come true!...the smoking rooms were on the 3rd floor, bieng a smoker i still smell the old smoke, but there was a nice refeshing smell as soon as we got out of the lift,and the same as we got into the bedroom!! another good thing was the small fridge, iron and ironing board(which they didn't mention on their web page,our view overlooked the Kensington close hotel(which we had stayed in before(recemmended by Brithish Airways!! never again! it was a hole!!) the location was great! High Street Kensington tube station just up the road, we just adored it, but just a very small critic,they could have mixer taps on the bathroom sink, but as i said we will be back	
Oct 20 2009 	Not bad at all.	We stayed here for four nights after booking with Priceline. We got a very good deal. At first I was disappointed that the hotel looked liked a 1960's school of architecture rejected project. Still inside was clean, comfortable, quiet.The best thing is the fabulous location close to Kensington high street and the park. The underground is a short walk and so are all the shops that you could want. I would stay again.	
Oct 19 2009 	Location location location	Stayed in a standard double room on the first floor. Spacious with a little table and chairs. Yes, it overlooked the train tracks, but I didn't hear a thing, and I was listening for train noise (based on other reviews). Yes, the bathroom is a little elderly and has English plumbing, but hey, it is England. The hotel is central, and in a safe location a short stroll from High St Kensington tube station. The hotel catering is just fine and there are heaps of places nearby for meals - the Muffin Man is great for breakfast and it's not just muffins. For a London hotel, the prices are very reasonable and the rooms are good. You can't expect 5 star rooms at 3 star prices!	
Oct 17 2009 	A poor imitation of a four star hotel.	I checked into this hotel as I was attending a corporate dinner nearby. Unfortunately, the hotel was exceptionally disappointing.I arrived at the hotel and was impressed by the lobby which was spacious. I then went to check in and was greeted by a slovenly girl slouched on a swivel chair who was sharp, snappy and unwelcoming. I was directed to my ninth floor room.The whole hotel is somewhat tatty round the edges and this applies to the public areas as well.I arrived at my room and was went inside. To sum up the positives and negatives of my stay:Comfortable BedGood ViewNice BreakfastThe Negatives:Dirty poorly maintained bathroom. Dirty ToiletPubic Hair in the BathTempermental toilet flushing system.Flickering LightRude check-in staff. 30 minutes to get served an orange juice in a quiet bar. An outdated television system. Every channel was distorted and unwatchable.All the stationary, menus, and paper in the room was extremely tatty, dirty. Some had, what appeared to be blood stains over it.This hotel was probably quite good when it was first built, however, it is now tired, lacks any form of finesse, attention to detail or care about product quality. I feel very sad that this is the experience that some foreign travellers will get of London - we do so much better than this elsewhere. Save some worry and stay at the Hilton Metropole for the same price and get a hotel that gives a hoot.	
Oct 13 2009 	A bargain of a place to stay in Kensington.	We stayed at the hotel for three nights and found the hotel to be great value for money.Our stay did not include breakfast but just minutes away is a very nice tea room called the Muffin Man which offers a choice of breakfast and a very reasonable price.The hotel is only minutes away from Kensington High Street but down a side street which means it is not to noisy and even though it backs onto the train lines, you could hardly hear anything.The room is small, but very comfortable and extemely clean. Beds lovely.The hotel food was very good with a special priced menu if ordered before nine in the evening.The hotel was buzzing, it seems to be very popular with many travellers - I would not have any worries staying there even by myself.A great stay in a lovely part of London, museums nearby, as well as the convenience of a good transport service.	
Oct 12 2009 	Outstanding value	My wife and I spent four nights in this hotel. Location is great, on a quiet street just a few minutes walk from High Street Kensington Tube station. Lots of shops and restaurants available on Kensington High Street. Also walking distance from Gloucester Road station, on the Piccadilly line.Rooms are clean, large and comfortable and include a fridge as well as a sitting area. Good size washroom. The only negative is that our room had two twin beds instead of a double bed. We were offered to pay 40 pounds to upgrade to a &quot;club&quot; room with a queen bed, which we declined. (The club room also comes with free breakfast, some drinks during cocktail hours, etc.). Twin beds were comfortable.If you are flying out of Heathrow, there is a shuttle bus that goes to Heathrow from this hotel. Cost is 19 pounds per person. Well worth it if you have lots of luggage.This hotel is located in a very desirable location of and provides quick access to all major London attractions. I would recommend it without hestiation.	
Oct 9 2009 	Needs Renovation	We booked this hotel via priceline bidding for $65 per night. This hotel is very near to the Underground tube station &amp; kensington high street. Mcdonalds &amp; Pizza hut are very close by. The Room's are just okay, but the restrooms seriously needs some renovation, there is a separate faucet for hot and cold water. The Muffin Man cafe/tea shop just a block away is really good.	
Oct 9 2009 	Very Smelly in the height of summer	As a relatively frequent traveller to London I am well aware of the patchy nature of some hotels. This one definately falls in the to be avoided if possible category.The only positive thing I can say is the location close to High Street Kensington tube.Also there was a good sized fridge.The room smelled terrible and the windows didn't openBreakfast was adequate but with none of the extra touches e.g. hash browns, black puddingMain clientèle seemed to be coach loads of tour groups.	
Oct 8 2009 	Decent but nothing special	My girlfreind and I spent 7 nights here recently and were rather apprehensive given the mixed reviews on Tripadvisor. My girlfriend has very limited mobility and needed a room with disabled facilities, which made us even more concerned.The room itself was adequate. It was clean and comfortable, though a little too warm for my taste. You can't open the windows and, even with the air-con full on, I still found it a bit stuffy and warm.The disabled facilities were pretty good. All doors could be opened by a wheelchair user, and the lifts were very spacious. My girlfriend was able to get from reception to the (first floor) room without my help on one occasion - something that she couldn't have done at another 'disabled friendly' hotel at which we stayed a year ago.The staff were very pleasant and helpful. We needed a chair for the shower. This was provided on request, though we did have to remind them a few times.Breakfast was adequate, but could probably have been better for the money. The toaster seemed to have good and bad days! The dining rooms were a bit dark and could probably benefit from a bit of modernisation. But it's the food and service that really matter.I'd say this is really a 3 star hotel. Decent, in a good location, with friendly staff at a reasonable cost.	
Oct 4 2009 	Shabby	That's it really...it's shabby. If you go expecting no more, you'll be satisfied. It's the kind of place that you'd be ok with if you're on a coach tour. The sort of place you are happy with for one night, and then you're on to the next place. In fact, we booked this and got a deal, but we still felt it was way overpriced for the standard of the room. It looks like it's stuck in the 80's and hasn't really had any money thrown at it since. Yes, it's well located; yes, there are plenty of good restaurants nearby; yes, the front desk staff smile. No, it's nothing very special at all. Far from it.	
Oct 4 2009 	Club room and location made it worth the money	The hotel itself was outdated, but the location can not be beat. Very close to Kensington Highstreet, the tube station, and my personal favorite, a Whole Foods. The stay was much more satisfying with a Club room which included an upgraded room with internet connection (not wireless) and great breakfast buffet which would have otherwise been 15£ + 13£ respectively extra. Otherwise, I don't think the stay would have been worth it. The check in staff were professional and helpful, but I was less than comfortable with the concierge staff who tried to sell me a &quot;bargin price&quot; to the airport which was much higher than if I just got there on my own. I also didn't like the fact that they sent up a staff member to physically look in our minibar before we checked out to make sure that we would be honest later on. That lack of trust really busted my good feelings of the hotel right at the very end of our stay. I will probably look for other hotels on my next visit, but would not mind staying there agin.	
Oct 3 2009 	Just a short stroll from the gates of Hyde Park	Recently spent 3 nights here, found it in an ideal location, just off High Street Kensington, near the tube &amp; also bus stop. Very clean, rooms basic, but comfortable, staff very friendly &amp; helpful. We were able to check in early &amp; leave our luggage with guest services, did this again on checking out.Just a short stroll from the gates of Hyde Park, which was wonderful. We were going to breakfast elsewhere as knew they charged £16 for full English, but on checking in we were given vouchers for breakfast for £10, which made it about average price for a London hotel. Would definately recommend &amp; use again if in the area	
Sep 30 2009 	Great value Great Location	We have stayed here twice. It is so convient right next to the tube stop. Also lots of shops, restaurants. The second time we stayed here, my husband was in severe pain due to what turned out to be a broken back. The staff were wonderful to us and helped us endure a terrible situation. I can't thank them enough. We will always pick this hotel when we return to London. Also it is easier and cheaper to get to Heathrow from here on the tube than in any so called airport hotel. The airport hotels are far from the airport and the hotel shuttle is expensive and very slow.	
Sep 28 2009 	Mr	The stay was fine, until I got the bill.$8 for a 1minute and 20 second LOCAL phone call.$3 for less than a minute LOCAL phone call.$43 for another LOCAL call.$25 per day for internet access.Just beware. I'm not an ignorant traveler. They really know how to jack up the price here. The bill for my stay was an extra $200. They wouldn't do anything about it at &quot;Guess Relations.&quot;	
Sep 27 2009 	Awful hotel; overpriced and not worth it	Cleary this hotel is a mixed bag. I booked it for a weekend stay in London on the strength of some reviews on Trip Advisor, but found the critical reviews much more accurate.I normally enjoy staying in hotels and very rarely have a bad experience, but this hotel was awful from the start.I'd booked a double room, but upon arrival found that I in fact had twin beds. After complaining I was told this was Expedia's fault and not the hotel's - nothing they could do was the reply, as there were apparently no free rooms with double beds in. However they did say I could upgrade to a double-bed room for an extra £45. Nice. I refused, suggesting they should upgrade me for free, but they would not, so I had to push the two twin beds together and sleep with a hole in the middle. Hardly worth the £92 I paid for the room.While the corridors smelled strongly of damp, the room itself was very well-worn, battered and the TV had been kindly left to blare out a Spanish channel at full volume for my arrival. Despite it being a non-smoking room on a non-smoking floor, the bathroom reeked of stale smoke, while the rest of the room smelled of damp. We had a lovely view over the tube lines out of the window, and while the train noises weren't too bad, they were audible - as were the full conversations of the couple next door coming in at 3am. I wouldn't have minded (or heard), if the walls had not been paper thin.To cap it all off, a round of two drinks in the hotel bar (one shot of Baileys and a bottle of beer) came to £11.50. Complete rip-off.I expect this hotel could have been better with a different room, on a different floor - but then you might as well stay in another hotel. If you don't want a gamble, I'd suggest steering well clear and heading elsewhere.	
Sep 25 2009 	gorgeous hotel	this hotel is really lovely. I would reccomend it to anyone . the location is great.. right on kensington high street and nearly next to the underground station .. the food is gorgeous.. the rooms are really clean . i would be definitley going back here	
Sep 23 2009 	what a gem!	spent sunday 20th september for 1 night on the top floor room 1244.first the room: very clean and tidy ,good air con ect.but the best part was the fantasic view you can see for miles.this was a club room which had such good benefits its well worth the upgrade.you get access to a special club lounge with free internet and the coffee u get for free are brill.you also get complimentary continantal breakfast and wine,beer,soft drinks between 1845-2015 which is nice before dinner.(sky sports tv too so i got to watch live football).location is excellent just off the high street ,underground.museums just a ten minute walk.staff are friendly and helpfull and their are two restarauts to chose from a chinese and a good but expensive english menu.we got a great price of ebay and if would can get a good rate again we will definitely like to go back.	
Sep 22 2009 	Nice Hotel... Great Location!	My girlfriend and I stayed here for 2 night as part of our tour of Europe... we arrived in London in the morning and there was no problem checking in a few hours early. Right down the street is all the shops and restaurants you could ask for. Plus a Tesco's if you want to grab some groceries and save some $$$. The internet was a joke, but they let us use their office PC to check in our flight and print our boarding passes, which was appreciated! We must have gotten one of the remodeled rooms as the room was fairly updated and clean.All in all it's a great hotel to stay at and everything can be accessed with ease... especially Kensington Gardens/Palace	
Sep 19 2009	Excellent Accessible Room with HOIST	Stopped here late June 09 but it has taken me some time the write this review. This hotel was chosen as we had been told by Mencap that they had an overhead ceiling hoist for people with disabilities who needed it. I went with a relative who has complex disabilities who would not have been able to go on holiday anywhere without some form of hoist. Actually, the young man had not been on holiday for many many years as we could never find a hotel with an overhead hoist.The accessible room the disabled person had was brillient with overhead celing hoist and many other well thought out features all made for easy access eg no doors on the wardrobe, touch pad opening door, good lighting, TV with remote that also operated the light switches. It even had a fridge!The accessible room we had was a single (with single bed). As I went with a fellow carer we would have greatly benefited with a height adjustable bed, and also bed rails for the person to remain safe whilst in bed, but we made do with packed in pillows. The accessible room was large enough, but would have benefited from being slightly larger/ There is an adjoining room next door (which I and my fellow carer shared) and there is an intercom between the two rooms.We found the room clean, well lit, with good furnishing (having now read some people's reviews who were not happy) The staff were prompt, attentive, and very helpful.I wish to priase the Copthorne Tara for taking a lead and catering for people with more complex disabilties whilst many other hotels, not just in London, but throughout the UK don't have hoists. Its a pity it is pricey and would not appear to have any discounts on the more accessible rooms on any of the hotel discount web sites	
Sep 17 2009 	I don't know what the fuss on here is all about.. this hotel was decent even good.	I was kinda worried when I read the reviews on here, after my company booked this hotel for me and my colleagues--as usual, I didn't really have a choice in the matter. But I got there and was pleasantly surprised, once I checked in (which took a minute, literally--though it WAS about 11PM) and got to my room--#766. It was clean all over (including the bathroom), the heater/air conditioner worked well.. really, no complaints at all.After reading the reviews here, I immediately called the hotel and asked for a room which doesn't face the tube station behind the hotel, and that's what I got. (Comment to people who complained about this: if you read the reviews here and were too cheap to make the call and request a specific room, even if it was long distance, then you're a dumbass and it's your own fault that you were waken up by the loudspeaker.) There were two things that irritated me though: the £11 breakfast and the £15/24hrs in-room internet!! I looked at the breakfast and it was nothing special (regular greasy English breakfast complete with the boiled tomatoes--why the HELL would ANYONE boil a tomato?!), so I opted to walk three minutes to the tube stop and get a pastry and coffee for a couple of bucks. The price for the in-room internet took the cake though... I would have paid the £15 if I could use it for my entire stay, but this price is extreme to say the least, especially with internet rates being what they are these days!One last thing I STILL don't get is the two separate taps on the sinks, but that's England for you, I guess. :) (Don't get me wrong, I fully understand the reasoning, and that's fine if that's what you guys prefer in your house 'cuz that's what you're used to, but to have that in hotels as well.... come on man, we're in the 21 century! :)Overall, I liked this place, and would stay here again if I needed to come back to London.	
Sep 15 2009 	Didn't Want to Take my Socks Off	We chose this hotel as a place to lay our heads between flights. It was gross. As others have said, the lobby is grand and promised good things to come, however, there was a stale covered up with perfume scent once we stepped onto the second floor. In the room, the wallpaper was peeling, the walls and doorways banged up. Bed was lumpy. Small detail but we also hated that there is a separate faucet for hot and cold water. There were hangers attached to the shower curtain rod. Strange but I guess for those that want to wash clothes in the sink? Location was pretty decent - right near High Street. There was a nice pub recommended by guest services called Britannia that was a short walked. Very cozy and yummy. Also, the Muffin Man cafe/tea shop just a block away was DELICIOUS. Glad to have stayed here just to discover that place.	
Sep 15 2009 	Location and Staff make this Hotel a Winner	We had a lovely stay at the hotel in room 1256. The various people manning the concierge desk were fantastic. Filipe Da Silva was especially helpful with directions, suggestions, and additional assistance when we forgot to bring our printed London Pass confirmation receipts. And there was another man (whose name I neglected to get) who helped me with my phone card. (I had never used one before!) He also helped us obtain (spur of the moment) reservations at a B&amp;B in Bath.The hotel itself was nice and the location can’t be beat. Our Club level room was clean and comfortable though not luxurious as would be expected of a 4-star hotel. The Club Lounge was very nice. It was great having access to an Internet-connected PC and a lovely continental breakfast each morning. I highly recommend the hotel for its location and wonderful staff.	
Sep 15 2009 	It was shabby tired and just about bearable. Not 4 star at all.	Stained carpets, a pervading smell of damp in the corridors. The room was small and basic. The walls were so thin that everything could be heard. Our bed had a definate lean to one side. Even breakfast was mediocre.	
Sep 12 2009 	It's 2 star not 4.	Decor is naff. Room was really tired looking. They gave us a room for diabled guests above the car park entrance because we got a discount on the full tariff. If I had paid the full rate I would have been furious. We were woken every morning by the sound of the plumbing. The windows were so dirty it was hard to tell what the weather was like. The exterior of the building was so ugly I thought Joe Stalin must have had a hand in the design process. Car park is £25 a day no discount if you are staying at the hotel. I like a little comfort and luxury when I am holiday. I did not find it here.Only saving grace is of course a fantastic location.	
Sep 8 2009 	Shabby and not worthy of 4 star description.	This hotel is in an excellent location, just a block from the excellent shopping of kensington high street and the tube station but in my opinion, thats pretty much all this hotel has going for it. Do not be fooled by the pictures on their website.Foyer is big and quite grand but the rooms are far from a 4 star standard. They are in serious need of updating. Really felt like i'd stepped back in time to the 80's! Bathroom was quite small, worn and shabby. staff were fine but wouldn't describe them as the friendliest bunch i've ever dealt with.If you don't plan on spending much time in the room then i'd go for it just for the location alone but only if you got a really good deal.	
Sep 8 2009 	Great location tired decor	This hotel is a real mix of good and the not so good. It's in an excellent location, a few minutes from High St Kensington tube station,close to shops and restaurants. The room was a good size and this time not overlooking the railway (which I found noisy on an earlier stay). The bed was a bit too soft for my liking, but had a good selection of pillows. The air conditioning wasn't very efficient and even set at 16 degrees, kept the room too warm. Because the windows woudn't open, I couldn't get rid of the stale smell in the room. The shower was one of the most powerful I've experienced but the shower curtain was discoloured. The decor is very dated but and tired but wouldn't put me off staying again. The restaurant was very dark and a bit of a maze to find your way around; breaksfast was the usual selection, nice scrambled egg and and prompt service. I didn't eat at the hotel in the evening so can't comment on the quality but there were plenty of special food offers including 50% off if you dined very early. Checkout was disappointing - an overlong wait due to only one person on the desk at the busiest time of the morning. The mixed experiences made it difficult for me to decide how to rate this hotel - if it was refurbished it could be excellent.	
Sep 7 2009 	Good Value Great Location	I have stayed at the Tara Copthorne before so I know what the rooms were like. Yes, tired, yes not the greatest beds. But the location is fabulous and the refrigerator and location of good reasonable restaurants makes this a decent choice for a hotel in London. I used Priceline to book and feel like it was excellent value for what I paid. I used the name my price feature of Priceline when I booked the room. I stayed for four nights.I had emailed and requested a room on an upper floor that was no smoking. I was given a room on floor 10 and the entire floor apppeared to be nonsmoking. The room was quiet. Appreciated the hot tea in the room in the morning. TV worked great. Nice shower and super fluffy soft towels. Small table and chairs were in the room which was nice for a late night takeout dinner after a long day of sightseeing.I suppose the hotels has the amenities to qualify as a 4* but the room upkeep is not what I would expect of a 4*. On the otherhand during our vacation we stayed at several more expensive places that were dumps. After those experiences the Tara Copethorne seemed like a palace.	
