	This is a 3 star hotel	I booked for 2 rooms through superbreak and was very disappointed with the dated room and especially the bathroom. My friends room was even worse with very dodgy electrics and although the tv was reported it didn't work no one acturally went to fix it.We had to ask for soap which you would think would be provided! and the shower curtain rail was placed above your head, so when you had a shower it stuck to your body!The bar was very expensive with 4 drinks costing £18! however the restaurant was very good and helpful staff.When we went down for breakfast the queues were horrendous, waithing a good 20 minutes! although breakfast itself was ok.No way is this a 4 star hotel! I will not be staying here again.	
May 24 2009 	Okay hotel	Stayed there with my son for three nights (the third night free-offer). Nice and clean hotel. Nice and clean room. view was not the best but we didnt visit London to look through a hotelwindow. Outside the hotel its smelled like a horse stable, but we found out that the London zoo was close to the hotel. Okay breakfast (not 4 star) but in the small room in the cellar. All in all a nice and clean hotel close Euston Tube station.	
May 22 2009 	Great hotel	We were pleasantly surprised to find out the hotel wasn't all that bad, after the stories told on this site. Actually, the rooms are very clean, not big, but not too small. They look cosy and warm. The beds, breakfast, service were also great. Its 5 minutes walk to Euston Station. Would surely stay here again!	
May 18 2009 	Tired noisy and impersonal	The hotel is located close to Euston's mainline train station, that's about all I can say in it's favour. One person on reception, so customers trying to book in or have any other issues dealt with were made to wait. The door card didn't work first time so had to traipse back to reception and wait again for another card, which this time worked, no words of apology at all. The view from the window was pretty grim too, a unnattractive Network Rail building with a sight of the railway tracks beyond. It was also pretty noisy through the poorly glazed windows. The bar was also short staffed, one member of staff only clearing tables, pulling pints and dealing with the food orders. Overall nothing uch to recommend in this hotel and I won't be in a rush to go back there.	
May 13 2009 	Pretty average needs a revamp noisy	Stayed in this hotel for 5 days. Pretty average hotel for London, rooms ok but rather cramped. I was situated next to a service lift which went on all night making a loud noise. I sleep through this very easily as I am a heavy sleeper so did not require to be moved rooms but others found it awful. One of my colleagues changed rooms six times due to a mixture of rooms without working heating and being situated next to lifts / stairs Breakfast was ok, location pretty good for Euston station. Wouldn't stay there again.	
May 11 2009 	Tourist group hotel	The great part about this hotel is the location. It's central and is located at convenient distance from attractions in London. The rooms are modest and clean, unfortunately the only problem is the noise caused by the dozens of tourist groups. SO if you can ignore the morning rush at breakfast time, it is actually quite a pleasant stay.	
May 8 2009 	Terrible - completely overpriced for what is on offer.	We were apparently in the deluxe room, in the back of the hotel. The room was completely cramped and all the fittings and furnishings were extremely dated.Totally unimpressed and very disappointed considering price and misleading website.	
Apr 29 2009 	Second time around a much better visit	My firm's travel office booked me back in the Euston Thistle and I had major reservations about staying there after my previous experience.I was upgraded to a double room on the 3rd floor which was in a much better state than my last tiny room on the second floor. This time the room was what you would reasonably expect in decor, facilities and size. The TVs are large LCD and offer a good range of channels including Sky 1.The reception staff were again excellent. However, i did not push my luck and eat in the hotel resturant after my very disappointing experience last time - maybe on the next visit! A much better stay this time around.	
Apr 29 2009 	Excellent value through lastminute.com secret hotels	Got a single room (which had a double bed) through lastminute.com's secret hotels. Guessed which hotel it was based on their description and saw that the tripadvisor reviews were very poor. I was perfectly satisfied with this hotel. It is right beside Euston so within easy reach on the tube to all london attractions, but the area around the hotel is what you'd expect around a main station rather than a historical area. The value was amazing, and although the lastminute booking didn't mention breakfast, I was given a full breakfast. The room was clean and comfortable and the staff very friendly. Granted the place is a bit run down and furniture and carpeting are old, but it is clean and if you get a good price it really is excellent value in central london. So it's all down to the price - if you are getting a single for £80 or a double for £100 you can't do much better than this, but at their rack prices you'll end up paying 4* prices for a 2 or 3* experience.	
Apr 28 2009 	Decent Hotel for London standards	Stayed in this hotel for 2 nights, the staff was friendly, with the exception of one of the waiters during breakfast. The location is great.The rooms were clean, there was a bit of noise in the morning but i've had much worse.For London standards this was a good hotel for a fair price.	
Apr 27 2009 	There is NOTHING WRONG with this Hotel !!	Having read all of the poor reviews for this Hotel I was more than a little uneasy when I arrived to check in for one night on Thursday 23 April 2009. However I cannot see how some of these reviewers have reached their verdict - were they in a different hotel to me ? The room which I was given was a single so it was smallish but perfectly adequate and clean. Bathroom fine plenty of hot water and towels and toiletries. As my room had a connecting door to the next one I could hear their TV but it was not intrusive at all. I did not have to queue for breakfast at all and the food was plentyful and fine but when I came out at 8-30 there were about 5 people waiting to be seated. I have got to say that this is not the best hotel I have stayed in but it was a long way from the worst. Nothing at all wrong with it.	
Apr 27 2009 	ok for the price	recption staff very efficient as many people arrived at the same time.Our room on 2nd floor overlooked a backyard with the aircon units which were very noisy if you left the window open at night. The matress was torn but the bedding was very clean as was the room and bathroom. The room was areasonable size ,bigger than the Russell,the Ambassadors and the Holiday inn.The breakfast was good and was hot ,the staff in the dining room were attentive .I would say we had good ,friendly service.However Iwould not rate this hotel as 4star. but it was good value for what we paid for the whole package of firstclass rail travel and the hotel	
Apr 27 2009 	Definately not 4*!	I got a special deal on 2 rooms at this hotel - thank goodness I did. If I'd have paid full price I'd have been REALLY disappointed. Reception staff weren't all that helpful, rooms were tiny and smelt funny. For the price I paid I wasn't too disappointed as the location was good but if I'd have paid full price I would have been very annoyed.	
Apr 26 2009 	Glad I wasn't paying!!	The hotel itself is convenient for Euston station - about a 5 minute walk. The service as good - I had a couple of requests which were dealt with efficiently. The evening meal in the restaurant was lovely and breakfast was plentiful if a little cold. The main issue I had was with the size of the room - TINY!!! It was very clean and modern but there was very little room to move around. The advertised rates were £200 per night - I would have been gutted if I had been paying!!	
Apr 23 2009 	Disappointingly dirty	On the positive side, the breakfast (which was included in our price) was quite satisfying and, although it seems a bit out of the way when you first look at a map, the hotel's location is fairly convenient and accessible from a couple of underground stations.On the negative side, this hotel was filthy. Our &quot;non-smoking&quot; room stunk of smoke. Perhaps most suprisingly, the towels smelled the worst, so it's not like it was just the room had a smell left over from the hotel's smoking days. Really, I don't understand what they do to the towels, but apparently they don't wash them. The hairs on the bed sheets were equally disturbing. For the price, this hotel is not worth it. You can find much better accomodations elsewhere.	
Apr 22 2009 	WOULD NEVER go to this hotel again!	Breakfast was a shambles - tables full of dirty pots and nobody to clear them sometimes for as long as 25minutes. This was whilst a long queue of disgruntled guests were waiting and some of them gave up!	
Apr 16 2009 	Worst hotel we have stayed at in London. Definitely not 4 star.	If other reviewers have had decent rooms then what happened to ours? Small cramped room on the 4th floor, 3/4 bed pushed up against a wall, ( how my husband and myself managed in that bed remains a mystery) nice clean sheets but no top cover on the bed, threadbear carpets, holes in curtains, dirty windows and the shabbiest furniture I have ever seen. The bathroom was tiny with stains in the bath. One bath towel and one hand towel between us. Toiletries were cheap rubbish. The hairdryer was pretty much useless I only had it turned on for 1 minute at a time and it switched itself off, having to wait another 4 minutes for it to come back on. FREEZING DRAFTY BEDROOM. Could hear heavy traffic all night apparantly not from Euston Station but from a delivery depot at the rear of the hotel. Only managed a couple of hours sleep.Breakfast was reasonable but unfortunately we were served with green mouldy toast which of course we sent back. Thank god we were only there for one night. This was booked through a reputable large well known travel agent and was not cheap so need to take up matters with them.Would we go again NEVER. More like 2 star.	
Apr 13 2009 	Second time round	The last time we had the problem with the breakfast line. It was ridiculous. Standing, waiting and waiting. Definitely not for the elderly or frail. One old man had to give up. I guess he figured at his late stage in life he's only got so many years left and quite frankly the experience of the cramped waiting area left him looking quite ill. That was bad enough, but when we eventually got in we noticed that despite the amount of hotel staff present, there were loads of tables that simply hadn't been cleared and remained so right through our meal. That was really annoying.Otherwise we had no problems.This time round we decided to escape the breakfast problem by opting for the breakfast to be delivered to the room. It arrived, on time, but the disadvantage being that one can't actually 'pig-out' in preparation for a long day like would be possible at the restaurant.I found the sausages were, by the time the got to us, barely luke warmish, yet the croissant, which I kept till last was warmer.There is now a large sign at the reception warning guests about possible delays over the breakfast and the hotel has now devoted another eating area to combat this issue. As we left we saw no ques.Oddly, our room stank of smoke. Disgusting really. Next morning I noticed it was coming from the bathroom. The noise levels from the trains were far greater than we noticed first time round and the sounds from the adjoining room were too clear, i.e. I could hear the lady next door brushing her teeth, sitting on the loo, lifting the lid of the bin, putting something in..... everything and including her phone conversations.The shower in our room however was a joy to have. Brilliant.	
Apr 6 2009 	Better than most four-stars so why have reviewers got this one wrong?	Handy location for buses, tubes and trains, smart reception, attractive rooms and a pleasant view. On my experience (over a hundred four-star hotels in the past five years) this is definitely among the top 25%. I'd only booked because the rate was just GBP70 but having read the reviews after booking I was expecting nothing short of squalor. tripadvisor's never been wrong for me before so what's going on here? Well maybe a grudgeful competitor but more likely the rooms just vary a lot, perhaps some are in better condition than others. At first glance mine looked to have been refurbished during the previous few months, though on closer inspection maybe it had been a few years. Certainly some of the rooms overlook a little park (which the local Council were busy refurbishing with colourful flowers) while others overlook the side of Euston station, bit like the Berlin Wall.If you're in London on holiday/vacation, this hotel will never be the highlight of your visit. But get a decent room and it's better than many of its competitors. I could name plenty of London four-stars I wouldn't stay at...	
Mar 28 2009	Amazing time	Whoever said this is a scam is just stupid!!! The thistle Euston doesnt look very nice from the outside but it a beautifull hotel. Rooms are lovely with a big t.v,and the food is to a very good standard,staff are very good also! It's a really good location in London just 5mins from kings cross. I would highly recommend this hotel for anyone and im booking to back fabulous weekend!!	
