	FAB-U-LOUS	Excellent value hotel in great location. Called myself and negotiated great rate for bed and breakfast. Good size room (studio) with large bathroom. Clean and comfortable. Very good food especially the room service curry!! All the staff we came into contact with were helpful, efficient and friendly. It only took 15 minutes to walk to the Eye along the river passed the Houses of Parliament so great location. Was very pleased with this hotel and would stay again.	
Oct 13 2009 	Absolutely fantastic top class hotel and service	I booked this hotel for a surprise for my partners birthday. Had previously stayed at the park Plaza County Hall which was also impressive but wanted to try the Riverbank. I was hoping to book a room with a river view but unfortunately this was unavailable at the time of booking. I explained that it was for a borthday and was told that we would be upgraded, upon arrival, should one become available. When we arrived at the hotel, we were both very implressed with the interior and the wonderful staff on reception. We were asked if it was a special occassion as a note had been left on our booking. We were then offerred the upgrade to a room with a river view. The room was very clean and comfortable. The view was amazing !!!! After taking our bags to our room, we went down to the bar to have a couple of drinks where we were again served to a very high standard. The decor and ambience in the bar was just what we wanted. The staff also arranged for a balloon to be bought up to the room in the morning with breakfast. Room service was very quick and all staff very polite and could not do enough for you.The hotel is in a good location, a walk along the river took you to the major attractions, the London Eye, Houses of Parliament etc.We really could not of asked for a more pleasant experience and wished we were staying longer. Will definately be going back.	
Oct 12 2009 	Contemporary Chic and oh so fabulous	Fantasic hotel on the Albert Embankment. Best check in ever, staff very friendly, polite and helpful.I was offered breakfast at a reduced price of £10 per person which I jumped at. Room was massive, super furnishing and a great size bathroom. Booked hotel through Last Min.com and paid £69 for a double room. Fantastic value for money.Chino Latino bar was really relaxing with a great staff who really know their drinks , te drinks come with a dish of japanese rice crackers, wasabi peanuts and the hottest wasabi peas I have ever tasted. I also had the tempura prawns which came with a creamy chilli sauce they were delicious.Room service was very quick we ordered two meals and they were delivered within ten mins.Upon check out when going through the bill I happened to mention that we didnt make breakfast as we overslept and they refunded my £20 !!!!!! Never before has that ever happened as it was our fault we missed it, So this was a really nice touch which made our break even more enjoyable.	
Oct 9 2009 	An absolutely wonderful experience	As we have always wanted to stay in a hotel overlooking the Thames, we booked an Executive Room with riverview which also included in the price the use of the Executive Lounge between 6.30pm and 8.30pm for free drinks (lager, red/white wine and soft drinks) and snacks (day 1 calamari, crudites and dips, day 2 meatballs, fish, pitta bread and dips). The staff in the Lounge were very friendly and efficient, as soon as your glass was almost empty someone was there ready to top you up. We would definitely recommend booking an Executive Riverview room as the views over the Houses of Parliament and Big Ben were absolutely stunning. As we wanted to wake up to the view, we were able to sleep with the curtains open as we were not overlooked from anywhere. The cost of the room was justified by the Executive Lounge as you were able to have as much or as little as you wanted to eat and drink and we were a little surprised that some people were only having 1 drink when everything was &quot;free&quot;.The staff at breakfast were very welcoming. On Saturday the breakfast was chosen from a menu which had a good variety of choice. We were also able to help ourselves to anything on the continental table (smoked salmon, cheese, ham, pastries etc). On Sunday, breakfast was self service from a table which included bacon, sausuages, eggs etc along with the choice from the continental table. The only down side to breakfast was that the coffee was extremely strong and thick and the tea was extremely weak and tasteless.The Park Plaza Riverbank was definitely one of the best hotels we have stayed at and we would definitely recommend anyone to go here for the same amazing experience which we had.	
Oct 8 2009	London to Glasgow	We flew in late into Heathrow and caught the Dot to Dot bus to our hotel on the River, the Park PLaza. London is fabulous in late MArch! We walked the Thames to the Eye, saw Big Ben and Parliament in the first hour we we there.Our first full day our friends arrived, checked in, we had breakfast and set out. Took the bus right in front of the hotel to Churchill's Museum, his offices during the war. Well worth the small entrance fee. We then walked to St. Paul's, gorgeous!!!Had lunch in the London Pub, rode the bus to Westminister Cathedral, not Abbey. A little sad and shabbey but beautiful nonetheless. Our friend came back to mass that evening then we were off to dinner at a pub recommended by the hotel concierage. It was great and local and vibrant.Following morning we were off to Glasgow and 10 days driving in Scotland. Can't wait to return!!	
Oct 2 2009 	really accommodating. very happy!	We booked a room via lastminute.com as it was my husband's birthday. We wanted to be tourists in our own city. Our 7 year old was also with us, and the hotel was more than happy to bring a rollaway bed into the room, free of charge. They called me a couple times to verify that, and I also called to check in about it the day before. Funnily enough, lastminute.com gave me more grief about it. The room was modern and lovely, but also cosy. the room service was very reasonably priced. The staff was international and ever-so-friendly, always happy to help.In short i would LOVE to stay here again and i WILL recommend this hotel to family, friends and collegues.I book travel for my business and I will definitely use this hotel for those reasons also.Thanks for a lovely weekend!	
Sep 30 2009 	Nice hotel	Myself and my mum stayed at this hotel for 2 nights. It is located a 10 minute walk from Vauxhall Underground Station and Vauxhall Bus Station.The hotel is easily accessible for the London Eye, Southbank and Big Ben etc. To get to other places in London the bus station has very frequent buses which take you almost anywhere.The hotel was nice and aesthetically pleasing. It was generally clean and tidy, with a very nice lobby. The staff were friendly and helpful. The rooms were spacious and had everything needed for a comfortable stay.The breakfast package was nice but the dining hall was always very busy. They tried their best to accomodate everybody and put people in conference rooms (we dined in those both days) which were quiet and comfortable.The same sort of applied to the lifts also, every morning we struggled to get a lift down to breakfast, as everytime we called one it was full by the time it got to us on the 2nd floor.Overall a pleasant hotel which I would stay in again.	
Sep 25 2009 	Wierd lights and loud noises...	After reading some of the reviews on this site I was a bit apprehensive about staying here, as I was afraid that we would be given one of the rooms overlooking the train tracks. Much to my dismay we were! However before asking to change rooms I decided to see if the noise really was that bad. Much to my relief after hearing a few trains go by I decided that it really wasn't that bad.However the soundproofing inside the hotel is horrible! I could hear the person next door walking around their bathroom...running the water...etc...In the morning I was woken up early by the maids having a gossip outside my door...I pointedly put out my &quot;do not disturb sign&quot; however that did not deter them! From 8am on there was no point trying to sleep as every few minutes a different set of maids (or maybe the same ones again and again) would come and loudly gossip outside my door. Arg! The lighting in the room was terrible. I like to read before bed and my boyfriend likes to go right to sleep, but there was no bedside lamp! We had to have the overhead lights on, or no lights at all.And then...the strange light in the bathroom corner that does not turn out ever. Why? To waste electricity? I got to spend a lot of time thinking about the light while listening to the maids...goodie gumdrops!	
Sep 25 2009 	Excellent Hotel	I stayed in this hotel for 1 night in September. I arrived late in the evening (10pm) and the receptionist was very helpful and efficient (helpful after a 5 hour train journey). I was given an upgrade to a riverside suite and had a fantastic view of the Thames and the House of Commons. I used the Gym but it was fairly basic - a few bikes and treadmills. Breakfast was fine but is the area I think could be improved the most.	
Sep 20 2009 	Good location enyoyed our stay after we asked for a change of rooms	Myself and my wife stayed here for 3 nights in Sept '09.We were attending a wedding which was being held in the hotel. First impressions the hotel was very clean, modern and inviting. Staff were friendly and could not do enough for us.On arrival our bags were brought to our room and initially the room seemed fine but two mins later we realised that the main train line passed directly under our room be it 10 floors down. The room also had some, but not all of its carpet replaced for some reason and it was not done professionally and I nearly fell over it on entering the room. it looked very ragged especially around the door. Also the shower had a curtain which was definetly in need of changing.That evening we asked for a change in rooms (never had to ask before in any hotel) and the staff gladly said yes but we would have to stay the first night in our room. We didn't get much sleep the first night due to the trains passing every 5 mins or so.The next morning we changed rooms and ended up in a very quiet location with a view of the Thames from the side. This room was finished to a higher standard and we had no complaints.Breakfast was very good with a good selection of hot and cold dishes. I used the gym which was adequate for a hotel gym. The wedding was fantastic. The reception was held in a room overlooking the river Thames. The setting was amazing. Food was very good and the staff very accommodationg.Overall a good hotel which i would recommend to others but was not happy with the first room which we ended up staying the first night in.	
Sep 13 2009 	In one word.....Perfection!	I have stayed at many 4 star hotels in London over the years, none of them compares to the Park Plaza Riverside. I was a bit worried when I booked it about the location as I wanted to be central for my children.....I had nothing to worry about, it was a lovely 10 minute walk along the bank of the Thames to Big Ben, London Eye and the houses of Parliament. The nearest tube station is only 5 minutes walk. We booked into a family Riverside View room, it certainly exceeded our expectations, we loved it. The room was very spacious with the children sleeping on the sofa bed in the lounge and a separate bedroom for my husband and I. The view we had was amazing overlooking Big Ben and the Houses of Parliament. Robes and Slippers were provided for everyone, chocolates on arrival in the room, bowl of fruit and some little finger puppets for my children which I thought was a lovely touch. Again the bathroom was very modern and spacious with a bath and separate shower area. Shampoo, shaving cream, toothpaste .....you name it, was provided.The Flat screen TV was not working properly in the lounge area, I rang down and reported it and within 5 minutes we had a gentleman fixing the problem and even got a follow up call from reception asking if everything was fixed and working OK. I rang housekeeping for extra pillows again, within 5 minutes they were at the door.......the staff are so helpful and friendly, service is second to none.The restaurant &quot; Chino Latino&quot; is certainly the place to eat at......do not miss it, the food and again service is fantastic.All in all I can not say enough wonderful thing's about this hotel, everything was perfect.I would not stay at any other hotel in London. We all look forward to returning very soon.I would definitely recommend this hotel to anyone.	
Sep 13 2009 	FAntastic Hotel..Best in London	Having stayed in several London hotels this year I have to say this is the best deal in town. The location is fantastic and the hotels exterior can fool you but on entering you are met with a stunning reception very swish and slick.the staf are very genuine and helpful and I never felt formal.They are there to help and they do.I paid les than 3100 for a double room with breakfast and I have to say it was modern stylish comfortable and very ggod value. the bathrroms and shoers are very cool.One drawback is the internet connection which is quite slow, Thee is no radio or alarm in the room and the TV has an over subscription to Arab based stations.Apart from that I sincerely think its the bestdeal in ton and I cant waitt o stay there again	
Sep 12 2009 	Modern Classy Hotel	Stayed here whilst in London, able to check in early to leave our luggage, room was very modern, flat screen TV and all the usual amenities. The interior of the hotel is quite dark and our bedroom was on the inside of the building so we never saw daylight!Room service was efficient and of good quality, staff were polite and helpful.As a place to stay on business I would recommend it, as along as you are going somewhere in the Waterloo/Westminster/Vauxhall/Pimlico area, although the buses and tube take you to other parts of London fairly easily.	
Sep 12 2009 	Close to Vauxhall Station	This is a very modern looking hotel, however the maintenance is not being kept up on it unfortunately. The carpets in the halls were dirty and stained and didn't seem to be clean. Our A/C was broken when we arrived, the drain in the shower was plugged and we needed to call the front desk 3 times to get them to unlock the refrigerator in the room.It is a 10 minute walk to the Vauxhall train and underground station which makes it very easy to get around London. There are not many restaurants to choose from at this location. There is a small pub down the street and the restaurant in the hotel.The hotel is located just south of the Lambeth bridge on the Albert Embankment (across from the Tate Britain museum)	
Sep 5 2009 	Excellent Service	We had a very pleasant stay at the Park Plaza Riverbank. It has a wonderful view of the Thames and is walking distance from Parliament and the London Eye. The only drawback was the distance to the tube station, especially when it was raining! I recommend becoming familiar with the bus system because there is a bus stop in front of the hotel, much more convenient. The concierge staff was extremely helpful (thanks Thom) and the rooms were beautiful, spacious, and clean. I would recommend this hotel to a friend and would love to stay at this location again,	
Aug 30 2009 	Comfortable hotel in great location	Recently stayed with my husband at this hotel. Booked through hotels direct on the phone. Great location on the South Bank, not right in the heart of all the bustle, but only a short walk away. On good bus routes to waterloo.Room was a reasonable size for London, clean, comfortable and staff were friendly. Would stay there again.	
Aug 27 2009 	Excellent Service	Had a great stay, we booked a standard 'superior', room got there and they said we had a free upgrade. We were taken to a special reception area and checked in to a luxury suite, and wow was it Luxury, Living area with kitchen and large flat TV, All very clean and tidy. Very posh bathroom with walk in shower all Marble and Glass. Bed very comfy. Probably only get a free upgrade like that once in a lifetime but it was well worth the experience.Have stayed there before in a standard room, and it was very good too, but not quite the same Breakfast was excellent too.Will stay there again, there always hope we will get another upgrade I supose.	
Aug 26 2009 	Large Rooms Nice location for strolling poor room service needs repairs	I have lived here Mon-Fri for nearly a year, so am very much turning in to Alan Partridge (though not got the large plate yet).Staff - Excellent, always very nice, pleasant and helpful.BUT - The turn down service is annoying for me. They come at 18:30, close the curtains, turn ON??? the tv and tuck in the sheets. NO sweets on the pillows :((( hahaRooms - OK, will make it harder for me to get a room, BUTDON'T stay or take a room at the back, take ones closest to the road/rive/front.The back is Waterloo train station and Noisy.The best rooms are the ones that point towards Parliament.The inside/atrium ones are bit pointless as you have to keep the net curtain closed, so why come to London and have no view.They are in need of some 'sprucing-up'. Bathrooms need new seals around the shower doors, some power points a bit loose, drains in showers can smell a little. However they are large, cleanish and nice TV's. FOOD - Room service is poor. Sorry but only way to put it. If you stay and eat in your room, then you standard food. Fish is either rubbery, or doused in strong sauces (old fish???)Cafe Latino is amazing food. However if you are on holiday just eat out.Location - Ten mins walk from Vauxhall tube, 15 from Waterloo, which is fine for me.Great for romantic strolls along the river, to the Southbank, Parliament etc. (not that I would know).Isn't in the middle of it, but that can be nice after a hectic day shopping/site seeing, to have a nice stroll along the river.	
Aug 25 2009 	Lovely hotel	Stayed here to watch Ashes at the Oval- excellent location for this. From the moment we arrived (early yet room was still available to us) to the time we left we found all the staff to be friendly, helpful and the generally to be outstanding. Breakfast was a plentiful and varied buffet and our room was cleaned to a very high standard with the toiletries and towels replenished as required. We used travel cards to sightsee round London and used these on both the tubes( 5mins to Vauxhall Station - 15mins to Westminster) and the buses - stops either side of road opposite hotel which allow you to get to the vast majority of attractions with a minimum of changes - preferred the buses due to being able to see London as you travelled. As has been said before the rooms have varied outlooks- as far as we could make out even numbers seem to face into the courtyard so opposite other windows - odd numbers face out and range from the railway to the executive rooms with river views. Overall we can recommend this hotel and will be returning.	
Aug 21 2009 	Riverbank retreat	My partner and i stayed in the Park Plaza Riverbank hotel on the 19/08/09. Upon our arrival the hotel entrance was really lovely and the staff were firendly. Unfortunately, our room was facing the train station at the back which wasn't a great sight but never the less a really nice room. The bathroom was modern and clean. But the smell when we first walked into the room wasn't very pleasan, possibly because of the fumes from the station behind.We only stayed for one night so the breakfast was our only meal here as we ate out. The breakfast was very good as you could help yourself and if you are very hungry you can go back for seconds.	
Aug 18 2009 	Nice hotel location not too great	I stayed here for a mix of pleasure and business. I worked the day before and morning after and then headed out into London for the remainder of the day and the rest of the weekend. This is a nice hotel but the location is a little tricky. Better located hotels in London.	
Aug 17 2009 	Fantastic location wonderfully modern clean 	We were on an organised trip where we got dropped and picked up from this hotel and in between did what you liked. The hotel was a perfect location for walking into London along the embankment to the the area of Westiminster, hardly needed to use the tube at all. Hotel staff booked the coach load in very quickly and for those who wanted to get off sight seeing straight away were able to leave our luggage very quickly and smoothly. Breakfast was buffet style and served everything anyone would want!	
Aug 16 2009 	Not worth paying for an executive room	We stayed at this hotel for 1 Saturday night and paid for an executive roomThe only enhancement was additional shampoo, dental and shaving gearThe executive lounge was CLOSED - access is only available at 18.30 when they serve canapes which consists of meatballs and dishes of crisps with a glass of cheap wineNo newspapers , a vending machine for coffee and nothing else - very very poorNo paper delivered to the room either in the morningI would strongly advise not booking an executive and go for a bog standard as there is little or no differenceWe did let reception know this and they were sorry - great!Also do NOT pat for the on site parking at £30 which you cannot booki am glad we didn't as there is on street parking in all the street to the rear of the hotel free at weekendsWon;t stay here again and would return to the Hilton at Docklands once the Jubilee line is working at weekends again - much better.	
Aug 8 2009 	Nice location-hotel needs work	This hotel is located on the Thames River very close to Parliament and Westminster Abbey. Upon walking in the lobby we were very impressed with the decor and cleanliness of the hotel. Everything went downhill from there. We went to check in at 12 pm after taking a redeye flight from the US. We were told that if we waited two hours we would receive quieter rooms. We were exhausted from our travels but felt it would be worth the wait especially traveling with an 8 month old. We returned at 2 pm and were told our rooms were available. We were shocked when the doors to the elevator opened and were greeted by a filthy hallway. The carpet looked like it hadn't been cleaned or vacuumed in years. There were greasy tire marks from the housekeeping carts and other filth all over. We were hoping the room would be better. Our room did not impress. The carpet in our room looked just as dirty as the hallway and our bed had hair on the sheets. There was also hair in the bathtub and sink. We were also in the back of the hotel where there are many trains that pass by all day long. We had no idea why we were made to wait two hours when we were in the noisy section of the hotel. When we called the front desk to talk about the problems, they offered to send someone to clean the room or pay an additional 45 pounds per night to have a quieter room. This is after we were already paying over $200 per night. We opted to stay where we were and have someone come clean our room, but after we were able to rest and get cleaned up from our travels. When we were leaving our room, someone was there to clean. I was hoping to come back to a cleaner, more inviting room. We came back to discover that the housekeeper had just cleaned up what we had used to get ready and that there was still hair all over. Upon returning from our trip, I filled out a survey about our stay letting them know that we will never stay in their hotel again. To my surprise, I received an email from the VP in the UK, but he was offering me a free three day upgrade if I paid to stay there again in the next year. Are you kidding me? My family will definitely not be returning to this hotel. We will be staying at the hotel we stayed at in Kensington-Earl Court area (Hogarth) previously. The rooms are smaller, but half the price and spotless. Please be wary of staying at this hotel.	
Jul 26 2009 	WONDERFUL STAY	took my son on a weekend to London this hotel was excellent staff very helpfull concierge was exceptional very knowlegeable ate in club lounge again staff excellent One slight disappointment non exsistant view although we did not spend much time in room it would have been nice to see the river.	
Jul 23 2009 	Awesome Hotel at a decent price	Booked this hotel by chance from one of the discount hotel websites and were pleasantly surprised. Definitely a four star hotel in my book. Hotel's decor was extremely modern and high class. Room was clean and a decent size with a brand new spa like bathroom. It had window even though it looked out at a wall. Didn't eat at the restaurant but it looked nice. Entire staff was extremely friendly and helpful. Definitely a good value for your money.Location may have been the only not so great thing about the hotel. While it is on the River and extremely close to Underground stations it was a bit of a walk from the nightlife. Cabs weren't hard to come by though and it was easy enough to catch one into the city.	
Jul 22 2009 	handy for the riverside and south bank	Good clean and spacious accommodation close to the Thames and in easy reach of the South Bank. not as well located as other park plazas in london, with a short walk to the tube (Vauxhall) and further to travel to find reasonable restaurants etc..The hotel is close to the Waterloo mainline tracks but i cant say i noticed. Also i might be wary of where you venture outside at night towards Vauxhall, otherwise no problem.Breakfast good value and choice.Free WI-FI.Room decor might not be to everyone's taste - a distinct oriental theme in the room i stayed in, with a life size geisha painted on the wall - I'm sure her jacket glows in the dark too - spooky!	
Jul 19 2009 	Worst 4 star hotel in London?	Stayed for one night, riverside suite. Door of double wardrobe fell completely off it's hinges upon entering room, narrowly missing me! This took an hour of a workman being in room to fix preventing us getting ready to go out. We asked to move but were told it was not possible. Bathroom had mould on ceiling all around shower the whole suite was not very clean and the carpet was very dirty and stained. Management seemed very unconcerned.	
Jul 12 2009 	Excellent hotel with relaxing surroundings but BUSY main railway directly behind hotel	We chose the hotel for a change of location to the normal stay in the city and so opted for this hotel on the River Thames.Arrived to a nicely spacious hotel reception and inviting bar lounge, we found the staff were friendly &amp; helpfull upon arrival.We were given a complimentry upgraded to an executive suite room and when we saw the room we loved it, it was spacious &amp; stylishly decorated. The bathroom was also spacious and had a bath with a seperate shower cubicle. Extra compliments were bath robes and shower/bath slippers and extra toiletries. The other extra room with the suite had a sofa, table &amp; chairs along with extra draw space and mini bar For a relaxed atmosphere we had low warm coloured lighting infront of the blackout blinds to the windows.However i heard and noticed from the view/windows we were directly below the main railway line form Vauxhall to Waterloo, my thoughts were being a light sleeper its gonna be noisy early in the morning onwards with trains back &amp; forth. I called reception for a possible room change taking this into account, but the hotel was busy so we could not change till the next day if we still wanted too. A room was reserved for us on request which was helpfull if we did have a restless night.I was right from 5am trains were or seemed to be operating every 3-5 minutes, disturbing my sleep to a point i was counting the trains go by hoping i would drift back to sleep. After we had breakfast we confirmed we would like to change our room and we were moved to a quiter room on the far side near the front. Although a lot smaller room ( probably a standard/typical room) it still had similar qualities like seperate bath &amp; shower and decor, although no bath robes, slippers or extra toiletries were in this room. It was nice though to have the Thames view &amp; a quite room away from the busy railway line. A good sleep was had that second night since relocating. Breakfast was excellent so much to choose from hot or cold, with plenty meat or vegi options catered for. We ate in the hotel one night and the food was again equally enoyable and reasonable, on offer that night was a pasta buffet for £8.50 but a glass of wine was £5 &amp; a now standard service charge of 12% also added In the hotel bar it was the same, price wise but that is expected from hotels in London but it was again a nice stylish bar with a relaxing atmosphere ideal for a relaxing drink before or after a night on the town.Bear in mind its location, when we went the Victoria line was closed for the whole weekend (Sat &amp; Sunday) for engineering works, so we had to walk everytime to Westminster to get connections to move around the city. I do recommend if your a light sleeper, make sure you request a quiter room from the moment you book it or at least when you check in espacilly in the summer.Overall a very nice hotel that offers that bit extra in comfort BUT do bare in mind the location, espacilly if engineer works do occur over the weekend &amp; with this hotel you do need to rely on the underground to get around the city. It took us around 20 minutes from the hotel to walk to the nearest tube station at Westminster if the Victoria line is closed for works.	
Jul 12 2009 	Best Hotel I have ever stayed in.	The friendliest staff, the most modern rooms, the best toiletries, fantastic location. what more could you want. This hotel would be suitable for anyone. Very quiet rooms. Fantastic Breakfasts. Fantastic bar. Just amazing. Ten Minutes from Vauxhall Tube Station and 15 Minutes from the London Eye and Westminster. Minutes from the Imperial War Museum and excellent tube links to Kings Cross, St Pancreas and Euston. Very Difficult to fault. May not be cheap but is certainly good value for money.	
Jun 30 2009 	great location friendly staff	I have now stayed at this hotel three times in the last two years. My first visit was for a competition I had won with Aussie Hair Care to stay the night and although I had not stayed before, me and my partner had decided to stay an extra night as we felt it would have been a wasted journey otherwise. When we arrived at the hotel I couldn't believe how nice it actually was and looks exactly as it did on their website. Each time that we have stayed the reception staff have always been friendly and booked us in promptly. If the room wasn't ready when we got there, we were able to keep our baggage with the concierge who was very helpful. The rooms are lovely and beds are extremely comfy, and after a long journey on the train, they are good to have a quick nap on before having a wonder round to see the sights. We have been on the London Eye twice whilst staying in London as its approximately 10 minutes walk, and a lovely walk it is too. You get to walk right opposite the houses of parliament and Big Ben and you can take some great photographs. You are also in walking distance of trafalgar square, covent garden and leicester square. You are close to a bus route too which will get you to these places if you don't really like to walk, but as we have stayed in the summer 2/3 times, the walk has been great. There is an amusement arcade, mcdonalds and the aquarium right near the london eye. I would definately recommend this hotel for your stay.	
