	Why go anywhere else?	A recent two night weekend break started with great excitement when we entered our room 510, stunning room, clean, well equipped with lovely balcony views, (even if there was a lot of scaffolding to see - I guess that's to be expected thou - and it certainly didn't dissolve any of our pleasure) we could see the Post Office Tower and in the opposite direction the London Eye. The hotel staff were polite and friendly throughout our stay, although one waitress was a bit short with us at the bar but then seemed to come round more friendly when she realised we were actually guests at the hotel! and service at breakfast could be improved as I'm sure table service at this level shouldn't include leaning over us to place or collect items! But the concierge came up trumps on our first morning with a letter for my wife containing two surprise tickets for the theatre (yes - I set it up and yes - she was thrilled!!!!) We really enjoyed our evenings in the lounge and library where we indulged in many wonderful cocktails although I would have liked the bar even more had it stayed open later than 12.30 (despite an honesty bar). The hotel is in a great location and just a few minutes walk to Chinatown or Piccadilly and even at night felt perfectly safe. Expensive? yes. Worth it? as a special treat certainly, in fact currently considering re-booking for another show next February. In answer to my title question - I know there must be other hotels of this quality but why take the risk!! One last tip - use the City of Westminster car park at Newport Place in Chinatown, it may smell a bit but it's secure and good value if you book online plus it's 5-6 minutes walk to the hotel.	
Sep 5 2009 	Great Hotel But Not Fond of the Concierge	I love the Soho Hotel and have stayed there a couple of times. The rooms are large, beautiful and full of light. Service is friendly. Special mention of the bellman from New Zealand who was so nice. However the last stay was marred by the concierge. If asked for theater tickets the price was higher than elsewhere, transportation the same thing. When asked about finding about ticket prices for several plays to compare he would arbitrarily just choose one. He never, ever discussed prices with us. We had to ask everytime and most of the time he had just gone ahead and booked transportation. When told that we were aghast at the what he wanted to charge for a one way fare to the Cotswolds all he said was &quot;sorry&quot;. Not let me see if I can do better, or here are alternate means of transportation. We inmediately called the hotel we were visiting in the Cotswolds and they sent a car for us that cost 80 pounds less. Not to mention that they were flabbergasted to hear what the concierge wanted to charge us.This is not acceptable. My sister in law had the same problems with him. The weekend concierges seemed much nicer. I will stay here again I love the Soho and also the Haymarket, but I suggest that when booking things through the concierge you double check everything.	
Aug 26 2009 	I loved this hotel. Well worth the money.	We booked in here for just one night, but didn't want to leave. It is simply that good.The room we had was spacious, well equipped, welcoming and surprisingly quiet.The staff were friendly and helpful, recommending restaurants, making bookings, giving directions and booking transport. One improvement would be free wireless internet. It can only improve on an almost perfect offering.	
Aug 24 2009 	Inspirationally Good	I booked just one nights stay on the Sunday night / movie package for my first years wedding aniversary. On arrival we were upgraded from the suit I had booked to their headline &quot;Soho Suite&quot;. Aside from the epic views from the enormous and beautiful rooms, I actually couldn't believe how well they managed to balance the attentive and freindly service with the infromality of staying at a friends house.Tasteful, elegant and very relaxing. I can't recomend this place highly enough......GO and STAY!!!	
Aug 18 2009 	WOW!!!	Absolutely brilliant, cannot say enough good things about this hotel. Had drank in the bar previously and wanted to stay the next time we visited London which is what we did.It lived up to all expectations, we got upgraded when we arrived to a luxury double which was a very large room for London which was spotlessly clean and the bathroom was gleaming. There was a turndown service at night too and towels we had used before going out for the evening were all changed by the time we got back.The &quot;Refuel&quot; bar/restaurant has a great atmosphere with extremely attentive staff. Although this hotel is 5 star, the staff are extremely laid back and very nice.Cannot recommend this hotel enough and can't wait to return.	
Aug 16 2009 	Fantastic hotel and great location	I love this hotel, and we stay here whenever we go to London. Previously we use to stay at One Aldwich, but it needed an update so we tried the Soho.The location is great, walking distance to numerous attractions, including Soho, Leicester Square, Trafalgar Square, Theatre district, Covent Garden etc. It hard to believe the building used to be a car park, the hotel is beautiful, the rooms are great and the bar area is popular in its own right. Its certainly not cheap, but worth every penny. The cocktails in the hotel bar are great and the bar staff friendly, reception are always happy to help and there’s a private lounge for hotel guests if the bar is a bit fullThe hotel restaurant is not very popular, so I’d recommend eating elsewhere for some atmosphere (plenty of places nearby). We have had room service and breakfast at the hotel and it’s always been superb, so not sure why the restaurant never seems to be busy - maybe it’s not a weekend place Anyways, love this hotel! If you are happy with the room rates and you want a quality, friendly well located hotel in London, this is the place to go.	
Aug 9 2009 	Definitely a 5-Star experience and the Concierge services are top-notch!	We travelled to London and stayed at the Soho for 4 nights. The check-in procedure was quick/hassle-free and the staff were extremely friendly/efficient/courteous. We stayed in a luxury double room with a balcony overlooking soho/london-eye/roof-tops. Great view of Soho and the room was beautifully decorated with an awesome bathroom. Lots of wonderful ammenities offered with the room as well. We can't say enough about the service we received at this particular hotel. We have stayed in many 5-star hotels all over the world and the staff at this one were attentive, friendly and outstanding! Had the room service menu once, a late-night snack in the library on another night and then drinks/coffee/dessert in the refuel bar area on another occasion. The food was always fresh and delicious and perfectly prepared. We will be planning another trip into London in the next year or two and will definitely return to this hotel.	
Aug 9 2009 	Outstanding on all counts	Probably the best hotel I've stayed at, and by very far the best in London.- service is outstanding, always perfect but not stuck up- everyone seems proud and happy to work there, which is the rarest thing- rooms are huge by London standards- decor is cosy and trendy- breakfast is delicious- LOCATION- good gymMinor issues : wifi is very pricey (they comped half of it spontaneously) and our aircon broke down. The staff really tried everything to fix it late at night.	
Aug 8 2009 	Fantastic hidden oasis right in the heart of Soho - recommended	When I lived in London I used to use the bar here as a quiet little bolt hole from the Soho madness. This hotel really is right in the heart of town, yet somehow not known about so is a great escape. Stayed here for one night on a trip home and I was really delighted by it - the rooms very comfortable (and by London standards huge), the staff couldn't be more helpful, the lounge very cosy for tea. I didn't want to leave really. It is expensive but also characterful, and has none of the snooty condescension that these places sometimes do. Looking forward to staying here again.	
Aug 8 2009 	Lived up to billing	My husband booked us in at the Soho for our wedding Anniversary. It was wonderful from the start. Our room was not available upon our arrival so we were offered a complimentary tea or coffee in the lounge with which we obliged. The room was very nice and quiet. We had a sunday movie package and were treated to a wonderful night in the cinema. It was a very good package that offered very good value for money.	
Aug 8 2009 	Will go back - soon !	Wonderful hotel in the heart of Soho. Fantastic doubleroom, spacious and beautifully decorated, with a nice view and a lovely bathroom. Nice restaurant with some great foods and breakfast was absolutely lovely ! Buzy, but good fun bar in the evening.Found the staff friendly and helpful. Great location, close to all the theaters, shopping, Piccadilly Circus , restaurants and a lot of the &quot;must-see&quot; sights. All in all worth the try - and we will surely go back again.	
Aug 4 2009 	Can not wait to return	Five star in every way. My wife and I stayed with our 18 and 20 year old children and we all had a great time. As for the staff, they really are the best and make you feel like you are the only customer they have.	
Aug 3 2009 	good hotel but left me cold	This hotel deserves most of the great reviews it has garnered here. We stayed in a luxury double and it was incredible roomy with a great bathroom. The bed was very big and so comfortable. My only minor complaint with this hotel would have to be the staff. While they were professional and efficient they were in no way friendly or warm. Often it is the little details like genuine warmth that add to a great experience in a hotel. I've stayed in plenty of hotels and it is often the ones that are not as expensive as this that make one feel genuinely welcome.One word of warning - beware the honesty bar! Its all too easy to start mixing hugh vodka tonics on coming in at 3 in the morning and as there are no prices listed you don't know what you are paying until you check out. I was shocked to find a couple of rounds of drinks had come to £90 - ouch!	
Aug 2 2009 	Couldn't ask for more!	I booked the Soho Hotel for my friends hen night as it has had so many excellent reviews.......we were not disappointed. On arrival, the staff were very friendly and professional and because it was a special occasion we were upgraded from the deluxe junior suite that we had booked to the penthouse suite......AMAZING and really made our one night stay very special.I would definitely book and stay at this hotel again as it had such a warm and cosy astmosphere but sophisitcated, modern and sleak at the same time! We all loved it!	
Aug 1 2009 	Totally cool and comfortable.	Far and away our favorite hotel experience ever. The service was exceptional. Celebrities were staying here, but it gave off no attitude to us middle-class pretenders. Our room was gorgeous and supremely comfortable. A very special end to a very special vacation. Thrilling.	
Jul 23 2009 	Just the best and very very hip	Wentu with my wife on a romatic trip. Brilliant they upgarded us and the staff were just suprub. Great location, papparazzi and great bar with brilliant Mojitos! Thank you the Soho Hotel!!	
Jul 20 2009 	Fabulous!	We live in London but just stayed at the Soho Hotel as an anniversary treat. We were made to feel very special - upgrade to lovely Junior Suite, personal note, complimentary champagne, breakfast included (so delicious). It's chic, relaxed and professional - expensive but fabulous! All the hotels in this minichain look exquisite. There were lots of other deals around and we were tempted to stay somewhere half the price but the feel good factor of exceptional service in a hip setting felt worthwhile!	
Jul 15 2009 	Huge suite friendly staff but not quite 100%	Having spent the previous night in the rather pompous Stafford hotel, the Soho was a breath of fresh air. I had booked a deluxe junior suite but was upgraded (without asking) to the penthouse. Vast, rather luridly decorated suite with one wall completely glass affording a fine view of... well, nothing very much. Rooftops, mainly. Penthouse was well furnished, with comfortable sofas and chairs in abundance. Flat TVs in both bed and living rooms were excellent, both with rather low-rent but useful DVD players.Reception staff were welcoming. Room service was fast, friendly: the food was tasty and hot, which is a basic requirement that some other London hotels seem to struggle with. Gripes?Wifi was not free (c'mon guys!) and the only complementary mineral water was supplied at turn-down. The bathroom was of an adequate size but somewhat cheaply furnished. No iron/ironing-board. Safe would not accommodate even the smallest of netbooks. As a chap, I did find the dressmaker's dummy and vibrant pink sofa a little too girly.But these niggles are pretty trivial.An excellently located hotel, attentive staff, decent-sized rooms and room service that is actually edible. I will be back.	
Jun 17 2009 	Superb Hotel Superb Staff = Superb Stay	My wife and booked the Soho Hotel, having read the reviews and having stayed in another Firmdale property - The Covent Garden Hotel.The hotel is located in a very quite part of Soho and if you weren't looking for it, you would never know it was there.Decor is 'trendy' without being sterile.When I originally booked I was asked if it was for a special occasion. When I informed them it was our Wedding Anniversary, I was offered breaskfast and a bottle of Champagne on arrival at no extra cost.If this wasn't enough when we checked into the hotel we were upgraded to a Penthouse Suite. The Penthouse Suite was enormous with a huge terrace.Staff are very attentive and not at all pompus. Everyone is made to feel very welcome.We had breakfast in the room the next morning, which was delivered exactly as ordered and on time and was delicious.Would definately stay again.	
Jun 8 2009 	Wow Wow Wow excellent Hotel true 5 star experience!!	I stayed at this hotel with my husband and 2yr old daughter and was compelled to writeabout our stay as it really was that good! after reading the reviews about this hotel on trip advisor i was desperate to stay here as I work in travel and stay in london around once a month most recently at the dorchester which now seems dull and impersonal in comparison, we didnt book until we got to the hotel that day but wanted to book a luxury junior suite and we were told by reception that one was available after 6pm so as we were busy shopping etc we decided to wait till then so we waited in their refuel bar when we returned and to our amazement we were told that we were gettting upgraded to a 2 bedroom apartment!!! the apartment was absolutely beautiful like a home from home 2 bedrooms with gorgeous large beds and frette linen , new kitchen, living area, 3 flat screen tvs, miller harris toiletries, best mini bar ive ever seen, basically you couldve easily lived here no problems!! we had some drinks in refuel bar and service was excellent, reception staff were also excellent very personal but not stuffy like other 5 star hotels, concierge was also very happy to help and room service staff also could not do enough for you, the hotel is that good you dont want to leave.we also ordered room service and this was delivered promptly and was also of a good quality, and we had breakfast in our apartment the next morning that was also very good although they did firstly send us the wrong order but then sorted this out very quickly.the only bad thing was having to check out of this central boutique 5 star gem of a hotel....thankyou soho hotel and we will return very soon !!!	
Jun 5 2009 	Despite the hip vibe (and celebrity reality) down to earth staff 	The staff make the hotel. It's in a great location (heart of soho although on a pretty dismal side street), is very beautiful and well appointed and is very, very hip. (Miley Cyrus anyone?)The reason though to stay here is the staff. They are over the top helpful, nice and really go out of their way to help you out and make you feel welcome.	
Jun 1 2009 	my new favourite hotel	My chance to stay at the Soho finally came when we flew to London to celebrate our fifth wedding anniversary. The hotel is gorgeous, the breakfast is delicious and the rooms are huge. We booked a junior suite and were upgraded to penthouse no. 502. We had beautiful views over London from our large terrace and although Soho was buzzing on the hottest weekend of the year so far, we never heard a thing. Great beds, terrific sound-proofing and a treat every morning to hear the breakfast specials (the juices were delicious, esp the freshly squeezed apple and water-melon). The best thing about this hotel however is the staff. They are always attentive and helpful and create the informal, friendly atmosphere that the Soho is famous for - thankyou. I'm afraid I will have to start saving up for my next visit because I won't be able to stay in any other London hotel.	
Jun 1 2009 	Fabulous staff	I went to London to speak at London Business School and had the pleasure of staying at The Soho Hotel. This is the best hotel I've stayed in in London. The location can't be beaten, the room was beautiful but most of all the staff were smiling, friendly, cheerful, helpful, knowledgeable and happy.	
May 26 2009 	Fantastic Stay at this Gorgeous hotel	We stayed here for 2 nights for the May Bank Holiday weekend. We had booked a Junior Suite but were upgraded to a 2 bedroom apartment which was huge! Everything about the room was wonderful, the furniture, cleanliness, the HUGE bed! The location was excellent, within walking distance of main shopping areas. We did travel a lot by taxi and just had to ask and one was there for us. We ate the tapas menu in the bar which was great, 5 items for £20, just enough for 2 people with cocktails (which were delicious!). Service was good and even though the waitress did spill a drink on me when cleaning our table she was full of apologies and replaced it immediately.Even though this is a top class hotel and favoured by celebrities (we sat next to Jerry Springer!) the staff treat everyone the same and made us feel special all weekend.We had champagne and cupcakes in our room upon arrival (champagne as part of the May special, cupcakes just as an extra!)We travel to london 5 or times a year and have stayed in lots of '5 star' hotels but never returned to any of them (except the Sanderson for cocktails!!) but we will be back to the Soho Hotel, in fact I cant wait!!	
May 24 2009 	WOW	We recently had the pleasure of staying at the Soho in London. Right from the checking in to the checking out, it was a wonderful and enjoyable experience. The staff were attentive, very helpful and the service was quick without being rushed. The rooms were wonderful, spacious and good value for money (I am comparing this to Manhattan where there is also limited space, our room at the Soho, for the same amount of money was much larger than any we have found in New York). This certainly will be the hotel that we return to in London. It is also in the centre of the city and very close to tube stations, so transportation is easy, and of course there are also taxis.	
May 23 2009 	lovely but very expensive would love it to be on last min.com	Truly spectacular and I love the film club. It is very expensive but the food and drink is the best in London. The staff are cold but are precise and polite. Big down size of hotel rooms is there’s no tea or coffee making facilities. So for any one who likes a tea/ coffee through out the day expect to have too pay £4 a cup.	
May 23 2009 	Perfect hotel in perfect location	My husband and I stayed at The Soho Hotel for 8 nights in May for vacation. We chose the hotel due to the positive Tripadvisor reviews. We were not disappointed one bit. The hotel is new, clean, modern, and trendy. We had a luxury room, which was spacious, comfortable, and most importantly, clean. The room had a nice big bathroom with Miller Harris toiletries. The bed was one of the most comfortable beds I've ever slept in. The concierge staff were available 24/7 and extremely helpful and knowledgeable. We had breakfast at the hotel restaurant at least 4 times. Breakfast was good and came out quickly (unlike some of the other reviews regarding the timeliness of the breakfast). Although breakfast was a bit on the expensive side, we thought the food was very good. In terms of location, we loved it. It's in the heart of Soho, which is pretty much in the center of London. We walked to pretty much all the major sites (great exercise) from the hotel and only took the tube a few times during the entire 8 days we were there. With its location in Soho, we also had restaurants, bars, shops. nightlife, theatre, and people watching right outside the hotel. We are very happy that we chose The Soho Hotel and plan to stay here again on our next visit to London.	
May 9 2009 	amazing!	I cannot rate The Soho Hotel enough. I know it is expensive and I had read the reviews on here and had heard some negative things about not being treated too well if you're not a fancy celebrity but I can honestly say I have never been treated so well-and I have stayed in many hotels around the world. I brought my husband here as a 30th Birthday present and chose the Soho Hotel for a number of reasons. Firstly, I am disabled so struggle to walk far and wanted somewhere central which didn't mean continuously needing to navigate tubes etc. The second was I wanted to treat my husband to a weekend away and it was a treat. We got upgraded to a junior suite which is decorated exquisitly, the bed was delicious and the bathroom was lovely. Clean towels, lovely turn down service every night and I am afraid I do enjoy the little nice touches like the sprays for the pillows at night and aromatherapy sprays etc..my husband was not so impressed at this..but he did love the birthday cakes they gave us which were so delicious. The breakfast was gorgeous as was the service every morning. The extras are slightly over priced (a granola was about £5.50) but thats what you expect in such a lovely hotel and its not as if you can't wonder to the shops and buy it relatively cheaper in a flash! We went to the honesty bar one evening and that was a nice touch, although there were people watching most of the time so i am not sure how trust worthy they are of their customers! The best part about this hotel though are the Concierge. They are so efficient, reliable, knowledgeable, helpful and have such a lovely sense of care and humour! We needed a taxi and had a car to drive us to our restaurant by the time we had walked downstairs. It is touches and effort like that which made me sign the bill with a huge smile and walk out of the hotel thrilled to have been lucky enough to stay there with my husband and have such a fantastic time.	
May 2 2009 	A FANTASTIC hotel	This is one of the best hotel I have been in. The athmosphere, the decoration, the staff, the room....everything is almost perfect.Rooms are beautifuuly decorated which does compensate for the lack of city or street view, they are large and really comfortable (we were upgraded from junior suite to a huge appartment but we have seen the &quot;regular&quot; room), high-tech equipment and &quot;feel at home&quot; touches (dvd available at the front desk, help-yourself bar) that all make for a fantastic stay in a buzzling city.Can only encourage you to book this hotel in London!	
Apr 28 2009 	Loved every aspect of the Soho	Just stayed for five nights at the Soho and I could not have been more pleased with every aspect of the hotel, and I am a total hotel fuss budget. Combine English with an edge decor from the lobby on, a happening bar scene, charming rooms ..some with toile wallpaper others with grey pinstripe and very well appointed bathrooms... with one of the most welcoming and helpful staff I have ever encountered from the bell persons to the concierge to the front desk....and you have a combination that makes for a wonderful stay in a great part of the city...would go back in a sec.	
Apr 28 2009 	FABULOUS HOTEL LOVED IT ALL	Great hotel - room fab ,location central , staff friendly would stay there anytime will now find it hard to go anywhere else in london !! very very good if you like boutique hotels you will love it	
Apr 19 2009 	Just perfect.........	Stay for just one night which was a short break for myself and my husband. The location is just perfect. Staff are friendly and professional. We only ate breakfast which was just excellent. We stayed in a luxury double room which was just perfect. We returned after dinner and a show to the bar to sample the cocktail menu....really enjoyable.Would highly recommend. .	
Apr 16 2009 	Gorgeous room with amazing service in prime location	What more could a couple want then a beautiful room with attentive service in an amazing location in Soho. The hotel staff were impeccable and went over and above the call of duty on several occasions including running out to buy me complimentary bubble baths and walking us personally to a wonderful dimsum restaurant. Every staff member was thoughtful and personable. I would love to go back.	
Apr 14 2009 	Not the same anymore	This is my 4th stay at the soho hotel now and while i love the place i just dont think its as good as it was a couple of months ago.The room was fantastic still, the decor is amazing. The service has gone down a notch especially room service and the breakfast service in the restaurant. Always loved being told the breakfast specials, juice ect, during my last stay these touches did not happen.I will still return as i love the location and concept but i just hope it can be what it was.	
Apr 12 2009 	Great Hotel Refuel Breakfast Poor	Love this hotel and the reception, concierge are spot on. Location is great for the theatres and oxford street and to be honest cabs aren't that expensive considering.Major gripe - 1st morning for breakfast it took half an hour from ordering the teas for them to arrive, then the rest of breakfast arrived really slow. (there were 4 of us).We thought it was an off day, so the next morning we arrived for breakfast at 9.45am and we got out at 11.15am. We only had standard breakfast on the menu, it was really slow poor service which brought the otherwise 5 star down to 3 star. I heard some other guests saying the service was also slow. I'd recommend without the need to go to the refuel breakfast bar.	
Apr 7 2009 	Sophisticated hotel in an unsophisticated location	This is a hard review to write because, inside the walls of the hotel, this place was splendid. The staff were friendly and courteous, the decor outstanding, and the room (junior suite) lovely for a discounted price. Furthermore, despite what was going on outside, the hotel was quiet although without meaningful views out of the windows. However, SoHo may be an attractive location for some, but it was not for us. Yes, it is near theatres, near restaurants, and near many, many pubs. And more pubs. But this upscale hotel is not in an upscale area, and it seemed a real mismatch. The streets were jammed with cars, people, noise, etc. If you want to be part of this scene, SoHo is for you. But it isn't for us. So we recommend transplanting this hotel brick by brick to Mayfair or some like place. It would be truly perfect!P.S. High speed internet was $30 per day!	
Apr 7 2009 	One of the very best...	I am struggling to think of a hotel that I have stayed at that I have enjoyed more. This place has it all. The only one very very minor gripe that I have is that we asked for a bucket of ice to be bought up which it was, very promptly. However the guy that bought it hovered for a tip and gave me such a filthy look when I didn't. As this isn't the USA, I don't tip in hotels unless something absolutely exceptional has been done. I especially don't tip in top rate hotels - if they're not paying their staff properly then something is seriously wrong.That aside, we thoroughly enjoyed our stay, the room was probably the best I have ever stayed in - so classy. The bathroom was absolutely spotlessly clean as was the rest of the room. The minibar was the best stocked, including half a bottle of Krug!The hotel is not cheap by any means, but I thought it was good value (we took advantage of their Sunday Siesta rate, booked direct with the hotel) - with this you get a glass of champagne on arrival, milk and cookies at bedtime and breakfast.	
Apr 6 2009 	Very Impressed with the Soho Hotel	My fiancé and I just returned from a quick 3-night getaway to London and we stayed at the Soho Hotel. We had high expectations based on reviews we’d read here, and we were NOT disappointed. The staff was wonderful; so helpful and friendly. They managed to track down a converter box for me so my straightening iron would work, without me even asking them to. Our room was large, bright, and comfortable, and the bathroom was also enormous and spotless. We had breakfast only one of the mornings we were there, but it was very good and we were pleasantly surprised to find it was included in our room rate. One night we ate a late dinner at the bar after seeing a play and it was really yummy. My only complaint was that the cocktails at the bar were a little weak and small for the price, but that wasn’t really that big of a deal. The location was also fantastic- we didn’t pay for one cab during our stay because we could walk everywhere we wanted to go. I wouldn’t hesitate to stay at the Soho Hotel again!!	
Mar 15 2009 	stylish and top quality	This place exudes quality and understated class. From the moment we walked through the door we felt at home. The staff are amongst the best in the business - efficient, friendly, thoughtful and above all helpful. The rooms are simply superb; colourful, well equipped, comfortable and spotlessly clean. Breakfast is fresh and well prepared. Try the fresh juices and the day's special - how many hotels can claim to offer a breakfast special ?!! The lounges are a great place to relax and the bar is as lively as the cocktails are good.Thoroughly recommnded - even at these prices. A boutique hotel of the highest order.	
Mar 13 2009 	large and comfortable	We booked a deluxe bedroom at this hotel.The hotel was very well located in little italy, what ever there is left of it.We went to see Jersey Boys at the nearby theatre, again this was very well located.We arrived at the hotel with our car where we were welcomed by the doorman. He kindly arranged for our car to be parked at a nearby car park.When we checked in, we were suprised that they upgraded us to a huge 2 bedroom luxury apartment which you would loose yourself in.There was 2 king bedrooms, 2 bathrooms, an unused kitchenette with bar, extremely large lounge, hallway, includIng 3 TVs, which we didnt really watch.The Cocttail bar was very impressive, with a big selection of wines, champagne and coctails.The breakfast was well cooked and served, but they do not make perfect espressos, a minor issue.The restaurant ,looked pretty good although we didnt dine in the hotel that evening as there were many restaurants within a few minutes walking.A very relaxing, centrally located London hotel, in a quiet mews within a bustling outdoor area of London.fromC BWaltham Cross	
