	5 star staff	After travelling for 13 hours from a trip abroad i decided to stay in London for the night. I looked online for a hotel near Angel station and this one was the nicest one i could see in my price range. I arrived at the hotel at 10:15 am with the intention of just dropping off my case as i was well before check in time. After mentioning to the staff that i have just been on an 13 hour flight they found me a room and let me check in so i could get some rest and freshen up. I felt they went that bit extra which made my day. The room was lovely, very spacious and clean. It had everything i need and was very comfortable at a very reasonable price.	
Sep 19 2009 	Nice hotel great hotel no parking	Needed to go to London of a business trip. HQ booked us this hotel. It's not easy to find if you are driving and do avoid trying to get there around 5pm. We took 1 1/2 hrs to drive 6 miles. Hotel has no parking, so you have only 3 temporary spaces to drop off cases and then drive 1/2 mile to a pay car park which will cost me £18 a night. You then walk back to the hotel. If it was rainign and you had a nice suit..... The hotel however is fine. Large clean spacious rooms and quiet location. Air Con means you don't roast to death like some travel lodges as the windows only open 3 cms. Conveniently situated near Angel tube station if you want to go into the city for the evening. The breakfast was superb! Every food imaginable from fruit to fry up. Could have stayed all morning just to eat.... I would stay there again.	
Sep 11 2009 	excellent all the way	what can i say to describe jurys only excellent ..rooms are grand and very clean ..i was actually amazed at the breakfast it was so fresh and convienent lovely bacon best i ever had ... wee lady in centre of breakfast dock not very chatty but mybe i got her on a bad day all other staff so friendly .... this is so handy for the o2 islington as my daughter went to see paramore ... we ate 2 nights in jurys bar food again faultless thank you staff ..my only little thing to say to manager /laundry ...and its not a very bad complaint is the towels let the lovely rooms down they are greyish and not hotel fluffy standard mybe a litttle softner /whitner can be advised to laundry .... all in all we will be back as it is so handy for the tube into london thank you all xxx	
Sep 2 2009 	Clean safe and friendly!	Stayed here with my young daughter and it's a new building, if not a little soulless, it's clean and the staff were (nearly) all very helpful. Adequate sized rooms with A/C. Buffet breakfast was very good. It turned out my FULL breakfast was only a &quot;Continental&quot; affair so be careful, although I was told it's only £2.50 to upgrade. Very handy for The Angel tube station and a safe area. Recommended.	
Sep 2 2009 	Excellent location for Sadlers Wells and night in town	The room was comfortable and of reasonable size. Bathroom was dated, but clean. The water didn't run away down the sink too well, but we reported this when leaving. Good choice at breakfast and waitress was happy to get the kitchen to make porridge for my husband. Excellent location for staying in London after going to Sadlers Wells Theatre.	
Sep 1 2009 	Sad insitutional and smelly	Outside appearance- modern city hotel. Once past reception, the decor is 1970's insitutional and the smell of disinfectant, permeating the corridors and and our room, reminds one of a Salvation Army hostel in Stepney. Stained carpets, dirty towels and noise of slamming doors for most of the night only add to this impression.Accepting that London hotesls are always expensive, this is still poor value even for our capital city.	
Aug 24 2009 	Tired and Dated	Spent one night here and was really disappointed with the room. Not up to other Jury Inn standards with faulty fixtures and fittings. Had to be moved to another room because the whb plug wouldn't budge from the closed position (reception opened it using brute force and suggesetd, as I was just staying for one night, we should just not close it).She did, however, agree to move us when I explained I considered that solution to be unacceptable.Car parking a good 5 minutes away and very costly - £30 overnight stay!Good location and close to trendy Islington but I would wait for the promised re-fit before using the hotel!	
Aug 18 2009 	very good hotel 2nd visit	stayed here in feb for a theatre trip ,and again in august for 2 nights,great location good for travel on the underground and a nice clean hotel, lovely bathrooms soft white towels changed daily,shampoo and shower gels in good supply,tea and coffee supplied,ice making machines in corridors ,air conditioning kept the rooms lovely and cool. will be going back for 3rd visit .have stayed in hotels that charge more and are no where near as good as this one.	
Aug 15 2009 	Great location and service	The hotel is greatly located. Islington is a lively area of London. Lot's of restaurants, bars and nice shops. It is trendy and artsy, no snob feeling around the neighborhood.We took the subway from Heathrow all the way to the Angel Station (2 blocks from the hotel).The room was nicely decorated and very clean. The service excellent. The front desk staff gave us great tips about buses, restaurants and things to do (our two favorite places to eat: Origano Italian restaurant - great pizza and pastas - the real deal and Le Mercury a super affordable great French restaurant) There is a bus stop across the street from the hotel so it is very convenient if you want to hop on one of the many buses that go around the townThere is no cable tv in the room but who goes to London to watch tv?Breakfast buffet at the hotel was very good.We recommend if you are going with friends, partner and kids	
Jul 31 2009 	Excellent location. VERY attentive service	We stayed here for the weekend and found the place perfect for our needs. The front staff is very helpful and the room suited us well. I had emailed ahead of time requesting a quiet room and got one overlooking the center parking/utility lot that was incredibly quiet. The room had a double and single bed which was spacious enough for the three of us. The place was spotless. Breakfast was a bit chaotic but included a good selection of food (cereal, yougurt, fresh fruit, cheese, bread, eggs, meats, beans, tomatoes, etc). Our rate included the full breakfast for the three of us for 90 pounds per night. Half of our party was arriving via Eurostar and we all went to Paris the same way at the end of the weekend so the location was great. The hotel is closer to the Angel stop, which does often require transfers to get where you may wish to go, but since it's only a few blocks away, in a very safe neighborhood, it was fine. The Kings Cross/Pancras stop is a longer walk but still convenient. (If you are arriving with luggage though, definitely transfer to get to Angel so you walk less with your baggage!)I would definitely stay there again on a future trip to London. This property offers a lot for the money.	
Jul 27 2009 	Good hotel - quite pleased!	Stayed here for 2 nights last weekend.Location was great for us - right near Angel Tube - lots of places to eat and drink near here too!We booked through Last Minute and got it as one of the mystery hotels - £138 for 2 nights. The room was good size. It was clean as was the bathroom but could possibly do with a bit of a revamp. Only complaint was not enough pillows and we had to ask for the kettle to be replaced, which the front desk organised for us.When we came to check in, it was very early (about 8.30am) - we just really wanted to leave our baggage but they had a room available so we were able to check in there and then which was fantastic for us! Front desk were brilliant.Can't complain at all really - I'd consider staying again!	
Jul 23 2009 	Good basic and clean room in a fantastic location	I stayed at Jury's Inn Islington as part of a Trafalgar tour, one night at the beginning of our tour and a second night at the end of our tour, so we experienced two different rooms. The lobby is very nice; the rooms are typical for the UK, on the small side with rather stiff beds, but very clean. The walls are thin, as were all the walls of all the hotels we stayed in throughout the UK, and our window in the first room wouldn't close properly so we had street noise from the pub below into the early hours. The regular continental breakfast wasn't the best we had either. But other then these minor occurrences, we were satisfied with the hotel.The pub located in the hotel is very good, the food was reasonably priced. For all of you first timers to the UK, if you want food or drinks in a pub, you need to order at the bar. There is usually a number on your table and you'll want to let the bartender know this number so the food can be brought to your table.The best part of this hotel is the location. The Angel underground station is two blocks away, if you are leaving the hotel, turn left and go down two blocks to the light, you'll see Angel station on your left. There was an Assistance Desk with a clerk at the tube to assist us with buying tickets. The neighborhood of Islington has so much to offer, just a few blocks away you'll find every type of restaurant imaginable, Asian cuisines, vegetarian, Italian, Mexican, sandwiches, etc. There are several pubs within walking distance as well, all down Angel Street.One thing I would recommend to the manager, although the hotel has WiFi internet access available to those with their own laptops, there was no central computer that visitors could use. Most other hotels we stayed at had one and I found them very convenient.Overall, the hotel met our needs and we would definitely stay here again.	
Jul 20 2009 	Jury's Islington Good But...	Visited Jury's Islington June 2009, had two teens with us, they were kind enough to accomodate with a foldaway bed, quickly, effeciently and at no cost, good job. Location:-Good location very handy for St Pancras (Eurostar) and Euston and or Kings Cross all walking distance 15 minutes to Euston/Kings Cross, taxi from St Pancras 10 GBP. To get into Central London get a taxi or if you have time use the Tube from Angel (Northern Line) not much use, better yet go to Kings Cross Tube and access central London tubes.Hotel:-Clean, Newish, nice lobby, no parking at front only short stay loading. Reception were quick and effecient and helpful as needed.Room: Small , two double beds, good bathroom, plenty of towels when requested, TV in room is poor and they should by now have upgraded to a flat screen, furniture OK. Enough room for four 4 persons in room.Restaurant:Breakfast was good value, full English for 8.50 GBP, perhaps a little steep and I would recommend getting good value for that price (load up), numerous local pubs/cafes do full English for 6 GBP or less, shop around don't just stumble into the restaurant, which was kept clean throughout the staff do a good job keeping everything clean and tidying up after guests.Overall good stay, useful for business visitors, downside often stacked with Tour parties who overrun the restaurant for breakfast, though this didn't happen during our stay.	
Jul 6 2009 	Good hotel	Stayed here for work - easy to find off the tube station - room large and clean - breakfast good - lots of choice - bar in hotel pleasant.	
Jul 6 2009 	50 th birthday trip	my husband and i stayed there 2 wks ago FOR 2 NIGHTS.i was very dissappointed on the size of the roomsmy husband had to step into the shower, to close the bathroom door, to get to the toilet which was situtated behind the door.we booked through expedia and we had no breakfast ,but i felt the room was a BOX.it wasnt a special offer.	
Jul 1 2009 	Bargain!	I was at this hotel for one night a few days ago. Got a deal of £90 including breakfast for 2 people) Could not believe that we could have got a bargain for such a central hotel. Rooms were spotless, although could do witha bit of a revamp. That said I will definately be back to this hotel in 6 weeks on my return home. Staff first class by the way!!!	
Jun 25 2009 	Perfect location and friendly staff	We stayed in the Jurys Inn Islington hotel due to the marriage of a friend of mine. The location is perfect (at least for us). Its not far of the city centre, but more important: the area around the hotel is a very nice one. Restaurants and bars are located a few minutes walk from the hotel. The breakfast suits well for a busy day. We had the English breakfast and this hotel knows whats part of an english breakfast.Last but not least: the staff of this hotel was very friendly and helpful.	
Jun 12 2009 	Pretty Good!	The Jury's Inn was the first stay of our trip around Europe. Pretty good stay!It was a package deal that came along with some Arsenal Match day tickets. Very good location and close to Angel station. Only advice is some people say walk from Kings Cross Station, DONT! Particulary if you have just had a long flight! Much better to head to Angel.Rooms quite comfy, no problems here!From listening around most packages come with a Continental package instead of breakfast. Staff will not tell you how much it is to upgrade to buffet, you do need to ask them (because its cheap to do so) and very worth it! Nice Brekky!Only downer is that we wanted to stay all of our time in London at Jury's but the cost just got too much. But all-round pretty good!	
Jun 11 2009 	Great stay!	Stayed at Jurys Inn last week and I must say that it exceeded our expectations in terms of what our perception of what 3 star budget hotels are about. although rooms are dated we found our one to be spacious, clean , well maintained and quiet - bearing in mind we were in a busy part of london. Plenty of restaurants and bars in the area so we ate out two nights and had dinner in the Hotel one night. Took buses from Angel Tube stop nearby that took us in to Picadilly and Oxford Street within about 25 minutes. Would definately stay here on our next visit!	
Jun 10 2009 	Very good for what we needed and paid for	The two major things we were looking for were good location and comfortable and safe place to sleep and leave our belongings. The location was excellent, as it's very close to the Angel tube stop and about a 15 minute walk to Kings Cross. There was an internet cafe right down the street that we used frequently and a Sainsbury (large grocery store) and many restaurants/shops nearby. The room was fine, nothing spectacular, but clean and comfortable. Apparently all the rooms have a couch/day bed type thing, which was nice so we'd have somewhere to sit besides the bed while watching TV or reading or such. The furniture is a bit dated, but for what we paid, I was pleased. The room was pretty spacious (lots of room to put your belongings with shelving and such), though I don't know if 3 adults or 2 adults and 2 kids could share it comfortably, as the website advertises it. Overall the room was clean (bed, furniture, carpet, bathroom). The only thing that wasn't were the glasses and coffee cups provided, but we used the styrofoam cups provided next to the ice machine. The ice machine on our floor broke on the first day there, and we told the hotel staff about it but it wasn't fixed before we left (we stayed 6 nights), which was inconvenient. There are no in-room safes, but there are safes in the lobby for guest use (accessible 24 hours with your own key the hotel gives you). We never tried the restaurants, as we were only there to sleep and shower. The staff was friendly. Overall, I'd say it's about on par with a La Quinta or Ramada Inn. Again, for what we paid and what we wanted in a hotel, I was very pleased.	
May 19 2009 	Watch out for coach parties!	HiStayed here on Sunday 17th and Monday 18th May.I have used Jurys Inns quite frequently before (particularly in Newcastle) and I have generally been impressed.This was my first and last time in this particular hotel. Positives:Friendly staffReasonable location (less than 10 minutes from nice bars / restaurants)Decent sized roomsNegatives:Dowdy barThin walls between rooms, leading to everything being heard from adjacent rooms if you have noisy neighbours (no worse than Travel Inn type rooms though)Main concern: During my 2 night stay there were two coachloads of foreign visitors staying, who effectively &quot;took over&quot; the restaurant at breakfast time. Appalling table manners, shouting across restaurant repeatedly and leaving food strewn over tables and spilt on the floor did not make for a pleasant and relaxing breakfast experience.In fairness, it did appear that the restaurant staff did their best to cope with the situation over the two days of my stay, but ultmately it appeared there was little that they could do.Fellow guests (who were not part of the coach parties) were openly voicing their discontent to each other, so I do not feel that I was alone with my concerns.Ultimately, I believe that the hotel needs to make a concious decision as to whether they want to attract repeat business travellers and also individual / small groups of private travellers, or whether it intends to seek revenue by accommodating large groups of rowdy, poorly behaved coach parties.My recommendation: avoid	
May 19 2009 	Great location comfy room attentive staff -- will stay again!	This was a mixed-purpose visit for us -- my husband had some business meetings to go to and my mother, brother and I used the occasion to have a mini-reunion. This hotel was perfect for us -- centrally located, reasonably priced and with very friendly staff. We had friends join us at the adjoining pub on a couple of occasions and found it to be surprisingly pleasant and cozy. The breakfast was also a surprise -- usually we go out for breakfast when we're staying in London, but we ate in almost every morning. Great selection for both the continental and hot breakfasts. Overall, this hotel had superb value for money. Would definitely recommend!The only negative critique I would have is the price for high-speed internet. We were there for 6 nights and at £10/day we chose not to use it as much as we would have liked. A weekly rate would have been appreciated.	
May 16 2009 	Nice Clean Hotel..Friendly Helpful Staff..Great Location	I was visiting family staying in London in the Islington area, so I was hopeful to find a reasonable priced hotel in that particular area. Fortunately, this hotel met my location requirements. I found it very clean with an extremely helpful staff. The management and front desk staff are top-notch. They appear to truly want you to have an enjoyable stay (which I did!). This hotel is conveniently located to the Angel tube stop. I highly recommend this establishment. While staying there, I had the opportunity to meet both managers, and was very impressed. Thanks to everyone at the Jurys Inn Islington for making my visit enjoyable!	
May 14 2009 	Disappointing	Very handy Kings Cross/ St Pancras. Room grubby looking, top bed cover wanted cleaning also carpet, or at least a good hoover. TV, tea/coffee making, bathroom OK. Had a meal in adjoining restaurant, good and reasonably priced, breakfast was quite good. Staff pleasant.Booked through Superbreak, Paid £117 for B&amp;B for two people +£17.50 p.p to upgrade to DB&amp;B, but were told our allowance was £15 p.p, usually when you pay in advance you save money, so be warned.	
May 5 2009 	Awful - needs an upgrade	I appreciate London hotels are a little more pricey, but this hotel needed a revamp. The rooms are very dated.The first room I checked into had no toilet roll and had dirty surfaces. The room looked like it hadn't been hoovered in a while. The management gave me another room - at least it was clean!Its two minutes walk from the tube. Bar even though it wasn't that busy had plates and glasses on empty tables - the whole place could have done with a good clean!! I wouldn't stop here again	
May 5 2009 	CHEAP AND NASTY	Everything about Jury's Inn in Islington is cheap and nasty the room overlooked a car-park and was really noisy, the furniture outdated.The staff are friendly and did open a bottle of wine for me and they were very friendly also and the location is very close to Angel tube station	
Apr 19 2009 	Great hotel and great location	10 of us booked this hotel for 2 nights from the 15th of April to the 17th. There was a bit of confusion when we checked in at midnight when it appeared that one of our rooms had been accidentally cancelled but this was sorted out reasonably quickly. The rooms were quite big and the double rooms all appeared to have a double bed and single bed in each room, which was surprising since we had heard that rooms in London were generally quite small. One of the rooms was a family room for 2 adults and 2 children on a separate floor and on the first night there was quite a lot of noise from football supporters that were staying on that floor. The next morning we complained about this and were moved straight away to a different floor and to a much larger room, so no complaints there. The hotel was about two minutes walk from the nearest train station, the bus stop was right around the corner and there were quite a few cafes and bars close by so the location was excellent. The hotel bar was also quite nice to sit in and grab a bite to eat. Overall we were very pleased with the hotel and would stay again. Only (small) complaint is that breakfast is a bit pricey, it wasn't included in our rate of 89 pounds per room per night, but since we were quite pleased with the price we didn't really mind that much and so we had breakfast at cafes close by instead.	
Apr 15 2009 	Its clean comfortable and in great location	I am in room 542 presently and cant complain! I have no idea what people are on about complaining. Its simply decorated in the rooms, but clean and comfy and modern. Infact, its a bargain for such comfort in London town. The front desk staff are brilliant.I wandered outside the hotel to grab some food and see what was happening and there is a bustle of high street shops, a market and some cheap eateries. One i have to mention, that i have just finished quaffing is the Tortilla, a kind of mexican Subway. Yummy and cheap burritos and half the cost.The cinema is a 5 min walk, as is the buslte of shops including Karen Milen, Gap etc.The only quarm i have, is the internet access is £10 for 24hrs. Lucky im on business and work will pay when get back. Great hotel and great location. I will come here with my partner for pleasure at some point soon.	
Apr 14 2009 	No close Parking and Decor resembled an old peoples Home!	Didnt stay for the purpose of the London sights, only for close proximity to Islington which in itself is a nice little area. Nevertheless we knew there wouldnt be any parking but was advised that parking was &quot; Nearby&quot; [HA] On arrival we 'popped' in to ask where exactly the 'nearby' parking was and was given directions 'around the block' [HA] After two wrong turnings that took us the length and breadth of Islington we eventually found an underground car park that displayed the sign &quot; Full&quot;...Great. proceeded to look for an alternative- couldnt find one, so decided to give the last one a try...success. Worn out, stressed and forlorn we had to walk all the way back to the Hotel with all our bags- ten minute walk. Not something you want to have to do after encountering a 2 hour journey and London Traffic.Reception staff not very sympathetic..if anything found our little dilemma amusing .We had spent the night previously at a Copthorne Hotel in Windsor for £56, which for the price was absolutely fantastic, including a Car park on site, and beautiful rooms etc.Which was why , when the doors of the Jurys lifts opened we couldnt believe it. Had we walked into a time warp or was the Old Peoples Home decor what they intended?I completely agree with the critique of IHearttravel79 before me that it really did resemble the coridoors of a hospital or prison!! The room was even worse!- was it decorated in 1987? it was spoilt by the fact that they had put an extra 'put me up' double bed on the floor next to our small double bed and covered it with an old primative cream blanket...it just looked awkward there on the floor .I must admit Ive stayed at better Travelodges for less money so cant understand how this hotel charges what it does considering its not even really in the centre of town.Nvertheless our breakfast was indeed excellent and made up for the previous gripes, but this was only in preparation for our painful walk back to the car.............	
Mar 31 2009 	Would not recommend	First impressions of this hotel are great. Good location near to Angel tube, the amenities of High St Islington and very near Kings X / St Pancras station (£5-6) in a cab, also the lobby area is nicely furnished with marble floors and large chandelier. Once past the lobby however, it is a different story.We stepped out of the lift onto a corridor, which I immediately said reminded be of a prison or hopsital corridoe....the carpet was old fashioned and the walls tatty and tired, the room doors were painted a nasty green colour that really didnt look good.The room was not much better, a bright red, old carpet greeted us as well as a room that was in desperate need of a make over. It was a corner room that had seen better days in terms of old, shabby decor. THe bathroom was clean, but towels seemed ilke they were years old, greying, thin and hard, as well as quite small.It was not the type of room that you'd like to go back to to 'enjoy' and relax before an evening out, i just wanted to get in and out.Had problem with the hairdryer which kept cutting out after seconds of use (overheating I assume), so had to wait ages for it to 'click' so that it could be used again, only to cut out again - called reception, who promptly brought up a plug in dryer (the one in the roomwas wired into a drawer), which once plugged in and switched on blew up and smoked in my hand I dropped it to the floor where it cntinued smoking and smelt of burnt electricals!! Great!! Staff on reception did not seem to concerned about it, however a new dryer was in the room when we returned from our day out.Overall, not great. Good location, but rooms leave a lot to be desired especially given that the price is not that cheap. Premier Inns I have used are much better for the price, more modern decor etc.	
Mar 29 2009 	Brilliant hotel - staff and room first class	My wife and I have stayed in Jurys Inn Islington in 2006 for an extra four nights after a Trafalgar tour . We could not have been happier with the room and service. In 2007 we stayed there again for two nights pre and and extra four nights post Trafalgar tour. The service had not changed and could not fault the room that we were in. We were put in a corner room on the top floor with a lovely outlook towards the London Eye. The staff were always pleasant and nothing was too much trouble. The location is great with both tube and bus almost outside the front door. We had no complaints about the breakfast of a morning and the meals in the Pub in the evening were first class. Last year unfortunately we had to stay in another hotel chain prior to tour and did not stay in London after tour and we were disappointed with the other hotel.We will be going on tour again in August next year (2010) with Trafalgar tours and will definatey be spending another week post tour at Jurys Inn Islington on a Trafalgar tours week in London. Keep up the good work and we are definately looking forward to staying in the hotel again next year.	
Mar 29 2009 	nice hotel recommend to anyone	Stayed here for one night (in a theatre package from SHOW AND STAY and could find nothing to complain about, Booked two rooms, both fine, clean and comfortable. Had drinks in bar after theatre show, prices reasonable and bar was really cosy and nice. Would recommend to anyone to stay here .	
Mar 13 2009 	Perfect value for money great 	Compared to staff in other British hotels in this price range, the staff of Jurys Inn Islington was simply great; fast, efficient, very friendly and helpful. I'd definitely stay here again.	
