	Amazing view! Great location! Friendly service!	Stayed over in this hotel before heading off to Paris on the Eurostar for our honeymoon! I'll be honest - we were on a bit of a budget and this was the cheapest 4* hotel I could find within walking distance of St Pancras - I was not expecting much at all. The staff were very friendly when we checked in, and the hotel was very clean and well presented. Our bed was HUGE and very comfortable indeed, BUT THE REALLY AMAZING THING WAS THE VIEW!!! We were on the 14th floor with a direct view out over the London Eye. The way that the hotel is organised means that pretty much all of the rooms have brilliant views out over London, we had not booked a special room or been upgraded at all. Excellent value for money - and a wonderful start to a wonderful holiday!	
Oct 16 2009 	Great Value London hotel	Booked as a last minute overnight stay with my Mum in law and we found this hotel to be excellent value, conveniently located to tube and train stations and spotlessly clean with a newly refurbished room and bathroom. The staff were professional and very polite and helpful at all times and, as two female travellers, we felt very safe staying here .	
Oct 9 2009 	Fine for a short stay	The hotel is a standard business hotel conveniently located for major rail stations (King's Cross, St Pancras) and the Eurostar terminal. Rooms are fine for a short stay and the service and food in the restaurant are good. Hotel is also well located for many tourist attractions in central London (British Museum etc). The hotel is located on a very busy and noisy street so ask for a high floor room if you are at all disturbed by traffic noise.	
Oct 7 2009 	GREAT LOCATION !	We stayed here a few days in September 2009. The reason we picked this location was because it was close to the Eurostar St Pancras Station. The hotel is pleasant, has a safe, very convenient - steps to Underground and St Pancras and bus stops. The staff was friendly, however, when we asked for restaurant recommendations in the area - they sent us to Covent Gardens (which was far), but generally a great room. The only negatives are the bathroom. The shower is poorly designed without a curtain but a small divider which does nothing to prevent water from pouring down onto the floor. And the shower is higher up a little - not for seniors or children (actually kinda dangerous). The drain in the shower was also slow and felt plugged up, both rooms we were in had the same problem. The WiFi is also expensive $ 14.99 (i think this is geared towards business travelers)	
Oct 6 2009 	wow	Only stoped here for 1 night on the way back from our hols but would have liked to have stayed here longer. The room was of such a high standard for a London hotel, only £109 for 1 night - bargain. The room was really nice with modern decor and layout. Bed was so comfy. Kettle with all associated equipment was appreciated. Bathroom was very modern and had a great huge bath tub (as well as a shower. Room was a good size. Overall it was brill and I will definately be going back. Only downside was the noise from the road below, and the bar man who said it was too late to make us the couple of cocktails we wanted. Though the bar was still open, I just think that he couldn't be bothered - do they want your money or not?. However, determined we did have our cocktails the next day and it was worth the wait (I recommend the lollipop, yum yum. Great location, great room and exellent value.	
Oct 5 2009 	Perfect Location	The hotel's location is excellent. It's just some minutes away from St. Pancras station where there is access to London Underground and Eurostar service to Paris and Brussels. So it's perfect for travelers arriving from continental Europe by train as there's no need to take a taxi. You can reach all important sights within some minutes by tube. There are also many restaurants and cafés near the hotel.For a London hotel our room was very big and comfortable but it was also very loud as it faced busy Euston Road. I would recommend to ask for a quieter room on the other side of the building. The room was in a good condition except for my mattress which was already worn out. The only thing I missed in the room was a second seat.The quality of the buffet breakfast was very good. The choice was also good but I wouln't have paid 15 £ for the buffet if it wasn't included in my room rate.The staff was friendly and helpful and there were no problems at check-in or check-out.	
Oct 4 2009 	Very Convenient	Stayed for 3 nights over the weekend in a standard double room. Arrived at about 12 noon on Saturday and was told that our room would only be ready at 2pm which was the official check-in time. Explained our situation to the guy at the check-in and he promptly found us a room in 10 minutes so it was a really good start. The room was adequate, nothing luxurious but good and clean enough. The best thing about this hotel is the location. Everyone has already mentioned its proximity to the St Pancras &amp; Kings Cross station but this hotel is also within walking distance to the Euston station and bus terminal. Stayed at Hilton Euston last year but definitely prefer the Novotel.	
Sep 22 2009 	Excellent Location and Great Staff	Had 3 nights at the Novotel St Pancras and was very impressed. The location is less than a 5 minute walk to King Cross station to connect with the Eurostar to France and other destinations. The service from the front desk staff was excellent.Queries about buses and tube destinations was explained in detail without any concerns ...Very professional staff.The room was of a high standard with coffee/tea facilities,clean and new furnishings and a comfortable bed.There is of course internet in the room at a charge...BUT if you went downstairs you could connect FREE to the British Museum which is next door if you have WIFI on your laptop. Found the hotel easily as on the Piccadilly Line on the tube...Would stay here again for sure...	
Sep 22 2009 	central and adequate	The Novotel St Pancras is only a block away from the station where my Eurostar was coming in. So, it was very central. The rooms ware large and clean and although the hotel is situated directly at Euston Road, there is no incoming sound from the traffic. In the neighbourhood there are many restaurants, pubs and places where you can have breakfast, so don't go for the very expensive breakfast the hotel offers. They charge about 15 Ponds while you can have a good breakfast for a third of that price in more than a dozen places in less than a 10 minutes walk. On arrival it was a pity that although we had specifically asked for a twin room with two beds, we got a room with one bed. When we went down to reception, we were told that the room also had a sofa-bed. Well, that sofa was about 1 meter and fifty centimeters long and unless you are a small child, there is no way you can sleep in that. And the fact that there were no blackets or pillows on the &quot; sofa bed&quot; was a giveaway that the primary function of the sofa wasn't a bed, but a couch. We told the receptionist that we would't accept the room and wanted the room that we had booked. She tried to convince us with the argument that it was a very large room on a top floor, but when that didn't work, a sigh followed that wasn't very professional and she finally gave in and gave us our twin. Another negative thing was that they kept adding the breakfast to our online bill as displayed on our television. Every day we had to go down and explain that we didn't use the breakfast in the hotel because of the above mentioned reason and then it would be taken of the acount, but having to repeat that step every day was a bid frustrating and time-consuming. For the rest the hotel was alright for a short stay. No swiming pool, but a lot of London city hotels, even the four star one, don't have one. If the trouble at the reception and the mix-up over the billing of breakfast hadn't occured, I would have rated this review with four stars instead of three. I do think that the hotel is worth the money and when in London will visit it again.	
Sep 22 2009 	No issues	This hotel is fine if you are spending most of your time out and about, however it is not very close to the tourist spots. Located a couple blocks away from St. Pancra/Kings Cross station.Rooms were fine and clean; although showing some wear - cracked tiles in bathroom and chipped furniture but nothing that would put one off.Booked on Expedia.ca for $157 Cdn/night - not bad all things considered.	
Sep 21 2009 	Really nice hotel clean close to stations what more could you ask for?	We got the hotel for a discounted rate of £298 for three nights on booking.com, still quite expensive but thats what you pay for a four star hotel in central London. Room was huge with a nice flat screen tv, huge bed, iron, safe etc. Staff were friendly and room was cleaned every day. The only bad things I have to say are that:I hated the bathroom door- it was made from frosted glass which means anybody in the room with you could see you on the toiletThe road outside was very busy at night so it was best not to open the window but there's an air conditioning fan so that wasnt really a problem.	
Sep 20 2009 	Good rooms great location great breakfast	I stayed at the Novotel St Pancras with my father in February. We had landed into Heathrow quite early in the morning, and despite arriving at the hotel at around 9.30am, our room was ready. Felt great to have a shower and a rest after flying all the way from Adelaide!Unfortunately Qantas managed to lose dad's luggage, but the staff at the hotel were very helpful. They kept in contact with the airline, organised its delivery, and upon returning to our room after a day out, the suitcase was there in our room. They really went above and beyond to help us out!One of the best things about this hotel is the location. The Heathrow Connect took us to Paddington, and then we had to catch the underground to Kings Cross St Pancras. But this hotel is basically a block away from the station. There's heaps of underground lines that run through it, so you can get almost anywhere in London, and you also have the Eurostar and Gatwick Express. It's close to Euston Station and being on Euston Road there's a myriad of buses to choose from. We're keen walkers and so we went along Euston Road and then down Tottenham Court Road to Oxford St. I would say it's about 20-30 minutes' walk but you could take public transport there too. It was also quite easy to walk to the British Museum as well.The room was medium-sized and comfortable. The hotel has obviously been renovated recently, because the bathroom was very slick and shiny. If you do want to stay at this hotel, then make sure you get breakfast included, because that's fantastic. There are hotel breakfasts, and then there's the Novotel St Pancras breakfast. I've never tried a buffet breakfast with such a variety of foods. They even have probiotic yoghurt!There are a couple computers in the lobby that you have to pay to use - unlike other Novotel hotels, where there are iMacs with free internet. The British Library is across the street and you can sign up to use their wireless internet for free, if you have a Wi-Fi device with you.	
Sep 20 2009 	Awesome location if you're coming in from the rail station and leaving again from it. Other than that.. kinda pricey	We did a 1.5 day in London from Paris during our European vacation. This location was awesome because it's very very very convenient to the rail station and Tube (and this Tube location is like the hub for most of the lines and you can go anywhere in the city from here. The hotel itself is nice, Nice huge fancy lobby with a busy bar scene, 16 plus floors of rooms with a neat view of the city. Room is very clean, Great size, Modern and rennovated design with flat screen and looks higher end. Honestly though this place is pretty darn expensive. I splurged since I didn't know what to expect and couldn't find anything else decent near the train station. I feel like the location was key to me banging out this city in a day and a half.	
Sep 12 2009	if your disabled do not stay at this hotel	I phoned this hotel prior to my stay to ask about facilities for the disabled and was assured that showers were accessible with roll in roll out facilities what they didn't say was that shower chairs were not provided and as there were no handgrips and a large warning sisn advising that the floor tiles were very slippery when wet I was not able to use the shower during my stay I .Due to lack of room beside the bed on both sides it was not possible to get a wheelchair beside the bed to enable you to get in it the only way of doing this was to get in at the foot of the bed and crawl up it to the other end .This room was one of the hotels accessible rooms intended for disabled travellers but apart from being a large room was not at all suitable.A letter to the manager pointing out the problems and suggestions as to how to overcome the problems at minimal expense did not even get an acknowledgement.	
Sep 6 2009 	Nothing special	The hotel is very conveniently placed, especially if you are taking the Eurostar.It is clean but somehow reminded me of an airport departure launge. Not much character.Also, staff were indifferent to say the least.This hotel is ok if you manage to get a good deal but don't expect anything out of the ordinary.	
Sep 5 2009 	Clean Hotel but indifferent service	We stayed there for 2 nights from the Aug 16-18. Our bid was won through Priceline at around US$110 which was a decent price. The hotels location is also near the St Pancras Eurostar station that bring us to Paris which was extremely convenient. The tube station is just before that Eurostar station. We arrived at about 8am in the morning. We weren't offered any early check-in even though we just flew 13 hours to London. Service at the counter was also alittle cold as I guess the staff were waiting to change shifts. The hotel room was big and nice with views of the Eurostar Station and of the London suburbs. Most major attractions are a few tube stops away so I wouldn't recommend if it you as a primary base. We had to catch 0655 train to Paris hence it worked in our favor. Checking out was the same brisk indifferent affair. Overall the room was nice but the service was indifferent... Room for improvement.	
Sep 1 2009 	Terrific place to stay!	We loved this hotel, an excellent location, three big train stations close by so that you could Tube just about everywhere with no problem. The hotel bar was great, and the staff couldn't have been more accommodating. The breakfast was 15 pounds, too pricey for us oldies, but there is a Pret a Manger right across the street with some very good (and healthy) breakfast choices. And don't forget Mabels Tavern, also across the street on Mablethorpe Road but down a little, a very nice quiet...now smokefree!...pub with excellent ales!	
Aug 18 2009 	Fab Hotel!	From the moment my black cab pulled up at the Novotel, the porter was outside my door and carried my bags into the lobby. The staff were professional in their demeanor and super friendly at the same time. Easy swipe card access to the room, which was small-medium size. Flat screen television, controlled room temperature and a mini bar – which unfortunately didn’t work. We informed the staff who arranged for repair/replace. Luckily there was an ice room on level 9. The hotel is located in a great position – close to St Pancras International and Kings Cross Tube. Would definitely stay there again.	
Aug 15 2009 	Great Hotel	Stayed at this hotel before catching the Eurostar. Great Location Friendly Staff and very clean. Would recommend.	
Aug 14 2009 	great location an OK hotel	This is one of the large, chain hotels. There's nothing particularly bad or good in there. I can agree with other opinions in the following:- no need to eat in (breakfast seems too expensive) in the neighbourood you can easily have good breakfast for 6-8 GBP, instead of 15 GBP.- the rooms are called 'superior' but they are quite small, perhaps you should take the 'executive' to feel the difference and some more space.Finally, the reception staff is indeed not really well trained and not too cooperative. At the beginning they tried to 'convince' me that I booked two rooms and then since I checked-in after 2 p.m. I should pay for two rooms. Yet, I managed to 'convince' them to check it again carefully and finally they abandoned this silly idea.The reality was that I did do two reservations: first for the weekend and then another one for the consecutive Mon-Tue as I was staying over on business. Of course, they didn't take a note on this, once they understood this intricacy and should I have not reminded them on Sun evening they would have probably cleaned my room Mon morning and not allow me to stay in the same room.At the end of the stay, I filled in the customer '(dis)satisfaction' questionnaire where I described the above and to my great surprise, I got a letter of apology in a week or so.I don't discourage anyone from staying there as in general it is an OK hotel.	
Aug 10 2009 	Standard	You can expect standard services and equipments for hotels of £100 or so. The room was larger than Ibis, similar to Holiday Inn. We had 2 twin rooms for 4 people, one room had free bottled water but one did not. I asked the front if all the room could have free water but he said no. What was that bottled water?Thinking of some cases that we cannot even have a standard service in the UK, I rate this hotel as &quot;not bad&quot;. But there should be some better hotels in London.	
Aug 6 2009 	weekend break	cant fault the hotel, got a bargain break for the weekend £99 per night including breakfast plus a free upgraded room when we got there. ideal location if travelling by train to euston, less than 5 minutes walk. some nice bars in area. 5 minute walk to St Pancras underground so you can go sight seeing, best hotel in the area. will be staying again	
Aug 5 2009 	Deserves five stars!	Our family of 11 stayed in 6 rooms, for 4 nights. The hotel was perfect in every way: Convenient location for trains and buses, friendly, informative and efficient hotel staff, comfortable, pleasant, spotlessly clean, quiet rooms with very good facilities, super showers, nice views, good air condition, laundry and room-cleaning service, good internett possibilities, well functioning lifts, exceedingly tasteful furnishing and layout thoughout whole hotel - and a pleasant atmosphere everywhere.	
Aug 3 2009 	No friendly staff	This hotel is great but the staff is not friendly They are very detached. Wrong information about taxi fares .Just not the treatment that you would expect in a 4 star hotel. They should teach their staff how to be friendly!	
Jul 31 2009 	Great location - no need to eat at the hotel	Stayed here for a week with my husband. Hotel is in a brilliant location - right between Kings Cross and Euston Stations. Plenty of bus lines pass right by front of hotel if you're not that keen on the Tube. Buy an Oyster card - they're worth their weight in gold! Right next door to the British Library (definitely worth a look while you're there!)No need to eat at the hotel, especially breakfast which is close on GBP15.00, when around the corner you can get eggs, beans, bacon, toast and tea/coffee for GBP3.95. Not the prettiest of breakfasts, but enough to fill you up for the day. So many places to eat across the road from the hotel, around the corner, or within a block: Pret A Manger, Starbucks, Pizza Express, The Euston Flyer and O'Neill's directly opposite, with The Rocket (pub) on the corner, Bella 2 down Chalton Road and Mabel's Tavern within a small block (about 2 mins walk). Also in Chalton Road there is a deli, laundromat and a mini mart (Nisa Local), as well as a handful of other restaurants/cafes.Staff are all pretty friendly and helpful, but most would have another language other than English as their mother tongue (as can be illustrated when I called down to Housekeeping to ask for a bucket for my husband to soak his swollen foot in, only to be brought plastic bags!)Don't be alarmed when you view your bill on the TV and see that you've been charged for breakfast when you haven't eaten at the hotel - they charge everyone for breakfast everyday, and then take it off when it's time for you to pay the bill. A little backwards, but I guess it works for themThe rooms are a good size (we had an executive room), the bed is really comfy and the view was pretty good too (we were on the 12th floor). You could do a whole lot worse than to stay here.	
Jul 29 2009 	Convenient location decent hotel	I stayed with my eight year old using Tesco deals vouchers. We had to pay £155 per room using the vouchers which normally would have cost £99 but I wasn't complaining because it was such a convenient spot for arriving at St Pancras, a five minute walk. Easy check in, a room on 6th floor with a view to the British Library. Everything I needed was in the room and I had no problems at all with it. No breakfast card had been left and staff brought one within 15 minutes of being asked. Spotlessly clean and good housekeeping. My friend was staying in the executive room and she too received excellent customer service. The staff even phoned her as soon as she arrived (in her larger, more equipped than our room) to see if everything was okay. The only thing I didn't like was the breakfast. On both mornings it was quite cold, things were missing that I had asked for, the coffee was bitter and the hot chocolate was instant made with water! Other than that I would recommend it and would stay again.	
Jul 27 2009 	Nice hotel decent location okay staff	I won this hotel off priceline at a very good price. The room was nice, clean and had everything we needed. The location is good, not in the heart of downtown, but very close (15 min walk). Not being in the heart of the city was better for us because the heart (Trafalgar Square, Soho, Leicester) is extremely crowded and crazy. Its right next to St. Pancras station, which made it extremely convenient to to anywhere in the city. The staff, however, didn't seem to have very many good recommendation regarding the restaurants in the area, but other than that, they were what you would expect from a hotel staff.Don't eat in the restaurant, way overpriced and London food is already pricey enough as it is.	
Jul 27 2009 	Good surprise.	I've stayed in Novotel's before and they can be a bit shoddy and downmarket. Novotel St Pancras was a pleasant surprise. It's in a prime location between Kings Cross/St Pancras and Euston station. Euston Road isn't the nicest area (although it's getting better) and the hotel stands apart from the other hotels in this area.Room was very spacious for London. Good amenities: ironing board, trouser press, safe, mini bar, flatscreen tv with ipod docking facility, air con. Only downside in the room was the queen bed which was too soft for my liking and sunk down in the middle.Decent gym on the fifth floor with good views of St Pancras station.Didn't have breakfast but did have a club sandwich in the afternoon which was great. Pleasant modern bar/restaurant area.If you need a hotel in this area (for train connections) then the Novotel is your best bet.	
Jul 25 2009 	Usual great hotel but what's happened to the evening buffet?	I've stayed at this hotel numerous times on business so a logical choice for a few days away for a short break. Had a twin room and as always, spotlessly clean. Breakfast brilliant as always with staff that can't do enough to help - provided me with soya milk upon request. The biggest disappointment though was the evening buffet wasn't avilalbe for either of the two nights we stayed, despite this being advertized in the foyer and I was told when I checked in that that was still available. We didin't fancy the menu (poor choice for veggies) so ate at the Pizza express opposite - this was very good incidentally and very reasonably priced if a little noisy.All in all yes, I will continue to use this particular Novotel as overall it's very good. Disappointed with the facilities for the evening meal though as the buffet was exceptionally good. The restaruant was almost empty when we stayed which probably speaks volumes.	
Jul 21 2009 	Excellent hotel in a great location	This is a really good hotel in a very good location in London. Excellent service from staff and the hotel has a very nice bar and restaurant. Rooms on the top floors have a great view of London. All the rooms are very clean and comfortable. Located right beside St. Pancras station and there are plenty of pubs, cafes and restaurants nearby. It is a bit pricey though.	
Jul 20 2009 	Beautiful spacious rooms: Great bar/restaurant staff	As we booked quite far in advance on-line we got a really good rate for this hotel. We were so impressed with the quality of the rooms. They were spotlessly cleaned every day and so large. Staff were fantastic particularly at the bar and restaurant. Remembered us during stay and were so helpful. Gym is clean and quite well fitted out. Great location for anyone using Eurostar or St Pancras international train station.	
Jul 17 2009 	Novotel gets a thumbs up again!	We arrived at the hotel to be greeted with a warm, friendly - even enthusiastic welcome.Work had booked us a twin room, which was lovely. Exceptionally clean, roomy and even rather plush. The bathroom was modern - perhaps slightly too modern! - We wasn't too keen on the see through door, but that we could live with! The beds were very comfy and considering the close proximately to Euston Road, outside noise was minimum.The room was equipped with a flat screen TV, a safe, hair-dryer, trouser press and plenty of storage, which obviously wasn't needed for our short stay.Due to oversleeping we sadly couldn't make full use of the wonderful buffet breakfast that this hotel has on offer. We managed to grab a muffin and some fruit though, as it seemed a shame to waste the money spent on paying for breakfast.My only slight concern, maybe on the health and safety freak side, is that the fire escape route (stairs) wasn't clear from the second floor. I usually always take the stairs in order to orientate myself with the evacuation route, however I could not find a way other than what looked like an area that seemed out of bounds. If anything could be improved in this hotel I would say it was clearer information regarding evacuation, not to mention a viable alternative to the lift, for those of us who are not too keen on them! But then again, I was extremely tired, so perhaps that effected by ability to not get lost - in what is a rather huge hotel!Novotel usually falls into the bracket of 'budget hotel' but this hotel is definitely far superior to other 'budget hotels' in the Euston/Kings Cross area. This is unfortunately reflected in the price, and in all honesty if work didn't pay for my accommodation then I would consider a cheaper alternative. However if you want to stay in a hotel of a higher standard and don't want to fork out an absolutely ridiculous amount of money, then Novotel St. Pancras is probably a good bet!The hotel is very close to both Euston and Kings Cross (St. Pancras/Eurostar) stations, and therefore public transport links are easily assessed. There is also a good range of restaurants, cafes, bars and pubs in the local vicinity and a small theatre (The Shaw Theatre) directly next door.I will almost certainly be staying in this hotel in the future - as I have informed work that it is my preferred choice.	
Jul 6 2009 	missed the mark in a number of ways	hotel conveneint for euston and kings cross/st pancras. got a room and breakfast for £99 which I thought pretty good. Had booked a queen bed room. got given on with two singles which smelt of tobacco even though it was said to be non smoking. asked to be moved - eventually got a room on 4th floor which looked out onto euston road. would recommend riding lift to the top to get godd views of london skyline.bland room and corridor decoration. TV stations pretty good choice. ate in restaurant for dinner. food seems overpriced - have eaten here before and I think the quality has gone down. tried to get a dessert but nobody would serve me so gave up after a quarter of an hour. main issue was road noise - even on 4th floor sirens and alarms easily heard, seemed to go on all night and very disruptive. breakfast was pretty good though coffee was bitter and they only do sliced bread, not toast - how peculiar.mentioned the road noise on booking out. was advised to ask for a quieter room round the back next time. would suggest those that need a good night's sleep do the same.	
Jul 5 2009 	Very good stay	I really enjoyed staying at the Novotel St Pancras. It’s the best Novetel I’ve ever stayed at so far.Its location is really convenient, especially if you’re taking the Eurostar! It’s within few minutes away by walk from King’s Cross-St Pancras, and Euston stations. You can get very easily around London from there.Plus you have plenty of places to grab something to eat nearby -Tesco, Prêt à manger, Starbucks and tons of pubs ….The hotel is very modern and bright. You have to get into the panoramic elevator once! The view over London is great from up there, especially at night.Reception staff was extremely helpful and pleasant.Room was comfy and clean, and bathroom was spotless! No shower curtains, so water spills out a bit when you’re taking a shower. Plenty of big towels are provided, so no need to bring yours.The bar down at the lobby was alright, efficient service and nice drinks-although a bit pricy. Breakfast is also expensive there -£16. I definitely would go back there!	
Jun 22 2009 	Excellent location for Eurostar	Stayed here for one night en route to Paris, just 5 mins walk to St Pancras. Reception was friendly and courteous and upgraded us to an executive room. Lovely room with fantastic panoramic view of the city, coffee maker iron etc. No robes. Bed very comfortable and the room quiet as we were on a high floor. Breakfast was sublime, everything you could wish for..had I not been catching the train I would stayed and grazed all day! I agree that their own website price is quite steep compared to other local hotels, but this one is very good quality and worth the extra. Only downside to our stay was the lack of good restaurants in the area (however this is nothing to do with the hotel).We got a good deal thro Yeego, which I was rather wary about, but my concerns unfounded. Would recommend this and would return should we be travelling by Eurostar again.	
Jun 16 2009 	WOOP WOOP!!!	Brilliant location and Hotel. I would say it is five star not 4. Room service was called at 7am by myself and dad. They were there with our breakfast in 10 minutes. We got a great deal for price but if you were to travel via there website than go elsewhere but you do get quality for money. A minute walk to St.Pancras and 5 minutes to Euston I was in a perfect location. Brilliant gym and service and great tv .I might have been blinded though as I was going there celebrating a wonderful win for BURNLEY FOOTBALL CLUB. That made the tv better watching Elliot score on it on the highlights!Good.	
