	Great Hotel	My husband and two teenagers stayed at the Hilton Islington from November 20-26. We arrived at the hotel at 10:00 a.m. and our rooms weren't ready until after 1:00 p.m. but the hotel staff did everything possible to make us feel comfortable. We reserved a double room for me and my husband and a twin room for the kids. Our son came over from Swansea and stayed in the twin room and the kids weren't crowded. Both rooms were very clean and there was plenty of room to get around. We had questions every day for the concierge and they were very helpful.	
Aug 4 2009 	Cheapish but very average hotel. Nice area not too far from city	Islington is certainly a pleasant part of London. Lots of restaurants, and you feel fairly safe. Its a short taxi trip away from the city. If you'd prefer to take the tube (5 min walk) then youre relying on the Northern line working, as its the only like that passes through the Anget tube station at Islington.The hotel lobby area is certainly 4 star. Unlike most 4 star hotels rather than opting for a minibar instead they have a vending machine as you exit the lift on your floor. Each floor has different machines. On my floor there was beer, small bottles of wine, or mini spirit bottles sticky-taped to mini coke cans, as well as toothbrushes, razors etc. Interesting idea but not what I'd expect from a Hilton. From the vending machine it was a short walk to my room down a rather dated and stale smelling corridor.I had a 'king' room (the standard rooms had sold out). There was a king sized bed and decent sized flat screen TV. There was a single-seater lounge chair in the corner, and a large unused area. I guess this area would be good if you were into pilates or yoga. I just cant work out why they didnt just put in a larger sofa. Luckily I was on my own. If I had a guest then where would they sit? Hmm.They supply bottled water, which is nice, but at 4 pounds a bottle I gave it a miss. Heres a hint - the water is cheaper at the vending machine.The room was very clean. However on two separate occasions the cleaner left a rubber glove in the bathroom sink. And one of the towels must have had a previous life in one of the smoking rooms.I used the iron, but this leaked dirty water onto my business shirt. This certainly isnt the first time that this has happened to me at a hotel and I had a spare shirt so I wasnt too worried... I think hotel irons get dropped quite often, so I cant really blame the hotel.The lighting in the room was quite dim. I think its because they have switched to compact fluoros to cust costs &amp; save the planet. They probably just made the mistake that most newbies make, believing the label when it says &quot;8W is equivalent to 60W incandescent&quot;, which of course is bollocks (to use the lingo). If you have trouble reading in dim room (which I do), either sit at the desk and use the desk lamp, or bring a decent torch.Internet wasnt cheap at 15 pounds a day. If youre staying for two days or more then heres a tip - pop down to the local &quot;3&quot; mobile shop and buy a prepaid mobile broadband dongle for 29 pound. A gig of download valid for 30 days costs 10 pound.My room key stopped working twice. I had to go down to the lobby and they just reprogrammed it and it was fine. Just a tip, dont risk going to the vending machine in your PJ's just in case you cant get back in and have to go down to the lobby.Sorry if I am being too negative. To even things up I have to say that the beds were very comfortable, the curtains blocked out the light well, and the room was certainly fairly big for London standards.Would I stay here again? Maybe. London hotels at this price are hard to find, and beggars cant be choosers.	
Aug 3 2009	Hilton Islington	I spent two nights staying at the Hilton, Islington, London as it was convenient for a course my husband and I were attending in the City. We checked in and found our room to be comfortable and clean. The staff were really helpful throughout our stay and the position of the hotel is ideal for sightseeing and within walking distance of the tube.I have to admit, I usually hate chain hotels as they all seem the same world wide, but the warm welcome from the staff at this Hilton made our stay very enjoyable, the staff were attentive without being bothersome. We had dinner at the hotel both nights, the food was better than we expected and quite reasonable price wise. We booked a last minute deal and would certainly go back and stay there again, should we have to spend time in London. My only criticism is for the £15 per day fee for internet use in the bedroom. There is no wi fi and you have to attach a usb cable to your laptop, which meant only one of us could use a computer at a time.	
Jul 29 2009 	Great Value	Only stayed one night. Very convenient. Very comfortable. Great location for exploring all that Islington has to offer. Excellent breakfast with plenty of choice. Superb value for money if you can get a deal.	
Jul 19 2009 	May not have been the absolute best choice as to location but good nevertheless.	I took so much advice from Trip Advisors Members before I finally booked at Hilton London Islington. I chose there because of the high cost of eating breakfast daily at the Hotel and because there were supposed to be lots of cafes close by where we would be able to get breakfast. Well that was absolutely true. We eat breakfast at small cafes close by every day and were very happy. The only thing is that Islington is not near to anything else; well it is near to the Angel Tube Station which we found handy. However when we wanted to go to aDinner/ Show we had to take Taxis and after the Show, wait quite a long time for the taxi tocome after we had called for it. The service at the Hotel was excellent: checking in and out - no problem; restaurant staff helpful and friendly and the Concierge Staff particularly Anthony exceptionally helpful. Anthony arranged our Dinner/Show for us and the taxi service to get to/from there, and also on leaving, our transport to Gatwick Airport by The Dot to Dot Express.Our experience at Hilton islington was very good.	
Jul 19 2009 	Not too close....not too far	My husband and I, along with my two sisters stayed in the Hilton London Islington on our very first trip to London. This hotel is in a great location. It is far enough away from the &quot;touristy&quot; areas, but it's a 5 minute walk to the underground (Angel line). AND, just add another 10 minute ride and you are in central London. As for us, we were also visiting friends who live in Islington so this was a perfect location for the group. I would recommend getting an oyster card or the London pass (check the zones when buying these cards as most sites are in Zones 1-3) if you are staying for longer that 5/7 days.  We booked the Executive Suite/Bed &amp; Breakfast package and it was lovely! Our bed was super comfortable with flatscreen TVs and the breakfast/ was very good - except for the scrambled eggs. They had a strange, watery yet (???) rubbery texture, but everything else was delicious (especially the variety of sausages, breads, and fruit).The toiletries (Evelyn &amp; Crabtree) were replenished daily as were the towels. There is also a coffee/tea maker in the room and bottled water. Excellent housekeeping and excellent reception. The staff is very accommodating and extremely helpful with dinner reservations and booking tours. All in all, top notch service.  The hotel is in a great neighborhood with tons of restaurants, pubs and shops. It was also a fraction cheaper going out to eat/drink and shop in this area. We spent a few days just exploring Islington and it reminded me a little bit of the the West Village in NYC. As I mentioned above, the underground is a VERY short walk and the buses are as just outside and will take you into the city center.  We had a wonderful time in London - absolutely LOVED it there and can't wait to go back this year in October!	
Jul 15 2009 	Nice hotel near Tube	Location is near St. Pancears? where the Eurostar stops about 2 city blocks away. One of the reason this hotel was chosen. Hotel almost right across the street from Euston station. Walking distance to British Museum and British Library, for Southern Californian no less. Staff was excellent. Very helpful. Gave my daughter some candy when we checked in which of course made them happy. Room was decent size. Hotel was able to put 2 roll-a-way beds into the room at no additional charge. Room faced interior courtyard so there was nothing to see. But also no noise at all. Room had the basic, desk, iron etc. Nothing special. Bathroom also typical and clean. Hotel did give us bottle water and biscuits every day. Breakfast is good but typical. I made the mistake of having a 7AM flight out of LHR. Hotel was able to arrange car service to take us at a reasonable price.	
Jul 14 2009 	Excellent value for money	Booked this hotel through Londontown.com at a great weekend rate, including an excellent buffet breakfast . At first, I was doubtful to book because it was my first visit to London and I thought maybe I should look for a more central location, but this hotel proved to be a perfect choice. The center of the city on a summer weekend is a madhouse and the Islington location is not that far out. We had a nice 20 minute walk to the British Museum and when we wanted to get somewhere fast with the Angel tube stop at a 3 minute walk we could get anywhere in the center in less than 10 minutes, even on a Monday rush hour! The Islington area is lively and full of shops, bars and restaurants, but is relaxed enough to be a nice respite after a day in the city.The hotel is very nice, convenient, comfortable and modern. The rooms are great, very nice decor, big, extremely comfortable beds, everything looks brand new and is spotlessly clean. It's worth staying in Islington just to have this, everything in the center in its price bracket looked straight out of Man about the House. We also had a great view of the City skyline. The only negative I can say about this hotel is that it doesn't have minibars in the rooms and that the hallways are a little ugly. The brick walls don't look very appealing. The staff was absolutely brilliant, from the very nice gentlemen that checked us in at 3 am after a disastrous Ryanair flight, the very nice concierge, the great breakfast buffet servers and the very nice assistant manager that helped me retrieve a forgotten item in the room safe when I was running late for the flight back. Everybody seemed genuinely nice and caring about our stay. I will surely return on future trips to London and I've already recomended it to several friends.	
Jul 6 2009	Wonderful	After spending the previous 10 days at 3 hotels near Kings Cross, this Hilton was a fabulous relief. Beautiful room - twin - the beds bigger than usual. Front desk very helpful and courteous. Quiet. Enjoyed the location in Islington - 2 min. walk to tube station.	
Jun 19 2009 	Good hotel just don't let them book you a mini-cab	Very warm welcome by Hanna on the honors desk and the staff were all smiley and efficient. The room service offered a good choice though the £5 tray charge is very high. The rooms were clean and quiet and the beds comfortable. I stayed on 2 separate nights and the service was consistent.However I asked them to book me a mini cab on my first stay and was quoted through the front desk £12 to Euston Road which was steep. The Crescent Cabs driver came in to find me and let me struggle with my case. He then tried to charge me £14 ! On the second stay I walked 100 yards to the main road and a black cab did the same journey for £8.20. So the hotel is great but stick to black cabs	
Jun 15 2009 	This was absolutely ideala great hotel.	This hotel was absolutely great. It was in a great location in Islington, amongst shops and restaurants and within a 5 minute walk of Angel tube. It was easy to drive to from the M40/A40 and lots of parking available, at reduced rates for the weekend. (60pence per hour) The beds were one of the most comfortable I have slept on. Room was very nice, with airconditioning. breakfast was huge, a grand buffet, with hot and cold. Staff were extremely pleasant, and helpful, and allowed us to check in early. All in all, a really nice,weekend break.	
May 25 2009 	Sometimes you get more than you pay for	Normally &quot;you get what you pay for&quot; and a bargain price at a central London hotel might send shivers down the spine of experienced travelers. But when you get a great discount price at a Hilton, you can be pretty sure you're not going to be shafted and we certainly weren't. I booked this hotel on Londontown.com because it came up with a rate of 65 pounds per night, prepaid. That's astonishing! Even better because the pound is low compared to the Canadian dollar. The credit card was charged $125 CAD per night. Islington is just a little away from the main centre of London but this hotel is a block from the Angel tube station and there are a number of busses that go by on Upper Street right outside that take you anywhere you might want to go. The location was ultra convenient for us because we arrived at St. Pancras International and were leaving by Euston. The hotel is away from the street so you don't get traffic noise either. It's beside a business centre so maybe that's why there are good deals on weekends, I'm not sure. We arrived about 7 p.m. and were checked in straight away with efficiency and a smile. The room was a basic double (queen size bed) but it was roomy and so was the bathroom. Bright and clean, the decor was muted tones and there was a nice lounge chair in addition to the large desk with ergonimic chair. The bed was comfy and the pillows felt like clouds. We ordered room service on our first night. The designated button on the phone didn't work but reception took my order and Room Service called back to confirm shortly after that. They delivered promptly when they said they would. The buffet breakfast was included in our prepaid rate, another bonus, and it has a wide variety of choice.	
May 8 2009 	Below par	Stayed here after a theatre visit in March 2008 and was not impressed. The service at check-in was cold and un-helpful which started the stay with a bitter note. Being a Hilton, I expected a lot better of the room which turned out to be very basic and, regrettably, not unlike Travelodges I've stayed in.Room service was painfully slow, overpriced and not at all worth it.Checking out was the deal sealer. The Greek gentleman was incoherent and seemingly couldn't understand much of the English language. He was rude, arrogant, ignorent, snappy and I could go on.All the place has really got going for it is the half-decent location for restaurants and Carling Academy etc and the bed's were pretty comfy. You'll find miles better in London!	
May 6 2009 	Another great stay	We arrive about 11.30am and we were checked in within 10mins including having a room ready for us.The room was clean - spacious We booked the Hotel using hilton honours points and it was room only - nearby is a great selection of restaurants - for breakfast we eat at a place called S/M lol a must place for all day breakfasts ( 2 full english - including toast and free refills of tea or coffee £14 )Back at the hotel staff checked us in online for our home flights and printed out our boarding cards ( no charge )My wife and i have stayed at the hotel about 5 times - we've had no problems in the past and none this time.The hotel is less than a 5min walk from the Angel tube station - some lovely antique shops nearby.All in all another great stay i'm sure well be back again in the furture - great helpful/friendly staff.jj.....	
May 4 2009 	Great hotel good location - excellent deal	Spacious room with loads of storage and different seats. Large bathroom too. We booked a great deal and they threw in breakfast on arrival too which was an enormous buffet selection of both hot and cold food from bacon to bagels to bran flakes and everything inbetween!It is located 5 minutes from Angel tube station and near to some really good shops, posh Islington High Street had some really nice restaurants and pubs.If we got a good deal again we'll definitely stay again.	
Apr 23 2009	hilton islington	We stayed at the Hilton Islington for the last 2 nights of our month in the UK to be close to my daughter who lives in Islington. We were shown to a delux room and on and before entering it had a strong musty damp smell but thought that we would just put up with it as it was a bother to complain and change rooms. After spending one night in the room we both felt ill and could not even face up to breakfast. We did speak to the desk and to there defence they moved us to a suite which was extremely nice and we were very greatful. The staff helped us move and when we spoke to the Housekeeper she told us that the smell was from the carpet and the leak under the bath. I found that very annoying knowing they actually put us in there in the first place. When you left the lift it had a smell of being musty and mouldy.On the first night we had dinner in the restaurant and out of the 3 meals we ordered one was correct with the other 2 going back to the kitchen one for being cold and the other not being what was described on the menu so they replaced them after we spoke to the manager. The waiters didn't know what was what on the menu when questioned and had to keep running away to check but was very pleasant and apologetic as he normally was bar staff. Then there was the breakfast staff and that was another experience they stood around doing nothing looking at each other and talking and when we had finished we had to ask them to clear our table not to mention the cold tea and coffee. The actual breakfast buffet was very nice and the reception staff extremely helpful but the restaurant staff were hopeless.So in summing up I will never stay there again.	
Apr 7 2009 	fantastic service	My wife and I stayed for 3 nights in April 09-every member of staff was so nice and courteous and friendly -couldn't do enough for you. Hotel handy to tube but best part was availabilty of buses-seemed you could go anywhere in london directly by getting on a bus from just outside the door-great hotel!!	
Mar 29 2009 	Great Place to Stay	Stayed here for one night, four adults, 2rooms. Both rooms were very clean &amp; comfortable. No problems at all. Great location, right in the heart of Islington. Will def stay here again.	
Mar 29 2009 	Fantastic deal at a central London Hotel	In London for a wedding locally. Got a great deal through Expedia. The rate was £67 for B&amp;B (inc taxes) for their standard double for both myself and my wife. Both the room (336) and en suite were large by central London standards, large bed, and flat screen TV. The above bath shower was powerful (not something I can say about many hotel showers) I don't know if the hotel has been recently decorated but the decor was immaculate. It looked out onto a quiet Islington backstreet. Breakfast was a very nice buffet with high quality produce all round. All of the staff were courteous and friendly. I wouldn't hesitate to recommend this hotel especially if you can get a deal	
Feb 20 2009 	One of the best hotels outside central London	I have been a regular customer of the Hilton Islington. While it is outside the centre of London it is still only 15-20 minutes away by tube. But the area around the hotel has some very good bars and restaurants and is a very relaxing but cosmopolitan area. While the hotel has the feel of a business hotel it is perfect for shot visits.	
Feb 10 2009 	Great hotel to stay in	I booked this hotel after seeing an advert for the Hilton January Sale and I couldn't have been more pleased with the hotel.I have stayed at many hotels around the world and this hotel is well up there with the best I have stayed at.Location is good, the Angel tube station is only 5 mins walk up the road. This is on the Northern line and just one stop from Kings Cross tube/station which is central for must routes for the major attractions/areas to see in London.The room was lovely, very clean, decor up to date and big wide-screen telly in the room. I had breakfast included in my deal I was very pleased with the buffet style breakfast on offer, everything was well stocked.Staff were helpful at all times and couldn't have done more for you.Overall I would definately stay at this hotel again.	
Jan 31 2009 	I'd Stay Here Again	My fiance and I stayed at the Hilton from Dec. 26-28 and were very pleased with our stay. While we want to be comfortable when we travel, we also have to watch our budget since we're saving for a wedding in a few months. So when we found the Hilton for about $90/night, it seemed perfect. However, after reading some of the reviews, we remained cautiously optimistic. We weren't disappointed!The front desk was extremely welcoming and helpful. Upon mentioning that we were hungry, the concierge offered to locate a few restaurants on a map. He then gave us a run-down of a few attractions and events in the area. There's quite a bit of activity on the street: various restaurants and pubs, a Starbuck's and lots of shopping. The hotel is tucked away from the main road, so it's not too loud at night.The Angel tube station is only about three blocks away from the hotel. The station iteself is not in the most convenient part of the city. You have to switch lines a few times to get to the major parts of the city, but that's manageable as long as you're not returning to your room a lot.The room was very nice and spacious, especially compared to other hotels in cramped European cities. The bed wasn't the most comfortable bed I've slept in, but it worked.I would definitely stay here again, especially if I can get the same rate.	
Jan 26 2009 	Noisy waterworks and aircon - otherwise great!	Fantastic location, excellent facility. Great price too - delighted with the value for money in the Hilton January sale including a very good breakfast. Lovely staff - everyone was very helpful leading to a hassle-free stay. Comfortable room and free water which was a lovely touch and much appreciated. Only issue was the noisy aircon and my neighbours' plumbing - very noisy early in the morning. Will consider again when I need to be back in the area - if the price is right.	
Jan 26 2009 	Nice Surprise	I was ecstatic that my price for $75USD was accepted by Priceline for a Hilton hotel. I looked up tripadvisor to read about the hotel and the area, and read overall good things about it. I also looked up the rate of this hotel on the Hilton.com website and was astounded to see it going for 100 pounds a night; at the time I looked that was $150 USD! My stay did not disappoint since upon arrival I found a nice, hip area with lots of bars and restaurants and a nice hotel. The staff was very pleasant and efficient, a quick check in for me and I was off to my room. The room was of good size and the bathroom was spacious. The water pressure was good and the housekeeping did a great job at cleaning the room. I did not have breakfast at the hotel, so I cannot comment on that. I was a bit peeved that the internet was as expensive as it was (Like 15 pounds per day), but it is what it is. I just went to an internet cafe down the street for like 1 pound a hour; which was fine. I did get billed for eating at the restaurant when I did not ($45 USD); I found this out 2 days later while in Amsterdam as I was checking my online purchases billed to my credit card. I called and spoke to the manager in their billing department and he called me back a few minutes later and admitted there ahd been an error and that he has issued a credit adjustment. 3 days later it posted to my credit card account with no problems. Overall, I would defintely stay at this hotel again if I can get a priceline rate; for $75 USD it can't be beat!	
Jan 19 2009 	Great hotel for the price	I've stayed at this hotel twice now. It's on the very trendy and central Upper Street in Islington and is surrounded by nice cafes and restaurants.The hotel is just a standard Hilton and to me that always says &quot;nothing special to look at&quot;. But the rooms are of a decent size and very modernly decorated. You get big lcd screen, a desk and seat and another seat. Plus the bed is very comfy. And it's only 2 minutes from Angel tube station.I got my latest deal for £60 for the night which included the cooked breakfast buffet. There is surely no other hotel deal in the UK as good value as that at the moment?)People have mentioned that this hotel is nothing special from the outside, hate the tacky vending machines, and were angry that they got a smoking room.I agree that if you get a smoking room when you've specifically requested in your notes that you don't want one then that's fine.But it's still 5 stars for me.	
Jan 19 2009	hilton islington	We had a fantastic stay at this hotel. The staff were extremely friendly and helpful from the moment we arrived and even though we had paid an incredibly cheap rate for a london hotel we were allocated a brilliant room. The breakfast buffet offered a good choice and was well stocked and the cooked food freshly prepared. Our room was very clean and toiletries and tea, coffee etc replaced daily. We have stayed in dozens of hotels in london and this hotel was by far the best.	
Jan 17 2009 	OK chain hotel	This hotel is in a good location - a short walk from the Angel Islington almost opposite Islington Green, in an area full of bars, cafés and restaurants. This is a fairly smart and comfortable modern chain hotel. Large comfortable bed (actually two singles made up together), well-equipped and plenty of nice touches, bath as well as shower etc., very helpful staff, nice bar area. Less impressive are the feeble thermostatic blower heating (a basic electric heater was provided as well) and the level of noise (TV / voices / plumbing) from adjacent rooms. The shower hose leaked, and internet access is expensive (£15). Overall this is a comfortable place to stay but it wouldn't rate it in my top five for similar-priced hotels in central London.	
Jan 13 2009 	Not a great experience	We got a room half price so were pleased with the price. Room was pleasant and clean, reception staff very friendly and helpful. We returned to room half through evening to find it smelt very strongly of cigarette smoke despite being a non-smoking room on a non-smoking floor. Called reception who told me as the hotel was fully booked they would send someone with some air freshener. A very snooty and on the verge of rude porter (despite being very nice to him) came to our room with foul smelling spray which was worse than the smoke. Night very quiet, despite being in 1 of a pair of adjoining rooms and bed comfortable with large flatscreen TV. Unfortunately breakfast was an absolute mess. Half the staff were again snooty, rude and unattentive. We had to queue to get into the restaurant for 15-20mins where we were given a glass of orange juice that had been sitting in the sun for far to long. We then decided to go straight for the cooked breakfast as everything apart from ham, cheese and cereal had run out and was not being noticed and replenished by staff. We then had to queue for another 15 mins for a cooked breakfast as the chefs were not able to cope and were not noticing the food getting low quick enough - I found this the most surprising element as I would think that a chef at the Hilton could multi-task effectively but apparently not. The chef at the front of house couldn't cope with asking for things in time, and cooked the eggs so quickly they were still raw - there were about 15 people waiting at this point. The waitresses, although I understand were busy, simply were unattentive and I got asked if I wanted tea or coffee near finishing my food. Eventually the sliced bread was replenished in the restaurant so I could have a piece of toast - there were no other items ie. the pastries, waffles and muffins there were supposed to be. I asked a waiter where the butter was and he could not understand the word 'butter', basic english for working the breakfast shift at a hotel I would have thought. It was the worst breakfast experience I have had at a hotel ever. The hotel is ok if you can get a good deal ie. not over £60 a night. The rooms were nice, reception staff very helpful but breakfast appalling - go at 7am or forget it.	
Jan 1 2009 	Great on discount rate	Given the very cheap rate we got through Hotwire (about 100 USD/night), this was a terrific bargain. Better beds than most English hotels, large room, widescreen TV, nice location in the lively Islington area and the general comfort that normally is associated with Hilton. On the negative side are the high prices for everything that is extra, the dull and unispired building (and bathroom) and the very un-romantic view from our first floor room (facing a garage).For snacks, water, sodas, etc, shop across the street at the tiny convenience store.The location is great for hanging out in Islington, but less fantastic for general London tourism given its distance to most sights.	
Dec 16 2008 	Very Enjoyable Experience	My husband, son and I stayed in the hotel from 5 December for two nights. On arrival we were able to leave our bags with the front desk until check in. I was unhappy with the first room we were allocated as it was on the ground floor and also smelt of smoke, so I asked for another room, the receptionist I dealt with could not have been more pleasant and gave me another room right away and also said to come back to her again if I wasn't satisified. Moving rooms also meant setting up another bed for my son, but by the time we reached the second room we were met by housekeeping delivering the bed. The rooms and bathrooms are spotless and the breakfast has something for everyone. We found the staff to be really friendly and approachable and on checking out we were again able to leave our luggage until we were leaving for the airport at 6pm. The location is perfect for travel to central London and is easily accessible by bus and tube. Would heartily recommend.	
Dec 11 2008 	Mixed feelings about this hotel....	I only stayed at this hotel for 2 nights, in preparation for a flight out of Heathrow after vacationing in Scotland. I checked in late, thanks to a delayed train (around 8:30pm) and was told that I was being given a &quot;smoking&quot; room. Apparently, this was the only room available and there was nothing that I could do about it. I booked this hotel via Hotwire with a great rate, and probably because of the rate I paid they decided to give me this crappy room. Now, this was my first time to the UK and maybe things work a little differently there than in the US, but in the US I would have been given a NON smoking room unless I specified otherwise. Maybe in the UK it is the opposite? I'm not sure. And Hotwire doesn't give you the opportunity to specify a choice anyways. But regardless, my room reeked HORRIBLY of smoke, and to make it worse, the windows are locked shut so you can't even air the room out! The smell was absolutely nauseating! However, I will say that the hotel was able to switch me to a different room the next day, which was much better. It was definitely an inconvenience, though, since I had to pack up my bags again so they could move them to another room. I really think that they should have been able to switch me to a new room the first night....I've stayed in many hotels and only complain when something is really bad, and in every other case I've been accommodated right away.The location of the hotel is pretty good as other reviewers noted, as the neighborhood does have plenty of dining &amp; shopping establishments, and the Angel tube station is nearby. And the price I paid was good for London, but after staying in a lovely family-run guesthouse in Edinburgh where we were treated very well, this place was quite the contrast. If a generic hotel with hundreds of rooms and sub-par customer service is what you are expecting, great. If not, I would suggest staying somewhere else.	
Dec 4 2008 	good option	Got a great deal on howire...less than £50.Very comfortable bed.Clean bright ,spacious room.Easy check in/out.In this part of town, what more do you want?	
Dec 2 2008 	Not a fantastic choice	This Hilton Islington just about meets the grade.A few flaws though are evident though after staying here:* nondescript exterior, coupled by non-descript interior.* horrible, rock hard matresses* expensive internet access* tacky condom/snack vending machines opposite lifts on each floor that make the place feel like a pay-by-the-hour motel.Room was clean, staff were pleasant enough - but the whole place just lacks so much charm, soulless doesn't even do an accurate job of describing it. Would avoid, given a choice.	
Nov 12 2008	Good choice on a discounted rate	I'd really like to give this one 3 1/2 stars. There's really nothing exceptional about the hotel -- aesthetically, it's probably slightly below average for a Hilton -- but it's fine.The rooms are on the small side (I think they limit occupancy to 2 per room, and that's about right!), and everything is in reasonable condition. The breakfast buffet is good -- at least if you want a proper English breakfast, as the choices beyond that level are a little limited (good fresh squeezed OJ, though).As previous reviewers have noted, it's about a 4 to 5 minute walk to the Angel tube line which public transport pretty easy (the Northern line is not the BEST for tourists, but with connections it works fine). The neighbor hood seems &quot;real&quot; and &quot;yuppified&quot; with plenty of nearby restaurants -- you could easily dine at a different restaurant for days at any price level.The hotel seems to pop up frequently in the Islington section on priceline and hotwire, and it's a good property to bid on for 50 pounds or so. You'll be happy paying that price, but at regular non-opaque rates, my hunch is you could probably get better value elsewhere, unless Islington was your specific destination in London.	
Nov 8 2008 	just okay. nothing special	the hotel is about a 5 mins walk to the tube station and is on a good road for various restaurants and bars.the rooms were fine, big tv and comfy bed. quite basic - no extra touches. we didnt eat or drink here due the amount of choices nearby.the staff were okay but not that friendly. i asked for general directions to a nearby area and everyone i asked just told me to jump in a taxi then walked off.only really stayed here as i got a bargain on hotwire but i would probably give it a miss next time.	
