	Excellent Hotel in a great location	After much research I chose to stay at the K&amp;K while in London on business and sightseeing and I was not disappointed. The location is roughly 150 yards from the Earl's Court tube station. I relied heavily on mass transportation on this trip. The ExCel convention center is a bit of a trip and takes a little over an hour to reach but the South Kensington area is so much nice than the area around ExCel. I also used the train system for a number of trips to meet with clients. The connections into Victoria and several other stations were all very easy from the Earl's Court tube station.It is quiet. The hotel is a block off the main drag. In addition, you can get a room that overlooks a courtyard. There was minimal noise from the city or from within the hotel.The room was small (typical for Europe) but well designed. The internet was free (although they do not have wifi to all rooms so you may need to connect via cable).The bed was comfortable and the bedding new.The bath is well designed with plenty of light.The staff was very attentive. We were on their case early as a package had not arrived as scheduled. They dealt with our concerns professionally and notified us promptly when it arrived. When they learned that we were also scheduled to stay at a sister hotel in Paris they phoned ahead, confirming our reservation and ensuring that we were well cared for. A class act!I really enjoy the hotel location. There are a wide range of restaurants just a few feet from the hotel. We did not use the restaurant at the hotel but it looked clean and was very active in the mornings.I will stay at this at the Hotel George again.	
Oct 15 2009 	Great location and value.	We stayed for one week for sightseeing to the usual tourist places. Located near the Earl's Court tube station made getting to and from Heathrow very convenient and all other city trips were quite convenient as well.The room was small but well organized. The staff was very friendly and helpful. Staff and guests had a very European feel. Breakfast was great. The hotel got busier as the week progressed and so service suffered a bit. I would stay there again. Not only free high speed internet but several computers to use at no cost.	
Oct 14 2009 	Good Value For London	I stayed here on a Saturday night last October with my girlfriend and Mum. I picked it for a few reasons and wasn't disappointed with the results.We were able to get three in a room for only a bit more than the cost of two. They offered off-street parking at reasonable rates - tough to find in London. And even though we parked for more than 24 hours - since went to the museums until mid-afternoon on Sunday - they only charged us for one day and didn't quibble (which I thought was pretty fair of them).The hotel is just around the corner from the Earls Court Tube, which made it easy to get to the Victoria Theatre (Billy Elliot). Room was very clean and comfortable but a little cramped (calling it a &quot;suite&quot; was a bit of a stretch). Then again what do you expect for London and not paying top dollar. And anyway this shouldn't be an issue unless you plan to live here for an extended period of time.The place has a very european feel to it with respect to furnishings and other residents. The front desk were helpful and efficient and the breakfast buffet was worth getting as part of the price for the room. We had a couple of bottles of wine in the bar after the show on Saturday and the service was fine.I don't think you can do much better at this price range for a good quality hotel within a 5 minute tube ride from Victoria.	
Oct 13 2009 	Very Poor for the price	Was very excited about booking this hotel but it was a complete let down. The experience was bad from the time I entered the hotel. Nobody offered to take the huge suitacases I had, the guy at the reception did not know how to connect to the internet and the room was extremely small. I havent seen a hotel corridor that is as small as the one at KK. The size of the bathroom is comparable to the ones on a local train, I must say. I had booked the place for 4 nights but checked out after 1 night. The lady was extremely pleasant and helpful while I was checking out and understood our issues. That was the only good part of the stay. Do not stay at this hotel when u can stay at a Hilton for £20 cheaper per day. Will always go for a big brand from now on.. i have learnt my lesson.	
Oct 12 2009 	Great little spot at a reasonable price	We spent 8 days here as the base for our London Family vacation. Its in a interesting neighborhood with easy access to the underground and within walking distance to Kennsington Street and more upscale Chelsea establishments. Rooms were comfy and the breakfast was great. As part of a British Airways special it was a great deal. We loved the garden.	
Oct 11 2009 	Cozy place in big city	Hotel was clean and cozy. Staff was very friendly. Location was very convenient with a tube station very close.	
Oct 10 2009 	Modern hotel great breakfast	My husband and I stayed at the London K&amp;K for a long weekend. Breakfast buffet was great. Location of hotel is close to Earls Court station (around the corner). Clean rooms, comfortable bed, pilows. Not many dinner/restaurant choices in the neighborhood but given proximity to trains, this is not a problem. Internet/computers available in lobby and in basement level. Nice and friendly staff.	
Oct 8 2009 	Wonderful hotel!	This was a wonderful little hotel in London. It is very close to a tube station, so travel within the city was quite easy, although if you prefer walking everywhere, this might not be the best location for you. The room was small, but not horribly so, and it was quite clean and bright. The bathroom wasn't large, but it was also quite nice and modern. Because I was looking to do London on a budget, but still have nice amenities, I really appreciated the free internet and free buffet breakfast (not sure if the breakfast is always included, or just with the deal we booked). The breakfast was really fantastic, full English breakfast, including fruits and juices. There is no question I would stay here again on my next trip to London.	
Oct 7 2009 	Top-notch	At the K&amp;K Hotel George, everything from the exterior façade to the bedroom furnishings to the bathroom fixtures is gleaming, well polished, and impeccably maintained – not a scuff mark or stain in sight. Service is similarly polished and professional – check-in, check-out, and luggage storage were all fast and pleasant, and whenever I turned in my room key at reception prior to leaving the hotel, I was met with a smile and a thank-you. The garden is tranquil and lovely, the buffet breakfast bountiful and delicious, the room utterly clean and comfortable – there was not a single thing I could find fault with at this top-caliber hotel. I had reserved a single room, but was upgraded to a twin room. As requested, I was given an upper-floor room facing the garden, so I had a lovely view and no street noise. I also wasn’t bothered by any noise from neighboring rooms or the hallway. The room was quite spacious, with excellent amenities including flat-screen TV, fast and reliable Ethernet connection, large safe, mini-fridge, tea/coffee maker, and wonderfully comfortable bed. The bathroom was tiny, but everything functioned extremely well and was spic and span.Taking the Tube from Heathrow to the hotel is very easy, since Earl’s Court station has step-free access to/from the Piccadilly Line. I only stayed at the hotel for two days, and enjoyed being in this area of west London during that time. For longer stays, I’d find staying at this hotel a bit limiting, as I enjoy spending time in Islington, the City and the East End, and it’s a bit of a hike to those places from Earl’s Court.	
Oct 6 2009 	I can recommend it- but it's highly overrated at Tripadvisor	I stayed for a week in this hotel after reading the wonderfull reviews on this site. I agree with many things but I think the experiences also depend on the roomtype. I would like to add some comments based on my stay in the standard double room:- the room is very small, the bathroom tiny- the double bed is very small as well- there is only 1 chair at the desk, no other place (nor space) to sit except for the bed- no iron in room- after the 4 teabags were finished they were not replaced. The forth day I had to ask the reception for a refill. The same for the laundry bags and shoepolish.- the staff was generally nice. The blond lady at the frontdesk was not very professional sneering at her younger colleagues in front of customers- I had to ask 3 times to open the door to the sauna. They told me I had access with the roomkey, which is not true. They could have told me in the first place.- breakfast is good and managed efficiently- another + when staying for business is the internet-access in the room- the room at the gardenside are quiet and there are many restaurants/supermarkets around the corner. The metro is also on a 2 minutes walk-the corridors and doors on the 4th floor were I stayed looked worn out. I didn't check out the other floors, but it looks much older than you might expect from looking at the website. I stayed in other hotels in this area which are much better value for money. For example the NH or the Hilton. They are about the same price but have larger rooms which are better equipped. I can recommend this hotel if you are not too picky and not staying for too long. It is clean and ok, but isn't that what you can expect for about 160 Euro a night?	
Oct 6 2009 	Starting Place Hotel	Great central location near Earls Court Station, walking distance to Harrods. Small room but comfortable and great breakfast.	
Oct 5 2009 	Very high quality hotel but no London charm	My husband and I stayed here for a brief honeymoon in London. I spent ages on Trip Advisor searching for high quality hotels and this was rated very highly. I was a little disappointed that the rooms were so impersonal, very corporate with no charm at all. In every other way this hotel was very good - the room was spacious, the bed was huge, the shower was great and the breakfast was lovely, although they ran out of all their hot food by 10.30 on the last day. The staff were very friendly and they left a small bottle of champagne and flower petals on the bed on the day we arrived. Its about a minute away from the tube station which was important to us. I would stay there again and would recommend it to others, but would not recommend it for a honeymoon or romantic getaway.	
Oct 4 2009 	Excellent find of a hotel!	I have stayed at this hotel on two occasions and will return. The hotel is very clean and has just been renovated. Location is also good with Earls Court tube station within approximately 4 minutes walking distance. Breakfast was very good, Buffet style. A gem of a hotel which is worth a visit.	
Sep 22 2009 	Superb Location and Service	I'm always nervous of booking hotels in Earls Court as they tend to be a lot different in reality to what is advertised on a website. NOT so the K&amp;K hotel. from the moment I picked up the phone to speak with the hotel to the moment we all left the staff could not have been better.The hotel is in a great location around 5 minutes from the earls Court Tube. It has a spacious lobby/bar area where each morning coffee and water are available on a complimentary basis. It also has free WiFi which is a must in this day an age. However if you are on vacation and don't have your laptop or Blackberry then there are five terminals that you can use.The breakfast buffet is well stocked and more than sufficed for our needs. For any smokers there is a small terrace and ample gardens out the back where you can have a tug on the weed and for non smokers the garden patio provides a wonderful resting place from the noise of London.We had a triple room which was very well priced. The room was comfortable, a touch on the small side but clean and a decent size bathroom.Overall, this place is a find! Clean, good value and a good location. Book it now!	
Sep 22 2009 	So tranquil we had to keep pinching ourselves to remind us we were in London	My partner and I stayed here for a long weekend in September, a birthday treat for him, so I paid much more than I normally would to stay somewhere a bit special and we definately were not dissappointed.The room was quite spacious and had french doors which led onto a lovely garden, unfortunately during our stay we could not access the garden from our room as there were repairs being carried out on the wrought iron steps.The bathroom was quite small but the walk in shower was fabulous.The breakfast which was included in our room rate was great, there was so much choice, including champagne, we didnt eat until after 10.00 am both mornings as it was too busy earlier than this, but it was still well stocked.We were extremely lucky with the weather for late september and took full advantage of sitting in the lovely garden for a while each day, it was very peaceful which was an added bonus and definately enhanced our stay here.The location of the hotel is great, very close to earls court station and only about 6 stops on the picadilly line from central london, but in a quiet residential street.Would definately stay here again.	
Sep 19 2009 	Highly Recommended	My husband &amp; I stayed for one delightful night at the K+K George Hotel. The staff were very helpful. The location is great, just a short walk from Earls Court Tube Station. The room was very comfortable overlooking the garden, and the cleanliness was first class. There was a well stocked buffet breakfast, which other hotels did not seem to provide. We would definately stay here again.	
Sep 17 2009 	Can't recommend	Good• Location – close to a useful tube stop but not a great one (Earl’s Court) which has elevators to all lines (Circle, District, Picadilly). Numerous convenience stores nearby.• Lobby computer was almost always free, and there are 4 more 1 floor down, each with its own printer. Plus they have some Microsoft software loaded.• Shower roomy enough, water was plentiful, and the Grohe fixtures were nice.• Room, hotel overall, exterior area were quiet.• No charge for incoming fax. And reasonably priced calling from the room.• Good blackberry reception.• In room safe was good size and worked well and easily.• TV is a nice (not large) flat screen with numerous channels including in French, Spanish, Italian, German, and Japanese, but not a great selection. And from turn on to start up takes an eternity.• Elevators are small but quick.• Shoe horns are strong, larger than normal.Not• Buffet breakfast looks great in the pictures but isn’t. Bacon is undercooked and salty. Eggs are runny. Fruit selection is limited. Breads are ordinary (sliced bread from a package) or too sweet. Plus it’s 14 Pounds per person per day …• Housekeeping. Didn’t vacuum effectively during our stay (9 days). Never were sure if towels or glasses were replaced with clean ones. Didn’t always restock the coffee/tea set with consumables. Didn’t replace used shoe wipe I left on the desk for 3 days.• Tiny tiny rooms. An executive King barely had enough room to turn around in.• Slow arrival of hot water in the sink. It’s hard to imagine but when I went to shave in the morning, it took 4-5 minutes (not an exaggeration) to get hot water out of the sink.• Poor lighting in the room. Desk lamp was a joke for working.• Not much place to sit in the room. There was a bed, a desk with chair, one more chair and a small table. No sofa. Bed was very low so didn’t serve as another seating surface.• Closet/drawer space was efficiently organized but very limited.• Reception personnel were quite mechanical.Overall just doesn't measure up to comparable stays in UK or the continent. Not up to its ratings.	
Sep 1 2009 	Just Terrific	We were just there for 5 nights and thoroughly enjoyed our stay!!!The location is FABULOUS. It's around the corner from Earl's Court tube station on an extremely residential side street (but not scary and deserted -- just not loud and busy) and there were grocery stores and eateries galore. We had a perfect check-in and the room was ready when we got there at 11am. I did witness some others that were not so lucky, as the hotel was oversold. The manager was dealing with a couple who for 1 night needed to go to another hotel, but she welcomed them for breakfast and made their transition very painless. I was happy with the way she handled the situation....Just beware, they do not have doormen or accessible doorways. You need to go up several steps to get to the front door.As far as the room goes:It slept three of us very comfortable. 2 adults and 1 - 7 yr old child. The bathroom was really modern but so small the only way 2 of us could be in there at the same time would be to have one in the shower and the other by the sink. We made it work though.The beds were comfortable and the duvets snugly....Breakfast was tolerable. Cereals, croissants, eggs and sausages. We did need to repeatedly ask for coffee refills, but otherwise it was decently stocked if you go there before 10am.The internet was free. The only issue I had was the rude Spaniard kids that insisted on sitting there for hours playing games while we waited for a free computer. No parental supervision and management was busy. I feel this should be addressed by the hotel....Make sure to get a room that overlooks the beautiful gardens. It was a terrific view. Our stay was great and I'll be referring this hotel to a lot of my clients. I wish I could say the same for the Paris leg of our trip....Happy travels!!!	
Aug 26 2009 	Continues to be wonderful	We have been staying here over a number of years when visiting London and it continues to be our choice - can't be beat for the price, location, and service. As per other comments the rooms are spotless, well appointed (fridge, safe, open windows), free internet in the rooms, terrific breakfast, beautiful large garden (a real treat in London) where you can bring a coffee or a bottle of wine and read and enjoy the outdoors. Close to Earls Court tube (3 minutes), good restaurants (try The Little French Restaurant - 5 min walk), safe area, grocery stores, wine store, bank, laundromat, pharmacies, all within 5 min walk.Ask for a room facing the garden for the quietest space - some construction across the street ongoing - can be annoying if you are sleeping in.	
Aug 23 2009 	Fabulous Boutique Hotel with everything! Location Service Value and a champagne breakfast!!	I searched all of London for the best value, best location (very close to the Earl's Court Subway station), and the best hotel. The K&amp;K George is an absolute hidden gem. It has everything the savvy traveller could want. The rooms are modern, clean, well appointed, and the price is one of the best values ever. The staff is superb, and the champagne, full English Breakfast Buffet is out of this world! I am a flight attendant and have stayed in hundreds of hotels and this is my pick for the City of London. The hotel is located in a beautiful neighborhood and you must eat at the most fabulous restaurant we have found in all of Europe: Benito Bistro! This Italian treasure of a restaurant is just a couple of blocks away from the hotel and you will enjoy one of the best meals anywhere! The owner is Benito and his son and family treat you to a rare experience-fabulous food, superb service, unbelievable value, and the nicest family you will meet! Enjoy!	
Aug 22 2009 	clean nice location	We found the hotel to be very clean. The breakfast was similar to other buffets, but well stocked with something for everyone. Location was great. This hotel is very modern ( my wife would have prefered something with a little more old world feel). Overall, a very pleasant stay. We also appreciated the free internet lounge.	
Aug 21 2009 	Overall good but...	We stayed at the K+K in London the past week. We were a party of four (husband, wife and two kids (11 and 18)). Based on other reviews, we agree that hotel location is very good. South Ken is a relatively quiet residential area and very safe. The hotel is very clean and the staff is very responsive. Access to the Tube is excellent (two minute walk). Bkfast buffet is also a great way to start the day. K+K does this well although for some reason the scambled eggs are were done in a strange way with some kind of sauce added. Overall, a good hotel (a three star).Now the mixed part. The rooms are small. We knew that and had no trouble with that. However, from our room you could hear your neighbors from the above floor walking on the floor at night and even more so, in the room next to us you could hear thumping on our wall next to our bed head board. We surmized the thumping was related to amorous neighbors. The first night we could live with it...but the second and third were no fun.The K+K is essentially a gut-rehabbed series of townhouses that that have been converted into a hotel. Nice exterior, but some of the old bones of the builiding have been used and in the process of conversion to hotel living spaces, some of it works well and some of it does not. Good value for the money, but not a four star. The staff tries hard and is very efficeient, but are from outside of London and have no real local knowledge.	
Aug 9 2009 	Why stay anywhere else?	My children and I stayed at the K&amp;K Hotel George for seven nights. I am very fussy about where I stay and researched hotels for months before deciding on the K&amp;K Hotel George. The room was spotless, and the beds were extremely comfortable. We stayed in a triple room which was adequate in size as was the bathrooom. There was a safe in the room and a mini fridge which can be used for anything you need to keep cold. I just removed some of the items from the fridge and set them aside. The clerk at the desk said this was fine to do. I then replaced the items later. Internet use is free! We had the full English breakfast included with the price of the room. It was fantastic! There was something for everyone- fresh and dried fruit, bacon, cold cuts, salmon, pastries, eggs, cereal , juices, breads, mushrooms, beans, granola, yogurt, tea, coffee and champagne! They even had soy milk for my daughter. The breakfast was enough to last us until dinner. Each morning there was a selection of teas in the lobby and a bowl of fresh apples at the reception desk for guests to sample throughout the day. The multilingual staff was extremely helpful and polite. They went out of their way to be of service. To get to the hotel from the airport take the Picadilly Line straight to the Earl's Court Station. The hotel is only a two minute walk from the tube station. Simply take the Earl's Court Road exit, turn left out of the station, walk to the corner and take the first left turn (Trebovir Street), take the next right and you are on Templeton Street. The hotel is on the left. Before leaving the airport follow the signs for the underground and purchase an Oyster pass for the length of your stay. I purchased three passes for 28.50 pounds each, and we traveled all week without worry. The pass I purchased covered zones 1&amp;2 which encompasses all of the tourist sights. You can use the Oyster Pass on the tube, busses or overland trains for unlimited trips throughout the day! Remember to tell the clerk to include return fare on the tube if you are staying more than seven days. There is a 3 pound deposit included in the price of the Oyster pass which is refunded at the airport befroe you leave. Directly across the street from the tube station is a postoffice where you can exchange money without paying a commission. There is a Japanese and an Indian restaurant(Masala) also across from the tube staion to the left. Zizzi's is an Italian restaurant on the same side of the tube staion where the food is ok, but they will not vary entree preparation from the menu. So it's served as stated or not at all! I found the staff a bit rude. However, to the right of the tube station on the same side as the post office is the Strada restaurant which has good food . They will serve filtered water in bottles for free which is better than paying for water at Zizzi's. Strada is not quite a ten minute walk form the hotel but worth it. I would definately stay at this hotel again.	
Aug 8 2009 	really nice hotel	The room size was pretty good. We had a room for three so the size was quite adequate. The hotel was extremely close the the subway and this just added to the convenience of the hotel. This hotel was very clean and the breakfast was really very good! As a matter of fact we ended up having to catch a tour at another hotel (Marriott) and I just took a look at their breakfast and it was meager to what was offered at our hotel. The bathroom was okay.....The problem I had with it was that there was no door to the shower, and the shower was not large so water was constantly getting on the floor. But that is the only slightly negative thing I have to say about the hotel. The staff was courteous and knowlegible. The hotel was extremly clean and they did offer free internet usage. I would absolutely stay there again. Oh the really wonderful thing about the hotel was that you could open the windows and let fresh air in versus just relying on air conditioning. There were quite a few restaurants around the hotel so you could get various types of food and it was very good. We only ate breakfast at the hotel and as stated ealier they had a good selection of foods.	
Aug 6 2009 	Dissapointed	Clean, quiet, comfortable hotel. Bedrooms very small, bathroom luxurious but no bath only shower. Breakfast only ok as scrambled egg was cold every mornings, but good selection of fruits. Gym is a joke - a tiny fitness room with 3 pieces of equipment.. 2 of the internet points were broken and other guests remarked that they were broken over a week and had not been fixed. Room and service staff helpful and friendly. Reception staff were stern.	
Aug 5 2009 	Lovely Hotel Little Gem	I have no other London hotel for comparison but I know what I like and I like this hotel. It is a lovely little gem, with much to offer. First is location, location, location. Loved the Earl's Court neighborhood, it felt like coming home after a busy day. The tube is so close to the hotel, with many shops and restaurants close to both hotel and tube. Loved the deli directly across from the Earl's Court Underground Station. The hotel is very clean. One of my personal &quot;musts&quot; for any hotel. The staff is nice and helpful. The breakfast buffet was nice, I enjoyed it each morning before heading out to the city. There is a lovely garden behind the breakfast area. The room is small but nice and I found it more than suitable for enjoyable sleeping. If you want a large luxury suite, do not stay here. If you want a great place to come back to after a full day of sightseeing, you cannot go wrong with this hotel.	
Jul 30 2009 	I would highly recommend this hotel.	We stayed at K+K for a week, and I would highly recommend this hotel. The hotel was spotless; they had five computers with free wireless access; and the location was very convenient. Most importantly, the staff was wonderful. They were able to provide us with tons of information; they went out of their way to assist in booking various tours; and everyone was very nice and very friendly. The breakfast had something for everyone and was very filling. While Kensington is not really within walking distance to the major sights, the tube stop, which is extremely convenient, is about two blocks away. We really enjoyed our stay and would go back any time!	
Jul 24 2009	Convenient and Almost Faultless	The only bad part of our experience at the K+K St. George was, unfortunately, the check-in process. The desk clerk, named Jens, can only be described as officious. Based on Trip Advisor reviews, I politely asked if any courtyard view rooms were available. He informed me that he could check, but it was highly unlikely, and would entail a great deal of trouble on his part. After a 30-second computer check, he basically laughed, saying that the only courtyard view room he had to offer would require a substantial upgrade on my part. I honestly wasn't pushy in any way - just ASKING politely. He made me feel insignificant and out of line for even inquiring. VERY bad start. I then asked if there was Wi Fi available in the rooms - I have an iPhone with Wi Fi compatibility. His answer was that there was not - but that there were computer hookups in the room - not helpful in my case. No problem. However, once I got to my room (1st floor - with a front-on view of construction - which I couldn't help but feel was intentional on the desk clerk's part - I checked for Wi Fi and found that the hotel did, in fact, have the service, but that it required a password. I called down to the front desk and, unluckily for me, got Jens again. I inquired again about the Wi Fi, and was told, &quot;oh, we DO have Wi Fi - but not all the rooms can get it.&quot; I'm just not clear why he couldn't be honest when I made my initial inquiry. Another black mark.Other than the inhospitable Jens, the stay at K+K was quite nice. The rooms are large (by European standards), very clean, and very inviting. The buffet breakfast was a major plus as well. The hotel boasts a business center with five computers - well there is one computer upstairs and four downstairs - and only three of those actually worked and at one point we were down to two. There was ALWAYS a line to use the computers. A minor frustration. The Earl's Court Tube stop is an easy four-minute walk and there are plenty of things to do in the walking area as well - including Kensington Gardens. It's also very convenient to Heathrow - a direct shot on the Piccadilly Line. Overall, this hotel was a very positive experience and I would recommend it.	
Jul 21 2009 	excellent hotel superb location simply the best.	My husband and I stayed in this superb hotel for two nights in July 2009.It is centrally located just a few minutes fron Earlscourt Tube Station so travelling around the city is very convenient.There are a number of nice restaurants and pubs nearby. Check in service was excellent fast and friendly.Reception staff were always friendly and helpful with directions etc.Our room was stylish ,airconditioned and fully equipped.Breakfast was a delicious buffet with a really wide choice of quality food and for those enjoying a lie in it is served up untill 11.30am! Everyone is A-list and prides themselves on taking care of their guestsThere is a beautifully landscaped garden at the back of the hotel which was a lovely place to relax and unwind after a busy day sightseeing ,an unexpected gem !The hotel bar was perfect for pre/after dinner drinks. Having had plenty of exercise sightseeing we did not visit the gym /saunas in the hotel.There were a number of computers with full internet access and printers a must for budget airline passengers!!It was so lovely to find a hotel that had it all. We look forward to our next trip to London Just the best experience! Won't stay anywhere else after this.	
Jul 20 2009 	Modern convenient and great breakfast	Located within a few blocks of the Earl's Court Tube station and within a block of various pubs, shops, restaurants and convenience stores. Complimentary breakfast buffet was the BEST I have ever had and staff was available and helpful. A bit on the pricier side.	
