	overpriced/overrated	We booked a theatre package which recommended this ( 4 Star hotel !) My sisters &amp; myself were looking forward to a relaxing birthday celebration.The first thing was one of our rooms was still not ready at 4pm then we discovered one was considerably smaller &amp; very dark we asked for another room but were told there were no more to be had. we could not get a seat or meal in the hotel on Saturday as there are no facilities for paying guests over the general public the only thing we were told to do was order room service ! considering the overpriced rate of this hotel we wondered what facilities we were paying for. Breakfast was good but we were kept waiting for a table each morning &amp; the dinning room was very cold, on complaining we were ignored..staff we very abrupt and rude On our last day we tried to get a meal before leaving only to be told they had run out of food &amp; the kitchen was closed ! we have travelled &amp; lived abroad for several years &amp; I can honestly say this is the most dismissive disorganised overpriced hotel we have had the misfortune to stay in . because they have a captive audience due to location (which is very good),pride in a job well done along with standards &amp; quality are sadly lacking (watch out for the same standard reply from the hotel)	
Oct 7 2009 	jou cannot beat this place for location	in the very trendy sevendials part of covent gardenstayed 1 night in a single room, which as they always are, was not the largest still had all the things i needed, good bed, very nice bathroomHotel has good facilities and also important safety (you need a room key to operate the elevator) free wifi is always usefull, did not use the breakfast which (as is with all london hotels) overprices at 16 pounds, instead i went to a place about 3 minutes away called diana's diner, found review online 4.50 pound for a full english breakfast. If shopping is your thing sevendials i a heaven, but covent garden tube station is only a couple of minutes away. Other attractions in walking distance are the british museum for starters. Service was good, check out is 11am which is earlier than most but was allowed to stay till 12 am for free	
Oct 6 2009 	The staff went way out of their way to make me welcome and comfortable.	I had a wonderful experience at this hotel. The staff were great and really went overboard to make my stay very comfortable and easy - even giving me an upgraded room which was larger at no cost, plus other extras. I stored my luggage there during the day and just everything was very easy. In today's stress of traveling, I was very happy to have chosen this hotel!	
Oct 3 2009 	Love love love this hotel!	Have stayed in various central London Radissons, but this is by far the nicest. Perfect location for theatreland and central london nightlife - Completely in the thick of things, but set in a lovely, quiet bohemian street.Clean and and elegant bedrooms and public areas, with friendly and very helpful staff. Enjoyed my stay so much, I extended for another night while I was there.I've just booked to stay there again for my next trip to London.	
Oct 1 2009 	Fantastic hotel in a vibrant location	This is a wonderful Hotel situated in the heart of Covent Garden theatre district. A very tidy beautifully appointed hotel in the middle of one of the worlds most expensive city.	
Sep 29 2009 	A treat of good old fashioned customer service-	I wanted to take a trip to London for my friends Birthday. I have a friend in London who through work does a lot of socialising. So I asked him to recommend somewhere that whilst not being to pricey, could be seen as a treat and also asked for it to be situated in the right place for eating and shopping.He came back with a list of 4 hotels which i then began to look up on the Internet.I picked this one as it seemed to be what i was looking for.So.. We arrived at London Euston and hopped in a taxi, it was a busy time traffic wise and expected to be in the cab 15-20 mins. It only took approx 6 mins. We pulled onto a cobble like street and arrived outside the Hotel. It had character and gave the right first impression from the outside. On stepping inside it was very pleasant indeed. The reception area is very comfortable and we were seen to right away, we were asked if we needed help with our luggage, we didn't and were given directions. There are 2 lifts but unfortunately one was out of order, the lifts were very small but we managed to fit us both in with our bags and could probably fit in another 1-2 people max.Our room was on the 7th floor and sadly a disappointment.It was very very small, the decor a little dated and the bed lamps badly situated, every time you move you banged your head on the shades. The view was also a disappointment and the beds were not as comfortable as hoped, That said, it's up there with the cleanest hotel room and bathroom i have ever stayed in, and as I am referenced to Monica off the tv show friends who is a clean-aholic, the fact that i am saying it was spotless means it was spotless lol.When it come to getting ready, being girls we do like to have lights to do out make-up, the ones above the mirror we could not get to work, it wasn't until i stated this to reception that we were told for those 2 specific lights we needed to use our key card. We managed and got ready and went to head down to the bar to meet friends for drinks, One lift was still out of order and was already full when it arrived to your floor so we took the stairs instead, The bar area is quite small but more than adequate, the waiters were very pleasant and polite and once they took your order they remembered your drinks all night which is very nice. The hotel and bar are both situated on whats called the Seven Dials. Its a roundabout with 7 streets leading off it, the bar area is all glass frontage and a great place to start off with drinks to watch it all going on, Seven Dials is a busy thriving area and having a few drinks there to start off was great, Price wise on the drinks its London and a Hotel so its what you would expect, As for the service and atmosphere it was perfect.We came back much later and decided to finish off with a drink, again the waiter remembered our drinks, such a nice touch.On entering our room We encountered another problem, about 2am we had a very loud generator start which seemed to be above our heads, we again contacted reception who were there very quickly and who pleasantly tried to come to a conclusion on how to fix everything.This hotel we were informed afterwards is in waiting for a re-vamp. Would i stay there again? Yes definitely. Not in the same room tho :) The room may have been a disappointment for what we payed, but my complaints were dealt with very quietly, without any fuss, I was more than happy with what i was offered to compensate and am indeed returning in November.The staff are a big part of what make your stay at the hotel worth returning and worth while, I found the staff to be the best I have come across in a very long time, they were very professional, obliging, courteous and pleasant. The hotel itself is spotless and as for where its situated, for me was perfect for shopping, eating and entertainment :)	
Sep 24 2009	The perfect stay for the perfect day	I have stayed at a Radison Hotel before and when my daughter gave me a present for my 60th and we needed to stay overnight. The Radison was my first and only choice..The staff were amazing.. they cannot do enough for you, the rooms are beautifull and very clean, with everything you need to make your stay perfect.The food is first class and once again the staff are amazing.We had many places to visit in our short stay and The Radison was situated perfectly. to say you are in the heart of everything is not over rating the fact...I would stay at the Radison at any time. My time there was more than perfect	
Sep 20 2009 	Great location	I booked this hotel as a birthday treat for my husband along with a trip to the theatre. I had booked a suite, the booking process was very smooth by phone &amp; it was explaind that although check in was normally 2pm we would be put down for an early check in at 12.00.We arrived at 1.00 but were told politely that our room wouldn't be ready for another hour. Anyway we busied ourselves &amp; when we finally did get into the suite we were very impressed. It was a very large suite the bed was huge &amp; comfortable &amp; the bathroom was very nice with a large bath &amp; seperate shower &amp; double wash basins &amp; plenty of lovely toiletries to complement it. My only complaint was the stains &amp; marks on the carpert throughout the suite!Unfortunately there were no bathtowels in there but when we went out we mentioned it &amp; was it resolved efficiently by Celso who was there upon our check in &amp; it seemed right through to our check out the following day!!The atmosphere was nice &amp; buzzy in the hotel the staff very proffessional &amp; efficient. Great location for the theatre &amp; covent Garden shopping. We had a lovely time.	
Sep 18 2009 	Fantastic Hotel	I cannot stop raving about this hotel. Great location, right next to theater district, and yet on a lovely quiet street. Awesome staff and quality of the hotel. Highly recommended.	
Sep 8 2009 	Perfect for the west end	Hotel was excellent, great location and friendly service. Rooms were small but well appointed &amp; within easy reach of theatres, Covent Garden, restaurants, plus plus. Didnt try breakfast so cant comment but the Monmouth cafe across the road served the best coffee and croissants.	
Sep 7 2009 	Great Location but don't have breakfast!	Central hotel in London. Within five minutes you have Leicester Square and Soho. Less than one minutes walk to Covent Garden.The hotel is situated at the Seven Dials crossroads, which can be a little busy till midnight, so ask for a quiet room.Less than 10 metres from the hotel is a Cafe Nero, so paying £14 for breakfast at the hotel wasn't really worthwhile, when you can have coffee and a muffin for less than £4!Nicely decorated and clean room. Not overly friendly staff, but hey...that's London for you!I had a single room, which to be honest is probably the smallest hotel room I have ever stayed in, but it was really nice and the location is what sells the hotel.	
Sep 7 2009 	Superb service and location and value - highly recommended	I arrived early and was granted access to my room looking out to the front well ahead of the offical check in time (not something I normally do or recommend in general) so was delighted. There was never any noise and the room was bright, airy, and exceptionally clean. Great location to wander about all the sites and centre of London. Good attached restaurant and bar with excellent breakfasts.I highly recommend this hotel for a trip to London either on business or pleasure. You won't be disappointed.	
Sep 7 2009 	Excellent hotel well situated and with very welcoming staff	I was lucky enough to book well in advance and get a very good discounted deal. The location was excellent, the hotel beautifully decorated and the staff very welcoming and eager to help. The room was small and had no view to speak of but it was Central London for £75 a night. I would certainly choose it again.	
Sep 4 2009 	this place rocks!	i dont care what anybody says, this place is great. extremely centrally located. i walked everywhere from the hotel door. the concierge Louis was fantastic. he really helped me figure out where i was going, how to get there. he took care of getting me theatre tickets to wicked (which was awesome). super nice! that dude should get a big fat raise he is so awesome. i stayed in a single deluxe room on 6th floor. being a single person i thought it was plenty big although some people might not think so. bed was comfy, bath great. they have wifi in hotel and a computer in lobby that you can use for checking email, etc.. the only thing i had problem w/ was using key card to get elevator to work. good security. loved almost everything about this place! restaurant little overpriced... other places close that were funky and wonderful to eat - go out...	
Sep 1 2009 	Convenient hotel for shows and shopping	The Radisson Edwardian Mountbatten is really convenient for shows in Covent Garden, especially Chicago, it's literally over the road. Also for shopping, it's in the heart of Covent Garden. My 11 year old daughter and I stayed there last week after seeing 'Oliver'. We felt safe walking back from the show at 10.30pm. The hotel room was clean and not particularly spacious but everything we needed was there. The bathroom was modern and clean. The staff were courteous and professional. We have no complaints at all about the hotel however we had breakfast in a small cafe on the same street as the hotel breakfast I felt, at £18 per person, was far too expensive!!	
Aug 26 2009 	Good location but have smaller rooms than a bird cage	Very good location. So and so service but definetely I will not visit here again. Very small rooms without even a hairdryer, looking at next building creates a dark and closetrophobic atmosphere...I can barely walk in my room ...walking in the bathroom do not even think about it. Furniture is old. Business center did not working, can not make my online checkin and the solution they offered me was to go to an internet cafe rather doing over from their computers. Friendly stuff but definitely not capable...Asked train schedules to airport and advised to check internet ( great answer huh!!!) than after insisting for 5 mins they agreed to find me train schedules. I am a frequent traveller and this is definetely not a four star....There are definetely better hotels in london for the same price...Btw rooms are seriously small make sure that you check traveller pictures if you still think about going there after this review...	
Aug 17 2009 	Excellent visit - will return in future	I stayed 4x nights in this hotel late May. I found the staff professional and attentive. I was allocated a room at the rear of the hotel and found it very quiet ( my stay incl week-end). On the sunday night we had a problem with the door lock, effectively locking me in my room. The staff with maintenance team immediately attended to the issue, broke down the door, and helped move me to a better room. Given how quickly they addressed and fixed this problem, I will certainly stay at this hotel again. Good room size, clean, great location and reasonable price booked through Expedia.	
Aug 6 2009 	Our place to stay in London"	We’ve stayed at the Montbatten at least once a year for 20 years. The full-English breakfast is great for getting over jet-lag. The location is fabulous: surrounded by restaurants (upscale, humble, and in-between; romantic and family-friendly); easy to find for friends meeting us in town; within a 30-minute walk of most everything, near tube stations for everything else. The smallest rooms are really small but one step larger are good. Bathrooms have those silly half-length glass doors to keep the shower water mostly in the tub (water pressure is excellent). We’re typically there for leisure but often have business to do and they’re quite accommodating. We have had the occasional drunken lout on our floor but the staff haven taken care of it promptly. The staff are helpful and friendly (many have been there as long as we’ve been coming).	
Aug 4 2009 	Noise from other room kept us awake all night - but no compensation	Just returned from a one night stay. We were kept awake all night by the television from the room above. The staff did their best to get it turned down but when they left it was turned up again. We complained and managed to get a slight reduction on the room rate (and to be fair the staff did do their best) but we feel we should have been given a much greater discount - or even free! (We have emailed a formal complaint - but this could take weeks to reply).The location is great, the hotel of a reasonable standard, the staff as helpful as possible and the breakfast (as so often in UK hotels) awful!	
Aug 1 2009 	Smart Hotel in excellant location	Stayed in the hotel for one night, organised a hen do for my sister and chose this hotel as it looked good and in brilliant location. Situated in the seven dials area it was just up the road from covent garden. The hotel was really smart, rooms had everything you need. We ate in the Dial Restaurant, food really good had the Pollack and then Eton Mess, 11 of us in total and we all had 2 courses and got through 5 bottles of wine, we paid of the hen's meal and it was £33 each which we thought was good value as the food was good. The only down side was the breakfast, we didnt have this included as the full breakfast was £18.Would recommend this hotel.	
Jul 27 2009 	you can do much better in London	We have just returned from the Radisson Edwardian Mountbatten having stayed for 2 nights as a treat for my 40th birthday, we stayed with another couple who were also celebrating her 40th.My husband and my friends husband got their heads together to book this as a suprise and chose the hotel as they thought it would be a luxurious treat. They booked 2 kingsize deluxe rooms. This will be a review very much of 2 halves.The big positive about this hotel as others have said is the location, it is a few minutes walk from leicester Square tube but on a quiet street with good local restaurants and pubs. The breakfast was also very good and we had no wait to be seated. Some of the staff were exceptionally helpful but some were really unhelpful. The HUGE shock was what they try to fob off as a deluxe kingsize room. If you check out my other contributions you will see I have stayed at several hotels around London and I have never been offered one so small or basic even in a much lower rated hotels standard double , and certainly not at the price. The description verged on fradulent, although there was a kingsize bed in the room if we had both laid in it we could have touched the walls at either side of us and there was no space to move around I would estimate the size as 10ft square. The walls were painted in a dark mustard and there were blinds only at the windows. The TV was just above the size of a portable and the mini desk was right at the bottom of the bed looking fairly worn. The bathroom was almost as big as the room but the floor did not appear to have been cleaned thoroughly as there were crumbs on it. My husband could obviously see the disappointment on my face and was really upset to have spent so much time planning a suprise to be placed in such cell like accomodation, I honestly do not know how the room could have been less luxurious without removing the TV and the bathroom. As I struggled to believe this was the right room I rang down to reception to check, the woman I spoke to was extremely unhelpful I presume as they must be so used to such complaints( I don't know who wouldn't) she asked me 'what was I expecting' pointing out that the hotel was not 5 star and said there were no other rooms available that night although she might be able to move us tomorrow.We went to check on our friends room and although it still fell short of others we have stayed in of the deluxe grading it was much bigger than ours and better appointed. At that point( having found out how much my husband had paid) I decided I wasn't staying in the room and went down to reception to complain. While waiting to complain we heard 2 other such complaints from others of the same nature both of which resulted in no offer of an alternative room. I was not however deterred and when I spoke to the ( male) reception staff member I was very clear that what we had been given was unacceptable, pointed out the comparison with our friends room and explained the occasion. To give credit where it's due theis staff member( Cesko, I think his name was) was extremely apologetic and offered to show us a junior suite which he offered us at no additional cost. The junior suite we were offered was very nice and we accepted the alternative. The room was actually right next door to the one we had vacated and had a good size with a sitting area and good bathroom but still not without faults. For a room at this level I would still have expected a better TV again it was a very small old TV but the main issue was that there was a gap under the door into the hall of an inch and a half where I think a draft excluder used to be, to test just how big the gap was I posted the TV remote under the door into the hall, it went under without so much as touching the underside of the door. This meant that whenever anyone was talking in the corridor it sounded like they were in the room with us, and I presume our noise travelled equally well. I decided I had complained enough for one weekend so decided to use a rolled up towel under the door as a noise and draft excluder! On our final morning there were workmen on our hall and as well as drilling our telephone kept giving a single ring and then cutting off, it looked like they were working on the telephone or electrical circuit board so I put this down to this, as we were checking out we were already up but it would have been less welcome if we had been still in bed. I debated a while about the score on this one as I would have given a 1 based on our first room and the response from the first staff member and a bit more for the second room and other staff member. I have given this mark as I remain appalled at the fact that the room we were offered will continue to be offered as a deluxe king I would classify as a standard class single size.If you are looking for more luxury close to tourist attractions I would definitely recommend the Royal Horseguards which I unfortunately didn't review at the time but was far far superior at a similar price. If you really want to stay near covent garden I would suggest the Kingsway Hall as an alternative. Although in the end we had a fantastic weekend it was despite the poor start not because the hotel made our weekend and we won't stay here again and probably would not go to another Radisson again given that the overall management rather than the local ones probably decide how to grade their rooms.  I will post photos once I upload them, unfortunately I did not think to take any of the first room but you will see the second room is generally nice.	
Jul 27 2009 	The Location can't be Beat	The Mountbatten Hotel is the perfect location for a London theatre break or if you just want to be very central.Rooms were clean but might be considered small by American standards. They might want to upgrade to flat-screen TVs at some point. Good quality Gilchrist &amp; Soames moisturizer, hand wash, conditioner and hair shampoo / body wash. The AC in the room worked well.Staff were friendly. Excellent quality breakfast. The bar at night was very hip and stayed opened until 2:00 AM.Why pay more at the Covent Garden hotel a few doors down, when this hotel will meet at all your needs at over half the price. Value for money during a credit crunch.	
Jul 26 2009 	Good Value Great Location	Great location for Covent Garden and Theatre Land. The hotel was clean and the staff were friendly. We thought it was good value, but then we had a special advanced, non refundable rate.	
Jul 26 2009 	A great place to stay in a wonderful location	This hotel is situated in the heart of Covent Garden. Many theatres are in walking distance as are good restaurants and shops. The staff at the hotel are courteous and helpful The room we stayed in was very comfortable and had all we needed. I have stayed at this hotel and the Radisson just off Oxford Street and they always maintain a high standard,	
Jul 21 2009 	london @ its best!	very beautiful, well staffed hotel in londons most unique location, close to everything.	
Jul 20 2009 	Mountbatten Hotel - perfect for everything!	Stayed here for one night to celebrate my partners birthday. We went to see Dirty Dancing but during the day did some sightseeing/shopping/eating &amp; drinking. This hotel is perfectly located for Leicester Square, Covent Garden, The Strand, Shaftebury Avenue etc etc.The staff are very friendly, the bar is reasonably priced and breakfast will satisfy the heartiest of appetites!	
Jul 19 2009 	Good value in a great location	Great location on a quiet street in the heart of Covent Garden. Deluxe room was roomy and comfortable.	
Jul 18 2009 	Excellent location - would visit again!	The location of this hotel is great. Everything is within walking distance and there are so many options for food and entertainment nearby. Our first night we were placed in a non-smoking room that was clearly NOT non-smoking. We complained the next day and were immediately upgraded to another room and provided a discount for our discomfort. The hotel was extremely accomodating and I could not be more pleased. They also had internet access which was extremely useful and the rooms and bathrooms were a decent size (by European standards). Also, the hotel has an excellent breakfast! I will definitely stay again!	
Jul 18 2009 	ok for a business trip	When we arrived the check in was quick and efficient. Our room was on the top floor, when we entered the room smelt very musty, like there had been a leak or flood and the room had dried out. The room though was very clean and had just what we needed in terms of amenities.The location was excellent and everything we needed was just a walk away. At the end of the evening we were very grateful that we were on the top floor as we could still hear the noise from the revellers outside, i would hate to think how loud it was on the lower floors. Although this is something the hotel can control it is something to bare in mind when staying in the sumer and the likelyhood of you have your windows open is high.Service at breakfast was excellent as was the selectionOn reflection this hotel was good enough for us, as it was one night as part of a work trip. If we were staying on a leisure break, I am not sure if it would be the place for me, this is not down to the staff as the service was excellent, it was just the smell of the room and the noise in the night that would put me off	
Jul 15 2009 	Excellent small hotel in Fantastic Location	Second visit and what a stay, staff attentive and genuinely caring, room a good size, paid extra for King Size but well worth it. Breakfast superb and room service after a late night at the opera was fantastic. You can walk to China town and theatre land and if like us 20 minutes walking is no problem then you can get to St Pauls in one direction and Oxford Street in the other. Best place to stay and we have tried most.	
Jul 12 2009 	Excellent Location	I have stayed at this hotel several times and its location is the main selling point. It is in the theater district at Seven Dials. Close to Covent Gardens and Leicester Square--really within walking distance to all attractions.The staff at the hotel is wonderful. They are extremely knowledgeable and helpful. I could not find fault with any of the staff.I always book a King Deluxe room and have always been extrememly satisfied with the room. The halls and corridors look a little run-down but the rooms are good. I particularly like the fact that my room overlooked a quiet tree-lined street. It is not a five-star hotel but it is an excellent place to stay.I will stay here again and would recommend it to anyone who likes staying in the West End section of London.	
Jul 10 2009 	A perfect base for exploring London with a warm welcome for my Mother and myself.	My mother and I stayed here for two nights in June. It was our second visit in three years and if anything the service was even warmer and friendlier than the last time around. We were particularly impressed by the reception and concierge staff. No query was too much trouble and I liked the nice touch of a half-bottle of wine delivered to our room shortly after our arrival.Our standard twin rooms was basically furnished but spotlessly clean and comfortable and of a reasonable size for a mid-price hotel in central London. A good bathroom with a powerful shower helped at the end of a sticky summer day.Our rate was room only but we were able to avail of a buffet continental breakfast ,with an excellent range of fruit, cold meats, cheese, fish etc, at a discounted rate.Location is excellent for West End Shows and shopping in Covent Garden and Oxford Street - all within walking distance and the immediate area on Monmouth Street is pleasant to wander in day or night.	
Jul 10 2009 	Luxury 	Just spent last weekend at this hotel, it is located at Seven Dials in London, which is one minutes walk to Covent Garden and two minutes walk to Leicester Sq and Theatre Land.I would be a regular stayer at Radissons around the world, but I found this one particularly good. It had everything from excellant service to absolute luxury in the rooms. The staff were very friendly and could not have done enough for me during my two night stay. The hotel is decorated to a very high standard with nothing spared, but what sets this place apart is not so much the hotel itself (which is superb) but its the location. If you are going to vacation in London or going to be there on Business but still want to be at the heart of things then you could not get much better then this.	
Jul 7 2009 	dissapointed with room	Overall a nice hotel,maybe I'm a little picky...arrived at 2pm ,we had to wait 1 hr for check in.Room was tiny and cramped didn't expect this for money I paid.Room service excellent arrived within 15 mins of ordering and piping hot too,lovely breakfast too.Good central location,would advise to upgrade to deluxe room	
