	Clean and well located	London is an expensive city, especially when it comes to hotels / accomodation. I was looking for something very simple, quiet , clean and affordable where to spend a week in London.That's what Windor House is.For £38 / 40.00 a day I got a very clean room with shower (not en-suite) and a simple breakfast (enough to start a day).Ok, no TV, no telephone, no internet, but if there was a tv set, for example, I would spend my nights seeing tv, &quot;ruinning&quot; the day after !So, it is not a place to stay during the day but a quite and clean place where to keep your things and sleep. Earl's Court tube station is really just around the corner, making it easy to go everywhere.If you want to take food to the hotel, the kitchen is open to guests and there is a Marks &amp; Spencers &quot;Simply Food&quot; shop 50 meters far from the hotel.Two internet shops are really nearby.I recommend Windor House : good value for the price !And friendly people too.But if you are looking for real luxury, go to ... the House of Windsors (call Beth or Phil).André Acker, from Rio de Janeiro, Brasil	
Jun 23 2009 	Clean modest amenities and a warm friendly atmosphere.	Thankyou to Jan and her staff for another great stay at the Windsor House. I am a repeat visitor because of the clean, comfortable accommodations. The rooms are simple, noluxuries, but warm and the atmosphere is friendly and safe. A good breakfast is provided,and a clean kitchen facility is available for personal use. The location is perfect, walking distance to Knightsbridge (Harrods) and the tube (Earl's Court) is a two minute walk from the front door!.Every location is just a bus or tube ride away. What more can you ask for. S Philipow, Manitoba, CANADA	
Jun 18 2009 	Worst hotel ever	Reading the reviews, I was impressed by the complete different opinions: some very good and some very bad.I discovered for myself that good opinions can only be justified with astroturfing.This was the worst hotel ever.Everything went wrong: - when we arrive, our friends discovered they had not toilet in the room. Was not possible bedroom change and they have to get out of the room to get to the toilet.. - the kitchen does not have microwave and some elementary things - bread in the breakfast is handled with the hands and some other eccentric experiences - service, provided by asian guys, is rude - we asked to keep our luggage between checkout and going to the airport, when I arrived my luggage was in others guest room, with im insido of the room - we suspect that cards used to pay the hotel were used in Internet fraud.	
Jun 18 2009 	Best place to stay/location/price	I have been in Windsor House Hotel already many times, I regularly commute to London and in my bad/busy/ times this small, cosy hotel have always offered me the best price and accommodation in the area. I love the sense of staying in a Victorian high ceiling building and being able to eat my a take away in its kitchen and a beer in a sweet garden (that's what we did last time with some American family and Australians friends who were visiting as well). I found Windsor house very easy to reach, the staff is friendly, location a super plus and the rooms very clean (this is what my partner commented last time she was with me there) ahj a lift would make this place a bit heaven for me.. I simply find this hotel my cup of tea.... I would recommend to any of my friends and colleagues to stay in this any time. in fact some of them were already.  ps. winters offers are cheap, and you will always find loads of families cooking great meals around the evening so you wont feel any lonely!	
May 25 2009 	Budget accommodation value for money	Very close to the underground and London central. Quiet, clean suburb and accommodation. Rooms adequate with ensuite. Breakfast a good start for the day, and the use of kitchen to prepare our meals a big plus,as London's restaurants expensive for the quality and size of meals. Only negative of our stay was no lift and internet.Would definitely come back. Marie &amp; John (Goolwa, SA, Australia)	
May 21 2009 	disgusting b	We booked this b&amp;b in part due to somewhat normal reviews here on Trip Advisor and it was a convenient location in earl's court with loads of shops, restaurants and a tube station nearby. we normally stay in King's Cross in london but thought we would try this location for a change. When we arrived after a very long flight, i was not concered by the outer appearance as most London b&amp;b's look old outside but can be quite normal inside. The front deskman was very nice and welcoming, but the room itself had me burst into tears at the thought of staying even one night in this manky place. the door to the room wouldnt open as the lock was half busted, It was not clean, the furnishings are ancient and disgusting, the matresses was sagging in the middle and must have been 50 years old, with broken springs, the in room toilet/shower is ridiculously tiny, even by London standards and I am not sure how anyone could actually fit in there to shower - my husband called it the [--] &amp; shower special! we left that night and didnt even spend the night, it was too awful, i started breaking out in hives from all the dust in the room (parts of the wall were falling off!!) and i would have been scared to take my shoes off and walk on the gross carpet. I have stayed in some dives but this is the worst I have seen. we went to King's Cross instead where there are loads of normal b&amp;b's to choose from and wont make you cry just looking at them! shame on them for the money they charge per night and the disgusting rooms they provide at this rate.	
May 21 2009 	It is quite convenient and of great value in staying Windsor House Hotel.	We are from Taiwan, but so far we're living in Stockholm for my husband's research. This early May my 12-year-old son, my husband and I visited Lodon. When we planned for the trip, I surfed on the net for good places to stay. Two girls from Taiwan expressed Windsor's convenient location, though they thought the room was small. However, at that time we thought the most important thing for a first-time traveller in London is to find a clean and convenient place to stay. That's why we chose Windsor House. After we got there, in the beginning I did hope our room was facing the front street and with a view. Yet, after one day, I found there were too many things to see in London. The time we stayed home was to sleep. Therefore, even the staff said if we insisted on a room with a view, he would try to manage one for us if possible. However, we didnt' think it necessary, later.Windsor House was reallly old. But the room, the kitchen,the shower rooms, the toilets had been kept clean. I thought the staff worked very hard to keep to the standard. What's more wonderful is the kitchen! Though it's old too. Yet it has nearly everything you need to make simple meals for yourself. For example, after being tired of eating fast foods, I cooked instant noodles with the vegetables and stuff bought from nearby supermarkets. It's really wonderful. P.S. There are two small frigers there. If necessary, you can store your food there.About the location, it is only about 2-minute's walk from Earl's Court Station. And there are buses go to Kensington and Hei-Park corner. Besides, you can find nearly every world chain fast food stores there, And there are Chinese, Japanese, Italian restaurants there too.Most important of all near Earl's Court Station, there are at least three internet cafe'. It costs only 1 pound for an hour. It is really convenience. And if you want to mail what you buy to your home. Right in the front of the station is a post office. And there is also a self-help laundry store too.If you want a luxurious hotel, Windsor House is definitely not your choice. But if you want a convenient and clean hotel with a nice price. I would recommend Windsor House to you.This June we're going back to London, and Windsor House is still our choice.	
May 14 2009 	you get what you pay.	WindsorHouseHotel is the best choice for a leisure trip with friends.I have to say that is not suitable for a romantic trip nor for elderly people.The room fits only the beds and the bathroom is very small but when someone goes to London it is the last thing to think!Breakfast is simple with bread,marmalade,butter,eggs,coffee or tea and almost satisfying. Ihave been to London many times but I stayed only once here.Definetely I would stay here again expept for going with my boyfriend.Tip:get a room with shared room because the shared toilets and showers are much better and comfortable than the ensuited and you gain more money to spend elsewhere!Hve a wonderfull time in London!	
May 5 2009 	Great for families good location excellent value in the low budget class!	We ( a family with 4 children between 7-16 years) stayed in the WHH for the easter week and had a really good time. To begin with, the lady that answered my email inquiery was very friendly und patient to answer my numerous questions and helped me find the best option for us which was a 6bed room for the incredibly fair price of 94 pounds per day for the six of us including breakfast (Easter special, normally it a bit more)! The room was very nice and quite spacious, with a big window overlooking the little garden and a high ceiling We had six single beds (no bunks!) and a bathroom. The only drawback was the fact that it had only a bathtub and no shower (other rooms do have showers!), but there are community showers in the basement that we used - no problem! The rooms were cleaned almost every day and the beds made - something I did not expect in a low budget place! Except for a faint noise from the nearby tubestation( 5min. walk - great!) it is a very quiet place (no noisy parties at night!), and we woke up to birds singing in the garden every morning! Breakfast was served in the basement breakfast room ajourning to the kitchen that could be used from 11.am. - 10p.m. Breakfast was tea, coffee and milk, cornflakes, toast and jam as much as we liked and a boiled egg. It was really great to be able to use the kitchen as eating out is so expensiv and the kitchen is well equipped and clean with fridges that can be used by the quests. We also enjoyed the garden for a quiet rest in the sun between sightseeing.The staff at the reception was very friendly and helpfull.If you are expecting luxury, this is the wrong place for you, but if you want a clean, friendly and comfortable low budget place to stay, go there! We will surely come back!	
Apr 11 2009 	Avoid it it's really a dump of a place	Did not like this place. Actually I can't believe I stayed even if it were just for three nights. My boyfriend booked this dump and we stayed here as we were meeting up with some friends who had traveled from Brighton to see us. It was more like an over-priced hostel than a hotel. Lumpy beds, blankets with a stench and unprofessional staff. Cash payment up front; that was weird or an extra charge to your credit card. The area is not as bad people speak of Earl's Court but if you can afford to do just a bit better then by all means do so. Avoid this nightmare if you can---seriously.	
Apr 1 2009 	Great Location Value for Money	The Windsor House Hotel provides exactly what the web-site promises: a homey and clean setting with no frills. It offers access to Central London by tube or bus from the Earl Court Station, clean facilities, and a very helpful and accommodating staff. It's in walking distance to the South Kensington museums, and Holland Park. It was my travelling companion's first trip to Europe (from Latin America) and he described the B&amp;B and neighbourhood as being what he imagined England would look like.	
Mar 22 2009 	Beware!	We stayed 5 dismal nights at the Windsor House Hotel. They describe the hotel as &quot;super-clean, comfortable and friendly – without super-luxuries&quot;. It was not clean, the furnishings are decrepit , the matresses sag in the middle and the springs stab your back, the en suite shower/toilet is impossible - literally the size of a phone booth. The staff consists of two Asian ladies who prepare breakfast (only toast, boiled egg &amp; coffee/tea) and have to clean everything: all the rooms, toilets, showers &amp; kitchen. They are over-worked and it shows. The only good thing about the hotel is its location	
Mar 19 2009 	Good for the price	My boyfriend and I stayed here for about 25 pounds each per night. Brilliant value for money considering it's London and proximity to the Tube.The hotel itself is a bit dilapidated and as long as you think &quot;I'm just here to sleep&quot; then it's ok. Our &quot;en-suite&quot; was a shower in the corner of the room and sink, with a toilet outside the room for our use only. Therefore the room smelled a bit damp.In terms of cleanliness, there were a couple of stains on the carpet, but the sheets on the bed were immaculate and pressed, which is what is important.The breakfast is awful, we didn't have it after our first experience. They are trying to keep the costs down, so it is thin, cheap toast with jam and a hard boiled egg, with nasty coffee/tea, but considering the price you wouldn't expect breakfast at all in other places.Most people have previously said that the staff were rude, but they answered all enquiries and kept us informed. They just weren't overly chatty.	
Feb 28 2009 	The best thing for your money	Okay its not the Ritz if you get that out if your head you will be fine. We were on a girls week and it was great. the price was excellent. Breakfast was ok. It was toast, jam, coffee, or tea, hard boiled egg and corn flakes thats it, fine for us most of the time, I was the only one out of five that went down to breakfast most days and coffee was fine.I took the first shower and tried to get out of the way. We had five beds in the room and a small dresser for each and enough space to hang everything. The bathroom is just a funny story to tell. We managed and if five woman can anyone can.Lets just say, take your pants off before your shower and dont run the water full blast. Bathroon was small. You can use the toilets downstairs.Staff was okay not super friendly but not rude. We had toweles when we needed them, just ask.We even had a liitle explosion with our converter which didnt seem to surprise them it knocked out the power and when we returned they had it fixed.Location wa excellent,close to everthing you could want, tube 2 minutes grocery store and restaurants 2 minutes even a pharmacy which we needed for an ace bandage(sprained ankle). Bottom line well worth unless you are looking for super elegant. Very clean, great location, excellent price.	
Feb 20 2009 	Perfect place at a great price!	The Windsor House Hotel is a great deal, with a great location. We had 6 in our room (parents and 4 kids). Our room was on the main floor. Our room had a large bathroom with a bath tub. (there were a few showers in the basement that we were allowed to use). The hotel itself is a 2 min walk from Earls Court Underground Station (and that is walking with 4 kids and 10 bags!) It is a 15 min walk to Kennsington Palace, and 10 min walk to &quot;The Big Bus&quot; bus stop. For breakfast they had toast, jam, boiled egg, coffee and tea. The rooms were clean, (well serface clean, nooks and crannies not so much attention, reminded me of home! lol) The beds had plenty of blankets, the heaters provided enough heat for the room. My bed had a spring that stuck out right about my kneecap, I meant to mention it to the manager, but I forgot. I am sure they would have helped me out had I complained, but I was far too tired to be too concerned about the spring!	
Feb 17 2009 	Good Location value for money but you gotta laugh about the place	This is the perfect place to stay if you go into it with the mind set that you are just there to sleep and to be fair the price of places to stay central in London is extortion so this place is a pretty good deal considering. The best bit is if your lucky you will come home with a funny story about staying there like we did.There was six of us staying in one room and when we got there we were told that on your second night we would have to move rooms which was o.k We got into our room and there was no shower only a bath ( for six people ha,ha) and the only thing protecting the rest of the room from seeing you in it was a flimsy see through shower curtain and some glass doors. The second night I made sure there was going to be a shower in our room and the Man assured me there would be. So we got back after a very long day and six of us had to get ready for a party that night and when we got to our new room the shower was just in the corner of the room!!! I kidd you not no curtain or anything standing there like a wardrobe, we just had to laugh because unless you are very good friends no-one is going to use it. Luckily there were showers on the level below for the other rooms so we just used them instead, but the pressure was pretty poor.Overall we had a good laugh at the experience, the staff were really nice and the place was clean cant ask for much more. I would stay there again.	
Feb 6 2009 	Museum tourism family from Prague	We can highly recommend this hotel to a unassuming families with childrens, who want to spent some time in London and who want a standard, clean, for the atractive locality cheap hotel, close to underground, centrum, and even walking accessibility to London beatiful museums and historical sights. We really appreciated unusual possibility to use the kitchen for evening meals.	
Feb 1 2009 	nice place nice people	I started going to Windsor House Hotel in 2004 and I still go whether I am alone in London for a theatre break or I have some friends to show around the city.Fantastic location, very nice and friendly people, kitchen facilities, rooms small but clean and they even give you towels!And the price is a very reasonable one.	
Jan 30 2009 	Nice hotel for sleeping. Do not ask for more	I have read some reviews about Windsor House Hotel, and most of them match with my experience there. What is good in this place? Location and prices! Are you hungry at 3.00 am? No problem! Just go out and look for some place to eat. You can find McDonalds, Burger King, Marks&amp;Spencer, Chinese food, Pakistanese food, Indian Food... whatever you want. And yes, there are plenty of them that never close. Less than one minute walk from Earls Court Station. I dare to say that you wont be able to find anywhere in London with such a very-well located place with such prices. And I mean it! My bed was pretty good too.Well, but it is not Heaven at all. Rooms are VERY small. No toilets inside the rooms. Some toilets do not work properly. The showers are not that great since i had some problems with water heating. My room looked clean, but i cant say the same about the kitchen. Terrible breakfast, by the way... Staff friendly, but not all of them.Are you planning to go alone (or with some friends) and use this hotel just for sleeping? Go ahead! I am sure it is the best choice.Are you planning a romantic honey moon? Are you looking for great meals and any kind of luxuries? Definately it is not the place you want to be.	
Jan 20 2009 	Cheap and Cheerful	Price and location were the main reasons for booking this hotel.Good Points: Clean, very friendly and accomodating staff, price, kitchen.I booked this for myself and my mother. Unfortunately my mother had flu and bronchitis at the time so the many stairs were a big problem. The kitchen is clean and tidy and you can use it to make meals or simply a tea and coffee. Breakfast was simple but enough. The staff are all friendly and accomodating. Less than 2 mins walk to Earls Court Tube station and plenty of supermarkets and restaurants/take aways within walking distance.Bad Points: Stairs.. if you can't handle stairs, don't book here. Things to improve on: Rooms could do with a lick of paint. For smokers there is no ashtray provided outside. Matresses were a bit on the old side, but comfortable enough. If you plan on spending a lot of time in your room, possibly not a good choice, but as a base great. All in all I'd recommend this hotel. It does what it says on the tin. CHEAP N CHEERFUL	
Jan 19 2009 	Perfect Hotel for our trip	The Windsor House hotel was chosen mostly because the price was right for our trip. It turned out to be a great choice for more reasons than that. It is very close to an underground train station (less than 2 minute walk.) It is has several restaurants also right within walking distance. The staff were very friendly and accommodating. It isn't a fancy place, but we wanted to stay within a budget and this hotel was ideal for that. They also allow guests to use the kitchen during the day and prepare meals and such for added cost savings. We didn't take advantage of that feature but I liked knowing we could if we wanted to. The price also included a full English breakfast.	
Jan 18 2009	Really well located!	Clean hotel with friendly staff. The location is perfect. Within two minutes walk from Earl's Court tube station. Simple but good breakfast, you can you the kitchen to make your own coffee and tea, which was of a good use for me.Would definitely stay there again on my next visit to London.Júlia from Brazil.	
Dec 20 2008 	Well located with familyroom	A friendly and nice low budget hotel, perfectley situated close to Earls Court. Underground and buses nearby. No problem to fit in 6 people in their big familyrooms.We stayed on the 1st floor, wich was very quiet and convinient. We had our own bathroom, with a tub, but with 6 people, it was very good to have moore showers and wc´s, in the basement.Friendly staff, always with a smile.Typical English breakfast, that kept us going until lunch.Remember that during the wintermounths, England is cold and there is no central heating. Although, there was no problem to get an electric heater into the room.	
Dec 15 2008 	Good value for money	I spent a week at the Winsdor House at the end of 2007 and I am hoping to repeat the experience some time soon. I would particularly recommend the hotel to fellow South Africans as good value for money, taking into account our exchange rate! If you are looking for luxury you will not find it here but you will find a clean, and homely environment. A modest breakfast is included but you are free to add your own extras and the kitchen is always available for making your own tea and snacks - another cost saver. Shops to buy provisions and take aways are also just down the street.I was there in winter and was very grateful for the heating in my room as well as the plentiful supply of hot water.The convenient situation of the hotel another of the plus features. The tube station (Zone 1) and bus stop are almost on the doorstep.The only thing to be mindful of is that it is an old London house so you must be fit enough to do up and down the stairs.So, as a base for a sight seeing holiday in London, I would definitely recommend this hotel to you.	
Dec 2 2008	Awful!!!	I stayed in the Windsor house hotel for 5 nights and I have to say it shouldn't even be called a hotel!!! First of all, I was in a double room with my partner, and we were given 2 single beds pushed together - they didn't even level with each other! The carpet was in a bad state, the &quot;bathroom&quot; was so small you could have a shower, brush your teeth and use the toilet all at once if you so desired. Management had informed us we could use the kitchen to make our meals, and breakfast was included in the price. We had breakfast that morning (basics - toast, cornflakes, boiled eggs - I wasn't expecting much more for the price of the place, so that was fine). When I went to make my dinner that first night, and was looking for a pot, I found the breakfast items - milk, margarine etc - in the cupboard!Our towels were not replaced all week although our bed was made every day. The &quot;lovely patio garden&quot; was weeds and filthy patio furniture..the whole place was a complete shambles and I would thoroughly advise staying elsewhere!!!	
Nov 25 2008 	Nice time in hotel near centre	I´ve been to London fourtimes and every time I lived in other hotel/hostel. This hotel was the best one with very good location. The room was clean and quiet. Staffs were friendly and gave us good advices. Breakfast was pretty good. If I go to London again I´ll stay there again.	
Oct 30 2008 	Good value for money	Comming from Norway I had a nice stay for two nights at the Windsor House Hotel. The room was clean and ok. The bathroom is the smallest I have ever been into - but there was no carpet at the bathroomfloor :-) I wish every other hotels in Britan look at the Windsor House Hotel in this aspect. For me the missing carpet in the bathroom was a big pluss.The staff was very helpfull and serviceminded.Nice location with Earls Court Underground station only 1-2 mins away.Highly recomended value for money in London!	
Oct 24 2008 	Pros and Cons	OK there are definteily pros and cons about this place, and here they are:Pros:Great location, safe and convenient to the Earl's Court tube station. Lots of shops, restaurants and pubs nearby. The B&amp;B is clean and comfortable. Some staff are very friendly. Breakfast is included: hard-boiled eggs, toast, butter, jam, tea or coffee (salt, but no pepper for some reason.) Cons:Our room had a shower but a shared toilet. The hot water in the shower never worked properly during our stay although the staff did look at it and try and fix it. The shared toilet was a real problem. The toilet did not flush properly and would be clogged every morning. NOT a good thing to wake up to. Some of the staff were not very friendly. Also, although I had paid ahead of time and confirmed this several times prior to my arrival. I was still told that I owed money at check-in. Luckily I had the e-mail on my blackberry that said I had paid in full but there was still confusion. The booking management is not well-organized. Breakfast is minimal and if you want some more nutritional value you need to supplement it yourself (but this is not difficult as a M&amp;S and other shops are just down the road.) Overall I would definitely stay again, but not in the same room. Also it may be easier just to pay cash at check-in than by credit card ahead of time, as this seemed to cause confusion.	
Oct 21 2008	Great No Frills Stay	This is the 3rd time I have stayed at this B&amp;B, but this first time with a large group of 15. The B&amp;B was very accomodating, especially when we added another person weeks before the trip. Everything was as described. The rooms were basic. We had no problem at check-in or check-out. The hotel staff willingly answered questions &amp; gave directions. Breakfast was very basic, but excellent - enough toast, coffee/tea, &amp; boiled eggs you could want. Use of the kitchen is always much appreciated, though we rarely took advantage of it thanks to excellent eateries in the area. I will definitely be staying at Windsor the next time I am in London. A great location for a great price.	
Oct 15 2008 	Budget as described but needs maintenance	I definately felt I was well prepared on what to expect with this B&amp;B - I had read and re-read all previous reviews on trip advisor.It is definately a no frills budget accommodation and I don't believe that the owners are misleading on this point it is made clear on their website and in the email I received from them. In saying this I don't think I could bring myself to stay there again. We were checked into one room and told (on check in) that the next night we would have to move to another room due to maintenance works. I'm not sure the maintenance works story was quite true as we believe they just needed our first room for a bigger family - in saying this the staff did carry our luggage up to our new room while we were out for the day. Unfortunately the new room came with a broken shower.I will try to be factual and list the good and bad points below.GOOD POINTSLocation is excellent - close to Earls Court Underground StationBest Chinese Restaurant within a few minutes walk on Earls Court Road (I think it was called Dragon Palace)Supermarkets, Pubs, Laundromats everything you could ask for close by.Cheap accommodation (for London)Room made up each day ie. beds re-made and general tidy up.Bed Sheets and Towels clean (which obviously is what is expected but I just wanted to add as a reassurance)Reception staff quite accommodating in all our request.We were able to leave our luggage with reception after check outBAD POINTSShowers/Toilets require a good deal of maintenance - my shower had broken off the wall and had leaks therefore our water pressure was rubbish. Toilet seat kept falling off. My sister-in-laws toilet/shower smelt like urineSome rooms are quite cramped - can feel like sleeping in a dungeonBeware if you have noisy upstairs people - I was kept awake to 3am in the morning due to a squeaky floorboard above which everyone seemed to walk over every 2 minutes.Use of kitchen facilities - this should have been a good point and something that I thought I would make use of but the first night I arrived the oven was filthy and had leftover food scraps. This wasn't cleaned out for two days - definately put me off using kitchen facilities.Overall the stay we had there wasn't bad but I would probably pay a little bit more next time in the hope of getting somewhere a little better maintained and presented. I felt comfortable going to bed, as I said before the bedsheets were clean and you didn't feel like you were getting into a dirty bed. The beds are nearly due for replacement. Just the overall feel of the place made me cringe a little and I don't believe that I am particulary fussy. The garden out the back is very overgrown and definately not somewhere that you could go out to.I hope this helps you when making you decision.	
Oct 11 2008 	Excellent value for money	The Windsor hotel though not very modern, was a freindly, and welcoming hotel. The rooms were basic but had all we needed. The rooms were clean and fresh. The idea that the kitchen can be used to prepare your own snacks etc was great, saves money on restaurants etc when one is travelling on a budget.The surrounding area is perfect, with shopping, and nice bars etc on the doorstep, and the tube is litterally 2 minutes walk from the hotel.If its luxery and waiting on that you are looking for DO Not use this hotel. But if basic, clean and friendly with a price thats easy on the pocket is what you are looking for, then look no further.At 96 pounds for 5 people for one night its a bargain, and we will happily stay there next time we are in London.	
Aug 31 2008 	Never Again	Couldn't believe the first thing we had to ask for was toilet roll for the shared toilet on the third floor. The staff were friendly and welcoming, but the decor of the hotel and condition of the rooms, bedding and towels really could do with a little upgrade ( i.e. no holes) The picture of room 18 shown on this site is no longer true. You will find one curtain that requires de-dusting and it covers about 66% of the window. I dreaded the children needing the toilet in the night as the door had no facility to stop it locking behind them. It may suit some people with older children, but I do not recommend it to elderly people or to families with young children.A great point is that it is near to Earls Court underground so it is a good base for sightseeing, but it has so much potential to be so much more. Cheap and cheerful some may say.	
