	nice place shame about the area! No Good for anywhere really.	Sold as London Park Royal, this is about as royal as China is Democratic, no obvious park and about 90 minutes from the City, an hour from the west end.The hotel is clean enough, nice and new with rip off parking and expensive films. The area is a bit mix and match with possibly the worst &quot;Mediteranean&quot; restaurant in london across the road, if it wasn't out of stock it was still in the freezer, even the kebab was bland, the lebanese beer on the menu was fake appletise at £1.50 a bottle. The food we had was fresh and the waitress useless but funny, mainly because she spoke about 30 words of english.There is a pub, and a tube station 100 yards away which is JUST in zone 2 and manages to make just enough noise to get you up before dawn.Breakfast starts half an hour later than most at 07:00 and given that it's an hour or more into the office, is totally useless apart from the very nice mini muffins which came out first.You can do so much better for less money.It's handy for... wormwood scrubs prison. It's a short list.Close to the BBC, wembley and some of the roughest places in northwest London, but not close enough to be of any use.	
Aug 30 2009 	Wonderful!	We picked this hotel because of the rave reviews from several sites, including TripAdvisor. And Im glad we did. The Tube is right behind the hotel. SOOO convenient! When we first checked in, they said they didnt have a reservation, but found our voucher so they ended up giving us a double twin bed room. It wasnt bad at all. The room pretty much just has the basic stuff we need: bed, clock, bathroom, hairdryer, towels, soap. The receptionist was very helpful too. We even used their safe with a returnable deposit. They had a plug adapter which was a real help coz we forgot ours and was almost about to buy those from the store for like 10 pounds. So, we asked and got it. It didnt hurt. LOL. Also, there's a convenience store right next to it as well and a bar across the street. So when we got there the first night at 10 oclock something with no dinner in our stomachs and with most restaurants pretty much closing, we grabbed some sandwiches, chips, sushi and large drink and we were good. Breakfast was good. Saved us a little bit than eating out. They have continental. So every morning we would grab breakfast and head straight to the Tube. Loved this hotel.. Will definitely go back!!!	
Aug 25 2009 	Absolutely Lovely Hotel...	Believe me you will not be disappointed with this hotel if you are looking for the best budget value. Its proximity to the train station is fantastic, on the same block just 10 yards away perhaps. The rooms are small but that is Europe for you; but are kept neat &amp; clean. There were 5 of us in total and we requested a connecting room, which worked out well when sharing meals. Their version of a Super Walmart's (ASDA) is walking distance away (15-20 minutes, made no sense to wait for a bus), where we picked up frozen lunch &amp; dinners. We also picked up a cheapy styrofoam cooler, where we stored our perishables since the hotel does not have a mini-fridge. You can get free ice from the ice machine in the lobby. Unfortunately the hotel does not have a microwave but they were willing to heat up our meals in their kitchen, but with so many of us it was way too inconvenient. At ASDA we picked up a cheapy microwave (to use in our room clandestinely) and nuked lunch and dinner in frozen versions (we were really on a tight budget for the 8 days we stayed there). Of course the hotel provided breakfast which hit the spot, no hot foods but it served is purpose. The rooms are designed to hold a maximum of 2 people and an infant (in a playpen that the hotel provides). You have a choice of 2 twin beds or 1 double bed. The playpen was not at all comfortable for my 3 year old, so my suggestion would be to bring a lightweight portable cot (like an army cot) or a sleeping bag for the 3rd/4th person in your room. You could probably forgo carrying the cot/sleeping bag and buy it in ASDA, this way it would be one less item to lug around. THE HOTEL DOES NOT HAVE ANY COTS OR PORTABLE BEDS. Even with the purchase of a microwave, we saved tons on eating out! We even purchased edible goods at the supermarket right across the street. The staff is very hospital and helpful! I made the error of all errors and left 1 piece of luggage behind which the hotel helped ship back to me in the states. We paid for our hotel rooms approximately $42 per night (with all fees and taxes) through Hotwire.com. And I know you are wondering what happened to the microwave, well there was one lucky cleaning lady! There was no way I was going to bring that home!	
Aug 20 2009 	Great service	I'd stayed at another Holiday Inn Express a couple of months ago and was underwhelmed. Disinterested staff, sofa bed left down and I cut my hand turning it back in to a sofa, cold breakfast with yesterday's bread taken out of the fridge and placed back in front of the customers.Holiday Inn Express Park Royal could not be more different. Warm friendly and effficient check in. One of the staff moved her car so that I could park. Friendly bar service. The bread was fresh, the coffee drinkable. Even the customers looked happy!Room was standard but everything was in place and worked. I was working in London en route from Nottingham to Somerset, so perect location next to the tube station for easy access to West End, City and Central London.I'd definitely stay again. Well done and many thanks to the team!	
Aug 12 2009 	Comfortable stay	We found this hotel on tripadvisor with many good reviews. We booked this on the internet. Check-in was so easy, almost too easy as the staff did not even look at my passport to confirm my identity! (If you book this hotel, don't let people know because they could easily stay there in your name!)Travel to and from the hotel is quite easy because North Acton tube station is right behind. But if you have luggage you will have to haul it up/down the stairs from the platform. They are building a lift so hope that it gets built quickly.From the airport it is possible to use Heathrow Connect and change at Ealing Broadway, but you MUST have tube tickets before you board the Heathrow Connect to change on the platform, otherwise you will have to go out and buy tube tickets, which is troublesome. I wish I had known this fact.Breakfast is good. It is continental breakfast buffet so you can eat well here, but it gets a little crowded as the hotel is popular. Diagonally opposite the hotel is a Tesco supermarket, so it is very convenient if you need anything.We were told this hotel was convenient for Wembley Stadium, but we found out unless you are driving it is no use because public transport won't take you there directly and buses don't run to Wembley on a match day. We took the tube instead and it took us one hour.The staff were very helpful with local transport info and airline info.	
Aug 5 2009 	This hotel is nice!	We chose this hotel because we were a large group and we wanted to stay all together in one hotel. Being a bit far from downtown and looked for a good and not to expensive hotel, we found this on the internet. We loved our stay here. The tube is only a few steps from the hotel. Taking the Central line at North Acton station will take us straight to oxford and other main attractions in 15 min. The hotel was clean and the staff were friendly. There is also the Westfield mall just few stops away from the North Acton station. There is also a Tesco store nearby to buy some stuff if needed. The room were nice, spacious and breakfast was good enough. The only thing was the internet line was not free and we had some problem with the service the hotel was using getting to Heathrow airport. They wanted to charge us more than agreed upon. Booking the service we said we were 11 people with 11 bags. The hotel staff called the service and they said it would be enough with 2 cars. This was a fixed price so everyone in our group agreed to take the service. They arrived on time at the hotel, but the cars were not big enough. We said we can put some of the bags in our lap so we can fit, but they wanted to charge us extra or order another car. We had to argue because we didn't realize the cars were only 7 seats cars with small luggage space. If not using the two seats at the back the luggage would fit but some persons must sit on the laps. They were willing to drive us but wanted extra charge. We didn't want that and said we had a fixed and agreed price. It ended up going to Heathrow with them anyway because one of the driver were kind and willing, but the other still wanted extra. We ended up giving him 3 pounds extra when we got to Heathrow. Thinking back, I would rather give extra to the kind driver that were more willing to take us upon agreed price.Still this is not the hotel's fault and we decided not to give any bad rating because of this. We were happy with our stay and would stay again in this hotel.	
Aug 3 2009 	Great place to stay	My boyfriend and i stayed here- it was a really good location. Pros:location- there is a tube stop nearby; it is in the middle of central london and heathrow airportqueen size bedspacious room- queen bed, couch, etcbathroom (a tad small for my taste- but in europe it is large for a bathroom)cleansome of the receptionists were very nice and really helped me out (some were not)breakfast was includedwe got a great deal on this hotel with Hotwirecons:creeped out that the maids snuck in while we were sleeping, and moved a &quot;do not disturb sign&quot; to the outside of the door-- but we should have put the do not disturb sign out- so not so bad and our faultsome of the receptionists were not so nice	
Jul 30 2009 	Great Hotel	This Hotel was great. The bed was samll but it is Europe. They were EXTREMLY employees. And we are probably going back again.Room was nice but limited channels on TV. Breakfast was good but no variety. Great location. You walk around the hotel and there is the tube. You walk across the street and there is a Lebon. restraunt and a food store. Great value for your buck. And the tube ride was 10-15 minutes.	
Jul 27 2009 	Excellent Choice	I stayed in the hotel with my spouse and a 12 year old daughter, for 8 days from 17th to 25th of June, for a leisure trip to London. The check in was one of the most amazing one as it took me less than 30 seconds as all my things were ready, along with a voucher for free surfing for 4 hours. I guess like everyone else has mentioned, that the location is simply unbeateable if you plan to visit London by the tube.Though the area around the hotel is not too exciting, but who cares, if your only aim is to visit London and its attractions. You are just 20 to 40 minutes away to any place of your choice in zone 1 &amp; 2.A special mention about the staff. THEY WERE EXCELLENT. You cannot expect better and most helpful service in London. GUYS KEEP UPTHE GOOD WORK.I certainly plan to return back soon.	
Jul 20 2009 	Nice Stay	Stayed in hotel for 3 nights with 2 small children and college-aged niece. Room was clean and roomy enough for us. Breakfast was okay but free. North Acton Tube station is right outside door. Tesco Express (small grocery store) and gas station near by with good prices. Hotel offers dinner Mon-Sat for reasonable cost compared to some hotels. Pub not far from hotel with small menu. Vending machine in hotel with okay prices. I would use hotel again in future. I wish someone had told me that London tube stations are not stroller friendly. Very few stations have lifts and many stations have at least one flight of stairs if not more. Westfield Mall is not far from hotel off White City underground stop with short walk. Do not use Orbis Air Link to get hotel because they are not reliable.	
Jul 18 2009 	Tube proximity  Free Breakfast and Clean	Traveled with my wife and 3 Teen boys and had 2 rooms side by side. Staff was very helpful even before I left the US. Tube Proximity (North Acton station) was ultra convenient--No Rental Car required to get anywhere. Stayed for a week and the Free Breakfast was very helpful in getting us going for our adventures every morning--helped defray the food cost that the teens would have generated. Having a TESCO across the street open until 11pm also allowed us to get the late evening snack after a long day of site seeing. Price is lower than many &quot;downtown&quot; hotels--and we spent that difference every day on attractions and food. Would recommend to anyone willing to give up 20 min of Tube travel time for a substantially lower daily rate. Would stay there again in a heartbeat.Rooms were spotlessly clean and efficient--not the greatest AC but it worked fine. Only wish was for a few more TV channels and maybe a Frig-but given the limited time we spent there aside from sleeping and eating breakfast--this hotel was the best match for my family.	
Jul 16 2009 	Very nice place	Rooms were clean and cooled. Staff were helpful and serviceminded.50 meters away from a bar with ok and cheap dinner with a nice atmosphere.One of the best things about staying there is the easy access to the North Acton underground station. 20 mins with the tube to the city centre is really ok compared to som of the old and dirty hotels closer to the centre.	
Jul 3 2009 	Spotlessly clean comfortable convenient.	Thanks to all who wrote reviews. Since we planned to stay 35 days and because paying in advance ($3704) gave us a lower rate, we had a stake in your reviews. Fortunately, they are on target. We wanted a clean, comfortable place to return to each day after sightseeing in London. This Inn is just that. It is spotlessly clean. The desk staff bent over backward to be helpful. They would do credit to a 5-star hotel. The complimentary breakfasts were complete and tasty. Tour groups seem to have discovered the Inn and each morning the dining room was full with a different group. Four staff kept the breakfast well-supplied, the tables cleared and the counters neat.We did not use the bar or restaurant and cannot comment on the safety of the surrounding community after dark because we returned each day by 7 or 8 PM. The Tube station is behind the Inn and is only a half hour from downtown London. A mini-market is across the street, and a laundromat 10 minutes away. A city bus stop was just below our window, but the street noise didn't bother us, even with the window open. It may others. Inside, the hallways were quiet and there was no noise from adjoining rooms. The AC is a bit sluggish. The water is super-soft, slow to rinse off and makes the shower floor slippery with soapy water so be careful (stand on the bath mat and its okay). If you want a clean, comfortable, safe, quiet and convenient place to stay in London, this is it. We recommend it wholeheartedly. W. &amp; M.A., Michigan	
Jun 28 2009 	Best budget hotel in London!	I've stayed in many, many hotels in London and this one was by far the best. Rooms were large and comfy, full of many little great ideas and very clean. The shower was modern and roomy. Complimentary tee and coffee in rooms and good breakfast served.Staff was amazing - a special thank you to the lady at the reception who allowed me to use the staff computer to print out my boarding pass.Also well connected via the tube thru the North Action station.	
Jun 15 2009 	Perfect!	Good location: -5 mins from the North Acton Underground Station.-Tesco Express across the road-ATM and bank and a gas station next door.Price: Resonable and a simple and good quality breakfast provided.Accomodation: New and modernly furbished.We are always greeted with a smile!	
Jun 4 2009 	Loved the Service	The location of the hotel, though a little away from Central London, was great as it was just outside North Acton Station. It was a convenient location to reach out to any part of London. The service be it the reception, housekeeping or at the breakfast was excellent. The rooms were quite good and the breakfast very good. As we reached in the morning we had to wait for check-in, but they offered coffee/tea which was nice of them.The Airconditioner was not working well in the room and it was not possible to open the windows, so was a bit stuffy during the night. Otherwise an excellent value for money hotel and would not mind going there again	
May 31 2009 	6 Star Service	This hotel is spotless and well situated for easy travel into central London . Rooms are modern and have all you would expect from any hotel .The jewel in this hotels crown is its customer focused staff from front of house to the house keeping staff the best i have ever encountered , we wish we could stay their every week	
May 25 2009	Overall an enjoyable visit.	A nice welcome from staff, even after being told on the phone while booking that we we could not check in until 2pm unless we paid a fee, we arrived at 1pm ish and all of our rooms were ready and we checked in straight away. The tube station was just around the corner and although we were told it would take about 20 mins to reach covent garden we were still on tubes 45 mins later. That was the only down point. A taxi fare back from covent garden (none of the taxi drivers knew where the hotel was!) cost around £30.The breakfast was nice and everything seemed clean. My room was nice and quiet and very comfortable with a very good shower and air con. The only thing i didn't like was the hard pillow. It was really uncomfortable. Overall a really enjoyable stay. Well worth the money.	
May 22 2009 	great place to stay!	Wife &amp; I in London for vacation...booked this hotel through Hotwire package w/ airline. Great place, entrance to North Acton tube station (on Central line) right next to hotel &amp; is ~30 minutes to central London w/ a tube change...easy to access London! Plus is only ~45 minutes (including change to train) out to Heathrow airport. Hotel.is very fresh, clean, nice as any HI Express in USA, room decent size, bed comfortable, continental breakfast nice selection, hotel has bar &amp; small menu restaurant...we did not use the bar or restaurant though. Staff very friendly &amp; checked in our bags for us when we arrived early &amp; room not ready. Hotel across from a mini-supermarket (Tesco Express) w/ anything you might need &amp; across the street is an Indian takeaway with prices not much higher than in USA. Price on room as part of our package deal was great &amp; you can't beat this place for location/price/comfort! We will stay there again when we go back to London!	
May 21 2009 	best choice to avoid high rate in central london	it locates in zone 2, the last station on central line North Acton, it takes only 2 mins walk to the tube, 10 mins to notting hill, 20 mins to oxford street. not expensive at all in london. can enjoy the silence out of central london, room bacis facilities are very much enough, breakfast provides what basically has. internet access on lobby desktop needs to pay. staff are nice, few of them from local, others from south asia, still nice. they check whatever info you want, even print it out for you. if you forget to bring some personal hygienic stuff, they can provide you too. my room was in first floor with street view, but noise wasnt a problem at all. and very safe as well, after mid-night, need to have your room key card scanned to open the door. for 5 nights, they offered a very decent rates in london.	
May 14 2009 	Wonderful Experience So Far	My wife and our 9 month old daughter arrived at the hotel after a long flight from New York. I would suggest getting a cab from the airport to the hotel rather than catching the tube especially if you are coming in during the morning rush for it was very cramped and hard to switch trains. However I would assume that at non-peak times from LHR its a very easy journey only catching two trains. When you first get off the train the area looks a little industrial and run down. However as you turn the corner to the hotel its a fairly nice neighborhood with businesses and some cafe's/restaurants. We are going to be exploring some of them this eve. as we are still too tired to venture into central London. We got to the hotel around 9:30 check in was at 2. We were both extremely exhausted the hotel staff offered to keep our bags and even said we could enjoy breakfast (fairly good). It was great to sit down and have a decent meal after our flight, and so nice of them to allow us to do so. After having a quick stroll around the block and a espresso at the coffee shop across the street we made our way back where the hotel staff had a room cleaned and ready for us to check in early! As Priority Club members we were able to get some serious rewards points for the room and are already eligible for a free night. They also have a great late check out policy for club members and keep your name for easy check in when you arrive- a huge plus. We were in our rooms by 10:30 way before our check in time. The rooms are very well appointed. They are modern and well maintained. No mold in shower I felt 100% conformable having our daughter crawl around and explore. The bed is a little small but thats standard for Europe. Like the other reviews said the hotel is directly in front of the tube. The only downside is the wi-fi its 13 dollars a day and can be shotty at times. And the location is somewhat of a journey but the price and service and quality is unbeatable and makes it worth the 20-30 min train ride. Our stay will last for four more nights and tomorrow we are going to explore London.	
Apr 27 2009 	Totally customer focused an incredible bargain in London	We booked through hotwire and were amazed at what we were offered for the small amount we had paid. We chose the location because of its good access to Heathrow (already described in other reviews). What we did not expect at all was the amazing customer focus in this kind of hotel. When we asked about public transport in the immediate neighbourhood the receptionist gave us detailed, precise, correct instructions, wrote them all down on a little tube map. They stored our luggage until the late afternoon before we head off back to Heathrow. The decor is typical Express by Holiday Inn: small, functional, clean surfaces, no frills. Everything worked. The free continental breakfast was more than adequate. We had requested a sofabed for our son and it was ready and made up when we arrived, which we greatly appreciated. We will be back.	
Apr 8 2009 	Superb choice a little way out	As have been said the hotel is extremely convenient to the tube, and provides a nice clean and comfortable spot. I think the 20 minutes to London is a little optimistic, as it was about 30 minutes to the middle of town, but more like an hour to Wimbledon, Kew Gardens, and more to Hampton Court and Windsor. The Central line did get you to all necessary connections and is as good as any for a traveler.The neighborhood is much better than previously noted. Directly across the street is a lovely pub named The Castle, serving until 11 pm each night except Sunday. Next to that is a kebab shop and a coffee shop, the Tesco and then a Lebanese restaurant. Around the corner is the cafe Bleu. About a 10 minute walk away is a laundromat run by Mafalda, which is open 8 to 8 each day, and she will do your wash if you wish. Adjacent to that is a very good Indian carryout. Additionally, a very short ride away on the 440 bus is an ASDA store, which has anything you may need. The walk from the tube station is well lit, and each night we came home after 10 there were at least 20 people exiting the train at the stop. I would not find it threatening at all. While primarily commercial/industrial it provides every necessary service a traveler would want. The hotel has a restaurant and bar also, as well as TV showing football in the evening.The hotel was primarily full of European travelers. Coming from the States this was an enjoyable experience hearing the languages. The staff is young, and while the cleaning crew did not fully grasp English their communication was fine and their performance exceptional. Breakfast was fresh with fruit and rolls plentiful. Cereal choices as well as coffee and teas. No complaints here. If you want more Cafe next door as well as coffee house across the street.The only drawback is the duration of the tube ride. In the morning if you wait past 9:30 the train is empty and your ride enjoyable. Earlier the commuters pack the train prior to this stop and you stand for a good duration. The same is true in the evening. If you come home late you have a comfortable time to plan your next day's events, but anything near rush hour is hectic.The other suggestion for travelers from the States is to acquire an electrical adaptor. The hotel did not have these and it was cured with a short ride to the ASDA store, but review the electrical voltage requirements of anything you bring. An excellent spot for a holiday. Sleep late, stay out late, and enjoy London.	
Apr 4 2009 	Perfect rate = Perefect hotel!!!	For the great rate you get here, there can be no better place to stay in LONDON! Located right on top of the NORTH ACTON tube station (Central Line), you are just minutes from HIGH OXFORD and rest of the city .. .. Take everyones advice if you are coming from HEATHROW &gt;&gt; Take the HEATHROW CONNECT train to EALING BROADWAY and cross the platform to the Central Line tube .. ..ROOMS are modern, neat and clean with everything you need &gt;&gt; In-suite bathroom with shower, terrific bedding and a big hotpot to make your coffee/tea .. ..And there is a TESCO EXPRESS across the street and CONVENIENCE STORE next door (get your stamps here) .. .. And, a LADBROKES SHOP next to the TESCO to play the horses!!THIS HOLIDAY INN EXPRESS IS AN UNBEATABLE BARGAIN for London -- I'll make sure that this is my first option every time I return to London!!	
Mar 30 2009 	Clean value for money hotel 20 mins from central london	We stayed at Express by Holiday Inn and we're pleasantly surprised. The rooms were spotless, the beds comfortable, and there was even tea and coffee facilities and a hair dryer. We could even leave our bags at the hotel after checking out and come back and collect them later.We took our laptop with us and my fiancée had some problems with the internet which he expressed to the staff who lacked concern. The breakfast was adequate however if you need anything it's not worthwhile asking the staff as none of them seemed to have good enough english skills to understand what I wanted. They didnt understand when I tried to tell them there was a problem with the elevator either. The staff on the desk were much better however.As many have said the hotel is located very close to the North Acton station which takes you right in to the city centre in about 20 mins. We ran in to problems when we realised the tube stops running at about 12.30am each night and even earlier on sundays. We took the N11 night bus as we saw it went to Acton (the only one that seemed to be going in the right direction) ended up riding it to the end of the line and getting a taxi from ealing broadway station. Took around an hour and a half. Apparently the way to go is to take the N18 to Jubilee Clock and then the 266 to North Acton. Still takes almost an hour on the bus!Overall we were very happy with the hotel, may even be making a return visit later this year.	
