	ok hotel	Clean, comfortable. We chose the area for the O2 arena, although it is about 7 minutes walk from Waterloo. For sightseeing, it is a good area. Rooms very comfortable, although we were woken on Saturday morning at 08:40 by house cleaners to see if our room was ready to be cleaned! (it was a bit early)!. Check in/out fairly fast, although loads of people. Breakfast good. Major problems with elevators. Only 3 for the whole hotel. Luckily we were on the 3rd floor and did the staircase, otherwise you could be 1/2 hour waiting for lift. Staff very professional. As in many London hotels,didn't like the fact that you had to pay for internet access.	
Nov 1 2009 	An amazing hotel right in the center of it all!	I have stayed in the hotel many times since it first opened and it still brings me back every time. The prices for the location, staff, and spacious rooms are worth it. I have been upgraded almost every time I have been there and even got to see the penthouse. If you are looking for a place to stay central to all the sights in London and worth the money-look no further!	
Oct 31 2009 	Great Hotel	I stayed at this hotel only for one night with my husband. We had the superior double room. It was spacious and clean. Our room even had an ironing board with an iron in it!!!The breakfast was delicious and there was a variety. But make sure you go before 9 a.m. as you have to wait for a table( there was a long queue) I didn't like the view from our room- just brick walls and the top of the London eye( a tiny bit).I do recommend this hotel. Oh! I forgot. The gym was well equipped-there was even a sauna and a steam room.We enjoyed our stay here. I would definetly stay at this hotel again.	
Oct 30 2009 	excellent (	We stayed at the Park Plaza last night to take our 5 year old girls to Disney on Ice at the O2 arena (the Thames Clippers leave from next to the London Eye and go to the O2 Arena) and wanted a kid friendly hotel with a room/suite big enough for the 4 of us. We booked the Junior suite and were upgraded to a penthouse which was lovely. The hotel is clean, rooms are spacious and have a modern feel. Marc &amp; Gary the concierges who can be easily spotted in their bowler hats were really helpful, offering directions, good places to eat and sound local info, can't thank them enough! Easily accessible to lots of London sites and ideal for Waterloo station. My only 2 niggles were that the mini bar remained locked (despite a deposit!) and the bed was a bit hard (well for our taste). But really a very good hotel.	
Oct 29 2009 	Central Location	Stayed five nights over half-term with children and grandchildren. Great central location easy to walk to eye and aquarium and along south bank, over westminster bridge to Houses of Parliament etc. Helpful check in staff, nice rooms with mini kithen and sofabed in siting room. Views of eye and big ben. Adequate bar. Did not use restaurant or gym.Only downside were the open indoor balconies overlooking the central attrium. Looked and felt dangerous from the top and prevented us from sitting in he restaurant in case anything fell eleven floors onto us - very surprised that health and safety /buidling bylaws allowed this design.	
Oct 25 2009 	plush hotel a stones throw from London Eye and Southbank theatre	We stayed here for a night in January, were upgraded to gorgeous suite as there was a mix up with our booking, staff were friendly and helpful, room was very comfortable, clean and modern, super bathroom, lovely kitchenette with fridge. Breakfast was fantastic, all you could eat and really good quality. Don't normally go for such a hotel as was rather pricey but totally worth it for a short getaway in London for shopping and theatre!!	
Oct 21 2009 	Perfect location clean modern hotel great service	The hotel is located very close to Westminster and The London Eye. The touristic sightseeing bus stop is nearby, as well as Waterloo tube station.On arrival we were upgraded to the executive 12th floor for an extra payment (I think it was 45 pounds per day) that included breakfast and use of the VIP club. The view from this room was like a post card: Big Ben and The London Eye. The room was across the elevator, but we did not hear it, the soundproofing was good in the walls, but could be better in between the floors. We could hear a lady's hills upstairs every time she'd cross the laminated section of the room, but it was not a big problem for us.The rooms are quite large and feature modern decor, comfortable bed and a sofa bed (our son used it) and a little kitchenette (coffee and tea). One night we had dinner at the hotel restaurant. The duck was good, the risotto was over-salted, but after a complaint they made a fresh one that tasted quite good. The service at the restaurant was good. However the buffet dinner did not look too exciting.VIP club is a nice addition to the view and the breakfast. Anytime before 8 pm you can drop by for a cup of coffee or tea, have a bite of fruit or muffin. From 6 to 8 pm you can go for a pre-dinner drink and snack. You can have breakfast at the VIP club as well, but keep in mind, that the space is limited and tables quite small. On Sunday it was quite crowded (though, in the restaurant the line up was quite large as well).	
Oct 16 2009 	Different Hotel to a year ago	Stayed for 3 nights. Staff lovely . Hotels location is brilliant. Stayed a year ago and had to check out early as the air con wasn't working and we nearly roasted. This time around the hotel under new managment is efficient and convenient. Rooms really nice, food very good. Much better value for money than the overpriced,overrated, unfriendly Marriott at county hall	
Oct 13 2009 	Great Hotel - Nice and New	Great location close to London Eye, House of Parliament etc. Waterloo and Westminster tube station close by.Hotel still has nice new feeling though I think its been open 12 months +. Rooms nicely decorated and shower was great. Staff friendly and efficient.Good hotel for both business or for me sight seeing with the kids.	
Oct 12 2009 	Excellent location and great value	London hotels can be really expensive and often poor value, or cheap and shoddy. Look out for deals at this hotel. We paid circa £130 per night plus a premium that gave us a suite overlooking London and access to the Executive lounge with balcony. Room only price very similar to the local Premier Lodge but a much better hotel.New build and modern hotel. Large comfortable well equipped room, excellent location just over the bridge from Westminster and parking at £10 per day just next door.Friendly and helpful staff in a busy hotel. Could do with some more lifts. Breakfast selection and quality was excellent.	
Oct 9 2009 	Good choice	Right behind London Waterloo station, the location is excellent, as long as you turn right out of the hotel. You are two minutes walk from the County Hall, Festival Hall area with lots of bars, cafes and just a short walk over Westminster Bridge to Houses of Parliament. Car Park next to the hotel as well.I've stayed here a couple times recently and enjoyed the experience of a large studio room. Nice simple modern furnishings, big TV, Nespresso machine in the room (YES!!), modern bathroom. Nothing fussy, sort of halfway between Malmaison and a modern Novotel. Good lighting and working area. Really friendly and helpful staff throughout the hotel - they seem to enjoy it which is always refreshing.Used room service that was quick and very tasty curry (CTM). The Breakfast choice is excellent, but beware that there can sometimes be a long wait for the elevator and then you can find you are queueing for a table for breakfast for 15-20 minutes.Would be my first choice next time in London.	
Oct 9 2009 	Park Plaza Hotels are the best	Stayed at a previous Park plaza so knew what to expect style wise and i wasnt disappointed. Being located near the London Eye &amp; the banks of the Thames we chose this hotel to escape the city madness and also a change of location but still close to the city attractions/nightlife. Located behind Waterloo station the hotel was easily accessed by the train st &amp; tube stations. We actually walked into the city for the planned evening we had, as luckily it was a nice sunny evening so we escaped the rush/madness you get travelling on the tube.Went to see a show on the saturday night so to eat before hand we found a nice local italian for our evening meal. Found the hotel had no offers on like my first vist to its sister hotel in July so we ate outside the hotel. The menu in the hotel was resonable ( i guess )for a hotel and i knew it would be nice but just fancied an italian and i had seen this place just across the road near the County Hall its self &amp; London Eye.The staff are very friendly in the hotel and helpfull which makes it a pleasant stay mixed with the nice style the hotel offers.We had a room with no view except of the roof of Waterloo station but it was not a problem ,we had a nice spacious room. Strange to walk directly into the bedroom from the front door and the living room was at the back but hey, we were given a nice room which included in the bathroom both a bath and seperate shower. We had a kitchenette which had everything you needed if you fancied a night in ( ideal if on a budget stay) I imagine not all rooms have this facility. All in all again a nice Park Plaza Hotel and relaxing break with a great buffet breakfast of hot &amp; cold offerings was had. Being built opposite is the newest addition to the chain on the roundabout, The Park Plaza Westminster Bridge looks huge from the outside. Maybe i will stay there once its opened.	
Oct 8 2009 	Very modern interior design clean and close to major attraction walking distance to Big Ben	We have a eight years old and a twelve years old. The suite is big enough for us, and with their special price, this was the best choice for family with teenager. The sofe can change into sofa bed at night. Also the staff was very nice to come and set up our bed, providing us with extra two pillows and down comforter. We really like the modern design of the building. It is hollow in the center all the way up to the roof. When riding the elevators, you can see each floor and the restaurant down below. The interior design of each suite is very nicely design. We especially like the bathroom, it is very spacious. The coffee machine and refrigerator is also very cleverly placed. The welcome kit for the children is very nice, my kids enjoyed spending the coupon at the bar.The breakfast is not included in the hotel room price, but we pay for the English breakfast and they do have pretty good food.Please take the time to go down to the basement bathroom, the sink inside is very cool!!!Overall, this is a very nice holel. Highly recommended. The pictures you see on the website is exactly what you get, the room is very nice.	
Oct 8 2009	Nice Location Quite Modern	I had this hotel for the start of a Trafalgar tour of Europe. I had previously stayed in the Mayfair section of London, which I liked. This hotel is in the Westminister area and I loved this area also. There was a train station within two blocks, which also had a large selection of places to eat and shop. The Jubilee Walk was within two blocks and was quite marvelous. I could see the London Eye from my 7th floor room. There are oodles of things to see within a few miles walk. The hotel was nicely modern and the staff very helpful. I would definitely stay there again.	
Oct 8 2009 	Nice hotel close to major attractions	We choose the hotel because of the location and price. We found it to be a charming hotel near the attractions were were interested in seeing. The hotel was easy to get to from the airport. The staff was terrific. The buffet breakfast was good but over priced. Overall a very nice hotel. We would stay there again.	
Oct 7 2009 	Very nice hotel above expectations	Stayed for four days at the hotel, two adults and two children, and we were all very pleased. Nice, clean and big rooms, and the layout with a &quot;separate&quot; bedroom in addition to a small &quot;living room &quot; is very practical compared to most other hotels we've been visiting. The bathroom had both a big shower and a tube. We met a very service minded staff, from reception, to restaurant, to cleaning. Not the largest area for breakfast, but we were shown a table within few seconds every day. The hotel is situated 5 mins walk from Waterloo underground, and 2 mins from London Eye. Lots of taxis are passing by, and transport is not a problem. We will gladly stay at this hotel again,	
Oct 7 2009	comfortable stay	Stayed here on a Trafalgar tour in Sept for 2 nights on our way through Europe.Small room but comfortable and clean. Not a bad breakfast for Europe.Walking distance to alot of great places.	
Oct 6 2009	these guys are lifesavers	My wife and I stayed here in mid Sept '09, with our two young children. Simply put, the staff at this hotel were just terrific. On our way out of London after staying at the Park Plaza, we were checking in at Heathrow for our onward journey to the USA, when my wife noticed her passport was missing. I rang the Park Plaza front desk, and they immediately had someone from housekeeping go up and check our room. Housekeeping found the passport and some cash which we'd accidentally left behind in the hotel safe. There was no time for me to go back and fetch the passport as we would have missed our flight, so after some discussion, we decided that the only course of action was to have a cabbie bring it to the airport. The concierge and front desk were tremendous : they put the cash and document in a sealed envelope, then they got a cab and persuaded the driver to carry the package to us at the airport with cash on delivery , then called me up and gave me the license number and mobile number of the cabbie. Before doing all this they also took their time to verify that my wife's passport was being delivered to the rightful owner. I was just blown away by the initiative, honesty and urgency shown by these guys to fix a dumb mistake made by a guest, which really was not their problem to solve at all. We made the flight by a couple minutes thanks to them (and the cabbie, who made the trip in less than 45 mins!). Besides the excitement, the rest of our stay was very comfortable. We stayed in a studio which had a bedroom and a living room, with microwave, sink and coffee machine. it was pretty convenient with kids. The bathroom was modern and had a shower and a bathtub (great to dump the kids into), and was pretty spacious. Not the standard 10 sq ft drippy european bathroom. The living room had a sofa bed, and was glass fronted from floor to ceiling. We'd requested a high floor and they put us up on level-11. The view was pretty nice, and we got an eyeful of the fireworks at the Thames river festival which was a couple of blocks away. Sunrise was pretty spectacular from the room, a fringe benefit of jet lag :(. I was a bit concerned about the wait times at breakfast and at the lifts, going by previous reviews, but neither was a problem. Breakfast was great, and on the three days we were there, we did not have to wait longer than a couple of minutes, though the dining room was pretty busy. The hotel in general, including the dining area, was very clean, and the staff helped us out whenever needed. In terms of convenience to the sights, the hotel's located across the river from Westminster Bridge, and is a couple blocks from the London eye, and a block from waterloo station. Some nice restaurants in the vicinity : The Cut is a 15 min walk away, so is the south bank of the Thames. We could also walk to one of the river boat embarkation points to take a boat ride. All in all, a great place to stay, and to explore London from. And boy, the staff really did shine when it came to that little crisis with the passport!!	
Oct 4 2009 	Spectacular view modern clean and spacious	We stayed in a penthouse at the top floor with a spectacular view to both the London Eye and Big Ben. The hotel is located next to the Waterloo station, but still it is very quit inside because of the double windows. We were impressed by the size of the apartment. The sofa was not very good. The king size bed was nice. We got the double duvets changed to single duvets. The two bathrooms are nice, but we were missing a shower in the second one with the bath tube. Free internet access should be included.	
Sep 29 2009 	Worst service ever!!!!!!	We stayed at Park Plaza County Hall, London 4* hotel for one night 19/20 September - How disappointed we all were!!!!!!!I emailed the hotel before booking to enquire if theyhad twin rooms – I was told in the reply that they did, so I proceeded with the booking, the confirmation email said that the rooms would be ready by 1400 hours, which fitted in with our plans as we had an appointment booked for 1500 hours.On arrival at the hotel at 1350 hours, we were told that only one room was ready and we would have to come back at 1400 hours for the other rooms. At this point I double checked that we had twin rooms and I was told the hotel only had double rooms. (VERY DISAPPOINTED, as specifically asked prior to booking)We decided to drop all bags into that room and have a drink in the bar. We arrive in the room to find that the room was in fact not ready, it was still awaiting cleaning. We went back down to reception to advise the Receptionist, who apologised and changed the room.We went to the bar for a drink whilst waiting - £48 for 6 drinks!!By this time it was 1410 so we asked for the other two rooms, we were told that they were still not ready. We informed the Receptionist that we had to leave by 1445 in order to get to our appointment. She gave us two alternative rooms, one of which turned out to be a double bed room, we had to go back down to Reception and ask for our rooms to be changed. The Receptionist was quite rude, informing us that we had only booked a double rooms. I disagreed and said that I could provide the original email from the hotel informing me that you had twin rooms (WHICH WAS THE POINT OF BOOKING). She reluctantly changed our rooms yet again and told us that the sofa bed would be made up by 1700 for us to use in each of the rooms.After all the messing around it was 1445 before we were able to get to our rooms and therefore we could not make our appointment for 1500 and had to cancel, as this attraction is only open once a year we were very disappointed at having to miss out after a long time in the planning.On returning to the hotel at 2300 hours, two of our party got off on the 9th floor, and we noticed the smell of food microwaving – only to be informed by the party arriving 10 minutes later to our room on the 12th floor, that there was in fact the microwave was on fire and the alarms were sounding on their floor. The smell was very overpowering and they had to wait to return to their rooms.Then at 0545 the general alarm sounded all over the hotel for a short time and then stopped. Our party then decided that we should have an earlier breakfast than planned. On arrival in the breakfast area, everybody else must have had the same plan as there was a queue. The hot English Breakfast was in fact not hot – lukewarm if lucky but most of it was very cold and unappetising – and was left on the plate by our party and most of the other tables.We have stayed all over Europe over the last 10 years our party has been travelling as a group, this is the first time we have stayed in a ‘luxury’ 4* hotel (was supposed to be a celebration of 10 years) and the first time that we have stayed in the UK. We have never been so disappointed – was have has better service and better food in a 1 – 2 * hotels. Admittedly the rooms at the hotel were excellent and location was close to Waterloo Station but the service was appalling and the food was inedible.	
Sep 26 2009 	Amazing fantastic wonderful modern cool hotel!	Fantastic hotel, mins walk from Waterloo train station, London Eye and Westminster Bridge. Modern hotel with friendly staff, great rooms and lovely breakfast. Couldnt ask for more, very high standard of hotel. Would certainly go back and recommend to all.	
Sep 25 2009 	FANTASTIC LONDON HOTEL	Me and my sister stayed at this hotel for one night only when we took in a London show. It is probably the best Central London hotel I have stayed at. The staff are very friendly and polite and we got an upgrade to a suite for £45 between us which included use of the exec. lounge , free bar between 6pm and 8pm and breakfast which we thought was really good value. The hotel is really modern and clean. I would definately stay at this hotel again if I was visiting London in the future	
Sep 21 2009 	Thanks for the memories	i usually use this hotel for business so on this occasion travelling for pleasure I hoped my positive business experience would justify using this hotel for leisure. I was completely correct, the hotel is well situated, the service from the staff is excellent and overall this was an excellent experience. We had a studio room which was superb for our needs, the room was clean and tidy with all the extras required.THis hotel is to be highly recommended and it certainly is valuse for money	
Sep 18 2009 	Such an amazing stay!	Stayed for two nights in one of the penthouse suites - the views were amazing!! The whole hotel gets it just right - this is smart, contemporary done with style and sheer good taste. The location is superb - 3 minutes from either waterloo or embankment tube - but what views - we lay in bed overlooking Big Ben, the River Thames and the London Eye - all of London seemed to be before us!The staff team were really friendly and welcoming - they couldn't do enough for us - if you are staying in London, look no further than this great hotel.	
Sep 16 2009	Recommended staff	Living in Germany as a military officer, I am bestowed with many a dissapponitment being personal and professional. This time around, Park Plaza County Hall has provided me wrong with staff like Jason Davids. After thinking I had lost property of mine in a taxiin August,I had lost hope.I decide to call hotels that I had met up with colleagues and friends. I called Parl Plaza County Hall and spoke to Jason. I gave him so information to which heavy questioning, I found that my property was left at Park Plaza County Hall. I informed him that I would pick it up at 12pm but due to flight problems, I was unable to pick it up at the specific time. He recommended a taxi to drop the itens but after past experience I was not going to let it go down that road agian. He offered to drop it at the hotel I was based at no charge after he finished his shift,,,which he did. He left it with the concierge at the hotel. I called Park Plaza County Hall but he was off on the day I called to say thank you for everything he had done. He went above and beyond.	
Sep 14 2009 	Great Hotel...Great Location!	I was quite impressed with this hotel during my recent 2-night stay. The room was very modern and clean. The separate sitting room with a huge window overlooking Waterloo Station was nice, except the couch cushion was kind of hard. Bedroom was comfortable, but the pillows were too soft (I prefer firm pillows).I couldn't ask for a better hotel location, especially with the reasonable rates. All the main attractions were within walking distance. Getting to the hotel from Heathrow was also relatively easy. I took the Heathrow Express to Paddington Station (16.5 GBP) and then caught a taxi from the train station to the hotel (17 GBP). It would have been a little cheaper to use the Tube from Paddington to Waterloo, but I was coming in at 11 pm and didn't want to deal with the Tube that late at night. If you decide to take a taxi all the way to/from Heathrow, it will be about 55-60 GBP.	
Sep 6 2009 	not that convenient to Waterloo	I booked this hotel at a AAA rate of 85 GBP for 2 nights. It is a very good location to the sights, but is not that convenient to Waterloo with luggage. We stayed pre cruise and dragged our bags around the block to avoid the steps, it was very exhausting. The train was also very crowded. This hotel itself was modern , close to the LONDON eYE and walkable to Buckingham Palace, Westminter and the Thames River Cruises. If you can get a good rate go for it.	
Sep 5 2009 	Nice location by London Eye Great Suites	Just getting around to reviewing this hotel, which had just opened on our visit. We got a great rate as it had just opened....just under $100 u.s. Loved the location by the London Eye and all the sites across the Thames. Was glad we split our time in two locations, however, so we could enjoy different parts of the city and this is a bit aways from &quot;Museum Mile&quot;, etc. The suite we had was really amazing for the price- all tripped out with automatic lighting, flat screen TV and beautiful, modern bath. Quite spacious with a separate sitting room with a beautiful full-length window overlooking the Thames. The included full English breakfast was fair to good, and we loved the modern look of the hotel. They were still working out a few kinks during our visit (elevators took forever!), which I'm sure they've worked out. Well worth it if you can capture a great rate.	
Sep 2 2009 	Good location nice view but illness all round	All of the reviews you'll read pretty much sum up our stay. The rate is attractive, family of 4 = £150+VAT is very favourable, location is great, the parking cheap £10 a day, the food as expected albeit pricey etc etc.BUT, we had one issue that we haven't really gotten over.On check in we were told that the hotel was &quot;fully booked. We ended up in some kind of mini suite; great room size and excellent view of the eye etc. An upgrade well received but a smell of sewage in the bathroom. My 6 year old vomited and no windows to air the room. Fixed by leaving room door open until we, basically, got used to it. We reported this each time we went back into the room and it was such that the problem was the toilet which finally gave up on us &lt;see photo&gt;. By then end, we were all gagging on room entry. Unable to move us we were given a £50 rebate on our bill and offered a free upgrade on our next stay, but one-by-one we all fell sick, so won't be taking the chance again...	
Aug 31 2009 	modern good location great value for exec package	Pros: Modern, comfortable hotel with nice touches such as an espresso machine.the executive package, i.e. access to the executive lounge is a great value, IMO. Not only are there snacks (muffins, coffee) during the day as well as wine with snacks in pm (olives, nut, pizza-like bread) but you can have a very leisurely breakfast there instead of the crowded dining room. Hardly anyone is there in the morning, the waiters set you up on cozy sofas, bring you your eggs and toast as well as espresso, etc.Cons: the rooms are a bit small for what is called a 4 people suite. Not super small but smaller than I expected. Will not repeat others' comments but the wait for the elevators in am is pretty long but the location is very nice	
Aug 25 2009 	Very good hotel spacious rooms and great location	We stayed in the park plaza for 2 nights having decided to take a break from our usual hotel of the hilton tower bridge (great hotel) we were pleasantly surprised and remain undecided as to which is the better hotel.1. Great location, close to many major attractions, transport links are good and plenty of restaurants nearby2. Very clean - room was spotless3. Staff very friendly - all spoke english and went out of their way to greet us 4. Views - perhaps not ideal from all rooms ( we were on 11th floor and did not have an exciting view so if this is important to you could perhaps be a problem unless you are on the 13th floor? however this did not affect our stay)5. We stayed in an executive suite with a 4 year old - the room was very spacious and ideal for 3 people (the only issue we were unclear about was whether the standard rooms vary in size and whether you pay a premium for espresso machine etc - if so not perhaps worth the premium unless a coffee machine is essential to your stay!)6. The childrens pack was a nice gesture Overall very impressed.	
Aug 24 2009 	Dissaopinted	Generally staff were ok although there were no english staff and communication on occasion was difficult.we were on the 10th floor over looking waterloo train station [not a pleasant sight] the shower broke and had to be fixed by a maintenance guy , the breakfast at almost £17 pp is extortionate and very bad value. the web on booking promised a child friendly time but nothing was going on, the £10 &quot;hotel money &quot; for them to spend was £5 and other than the bar /resteraunt there was nothing of any interest for them to use it on so it was a waste of time handing them out. the suite that &quot;sleeps 4&quot; was a double bed and a very uncomfortable sofa. forget eating on site theres a great cafe just around the corner that has a great menu and is reasonably priced.whatever you do dont touch the mini bar £2-50 for the smallest ever toblerone is highway robbery.	
Aug 23 2009 	Excellent tourist location	Modern hotel 5 minutes walk from Waterloo station. Not on the embankment like we expected (in County Hall) but never less an excellent hotel. Our room, on the 10th floor, had double aspect , floor to ceiling views of the Eye, Big Ben and Houses of Parliament and in the opposite direction the Nat West Tower, tips of Tower Bridge, Canary Wharf etc. Good size room, all facilities, (missing plug and only 1 coffee cup soon rectified) Bed not the most comfortable but adequate. Bathroom compact. Shower leaked but tiled floor so soon mopped up. Only 3 lifts so had the occassional wait. Breakfast was excellent. Plenty of choice and everything kept topped up. Comfortable bars and newspapers available. Staff were very friendly and helpful. If you can get a cheaper rate than advertised this hotel can't be beaten.	
Aug 15 2009 	Great hotel - with staff that really care	The city plaza is located just behind The County Hall Complex very near the old International Entrance to Waterloo Station, it’s a very easy walk from Waterloo tube. We got there and were very pleased to be upgraded to a suite “since it’s your first time with us”. The suite was delightful with a very comfortable bed and useful kitchenette including a microwave and fridge and a nice lounge.As others have said the location is excellent. We booked because we were going to the National Theatre in the South Bank Complex which is a very pleasant 10 minute stroll down the river side.All the staff we came across couldn’t have been more helpful and friendly and seemed to really care that we should want to come back again. Actually this was our second choice over our normal London pick the City Inn Westminster which is also excellent. On balance I would just give it to the City Plaza County Hall on location though in fairness it might be different if we had stay in the non-upgraded room.Quibbles? Yes the lifts were a bit slow during the peak times and charging £9for the internet in rooms is a bit steep these days.Overall, though, if you want a modern 4 star functional hotel in a good location you are not going to find many better in London especially at the price.	
Aug 15 2009 	Good location great rooms.	Stayed here a few times, apart from the lifts a really good central London hotel. It is always busy but the staff cope well. Food is surprisingly good, rooms are very well equipped and despite the recent bad publicity on the TV, my rooms have always been spotless.	
Aug 14 2009 	Nice Hotel and Perfect location to visit London.	I am just back from 4 days in London. I have chosen this hotel as it was close to many attractions. A small criticism, at our arrival, we were affacted the room 115 but that it was not ready, we have left our luggages and came back at around 13h50. At that time, we were told again that our room 115 was not ready and to wait an additional 30 minutes. At 14h20 , the room was still not ready (no linen ..), I told them that the fact that there were no linen was not an issue for us since we intend only to go to the room to see it , to deposit our luggages and then to go out to start our visit of London. They agreed to give us the keycard .... and when we arrived at our room, the room was ready with Linen and nobody in the corridor so I can imagine that the room was ready since a certain time. May be an Internal coordination problem. But except this, I was really satisfied and the staff was really pleasant. When I booked, I have asked for a quiet room and the room I was provided was really quiet. We enjoyed the English breakfast ;-). The hotel is well located, close to many attractions.	
