	stay somewhere else	We spent 2 weekend nights at the London Guards and could not wait to leave. The receptionist barely spoke to us when we checked in..we had to ask about breakfast times, check out etc. and were given one word answers. We stayed in a quad room that smelled like my grandmothers attic. Luckily our next hotel in Edinburgh had laundry facilites because our clothes all smelled musty. My daughter fell badly on a wet floor coming downstairs one morning (no signs posting it was wet) and the 3 employees who were watching didn't say a word or try to help. Unbelievable. The Lancaster Gate tube stop was also shut down so it wasn't even convenient. The breakfast was sufficient and the servers were polite. This is about the only positive thing I can say about this hotel. There are too many other options in London to stay at this hotel.	
Jul 23 2009 	Satisfied	We stayed in 3 different rooms at 3 different times. The first was large, but stained carpet and torn wallpaper. The second was very pretty and large. The third was fine, but small. People were friendly and breakfast was enough for us. For such a great location and in an old townhouse, this place is fine.	
Jul 20 2009 	Good location 	Stayed in this hotel for 4 nights after Scandinavian cruise. This is an average hotel that disparately needs renovation. Our room had a good size, was clean and had all the necessary things. What we liked the best about this hotel that there is a Russian restaurant downstairs! Food is great and not expansive. This is a family owned restaurant and the owner and his family are very nice and pleasant! A lot of Russian celebrities visited this place! If you would like to try Russian food this is the perfect place!!! Name of the restaurant is &quot;Erebuni&quot; - www.erebuni.ltd.uk	
Jul 14 2009 	Great location and value for money	The location of this hotel is very good and only a 5 minute walk from Paddington station. The street it is situated on is quiet and quite pretty. The rooms are a bit tired looking but they were clean. The staff are friendly and really helpful, they changed our room to one with a bath with no problems. Breakfast was good too. Little venice is about a 15 minute walk away so we took a stroll there on Sunday morning. The Swan pub has live entertainment on Fri, Sat &amp; Sun nights which we throughly enjoyed. I thought for the price we paid this was a great little hotel for a long weekend away and i would defo book it again.	
Jul 12 2009 	Good no frills accommodation	After being warned of exhorbitant costs of accommodation in London, I was relieved to find the London Guards on Tripadvisor. Arriving at Paddington station, with no idea of its location, I found it within 15 minutes, thanks to helpful people I asked (including one Aussie!) It is in a quiet square, just a few minutes walk from Kensington Gardens and Hyde Park, Lancaster Gate and Queensway tube stations, and both Hop-On-Hop-Off bus pick up points. Breakfast is basic but adequate, staff helpful, and will book day tours, etc. My room was clean, quiet and comfortable. Being an older lady travelling on my own, I felt safe at all times.	
Jul 11 2009 	Great location and value for money.	Knowing room sizes in London are very small was pleasantly surpised by room 110. Had a bath and toileteries, even a/c. Comfortable bed, tea and coffee facilities. Hotel has a lift and no smoking rooms. Staff very pleasant and helpful and spoke reasonable english. Close to Kensgington Gardens and Lancaster Gate tube station. Would stay here again if come to London. Friday or Saturday night might be noisy on outside street windows when patrons come out to smoke late at night. Consider it good value for money.	
Jul 9 2009 	Great value for money	Like some other reviewers I chose this hotel because of its proximity to Hyde Park as my friend and I were attending the Hard Rock Calling concert, and location wise this was perfect. Lancaster Gate tube is a couple of minutes walk and Hyde Park is at the end of the road, with the Lancaster Gate entrance only a few yards away. There are a couple of great pubs in the local area – The Mitre in Craven Terrace and also The Black Lion at Lancaster Gate, and the hotel itself also has a Russian bar downstairs.The hotel looks a little tired and chintzy, but all it needs is a lick of paint and a bit of modernization. It was clean &amp; quiet and the staff were friendly &amp; helpful. The hotel were happy to look after your luggage free of charge if you arrived early, or if you needed to leave your bags for a while once you’d checked out.Our room number was M1 and we paid £69 per room per night for 2 sharing, and this price included breakfast. In comparison to some other hotels in the area, this was a bargain. The included breakfast was continental, but was more than adequate, and I have to compliment the breakfast staff particularly as they were really lovely.Please understand this is a 2 star hotel, so if you book it expecting 5 star luxury then you will be very disappointed. However, I liked this hotel a lot, so much so I booked it again for the following week.	
Jul 7 2009 	Good value	This hotel is a bit shabby, but it's location and room size make up for that. It was clean and comfortable with great airconditioning and a basic but edible breakfast. I would stay again.	
Jun 30 2009 	AVERAGE!	Had high expectations after reading all the reviews on tripadvisor (which was one of the reasons I chose this hotel in the first place!) The second reason being that I wanted a hotel close to Hyde Park as we were going to Hard Rock Calling held at the Park. Anyway, the location was great for that reason, but very little else. It was very warm over the weekend, and unfortunately, so was the London Guards Hotel! We were'nt expecting air-con, but windows which actually opened would have helped! The rooms were old fashioned, but the only good thing in it was a fridge which was very handy as it was so warm! Breakfast was 'continental' which consisted of boxed cereals, two choices of juice, cheese, yogurt, toast and 'croissants' which were hardly authentic! On our first morning, there was also a couple of apples and bananas on offer, but sadly none on the second! We were on the first floor, and when we came out of our two rooms and walked down the stairs, we were greeted with the sight of the laundry room with bags and bags of dirty laundry on display all over the floor! Not very welcoming! But I have to say the hotel was clean which is very important, but if you do not need stay in the area which doesn't have much facilities around, then I would suggest you look elsewhere.	
Jun 29 2009 	A wonderful hotel....	Value for money, very helpful staff and comfortable room. Breakfast was good with a variety of cereals and the staff there were nice. Located in a quiet and beautiful area, it is a short walk to Hyde Park and the Queensway area where one can get food and plenty of souvenirs... The Lancaster Gate tube and Paddington station are also within walking distance.	
Jun 8 2009 	It is cute and sweet	We were very happy with this hotel. It was a descent price for London, but I'm sure you could find better. It is very clean and comfortable. We liked the decoration and the breakfast was acceptable. The staff was friendly and helpful. It was a bit hard to find at first but it is about a 10 minute walk to the tube and hyde park. It has plenty of small shops and restaurants nearby. Overall, it is a good hotel, in a quiet and safe neighborhood.	
May 24 2009 	Great Hotel for the money	No complaints.comfortable,friendly and polite staff.Nice breakfast.Added bonus of Russian bar down below serving till all hours apparently.At this price you can&quot;t go wrong,across the road from Hyde Park.Definetley stay again .	
May 8 2009 	central charming value for money needs better staff training and it could be a first class hotel	we were given Room M2 which was beside and below a school party. the noise was terrible. the first morning we were awakened from our sleep at 6am with them jumping off beds. when we returned at 5pm that evening balls were bounced off walls and doors banging. next morning was worse. it began at 5am. the staff didnt seem too bothered and one surly male receptionist glared at us for complaining. we were saddened by this as the location, rooms and breakfast were super . we woulde go again but would request a qwuiter room.	
Apr 26 2009 	Thought it will be good...	After reading all the reviews, thought this hotel will be really good for one night stay!!!As we were travelling with friends, booked two double/twin rooms!!!As we got there, we asked for rooms next to each other or at least on the same floor, but our request was refused!!!Friends got lovely room on 1st floor with double bed, but we got room on second floor with THREE SINGLE beds with no chance to get two together!!!!! I was ready to go downstairs and argue, but my partner said - never mind, thanks God we're staying just for 1 night, we can't ruin our holidays arguing in hotel, so we spent night seperated. Don't understand how dull you must be to give a couple a triple room!!!Staff in breakfast room was nice and breakfast overall was ok!!!	
Apr 14 2009 	Cheap but maybe not worth it.	My husband and I stayed at the London Guards Hotel for three nights in March 2009. What can I say, it depends on what you value in a hotel. The hotel is some what easy to get to from Paddington station. There are two lines near the hotel to use to get into downtown London. It is across from the park and is on a cul-de-sac, which made it very quiet. The room was small, but clean. The breakfast was the bare minimum. The staff was the real issue; they had no clue how to get to any of the major site, nor where to eat. Even when asked the simplest questions they seemed annoyed, like their only job is to check you in…strange.Good note is just a quick 10 minute walk is Bays Water Street which has tons of restaurants. I personally will never stay there nor would I strongly recommend anyone else to, but if you want somewhere cheap and do not require any amenities, then this might be the place for you.	
Apr 6 2009 	OK now this was a bargain...	Ok, my partner and I stay in London a lot and always pay arounf £150 a night for central West End locations, we booked a night at the Radisson Edwardian Sussex for last Saturday night but on Friday we decided we would travel down that night, get a travel inn or something cheap, so we would be in London early the next day.OK, the room was very large and fairly clean. The bathroom was huge. There was a little noise during the night but nothing too major. The building is what I would expect from a 3* and the location isn't too bad, still in zone 1 after all. Here'e the thing, for bed and breakfast, this place cost £35 for a double room!! How cheap is that?! The last time I paid that little for a hotel it was for a box room in a B&amp;B in Blackpool! Obviously worth every penny if you can get it for this price!To be honest I probably wouldn't go back, because we do prefer a little luxury, but if you're on a budget in London this is definitely somewhere to consider.	
Mar 19 2009 	Excellent Value For Money	Stayed on 16th and 17th March. Room was sufficent, bathroom also. Was surprised to see this bearing in mind the normal shoebox size of both in these sort of London Hotels. Breakfast fine, flexible on when you take it and the location is wonderful, right opposite the entrance to Kensington Gardens and Hyde Park. At £62 per night, you can't go wrong.	
Mar 8 2009 	Nice central hotel - good price - great location	Stayed here for two nights on 2 &amp; 3 March 2009 with my mother. Hotel was easy to find, at the top end of Lancaster Gate on the right hand side. It has a red door.We were allocated a great room - very large by London standards, which was clean, quiet, had an ensuite bathroom, fresh clean towels every day &amp; lots of soap/shampoo sachets, excellent hairdryer, coffee/tea making facilities which were replenished daily and a fridge. Decor was a little dated but this gave the hotel some character. I don't understand the previous complaints about the inclusive breakfast - ther was everything a continental breakfast should have and plenty of it! Lovely fresh orange juice. Location of the hotel was good - 5 mins walk from Lancaster Gate tube station and yes you can see Hyde Park from the hotel - just!We will be staying again next time we're in the &quot;Big Smoke!&quot;	
Feb 28 2009 	Great Hotel great location	If your looking for a hotel that is affordable, nice, had breakfast, and has a great location, your search is over. We were traveling with a group of 4 (2 couples, 27 - 30 years old), and elected to stay in a family room with 2 double beds. The rooms are very nice, don't expect state of the art decor, but clean comfortable rooms that the normal traveler will find more than adequate. The staff at the hotel was very friendly, especially the breakfast staff. The continental breakfast is not elaborate, but it is enough to save you a meal and some money each day of your stay. The location in my opinion cannot be beat. The hotel is 2 blocks away from the Lancaster Gate Tube stop, which is on the central line. On your way to the Tube, stop by the Swan Pub for a good beer and very good food. The biggest plus location wise is the fact that the hotel is directly off Hyde Park, which is beautiful. Hotel guests can walk through the park to a number of tourist sites. Give this hotel a try, you won't regret it.	
Feb 15 2009 	Charming	This was a very charming hotel above average for a three star hotel. We had a charming familyroom(difficult to find in London). Very big for London. It was clean with a lovely view of Hyde Park. The staff was friendly and helpful. Everything worked perfect for example late arrival, working some minor problems out . Breakfast was a bit poor but ok. The location was just perfect and very quiet area.	
Feb 7 2009 	Amazing value for money!	I booked a single room but was upgraded to a double room which was huge and had a couch! The room was in the basement, but I didn't mind. The building is old and has a lot of character, but the room was very modern and clean - digital TV, well heated, air conditioner, etc. Breakfast was basic and good - fresh fruit, toast etc.Location is good - near the Lancaster Gate underground station or near buses which go to Piccadilly Circus in one direction and Notting Hill in the other direction. Also walking distance (about 10 minutes) from Paddington station - where the Heathrow Airport trains come to and go from. You can also walk through Hyde Park and be at Harrods in about 10 minutes. Nearby Queensway has a lot of good cheap Chinese food.The internet is a bit expensive, I recommend that you walk down to Queensway (5 mins) where you can get 1.5 hours for a pound.	
Jan 29 2009 	Great family room	Stayed here with 4 children 18 to 10 years old. Hotel is well located, and the large family room(there are two of them the same), was fantastic value for money (for London!). Hotel and rooms are clean, and well set up. Staff are very accomodating. Breakfast is good with a full English upgrade available. Pubs, restuarants, laundromat all handy, and a 100m stroll to Hyde Park - great.	
Dec 27 2008	Our Experience	Staff very friendly , the conditions of our room was very pleasant unfortunately if you happen to stay at Room # M1 BE AWARE of all night long activities in the room above , perhaps Room # M3 , loud disturbing noises throughout the night and management did not take appropriate course of action , it seems to be a working room .Other than that this hotel is located in a very tranquil area of Western London , in close proximity of the every popular Hyde Park , and conveniently sells fabulous tours of historic London . Recommended.	
Oct 21 2008 	Great location Quaint Hotel	Our family enjoyed a pleasant stay at the London Guards. The family room catered very well for our needs, was nicely decorated and the location of the hotel is wonderful for the sites of London and situated in an attractive quiet area. We found the breakfast to be ample with a good selection. Would highly recommend for a family trip to London.	
Oct 12 2008 	Take your chances!!	What an odd experience we had at the London Guards. We booked for two nights -- exactly one week apart. On our first night, we were given a room that was just fine. Very nice view, clean, comfortable, nice large bath. I was actually going to right a very good review upon my return. On the second night there we were given a room that almost seemed to be in a different hotel. It was the worst hotel room I have ever had - anywhere! The bathroom was moldy and the shower was so small that the curtain kept sticking to me. Think twice before taking your chances on this hotel.	
Oct 11 2008 	Had two rooms One OK One not OK	We where a family of four that stayed for 4 nights in October 2008.One room was nice. The other room had an OK bedroom, but the bathroom smelled terrible. A lot of mould at the roof, but the most smell came throug the waterlock in the floor. ( We tryed to fill it with water, but that just improved, not removed the smell)It was not possible to turn on the heat in either of the bathrooms, hotel policy we where told. If we had not had this room with this bathroom, we would have given the hotel a rating Above average.Both rooms where nicely cleaned each day.Breakfast was better than what we expected based upon other travellers review. Very polite and helpfull staff in the breakfast restaurant.	
Oct 3 2008 	Great Value for a London Hotel	My husband and I stayed at the London Guards Hotel for 10 nights. The hotel is in an excellent location for getting around London. The tube is very close and Paddington station is not a far walk away. The area is safe to walk at night, great pub close by (the Swan) and shops where you can purchase snacks to take back to your room. Our room was large, very clean, had a fridge, coffee/tea, a safe and quiet. If you are wanting something fancy, this is not the place for you. But if you want a place to sleep that is clean and convient...this is it!!! The breakfast room had great friendly staff. Enough food to get your day started...very adequate.... great yogurt!! I would not hesitate to recommend this hotel to anyone. When returning to London again, I would book with Expedia and the London Guards hotel. It was a great experience.	
Sep 28 2008 	Wish we could have stayed longer	Arriving at London Guard hotel around 10am after arriving from Australia on a late flight into Heathrow, we found the check in quick and pleasant. Unlike many hotels, we where not required to pay until check out.The lift was handy to get us to our room with four cases, back packs etc. Our family room was pleasant, clean, spacious, and the two queen size and one single bed where so comfortable we slept soundly and woke refreshed the next morning. The bathroom was roomy, clean, everything worked and there was clean soft thick towels each day.Hyde Park being so close we went for a nice walk through the park before breakfast. The breakfast staff where so thoughtful with the boys making them hot chocolate specially, instead of the tea and coffee offered to us. Breakfast was the usual continental serve your self style, which we found good quality plentiful enjoyable food. The girls served us with hot drinks and promptly cleared and wiped the tables as guests finished and left the room.There was free internet access for our laptop in our room and also free computers down stairs in the lounge. Desk staff where helpful and pleasant.The hotel is close to bus services, which run along Bayswater road either to Notting Hill, Marble Arch, and further. Paddington is quite close, Little Venice is just a bit further where a canal boat ride is worthwhile and an enjoyable ride going up to Camden town.The location of this hotel is such that most London attractions are easy accessible by foot, bus, tube or canal. The London Zoo is also close by.There are plenty of places to eat either locally or just up the road at Notting Hill.We had a lovely three day stay from 28th June until 1st July and wished we could have stayed longer.	
Sep 23 2008 	Don't pay in advance!	Zoom Airlines went out of business. I had three hotel reservations booked in London and Amsterdam. One of the London hotels (Luna Simone) let us out of our reservation without charging their posted 20 pound per night fee. The Amsterdam B&amp;B (Boogards) also released us without charging a penny. London Guards hotel, however, KEPT ALL THREE NIGHTS PAYMENT. Now, I will say that their cancellation policy was very clear (no refund, exchange, etc for the special internet rate), but I still feel that they have taken advantage of a bad situation. We were not in a position to fork out another $2500CDN to replace out tickets to Europe, and we expect to go in the next 12 months. We asked if they would consider giving us a credit towards our future trip. Their only communication was to send their policy page to us. We gave them over 3 1/2 weeks notice. VERY POOR CUSTOMER SERVICE. You can understand that when we do travel, we won't be staying at a place that is happy to get doubly paid for their accomodations.	
Sep 22 2008 	Loved It	Ballina, Australia. We stayed at the London Guards Hotel for Ten nights ( Partner and 11yr old Daughter). We have no complaints, we were terrified after reading hundreds of reviews for London Hotels and were so happy when we arrived at the London Guards - Its not 5 star but it is in a beautiful location close to Transport, restaurants etc.The staff were friendly and helpful, the staff in the breakfast room were really sweet to our daughter, we were kind of sad to leave.Our room was huge and it had a fridge, which is pretty rare in London. Would definately recommend this Hotel, just have to remember that it is a 3 star Hotel and if your expectations are really high go to the Ritz.	
Sep 13 2008 	Disappointing	We stayed in London for 3 nights. We found our stay at the London Guards Hotel to be disappointing.The hotel is conveniently just outside of Hyde park and very close to an underground station - this was very nice. The rooms are old and in a desperate need of upgrading. It smells funny and wall paper is falling off the walls. I found little black hairs in my bed. The breakfast was extremely basic... but food is food. We stayed here for $200Canadian/night and it was by far the worst (and surprisingly most expensive)hotel we stayed in all of Europe.	
Sep 11 2008 	Good hotel exceptional value for money	Meand my girlfriend checked into the London Guards Hotel at very last minute through laterooms. We've stayed twice, for £45 and £35 and both rates included breakfast.Both times the rooms have been comfortable (1 huge and 1 small - average size). It's very clean and tidy with generous tea / coffee and toiletries provided.You always get the odd tripadivsor reviewer comparing London prices to elsewhere and expecting much more for their money, but in my experience and given the Paddington / Bayswater location, the London Guards Hotel offers exceptional value and safe, clean accommodation for a night out.	
Aug 24 2008 	Good location mediocre accomodations	This hotel offers a nice location near Bayswater tube and a short walk to Hyde Park. Hotel facade is appealing, however rooms and public areas are run down, ie. old carpets. Room was small, but comfortable for a couple - bathroom was full sized and clean. Small fridge and TV are nice additions to this modest room.Very basic continental breakfast is complimentary. English breakfast is offered at a cost, but better to experience the full English breaky at a pub or restaurant nearby - plenty of options at lower prices. Decent value for someone looking for a clean bed to sleep in at night and not caught up in decor.	
Aug 2 2008 	Great Location	We booked this hotel with our flight to London. The hotel is older but very clean. We found our room to be fine - nothing luxurious but we were only there to sleep. Toiletries and hair dryer were provided and ironing board brought to the room upon request. We arrived in the morning and they were able to get us in right away. If this had not been possible - they would have taken our bags so we could begin our sightseeing. The staff was very polite and helpful. A very basic continental breakfast was provided. This was not much to speak of but considering we didn't know that it was included - it was OK. We loved the location - very close to all transportation yet out of the bustle and congestion of the city. 2 blocks from bus or tube. I would stay here again without question. Good value.	
Jul 30 2008 	Great value great location	My wife and I stayed at the London Guards Hotel for 5 nights, 2nd -6th Jun and approached it with fingers crossed after a couple of duds in Europe. Great loaction at Lancaster Gate, minutes from the bus and tube, 5 minutes from Hyde Park. Good hotels and cafes within 10 minutes walk, clean, bit old and tired but for a value hotel in central London, we enjoyed it, helped by friendly staff. The breakfast is adequate. Another tick for the travel agent.	
Jul 15 2008 	Great rates clean rooms	We planned our European vacation down to the last detail, and researched every hotel very carefully. We had excellent stays everywhere we went, but I was a little nervous about this hotel, the last one where we would be staying. It was a pleasant surprise. We booked it long ahead of our trip and got an excellent price. The neighborhood was clean and felt safe. There was even a decent pub and small convenience store nearby. We travelled with our parents and booked two rooms. Both were very clean and spacious. The breakfast was good, not great, but met our needs. The staff were helpful, and we enjoyed our five nights here. I would stay again.	
Jul 1 2008 	OK for the price	Our party of 10 (4 kids--6 adults) stayed here for 6 nights during the 2nd week of June. Beware of the vast difference in room size. 2 or our 3 rooms were VERY small, the 3rd room was HUGE, actually more like a small apartment. Breakfast was simple, but adequate with cold cereals, yougurt, crossiants, toast, butter, jam, juices, milk, hot coffee and hot tea. Staff was polite. LOTS OF STAIRS to navigate, elevator is very small. Showers were good, but water was cold some days. service in all three of our rooms was very good. Shampoo, soap all provided--but remember to bring your own washclothes! 2 pay computers access the internet. Cost is around 1 pound ($2.00) for 1/2 hour. Subway station less than 1 block away. Hyde Park is also very close, VERY nice place to take the kids, go out for a jog or a nice walk. Nice area, we always felt safe. The hotel is located in a quiet area with many other hotels that seemed equal in price and value.	
Jun 27 2008 	Quite Nice	Very nice room. Furnishings were fresh and comfortable. Nice full bath. Very convenient location to Lancaster Gate Tube and restaurants.Staff very alert and helpful.Very basic breakfast.Good,safe, Quiet area across from Kensington Gardens.	
Jun 27 2008 	Great Hotel	Stayed for a full week. Had booked a Twin room but on arrival had been allocated a double. This was upgraded to a triple room and was really spacious. Amenities were excellent. Breakfast was more than adequate, and kept us going nearly all day. One or two mornings were a little hectic-- too many people and too few tables, but what is a little wait? The staff were very friendly and helpful. Will DEFINATELY stay here again. Dianne HODKINSON . Cheshire	
Apr 25 2008 	Good location poor service	We were four people (2 adults and 2 children), we had a stay in this hotel in April, 2008, for 4 nights. The hotel is quite well located, not far from Lancaster Gate metro station. We had booked a quad room, which was large and quiet, with 2 single beds and one double bed. The bathroom was clean and ok. The cable TV had only 2 TV channels with very bad quality. The breakfast is clearly a weak point, with little choice. The hotel staff is not welcoming at all, especially at the reception. To summarize : well-located but poor service	
Apr 16 2008 	London hotels are expensive; London Guards good value for money	Booked the London Guards based on previous reviews. It turned out to be exactly as we expected - basic,clean,convenient.If you leave Lancaster Gate tube station and turn right (Hyde Park will be on your left), keep walking along Bayswater Road until you come to a church on your right - the hotel is behing the church in a quiet cul de sac.We arrived early morning before a room was available but we were able to leave our bags and return later. On the day of departure we also left our bags at reception. We found the reception staff helpful when we asked for information - otherwise they left us alone which is quite acceptable to us. The breakfast, while basic, was adequate and while the staff weren't exactly bubbly they were efficient. They even brought extra tea bags when I said the tea was too weak!The room was clean - plenty of coathangers! The pillows were thin - I guess as a moan that wouldn't rate!As for London - there is so much to do and see. We took a bus trip on the Big Bus Co. It was no great shakes, but the walking tour which was included was definitely worthwhile. If you want to economise you could skip the bus trip and just pay £5 for the guided walk which leaves from Trafalger Square.	
Mar 14 2008 	Full of character	We have just returned from a three-night stay at this hotel, and had a very enjoyable time. The twin room was clean and spacious, the only niggle being that there were just four coathangers in the wardrobe - if you find it hard to travel light like me, you may want to pack a couple of hangers. Beds were extremely comfortable, and the full-size fridge was well stocked with little pots of UHT milk to go with the coffee and tea provided.All the staff were very polite and helpful - we were greeted with towels when we first arrived in the middle of a downpour, which was a nice touch. Breakfast was basic, which is what we were expecting, having read previous reviews, but for the price we paid, we did not expect too much. The coffee had an unusual taste - instant would have been better - and there was a bit of a queue at the toasters, but everything was clean and supplies of cereal and juice were topped up regularly.Minor moans - we were woken one morning by a noisy family above us who seemed to be rushing around in their room packing at about 5.30 in the morning and were certainly not making any attempt to keep noise levels down, and several times doors were slammed and goodbyes yelled when people returned to their rooms at night, but the hotel can hardly be blamed for a few guest's inconsiderate behaviour. Overall, a lovely little hotel with a lot of character, and a great location.	
Mar 9 2008 	Excellent location	We stayed here for a 3 night break with our 6 year old son during February. We choose it due to favourable reviews and its location - across Hyde Park to the museums and walking distance to Paddington. The hotel is easy to find and quietly located. We regularly walked to Paddington for the tube or to eat (very large choice of restaurants). Lancaster Gate tube station is very close along Bayswater Road.Our triple room (ground floor) had an interesting layout with stairs from the bedroom up to the bathroom and tea making facilities. The room was clean and tidy, the bathroom was large though sink had no plug but used the bath one! Breakfast was included and was very nice - cereals (even the rice krispies and cornflakes tasted like branded versions not cheap catering types), croissants, toast, yoghurts, tea/coffee (top ups offered) and juices. Our son was offered hot chocolate and hot milk also. We don't eat full fried breakfasts so this was exactly what we wanted! The staff were fabulous - I firmly believe it's how you treat people that determines your service - smile and say good morning and a thank you after and I'm sure those less satisfied may have found their experience most enjoyable! Front desk staff were exceptionally helpful. We thoroughly enjoyed our trip - it was superb value at £91 per night total b&amp;b for the 3 of us. We have rebooked for late July and can't wait to go back.	
