	Great location	i stayed here as it was close to Paddington and I was leaving the following day for Heathrow and could jump on the Heathrow Express. I had a single room on the 2nd floor (no elevator). It was VERY tiny and the bathroom was even tinier. I had to be careful when using the toilet as there was a ridge around the shower and I could have easily sprained my ankle. Quite frankly, the walk in closet I have in my apartment is larger than the bathroom was. This hotel, as in many others in London, does breakfast only one way. I've never understood why the cooks cannot scramble an egg. They can only fry them sunny side up. If you have a bowl and a fork, you can scramble an egg. But here they couldn't do that. In fact, when I asked, the waiter looked at me like I was from another planet and he didn't even know what scrambled eggs were!!It's an OK place to stay if all you want is a bed and tiny bathroom. For breakfast, I suggest Garfinkel's on the corner of Praed Street.	
Oct 30 2008 	Good for a budget hotel	This was my first visit to London. The hotel looks very nice from the outside and from the inside it looks ok. It is a budget hotel, I had view to Norfolk Square from my room. It is located exactly 3 minutes walk from Paddington Station (hence the connections to Heathrow Airport). Very handy.Rooms are not big and the toilets are small, but they are clean. and you can take a shower with warm water. The rooms also have the basic to prepare some coffee or tea.The bed is ok with blankets (no eiderdown- so bring pyjamas), the pillows are soft (there are 2 per person), lovely.If it is winter, please, dont forget to turn on the heating system. I forgot to do so the first night....Despite the windows have only one glass ( unlike in Scandinavia) you can sleep well, it is a quiet area.Unfortunately there is no lift, but the stairs have a &quot;normal&quot; size. If you come to this hotel, dont bring big suitcases, so you can easily carry them upstairs.The breakfast is good, with cereals, marmelade, honey, toasts, juice and you have the chance to taste the famous full English breakfast. Very good coffee. The staff are very kind and helpful.When I checked in I got a London map at the reception, with discounts to some places. Nice service.Close to Paddington Station there are busstops bringing you to the rest of London. In general it is a good hotel, you get a lot for the budget price. I would definitly stay at the Cardiff hotel next time I travel to London.	
Oct 28 2008 	great value great location	Great value hotel in a brilliant location, just a couple of minutes walk from Paddington but on a nice quiet square. I was on the top floor (lots of stairs!) but the room was clean and comfortable with everything I needed. Friendly staff, good breakfast. Rooms are small, plumbing a bit noisy - if you're after luxury this isn't it. But if you want a great value, individual hotel this is spot on.	
Aug 15 2008 	cheap and great location	Interested in an inexpensive (for London) hotel that is 1 block from Paddington Station? Look no further.The Cardiff Hotel is a small bed and breakfast, literally one block from Paddington Station (both country trains, Underground and Heathrow express). You don't need a taxi as long as you have wheels on your luggage. The rooms are very small, and could use a major renovation (dated carpet and curtains) and the bathrooms rival an airplane loo for size, but it is reasonably clean and cheap. Full breakfast comes with the rate (59 Pound for one bed/with bathroom). Internet is wireless, and you pay by the hour. Rooms are tiny but adequate. There is a desk and chair, but no alarm clock or shampoo. They will sell you a small bottle of shampoo for 50p and will arrange a wake up call if needed.This is the right place for the budget minded traveler who doesn't need luxury. If holes in your towels and being able to touch the opposite sides of the room at the same time don't appeal to you, go elsewhere. But if you aren't fussy, the location is perfect and the price is great.This hotel is not accessible for the disabled, and considering the very narrow hallways, stairs, and absence of an elevator, not for the infirm either.This is the second time I've stayed here. You can walk to Buckingham Palace, Harrods and Leicester Square from here.	
Aug 8 2008 	Good value great location	Those people who knock the Cardiff should have booked the Paddington Hilton instead. They would have paid £190 per night. The Cardiff isn't a wonderful hotel, but it is good value. I have stayed many times, generally using it before catching morning flights from Heathrow (15 minutes away, every 15 minutes, on the Heathow Express). The rooms are smallish but fine. The place is clean. The staff are friendly and the breakfast is very good. There are loads of pubs and restaurants nearby. It's a stone's throw from Paddington Station and the underground. All tourist sites are within easy reach. I have explored London on foot using the Cardiff as my base. It's strange how people who have booked this bed-and-breakfast-style hotel moan about it. What do they expect for the money?	
Jul 30 2008 	Good Value Hotel Conveniently Located	Hotel is convenient to Paddington Station, giving you quick access to most London attractions via the Tube. Rooms were basic, but more than adequate, I thought. The staff was friendly and helpful for the most part. I thought the breakfast was very good.	
Jul 20 2008 	Fawlty Towers	At least Fawlty Towers had Basil to liven the place up. Whilst not quite being in the Michael Palin category I have stayed at quite a few hotels across the world and this hotel (Bed and Breakfast) must rank as the most unwelcoming and barely basic I have experienced.Having chosen not to visit the London Dungeon, it was rather ironic that we ended up exactly there....Room 42 to be exact. Down the rickety staircase and adjacent to the numerous water and waste pipes which heralded, every few minutes, yet another eblution from one of our fellow guests high up above ground!The reception staff were functional. They were not in the slightest bit interested in doing anything other than the bare minimum. The Breakfast room was a farce. I half expected to see &quot;The Major&quot; downing an Earl Grey and Manuel chasing after his pet rat! The girls in the Kitchen were very fast workers and did a grand job more a case of despite the facilities than because of them.Overall the hotel was fine if you needed a reasonably priced bed to sleep in whilst exploring the many attractions of the capital city. Location is excellen, adjacent to Paddington Underground and also the main rail station but every time I climbed the steps from the underground I was confronted by the magnificence of the Hilton Hotel..............if only I had listened more at school and got a good job!	
Jul 12 2008	Could be better but good for people on budget.	Firstly, I would stay at this location again. My sister and I had taken a bus in from the airport to Victoria Station and wished that in the tube directions to the hotel that it had mentioned that not all stations have lifts/elevators. Unfortunately for us, this was our first time coming to London so we had no prior experience with how London was set up, nevermind the tube stations. From Victoria the direct route would be to take the circle line, but as luck would have it, the circle line wasnt running at the time we got there (around 6pm). We had even asked a tube employee how to get to paddington station but they hadn't mentioned to us that we could only take the district line that day. So after getting very lost and going on the wrong district line and hauling luggage up and down countless stairs we finally made it to the hotel. It was clean and in my opinion, the staff were very friendly and knowledgable, which is very important. My sister and I had a room facing the square up on the fourth floor. There is no lift/elevator in the hotel so after our ordeal we had a hard time going up all of those stairs (some without railings to hold on to.) We had been on a 10 hour flight, taken an hour and a half drive in to a station, lugged our luggage up and down stairs trying to find our way and then we had to also take our luggage up the stairs without any railings to support our tired bodies. At our home time we had left at 9:30 pm and it was 7pm in London (the next day) when we arrived at the hotel so we had at that point been up approximately 27 hours without much food. Luckily there is a few restaurants and a few fast food joints close by. While we were there the outside temperature was very warm (above 25 degrees) which made the room muggy/hot even with the window open and the fan on. The room itself was spacious enough, but the bathroom was very tiny...even taking a freezing cold shower heated the bathroom up. Although they may want to renovate, the rooms were clean which is all you can truly hope for while staying in London. The breakfast was typical of english breakfasts and the women working were friendly. My sister has severe allergies so they worked around that to prepare food for her that she could eat. Other than a very long first day which cannot be blamed on the hotel other than they should include better directions, the rest of our stay was above satisfactory. I suggest taking a walk through Hyde Park which is about 10 min walk away from the hotel.	
Jul 11 2008 	Risky business	As an Australian looking for somewhere to stay whilst visiting England, Cardiff Hotel looked decent. Three days in all of my valuables were stolen.As a traveler you would expect a hotel has their security organised, but after having in excess of 2000 pounds worth of goods (including laptop/mobile phone etc) stolen directly from your room, whilst 2 other rooms are also broken into and robbed, you realise that this is not a place you want to spend your holidays.Anything you leave in your room would appear free for the taking, so take it from me avoid at all cost.The 3 days that I stayed there after the incident, no attempts were made by the hotel to increase/improve their security.I strongly recommend, if this is the last place in London with vacancies, fly somewhere else.	
Jun 10 2008 	Pretty good overall	As others have said, this hotel offers decent no frills accommodations for a reasonable price, considering the location. Positives: 1) Room was quiet (in back of building,but I think even street-side rooms would be quiet because of the location on a square). 2) The staff were extremely helpful. An employee carried my bags up to the top floor (since there is no lift and the staircase is tight, I don't know how I would have managed on my own because my bags were huge). 3) Breakfast was okay and the service great (though more fresh fruit would be nice). 4) My room was very clean and the furnishings were updated. I had a nice breeze from my window. Negatives: 1) I chose the hotel in large part because it had wireless access (for a fee). However, I was very disappointed that the wireless access did not work in my room on the 4th floor (room 18)2) Although smoking in hotels is prohibited by British law, and the hotel displays a &quot;no smoking&quot; sign on the front door, they don't try to enforce it by threatening people with a fine if they smoke, as some hotels do. So when a guest in another room on my floor lit up in his room, the smoke quickly traveled under my door and into my room. I complained, and the staff were helpful in dealing with the problem.	
May 20 2008 	Decent place to stay	The staff were nice and the breakfast was great. There are many places nearby that were less expensive but I didn't look at the accomodations. No shampoo, no big deal, just bring your own.I bought internet time and didn't use it all up so first come first serve to use the rest up. Probably 5 hours or so left that must be used before end of July.[-]	
Apr 14 2008 	Its a budget hotel - what can you expect?	First - the location. Upon arriving by train at Paddington station, the Hotel is situation in the perfect location - just a few yards off the hustle and bustle of Praed Street. Quiet enough to enable peaceful sleep, but close enough to life and transport links.The staff were civil, but didn't immediately give the impression that they particularly wanted to go out of their way to help.The room (after climbing up and down a number of rather creaky staircases to reach it - there was no lift) was small, and the en-suite bathroom could only be described as microscopic. Although the room wasn't dirty, it didn't inspire you with too much confidence. Those creaky stairs did prove a problem during the night when the late-night arrivals made their way upstairs.Breakfast was a perfectly reasonable affair. The breakfast room seemed to be crammed with staff, and the food was good.If staying in London on a budget, with a need to be close to train/Tube links is your objective, then you could do far worse than this Hotel. However, it is worth spending a bit more of your money if your budget will allow.	
Apr 11 2008 	Not the best hotel	We stayed in room number one, down stairs (X2 Adults and X2 Children). Room smelt mouldy and was not very modern and very basic. The shower room was very small and was not inviting at all, we showered as quick as we could. Glad we only stayed one night. The staff were nice and the breakfast was also nice and good service. Some furniture was sticky and it is not the cleanness place we have stayed, wish I had packed my marigolds and bleach. Not as close to the centre of London as we had hoped but may be that is reflected in the price we paid. You can also hear the trains but not through the night and it is not too loud. It is nice and close to Paddington Station.	
Mar 19 2008	Outdated but convenient for HEX	Stayed in Room #4 in early March 2008. The staff was kind enough to accomodate my request for a quiet room in the back. Although I had booked a single ensuite, I was given a double. Overall, the room was bland and outdated but fine for just one night. For longer stays, this room would become rather depressing. No lamps, only that hideous fluorescent lighting on the ceiling and over the headboard. The carpet looked newly installed but the design was going in the wrong direction - a minor issue but funny. Behind the desk, there was a big hole in the wall, apparently due to the radiator (see pic). The bathroom sink had separate hot/cold taps. The drain was slow. The shower head must be the original as was the toilet. Four extra rolls of toilet paper were provided. With what they had to work with, I think the cleaners did a good job. Old fixtures are sometimes hard to make look sparkling clean. Bath towels were left on the bed and topped with little unwrapped bars of soap. I didn't realize that London hotels still did that!The breakfast room in the basement had old-fashioned character. Large windows allowed a nice view of the white tower at Paddington Station/Hilton. Staff was friendly and provided prompt service. Food similar to that you get at most of the hotels around Paddington. Luggage is held without charge but is simply put in the hallway where anyone can access it, out of sight from reception staff.There are steps out front which may prove difficult for some with luggage. Location is perfect if using the Heathrow Express train at Paddington Station. The hop on/off tour bus also stops just down the street. Micky's fish and chip shop is located at the other end of Norfolk Square and is open late.	
Feb 3 2008	Could be better --- 2.5 out of 5	The Cardiff Hotel was ok - The service was good the breakfast was good. Staff were pleasant and friendly. The only let down was the room. Its was smallish but not a problem. But the bed was well past its sell buy date (lumpy and worn) and the en-suite was tiny. The shower unit had &quot;duck&quot; tape around the bottom to seal it!! If they are to be realistic the ensuit they should have a shower and sink and have a shared toilet in the corridor, as you couldnt actually &quot;mount &quot;the toilet correctly for usage. You had to sit at a 45o angle. I used the toilet outside as I could not possibly carry out the full motions of a No2!!!.Its ok but needs investment - It just made me feel like the owners are tight and wont pay for new furnishings and a make over.	
Jan 30 2008 	most important of all clean!!!!!!!	I think it is an axcellent choice, it is really clean, breakfast is perfect, staff is nice, and it is an excellent point to move around, actually I´m returning in 2008 summer again.	
Jan 22 2008	Would not stay again	I chose the hotel for its location and it really was very close to Paddington station. As I was on tight budget, I took the cheapest available - 50GBP per night which meant a shared toilet, shower in the room.. I must say, the hotel looks nice from outside but the room I got was reallllly tiny. The room faced the street which was otherwise quiet but at around 1AM I was woken up by &quot;women at work&quot; shouting just under my room window. The same repeated on the second night. The shower was leaking badly and there were really nasty holes in the carpet. As other reviews about the hotel seem to be quite good, I hope this only applied for the cheapest room. Breakfast was good though, full English breakfast plus serials and fruit :)	
Jan 20 2008 	Fine for the price + location - you get what you pay for	The Cardiff hotel is situated in a fairly quiet square round the corner from Paddington Station. I had a single room and was on a tight budget so it provided basic accomodation if you just want somewhere to put your head at night along with a handy location.The breakfast selection is ok and service fast, although they didn't seem to be familair with the enquiry about the use of 'free range eggs' which, although not a deal breaker, is a fairly common request these days and so that was surprising.My room on a high floor (there is NO lift) wasn't double glazed so faint sounds of traffic were audible. The tap and shower supply in the tiny bathroom didn't so much flow as pulse out (constant alternation between slow and fast) - again this is not a big deal as such, but still a slight annoyance.Regarding noise within the hotel itself, as the walls are quite thin, it was sometimes possible to hear the mechanical noise coming from the water/heat systems in other rooms.The Cardiff Hotel will suit someone who is on a tight budget while also seeking a very convenient location regarding Paddington Station (it is about 1min walk away). But if you have a little more cash to play with, I would think about going a bit more upmarket.PROS:* Very close to Paddington Station* Cheap for London - great for those on a budget* Close to Hyde Park which is a great place for walks.CONS:* Very small* Shower and taps work, but not with a consistent flow* Very basic - no room safe, no minibar etc* Lots of stairs - there is no lift so be prepared to lug the bags* Rickety room window that was difficult to open and had a crack in the glass* Thin-ish walls - some adjoining room noise can occasionally be heard, but it's not too bad* No double glazing - some streets sounds are audible but they shouldn't keep you awake	
Dec 25 2007 	Loved the Location! Close to Paddington!	Hotel Cardiff is located 2 blocks from Paddington Station (approx. 1 hour from Heathrow Airport via metro). I was traveling with a group of 3, so we needed 1 double and a single bed. The room was surprisingly spacious with enough room for 2 pieces of luggage and my friend's travel duffel, and our carry-ons. Everything was very clean and our room was ready earlier than expected. The only downside is the bathroom. There is no shelving to place shampoo or soap, so we had to either put our things on the floor or in the sink, which was next to the shower. Also, the floor was always wet because we had to keep reaching outside the shower curtain for our soaps. There is also no digital clock in the room, so bring your own that you can plug in.English breakfast was served every morning. As long as you are seated by 9am (930 on Sundays), they will serve you. However, don't get there too late or the wait staff tries to clear off the table while you're still eating stuff. Other than that, my friend got sick of English breakfast by day 5, and they made her hard boiled eggs instead. Food was tasty, and sometimes we got extra bacon. The hotel staff was very friendly and helpful. A friend of mine lives in London and the front desk happily gave me all messages that she had left for us. Very pleasant in the morning and the evening, and gave us extra towels upon request. Our room was on the first floor, not sure if there was an elevator to other floors. Hotel is in a good location, it never took us more than 30 minutes to get anywhere on the tube. At night it was very quiet, no street noise at all. There was also a bunch of good restuarants around the corner - a good bagel shop, lebanese restaurant (levantine - make reservations, there's a belly dancer some nights), and fish &amp; chips. If you need snacks or phone cards, there is a corner store across the street with all kinds of stuff. I would stay here again.	
Dec 21 2007 	Absolutely lovely!	I stayed in this lovely hotel for a week, in December 2007. An absolutely good experience! I was a solo traveller and I got a tiny single room, which was perfect to me. Yes, maybe the bathroom was a little too small, but it was not such a problem. The room came with TV, hairdryer, a set for preparing tea and telephone. A full english breakfast was included in the room fare, together with a buffet of cereals and yoghurt. The staff were always nice and ready to help. Concerning the position, I can say it couldn't be better: just 2 minutes walking from Paddington station, that's to say 12 minutes by tube to Piccadilly Circus and direct connection to Heathrow Airport. The next time I will go to London, I am quite sure I will choose the Cardiff Hotel!	
Dec 18 2007 	Okay hotel for not a bad price...	Two friends and I stayed at the Cardiff this past weekend. I will say that the room was teeny tiny and there wasn't much space for anything. The bathroom was even worse and kind of reminded me of a bathroom in an airplane. The hotel was clean, but completely outdated. The location was excellent and the staff was extremely hospitable and friendly. All in all it was acceptable for the price (69 pounds for a triple room) but it is definitely a no frills hotel.	
Dec 4 2007 	Must the room be musty?	The staff was friendly and the breakfast more than ample - although the English appear to begrudge any eggs that aren't cooked to soulessness. But our room was both cramped and incredibly musty. The good news was that it was a quiet room and allowed us a place to rest in between our sight-seeing. The Cardiff is a block from a tube station and just a few blocks from Hyde Park. It'll do in a pinch.	
Nov 8 2007	Was Happy Here	I really enjoyed my stay at the Cardiff. The price was very reasonablefor London and the room was more than adequate in terms of space, comfort, and amenities. I enjoyed the English breakfast everymorning very much.I am a young guy so the stairs up were no problem for me but I could see some older or more infirm guests having problems getting up and down the narrow &amp; steep stairs.I would stay here again in a heart's beat.	
Oct 22 2007 	Just what I expected	This was my 5th trip to London and so I have stayed at a number of B&amp;B’s. For the price, this was one of the nicer hotels I’ve stayed at. Yes, the rooms were small, most are in London. It’s a basic hotel. My only complaint was that when I requested scrambled eggs for breakfast, I was told I couldn’t have them.	
Sep 27 2007 	A good choice	I chose the Cardiff based on proximity to Paddington Station and reviews on Tripadvisor. Got a room on ground floor facing the square that was good size, new carpet, very clean indeed, good wardrobe space. Bring your own toiletries - all they provide is soap. Staff were friendly and helpful. Breakfast was excellent. Just a 2 minute walk to Paddington station.All around there are restaurants and even a couple of proper English pubs with real ales.For £55 B&amp;B single room with private facilities in such a location, you wont find any better than this. I have stayed nearby on Sussex Gardens but Norfolk Square is very much quieter.	
Sep 18 2007 	Small but comfy	We (mum, dad and two teenagers) booked a double and twin room at The Cardiff for our 3 night stay in London. Although nowhere near what you would get for the same price in Australia, we couldn't complain - although the rooms are small they are quite comfy and the staff were very friendly and helpful. Due to no lift at The Cardiff try to get a room on a lower level as heavy luggage can be difficult to lug upstairs.The bathroom is very small and we would imagine this could be a problem if you are very tall or larger than normal. Our room was made up every day and if you wanted fresh towels you only needed to place dirty ones in shower and you would receive clean towels. We found The Cardiff to be relatively quiet at night and always got a good nights sleep. Included in the price is a full English breakfast - this consisted of cereal, fruit, toast, juice and bacon, egg, sausage, tomato and baked beans. We found this kept us going until nearly 2:00 pm. The Cardiff is very close to Paddington Station and underground as well as the bus. We relied on the bus and never waited longer than a few minutes for a bus. Overall we enjoyed staying at The Cardiff and would recommend it to anyone who wants a cheap place to stay that includes a full English breakfast and is close to transport.	
Aug 10 2007 	Cramped at the Cardiff	Just returned from a 3day, 2night wonderful trip to London. We stayed at The Cardiff in Paddington. I read very positive reviews of this hotel on this site and believed them! Our tiny cramped room was on the 6th floor which was a laborious climb for a mum with 2 teenage daughters. The room had one single and ond double bed, a tiny wardrobe and the smallest bathroom I ever saw. it was almost impossible to sit on the toilet without banging your knees on the hand basin and the shower was in need of a good upgrade and - you guessed it - TINY! The &quot;famous&quot; Cardiff breakfast was served in a cramped hot dining room another floor down. It was adequate but not noteworthy except for the speed with which the plates were removed. On both mornings I had unfinished food removed at great speed.On the bright side, the hotel is in a fabolous location and the room was clean. If you are booking ask for a room on a low floor. London itself was fabulous Go there.	
Aug 1 2007 	cheap and cheerful	The Cardiff offers a fair price for a reasonable standard of accommodation. It is aging and it is small but that is reflected in the price. Our internet booking was smooth and when we arrived we could pay in cash or have card debited in Pounds sterling or in our case Aussie dollars. Staff are helpful with maps and info, and will mind bags after checkout for the day with no fee. We had plenty of hot water, tea/coffee (don't expect this in Europe) comfy pillows and a fan. The location is better than anywhere else unless you can afford taxis whenever you like. There is the Heathrow Express or to save 7 pounds per passenger a similar train that stops at 4 stations. Find the right exit from Paddington station (up the road ramp) or from Paddington underground and you are less than 200 metres from the door.Next time (a) if we had more cash we would look for something fancier in the exact same area or (b) very happily stay there again.	
Jul 29 2007 	just ok	We stayed at the Cardiff for 3 nights. The location was good and the front desk staff very nice. Our sheets were not changed in the 3 nights we were there. With water conservation this would normally not worry me however they were badly stained and ripped. The bedrooms were a decent size but the bathroom was very tiny.	
Jul 3 2007 	Not the best or the worst!!	Booked the Cardiff after our 1st and 2nd choice hotels were fully booked - checking the reviews here it seemed ok.It's in a great location for the tube and main train lines, just a 2-3 minute walk from Paddington station.We were given room 16 on arrival, a triple room on the 4th floor (no lift so journey up never ending flights of stairs with a suitcase isn't much fun!!), when we got to the top of the stairs our room was still being cleaned so we waited for around 10 minutes for the bed to be made. Walking into the room and it didn't smell too good at all, really musty and damp, my husband sat on the edge of the double bed to change his shoes and when he got up his jeans were soaked!! - The whole bottom of the bed, that had just been made, was soaked right the way through!!The reason the room smelt so bad and the bed was soaking was because of a huge leak in the ceiling which was bowed about 4'' with water and was about to come down at any time!! - I'm just so glad we found it when we did!!We were given an alternative room straight away, which was identical but without the indoor pool!! - When we got back that evening a very thoughtful bottle of wine with a note from the owner was left for us as an apology, which we thought was very nice.The rooms are really small in this hotel and the bathrooms even smaller and although they are very tired they are kept clean and are comfortable - it's not as though you spend a lot of time in your room as a tourist anyway!Breakfast is plentiful but very early (7-8.45) and we suggest you get there before 8 for a table.Overall it's not the best we have stayed in for the money but definately not the worst and all the staff are very pleasant and helpful.	
Jul 3 2007 	Just right	Stayed here for 2 nights in June and the best thing about it was its location. If you're planning on travelling in and out of, or even ard London frequently, this is the place for you. Thanks to its proximity to Paddington railway and underground, wheeling my 20kg luggage only had to be done for abt 2-3 minutes.I requested for a single en-suite on the top floor as I didn't want to be disturbed by street traffic. Bad idea, since my luggage was huge and there weren't any lifts. However, the room was pleasant albeit small, but entirely sufficient. The wireless internet worked fine as did all the power points. The kettle provided gave murky-coloured water though so I'd suggest buying your drinking water from the nearby convenience stores (open 24 hrs). The hot water was slightly problematic, it was either scalding hot or too cold, it was difficult trying to find the right balance although I did eventually manage to do so. The bathroom is small so be prepared, shut the lids of the toilet and bathroom door when you shower because the spray can get all over the place. A fan was provided.I read abt experiences other travellers had with the so-called rude breakfast staff but didn't find this to be true. The lady serving me was sufficiently pleasant.If you're looking for a place to sleep, this would do nicely. A word of caution though, don't expect the pretty flowers in the square as shown in the website, they're half dead!	
