	Great service top class cleanliness and and central location	Stayed at the Imperial midweek for a couple of days in November. Perfect location for visiting any part of London's West End, we were going to the theatre and shopping. Hotel reception cosy and relaxing. Staff were superb ( repeat superb) throughout, always hepful and polite. Twin room on third floor overlooking courtyard was large and had good quality lighting rather than the 40 watt bulbs provided by other hotels.Breakfast of hot and cold food ( all you can eat buffet) served to about 10 am, staff come around with tea and coffee which stops the buffet area getting clogged up.Very clean hotel and we would definitely stay here again. by the way the rooms are not air conditioned but you do not need that in London anyway.	
Oct 3 2009 	Good choice for a medium price hotel in this area	I recommend this hotel but you should certainly not expect American style accommodations and you should understand that you travel to experience other cultures. I also recommend upgrading to the executive rooms if you have more than one person and you can afford the small extra amount (you will get some extra room; nothing more, but I find that valuable for more than one person; if I traveled alone I would get their regular room).The hotel has an outstanding location. Very close to the British Museum and the Russell Square tube station. I love this historic area, although the Russell Square area can get noisy at night, so ask for a room not overlooking the square if you want peace-and-quiet during the night and you plan to keep your windows open (they have no air-conditioning as usual per British hotels).I found the staff OUTSTANDING. Very accommodating, helpful, pleasant, welcoming, and well-trained. I've stayed at lots of hotels in this area, and found them the absolute best. I felt very impressed with the staff and whoever manages this hotel.The rooms will appear very basic to the uninitiated American traveler. But by British London budget hotel standards you should have no complaints at all. Clean, nice bath, television, with an electric kettle in the room, etc. Americans should NOT expect British accommodations at the level of even a Holiday Inn however. The British still struggle a bit regarding their accommodations due to their having older hotels. In any event, I have no complaints and could regale everyone with horror stories about British hotels.I cannot express my admiration for the staff. For example, I had requested a refrigerator for my medicine before I arrived ,and, without asking (I had forgotten after a long flight), they had arranged for one in my room (which most American hotels do not manage; I have to remind them in most cases); they did not charge for it either (many hotels do). We found the staff always friendly, helpful, well-trained, courteous, and of a level that we simply do not expect in London, no matter the price, quite frankly.My one complaint: the included breakfast. I do not have high expectations for British food, except for the breakfasts. They had a nice buffet breakfast by British standards though. In fact, I found the food in their restaurants quite good, to my surprise (again: I do not like British food; but they had fresh peas with their fish and chips in one of their restaurants which pleasantly surprised me). I suppose I should not really complain as by British standards they offered a very nice, ample, filling, and tasty breakfast. I do not rate this as a big deal at all; view it as a very minor quirk by an American.I would stay here again and I view it as a good bargain for the price and location. You simply cannot beat the proximity to the Russell Square tube station (very convenient) and the British Museum (hint: use the back door to the museum if you don't want to walk a lot as it works as closest to Russell Square and the hotel). I could happily spend a few weeks inside the British Museum of course. The area also has a nice selection of restaurants, pubs, and shopping, although, again, with the tube station only a block or so away that doesn't really matter: get out and explore one of the greatest cities in the world!Some have complained that the TV does not show a lot of satellite channels and such. True enough, but then, you don't visit London to spend entertainment time in your hotel room! It had a basic selection or TV and radio, which I found just fine.I would stay here again. High praise, as I have never stayed in a hotel in this area twice, by choice. I love the Bloomsbury area too.If you fly in via Heathrow take the excellent express train to Paddington Station, and then either tube over to Russell Square, or take a cab (if you have never visited London before, I recommend taking the cab from Paddingnton Station even though it costs more, especially if you arrive after a long flight from the states; unless you have no fear of new big cities). This will save you time and money.	
Sep 30 2009 	Clean friendly hotel in cebtral location	I booked this trip as a surprise for my husbands brthday, after searching through lots of different offers I decided on superbreak to the Imperial. The train was on time and we arrived in London 3 hours early for check in. We headed for the hotel to off load the luggage. We where checked in and in our rooms within 10 mins, they where very efficient and polite. I was a bit concerend about what breakfast might hold due to previous reviews, my husband and I where more than satisfied with the breakfast there was plenty of choice and totally indulged in a full english for the three mornings we where there. The hotel room was spotless, the shower was by far the most powerful shower I have ever been in and the bathroom was immaculate. All in all a lovelly hotel for a fab price and we would not hesitate to stay there again and are already planning a follow up trip.	
Sep 23 2009	Tired but Great	Finding a cheap hotel in a good location in London is tough. I've stayed in a couple and while they've always been ok they've never been really up to standard; until now.The Imperial is a lovely little hotel in a very nice area with easy walking range of Euston yet at almost a mid-point to the major attraction (which, for me, are walkable). The area is nice and quiet, reasonably tidy... feels safe to walk around in. There are some basic shops and eating places nearby. Very good.The hotel is old, very 80s in its deco, and some parts are rather tired looking. However it was clean everywhere. The room I stayed in (single) overlooked the courtyard at the rear so was nice and quiet. I think it had been recently updated as the furnishings seemed quite new. Comfortable, larger than a single usually is, good shower (though if you have mobility issues that bath is a bit tall). All basic stuff but all clean, all working. In addition, being at the rear of the hotel made it quite quiet.Staff were friendly but largely unhelpful. Nothing major, but asking for directions and so on they were fairly useless (bus route map was much more useful). Also a bit fussy at breakfast about where you can sit but it wasn't rudeness - they were just very busy. Breakfast was basic but good; especially if you like eggs, because they had pretty much every type you can imagine for some reason.Now to make a note... for the advertised price I'd say you aren't getting quite enough, though close... but I booked through superbreaks and got it much, much cheaper. If you can get a deal this hotel is a real gem.	
Sep 19 2009 	Not as bad as I expected	I stayed here for one night and having read some of the reviews, I wasn't looking forward to it. Generally speaking for a central London hotel, for 105 for a twin room, it was OK. It was clean enough, the decor was a bit tired but could have been worse. The 60s cell block exterior wasn't inviting and the 'Elizabethan dining room' and the key on the end of what looked like a cattle prod were a trifle bizarre, but it was a few minutes walk from the British Museum and overlooked Russell Sq gardens. The traffic was noisy and I couldn't fancy the cooked breakfast - poached eggs suspended in a vat of water looked like body parts. There was a nice, reasonably priced Italian restaurant just around the corner, off Southampton Row (Cordoba or something similar).	
Sep 12 2009 	Good value for your money	Overall a very good hotel, great for families who look for comfortable stay.Pros:Very clean and tidy rooms.Nice breakfast.Kind service.Good price for those who try to stay on the budget (78 pounds).Very good location, close to mayfair, 2 minutes from russell square tube station.Cons:Noise from the street.Very small room (single room)	
Aug 28 2009	The place to stay!	My son and I ( 26 and 59 ) stayed at the Imperial for two nights. We had come down from Durham to &quot;do the museum&quot; thing. I had stayed with my wife at the Russell Hotel ( a great hotel by the way ) along the road in June and as the Imperial was alot less expensive I was pleasantly surprised to find out how good it was. The rooms were nice and clean and we decided to take our complimentary three course meal at the Indian restaurant up the street rather than at the President Hotel next door ( after reading other reviews) and had a really good free meal in a &quot;proper&quot; restaurant.Another good thing abaout the Imperial is the &quot;Night and Day&quot; bar which is open until 1.00am and serves drinks at normal prices, in fact I would go as far as to say the prices were as cheap as anywhere else in town.While there we visted the Tower of London which was well worth the £17 each entry. Ee found that Westminster Abbey was far too crowded to appreciate anything and at £15 each entry rather expensive for what it was. By far the best attraction we visited was the National Army Museum ( get the tube to Sloan Square ) which was free entry and contained a host of interesting exhibits and information and was exrtemely well laid out.As others have said, the Imperial is very close to mainline stations, we walked to it from Kings Cross in about 10-15 mins and just round the corner from Russell Square tube station. The tube is probably the best way to get around London quickly and relatively cheaply.	
Aug 25 2009 	Imperial Russell Square - appearance is deceptive	Genuinely surprised with this hotel. There are about 6 Imperial Hotels in the vicinity so inevitably went to the wrong one first but staff helpfully redirected me. Was slightly nervous when I saw it as it is a 60s style modelled on an egg box but couldn't fault it. Good location (10-15 min walk to Euston/Kings Cross/St. Pancras, 5 mins to British Museum), very clean rooms, fairly quiet given its location (near Euston Fire Station), good room size (spacious triple - £120 for a night). The dining room has the most marvellous carpet I've ever seen, seemingly based on a deck of cards/Tudor theme (which I'd have rolled up and taken home if it was possible) and the breakfast was good. The only - miniscule - thing that was a bit odd was trying to attract the waiter's attention for some tea, and then the tea being a weird grey colour. However, this was probably because the waiter couldn't understand my accent and having lived in London I know the tea always tastes funny on account of the hard water. All in all, a great stay, and would use again.	
Aug 24 2009 	No thrills	Wasn't sure what to expect after reading some reviews but came away feeling positive about The Imperial. Stayed on business in a single room which for a single wasn't a bad size and it had a decent bathroom with a bath, enough room to spread out and put things away and two large windows that could be opened, TV etc.Stayed at the back overlooking the courtyard which is supposed to be the quietest part and I slept pretty well over 3 nights, which isn't bad for central London. I am a light sleeper and thought I might be disturbed by air conditioning units below but they didn't bother me with windows closed. Sound insulation from adjacent rooms wasn't brilliant so a lot depends on your neighbours - as always in hotels.Breakfast OK if you like it cooked and I do, with a hot buffet with usual stuff. Bar and restaurant downstairs where the food was only OK and it wasn't the kind of place you would want to sit around in too long.Good location and always plenty of helpful staff about.Good budget hotel although is 100 quid budget ?	
Aug 18 2009 	Great location and ticked all our boxes.	Okay, so it's not a luxury hotel but it's not meant to be. It certainly ticked all our boxes - we're a small family (one ten year old son) and we booked the hotel on one of those rail + hotel deals through Thomas Cook. I wasn't expecting anything special and it certainly wasn't - but the rooms, though basic, were very clean and spacious with twin beds and a double sofa bed for our son, plus complimentary soaps and shampoos. We overlooked the fountain and I was a little disturbed by people chatting outside late at night - certainly not rowdy, but the sound seemed to echo. Breakfast was plentiful and tasty but don't expect a smorgasbord of cold meats and cheeses - instead enjoy lots of fried eggs, sausages and bacon! The tea and coffee was a bit stewed but then I'm fussy when it comes to needing a decent cup of tea. All in all a thoroughly pleasant stay with friendly, knowledgeable staff. We left our suitcases in the left luggage room on our last day and were surprised by the very reasonable charge of 50p! Some of the nearby hotels seemed to be swarming with students and coach tours and I'm glad we were spared that. If I was to do it again, I might try the Bedford hotel, part of the same group, which is marketed as much smaller and more intimate.	
Aug 17 2009 	Very noisy rooms not very comfortable. OK for a budget stay.	Family room uncomfortably warm. Lots of noise from rooms on either side and loads of traffic noise. Next door checked in at 1.30am and woke us all up and didn't settle down until after 3am. Would have expected family rooms to have been on the quiet side of the hotel. Other guests remarked on how quiet their rooms were. Will know to specify that if we stay on another occassion. Buffet breakfast very good, 'FREE 3 course meal' very disappointing. Hotel location very good for Kings Cross mainline and Russell Sq Tube stations. Would recommend an Oyster Card for the Underground	
Aug 11 2009 	fantastic stay	Arrived early well before check in room wasn't prepared but told we could leave our luggage there. Very friendly receptionist changed our free meal to the sunday as we had theatre tickets for the saturday. We were upgraded to a family room which was large and airy very clean and tidy bed was very comfortable had a really good nights sleep also liked the fact that the room had a seperate bath &amp; toilet. We had the breakfast normally we only have cereal but the eggs and bacon looked to good to resist which we didn't . The location is great just around the corner from russell square tube, it also has several restaurants and a Tesco direct near it perfect to get sandwiches from instead of paying for meals at the attractions. Would definately recommend	
Aug 6 2009	OK ALL ROUND	Large hotel and very noisy at front of hotel with traffic. Very helpful staff both in reception and in dining room. Thought breakfast was very poor and boring with a limited range - no cold meats, cheese or fresh fruit or yoghurts.	
Aug 5 2009 	Book this hotel for location/value for money/good staff	Just returned from a three night stay at Imperial, usually stay at Premier/Travelinn but got this hotel combined with rail deal so good value. Very clean hotelbed/bathrooms at good price. Evening meal in with first night stay, roast dinner three courses absolutely fine. Good breakfast in nice first floor room. Arrived before two but no problem checking in. Asked for a high floor (8th) and overlooked Russell Square, wonderful views and very close to British Museum. Staff were very good and bed/towels changed every day. Would definitley return.	
Jul 24 2009	Budget-friendly hotel	My boyfriend and I stayed at the Imperial for 3 nights in June. The hotel was booked for us through a tour group, so we weren't sure what to expect. When we arrived at 10am on check-in day, we were expecting to have to lock up our luggage and go explore until the 2pm check-in time. We were pleasantly surprised that our room was ready, however, and we were able to check-in early. Our room was small, but not any smaller than you would expect in a budget hotel. We had 2 twin beds, but we just pushed them together to make one big bed. Decor was a bit dated, but the place was clean and tidy. The location was the best thing about this hotel - big park scross the street and super close to the Russell Square tube station, which made it so easy to get everywhere we wanted to go.The English breakfast wasn't bad, but it's the same food every day, so if you're there for a long stay, it might get tiring. I was happy with my hard-boiled eggs and toast. I would not, however, suggest having supper at the hotel. Ours was included in our tour, so we went, but I'm not sure it was even worth the &quot;free&quot; meal. I can only lament the chicken, as that's what we both had. It was completely dry...even hard to chew... with no flavour. We were calling it &quot;chicken jerky&quot; by the end of the meal. The vegetables were clearly from a bag. There are plenty of other great places to eat... don't waste your time here.Anyway, aside from the food, the hotel was a budgeter's deam! Overall a good experience.	
Jul 15 2009 	Good Location good quality-price relation! I recommend it!	Me and my parents stayed at Imperial Hotel for 4 nights, between Christmas and New Year! The hotel location is very good, really close to a subway station! In front of this hotel, you find one small park (if you like to run in the morning …, you can enjoy it).The hotel staff is helpful and very nice and the room was clean and comfortable. If you want to have an English breakfast, you can have it there!I loved London and this hotel wasn’t bad at all! Good Location, good quality-price relation! I recommend it!	
Jul 12 2009	Great value	Contrary to the norm, the rooms are much nicer than the the sixties-style lobby might suggest! (The rooms have recently been refurbished.) I spent 2 nights here with my father who used to stay here for business years ago. I was lucky as it was full and was put in a large 3-bed room to myself vs a small single room. The English breakfast is solid and at the current price it would be hard to find better value for money. I left a new pen knife in the room and they found it and kept it for me. Its full of tour groups etc but it really is one of the best deals in town based on location, modern en-suite rooms and a good power breakfast..	
Jul 9 2009 	Best Value for Money	I stayed at the Imperial in June 2009. I knew more or less what to expect since this was my second staying there. Still, I was surprised to see that the hotel had been upgraded and improved in many ways since 2000. Don't get me wrong: my five star rating doesn't mean that the Imperial competes with the Ritz; it does mean however that for a mere GBP 78 you'll probably get the best value for your money in Central London.I arrived very late, after 11 PM, and asked for a high floor, quiet room. I got room 932 which was perfect -- a very quiet, relatively spacious and very clean room. The bathroom was also spacious and very clean, with plenty of hot water and they now even have a shampoo! The coffee making kit is also much better than it used to be. It includes real milk instead of those horrendous whitening powder. The bed is clean and cozy though a bit wobbly (a chronic problem in many hotels) but I slept very well. The room has no safe (you can use the safe deposit boxes at the reception desk for a nominal fee) or air conditioning but if it did, you'd probably have to pay around GBP150 per night and since the weather was cool, this wasn't a problem. That said, in June I'd recommend booking hotels with air-conditioning because you might bump into a sudden heatwave.One of the major advantages that this hotel offers is its strategic location, just a few yards from the Russell Square tube station. Trust me, you can't get any better this!The only downside was the Full English Breakfast which was pretty basic. For vegetarians, the choice is rather limited. There's no cheddar cheese, yogurt, cottage cheese or vegetable patties. However, there's unlimited supply of coffee, tea, orange juice, jam, baked beans, eggs, bread rolls, brown and white bread and cereals. In conclusion, this hotel is ideal for budget travelers who don't want to risk shabby or rundown hotels, or compromise on the location. I would definitely stay there again if I can't find a four star hotel at a reasonable price.	
Jul 6 2009	Real Value for Money in a great location	I stayed at this hotel for a weekend away and could not fault the place, rooms were clean, hotel is in a great location and had a great hotel bar that did not charge the earth for drink, would certainly go back if I travelled to London again.	
Jun 16 2009 	well worth the money	after staying at the president next door this was very much nicer.the staff was very friendly and helpfulthe room was very large had a double sink bath. flat screen tv and quite we were on the 6th floor.the only draw back was the safety deposit box it is only open from 9am to 6pm a bit much if you have to go to shows. should update and have available in rooms.all in all well worth extra £30.00 per night	
Jun 9 2009 	Very friendly	My best friend wanted to celebrate her 18th in style, so me, her and our other two friends went to London to go shopping, see a show and Madame Tussauds.This break was booked through Superbreaks.When we arrived at the hotel, we were welcomed by friendly staff.We went up to our rooms and were really pleased with how lovely they were - clean and tidy.Before going to our show, we went to the hotel restaurant for dinner.It was a bit of a struggle to find it - there was a lounge enterance before it.When we got into the restaurant, we were seated to our table and asked to order.We ordered our food and asked for a spirits menu. The waiter got us one.When we tried to order the drinks, the other waited looked really confused and told us we couldn't order off the menu.After a cafuffle with the drinks, we finally went and picked our food from the cavery.When seated, the salmon I ordered was really nice, but the vegetables and hollandaise sauce were cold.This was the only complaint.[Also, beware that the maids may come into your room before you've left]The hotel was in walking distance of tube stations, shops, restaurants and banks.Just down the road, there is a Subway and Pizza Hut.We went to see Grease at Piccadilly Theatre, which we got a taxi to.It was quite a short journey to the Theatre but traffic made it a bit longer.The next morning, we went down for breakfast.There were many choices of food, including a buffet style English breakfast, cereals, toast and bread rolls.Plus, a wide selection of drinks - including juices, coffee and tea.Inside the hotel, there is a bank and a lovely little gift shop.They sell things like biscuits, London key-rings, t-shirts, magnets, magazines, chocolate, mini clocks, etc.I would highly recommend this hotel, because it is very friendly, clean, and was really nice to stay in.	
May 31 2009 	TERRIBLE and incompetent staff that are unable to deal with complaints	I stayed at this hotel for a 2 night stay on a London city trip.When I wanted to take a shower in the bath... I discovered BLACK MOLD in the top corners of the bath.This was late at night, so I reported it in the morning and was told we will take care of it.When I cam back to the hotel in the evening nothing had happened and the night porter could not do anything.I reported it again in the morning (Asked for a manager, got a comment card) and was told &quot;There is nothing we can do now as you are leaving today&quot;A few weeks later I recieved a letter from the hotel stating that they were sorry and were gonna change the mastic in the bath. They did not offer me any compensation or anything..... This hotel destroyed my brithday trip. I sent them the photos I took and have not heard a single word since.I have reprted the hotel to the health authorities as well as this is too disgusting for words....I will never stay at this hotel ever again	
May 15 2009 	Bruised sore humilited and glad to GO HOME!	We asked the hotels ability to help with our disabilties. They assured us they could and we stayed 12 May in room 548.The room was 200 feet from the lift and barely big enough for a wheelchair. Later that night when I fell the second time (I fall once a year!), we noticed the help cord was unreachable.The coffee was good at breakfast....that was nice...because we were exhausted!!	
May 11 2009 	excellant location	we arrived at the hotel for a short weekend trip and were delighted with the wonderfully quick check-in untill we were handed our room key which i kid you not was actually a key(in this day and age). we called it &quot;The Wand&quot; as it was attached to a long metal pole.when we arrived in the room i wanted to take a shower before we headed out only to find that the shower was not actually working. We had to firstly phone down to reception who the phoned the plumber. eventually we got the shower to work. the next night we decided to stay in a watch a spot of tv but to our dismay it was also not working. i also aquired an injury while staying there so i went down to reception for a plaster only to be told that my injury was not worthy of a plaster. overall the hotel was in an excellent location.	
Apr 28 2009 	Old fashioned	This hotel was booked for me by my company, I would never book it for myself in future. Check-in was very smooth, however, you have to check in and then go to the concierge to get your key and it is actually a key, which you have to hand in if you leave the hotel. It's on a really long metal pole. My room had a single bed, which was incredibly soft and two very thin pillows. There was little or no sound proofing. I had no complaints about cleanliness, except that everything, except the bathroom, was very dated and worn. The bathroom itself appeared new, but had a mixer tap over the bath, instead of a proper shower. The mixer tap hadn't been connected properly as was came through the seal. Didn't try any of the restaurants so can't comment on those. Check out was also quite speedy.	
Apr 27 2009 	Clean quiet and central	We were moved to this hotel after a couple of sleepless nights in another. It was a lovely room, cosy and secure. It was cheap to leave my bags for the day after checking out.	
Apr 22 2009 	Location is fantastic	I arrived at the hotel at 10 am in order to hand in my luggage until checkin time at 3 pm. But the nice lady behind the reception told me my room was ready if I wanted to use it. Very nice indeed.I got a single room on the 7th floor. It appeared to be newly renovated. Very nice and clean allthough a bit on the small side. 15&quot; LCD TV with about 15 channels. The bathroom was very nice but you only get one large towel. I asked the maid for a second one which I got but the next day it was back to one towel. Amendments was two small soaps and a small bottle of shower/shampoo. There was no safe in the room but there was a safe in the reception area which I did not use. There is some noise from the street as it is a busy road that the hotel is situated on.Cleaning is done very early. I was surprised when the maid knocked om my door at 8 am to clean the room. However the cleaning is thorough and the room was cleaned every day.Breakfast was actually ok. It was not world class cuisine but it was freshly made. One annoying thing though is that you have to wait for the waiter to serve you coffee/tea. It may take a while to get a refill.The staff at the reception area was nice and polite. You hand in the key to the recpetion whenever leaving the hotel (the key is actually attached to a long metal pole so you cannot bear it around London).The location of the hotel is the best thing. It takes less than 20 minutes to walk to Covent Garden ot Oxford Street. Also the front of the hotel is facing a small park which is very nice.I would definitely go back to stay at this hotel.	
Apr 20 2009 	Absolutely Grim!!!!!!!!!	I stayed here as part of a business trip as it was close to my location. The pictures looked noce on the internet and it wasn't too pricey ( no wonder!!!!).I had a single room booked but insisted that I upgrade to a double as the room was like a cell!The room they gave me overlooked the road and was incredibly noisy, there is no double glazing so you hear everything. They changed my room for me which was appreciated, to the back of the hotel.Being a female lone I did not want to eat in their restaurant ( which is situated in the neighbouring hotel), so I opted for room service. The room service menu was awful!I ordered sirloin steak and when it was delivered I was told I had to pay cash for it the (I didn't have cash on me ). The waiter said he would have to take it away and speak to his manager. The meal was returned to me and I was able to sign for it. I asked for a pepper sauce but was told they didn't do this. The meal was cold and the steak was absolutley NOT sirloin. It was also a double piece of meat stacked on top of each other that had obviously been cooked together!The room was dated and grim and I couldn't wait to get out!!!!	
