	Was close to work was the best reason for being there	Room was finished to a terrible looking DIY standard. Shower curtains were marked, windows full of condensation and bottom of loo was brown. I had noisy room at the front onto main road. Wouldn't go back unless it was my last resort (and then I'd pay more to go elsewhere and travel into the office from further away.	
Sep 22 2009 	Average hotel average value for money	The Travelodge Marylebone was a convenient base for us as we travelled to Marylebone station on Chiltern Railways. Apart from this advantage, thearea is a little way off the public transport network and we spent a fair bit of time waiting for buses.Staff at the hotel were very efficient and gave a warm welcome by Travelodge standards. The room was basic and rather austere, but did benefit from a full size bath, however the hot water was very warm, not hot!This £80 a night hotel becomes more like £95, when you factor in the cost of breakfast and left luggage at a local station (£16!). Why can't Traveldodge offer this service for free, like so many other hotels?	
Sep 15 2009 	Priced right for what you get....	Stayed here for 3 nights...room 413.....comparing room size with other hotels I've stayed in London this was ok. Rooms were nice and tidy and perhaps because it was on the 4th floor it was not as noisy as i had anticipated having read some reviews. there are no airconditioners in the rooms and may not be the best choice in summer. the furnishing also needs some revamp if the management want to avoid future ratings goings south	
Sep 15 2009 	Dreadful - Replace the mattresses. V Poor customer services.	Stayed there 9 Sept as had a meeting very early next morning (early enough to prevent getting train up from the West country), PA booked the (single) room for me. Normally I have no problem with Travelodge (though prefer Premier Inn) and have stayed at many around the country - most budget hotels being better than the average 3* to be honest. Anyway, arrived and checked in to my room (604 - I think) having unpacked, layed out on the bed and my god, what a bad mattress - thin and wires/springs very evident and noisy and it slumped into the middle. Went to reception and was allocated another room (601?) - same problem - though not as bad. Went to reception, allocated 608 this time - guess what? Yep. So back to reception for the fourth time and given 611. Finally one that seemed okay (in relation ot the others) so I took the room. I say room because like all the others I was offered they were tiny - about 2 foot wider than the single bed and 5 foot longer? More a dorm. Okay its a travelodge but as I say, I stay at many budget hotels and never before have I seen rooms as small as these, especially when the cost was £105. Back to 611. Tried to get sleep - very poor night - the matttress slumped to the mddle (though not as much as the others) and I tossed and turned most of the night - got about 1 hour at a time. Result - one very tired and irritable guest. Breakfast didnt help - again, you have limited expectations as its a budget hotel but this was bad. cold, anaemic , watery scrambled eggs, cold overcooked bacon, overcooked and thus rubbery sausages. You get the idea.IF this was a Premier Inn, I wouldnt have had a problem with gettign a refund under their guarranteed good nights sleep, In this case I started with the website - no help. Every time I submitted a complaint the website went down and I lost my commentary (I did however remember to copy it before pressing submit the second time). No, it wasnt my machine as all the other net functions I was running were fine. Then tried to phone. Followed all the options and ended up with someone who, after I explained the situation, said &quot;This is booking, I cant help you.&quot; So having asked for complaints telephone no I get &quot;Sorry sir this is Barcelona I dont have that&quot;. Eventually used contacts to phone the press office and the communications director's office to get the phone no for complaints - boy do they ever like to make it hard. I must admit that when speaking to the Press Office, the phrase Barcelona and Fawlty Towers came out. The complaints person was told the story and how, had I not paid over the net, would have refused to pay for the room. Was told it would be investigated. Oh joy, an email arrived later from the manager of the Marylebone saying that yes there ws a problem with the mattress in one room but not the others. That is it. No apology, no offer of refund or compensation - pathetic. As I said, I use Travelodge and the others a lot. Never had to complain before and always had a good/acceptable (what do you want from a budget hotel eh?) stay and never had to compain. Following this disaster, especially the attrocious customer services experience, I will be giviing preference to Premier Inn and Travelodge will be lower down the list. Yes, sometimes things go wrong. Treat a compaining customer correctly and you will keep them or get praise from them for hwo you handled it. If you bodge that then you alienate customers and get bad PR.	
Sep 11 2009 	Great for Wembley Ideal for London	Stayed here for the U2 concert, turn right out of Marylebone station ( which is nice and quiet ) and it's only 100 yds away. Stayed on the 2nd floor overlooking the main street and didn't hear any traffic ( and I sleep light ). Arrived 11.30 am and paid £10 extra for an early room, reception said to come back 12.30pm. We walked 15 minutes to Regents Park, ate a picnic and returned to drop our stuff off. Although it's by the station, it's a very quiet part of London, yet only a slow 10 min walk from Tussauds. Didn't eat here so cannot comment. Staff we had contact with were nice and friendly. Room was fine, bed was comfy and flat screen telly on wall ( it's a travelodge, people, NOT the ritz ). In the station there is a good sports bar, m&amp;s food place, burger king, paul ( a french patisserie ) and a cornish pasty stall. Also a couple of coffee bars. As it's on the Bakerloo line, connections are great. Charring Cross ( for Trafalgar Sq ) Embankment ( Tate Modern, London Eye ) Piccadilly Circus and Wembley Central. Chiltern railways run trains from Wembley to Marylebone with no stops, so within half an hour of the concert finishing we were back at the hotel ( I'm getting old ). I don't really want to recommend this place, because it may be booked up next time we want to stay. All in all, a great base for exploring London	
Sep 11 2009 	Great location and clean rooms	Would go back to this Travelodge. It's right beside a train and tube station with all the connections you need for shopping and nights out in London. It is very clean and rooms are a good size. The beds are comfortable. Breakfast is a bit dodgy but you can eat well in the station.	
Sep 11 2009 	SLEEPLESS IN LONDON	We decided to stay in london for the night after going to see england v croatia so we decided to stay at travelogde in marylebone.The location is excellent right next to marylebone tube station an 2 stops from oxford circus.We arrived at 2.45 pm and was greeted at reception and we wes given our key to our room which was on the 3rd floor.The room smelt fresh and clean and there was not a fault i could complain about the room untill night time...if you are a light sleeper like me then you will not get a wink of sleep,being right ne to the tube you hve all the comings and going of the taxi rank which was right outside our room at some stages of the night i thought i was on a rally excursion all we heard all night was boy racers and how loud there exhausts were and how fast they could go but apart from that no fault on the hotel side very clean and good location.We paid for a breakfast which was £5.00 each acs we booked online and got a discount,but i would say eat breakfast out the english brekky was not that nice for what you pay and there are lots of places to eat which are only 5 mins away.	
Sep 6 2009 	Great location for transport and the West End	My girlfriend and I stayed for 3 nights in June. The room was ok, it was clean and big enough. The location was excellent, Marylebone railway station was right opposite the hotel. A bus stop to get the bus into the West End was a few minutes walk away.The breakfast was good, plenty of choice. You could have a cooked breakfast or cereals if you wanted.The only bad thing I would say about the hotel is they lack irons! This is not the first time I have experienced this in Travelodge hotels. I would advise guests to take a travel iron with them. Apart from that it is a good hotel. Would definately stay there again.	
Sep 1 2009 	Pleasant hotel easy access into City	We stayed 5 nights in this Travelodge and found it very pleasant .When we arrived the receptionist was very thorough and helpful, we pre booked at £53 a night plus £6 pppn for breakfast and evening meal ,our bed was comfortable with a bath toilet and basin . We were on the 4th floor right next to the lift the hotel was full but we heard no noise all night ,except from outside from the traffic .The location was great with the tube only 100yards and the Bakerloo line 10 minute walk away .Our first night was hot as there is no aircon but we asked the staff and they gave us sheets to use instead of the duvet . Breakfast was good with all you can eat cereal english breakfast toast and muffins .The evening meals were poor and not worth buying .Our experiencse was the menu was limited and what they did have half was not available When we brought this to the managers attention he gave us 5 nights refund of £60 which we then used at Weatherspoons on Baker Street 10minutes walk away ,this did not ruin our stay as the outcome was to our liking .Overall i would recommend this Travelodge we shall be returning to use it again .	
Sep 1 2009 	Great Value for the money! Great location! Great breakfest!	Me and my girlfriend really liked this hotel.Great location(half a minute walk from the tube), 2 minutes walk from tesco,5 minutes walk from baker street.Clean room with an LCD.Nice breakfest(all you can eat).Great value for the money we paid.	
Aug 31 2009 	Great Location poor poor management	This particular Travelodge has a first rate location - just outside the Marylebone Station and right around the corner from the #453 and #2 Marylebone bus stops. The area is busy and seemed safe to us. We had no problems getting from the Piccadilly Circus Tube Station (after taking the Tube from Heathrow) to Marylebone on a bus - #453. There is a great little M&amp;S store in the station for snacks and sandwiches. The Cornish pasties in the little booth in the station are great and inexpensive. Forget about finding a place to park a car. I didn't see any parking places. Now the bad news. We stayed here 5 nights. The first 2 nights were on beds that were probably 10 years old. Hard and lumpy. Housekeeping had no idea that there were actually 2 people staying in a room with twin beds and left only towels for 1 person even after we complained. No cups or spoons. Missing TV control. Tea or coffee for 1 person. There also must be a severe soap shortage in the Travelodge chain. We got one bar which was the smallest bar of hotel soap I have ever seen. Very annoying. Plan on asking for extra towels and soap every day. The manager gets paid by the number of soap bars he gives out. As usual with Travelodge internet access costs a fortune, but they do have decent 1 GBP per 20 minutes machines in the lobby.We got moved to another room with better beds and further from the street the last three nights we were there. The towel problem followed us to the new room on the fourth floor. Street noise could be a problem on the first couple of floors if you are super sensitive. The windows block a lot of the noise out and the walls are not paper thin or else we had very quiet neighbors.The folks in reception were always polite and ready to help. No problems there. Cleanliness was acceptable. We deemed the food prices in the restaurant to be too high and not a good value. The food looked good and there was plenty of it even late in the morning the one time we went through the area.I would recommend this hotel based on its wonderful location. Its housekeeping is so poorly trained and managed it would be hard to recommend it otherwise.	
Aug 2 2009 	Avoid lower floors as tube is closeby. Not bad for money 	Our party was 2 adults and 3 teenagers, and we had 3 rooms over 3 nights. The staff were pretty friendly, and they were quite helpful, but there was a language barrier with several staff, who did not have English as a first language. So it was a bit of a struggle to communicate at times...The one room we were given (108) was very noisy at night, as it was right opposite the tube and also directly above the delivery bay, so it was very noisy at 5am; and we had actually phoned a few days before to request the top floor for ALL rooms, and the guy said he would put that request in.... And yet, we were put on the first floor, and told we could not have the top floor now, as 'the top floor is full..,' (Yet we were told that it would be fine to have top floor, when we phoned a few days earlier.) So this annoyed us a bit. - especially after ending up with a room right above the delivery bay. So there seemed to be a lack of communication there, or the person who said we 'could' have the top floor, could not understand us fully, or he did not make a proper note of it... So if you are staying, try and ensure you are put on a high floor... and if you request a higher floor, make sure you DOUBLE check on the morning of the afternoon you are due to check in.On the third day there, most of the stuff was not avaliable on breakfast, and we had to keep waiting for toast, sausages, plates, knives, milk, and cups; and the stuff we 'did' have was cool by the time the other stuff came. But when the breakfast IS all there, it's good value, as you can eat as muich as you like, of sausage, bacon, eggs, toast, cereal, yoghurts and fruit muffins; and you can drink as much juice and tea and coffee as you like too. Also, children under 16 eat free, so make sure you mention that when paying for your breakfast... 4 big breakfasts including drinks, for £15 in total, for 2 adults and 3 teenagers is worth the money. We ate at 10am, and didn't have to eat again til tea time!When we came for a meal on the first night, (in the bar,) some of the items on the menu were not available... we have had this at several Travelodges now, so they need to get their supplies in order here. AND in 2 of the rooms (112 and 108 I think;) the safety catch was missing from the window, so it could be opened fully. so this needs fixing.., As soon as you check in (especially if you are with children/teenagers,) check the safety catches, as it could mean the difference between life and death. If your window does not have one, ask to be moved to a room that DOES have one...Not overly happy with some things, but not overly unhappy as the staff were very nice and gave us anything we needed. Overall, the stay was just average; not dreadful, but not brilliant.. Must emphasise though, that none of it was the fault of the staff, and they were very nice, and the cleaning staff were very efficient and thorough. Basically for the money, it's worth it... but it is not brilliant. Very handy for tube and rail though.I probably would be more likely to reccommend the Covent Garden one than this one, as it is very close to tube and the west end (Leicester square and Oxford street etc,) and the rooms were better, it was less noisy, we got the floor we wanted, everyone understood us, and the food was always available and I could not find any faults... So I would have to say no to actually recommending the Marylebone one... as there are several others which are much better.. However, it wasnt AWFUL and for the money it was 'OK.'... If there were no other places available, I would stay again, but I would be more likely to look for rooms at the Covent Garden one. Even the Kings Cross Royal Scot one as really nice and well supplied with food and with a friendly atmospheric bar, but it's 15 minutes walk from the tube... that is the only fault with that one.... The best thing about the Marylebone one is it is 2 minutes walk from the tube and the railway station...And the staff were very friendly. It's OK, but would not be my first choice again.	
Jul 21 2009 	Comfortable stay 	Stayed one night in a single room. Room was clean and comfortable. Bathroom had a large bath which was great to have a soak in. Other than that it was just what I wanted for 1 nights stay in London and at a price of £30 for a Sunday night was good value.It is situated right next to Marylebone Station and yet is in a relatively quiet location. Access to central london is easy via the tube.The only down side was that there was no kettle in my room but once mentioned to reception this was immediately rectified.If you are looking for a clean and comfortable hotel in London at a reasonable price I would recommend this hotel.	
Jul 6 2009 	too hot too noisy checked out without staying	Only 1 positive. Good location for tube station. Too many negatives. Nearest car park £40 for 5 hours -24 hours. No air conditioning - far too hot and noisy, we checked out without even staying as it wasn't worth staying for a rubbish night sleep so drove home. The bathroom was VERY dated and needed ripping out. If I had stayed, I wouldn't have wanted to even use it. I think the other reviews must have been dreaming....	
Jun 21 2009 	Lots of good points and one bad one!	Good location, large clean rooms, small bathrooms but a bath, shower, toilet and sink so what more do you want. Beds were comfy and hotel was right next to Marylebone station. Breakfast was plentiful, cereal, bread, muffins, pastries, tea, coffee, juice and hot english choices like scrambled egg, sausage bacon etc. However you can get a cheaper breakfast at the station or at a cafe a two minute walk past the station called Egg and Bacon. BE WARNED, we asked three times for an iron and they didnt have one so invest £10 in a travel iron and take one with you. Overall an enjoyable stay in a good location. The 453 bus goes from the station to Oxford Circus, Trafalgar Square so a handy bus if you dont want to use the tube.	
Jun 20 2009 	Roomy comfy 	Located just next to Marylebone Rail/Tube Station, or a 10mins walk to Baker Street Station, getting anywhere is just easy. I booked my rooms early and got it at 49 pounds a night, but I believe rates can go to even lower to 9 pounds if you book it really really early, like 5mths before?! Nice cafe just round the corner (opp. Marylebone Station) that serves very good breakfast for about 4 quid. Prefer the bus? Hop on to bus service 453 which is also in the same area which brings you straight to Oxford Circus/Piccadilly Circus in about 15-20min, depending on traffic conditions. Marylebone Station is also where you take the rail (45min ride) to Bicester Village where designer brands are sold at knock-off prices - great location for the fashionista! All in all, I would definitely choose this hotel if I return to London again!	
May 26 2009 	Unwelcoming uninviting cold - I won't be going back	The building was conveniently close to the station, but the welcome was poor. The receptionist preferred to write in his book rather than acknowledge me as I stood waiting. The room was cold as there was no central heating on because it was summer! No matter that English summer is unpredictable and this evening was cold. I slept well - the bed was very comfortable. The room was grubby in the corners, and the window runners filthy, but overall room cleaniness was ok. The bathroom basin plug was broken and unable to stay down. The light above the mirror had a hidden switch which I never did find. There were no toiletries other than one small bar of soap. Breakfast was a plentiful buffet, with a good selection, and pleasant bright surroundings. But again, no welcome. I was ignored by the two suited employees when entering. The first sign of civility was when the waitress approached, but all she did was ask for was the breakfast voucher - without any hint of a smile let alone a &quot;Good morning&quot;. Some lessons in customer care needed here.	
May 8 2009 	Jesus ... you get what you pay for ..!!	First the good points. Good central location, near the West End sights and very cheap. We booked a few months in advance and managed to get 3 double rooms for £30.00 per room.Now the bad ...Check in time is an unflexible 3pm. We turned up at 2.40pm and were told we could check in only if we paid a £10 supplement per room. They provide no facilities for storing luggage. We had a drink in the bar in the railway station and checked in at 3.05pm.The rooms are shabby, cracked tiles in the bathroom, peeling paint and wallpaper in the bedroom etc. Overnight the road noise was unbelievable. I once slept on the roof of a hotel in central Athens and heard less noise. How a hotel in a city centre can exist without double glazing (or even windows which are the same size and shape as the window frames in which they sit !) is beyond me.Another two plus points. The bed was large and comfy and the breakfast would have been extremely good value at £7.50 per head, had the hot buffet been hot. Instead you piled your plate with luke-warm sausage, bacon and scrambled egg before a very attentive (credit where it's due) took it into the kitchen to be micro-waved.If you can book in advance and you're used to roughing it then this is the place for you. If you get quoted anything over £60.00 for the room look elsewhere. There are numerous budget hotels which will offer better value for money than this place..	
Apr 23 2009 	Excellent hotel with a fantastic location.	I stayed here for 11 nights in July a couple of years ago and I absolutely loved it. The location is lovely because of: proximity to tube station, safety of area, off license down the street and all of the awesome food places inside the Marylebone station. The staff was great, they helped me with directions and anything else I needed. The breakfast was good, minus the fellow countrymen acting like jerks towards the staff. Good thing I wasn't with them. Overall, I would recommend staying here if possible.	
Apr 13 2009 	Ideal for an overnight stay	Good location and a clean. comfortable room which looked as if it had recently been done up. Nothing to complain about, and great value.	
Apr 5 2009 	I was very surprised with the negative reviews - I thought it was great!	I stayed at this hotel recently and I was very pleased with nearly everything. The location for starters is ideal - opposite Marylebone station where a good range of food is available. Simply Food at M&amp;S was really useful. We got a good welcome at reception. I was really suprised to see all the negative reviews - we had a small problem regarding the plumbing in the bathroom but other than that I had no complaints at all.The beds looked new and there was a fresh feeling in the room. We heard a lot of traffic all through the night but I had no reason to complain - after all I do not go to London expecting it to be silent! There was no problem regarding cleanliness in the room or throughout the hotel. I would fully recommend this hotel .	
Mar 24 2009 	Fine for a City Break	The hotel is just in the final throes of being refurbished at the moment, with new carpet being laid in the hallways. Its not a complete refurbishment - we had new beds, and new TV in the newly painted room - in the bathroom it was the original suite with new taps. The shower worked well though and there was plenty of hot water.The hotel is well located and we had not problem with street noise. Marylebone station is right across the road and has a M&amp;S which we used for snacks and breakfasts. There is no left luggage facility at the hotel or at Marylebone station,. You have to go to either Paddington or Euston stations. As long as you are looking for hotel that you leave in the morning and then came to at night to sleep, this will suit you fine.	
Mar 14 2009 	Very poor and overpriced for what it is.	For £92 I had an absolutely tiny room that was dismal and uncomfortable.The shower cubicle was so small you could hardly move.The sink was so small that I couldn't fill the kettle from the tap.When I asked for a shampoo satchet I was told that was extra cost.The whole hotel felt dingy and seedy.It was perhaps better than sleeping on a park bench but even that would be questionable in summer.	
Feb 9 2009 	Run down basic and shabby!	I expected Travelodge properties to be maintained to an acceptable standard...this one certainly was not!!The wooden shelves, bath sides and toilet tank were made of dark mahogany wood and warped really badly. Paint was flaking of the walls.The excuse for lack of towels, pillows and toilet roll was to 'save the environment'. They don't economise on price, so why limit the basics?No parking and difficult to find if you're taking the car.Good for public transport - near to Marylbone station and taxi ranks.On the whole: average.	
Feb 1 2009 	Never Again	Went in Dec 2008, the hotel is an old Ramada hotel that Travelodge have bought and put their name on it, first room we had was mouldy and smelt, we were moved to the third floor, no lamp shades on wallights in corridor and a few &quot;fist&quot; indentations in the walls.second room had no heating and the shower head kept falling off and again mouldy and smelt, had to stay because we had no were else to go.Must be the only hotel were i have never had a shower in the morning because i felt everything was dirty, we did compalin and were given a free breakfast.This was served by the man who we had just seen cleaning and the lobby, it was cold and tasted funny.The staff were very apologetic about the state saying that it was going to be refurbed in 2009 starting on the lower floors first, so if you do need to stay there ask if any refurbs have been done first otherwise give it wide berth.	
Jan 21 2009 	Substandard	We used this hotel for a night's stay so that we could catch a train early the next day.We use the Travelodge chain quite frequently because they are usually such good value for money. On this occasion we were disappointed. The weather was freezing outside and the windows were only single glazed and there was a lot of condensation. Also it was very noisy near the station, even on the 5th floor. There was a lot of mould on the bathroom blind and we did not like the look of the shower. It looked tatty and needed replacing.The bed was comfortable though and the linen was fresh and clean but we had only one bathtowel between us. The TV was very nice and modern. Since the key-cards were not functioning throughout the hotel, every time we went out we had to ask a member of staff to let us back in. They were very pleasant about it but it made unnecessary work for them. They expected this to be rectified in the New Year. One of the two lifts was out of order.The breakfast was not very special. The food was not hot enough and the toaster didn't pop up properly and the bread caught fire if we didn't take it out ourselves. Rather dangerous we thought.It is very convenient for Marylebone Station but unless it has a major make-over, we would not consider staying there again.	
Jan 14 2009	Great value for money	Having read reviews before arriving we thought the hotel was going to be awful, much to our relief it turned out to be brilliant value for money. We had a twin room on the 4th floor, (booked early and paying £43 a night B&amp;B). The room was a decent size and clean. Beds clean. Yes, it needs redecorating. Again the bathroom was clean, however the taps very, very tarnished, couple of chips on bath, it is tired and needs refurbishing, but everything worked and to repeat, everything was clean.	
Jan 5 2009 	Tatty and Run Down	I booked Travelodge based on good experiences at other Travelodges but sadly this hotel is tatty and quite run down. I don't think it has been decorated in 20 years and the room I had was not very clean. The only good thing about this hotel was the staff.	
Jan 4 2009 	At £19 per room per night it was good.	I booked this Travlelodge as I wanted somewhere in central London during the (Xmas sales) time between Christmas and New Year, but did not want to pay high prices.I travelled from Swansea at 8.30am and arrived in Paddington at 11.45am. As the room was so cheap, I had booked an early check in, and so was able to drop my luggage off at 12 midday and hit the sales straight away!! Oh yes, and see the Xmas lights and see the sights etc!I arrived at the Travelodge with my Son and checked in with no problems. The staff were very friendly but the Card - Key machine had broken, and remained so during our two night stay, so we had to be taken to our room by a member of staff each time we wanted to go in. However, this was never a problem, as there was always someone available to do this. I was allocated a decent sized twin room, which was clean and spacious. The windows on the bathroom were very old aluminium double glazing and did look shabby, but were hidden behind the big curtains. However, they did allow some traffic noise, which woke me up from around 6am both mornings. (I am a very light sleeper, and my son heard nothing)The bathroom was small but clean, although the grout was stained black around the bath. The shower was very good.The room was lovely and warm, as it had a large radiator which was turned up full. (You could control the temperature of the radiator, but after being out all day in December up full was lovely!) Loads of tea and coffee etc in the room, and this was replenished when the room was cleaned.The breakfast was an eat all you want hot and cold buffet affair and was really good. The breakfast room was a little small, but we got a table with no trouble. Breakfast cost £7.50, but children under sixteen eat free, which was great news for me, and even better news for my son, who is nearly fifteen and 5'10! As stated in previous reviews, the location is really very convenient. This was the kind of trip where you left the hotel in the morning, and did not get back until very late, so little time was spent in the room anyway.All in all, although I would not be happy to pay £90 per person per night for this place, this was a decent, clean room, with good beds and a good shower, conveniently located in central London for £19 per room. The staff were all very friendly and professional. For the price, it was very good value.	
Dec 27 2008 	Slightly run-down but dirt cheap	Very handily located about 100yds from Marylebone Station. Room was tiny, I'd inadvertantly booked a single - no room to swing a cat, but adequate. Was turned away from the hotel as I'd arrived at 1.30 and checkin was at 3.00 (normally they'll allow you to check-in early, but maybe my room wasn't available).The shower seemed a bit grotty (dirty grouting and cracked tiles) but did the job.I'm not complaining, as it was only £9 a night - as I'd booked it direct, taking advantage of one of Travelodge's regular &quot;book 3 months in advance&quot; promotions.	
Dec 15 2008 	ok for £29 per night	We needed a bed for the night near Marylebone station after going to an event at the O2, and £29 was a bargain.The double room was a decent size, although layout did not make best use of it (lots of unused space, yet if you needed to use the mirror and sit in the overly large chair no-one could get past!). The room was worn - broken lightshade, cracked tiles, but clean enough, and in a decent area.For £29 I don't think you'll get any better in Central London! However I wouldn't pay £80.	
