	Nice hotel in great location	The Windermere Hotel is in a great location. Conveniently located near Victoria Station, and within walking distance to major sites (Buckingham Palace, Westminster Abbey, Parliament, etc), grocery store and coffee shop. The complimentary breakfast was good and the service overall was wonderful. The room was clean and met our needs. Would definitely stay at this hotel again.	
Aug 5 2009 	A long-time customer speaks	Over the years I have stayed at a number of different hotels in London. I have been staying at The Windermere for over 7 years. It is truly a good value for the price. The breakfast is delicious and the breakfast room is nice. The rooms go from cozy to beautiful. I have recommended the hotel to friends and our family has stayed there numerous times. Everyone has been very happy with the friendly service and safe and convenient location.As a woman who often travels for business on my own, I appreciate a hotel and staff like The Windermere. Over the years I have come to know the owners and their family. They do everything possible to make their guests comfortable and happy. I would not consider staying anywhere else in London.	
Jun 25 2009 	So cute	I loved this place. Yes, the rooms weren't huge, but big enough. We did have to walk up the stairs 5 floors at the end of the day which was exhausting. But the breakfast, which was included, was fabulous every morning, and the place was adorable. I would stay here again.	
May 30 2009 	Good for a night...	Very clean SMALL room. Paid extra for the twin room. Thought it would be larger.No Lift !!! We were on the third floor and the stairs are a problem after a long day of sightseeing.The bathroom and shower were very uncomfortable. Could not move in the shower. No hooks for cloths in the bathroom and the heated towel rack (the only place for the towels) had rust on it. The breakfast was good, but didn't like sitting in the basement.Location of hotel is on a very busy street. Very loud when trying to sleep.This was our sixth trip to London and the hotel room was by far the smallest one.Five nights were way too long at the Windermere.	
May 14 2009 	So english nice clean and confortable	I was in London with my family and we stayed in this hotel for 3 nights. Staff was extremely friendly and helpful. The room was not very big, but clean and confortable. Breakfast was perfect. Location of the hotel is excellent: 5 min walk far from Victoria station. In addition, considering the location the hotel is very cheap. We enjoyed a lot our stay in Windermere hotel!Elena, Italy	
May 7 2009 	Well-run family-owned hotel - I will be back!	Just spent 5 nights at the Windermere and highly recommend it. I especially loved having a little larger room than the standard London &quot;single&quot;, and with a comfortable double bed! This is available for a few pounds more, and definitely worth it. The room and bath were lovely, and kept spotlessly clean. Lots of pillows, and two windows in the bedroom (one in the bath) for cross ventilation. Numerous TV channels to choose from and great reception. Exceptional hot or cold breakfast included and a restaurant which served wonderful food and provided room service. I was on the top floor - stairs were daunting but good exercise,and Iiked not having anyone above me. Staff graciously helped by carrying up the luggage -and were equally as friendly and helpful with all enquiries. In short, I have been visiting London for over 30 years and will definitely be going back to the Windermere. Prices for hotels in London are very high, and often do not provide value commensurate with what you pay. The Windermere does.	
Mar 15 2009 	Decent little hotel with free Wifi	Stayed for one night on business. Near Victoria train station (10-15 minute walk), though if have luggage you'd be using taxis to and from. Room pleasant and clean. Reception staff friendly and helpful. Reasonable pub around the corner (The Clarendon). Breakfast nice, included in price, and served by friendly staff. Benefited from free WiFi Internet access - not very fast, but perfectly good for some basic browsing and dealing with emails. Not a posh hotel, but comfortable enough and perfectly suitable for a one night stop-over in London.	
Feb 26 2009 	Disappointing	I stayed for two nights in this hotel recently. It is 10 minutes walk to Victoria which is good but not great.We arrived and have pre-paid (unfortunately) our bill on a business trip. I was shown to a Lower Ground Floor room (basically a basement). It smelled of mould. Upon my request, is was relocated to another, slightly larger Lower Ground Floor unit. It was very small, the bathroom was cca 2sqm with an inner height of 1,90 (exactly my height), the shower curtains were rusty. It is a dark room also in the morning, you have a &quot;view&quot; of the shed opposite the &quot;window &quot;(cca 50 cm).credit to the staff, they tried to handle my complaint professionally, and moved me to a second floor room shown also on Tripadvisor. This was now not unacceptable, but it smelled of the cleaning agent of the loo, and tea set was very dusty.....All this for 100 GBP a night I think this was a bad deal....	
Feb 14 2009 	good location	We stayed here for 4 nights to visit the sites of London .Hotel staff were friendly and helpful which is not always the case with larger hotels.It was eay to get anywhere either on foot or by the tube .We ate each night in the hotel restaurant , the food was very good and cooked to order by the chef who was most helpful and would modify the menu to your liking. He was the barman , waiter &amp; chef and when the restaurant was busy he was rushed off his feet but the food was still excellent . The fish each day was excellent .	
Feb 2 2009 	A really charming and hospitable British hotel!	Windermere is a really warm, small British hotel, with an excellent and very friendly service. The rooms are very pretty, romantically decorated, very clean, with details that make you feel like home. The breakfast is very rich and tasty. Windermere is situated in a quiet neighbourhood but also is very close to Victoria train/underground station, and Green line coach station, so every transportation is easy. I would definetely stay there again!	
Dec 14 2008 	Lovely homely welcoming hotel with great food.	What a find! Lovely little hotel, very friendly welcome. Room was fine, bathroom had a good powerful shower. All very clean. Decided to eat in the hotel and my steak was superb, and the house wine (rioja) was very good and reasonably priced. Breakfast was a highlight - I stay in London hotels often and I'm not used to complimentary breakfasts, and when it is on offer it's usually cornflakes and muffins! I had the most delicious eggs benedict along with a well stocked buffet of fruit, pastries, cereals, cheeses, juice. Food on offer is simple, but beautifully cooked. When hearing on check out that I was going to a couple of meetings and then heading back to Victoria for the Gatwick express, the very helpful gent behind the desk offered to keep my case for me so I wouldn't have to carry it about. It's about a ten minute walk from Victoria Rail Stn, so most of London easily accessible with the Tube. It's homely rather than swish, but for this price beats the faceless chains hands down. Will definitely stay here again.	
Nov 25 2008 	Quaint Hotel Central Location	Nice family owned hotel in convenient location. Room with king size bed and large bathroom on first floor. Very quiet even though we were in a corner room. Full breakfast with great choices. Staff very efficient. Restaurant opened for dinner and food was excellent. Chief Yacine does it all from taking orders to bringing the check. He's there every night except Sunday. It was like having our own personal chief, as the dining room was never crowded. We enjoyed hearing how he immigrated to England. We'd go back in a heartbeat.	
Nov 6 2008 	Charming B	If you are looking for a small, quaint, hotel/bed &amp; breakfast, I would highly recommend the Windermere. It's located in a quiet, largely residential area which is about a 5-7 minute walk from Victoria station, which is a large terminal where you can access the Tube.The Hotel is basically a classic old house with a very charming feel. We were greeted warmly when we arrived (Phil was very nice), and you definitely notice the 'warm house' feel when you walk in. Our room (superior room) was nice and clean, with a modern bathroom.Two small caveats though: there is no elevator, so bags will have to be brought up &amp; down either yourself, or with the help of hotel staff, and the walls are thin. It's easy to hear what's going on in other rooms, so you might considering bringing earplugs if you're a sensitive sleeper. These things didn't detract from our experience though.Finally, the breakfast is included in the hotel's restaurant and is very good. You can also eat at the restaurant for other meals but that's not included. Overall a great stay, for a great price actually, and I would definitely go back.	
Sep 30 2008 	Not what I expected	The hotel was not in a very promising neighborhood, and was much more run down than I expected from the reviews or from their website. We were taken to a sad, little room at the top of the hotel, and left minutes later. It was completely unacceptable. I can not recommend this hotel.	
Sep 29 2008 	Small But Lovely	I was in London on my own--a middle-aged American woman. The Windermere was the perfect hotel for me. The room was small, but certainly adequate, and everything was clean. Victoria Station? Just a stretch of the legs. Finding a place for dinner? Just go down stairs into the hotel's little resturant and enjoy meals from fresh ingredients prepared by a fine chef. Breakfast? Not a problem. A full English breakfast in the same restaurant is included in the price of your room.I stayed at the Windermere five nights,then took a five-day trip to Ireland. The hotel kindly held my extra luggage and such while I was gone. On my return, I was assigned a different room. This one had a great big bathtub that was just right for a luxurious soak.All in all, I would highly recommend the Windermere as a clean, tidy, convenient, friendly hotel.	
Sep 28 2008 	Great location - EXCELLENT STAFF AND FOOD	This place is an excellent find in London. The staff was incredible - everyone extremely friendly and helpful. My sister and I booked this hotel based on it's location but will definitely be going back. We arrived pretty late in the evening because air traffic control problems (our flight was seriously delayed). All we wanted to do was grab a bite to eat and head to bed. When we arrived at the hotel, we saw that one must ring the bell before entering the building which was very comforting to us. Phil was there to greet us and showed us to our room. We were informed that the hotel restaurant was still open which just made our day.We've been to London many times and never once have we been impressed with the food...... until now. The food was GREAT and so was the atomosphere. Breakfast was included with our stay. That included actual breakfast items (eggs, sausage, ham, bacon, etc...) which isn't typical of hotels in London that we've stayed at. We have stayed at several 4 star hotels in London but so far, this has been the best overall - great staff, great food, great location!I definitely recommend this hotel!	
Sep 28 2008 	friendly staff	Enjoyed a very comfortable 2 night stay.Staff are friendly and helpful. particularly for a london hotel.breakfast is very good.Location is very convienent, 5 minute walk from Victoria coach station, less than 10 mins from Train station, and theatre for Billy Elliott musical.	
Sep 16 2008 	Outrageous cancellation policy	I booked 2 rooms at this hotel (based on these Tripadvisor ratings) on August 28 for our stay on October 4-5. Later that same day I learned that our flight from Winnipeg to London was not going to happen since the carrier - Zoom Airlines - had ceased operating. So within 24 hrs of my booking I canceled our rooms. While I do not dispute that at the time of booking the hotel told me they had a GBP20 per room cancellation fee, I had hoped that they would not charge that fee given these circumstances. However the hotel still felt it necessary to charge me that cancellation fee - even though I had explained why I canceled and seeing they had more than 4 weeks to re-let these rooms. I did write the hotel to voice my objection to them charging me the cancellation fee - but they elected not to respond to my e-mail. Given this total lack of compassion and customer service I can not recommend this hotel and caution anyone booking with them about their inflexible cancellation fees - which amounts to nothing less than a money grab.Alfred Jobse - Winnipeg	
Aug 30 2008 	Not the Ritzs but overall a comfortable stay!	Well overall I had a comfortable stay in the windermere, slept well and ate well.....breakfast was freshly cooked to order and was lovely!! There is a nice family feel to the hotel and was made to feel welcome.Main dislike was the size of the bathroom...TINY! The sink was in the bedroom and the bathroom was a shower cub which stepped out on to the toilet...no hooks or anything to hang clothes on so they had to be left on the floor near toilet. On a plus note the towels were lovely.As for value for money, in recently years ive stayed in much nicer hotels in a better location for a similar if not cheaper price. However, it seems London has become more expensive to stay in, so if prices continue to rise and Windermere was the most reasonable...I would return.	
Aug 6 2008 	Great location	This hotel had a great location not far from Victoria Station. The staff was very friendly and helpful with advise on where to start (in London) and how to get around. We stayed for 2 nights. Our room was on the 4th floor, I think. It was hard to tell with the crazy layout of the hotel. We had a room with a king size bed and a recently remodeled bathroom. No A/C, so it was rather warm one night, but we were able to keep the windows open. Unfotunately, we could hear neighbors which awoke us one night. Breakfast was excellent and the choices were some of the best on our trip. We would of perferred a hotel with A/C and a lift, but, this hotel was good for the price for London.	
Aug 6 2008 	Great value for money	I stayed in this hotel last June. I had a single room on the second floor. It is a small family run hotel. I have to say that for the location the hotel was extremely cheap, just 10 minutes from Victoria in a very quiet area. My room was small but adequate with a shower, no bath so this would be something to keep in mind if you are booking and want a bath. It was very clean. The breakfast was excellent. There was properly made fresh fruit salad, fresh juices and a selection of hot breakfasts including eggs benedict which you rarely see anywhere. All the staff are friendly and helpful and you get the feeling you are staying in a family home rather than one of those awful impersonal chain hotels.	
Jul 30 2008 	Ground Floor	Just a word of advise if booking a twin room. Check which room they are giving you, if it is ground floor go somewhere else.The room is akin to Harry Potter's cupboard under the stairs and has no air conditioning although the rest of the hotel feels lovely and cool. The ceiling fan didnot work and the floor fan that was brought was broken and only pointed at the floor.The ground floor windows do not lock and are so close to the street it is not feasible to leave them open. They unfortunately have the cheek to charge the full rate for this room and it certainly does not feature on their website. I'm sure the rest of the hotel is very nice but unfortunately our experience was very disappointing.	
Jul 21 2008 	Not one thing to complain about.	I had a great stay during my summer vacation and loved everything about the Windermere, from the very personalized service I received, to the delicious breakfast. I've already booked me in for next fall!	
Jul 20 2008 	Aussie Traveller!	I stayed at this hotel with my partner from the 16th July 08 to the 20th July 08. This was a great hotel with more good than bad points.The Good Things: The Location was excellent, it was in a quiet residential area (other hotels along the main strip) but it was just far enough away to not be as noisy or busy. It was also not far away from the Victoria Station which supplied both the underground and national rail services.The food was also an outstanding bonus and was included in the price (The hot and cold Breakfast that is). It was a great start to the day.The room itself had alot to offer for a hotel at the cheaper end of the scale. The room had tea and coffee making facilities, Free wi-fi internet access in the room which was excellent for organising the day's activities,a well stocked bathroom, storage and safe and a small LCD TV. Also of note was the cleanliness of the room and the efficiency and friendliness of the staff.There were a few negatives to this hotel: the location was in a quiet area, however the walls are very thin so you could hear everyone else close to your room (thanks people above who seem to party like it was 1999 at 11pm on the dot!). Also the police station was just down the road so having 6 police screaming down the road was only visually interesting! Location wise it was not far away from Victoria Station, however be aware it can be one of the more confusing stations with a lot of exits so be aware of where you need to exit from. We ended up getting a taxi for our departure to St Pancras as there was no way I was going to go up and down multiple tube stations with our luggage!As previously mentioned, the free breakfast was great, however on the morning of check out, the Cook was late, we were there at 7:35am thinking we had 25 min before the Taxi arriving, its a pity that since we were the only ones down there it still took more than 30 min to scramble some eggs?? I guess she was too busy talking with the rest of the staff-we left with only the two cold pieces of toast i buttered for breakfast.The Room was good but a little small, with a few stairs in your way if you had alot of luggage. (Be aware there is no lift). Also the bed is comfy if a little small for two people (my feet hung of the edge and i was balanced right on the edge, narrowly avoiding rolling out, the bathroom was small also so only one person at a time.Overall I would stay at this place again because it was very evenly balanced with good and bad points, budget wise also had a lot to say in my decision as well. Also you cant control factors like Train maintainence and noisy inconsiderate people.The staff were also the most friendly I have ever come across and would go out of their way to help you with booking taxis and directing us to laundromats (there's one literally around the corner which is a real bonus when travelling).I would recommend the Windermere Hotel for the best mid range hotel in London.	
Jul 12 2008	Excellent London B	We just returned from two weeks in Britain and spent seven nights at The Windermere Hotel which is very close (10 minute walk) to Victoria Station. The neighbourhood is residential and quiet but within easy walking distance of all the main attractions (20 minutes to Buckingham Palace, 30 min to Trafalgar Square, an hour to the British Museum). Our first night we walked over to the Thames and enjoyed a riverside stroll whilst looking up at Big Ben which we heard chime at 7pm. Our last morning we walked to Buckingham Palace to see the changing of the guard, then strolled through the royal parks (which are huge, safe, clean, and beautiful) on our way to catch the train to Heathrow.The Windermere Hotel is very clean, charming and cozy. We initially had a small double room with an ensuite WC with shower but when we returned to London after touring Britain we stayed in a larger superior double with ensuite WC with tub. Both rooms were lovely and made good use of space. The rooms were certainly large enough for the two of us. The Windermere Hotel is a B&amp;B and had the most amazing breakfasts. The pastries, cereals, yogurt, fruit salad and cheeses made a great beginning (or light breakfast for those preferring Continental breakfasts). The full English Breakfasts were wonderful (eggs, bacon, sausage, beans, tomato, mushrooms) and included an option of Scrambled Eggs with Smoked Salmon or Eggs Benedict. Their evening meals were also excellent and offered free room service delivery.The staff (available 24/7) are all warm, friendly, helpful and professional. Choosing to stay at The Windermere was one of the best travel decisions we have ever made and we will definitely stay there again the next time we are in London.	
Jul 7 2008 	Dissatisfied!	I stayed here on my first visit to London. The only good thing about this hotel is that the Victoria station is about less than a 10min. walk away. When I went into my room I was automaticallly turned off! It had a stale smell, musty, and the sheets where a bit stained. The bathroom was so small, and the staircase above the bathroom made it very hard to stand up completely straight. The window did NOT LOCK! We asked the front desk about this problem and all they said, &quot;Well all the ground floor windows do not lock, there is nothing we can do.&quot; Yet you can see tons of people out the window working, and can literally enter!!! Plus he wouldn't change the room because we had to wait for management. Another thing was we satyed here from Wed-Sat. We had specifically asked the front desk for a wake up call for 7am Saturday morning so we can make it to Heathrow Airport to catch our flight. Do you think they woke us up? NO!! THEY FAILED TO GIVE US OUR WAKE UP CALL! All in all we missed our flight and had to pay an extra 200pounds to fly home. I would of heard the phone ring! I heard everyone elses phones ringing the other days of my stay! The place is horrible! The website is misleading! Please don't book your stay here! Take my word for it!	
Jun 18 2008 	Great hotel in the big city	We stayed in this hotel from May 28-31 after reading the other reviews on this website. All is true, a real gem in the big city near Victoria station. We had the room on the top floor which is somewhat bigger but no elevator so a good work out with your bags.Very friendly staff and a good breakfast.	
May 8 2008	Very Nice convienent small Hotel	Stayed at this hotel for 6 days in April 2008. It is close to Victoria Station(about 6 blocks). The facility is clean,the owners are visible and very helpful. The breakfast is good. The beds were comfortable. The location is excellent with easy acess to public transportation for sightseeing at all the major tourist attractions in London. Only drawback is no lift, but we were on the second floor which was no big deal. The staff will help with luggage. Would stay there again.	
Apr 1 2008 	Excellent london hotel	London hotels (at the budget end) are usually not great, but this hotel really impressed me. It was in walking distance of victoria station ( although we got a taxi there when we arrived so we wouldnt get lost). The staff on the front desk were English and very approachable and friendly. Our room was on the ground floor and it was lovely and big with a king size double bed. Flat screen TV and fab bathroom with lovely toiletries and towels. The breakfast was nice and with free internet access in the breakfast room, it was an added bonus. We really enjoyed our stay (myself and the husband) and if I returned to london I would stay there again.	
Feb 17 2008	Friendly hotel	We were really impressed with this hotel. The staff were friendly and interested and were helpful when I rang with a query beforehand. The room was spotlessly clean and comfortable and roomy - an unexpected bonus for a family room. The bathroom was small but had towels for all of us, of a good size, loads of hot water and good quality toiletries for all four of us. I don't think you always get this in family rooms. The room was as quiet as you can expect in central London. The breakfast was also excellent and staff were happy to look after our bags for the day before we caught our train home. We will happily use this hotel again.	
Dec 24 2007 	What a friendly place!!!	A wonderful little family-run hotel, very english in decor and atmosphere, absolutely clean, surprisingly quiet and peaceful, and with a small restaurant of incredible food quality . My rather expensive malt whiskey was not charged and internet was free! I'd stay here any time rather than any of the impersonal big chain hotels. I really felt welcome and totally at home.	
Nov 1 2007 	Great Boutique hotel	My sister and I stayed at the windermere for six nights starting from 22nd of October. The location is very good. There are beautiful terrace houses near Victoria station and posh Belgravia. Its very safe to walk at night. Some people had complained about the location in their reviews, I simply can't understand this. The houses around this hotel costs in miilions of pounds. Possibly some of the most expensive real estate in the world. Victoria station and bus/coach terminal is also few minutes walk away. The hotel is very clean and well kept. You get a very homely feeling when entering the hotel. You are not another number, they actually remember your name. Phil, who is in charge of the front desk in the evenings is also very helpful. Our twin room was in level 2, only minor problem was that the hotel didn't have a lift. But for you ladies they will help you with your luggage. Room was small by nicely kept, bathroom was small but adequate. Tea and coffee making facilities in room and they will supply you with an Iron and a board if you need it. Breakfast was good and free internet facility was also a bonus. I thought this hotel was value for money. Please you need to understand that london is expensive, some people expects too much and request 5 star facilities for 3 star prices. I have travelled to London many times, I will definitely consider this hotel for future trips.	
Oct 17 2007 	Lovely long weekend at the Windermere hotel.	I have just returned from my 3 night stay at the Windermere Hotel in London. I will definitely be returning! The location is perfect, particularly when you have a busy schedule to follow in only few days. It is very close to main sights and the Victoria station and this is exactly what we needed.We found the staff to be very polite and they helped to answer all our questions.I read before on tripadvisor that the breakfast at the Windermere hotel was very good, and this was very true! We woke up everyday looking forward to our full english breakfast! The Pimlico room (the restaurant) was also excellent and useful for us when we were too tired to go out at night. We were surprised that the food was at such a high quality but reasonably priced too-everyone says London is such an expensive city but eating in meant we could keep within our budget and be well-fed at the same time!The rooms were also at a very high standard. The beds were comfortable, the bathroom was very nice and everything was very clean. Our room was also on the ground floor, but we found it to be very quiet. Overall, we highly recommend this hotel and are already planning on booking our next trip to London at the Windermere hotel. We found it to be good value for money as there was everything we needed - a comfortable and clean room, good location and service, as well as good food.	
Oct 15 2007 	disappointed! BIG TIME!	My God did i expect a little more for paying £129 per night! i could not hide my disappointment and thought of other posh hotels in the west end where service and facilities would have been much better. i cannot believe i chose this hotel, the bed was TERRIBLE and i could not sleep properly on it! i am a modest person but this was not a modest experience compared with the price i payed. NOT recommended, at all!	
Oct 9 2007 	Surprisingly Peaceful	We were in London partly to see a football match at Crystal Palace so the hotel's close proximity to Victoria rail station was appealing.Our room was clean and comfortable but quite small. It had a reliable shower and tea and coffee making facilities with a plasma screen TV. It was on the top floor up five flights of stairs. No lift!The breakfast was really good - full English with many nice extras. However, when we got down to the breakfast room at 8.30am on the Sunday all tables were taken and we had to hang about for twenty minutes - a bit of a pain.London is a city of many moods and faces and this particular corner - between Victoria and Pimlico was most peaceful and sedate. Quite a surprise. Staff at the hotel were mostly young foreigners but all pleasant, helpful and professional. We would gladly stay at The Windermere again	
Sep 17 2007 	Disappointed	Perhaps I am naive, but for what we paid, I expected quite a bit more. I will say Phil, the afternoon clerk was great, so was Carika, but after that, things were not good. The room was not very big, and a little tired. The bathroom was small with not much counter space. There was no clock or clock/radio in the room so we were unable to tell the time during the night(when I mentioned the absence of a clock in the room, the co-owner said there is a clock on the television, the problem being, the TV has to be on to see it). The breakfast room staff were pleasant, but all of the ingredients in the fruit salad tasted the same, there were no breakfast pastries or muffins, and only bananas for fresh fruit. If you take the short cut to Victoria Station, it's only ten minutes, but if you were not made aware of the short cut, it is considerably longer. The area is a melting pot of ethnic diversity, and everyone might not feel comfortable in this environment. Would I stay there again? Absolutely not.	
Sep 14 2007	Great people terrific location	I stayed for a week at the Windermere in Aug '06 based on recommendations from TripAdvisor. I was not disappointed with my choice.I stayed in the Premier Double room pictured on their website (the blue room). It was small but clean and had private bathroom, TV, etc.It was on the top floor so I had 4-5 flights of stairs to take on coming &amp; going. So if you can't do stairs don't take this room.On the good side it was very quiet because no one was in a room above me.I was in England in an unseasonable heat wave (90+ degrees) so my room on the top floor of the hotel was hot to say the least. However the lovely owners provided 2 fans to help circulate the air.But if you need air conditioning....this is not your hotel.I can't say enough about the people who run this hotel. Everyone on staff was very friendly and would chat with me as I was coming &amp; going.The breakfast (hot &amp; cold) was great and provided a great start to every day of sightseeing.I ate in the restaurant several times for dinner as I was traveling alone and preferred not to go out. One day I found a great little Italian place and bought a pizza which I couldn't finish. The restaurant stored the leftovers for me in their fridge and then I ordered my own leftover pizza and a salad &amp; soda from room service later that night. They were very accommodating in that way.The location is excellent and a nice little walk from Victoria Station. I used that station as a base for many side travels and found this hotel to be well priced, well located and providing great service.	
Aug 1 2007	Close to Victoria Station...	I really liked this hotel. The rooms were a bit small but we were only there to sleep anyways. Breakfast was exceptional and my group and I wished we had ate dinner at the hotel's restaurant. London being a big city, a lot of walking is involved to get to the tourist attractions, however, having the Victoria station so close was a big plus. The owners were nice and very helpful. The price was tough to beat as well. Would stay here again.	
Jul 10 2007 	Okay place to stay	The Windermere was a descent place to stay for 2 nights in London. We had a family room, which included three beds - 2 singles and a double. It was very crowded. The room was a bit worn and the traffic outside at night was very loud. The staff was very pleasant and the food at the restaurant was excellent. We had an early morning departure and the night staff left us some food for breakfast in the dining room - only one problem - they called us at 23:00 to ask if we wanted croissant. We had to be up at 4 am ... and they woke up the baby - we were not happy to say the least. Who on earth calls guests at 23:00?! We arrived at the Victoria Coach station and it was very confusing once on the street as to which direction to go to the hotel. It was a very long walk as well with lots of luggage. If you only have one smallish bag, no big deal. For our early morning departure we had to hire a car (regular cabs will not come that early) to get us to the Station to catch the Gatwick Express. They charged 17 pounds, which is completely outrageous for the distance, but we had to pay it, because it was too much with all the luggage and a baby.From the hotel it is a fairly easy walk to catch local buses. We had horrible experiences with the buses though - especially the 11. They kept going out of service - we finally had to take a cab.Overall, the hotel was fine. It was hard to pay over $300 a night for this hotel though. Usually you get a luxury hotel for that price and the Windermere is not a luxury hotel or at all relaxing. The restaurant was very good though.	
Jun 21 2007	Comfortable 	We stayed at the Windermere Hotel twice within three weeks at the beginning and end of a trip to Europe. We found the staff friendly and extremely accomodating, and could not fault the amenities. The location, within a pleasant 10 minutes walk to Victoria Train Station, and also the Coach Station, is fantastic.The hotel itself, while small and compact, is charming and quaint and seems typical of several others in the area. Our room on both occassions was kept extremely clean, and a couple of very minor problems were attended to promptly and cheerfully.The included breakfast was of good quality, and the dining room small but pleasant. The computer with internet access in the dining room was a welcome amenity.The only negative we encountered was the extremely creaky floors, due to the age of the building. I would definitely stay here again, requesting a room on the top floor to avoid heavy footed people above!	
