	Cool chic comfortable and central.	Enjoyed a 2 night 'theatre break' in the City and well pleased with our choice of hotel. Has benefited greatly from refurbishment and we enjoyed an 'Upgrade' at check-in. Beautifully appointed room, (view onto back of a church but we weren't there for a view!)with nice sleek minimalistic lines. Very pleasant staff. Got a good deal through website booking and found location ideal - easy walk to Covent Garden and Theatreland.	
Aug 16 2009 	CLASSY CENTRAL CUSTOMER FRIENDLY HOTEL - GREAT STAY	We booked this hotel for a 2 night stay for a group of 6 (3 over 40's, 1 x 18yrs, 1 x 15yrs, 1 x 14yrs). We were informed that it had just had a major refurb, but I did see some photos on Trip Advisor of customers who had stayed there recently and were in the &quot;old&quot; rooms, so I was hoping that wasn't the case with us. No need to worry on that - our rooms were absolutely fantastic. The smallest of the 3 went to the 14 and 15 year old (there is always a pecking order!), but it was a very nice small room. I've put some pictures on of our room (double) and the other twin with a lovely window seat, this one being the biggest of the three. Everything was in the room, tea/coffee, hairdryer, ironing board and iron hung up in the wardrobe! We arrived at the hotel from Kings Cross (nearest tube is Holborn, take Piccadilly line to Holborn station and then a 0.2 mile walk to hotel or Tottenham Court Road, Piccadilly line to Holborn, change onto Central line - red - to Tottenham Court Road making it a 0.3 mile walk to the hotel if you feel like stretching your legs a little longer). When you walk in, the hotel has a lovely light, modern feel. We checked-in before 12 noon with the intention of leaving our cases for a couple of hours whilst we went shopping on Oxford Street, about 10/15 min walk from the hotel. One of our three rooms was ready, so the very lovely lady who checked us in, let us go to the room where we freshened up, left our bags and took off for a few hours. We were back at the Kingsley for 4.30ish, showered, chilled out for a while and then out by 7pm for our night out at the Medieval Banquet at St Katharine's Dock, Tower Bridge. A taxi would have been around £30 one way (because there were 6 of us, this was a problem in London as they only do cabs for 5 passengers, so we would have to order two cabs), so we decided to use the tube. You can get the £5.60 off peak adult ticket which allows unlimited travel on the tube within zones 1 and 2 up to 4am the next day. We bought 4 x £5.60 tickets and the kids were just £1 each. A bit of a walk from the tube at Tower Hill to the venue, but it was a lovely evening, so if you leave the high heels at home for the night, you're ok walking. Medieval Night - we paid £31 for the four adults and the teenage boys were free, so not a bad deal for us. The price includes a four course meal and unlimited wine (red or white, no rose on offer) and John Smith's bitter, the kids had unlimited coke/lemonade too. We arrived at 7.45pm as requested on our tickets, but the wine and beer don't come out until 8.15pm, so it was a cash bar for half an hour, something to bear in mind. The meal isn't a culinary experience, very, very basic, but it was edible and to be fair, the evening was more about joining in with the cast and your group. We really enjoyed the night, it was a good laugh and I think for the price we paid, it was very good value. I would recommend it - the cast really make the effort to get everyone in the mood of the theme which they did very well. Naomi was our &quot;wench&quot; for the evening and she was good fun, looked after us very well :) - a good night.The breakfast at the hotel was lovely, buffet style, always replenshed as soon as anything ran low and everything you could want as far as choice was concerned. Nothing too much trouble.Our second day was at London Zoo - Holborn tube to Oxford Circus, change to the Bakerloo line for Regent's park. You can take a bus from outside the tube station (using your tube ticket) or if you fancy a walk, it's about 25 mins through Regent's park. We got 20% off the price of the tickets using a leaflet we'd picked up, so have a look around for these in the hotel etc. We got the bus to a tube station and just hopped on back to Holborn, out by 7 again for Priscilla Queen of the Desert which was a 10 min walk from the hotel if you can read a map, or you can completely go in the opposite direction and then hail a cab to get you there! I can recommend this musical - absolutely brilliant, fantastic music, the whole cast were outstanding and the audience all joined in. I loved it, the atmosphere was amazing. The guy who plays Felicia stole the show for us. I say us - the two boys in our group didn't know what had hit them, hilarious. Anyway, if you're looking for a musical with the feel-good factor, this is it. The best night out at the theatre I've had in a long time. Walked back to the hotel this time, 10 mins.We could check out as late at 12 noon, but we were packed and out by 10.30am, left our bags with the Concierge until 3.30pm so we could have another walk around as my legs hadn't completely gone numb yet, so we bought the off-peak tube tickets again and made our way to Covent Garden, had a wander, stopped to have a couple of lunchtime glasses of wine, back on the tube to Regent Street, went to the Vodka Icebar, not a good idea for us for lunch. We were led downstairs into BelowZero and I felt like we were in a dungeon, quite oppresive so we decided to just have our drinks and left to find somewhere a bit more suitable for lunch. Bit of celebrity spotting - saw Ian from Strictly Come Dancing (dances with Camilla) shopping, not rehearsing for the next series of SCD. Made our way to Leicester Square, into Chinatown and had a bite to eat and then back on the tube to the Kingsley for our bags and then onto King's Cross for our 4.30pm train to Leeds. So, we would definitely recommend the Kingsley Thistle Hotel - great location for most attractions, lovely rooms, breakfast very nice indeed and the service from the staff was outstanding, very friendly and helpful. Loved it.	
Jul 6 2009 	Great hotel	Stayed here after a mix up with our booking for another hotel (not related to this hotel or chain at all) arrived very late. checked into a large king room with my sister - we had to a bed with my sister - although the bed was huge and this did not matter at all - it was so big I could barely see her!!room and bathroom clean and tidy - slept very well even though our room was at the front - could barely hear the road noise. check in and check out simple.	
Jul 6 2009 	Ticks all the boxes good choice	After reading the previous reviews I was quite worried about what to expect when I booked here, but I heard about the revamp and had my fingers crossed that I would get a new room.Pleasantly surprised when I got there. Location is excellent. It is very near Covent Garden (I noticed a review where someone complained that it was 20 mins walk...they must have taken the 'scenic route' as it is no more than 10 mins slow walk).Service was simple but good. Got a refurbished room in the fifth floor which was lovely (although small, but it is London after all!). There was no minibar, but there is room service (even though the menu does not give you the tel number!), big flat screen with all the usual channels, and a clean bathroom with usual mod cons.By London standards it was good value (we stayed Fri &amp; Sat night and got it for £140 per night incl tax). Concierge was very helpful with directions, arranging a taxi and recommendations for places to go.Overall a good choice for central London - simple, functional, good value, great location.	
Jun 27 2009 	Great location and good revamp	On the third floor in a new refurb - more than acceptable for the price (£114 for a Friday night booked on the Monday). Was a twin room and when we arrived the beds were next to each other. Given we were friends but not that friendly :-) we moved them apart - which was easy as they were light.The room was quite small but that did not bother us as were down for the ACDC concert at Wembley. Checked in at 2pm (room was ready) and met up with other friends in the bar and the out for a few beers and didnt return till 12 hours later at 2am. Bar was shut when we got back - surprised but secretly relieved.Bathroom was nice and shower was good and refreshing..... didnt bother with breakfast as it seemed quite expensive for what it was. There are lots of cafes and greasy spoons around the corner on the way to the British Museum so would recommend using those.All in all a good place to stop - great central location, relatively inexpensive and very quiet (which is always a plus). If we came down for a show would use as it is so close to covent garden and soho.	
Jun 21 2009 	not stay again	the rooms are being redecorated, we did not get informed when we booked, also there are very small the showers do not work and our friends were moved rooms ,20 minuets walk to covent garden not round corner as thay say, not whorth the money,one posotive the night porter is great the guy can not do enough for you.	
May 31 2009 	refurbished quality at good location	We stayed on the totally refurbished third floor, (the first and second were still more or less a construction site) in a superior room, very very nice. Breakfast buffet was very complete, the free newspapers appreciated. Location is perfect to explore London and a nice area in itself. They also have a very nice bar. I'd definitely go back! One small negative: no free internet.	
Apr 22 2009 	yet one more disappointment?	we booked a cheaper B+B room deal here through a newspaper and although we expected to be allocated one of the rooms at the back we didn't really expect to be in a tiny, dingy and very tired room looking out into pipework at the back! The bed was hard and unforgiving and the green shower tray and loo was reminiscent of the 1970's. The door there didn't shut properly either. There was only enough tea and coffee for one cup each and one packet of small biscuits which fortunately had two biscuits to enjoy - one each!Fortunately we retain a very British sense of humour and as we had not come for a 'romantic' weekend we didn't face too much disappointment! Our plan was to walk through Bloomsbury to Covent Garden, Leicester Square and Soho..eat there and then go and see Jersey Boys (Excellent)! An easy stroll, great shops and very enjoyable. The hotel had a private function on and so the restaurant and bar were in the cellar that night. When we got back after the show we could see other guests were bothered by this as the Hotel had closed the bar down saying it was too quiet. Not the end of the world for us. Decent pubs within walking distance round corner.We felt some apprehension about breakfast but were pleasantly surprised by it being quite acceptable. Lots of tea and coffee and toast with the typical buffet breakfast.The staff fairly typical of London nowadays - few speak English and that makes it all so much more interesting.	
Apr 6 2009 	Excellent location - refurbished rooms are great	Stayed here for one night in a twin room. The hotel is currently undergoing a £10million refurbishment and is due to finish in June 2009. We were lucky enough to get a refurbished room and it was excellent. The hotel say that they are 95% completed but the reception and hotel bar/restaurant are still to be refurbished and a few of the rooms I expect. The rooms look nothing like the photos on Trip Advisor (candid traveller photos). They have lovely bed linnen, comfy beds, flat screen TVs, safe, iron/board, large head shower, medium to large bathroom with window, air con, tea and coffee, room service and Sky TV. We got the impression that this was heading more towards a 4 star in the future than a 3 star as it's rated at the moment. The location is excellent! 10 minutes walk from theatreland at the most and we walked late at night and felt safe. It only took us about 20 - 30 minutes to walk to the London Eye so this is an excellent hotel for seeing most of the sights in London. It's only a very short walk from Holborn underground. We got a taxi to the Natural History Museum and it cost around £12 - £15. Receptionists were very helpful and friendly but bar staff were a little tbit miserable. Breakfast was good, not excellent, but you have a choice of full English and Continental. I would stay here again if I could get it at a good rate and would recommend this hotel to friends who were visiting for a short break. If you stay here make sure you ask for a refurbished room.	
Jan 27 2009	Could and should do better!	Our staying at The Thistle Bloomsbury was as a consequence of The Thistle Trafalgar Square being over booked (a not uncommon occurrence according to other Thistle Hotel reviews). We were transferred by taxi that dropped us at the wrong hotel – not a great start. Very pleasant reception staff having to deal with a number of transferred guests that evening all suffering a sense of humour failure. The first room allocated was a twin. We had ordered a double and so we returned to reception and were allocated a room on what reception called the upgraded floor. It was very nice indeed and far better than the twin room which looked tired and in need of updating (I assume they are working their way through the building). Very quiet and about 15 minutes walk of the West End theatres. Sadly, breakfast at the Bloomsbury was a depressing affair. No one greeted us at the entrance and after some minutes we went and found someone. There were no clean tables despite only 5 or 6 of them being occupied (we arrived at 10.00am and service did not finish till 11.00am). The staff had clearly paid little attention to the hot buffet. Many items had run out and the offerings were pretty grim even by hot counter standards (where do they buy their sausages – inedible!). I would recommend you dodge the hot buffet completely if not for the fact that the ham on offer at the continental table was on the turn!....seriously, the food could not have been much worse. The dining room is dark, depressing and in dire need of redecoration. The sound of eighties pop classics being played through a flat screen TV at one end hardly improves the ambience. Had the cost of breakfast not been included in our stay I would have asked for a refund. Avoid it at all cost unless your rate is inclusive. In summary, a really lovely room in a hotel which is struggling to emerge from the late 1980’s. No doubt the dining facilities will follow in due course (kicking and screaming all the way!)	
Jan 26 2009 	Stay here ... if you like the 1980s British sitcom vibe...	Oh crikey, where do I start with the Thistle at Bloomsbury (or Kingsley as it is being re-branded). The hotel is a building site at the moment scaffolding and all - something that the hotel didn't bother to mention to my travel agent. Anyway, by the time I arrived it was too late to change so best make the most of it.....The reception staff were pleasant enough, though kind of pretending that the hotel was functioning normally and not a builing site which was a bit odd...As soon as I opened the bedroom door I laughed out loud. The decor has got to be nearly 30 years old - patterned wallpaper, borders, wooden ceiling fan, old trouser press, padded headboards. In short, a cross between Sybil and Basil's bedroom and Hyacinth Bucket's house. The bathroom was a vision in ivory and avocado. Asthetics aside, the bed was hard, the room was freezing cold, the TV tiny and with limited channels and the wifi was the external BT Openzone (i.e. v expensive).I'm guessing that things can only get better when this place is done up but in the meantime guests should be a) forewarned that the standard is very low and no befitting of the Thistle and b) get a greatly reduced rate.	
Dec 28 2008 	A hotel on the up	Having read the reviews about this hotel, I was naturally a little anxious about staying here for five nights on business, however, as it turned out, I needn't have been.Everyone [quite rightly] has different opinions of quality and service, what I want when I'm away from home on business is something that is clean, comfortable and in the right place. The Thistle met all of these requirements.I was in one of the newly refurbished rooms, which was very comfortable, although I agree with another reviewer that there should be more tea/coffee (and milk) in the rooms. I guess I could have asked for more... Cable TV would have been nice too, five days of only five channels was a bit hard to cope with.I was a little put off by the price of a pint in the hotel bar (£3.60), however, there is a fantastic proper pub just around the corner called The Plough which restored my faith that the British Pub is still alive and well in London.Bearing in mind the cost of the pint was the worst thing I can recall about my stay, you can hopefully appreciate that this hotel is probably better than these reviews make out and with the refurbishment, this is definately a hotel on the up.	
Dec 15 2008 	Love the new revamp	I had read good and bad reviews so really didn't know what to expect, i was just staying the one night as i was going to the theatre myself and my boyfriend, we found it really great location to all the west end. We checked in about 11 and they were really lovely at reception very helpful.The hotel is in the middle of a renovation but did not inconvenience us at all at all and we had one of the newly renovated room which was fabulous,everything you could want. What ever you you could imagin for breakfast it was there i really enjoyed our stay only sorry it wasn't longer.	
Oct 14 2008 	Fantastic Location	We booked this hotel for one night as we were in London to see a band. We got an excellent rate on Expedia including breakfast.The room was large by London standards and was clean. It had a plentiful supply of Toiletries and tea/coffee. It had a large comfortable bed and a large bathroom. Breakfast was nice and check in was simple and the staff were very helpful. This hotel is within walking distance of Covent Garden.We would definitely go back.	
Oct 13 2008 	Horrible!!	I stayed at this hotel last week for 2 nights and it was probably one of the worst hotels I've stayed in. At £198 a night I expected more than the dirty, out of date bedrooms, rip off room service and disgusting breakfasts. As well as the windows not opening in my bedroom, the heating being on full blast, the hair dryer not working and almost being scaled every time I turned a tap on in the bathroom. Awful. Do not stay here, there are far more nicer hotels in the area for the same price if not cheaper.	
Sep 22 2008 	Great location terrible rooms and customer service	I stayed at this hotel for 2 nights, booked through work, for a meeting. I was not put off by the refurbishment at all and thought the hotel was nice inside the lobby etc, very old fashioned feel but clean. My room was booked as a single and so i expected to get a small room which was not a problem, the room was very dark with only one very small dirty window and there were only 2 very poor lights which meant the room was pretty dark most of the time. However, i didnt find this too much of a problem either.Come the first morning i attempted to take a shower only to find there was no hot water in the room, even after running for 15 minutes it only got to lukewarm! I telephoned reception and explained that i had no hot water - the reply i was given was to 'run it for a bit'. I explained i had been running it and asked to move rooms- i was told no problem and to go to reception. When i arrived at reception i was told there was no alternative room available. I asked what i was supposed to do with no hot water and was told there was nothing they could do and try again later! I was amazed by this response in all honesty!To cut a long story short, i managed to get moved later that evening but the room i was moved to was falling to pieces to say the least and very dirty - but i did get hot water!The main problem for me here was the attitude to having no hot water that i received - i think when you are paying near £200 per night hot water shouldnt be an optional extra!	
Sep 3 2008 	Major Refurb in Progress but...	I stayed here for one night on a business trip. I was aware that it was being refurbished when I booked but the location was ideal for my purposes.The hotel is currently shrouded in scaffolding so I was glad I took a cab from the train station or I think I'd have missed it!The reception area is spacious and the reception staff were very friendly they also upgraded my room from a single to a family room so I would have more space - a very nice touch I thought.The room itself was very tired but it was clean and tidy, the bed was pretty comfortable, as were the pillows (yes more than 1!). Everything was where it should be and nothing was dirty or used.I ended up having dinner in the hotel it was very tasty but expensive for what it was and there are plenty of places near by to choose from.I can't say the room was overly quiet but considering its in the centre of London and on a reasonably busy road it wasn't too bad - I slept pretty well.Breakfast wasn't that good, I was a little disappointed, the coffee lacked guts and the buffet was poorly laid out, nothing was labelled. I didn't venture for a cooked breakfast but they looked stingy.Having said all that, I would probably use it again once the refurbishment is complete, its a great location and all the staff I came accross (other than the 2 concierge) were really lovely.If you accept the fact that it is being refurbished, and don't pay over £100 for a night, its a pretty good hotel by London stanadrds to my mind!	
Jul 17 2008	Good value for money	My wife &amp; I stayed at the hotel and rate it very highly. It is very convenient for central London, tubes &amp; buses. We walked around the corner and got a full english breakfast for GBP4.50 compared to the hotel price of GBP 14 so be wise in that area. The staff are friendly and helpful and coming from South Africa the concierge gave us good advice on tourist sites and bus services. Definitely recommend as good value for money	
Jul 4 2008 	Woefull	2 nights in this hotel recently.I'll cut to the chase.Problems1. The whole hotel is encapsulated in scafolding and plastic therefore the views are lets say &quot;restricted&quot; (Do they inform customers of this fact before they book??)2. No Aircon. 1 very noisy clicking fan overhead. So nighttime choices are a) Can I sleep with this noise if I leave it on or b) Can I sleep with the heat and humidity if I turn it off3. Flush the toilet - cistern lid pops up (nice touch)4. Cold water tap. Leave this running for 5 minutes to let the boiling water run off. It eventually reduces in temperature to merely hot. (and no the taps weren't plumbed up wrongly)5. Breakfast - colleague order sausages, eggs and bacon. After a 30 minute wait he got 1 small sausage, 1 very small rubbery egg and the smallest rasher of bacon I have ever seen served. (£15 thank you very much)Just not good enough I'm afraid.Avoid!	
Jun 12 2008 	good location but shabby	Stayed overnight with a colleague prior to a work meeting. The price for a twin room on the website of a well known supplier of last minute bookings was £180. I contacted the hotel and got it for £128. The room was clean but shabby. There was lots of peeling paint. The tiles in the bathroom and the lavatory itself were cracked. The lavatory also did not flush properly. on arrival in the room there was an overpowering smell of fruit scented cleaning product. It took several hours with teh window open for this to disperse. I asked for a room change and offered to pay extra for an upgrade but was told that the hotel was full.The beds were very comfortable and the bed lineen seemed new and very clean. the breakfast room was cool and airy and we thought the breafast was fine.I would have been very annoyed ahd I paid £180 for the room as I don't believe it is worth that. The location was very convenient . If I had to stay there again I would try and get a superior room.	
Jun 7 2008 	Fawlty Towers	If you're in London, don't go out of your way to find this place.I asked for a quiet room and was given 516 which was above a pub. Needless to say, it was a tad noisy to say the least The room looked as if it had been decorated by a child with patches of wallpaper dotted about the walls. The bathroom was dirty and didn't look as if it had been decorated since the hotel was built.Breakfast was the highlight with all tables laid out but no food to eat. When it came, it was basic and the staff offhand.I wont be going back	
May 16 2008 	Avoid at all costs - my first ever one star review	This hotel has the potential to be a wonderful establishment, but is sadly seriously lacking instead. My wife and I stayed for a theatre and food break for four nights this week and were disappointed on pretty much every level. The contrast between this hotel another Thistle we stayed at a couple of months ago couldn't be more marked.First of all, the positive part - the location is good - very near Tottenham Court Road/Oxford Street and handy for a couple of tube stations - If you want to spend significant time in the British museum, it is singularly close. Housekeeping staff were great - room was kept clean and they were very quick to exchange our pillows for thinner ones (we're used to thin pillows, so our necks suffer when we encounter very thick ones.)Now the difficulties. I'd like to emphasise that I accept that problems do occur as an everyday part of life, but how issues are dealt with affects my opinion of the overall customer experience. Feel free to check my other reviews - be assured, I am not a serial moaner.Reception and check in - Check in seemed needlessly prolonged and there seemed to be IT issues distracting the staff. When calling reception in relation to other issues I had the phone answered and then put down on me at least three times when I called from the room. This is not in keeping with a supposed blue chip experience.Room service was poor. Great difficulty placing the order, which then took 20 minutes longer than advised. When we uncovered the dishes, we discovered one of them was wrong and were told it would be replaced in 5 minutes. Not the case, this took another 25 minutes. We didn't repeat the experience. You may want to avoid the dining area on the basis of the very large damp area on the ceiling, perhaps caused by an overflowing bath? But certainly an eyesore you wouldn't expect in a reasonable hotel.On the subject of food, breakfast was well below average, especially given the price. Tables were badly laid out, meaning people were bumping into you through no fault of their own. Service was slow and confused, plus the food was far from great, we stopped bothering after 2 days and just ate out instead.The first serious problem we encountered was when my wife had the fold out ironing board collapse while she was ironing the first day we were there - the locking mechanism didn't work and the falling iron burnt her arm, thankfully not seriously. When she went to reception to report the defect and the burn on her arm (the phone at reception wasn't answered when we called) she was offered some ice to put on it, but the board wasn't fixed during our stay and no accident report was filled in.On a health and safety front, there were several areas of carpet in the corridors on our floor which had frayed and were trip hazards, worse still, the main stair carpet on the first two landing suffered the same problem. Nothing done in the time we were there to fix it - not even some electrical tape to cover the frayed areas.When the lights blew in the bathroom, we reported this and the bulbs were replaced while we were out. When replacing them, &quot;candle effect&quot; tungsten bulbs were used instead of spots, meaning they protruded from the mounts and the one above the bath/shower wasn't sealed, leaving a gap for steam to get into the ceiling space. When replacing the latter, the cover was broken and not replaced and my wife found shards of the old plastic cover for the remainder of our stay (using her feet - ouch.) It came as little surprise when the lights fused the following day, tripping out our corridor. The maintenance chap that responded was disgusted with the replacement his colleague had carried out and apologised, replacing the bulbs with the appropriate type later that day.The TV wasn't receiving several channels and the &quot;interactive&quot; functions such as view bill, set alarm call, teletext etc didn't work properly the whole time we were there. What's worse is that we were promised a fix every day, and it never came in 5 days. I suspect there is an endemic issue they simply can't address.You might regard these as minor problems if you're just going room only and spending most of your time out and about and just sleeping at the hotel. This brings me to another serious flaw. Most hotels these days have upvc double glazing rather than conventional sash windows. Not so here. I've lived with sash windows for c.35 years and know they needn't cause draughts or noise if they're well fitted and adjusted. Suffice to say that in order to get any sleep, we had to tear up a newspaper and spend 20 minutes stuffing paper into the gaps to stop them rattling. I can't imagine how bad the noise is if you're on the front (traffic exposed) side of the hotel to boot - we heard other residents complaining about the noise.A series of other little issues contributed to the bad experience. Hand driers not working in the lowest floor toilets, erratic wifi, main entrance door jamming, no-one staffing the bar at 5:30 pm, etc etc. The staff seem to be friendly, but poorly trained and managed, with a substandard infrastructure to maintain. Just too many minor little things an top of the other issues, especially given the price. This is the thing - you can expect rattles, quirks and foibles from an economy hotel, but this is far from a discount establishment. In all the reviews I have put up on tripadvisor, this is the first time I have felt the need to put in a one star review - the combination of the various issues and the price means I have to warn other tripadvisor users not to stay here.I find it ironic that the Thistle Trafalgar Square that we stayed at a couple of months ago is so much better for the same chain and price. In summary, unless you sleep very deeply and are going to the British Museum every day (which is a wonderful place incidentally) do yourself a favour and just don't stay here.	
May 5 2008 	great hotel	We stayed at the hotel as my partner and I were both out in London and didn't want to rush for the late train.The hotel was great and we would definately stay there again. We had previously stayed at a Thistle not so far away which was very average. This Thistle was very different and I could easily have stayed there for more than one night.The room was spacious, clean, plenty of towels and toiletries. The only complaint was that the bar closed early about 1am. We didn't have breakfast so can't comment.A great central pace to stay and I am very fussy about where I stay.Don't book via the hotel website look around for prices.	
