	Beautiful hotel shame about complacent staff	The Mayfair Hotel is stunning-great location, very clean and tidy and uber trendy.Barely a week goes by without photos of one celebrity or another seen going in or coming out of this popular hotel.Therefore, I expected alot more from this hotel.We arrived later on in the day, when reception was relatively quiet, however the gentleman behind the desk was surly, moody and didn't look remotely bothered to attend to us when we approached the desk. He made no eye contact with us whatsoever and didn't even greet us.After he gave us our room key he walked away without telling us where our room was,how to get there etc....I was at least expecting him to ask us if we wanted a newspaper in the morning, or if we needed help with our luggage (of which we had a very large suitcase), but I was very disappointed by his whole demeanour and couldn't believe this was a 5 star hotel I was checking in to. However, once we got to the room I was delighted.Large, clean, with a king size bed and marble bathroom, this more than made up for the rude reception staff. However, at 8am the following morning, we were woken by a knock at the door! It was the housekeeping staff wanting to make up the room! At 8am! We couldn't believe it, especially as we had gone there to relax for the weekend and catch up on our sleep.I was shocked later in the day after returning to the hotel at 4pm to discover our room hadn't been made up, despite housekeeping being so eager to do it at 8am! When we confronted the front desk about it, surprise surprise they just shrugged their shoulders and didn't really see what the problem was. We had breakfast in the bar on our first morning as the restaurant was too busy. The staff were very polite and attentive, however we still had to wait 40 minutes for our breakfast, which we ordered off the a la carte breakfast menu, which I felt wa too long, especially as it was only a bowl of porridge that I ordered.All this being said, the hotel does have alot of excellent qualities. The bar is fantastic and there is always a lively atmosphere in there no matter what time of day.The spa is outstanding and the food in the Amba grill is delicious (I would recommend the cod!).It is also one of the cleanest hotels I have ever stayed in.When booking a room, asking for one that doesn't overlook the front of the hotel as we were kept awake through the night by people leaving various bars/nightclubs in the area.	
Oct 17 2009 	Fantastic experience - shame about the Paparazzi!	My friend and I travelled to London for my birthday weekend and as a treat to myself I booked a room at the Mayfair as I really wanted to stay there for various reasons. I had occasion to contact the hotel before I arrived due to a previous nasty experience with payments in another Radisson hotel and I wanted to ensure everything ran smoothly - and run smoothly it did!The room was beautiful - my friend and I were quite blown away by it! Everything was perfect. The staff were lovely and couldnt do enough to help and it was a fantastic experience to stay here!Only a few little niggles though - not really complaints just niggling things. I booked the room on the Mayfair website and had clearly stated my title (being female) as Miss. However it seemed somewhere along the line this had reverted to Mr - Im clearly not a Mr but no-one corrected this - is this some sort of website glitch? I dont mind being referred to as Ms but Im not a Mrs and dont want to have to use this to assert my female status!Also, I had requested both before arrival and on arrival the mini bar be locked as we didnt want any amount over and above the cost of the room and VAT being charged to my card due to the previous experience - hence the fact we went nowhere near the mini bar but still 2 random charges of £3 for the mini-bar appeared on my bill! However I will say reception were very efficient at removing these upon checking the report but Im curious to know how they ended up there in the first place....Also I know Im not the first person to say this and no doubt I wont be the last. We were well aware there would more than likely be Paparazzi there - BUT having had a previous run-in with some Paparazzi elsewhere I was a little unnerved about having to walk through a crowd of them to get to the front door! However overall it was a fantastic experience - I felt like a Queen sitting on the gorgeous bed eating birthday cake and drinking pink champagne :-) I have booked again for Valentine's Day and my partner's 39th birthday in February and hope I have just as good an experience!	
Oct 16 2009 	Fantastic hotel!	This was a shopping/theatre trip with my 19 year old daughter and we stayed for 2 nights in a deluxe room. The hotel is ideally located and within ten minutes walking distance of Regent Street, Bond Street, and 15 minutes walk away from Oxford Street. Our room was clean, contemporary and a great size. The hotel bar was absolutely buzzing with atmosphere, and the breakfast in the Amba Bar &amp; Grill was excellent. We ordered room service late at night, and this arrived promptly and was very good. I'm only sorry we didn't get chance to eat dinner or lunch in the restaurant. The staff were very helpful and polite and I will definately return!	
Oct 15 2009 	Beware: All that glitters is not gold!	Thought we were checking into a pucker hotel in London. Reception/Check in staff were adequate - not unhelpful but not particularly helpful either. Room was large, clean and nice enough. Sunday morning room service turned up as requested at 7.30am. Two coffees in polystyrene cups shoved at me by unkempt man with limited english. He put his foot in the door and told me I must pay for the coffees there and then!! In a 5 star hotel!! Taken slightly unawares by this (foolishly I had expected a man in waiters uniform with a small tray and a coffee pot), I gave him a note but he said it was no good because he had no change. He wanted me to give him a big tip I guess. Eventually, he returned with my change and also receipt which already had included a 12.5% service charge! Disgraceful. Being a female in a bathrobe at that time of day, I didn't feel comfortable confronting this guy. I have complained to the Raddisson but have heard nothing back. Not very impressive.This hotel is adequate - it's certainly not 'special' and I would be very wary of room service if you need it outside 9-5 monday to friday. I have stayed in many good hotels around the world but I have never encountered this.Just for the record, the coffee was disgusting and I didn't drink it anyway!	
Oct 13 2009 	Luxury 5 star Hotel but very very noisy	I just want to bring to your attention a quite unpleasant experience we had during our last staying at the Mayfair.First let me tell you that it was not the first time that I had the chance to stay at the May Fair, I am used to come to London on a regularly basis and when I want to treat my girlfriend for a weekend I choose the Mayfair as it is an oasis of peace and luxury right in the heart on London, My previous experiences have been really positive but I have to say that after my last stay my perception has dramatically changed.On Saturday night between 1:00 and 3:00 a bunch of completely “high” people was loudly partying next to my room as well as all over on the 4th floor corridor making our sleep simply impossible. We have invited them to turn their volume down but were rudely backed off, I have then asked the reception to send someone to calm them down but unfortunately the partying went on until the very late ours.The bottom line for us was a completely insomniac night which as you can imagine caused us great inconvenience and distress to our weekend. I strongly believe that a 5 stars Hotel should guarantee at all cost the peace, tranquillity and comfort of its guest. It is totally unacceptable that a bunch of revellers could take possession of an entire wing of the Hotel and no one took any action in restoring order.I hope you are taking this feedback constructively as despite this negative experience I might stay again at the May Fair in the near future	
Oct 12 2009 	Hats off to the May Fair for a remarkably marvellous Afternoon Tea	I have been at the May Fair several times. Impressed with the quality of the service decided to organise afternoon tea for a business meeting for 32 people. Although we arrived an hour early to the venue, the staff was so helpful to make us comfortable at the Amba Bar. Great cocktails and great wine list. The afternoon tea was amazingly delicious.One of my colleagues was fasting that day and once it was time for him to eat, the staff brought him dates, soup and bread. Very thoughtful, attentive staff and great service for good value of money.I would like to thank to the staff of the restaurant and the general manager of the hotel.I strongly recommend this place to everyone who wants to stay and/or organise business meetings, conferences; because the quality of the service, the perfect location and quality of the food will not disappoint you at all.Hats off!	
Oct 6 2009 	HAPPENING STYLISH FRIENDLY	I have been visiting the May Fair now for years. The main reason I go there is because it's a happening hub in the heart of (surprise!)Mayfair, central London's best neighbourhood. That the hotel is THE venue for London Fashion Week attests to the 'cool' of this property.The bar is lively and has a great buzz any night of the week, but is VERY well soundproofed from the rooms.My how I have partied at this hotel! Its functions and gatherings are ALWAYS great fun, seemingly meticulously planned and the cocktails and food are innovative, tasty and readily available. I have been to one formal charity banquet downstairs - which was orchestral from an organisation perspective - and to many lively parties. Genuinely, I don't recall leaving disappointed.As for the rooms, well...I guess you pay your money and take your choice. I have had the indulgent delight of staying in the infamous penthouse. It would be a great idea for a proposal weekend (a rotating bed no less!) or for corporate hospitality (what a terrace!). We had it for a party but you don't have to splash out that kind of money. There are more modest rates. I hear the suites are all individually designed, which I think is the attraction for the talent.My partner took some clients to the May Fair business rooms and he said they bent over backwards for him, which is pretty much sums up how we were looked after in the penthouse. In both these cases, I have to say the food was original and plentiful.Amber, the hotel restaurant, seems to get better every time I visit. I was there last Friday and had a delicious meal. I had had a disappointment there previosuly, but last Friday was flawless. I would never choose a hotel for its restaurant - and certainly not in London - but this one is very respectable.For me, it's always the staff that define a five star hotel and that's where the hotel excels. We all been to hotels where the attention is either unwanted, over-familiar or obsequious on the one hand; or snooty, unwelcoming or too formal on the other. The May Fair has this cracked. Its people are warm, genuine and helpful without being intrusive. Just the way it should be, and no doubt the draw for the stars.And on that point...any paparazzo worth his salt will also tell you it's a place to spot famous faces. Just loafing on the sofas in reception in the evening watching the Bentleys come and go and the flashes flash is an experience in itself.	
Oct 5 2009 	Anniversary Weekend "Proposed to my Girlfriend"	I travelled to London on the Friday morning and arrived at the Mayfair, I was greeted by very pleasent staff who made my and my partner feel very welcome from the moment we arrived in the reception. Once arriving in the room, after getting over just how beautiful the room was our luggage arrived from even more friendly staff.I had arranged to propose to my girlfriend and after mentioning this to staff I was asked if I need any help to just ask and after feeling very nervous this was a great calming thing and made my opinion of this hotel even better. I travel to London at least 5 to 6 times a year and after a fantastic weekend at the mayfair I will most definatley be staying in this hotel from mow on.My girlfriend said yes which made it even more perfect.	
Oct 1 2009 	Way exceeded our expectations	The May Fair Hotel is located in a great spot right off of Picadilly near every mode of transportation, and has a staff that would be envious of any hotel. We arrived hours early and they made sure to get a room ready for us within 30 minutes of our checking in. They were hosting Fashion Week and were completely flooded with people and requests. They never ignored and always attended to every customers needs regardless.I doubt there is any reason to stay anywhere else in London, family or alone.	
Oct 1 2009 	Penthouse Suite Business Networking Event	We participated in a business event in the Penthouse Suite. The ambiance and lay-out of the venue were both very conducive for circulating and engaging with the other participants. The venue and staff had done a great job creating a feeling of intimacy and the catering was effected in an elegant and non-intrusive manner – top marks to the staff training and attitude, and I would be very happy to recommend this as an excellent venue for social/business events.	
Sep 29 2009 	The May fair was not badbut expected more...	My partner and I stayed at the mayfair on a friday into saturday morning to celebrate her birthday.The room was comfortable but feel that the pictures on their website do look a lot better which i found only slightly misleading.Facilities are excellent but one hiccup my partner and i had is that the guy that delivers the morning paper hastily rang the bell once and opened our bedroom door without waiting for an answer! Very lucky she was decent, this left a dampener on our stay i would expect a better standard from a top hotel of this sort.The decor of the whole hotel is excellent .Reception staff seemed stressed out and quite snappy on checkout.Bar staff service average and could be friendlier.Probably wouldnt stay there again on leisure due to these points but would consider stopping here if i was doing business in central london in the future.	
Sep 29 2009 	Fantastic hotel and the perfect place from which to enjoy London	I have stayed at The May Fair a number of times and have yet to be disappointed. The staff are always friendly and polite and go about their business in a highly professional way. On the odd occasion that something hasn't been right it has been rectified immediately without question. The experience starts from the moment you approach the hotel , through reception and onto your room, which are beautifully furnished and appointed. I have only eaten dinner in the restaurant once but had a great evening with friends with fine food and wine. The Mayfair bar is a fantastic place to enjoy the night with the opportunity to play celebrity spotting! A highly recommended hotel.	
Sep 27 2009 	Very comfortable experience	My husband booked us in for the night (a Friday) for my birthday and we had dinner in Nobu which was across the road so it's location is fantastic!!! Mayfair is a real Star Spotters Paradise!!!!!! The reception is very grand and spacious and is beautifully clean and elegant. When we entered our room it was new and crisp and decorated to a very high spec (even the remote control was posh!!!) The strange thing was that the bed was off centre which could be a bit off putting for some, although forgotten when you laid down as it was soooooooooooo comfy!!!!! The bathroom was a little small and awkward as you had to shut the door to get to the sink but it was nicely decorated and clean.We had a complementry phone call to see how our room was, which was nice but when we asked for some ice they told us to ring room service which I thought for the 5 star rating they should have said they would send some for us - but a small thing. Also the price didn't include breakfast which I think all hotels should include.The bar in the evening was a great people watching spot as the 'entertainment' included Mutton dressed as lamb and men deciding which one to go for!!!!!!! Brilliant to watch!!!!! A great place for a cocktail and a great excuse to dress to the nines for a fun evening.All in all I had a fantastic stay!	
Sep 21 2009 	Best hotel we have ever stayed in	This hotel was fabulous. The staff could not have been more helpful in helping us to book a restaurant, giving us info and generally making us feel very welcome. The room was a great size, with the most comfortable bed we have ever slept on! The bathroom was fit for a movie star - monsoon shower and a TV to watch in the bath! Breakfast fantastic- juice, smoothies, fruit, yoghurt, cereal, pastries, toast, the full English etc etc etc. Didn't eat for a week afterwards! All in all a wonderful hotel - would return in the blink of an eye.	
Sep 21 2009 	Great space for a networking event	I attended a networking event in the penthouse suite. As well as having a more intimate atmosphere than your typical venue, the staff were friendly and helpful. As there are mulptiple rooms to use, all decorated well, it makes getting around between people very easy.	
Sep 21 2009 	Thank you for a fantastic meeting 	I wanted to thank everybody at the May Fair's Meeting &amp; Events team – personally, and on behalf of my partners and clients - for the amazing and hard work you did for my company's workshop.Everything was perfect, more than perfect – from Mirella's fantastic pre-meeting organisation (and the patience with my last minute requests), to Janice’s constant assistance (from room fresheners to furniture rearrangement to headache pills, in a matter of seconds – you saved my day!), to Stephen’s presence at every break (I only received compliments for the presentation, quality and originality of the refreshments). And the meeting suites were fantastic.You made us feel very special, and put us at ease in what could have been a very difficult session for us. The positive mood you created reflected very successfully on our workshop’s outcome: I was surrounded by happy people, smiling throughout the day. Finally, your suggestion to complete our session by the Amba Bar, and the great table you reserved for us - completely unexpected - was a great way to finish the day – we are all very grateful. Thank you again for such a magic day, and I look forward to host another event at the May Fair in the near future.	
Sep 20 2009 	lovely hotel friendly staff and great atmosphere	Really enjoyable stay at the Mayfair, we found the staff to be very helpful and friendly the hotet has a great location and a real buzz about it. The only downside to our stay was breakfast on the second day which was extremely busy, the buffet was not replenished and service was poor. Overall a really enjoyable stay and we would definetly use the Mayfair on our next trip to London.	
Sep 20 2009 	Great hotel exceptional breakfast	I stayed in the May Fair mid week, the staff were friendly and helpful, the room was very comfortable , had food in the Bar it was excellent . The breakfast buffet was exceptional great variety of fresh fruit and nuts as well as the usual. The location is second to none for shopping, art galleries and transport links.Would definately stay again.	
Sep 18 2009 	Back for me	They say its never as good as the first time, but in this case I think it might have been better.Again, we were treated like royalty from the moment we arrived. The reception staff were lovely, smily and seemd genuinly pleased to see us. They knew when we had stayed before and asked how we enjoyed our previous stay, they even asked how are family were. (who had stayed with us previously)We were escorted to our room and the room did not dissapoint. Again, the General Manger had personally written us a note hoping that we would enjoy our stay and left some gorgeous fresh fruit for us.We had planned dinner in china town but before we went I insisted on another Moito in the fab May fair bar. It was as good as I remembered. I love the bar and being a Friday night was buzzy and full of the beautiful people. If you want a weekend which takes you away from reality then the May fair hotel is it. It's fun and glamourous and the staff make you feel like a million dollars.Can't wait to go back.	
Sep 18 2009	Luxurious setting superb staff delicious champagne and high tea!	We had a thoroughly enjoyable time at the Mayfair Hotel. Our party of +30 people had high tea in the Amba bar and grill, the portions were extremely generous and beautifully presented.	
Sep 18 2009 	Sober accomodation in the heart of London.	I've spent more than 20 nights at the May Fair over the last couple years and they perform flawless service every time.The May Fair bar is definitively the place to be, not extremely luxury but have the fine and sober touch both within style and service. You might spot some celeb in the bar or across the street at Nobu...The breakfast buffet in Ambar Grill is fantastic, the selection of fruit and berries is much appreciated and if one prefer a full English breakfast that is for sure available together with fine French pastry. The location is just perfect; close to business partners and to leisure activities in Hyde Park, Piccadilly, fine shopping etc..	
Sep 17 2009 	Great Location not quite five star	I stayed here with my wife to celebrate my 50th birthday, the hotel has a great location. We checked in on the friday night and went to the Mayfair bar for cocktails and to eat, after a bit of confusion over the table we had booked we settled in to people watch. The place was buzzing and lively especially with the paps outside Nobu. We ordered the seafood platter to share which at £22 was excellent value, and the cocktails are fantastic. Sarah the barmaid could not have been more helpful and friendly. Our room was a reasonable size, clean, and quiet at night, now for the negative. There was no complimentary bottled water, biscuits or even a chocolate on the pillow which I would expect from a five star hotel. The biggest dissapointment was the coffee, Nescafe instant in a five star hotel? is not acceptable, we would have expected a coffee machine; latte,cappucino or a french press . We recently stayed at the three star kimberley hotel Harrogate which had just undergone a £5 million re-fit. Our room was superb, we had a free bottle of wine, complimentary slippers, chocholates, bottled water, a coffee press with coffee, and a free teddy bear all for £90 a night!. To be honest we thought the Kimberley deserved the five star status more than the May Fair.Breakfast was good with pleanty of choice. We arranged to meet with family on the Saturday for cocktails in the bar area, my stepson had forgotten his belt so I went up to the desk to see if they had a spare belt by any chance, the didnt but one of the staff (Joao Carlos Vuygvein) then proceeded to rempove his personal belt to loan! what great sewrvice. Unfortuneatly my son forgot to return it that nigh as promised so I posted it back next day special delivery, I hope he got it ok, and thank you again Joao.Sunday breakfast was good, check out hassle free. Overall great location but let down by the little extras in the room. Would we stay again? yes.	
Sep 16 2009 	Good location not quite 5 star	Overall, our stay at the May Fair was definitely enjoyable. The area is fantastic, very upscale but still walking distance to the &quot;tourist&quot; area of downtown London. Also, the Green Park metro stop is literally around the corner.The rooms are somewhat small and the bathrooms are literally right off the main bedroom areas and have somewhat transluscent doors... not exactly the ideal situation for a romantic holiday. I'd much prefer to have the bathroom area a bit separated from the sleeping area.Nevertheless, the hotel bar was very nice. Not sure what people are talking about regarding the alleged hookers... we didn't see anything like that. Yes, there were scantily clad women but that's not exactly uncommon at a posh hotel bar that is directly across the street from the best club in the area.Also, we found the service to be more than adequate. All in all, I'm not sure I would rate this hotel 5-star but it is still a nice place that will not disappoint.	
