	Perky staff. Tired rooms.	Staff are great. They're the best thing about the hotel now. I've stayed here a few times when on business in London. On my previous visit I changed rooms because the room I was assigned wasn't up to scratch. This time, on booking, I reminded reservations that I hadn't been impressed on my previous visit expecting that I might get a better room this time around. It was basic, tired and shabby. Lumpy pillows. Poorly ordered room. Hand held shower. It felt and looked more like an upscale hostel. It's a pity, because it used to be great.	
May 18 2009 	Waste of money!	Having stayed at MyHotel Brighton it came as quite a shock staying here, where as in Brighton we were greated with a smile and a responsive/helpful reception staff, here a gruff rebuke welcomed us. No information were breakfast could be taken and times, not being asked if we would like a newspaper, just your &quot;Suite is on the second floor&quot;.Having entered our &quot;SUITE&quot; the first thing that I noticed was a bone dry/ half dead money plant after giving it a much needed watering I needed to use the Facilities....having used them I went too wash my hands (I always do! swine flu etc) only to find no handbasin in the WC...you had to leave this room and across into the seperate bathroom through two doors just to wash your hands after using the toilet!!After looking around the SUITE again I looked up at the Curtains they were hanging off the rails and it reminded me of a DHS doss house, very luxurious?! We needed to get out after thinking what a waste of money! On our return after a brilliant night out seeing Priscilla Queen of the Desert, a brilliant show well recommended! .....we wanted to use a bedside light (Only one provided?) only to find this not working, a harsh overhead pendant the only sorce of light. I may also ask the question has the credit crunch effected the amount of pillows this one allows its guests? one each!Having met friends later on the following day who were staying at the TRAVEL INN in nearby Convent Garden they should us their room, Ninety pounds cheaper....two pillows each, curtains hanging and a toilet with a sink! I know were we'll be staying.A side from this dissapointment, I whole heartilly recommend MYHOTEL Brighton, friendly attentive helpful staff, beautiful rooms and well worth the money unlike this one.	
May 16 2009 	Very good location and very comfortable rooms	I only stayed one night but it was exactly as described. Check in was quick and efficient the room was clean, the bed was very comfortable, everything was in working order and breakfast the following was very good, with an excellent cappuccino. You can't be more central than that, yet at the same time in a fairly quiet street. I mean, what more would you want in the heart of London?? As for the comments on the room size, frankly unless you want to pay through the nose staying in some 5 star plus hotel, what do you expect these days, when even newly built houses in the UK are among the smallest in the world (read today's news...)??	
May 15 2009 	Don't believe the marketing	The room I stayed in at this hotel was the smallest I have seen in my life. It was shabby with chipped furniture and walls. The overpowering purple paint seemed to be the only style statement. Why on earth would you paint the walls so dark in a room that is so tiny. It was like staying inside a grape. The wardrobe faced the wall so you couldn't even see in it and had to reach around from the side to grope for whatever you want. The complimentary water, bathrobes, and 'faux fur' bedspreads did not exist. The LCD TV was so small that even in the tiny space of the room you couldn't see it.. Even on a hugely discounted price you pay for this it is not worth it. It is truly awful.	
May 3 2009 	Good start poor finish	Upon arrival the staff were efficient and helpful but neither were they friendly or welcoming. I was disappointed the room was so small. I chose not to eat in the hotel though did have a drink in the bar. Getting in to bed I turned off one of the bedside lights and seemed to blow all the fuses in the room. This was localised to the room. At reception I told them of the problem and it appears this was not the the first time this had happened. I really wanted a quick fix not a shared experience, however it seemed that there was no possibility of getting the work done at night. As it was too much hassle to move all my stuff I agreed to take a torch and have a monastic evening. In the morning I met the manager I spoke to the night before, whom I had to ask for a 'make right' on the bill. He made no attempt at an apology or made any reference to the incident which all in all was very poor from a service perspective. I stay in hotels about 100+ nights a year this hotel is off the list.	
Apr 27 2009 	Great Location  Nice 	The hotel is very close to Oxford Str , Soho. You can walk to all the hot spots in the city.Our room was on the first floor. It was small but everything was clean. And the ceiling was very high so we didnt change the room. The hotel has a very nice internet-room. You can sit , relax , have a cup of tea or coffee and use the internet for free anytime you want. lf we go to London again , me and my husband will choose this hotel for sure.	
Apr 14 2009 	Great Hotel	We stayed just one night. The hotel is not far from the tube, although the rooms are small the hotel staff are very helpful. The rooms are clean, well equiped and modern. Breakfast was yummy. The price was very reasonable. I would definately go back and would recommend.	
Apr 9 2009 	Central stylish and sophisticated! Perfect for a cit break.	I had a fantastic one-night stay at Myhotel Bloomsbury! The central location was perfect for going out to clubs and bars in the west end as it just a short walk from the hotel. Very near theatres too. However, despite being so centrally located, the hotel was very peaceful. The hotel decor is sleek and attractive and creates a glamorous ambience. There is also a library, beauty therapy rooms and a gym so its a great city retreat to pamper yourself!The staff were welcoming, well presented, attentive and efficient. We ordered some 'Pornstar Martini' cocktails which were delicious - my new favourite cocktail!Our room had a huge, comfortable bed with a well stocked mini bar. Really good shower and lots of good quality bath salts, shower gels, and toiletries. and nice and quiet so had a great night's sleep.The big wall mounted flat screen tv was also great and included satellite. This was great for channel-hopping and having a lazy lie in in the morning!When we checked out the location was ideal for going shopping, eating out, visiting London's galleries, parks and museums.Again the hotel staff were very helpful and offered to hold our luggage in the cloakroom so we could enjoy our day out, and then collect our bags from the hotel later on.	
Apr 8 2009 	fabulous service perfect central location cool and spacious rooms	What a great hotel! Service was impeccable especially the day spa. Rooms are bigger and more modern than the usual London hotel rooms.Very clean. Situated on a quieter street in the hub of London which made it eay to walk around instead of catching taxis everywhere. Loved the front office staff as they were all really friendly and looked liked they enjoy their job.	
Mar 1 2009 	Very avant-garde but extremely small	The staff were well groomed and greeted us nicely. Since British Airways/US Airways lost our luggage, we had no bags with us to utilized the bell service. The room was very small but it is typical like most hotel room in downtown london. We were told the breakfast was included withour stay but later charged since they found out that we booked it at a special rate, it was charged for the 2nd nights. Free w-fi cards were given to us or we will allow access to the library and a workout room downstairs. No sauna or hot tub available but it is rather nice decor with Asian accent. Way too small for two 200/250lbs men sharing one bed and neither one slept well.	
Feb 27 2009 	Great location so expect to pay a little more!	Great location - very near to Convent Garden and theatres. They were 5 minutes walk away. Also 5 minutes from Oxford St etc. Quite pricey but to be expected in such a central location. The room was clean, comfortable, on the small side but adequate. The internet room was great. Really well designed and a well equipped gym too. Continental breakfast was yummy!	
Jan 2 2009 	Nice clean hotel in ideal location for Oxford St 	Booked for New Year Break, given upgrade to suite on arrival. Staff very freindly &amp; helpfull, continental breakfast excellent. A bit pricey, but we were more than happy with the choice.	
Dec 20 2008 	Too many little things are wrong; Staff is clueless	I stayed at myhotel bloomsbury for 9 nights in December 08 for a mix of business and pleasure. My first 5 nights were in a single and then the last 4 were in a double with my husband. I will never stay here again.Check in: I checked in after the check in time and my room was not ready. They offered me a complimentary drink and said they would bring my key when it was ready - fine except it took 40 minutes. Upon check in, they informed me I would need to change rooms when my husband arrived because my single room was too small but they insisted there was no rate change- great!First Room: I had room 420 for my single. It was cute, clean upon check in, but cold. I adjusted the heat and could never get to the right temperature- I was either freezing or burning up. The TV worked sporadically. The internet was great. The phone did not work. I called for help with the phone and they connected me through how i needed and then 2 minutes later someone was at my room- I just had you connect me to a call- why are you at my room? They did not clean the room very well at all.Second room: I had room 118 for my double. It seemed smaller than the single with a double bed. Again, the temperature was hard to control. The TV did not work at all in this room.Bar: The bar here is quite nice and a bright spot- they have a great menu of mixed drinks and wine. They claim to be open24 hours a day. Don't beleive this. From 1AM on they only offer you basic drinks and wine which is understandable just not what they advertise. Only other complaint- the staff at the bar barely speak English. I have traveled around the world and hotel staff speak better English everywhere else. Gym: The gym is good- the equipment is clean. The TVs are nice. It is hot though!Check out: Check out was awful. They tried to charge me 30 pounds &quot;upgrade&quot; fee for my double room when they had insisted there was no upcharge. This is just unacceptable. I asked multiple times at check in and when I got my new room key to ensure I understood correctly and they all insisted I had. The General Manager told me the employees couldnt see the upgrade fee- I hate to tell him- that is not my fault.The value for the room is fine. The value for the service is not acceptable. This hotel pretends to focus on you and your unique needs- it doesnt.	
Dec 1 2008 	Great location friendly staff small room	My wife and I stayed at Myhotel Bloomsbury for a 4 night stay at the end of November. We had booked this hotel through an on-line auction site and got a room rate that was unbelievably inexpensive. So, for a price of just over $100 per night, there was little this hotel could have done that would have caused disappointment.Biggest plus - Location. Literally steps from Tottenham Court Road and only two blocks from the tube station. The hotel is strategically on the border of two great neighborhoods: Bloomsbury and Fitzrovia. This means there are plenty of fine restaurants within a quick stroll, the British Museum is only minutes away, and many attractions are easy to get to. There are several pubs very close by, in fact the Jack Horner is in the same building.I always appreciate hotels who understand the needs of travelers who just got off a transatlantic flight. We were thrilled that our room was available when we checked in at 12:30 p.m.We were given room 306, which had a queen size bed. We were very happy about that. The room was small and only had one chair, at a desk. There was a flat-panel TV on the wall, over the desk, but it's placement was very odd for TV watching. We were impressed that the room had a stereo and we listened to the radio much more than we watched TV. As other's have commented, there is a lack of closet space. There was one small cabinet for hanging garments. The room could definitely have benefited from a few wall hooks. Despite the small size of the room, they used the space well and we were not getting into each others way. A desk lamp could have improved things in terms of lighting but there were useful reading lights for the bed. There were two drawers in a dresser and two drawers at the desk available for unpacking into. The dresser also had a safe, and there was an electric kettle with tea, Nescafe, and hot chocolate provided. We appreciated that they provided two water glasses, two tea mugs and two wine glasses on the vanity. There was a mini-bar/refrigerator (dreadfully overpriced) that we used it to chill beverages we bought from Tesco's down the block.We, too, had issues with squeaky floor boards in the room but didn't hear a noise from anywhere else except the occasional police siren on Tottenham Court Road.We were thrilled with the quality of the towels in the bathroom. They were possibly the best we've had in any hotel we've ever stayed at in London. The entire bathroom, while very small, was set up well. Good water pressure and temperature was available at all hours.We did not have the breakfast as part of our room rate. I agree that 14 UK pounds is exceptionally unreasonable. The only thing we ever got from the on-site restaurant was a cup of filter coffee for 2.50... a bit steep.The wireless worked perfectly, but if we had known how wonderful the library was we never would have even brought a laptop with us (3 pc-based computers and 1 mac were available in the library). The library had free coffee and bottled water and fruit all day. I never used the gym but there were 3 -4 machines and all seemed to be adequate.Overall, we were very pleased by this hotel and would stay there again.	
Nov 25 2008 	Trendy hotel in central location but overpriced noisy and cheap decor	I stayed with my partner at MyHotel Bloomsbury at the end of November 2008 as part of a business trip. Initial impressions were great, as the hotel exterior is very smart, and check-in service was very friendly.We were given a double room on the third floor, directly opposite the lift and next door to the cleaners' storage room. The room was small, but adequate, and the bathroom (with full bath) was nicely fitted. The shower had a good pressure and maintained it's temperature.Unfortunately, the floorboards in the room were incredibly squeaky, and so were the floorboards in the room above. This disturbed our sleep, and the noise from the storage cupboard next door woke us up early.The reception on the TV was not great, with a very fuzzy picture. Wi-Fi worked as described. I was disappointed by the amount of hanging space provided, and that an iron and ironing board was not provided in the room, although I note that this could be provided on request.Breakfast was a typical continental affair, with croissants and various other pastries, breads, cold meats, fruit etc. Make sure you get this included in your room rate, as it costs £14.00 on it's own and is definitely not worth this. Other than that, the breakfast was very nice, but the staff were a little off-putting, staring at us while we ate.Final point is that the decor in the hotel both in the room and in the communal areas was of poor quality and looked rushed and done on a small budget - not what you expect from a 4 star hotel. Some of the plasterboard walls in our room were starting to detach from the beams behind, which was quite concerning.	
Sep 23 2008 	Just lovely	As a birthday present, we booked a theatre show as well as a West End hotel instead of rushing for the last tube/train or costly cab fare home. We were greeted by two friendly receptionists as well as noticing the all round hip and contemporary feel. Our room was lovely but had some minor signs of wear and tear. There also appeared to be a pleasant scent throughout the hotel. We enjoyed a couple of cocktails in the bar however service could have been a bit faster. Realised there was a Yo-sushi behind the reception desk and so popped in for a quick dinner. We requested for extra swift service due to time constraints and they did their best to please. Just 5 mins from Tottenham Court Rd station (but a far cry from the tackiness around the station) and great being able to stroll back in 10 mins from a night out from the theatres and bars around Covent Garden/Soho. Loved our breakfast the following morning. Would recommend.	
Aug 23 2008 	OK for a Business Trip	Arrived at the hotel on a very wet Sunday afternoon we choose the hotel as my Husband was attending a business meeting on the Monday, and the hotel is situated in a good central location, we got a taxi from Euston and arrived at the hotel within 10 min.On arrival the receptionist greeted us very well and booked us in very swiftly, we had folllowing other TA reviews of this hotel decided to upgrade to a suite room, the room was of a good size on the side of the hotel, the room was described as minimal but for our taste this bordered on stark, but it was clean and the bed was very comfortable, the bathroom was of a decent size and as other people have commented there were some nice bathroom products.We quickly unpacked as we were only staying for one night, and went down to the bar for a quick drink as we had booked to have lunch elsewhere and wait for a taxi the staff were extreamly nice and friendly.The public areas of the hotel are also very minimal in decor, downstairs they have a small library type room but we did not have the opportunity to use this. The hotel is in a good central location however for speed we only used taxis to get around this did prove costly because the traffic especially on Monday was very busy and the taxi meters keep running even when you are not moving.As we had booked lunch on both Sunday and Monday in other restaurants we did not use the hotel restaurant but on Sunday it was very quiet but on Monday it was packed so I assume the food was good.Breakfast according to my Husband as I did not eat it was very basic.All in all a decent hotel with helpful and friendly staff OK for an overnight business trip.	
Aug 18 2008 	Bit of a dissapointing stay	On the surface a lovely hotel, but expensive for small rooms which seem to have become a little tried. We booked a superior room, which was basic and had 2 single materesses pushed together (very romantic) also no wifi signal and a iron which ruined a shirt (not a great start). Manager moved us to a suite (which was just a normal size room) and comped' our breakfast - but the furniture was tried, the aircon very inefficent and we ran out of shower gel as it wasn't replaced. All in all felt a little ripped off for 2 nights at just shy of £200 a night. The bar and Yo Sushi were the plus points.	
Aug 11 2008 	Romance is Dead	Overall this is a great hotel, good location, friendly staff and nice clean, well appointed rooms.My only word of warning would be, be wary of booking their extended packages like their &quot;Romance Package&quot;, which boosts of;• Myromance is for those who simply want to share their inclusive box of chocolates with a loved one• A deliciously chilled bottle of Laurent-Perrier Champagne served in the bedroom. • With a candle to create just the right atmosphere • Aromatherapy massage oil. • Beautiful soft ostrich feather. • In the morning, a room service continental breakfast ensures the bedroom is the only place to be. --However when we got there we had to explain what the package was to the reception staff and when we got to our room there was nothing in it. I had to call down and ask for the package to be put in (romantic surprise!), and we went out for the evening. When we returned there was a bottle of champagne plonked on the dresser.That was it! For the extra £50 that was all they could be bothered to do.It's a reflection of the times, people are excellent at marketing, great at developing ideas and up-selling experiences, slick and adept at taking our money, but lazy and reticent when it actually comes to the physicality of doing anything. We were offered the package contents in the morning, an apology and some money off, but the moment had passed.It's a nice hotel, all I'm saying is make sure if you book a package you get someone's name and make someone accountable for it on your arrival, or it just won't happen and you'll look like a fool infront of your partner like I did.	
May 28 2008 	Tried to fit in... but failed!	OK, hotel rooms in London nowadays are in general miniscule. One has to be ready for this when preparing for a trip. I've been to London three times this last year, stayed at 3 different hotels and what they all had in common was rooms so small, you couldn't keep your suitcase open and walk around at the same time.Mind that this applies to what would be called &quot;regular&quot; rooms. The &quot;deluxe&quot; rooms are a different story.My single room at myhotel Bloomsbury was not bigger than the average standard rate room in London.On the positive side, the hotel was very centrally located, there was some care taken in the way the hotel looked (no walls were peeling and no worn furniture), there were a couple of nice spaces in the basement for the use of the guests and the sound system in the room was a nice touch. I shouldn't forget the complimentary WiFi internet. Also, I imagine the water boiler and the little tin box with complimentary sachets of instant coffee, tea and chocolate would be appreciated by some people who are nicer than me.The bar at the ground floor is also very nice.All of this would be very nice, if there wasn't construction work going on in the back of the hotel. Every day except Sunday, it would be impossible to sleep between 8am and 5-6pm (not exactly sure when they stopped work... wasn't in the room then), over the noise of the drills and the shouts between the construction workers. I would have enjoyed the water boiler, if I also had a mini-fridge where I could keep some milk to go with my instant coffee. No mini-fridge there. Of course, how could a mini-fridge fit in the room, when there wasn’t even any room for a closet! The clothes that needed hanging, had to be hang on hangers on racks that were jutting out of the wall. Keep in mind that the room was so small that the suitcase could not be kept open. And no closet also meant no safe, so I wasn’t feeling very safe when I had to choose between carrying my passport around town or abandoning it in the hotel.Also, the towels must have been washed with some environmentally friendly detergent that left a funny smell… They didn’t smell dirty, just a bit like they had been dry-cleaned which wasn’t a very nice feeling when you had to rub your face into them.Breakfast was just plain OK. I’ve had much better breakfasts in the other 2 hotels I stayed this year. What was incredible was the disappearing staff on Saturday and Sunday morning… Nobody to bring you coffee for a while!Somebody has to start regulating London hotels… It is just ridiculous what they think they can get away with!	
Apr 23 2008 	Good things come in small packages	We stayed at myhotel on New Years Eve (2007/2008). Not many hotels were available last minute for a stay at this time of year so we considered ourselves lucky to get in anywhere.The check in was fast. The hotel was easy to find (being just round the corner from the tube) and it was a few steps away from Oxford Street and many other attractions besides.The rooms were nicely presented but tiny with windows that spanned from about waist height almost to the very top of their high ceilings. The windows had long blinds which did not keep out the light that well so I suggest you take something to cover your eyes whilst you sleep if this could be a problem for you. We decided that if the room had been turned on its side we may have got a size of bedroom compatible with the price we paid.The bathroom was very small. If you sit on the loo your knees are directly under the sink (not good for my partner who is over 6ft tall)....Looking on the bright side, you could kill two birds with one stone by brushing your teeth whilst sitting there doing your business!The bath(shower) had a fixed screen (not a good idea in a bathroom so small) which meant that you had to contort your body to get between the loo and the bath to enter it - a shower curtain would have utilised the space a bit better.In general, the room was clean and modern with everything you could ask for except for the absence of a mini bar/fridge (oh, and a bit more space).The price went up for New Year to around £150 for the night inclusive of breakfast - by the way, the staff in the dining room were very accommodating and the breakfast was both delicious and filling.This was a nice hotel in that area but we stayed a the Jury's Inn and had a room 4 times the size for less than we paid here - the Jury's is also a very nice place to stay.Don't be put off unless you are claustrophobic as this is a very nice hotel but then again don't pay over the odds for a room here either as you don't get a lot of space for your money.	
Apr 8 2008 	Thumbs Up	My boyfriend &amp; I chose MyHotel due to it's location and agreeable rates available through Expedia. The hotel is typical of it's central London location (small room) however what it lacks in space, it certainly makes up for in style.The rooms are beautifully furnished with an excellent finish. Ameneties include: hairdryer, Plasma TV, free wireless access in room, robe, safe, tea/coffee facilities, CD player, Aveda bathroom products. The staff are excellent - very friendly and keen to help but not overwhelmingly so. Although we didn't use the gym/library (free internet access) they looked up to standard and well equiped (esp for a hotel gym). It's a real bonus to have Yo Sushi on the ground floor (provided you are a sushi lover) as well as a funky hotel bar with outdoor seating (perfect for those spring/summer evenings).It's located close by to Oxford Street for shopping (Selfridges, etc) and Soho/Charlotte Street for eating, hanging out in cool bars and people watching.Would definately recommend &amp; will certainly stay there again when next in town.	
Feb 20 2008 	loved the Zen-like library and delicious smells	A very nice hotel and I would recommend it. The lobby seems unimposing but once inside it is tranquil and there are fragrant candles burning. There is a snug, atmospheric bar with an Eastern-feel. I also used the library in the basement which has soft-lighting and free internet access along with free tea and coffee. Everywhere is incence and scented candles. Our room was fine, a bit small perhaps, the bathroom was modern but not central heated and felt cold. A minor criticism is that it is actually quite complicated to work the shower/bath and unless your arms are above average length you will need to step into the bath to turn it on. I drenched my head in cold water from the shower trying to run a bath. The TV is overly complicated and I almost selected an adult movie by mistake. I had to turn the TV off and then back on to get rid of it. The room feels modern and clean. Toileteries of good quality but not enough. Towels, fluffy and luxurious, and nice bathrobes and slippers. Not enough room for my luggage. The breakfast was really, really good with fruit, cheese, waffles and all sorts of breads etc. One of the best breakfasts I have had in the UK. The Yo Sushi next to the hotel is great. The bar serves delicious cocktails in a lovely atmosphere.	
Feb 17 2008 	Great location 	+ Great location: 2 mins footwalk to Oxford St &amp; London tube+ Clean hotel+ Forthcoming staff - great service+ Lounge in groundfloor w/ free coffee/tea &amp; water+ Gym &amp; Spa in hotel- No big variety in breakfast (boring if you stay longer)- Thin walls between roomsWould definitely recommend to stay here &amp; will come back myself	
Feb 4 2008 	far not worth it	toilett flush not working, weak water stream and changing shower temperature, a dangerously burning hot towel dryer in the small bathroom, a micro hifi not working, used-looking furniture, bad insonorisation from the noisy street, hard to manage heat system... and perhaps most frustrating from it all, a &quot;sorry we don't serve the breakfast you already paid for anymore, it's eleven and it only served till eleven, but here is the menu if you wish to order a breakfast&quot;...a definitely no-go	
Dec 27 2007 	Great Location Stylish Hotel	I like staying at MyHotel Bloomsbury. It is always clean and comfortable.It is a great location for me as i love to shop on oxford.Rooms are quite small, but i think that is common in Europe.	
Dec 27 2007 	Didnt live up to expectations	Hmmm average rating really, was in London working for 2 nights and needed to book somewhere reasonablly priced at the last minute in December. Used to use the Myhotel bar a couple of years ago when I lived in London and had always wanted to stay but wasn't as great as I remembered. The room was the real let down although it was ok for a business trip. Just an extremley small single room, ok I didnt expect it to be that big as it was a singe but I am a small UK size 8 and I struggled to move around the bathroom and a weird set up with the wardrobe - had to reach hand into a small gap to hang up clothes, my husband would have got his arm stuck?! Another big bug bear with me although this isnt unique to this hotel the hairdryer. Will somebody please provide a decent hairdryer in a hotel, we ladies do like to style our barnets and not just wash and go, thankfully this one did have switches not one of those awful things that you have to hold on to use, however there was no mirror in the room. Ugh so annoying!! Didnt stretch to the mirror on the door or into the bathroom. Apart from that if you need somewhere to stay that is central for around £155 per night this is an ok pick. It's clean, the breakfast was fine but wasn't included in the price, check in was good, one of the lifts was broken. Just average.	
Sep 23 2007 	Great Room and Location	Stayed here a while back and loved the location. It is so central to the parts of London that I like to explore.The bar was nice and was used one night to hang out with some friends from Paris. The bathroom was decently sized with a good soaker tub and the room handled our American sized luggage. The bedding was very comfortable but did swallow up the room. Considering the prices of neighboring Mayfair hotels this hotel seemed like a bargain. I would definitely stay here the next time I am in London.	
Sep 20 2007 	Great location but not Zen	I stayed at myhotel bloomsbury back in 1999 and had an absolutely serene experience. The room, the service, everything was very Zen. I loved it and actually thought about it in the years after I'd been there.I came back again in 2007. I'd been to London since, but had stayed at higher-end places either because the company was paying or because I was using some mileage or point program to pay. this time I was footing the bill, so I chose the somewhat more modest myhotel. the quite good: the location is still great - quick walk to the theaters or the subway or the national gallery or the british museum. love the location.also, a very nice feature of this hotel is the library. There are a couple of computers you can use to get online. There are magazines and books, and there's even coffee and water. A very nice way to wind up or down at the beginning or end of a tiring day or trekking around the city.pretty good: the rooms all come with stereos and nice toiletries, and the breakfast is fab. Really nice. not as good as I remembered: it could be I'd idealized this place, or maybe it really had changed. I'd remembered it all as very Zen -- especially the rooms. Very spare, very peaceful, etc.This time the room was sort of orange and brown and maybe some other color. Also, as others have said, there was construction outside -- very noisy, yes, although not when I was trying to sleep; attractive to look at? no. Out of the hotel's control, to be sure, but it does take away from the Zen quality.	
