	Peaceful stay in London bustle and hustle	The Beaufort feels a bit like home. Very nice staff, a complimentary bar with soft drinks and alcoholic beverages, a liitle lounge, quiet street, so close to Harrods, Knightbridge and even Piccadilly.We had a Junior Suite with King size bed, sofa bed and a rollaway, were we stayed with 2 adults and 2 teens. The bathroom was a bit small and there was only one washbassin. But that's the charms of the houses the Beaufort is settled in, I guess.	
Aug 11 2009 	Poor Value for Your Travel $$	My husband and I love London and have stayed in the city more than a dozen times in the last ten years, staying in a variety good-quality hotels. We were very disappointed in the Beaufort Hotel. Though billed on its website as a small, luxury boutique property, in fact it is not.We booked the &quot;superior double&quot; room, and were very surprised on finding that room was terribly small and shabby, with cheap furnishings, lino floor and press-board walls and doors. Storage space was completely inadequate for two people. The closet was hard to access as doors could not completely open (due to being so close to the bed). There were no drawers in the room and we ended up having to fold most of our clothes into cubbies provided inside the closet. Given the iron and ironing board that were supposed to be provided were nowhere in sight, we were a rumpled mess for most of our trip. The room was very difficult for two people to maneuver in. When my husband asked staff if we were in the correct room, he was told it WAS a &quot;superior double&quot; and that &quot;hotel rooms in Europe are smaller than in the States.&quot; He replied that our room was unusual by European standards too but got no satisfaction. Having paid in advance we were stuck.The room was on the 3rd floor and could not be directly accessed by the lift as the lift did not stop on the 3rd floor. We had to go up to the 4th and down the stairs, or walk up all the way. I am usually not against a walk-up but had injured my foot in transit and could really have used that lift. When we did walk up, access was via a very narrow winding staircase and then a warren of short corridors with multiple fire doors -- very confusing (I couldn't help but think that in the event of a real fire, we'd be doomed trying to get out of that maze). Many times going up or down, we had to sidle past piles of used linens, food trays or even a vaccum cleaner in the stairwell.The bathroom was large and bright but the tub was slippery to the point of dangerous without a no-skid mat, and my husband did in fact slip once getting out of the shower. Amenities were OK but those that we used, like soap, conditioner, and washcloths, were not replenished until we prompted the maid with a written note (we had to do this twice).Basically, the room was quiet until someone moved in upstairs. This person came in late and kept us awake pacing until 2 or 3 a.m. This was very audible as the floors were very creaky and noisy. Sometimes we were reawakened at 5 a.m. when &quot;Bigfoot&quot; resumed walkabout. I presume somebody was ill as we could hear coughing through the floor too. Result was that we were very tired the last 3 days of our trip.Free drinks were a pleasant boon but the guest lounge was too small to spend time in, so we drank ours up in our room. The overall effect was one of claustrophobia.Pluses of this hotel are its location near museums, restaurants and shopping. The staff were friendly and pleasant, and free wi-fi was convenient. However, I am a seasoned enough traveler that I recognize luxury, whether in the US or Europe, and this ain't it. Had I paid the full rate of nearly $500 US I would have been absolutely sick over it. We got a &quot;discount rate&quot; and I was still unhappily aware throughout our trip that I could have had a better experience at another hotel for the same or less. I guess we paid a premium to be near Harrods (where we can't afford to shop). Quaint can only excuse so much -- buyer beware!	
Aug 11 2009 	Just as expected: Great Location.... Great Service	This was a very good pick for us. We had two grandchildren with us ages both 10 years old. The Jr. Suite #43 was roomy enough and the bathroom big enough so that we were comfortable for 6 nights. There is plenty of space to hang your clothes and use the drawers. The free breakfast was adequate until lunch. The location can't be beat, near the Picadilly tube line, across from Harrods, near many restaurants and on a quiet tree lined street, away from all the hustle bustle. I would stay here again next time we come to London. Also since everything cost double for USA travelers it was nice to have free water and drinks before going to bed. Also free internet in the lounge. Europe is very expensive for us right now so be prepared!!!!!	
Aug 5 2009	Very nice but not deluxe by any means	Recently stayed at this hotel - and as a boutique hotel I expected luxury, and spacious minimalism. I was also expecting somewhere quiet. I booked a deluxe room, which was no bigger than a standard Travelodge double, and had a small table and two rather plain armchairs plus the bed. This made it rather cramped when having tea in the room. There was no room service menu nor was any offered, although the website implies room service to be available. On our second night we returned at midnight, not having been advised the front door would be locked or how to gain access when it was, and had to knock loudly to get the night porter to let us in. On returning to the room, the tea tray was still there, the beds had not been turned down nor the room prepared. I would expect more from a hotel that claims to be offering a &quot;deluxe&quot; room.The bar/sitting area is small, if you had more than 10 people it would be full - hence we took drinks back to our room, although I found out later we could have taken them into a downstairs basement room. The complimentary drinks are nice but range of drinks offered is limited.The deluxe room was on the ground floor, but not quiet. It had air con units outside the main window which looked out onto a small yard with some plant pots and a sort of sculpture. The bathroom window looked out onto some kind of fire escape steps into a lower yard area and (we think) a communal toilet, as we heard flushing, water running and banging doors late into the night.On the plus side the reception staff were friendly and helpful, and the porter was very smiley and friendly. if you need to be close to Harrods, and you like sleek minimalistic wooden floored rooms, then this hotel may be for you. If you are looking for luxury, real comfort and all the extras a real deluxe experience offers, then maybe not.	
Jul 20 2009 	Home away from home	This was our fourth year to stay at The Beaufort during our annual visits to London; it was also the longest (10 nights) and the best. The rooms are well-decorated and comfortable (yes, small by American standards, but if you want a suite, go down Brompton Road to the Mandarin Oriental). The staff are familiar from year to year (the same desk clerk and bellman from our first visit), which means they recognize us and frequently upgrade our rooms. The amenities--complimentary water and beverages, extensive breakfast, and afternoon tea--offset the price (we only have to pay for one meal out per day). And the location (thanks to proximity to Knightsbridge tube station) can't be beat. All in all, the Beaufort is a favorite stop!	
Jul 19 2009 	Worth it	I have stayed in several hotels in London, and this is one of the best for the money. It is more expensive than some, but a lot less than others and the perks put it over the top. We skipped lunch and enjoyed afternoon tea with champagne. The open bar is a real treat for those of you who will enjoy a few before heading out for the evening. The lobby is rather small and the &quot;bar&quot; is really just a sort of cupboard by the reception desk, but it is well stocked. We were not shy despite glares of the staff and took our glasses up to the room and took turns getting refills. The female staff could use a few lessons in treating the guests a bit more friendly. They treated my huband and I as inconveniences as they sat in the back office chatting. Perhaps our frequent trips for refills at least gave them something to discuss. LOL! As for location, it is perfect. You can easily walk from the tube stop at Harrod's and of course you get to enjoy Harrod's! The rooms are a very nice size and the bathrooms are huge! Overall, a real treat if you are going to take advantage of the extras. We overnight in London a lot traveling in and out of England so we've already done the tourist stuff. If you plan on sightseeing and not spending time in the hotel, stay elsewhere unless you get a really good deal. It really is a lovely place in a fantastic location.	
Jul 13 2009 	Great little hotel	My husband, brother-in-law and sister-in-law and I stayed here for 4 nights in May. Lovely, warm place with wonderful friendly service. Nice breakfast served in room, tea service upon request and free bar till 11pm. Free use of internet also. First trip to London for all of us. Would love to go back and would love to stay there again.	
Jun 22 2009 	Cream tea and champagne	This hotel is in a fabulous location - Beaufort Gardens is only 1 minute's walk from Harrods but it is so quiet, you could be in suburbia. You are near Knightsbridge and South Ken tube stations and you can get plenty of buses on the Brompton Road.I thought the complimentary cream teas and bar were really nice touches - and you are not talking about own label beers, but with branded sprits and other drinks, including champagne on ice. It was very civilised indeed. There was no proper bar area to sit in to have a drink, but the reception had comfy sofas and was not that busy - although they do have muzak! Free wi-fi was good - and available throughout the hotel, which helped me to plan my stay. You are also in close proximity to many cafes and restaurants. I had breakfast in a local Pret but there were plenty of places to splurge if you didn't want hotel breakfast. There were also a range of dinner options if you were eating locally and despite the location, they were not all expensive.I booked a room through lastminute.com and got a good rate. I think if I had paid full rate, I would not have been pleased with the room i had. I was originally given a room on the ground floor which was spacious but didn't have much of a window - looked out onto an internal &quot;courtyard&quot; - more like aircon units or something. The receptionist kindly moved me to an upper room but if I had travelled with someone, we would not have been able to move round the room. The comments made in other reviews about the safe being in an inaccessible part of the wardrobe are correct and the same could be said about the mirror. The room was not that well maintained, in that the windows were not in repair and the bedside table drawer was broken. On the plus side, the room was very clean, the bed was comfy and the bathroom was big and well equipped. If you are not planning on spending a huge amount of time in a hotel (and why would you in London), then this is a pleasant hotel in a great location with nice staff. Just don't expect lots of facilities. I would stay there again.	
Jun 19 2009 	Lovely hotel near shopping and museums	We stayed at the Beaufort during our London stay of our trip to the UK. Lovely hotel. Very small room but well appointed, comfortable and clean. We were one block away from Harrods but the hotel is on a cul de sac and was very quiet. Tehy have an open bar in the lobby until 11 pm and the staff was very helpful. Would definitely stay here again. I especially loved that it was in a restored townhouse and had a homey feel to it.	
Jun 12 2009 	A wonderful retreat in the heart of the city!	The Beaufort provides a welcome respite after a busy day of sightseeing and shopping . The quiet, tree-lined street is just steps away from outstanding restaurants and shops, and provides easy access to many of London's major sights. We particularly enjoyed the open bar provided in the reception area, where we could relax, discuss the day's activities, and make plans for the evening. The entire staff is eager to ensure a wonderful stay in this little jewel of a hotel.	
Jun 11 2009	My adult son and I stayed here three nights and I think this hotel is overrated.	I feel this hotel did not live up to the reviews. It IS a makeover of a townhouse, our room was exceptionally small, hardly large enough for one, much less two. The bathroom did not have a make up mirror, lighting was very poor. The Business Centre was well appointed and pleasant. The lobby is very small and one couple is about the most it will seat comfortably.The staff was most hospitable and helpful. I blew a fuse turning on the AC, and was asked if I had been using the hairdryer. ( I wasn't). The location is wonderful, convenient to shopping and restaurants. It was quiet and the bed was comfortable, but I would probably not stay here again.	
Jun 10 2009 	The Beaufort is in a great location in a beautiful setting small boutique hotel with good service!	I stayed here for 6 nights with my daughter. Before I left I was trying to decide if we should stay in Kensington or Knightsbridge. I am glad I chose Knightsbridge and The Beaufort. The Beaufort is right off a main street. So you can walk to many things, the tube, Harrod's and lots of shopping, buses, restaurants, etc. The hotel room I choose was a deluxe room which was not large, but nice for London since London rooms are usually small. The bathroom was very nice and spacious. Great towels and robes. Our room overlooked the street the hotel is located on, so a beautiful view since The Beaufort is on a quiet tree lined street. The staff was perfect, there but not in the way. Delicious scones are brought to your room in the afternoon, if desired. Complimentary bar from 3-11pm. I chose a summer package that included continental breakfast in our room which was perfect to get us started in the morning. And we would not have to waste time going out. I would recommend this hotel to friends, and I would return there as well.	
May 30 2009 	Excellent Boutique Hotel in London	My husband and I recently returned from a 3 night stay at the Beaufort. Located on a quiet, charming, residential street, just steps from Harrod's, great shopping and many good dining options, the Beaufort is an excellent boutique hotel in London. The accommodations are modern elegance and meticulous maintained. Nice size, modern bathrooms with Crabtree &amp; Evelyn products. Ask for one of the rooms on the front of the hotel for nice lighting and charming street view. We had breakfast included in our rate, which was very good (continental). My favorite was the delicious hot croissants every morning! Complementary open bar in the afternoon/ evenings and cold drinks available 'round the clock was great value. Great selection of everything from wines &amp; liquers to sodas &amp; juices. Always had cold drinks available for guests in the lobby and computer room. Above all, the staff at the Beaufort was GREAT! Very accommodating and willing to help with everything. Always a smile. In particular, Svetlana was wonderful. After checking out and heading for Paris, we realized we had left my husband's leather jacket at the hotel. Svetlana was kind enough to have the jacket shipped to us in France (at our expense) with no problem. We had the jacket within a few days. This really made us appreciate the level of service at the Beaufort. Truly an enjoyable stay. We would recommend to everyone going to London. We will be back for sure next time we're in London.	
May 21 2009 	locationclean boutique hotel	my vife and my son enjoy staying in this nice boutique hotel.Very clean,excellent service,quiet.All around with nice restaurants,very near to Harrods,Harvey NicolsSloane Street...etc.	
May 20 2009 	Fabulous Staff Excellent Service and Awesome Beds!	My husband and I spent the weekend at The Beaufort for my 50th birthday. The staff at the hotel made it a truly memorable experience. From the &quot;Happy Birthday dog&quot; that greeted me from atop the bed upon our arrival (assembled by the staff from bath towels. It needs to be seen to be appreciated!) to getting us a last minute dinner reservation at a popular Knightsbridge restaurant, the staff delivered flawless service.The hotel is located on a quiet street in the heart of Knightsbridge. You have immediate access to Harrods, dozens of boutiques, great restaurants, a nearby Tube station and excellent bus lines.Our room, a junior suite, was comfortable and spacious. The decor is pleasant, but it's time for an update. My only complaint was the shower; minimal pressure and never truly hot. But the comfort of the bed more than made up for any other shortcoming! It was absolutely one of the most comfortable beds I have ever slept on.While The Beaufort is not inexpensive, considering its location, the staff attention, and the complimentary offerings (full continental breakfast, afternoon tea and scones, and wine and drinks in the evening), I would rate The Beaufort good value for the money	
May 19 2009 	Wonderful stay at Beaufort	Lovely, clean, quiet boutique hotel , a few steps away from Harrods and a wonderful shopping area. Staff were helpful and pleasant at all times. Having your breakfast and tea served in your room on impeccable Wedgewood china was a welcome plus. Will definitely stay there again on my next trip to London.	
May 18 2009 	This was our 20th Wedding Anniversary - EVERYTHING just HAD to be RIGHT!	And the Beaufort certainly did not disappoint us. From check-in to check-out this hotel exceeded our expectations. The location is on a side street &quot;just around the corner&quot; from almost anything either a leisure traveler or business traveler could possibly want. The Knightsbridge Tube station was just a couple of blocks away. Even as &quot;first-timers&quot; using the tube, it was our favorite way of getting around London in only a matter of minutes. The Beafort's central London location, combined with it's proximity to the tube made it the perfect launching point for any of our daily excursions. The staff were incredibly helpful with dining suggestions. ALL OF THEIR reccommendations were spot on for our tastes. We've only been home for a matter of hours, and we're already looking at our schedules to see when we can return. And when we do, there's not another hotel choice that we would consider.	
May 17 2009 	lovely quiet centrally located	My daughter and I stayed at the Beaufort for three nights. The staff were gracious and helpful. The hotel, though small, felt large. Staff makes every effort to make you feel at home. Close to Brompton Rd and tube stop, but quiet and relaxing. Rooms have everything one needs. Absolutely lovely. Nancy Kahn	
May 15 2009 	charming hotel with a welcoming atmosphere and with generous complimentary benefits.	This is a quite a find in the centre of London's fashionable Knightsbridge. The rooms are small but very tastefully furnished with a very comfortable bed . The bathroom was large and well fitted out. with a powerful shower. Our room was quiet and we had a very restful overnight stay. The staff were helpful and friendly and ensured that we knew all about the complimentry, cream tea served from 3pm - 5pm delicous! plus complimentary drinks served from the bar from 3pm until 11pm- amazing! The hotel has two small lounges-both charming although I preferred the reception lounge . there is not a dinning room so breakfast is served in your room on a tray , this is not included in the room rate and is extra. The hotel is very convenient for museums and shops and situated in a very pleasant road. We will be visiting again.	
May 14 2009 	Highly Overpriced B	Just spent 4 nights at this small b&amp;b. This is not a &quot;hotel&quot;. The Beaufort is billed as a top boutique hotel however this is simply not the case. While it is in a great location in Khightsbridge and the staff are very good, you will be staying in what was once a residential townhouse. The only facility to speak of is the combined reception/lounge/self-serve bar on the ground floor. A small windowless sitting room with computer is located in the basement. That's it!!!The small rooms are clean but very basic. Comments regarding our stay in a fourth floor room are;Bath amenities very basic, just a small selection of the usual shampoo, conditioner, shower gel and body lotion with a sewing kit and 2 bars of hand soap. One burnt-out light bulb in bathroom was never replaced. Half roll of toilet paper not replenished and no extra roll placed in the bathroom. At USD325/night, simply not acceptable. Floor boards very noisy and while the room is very small, as soon as you walk to the bathroom, sqeaky noise and cannot be avoided. Small safe is located on the floor of the wardrobe and you can only use if on your hands and knees. Basic wardrobe with plain shelves. TV is a small computer-type monitor and needs to be replaced with proper size lcd tv. One day you get a couple of chocolates, another day not. Going to basement to use internet was surprised to see hotel supplies stored in the corridor. Nice open bar set-up in the small reception area and afternoon tea with scones are good. Beaufort is nearby plenty of restaurants. Highly recommend the Brompton Bar &amp; Grill for upscale continental as well as the Cafe Rouge for Frehcnh bistro fare.Room Service comes from nearby outside restaurants.We would not return to this &quot;b&amp;b&quot; and prefer a more typical &quot;hotel&quot; with facilities to match.	
May 5 2009 	lovely hotel	Visited easter weekend. Coffee, Tea, and open bar were delightful amenities. Also received complimentary &quot;Easter Egg &quot; in room. Roomy accomodation, updated bathroom, near Harrods and tube-all in all a good value in a city known for over the top expense.	
Mar 31 2009 	Charming Lovely 	My husband &amp; I have just returned from London where we spent three wonderful nights at the Beaufort. This is the most charming, lovely boutique hotel in the most perfect location with an incredible staff to assist you with all of your needs. To be exact the hotel is about 1 block from Harrod's. We had a lovely room that looked like it was almost brand new. Very clean and nicely decorated. There were lovely fresh flowers in the room every day. We had booked the &quot;King Deluxe&quot; room. The room was a very nice size with a lovely modern bathroom on the fifth floor. It was very quiet and we slept so well every night. I would say that the room was quite large by European standards. We had a king bed (very comfortable) with a a cozy little sitting area with a small couch and coffee table. There was also a nice writing desk in the room and a little alcove with a mirror . The room was always freash and clean when we returned every evening.One of the best things about the Beaufort is the breakfast brought to you room every morning, afternoon tea and an open bar where all the liquor is included in the cost of your room. How many hotels have a complimentary bar? It was very nice to have that option. There was always wine, champagne and a very nice variety of spirits. I forgot to mention the delicious homemade scones served in the afternoon. They just melted in your mouth. I returned one afternoon looking very tired and the first thing they said at the front desk was &quot;may we bring some hot tea and scones to your room&quot;. Of course I said yes. Lena &amp; Svetlana at the front desk were very helpful in making dinner reservations for us and getting us theatre tickets at a good price. I just can't say enough about the staff at the Beaufort. They are all wonderful!! They made us feel so welcome and made our trip to London very special.As a travel agent I would recommend the Beaufort to all my clients and definitely stay there the next time I trave to London.	
Mar 22 2009 	Perfect Stay	I traveled to London for a long weekend with two friends. We shared a double room with an extra bed and we still had plenty of room. I was pleasantly surprised to see that we never had to ask for a third set of anything. There were enough towels and toiletries and they were replaced each day. We were on the basement floor and had a lounge on the floor nearly to ourselves; it was almost like having a two-room suite. The only drawback was some work being done just outside our window which was quite noisy. The Beaufort's afternoon tea (which is included) was wonderful! It was served in our room (you could have it in the lounge, also). There was a pot of tea, milk, fresh scones, jam and clotted cream. It was a relaxing afternoon break, indeed! Day or night, we could help ourselves to drinks which were included in the room price. There is a fridge in each lounge and you simply help yourself to whatever you'd like. (The fridges are stocked with water, sparkling water, sodas and juices) Alcoholic beverages are also available in the evenings. Breakfast is served in the room each morning. Coffee, juice, cereal, fruit and toast were all included. We paid to add on eggs and they were cooked perfectly.The location of the hotel is fantastic. You are steps from Harrods and other boutiques in Knightsbridge as well as the tube. Very convenient. Three women traveling alone we felt very safe, even walking home late at night.This is not for bargain shoppers, but it was a good price for all that we got. I would recommend this hotel to anyone going to London.	
Mar 16 2009 	Location Location Location	I stayed at the Beaufort from Mar 7 thru March 15, this hotel was a great experience, it is a small boutique hotel, the service was impeccable, the breakfast was great, the scones and tea service wonderful. They offer free drinks from 3-11pm. I had a wonderful experience there and would 100% recommend this hotel. The location is superb, one block from the tube station and one block from Harrods and the fabulous Sloane street which is full of high end designers. Great value and worth the money. My only complaint is the lack of television stations to view, but really who travels to watch television.	
Mar 16 2009 	Oasis in Kensington	The Beaufort Hotel , in Beaufort Gardens, just a few hundred yards down from Harrods, is centrally located and in a peaceful location. The hotel is clean, staff are very attentive to all needs and accommodation is brilliant. The hotel offers a complimentary cream tea each day between 3.00 and 5.00 pm. A free bar offers alcoholic drinks from 3.00 till 11.00 pm, or soft drinks all day. The continental breakfast is very nice either served in your room at no extra cost or in the residents lounge. It is a small hotel, but this is in its favour as it gives it a nice cosy feel.	
Feb 10 2009 	Lovely hotel great location!	Me and my partner stayed at The Beaufort on the 7th of Feb and had a great experience.When we arrived we found our room had been upgraded to a suite on the 5th floor! Although not as large as I had expected, it was still very decent and had the most massive bed which was very comfy! The only thing that stops me rating the hotel 5*'s was that the quality of the rooms was not as luxurious as I imagined from the website. Saying that, they were decorated with a contemporary style and were very clean, cosy and relaxing!We tried the amazing complimentary afternoon tea and homemade scones which came out freshly baked-delicious! There was a free residents bar from 3-11pm in the reception area and you could help yourselves to a wide selection of drinks including champagne (pink+white!). This alone, makes it such good value for money!Thestaff were friendly, attentive and unassuming and on top of all this we were just seconds away from Harrods - perfect!	
Feb 6 2009 	One Of Londons Best Kept Secrets!	We just returned from a weekend in London staying at the Beaufort Hotel and had the most wonderful time! The Beaufort is a lovely small hotel with excellent service from the minute we arrived until we left. We never wanted to leave the hotel to go shopping or to a show, but as we were there only a short time, we had to. The afternoon tea is one of the best I have ever had and breakfast in your room overlooking the square is a lovely experience. What I also liked was that although the staff were there, they never bothered us yet were there to help if we ever needed anything! ALL IN ALL WE HAD A WONDERFUL STAY AND I WOULD GIVE THE BEAUFORT HOTEL 10/10 and we are definitely going to go back whenever we arrange a trip to London again.	
Jan 28 2009 	Don't look elsewhere that's the best...	3rd trip to London, always had bad experiences with the hotels, it always has been too expensive and not enough &quot;nice&quot;... This one was definitely the best for a young swiss like me. I stayed with my girlfriend, we're both 20 years old and we loved this place. It's lovely for couples of young people, and it's so close from Harrods and other great places. We're there for sale time, and we're served. Check the special offers, there are always some interesting things if you buy directly from their website (I paid 20 £ more than with a booking website, but I had a 50£ voucher at harrods and I've been uprgraded to a junior suite for free..) Thanks again again and again :-)	
Jan 13 2009 	Lovely hotel	The Beaufort is propably the most perfect place to stay in London. Beautifully furnished, clean, very good beds, large bathrooms. Hidden in a quiet cul de sac of Brompton road just 5 minutes from Harrods and Knightsbridge tube station. And let's not forget the complimentary drinks...	
Jan 11 2009 	pleasure to stay herer	I had the pleasure of staying at this wonderful hotel last week, albeit for just one night , but I was not disappointed, From the reception desk to the facilities it was faultless.The room was warm and bottled water chocs and biccies. The room was spacious, and the bathroom was huge, with lovely towelling robes.The afternoon tea was sumptious with home made scones. and a free bar, we had to pay extra for alcholic drinks , but soft drinks were included. The business centre had free internet access with nibble of olive etc in the room......staff were very friendly......... overall a wonderful expereince plus it was two mins walk to Harrods and the Picadilly line.... will certainly stay there again	
Jan 7 2009 	Our favorite London hotel	We have stayed at The Beaufort for a week in each of 2007 and 2008 and have absolutely loved it each time! The staff were always friendly, helpful, and service for tea and scones (included in our room price) or breakfast (also included with the Christmas special rate) was prompt and courteous. The breakfast and tea/scones are absolutely delicious! We could not recommend this hotel more highly! The staff helped us plan things to do and restaurants to go to during the week of Christmas all via email. It is two blocks from Harrod's. We really cannot imagine staying anywhere else in London.	
Dec 1 2008	The Beaufort was delightful	It was a lovely, quaint, comfortable place for my first visit to London with my daughter. Would definitely stay again.	
Dec 1 2008	Good Small Hotel in Good Location	A nice small hotel of 29 rooms, located in Knightsbridge a block south of Harrod's in a quiet cul-de-sac. Hotel inviting, with personal service from a nice young staff. Clean and well-decorated.Tea and free drinks are available in the lobby lounge from 3:00pm on. A small lounge/reading room is downstairs, with free coffee and a computer for reading e-mails.The hotel is located in two connected townhouses, which makes the interior full of small passageways with a somewhat confusing interior layout. Our basic room was rather small, but with a large modern bathroom. Room was nicely decorated, and everything in the hotel is very clean.The location is quite good, with all Knightsbridge outside the door: the Victoria &amp; Albert Museum, Museum of Natural History, Kensington Palace and Park, etc. We found several very good and moderately-priced restaurants near-by.	
