	Love the thistle!	I recently visited the Thistle Westminster as part of a group which was organised through my work. It was very cheap due to the amount of people we were travelling with and only cost £150 bed and breakfast and coach travel for myself and my boyfriend. So for me the hotel was very good for it's price.However regardless of the amount I spent, I still feel this hotel is a lovely place to stay. It is the second time I have stayed here and found it just as pleasant as last year. Upon arrival I checked in where I was told all the relevant information (breakfast times etc) and then took my luggage to a room with two double beds in!! (for just me and my boyfriend!) There was also a sofa and facilities to make a tea or coffee which was well needed after a hard days shopping! I do admit the hotel room was very warm however as it was extremely cold outside it wasn't a problem when we stayed there.The bathrooms do seem a bit old and tired however were very clean which is the most important thing when you are only there for a short time.We then walked to the nearest tube station (Victoria) which was approx 5 minutes from the hotel. Victoria is a very central station and any of the key places you would want to visit are minutes on the tube (It was fantastic!).After having a lovely evening at the Tiffany ice rink at Somerset House, we went back to the hotel very tired and ready for a good nights sleep. At about 11:45 we were both woken up by an alarm that had gone off. I was very concerned as it half sounded like a car alarm and half sounded like a fire alarm. I rung down to reception and asked if there was a problem, my mind was put at rest by the deputy manager and after about 15 minutes the alarm went off. About 10 minutes after I rung down we had a knock at our door from the deputy manger who had come to check out the situation and see if everything was okay! (Fantastic service and a lovely man who made us feel our concerns were dealt with appropriately!) The breakfast was fine, not much variety but good quality and the staff pleasant.Overall the hotel has a great location, lovely staff and big rooms. I would definitely return again!	
Sep 19 2009 	Room cleaning service terrible; breakfast quality and service very good	My sister and I stayed three nights recently and had booked a twin room, prepaid through our travel agent. On arrival we were shown to a single room, then moved to a twin when we produced our booking confirmation. This room smelled of smoke and was musty. On the first day the room cleaning service was poor and on the second day the room was not cleaned at all and left without toilet paper. When we asked for this and mentionned the lack of cleaning, we were told that &quot;well we're very busy&quot; ! The breakfast, on the other hand, was good and the staff in the breakfast restaurant were very efficient and friendly.	
Sep 14 2009 	Ideal tourist location	I booked a one night stay for myself and a long lost cousin from Canada with this hotel purely because of a special deal in the Daily Mail and it was after I booked that I read the reports on Trip Advisor. It appears people either love it or hate it - I personally found it a perfectly adequate hotel in an excellent location for tourists with friendly and helpful reception staff. Special mention to the friendly and approachable concierge who bent over backwards to help us out.We arrived at Kings Cross, used the underground link from there and got to Victoria underground station very quickly with a 5 minute walk to the hotel on Buckingham Palace Road. You wouldn't see the hotel if you didn't know to look for it but I was more interested in the inside than the outside. A nice clean hotel and we had booked two double rooms which were large, practical and comfortable but not luxurious (see photo's). Each room had two large beds in, with a seating area, plenty of mirors, tea and coffee facilities, a hair dryer, internet conectivity (if you have a lap-top and had to be paid for) and whilst the rooms looked out onto a busy main road, the traffic was minimal on an evening so we weren't disturbed. There were lifts to all floors and experienced no noise problems during the evening from returning guests etc.The bathroom was clean with bath towels, hand towel and a bath mat, the shower was good (didn't try the bath). The ceiling was a bit past it's best but everything was clean and tidy.On a Saturday I think breakfast is served between 7 -11 and we went down around 8ish. We were allocated a table immediately and there was a full range of cereals, fruit, yoghurt, cold meats, fruit juices, full English Breakfast and toast. Tea &amp; Coffee was served at the table. About 8.30ish more people appeared and seating was a bit slower but more than adequate. We both felt the quality, quantity and range of foods avaiable was good value for money.The &quot;Big Bus&quot; open bus tour stops right outside the hotel and the fee (£25 on the day or £21 in advance on internet) is well worth it. The concierge sorted this for us and we boarded about 4ish on Friday and we were covered for use until 4pm on Saturday. You can get on and off at each site as you wish and it included a river boat trip too. We wouldn't have covered half the sights we did, if it hadn't been for this service and we got door to door delivery!Having said that, the back entrance of Buckingham Palace (the Mews) is only 5 minutes walk from the hotel or 10 minutes to the front entrance. On the other hand Westminster is only 10-15 minutes walk away too. If you want a theatre trip, Wicked and Billy Elliot are only 5 minutes walk. But the Big Red Bus can link you to most areas if you are not in a hurry - so again worth its money. I felt perfectly safe walking around the area at night although I had the feeling that all the people in the pubs/restaurants were tourists and not locals.Upon my return I re-read the reviews and noticed that a previous traveller had experienced bed bugs etc in room 239 ....guess which room I was in! Well I think I would have been as annoyed as him had it happened to me but I am happy to report there was no such problem during my visit - obviously they heeded his comments and had it seen to.I was there as a tourist and wanted a safe, convenient location as a base and as I expected to spend minimum time in the hotel - I wanted comfort, cleanliness and an edible breakfast to start the day - all of these I felt I got at this hotel. If I was expecting to spend more time in there then maybe a few more luxuries would have been applicable but on the whole Thistle provided just what we needed for our break and we were more than happy with our bargain break.	
Aug 18 2009 	Good location if travelling to or from Victoria	This hotel is good location if travelling to or from Victoria. Hotel is clean and comfortable with good sized bedrooms which have tea and coffee facilities. There is a good bistro in the hotel and many nearby restaurants. Staff friendly and helpful	
Aug 16 2009 	Comfortable stay; location can't be beat	My family and I spent six nights here, and we found it to be very comfortable -- and the location near Victoria Station (Tube and lots of buses), Victoria Street shopping and Buckingham Palace was perfect for our needs. Not the newest property, but clean and well maintained. Smallish bedroom, but everything was in good working order. Full English breakfast (included) was fairly decent. We felt pretty comfortable walking around the neighborhood after dark. Wireless internet connection (cost: 6 pounds per hour) was intermittent in our room, which was maybe a little too far from the hotel's router. Concierges were very knowledgeable and accommodating, as were members of the housekeeping staff. Nearest launderette was a 15- to 20-minute walk away (we took the bus back). Medium-size grocery store (Sainsbury's) was about a 7- to 10-minute walk away on Victoria Street -- great for inexpensive picnic suppers. Hotel had one computer for public use (for a fee), but it did not seem to have a printer attached. We were unable to get early check in (before 2 p.m.) the day we arrived, but overall it was a very good stay and we'd stay there again in a heartbeat.	
Aug 6 2009 	Grotty looking outside and in!	Only good point of this hotel is the location - Buck Palace just round corner, and just a short taxi ride from River Thames, Leicester Square and theatreland.Stayed in Room 232 - a family room of 2 double beds. Room overlooked very busy main road so was extremely noisy - we had to have window open as was very warm in room.Bed sheets and pillow cases looked grubby and there was what looked like a blood stain on the overblanket. One pillow only each - and they were very flat. Tried to ring housekeeping for extra pillows, but phone didn't work - so took 3 separate trips down to reception before any were brought up! Extra pillows duely taken by maid next morning - so had whole same ritual again for next night. Water in bathroom only warm, and on second night - no warm water even, had to shower in cold water - couldn't ring down to complain as phone still not working. Also, toilet was stained - everything needed a thorough clean!Breakfast was OK, but staff very slow to refill hot buffet. My daughter also found a hair in the hashbrowns, yak!After complaining to a blank looking receptionist at checkout, we were offered 15% discount. We enjoyed our short stay in this busy, bustling city, but would recommend giving this hotel a wide berth!	
Jul 30 2009 	Bed bugs - worst night ever	I stayed in Room 239, and was woken at 3.00am by the awareness that I was sharing the bed with other creatures. These were bed bugs, plus some other bugs which I have not yet identified, but could possibly have been lice. I phoned reception in a state of some distress and a helpful young man named Ali came to inspect the bugs. He apologised and offered to move me and my belongings to an apartment. I turned this down as I had to rise at 6.00am and it was already well past 3.00am; I said I would simply get dressed and give up on trying to get any sleep. Eventually he was able to move me to another room on the same floor so that I could try to get some rest. As you can imagine I did not sleep at all well and returned to my own room at 6.00. I had hoped a hot bath would make me feel better, but unfortunately the hot tap on the bath produced nothing at all. Pausing to take a few photographs, including a delightful view of my own blood spattered across the sheet where I had killed one of the bed bugs, I got out of there as quickly as possible. Clearly this was a horrible night – and having stayed in hotels of all classes around the world, easily the worst I had ever experienced. When I went to check out at 7.30am I expected to be met with profuse apologies and a waiving of the bill, at the very least. In fact I received no apology and was simply told my bill had been reduced by 25%. I offered instead to pay for my meal the previous evening and to pursue the matter of the main bill separately. It took at least 2 weeks before the hotel confirmed that I would not be charged for the night. I now realise (having spent some time looking at hotel review websites over the weekend) that bed bugs are a growing problem in London hotels. The remedies appear to include fumigation of the affected room and indeed rooms above, below and on either side. I would be most interested to know what action they have taken to rectify the situation in room 239. They've never been in touch since, nor apologised.	
Jul 22 2009 	Good location but be prepared to wait for breakfast!	Excellent location, a short walk to Victoria station for rail, coach and underground, easily achievable with a suitcase. Five minutes walk the other direction and you’re outside Buckingham Palace. Hotel staff very friendly, hotel itself looks a little shabby in places but what it lacks in splendour it certainly makes up for in location! But be prepared to wait for a table for breakfast and for food items to be replenished, could have been faster and smoother service.	
Jul 14 2009 	Good Location Good Service	I recently spent a week in the Thistle Westminster, and it was a good experience. The service was good, the room satisfactory, and the location well suited for my needs. The staff was extremely helpful in suggestion restaurants and arranging transportation. As for location, there are a number of great restaurants and good pubs within easy walking distance of the hotel; too, there are a number of tourist attractions in close proximity, and the Victoria Station is only a couple of blocks away. In addition, the food in the restaurant was good. I would return to this hotel.	
Jun 22 2009	Thistle Hotel Westminister London	Mr Hudson from Bedfordshire England. Taking a short break Booked the Thistle from a Offer in the Daily Mail newspaper, The Hotel is clean and comfortable, The room was small but acceptable, and was clean, but be aware that the Hotel is situated on a major cross roads, and the noise could be a problem for light sleepers, suggest you ask for a room at the rear off the hotel this should solve the problem, during my stay the Water in the room was never more than warm on both days off our stay. I contacted Reception with a view to getting re- allocated to another room, i was told it would be looked into, however some time later my complaint was still not addressed, so i returned to Reception and was told that their was indeed a problem with the Boilers and had been for some time so therefore it would make no difference which room i was in. Not being to pleased with the answer i received, i complained again this time to the Reception Manager who said the problem with the Boilers was rectified, clearly this in my opinion is not the case, however it was agreed to reduce the bill by 20%.	
May 11 2009 	Brilliant Location and Top Service	Went to London to see Sister Act and wanted cheap place to stay. Found deal on this hotel and despite other reviews booked it! Found staff all very pleasant and obliging. Breakfast was ample and a huge variety. Room and hotel dated but spacious and clean.Ideall location for touring around London as behind Buckingham Palace.Overall ideal for an activity break like ours as focus on activities not hotel room. But was very cheap and perfect for our needs.	
May 6 2009 	3* hotel masquerading as 4* - Abysmal dining	As part of our Ruby wedding celebrations my wife took me to see Oliver and arranged an overnight accommodation to make it a special event. Oliver was just that - it was fantastic and absolutely worth seeing and a decent 4* hotel would be great - oh dear! Read on. The Thistle Westminster hotel as part of the package let us down horribly. The reception clean but rather shabby and tired. Lack of staff on reception and so took longer to check in than am used to. Room fairly small with very peculiar layout and very tired decoration. Windows filthy. Bathroom OK but just very old stock. Having read the hotels blurb decided to book the restaurant for a special evening meal after our matinee show. This is the first and only time that I have ever had to send food back to the kitchen on 3 separate occasions. Ist time Chicken Satay with sweet chili sauce! 2nd time Chicken Satay with sea food sauce! - gave up. Haddock Risotto cooked with cream! - tasted like a rice pudding - inedible. My wife's chips - not cooked and the hamburger pretty disgusting. Only 3 of the 5 mini puddings were OK. All in all a pretty disgusting meal.On return to the room decided to have a long luxurious bath - No hot water.All this in a 4* Hotel - come off it who sets the standards! I should have read the &quot;Trip advisor&quot; beforehand because this seems pretty much like others comments. Once bitten twice shy.The only really + point was the location - 30 mins walk to Charring X and theatre.	
May 3 2009 	4 Star? I don't think so...	Booked a superior double, had to stay in a standard twin. Not conducive to a romantic break. Staff knocked 20% of the bill as they were unable to re-room us. Still pretty expensive though. Staff were apologetic but were very quick to blame the third party website I booked through.Room was fairly grubby (particularly the bathroom - toilet had definitely not been cleaned) and the windows were so dirty they let in very little light. The decor was in a fairly poor state of repair and very dated. Mould on bathroom ceiling and the hot tap in the bath didn't work. Felt like I needed another shower after I'd had a shower.I have travelled extensively throughout the world and stayed in many hotels from two star to five star. Frankly, I would have prefered to stay in a Travelodge than stay here - at least you know what you're letting yourself in for.	
May 1 2009	Shabby and dated with lack lustre staff	Good location, near underground and in walking distance of Palace and Parliament. Disappointing hotel which is obviously cutting corners. Lack of staff on reception and when phoned from the room was never answered. Bathroom was grubby around tiles and shower curtain, water was only luke warm. No air con working and road too noisy to keep window open. Breakfast very disappointing. There are 2 double beds in room and this would make it a cheap option for 4 people sharing. But for a lone person or couple it's not value for money	
Apr 24 2009 	Overpriced and Underwhelming	I recently stayed at the Thistle Westminster for one night on a business trip. The hotel is well situated, close to Victoria Station and for those on a vacation, it's close to some of the major tourist attractions including Buckingham Palace. It also has the advantage of affording an opportunity for time travel back to the eighties. The decor hasn't changed much since then, something I can confirm as I can vaguely remember visiting the hotel back in 1989 with my family. With VAT, the &quot;deluxe&quot; room was close to £200, an obscene price for a room which had one of the worst bathrooms I have ever seen. I wasn't expecting luxury but basic cleanliness and functionality is not too much to ask. The shower wouldn't stay up and was stone cold despite repeated attempts at adjustment. The ceiling was covered in mold. The bath had a mysterious lingering hair. The shower curtain was filthy and the plug socket partially broken and rusting. The &quot;luxury toiletries&quot; consisted of a bar of basic Thistle brand white soap and a small bottle of shower gel and shampoo. The room size was excellent but the decor was clearly exhausted, with stains and torn wallpaper. The staff, particularly at reception, were pleasant and courteous. The breakfast however was simply inedible. The egg was pure rubber and the bacon was the strangest colour I have ever seen. Thistle urgently need to show this hotel some major TLC and it's customers, some respect.	
Apr 22 2009 	Not nice don't go	I stayed at the Thistle for one night, for business travel. I found it tired looking and dirty, particularly the bathroom which had dirt around the bath tiles and an antiquated shower that took several minutes to warm up. The ceiling tiles were broken and the seal around the sink had been clumsily re-applied and was peeling away. There were hairs on the floor in the bathroom and no bath mat but a greying towel. Dinner was really horrible and I left most of it, despite being quite hungry. There was not much choice and so I decided on a simple burger, which was burnt yet still cold in the middle. I had a pesto and goats cheese tart for starter and this had been microwaved and the cheese had become plasticy. I was seated at a dirty table and service was slow. Breakfast was not any better, very basic range and no tea or coffee offered, no toast offered and there was no machine to make your own toast. The deadlock on the door was broken and this is important to me as a female travelling alone. However, I had already changed rooms once and by this time all I wanted to do was to sleep and then leave, also there was no air conditioning but I had to keep the window closed because the road outside was noisy.I stay in a range of hotels for business and leisure and would have been happy with a basic, yet clean, Novotel or Travelodge (and I suspect it would have been cheaper.) This hotel probably makes its money from tourists that will only stay once, I cannot imagine that it would get repeat business. I shall never stay in a Thistle hotel again.	
Apr 11 2009 	Great location; smallish room; service hiccups	I stayed here with a friend 6 through 9 April '09. I The hotel is nicely located, about 10 minutes' walk from Victoria Station (Circle, District and Victoria line underground lines, coaches) with a good number of restaurants within walking distance. The hotel's rear side was very quiet, being situated on a dead-end street (Warwick Row as I recall). The other side faced busy Buckingham Palace Road, where many tour buses parked outside and traffic was heavy.Rate through londontown.com was £125 per night including VAT. Our room, no. 112, measured about 9 feet by 12 feet, and though on the first (i.e., U. S. &quot;second&quot;) floor, was at the equivalent of ground level, facing into a small courtyard that the sun never entered, rather cheerless with a rather overgrown garden and stacked lawn furniture. The overall impression of the room was rather like a cabin on an ocean liner. At one point there's less than 6&quot; of clearance between a bed and a closet, necessitating hefting of luggage over the bed to get it out the door. The room's size was also compromised somewhat by the presence of a rollaway air conditioning unit, roughly two feet square by three feet high, that exhausted through a hole cut into the window (thereby cracking the window, allowing cold air into the room at night, and blocking easy access to the room's desk.) The heating was rather noisy and seemed to overheat the room so we left it off most of the time.There was a good high-definition television with about 10 channels to choose from. Internet access was pricey, at £6 for an hour if booked at the desk (but £5.88 for 90 minutes if you book online directly with btinternet, their internet service provider.) One had to use these minutes within 24 hours, I had frequent difficulties with the wi-fi connection -- dropped signals, slow reactions, etc. and it was difficult to find the internet service provider's &quot;log out&quot; button, meaning that your remaining time would erode away if you weren't careful.During our stay, there were several long waits at reception, usually with only one person behind the counter. One wakeup call was botched -- One night I asked for an 8 a.m. wakeup and the clerk repeated that time back to me. The call came at 8:30. I said to the operator, &quot;You're about a half-hour late,&quot; to which she took exception, saying, &quot;It's noted here as 8:30 sir.&quot; Her attitude seemed to be, &quot;Well, it's not MY fault,&quot; rather than, &quot;I'm so sorry, sir, for the mixup.&quot; A note to the housekeeper for face cloths and replacement of a light bulb over my bed was ignored.Breakfast was the traditional &quot;full English&quot; type -- eggs, sausage, tomatoes, mushrooms, etc. offered buffet style. There's also a &quot;Brasserie&quot; restaurant (entrees typically £15+) and the breakfast room also serves several &quot;prix fixe&quot; meals at about £10 each.This hotel is well located, clean and functional. It offers a fairly good value given its location.	
Apr 5 2009 	Thistle provides a great central location and adequate room.	Adult female traveling with three teen girls-two daughters, one friend. We had two rooms.-as we arrived on Saturday night at midnight, rooms weren't together-or even on same floor (even though we had requested adjoining.) On first night, I stayed in room116 with one daughter while other two stayed in room232. Our room was huge-three telephones, two hairdryers, couch, table,spacious area for lounging and even a dressing room with a dresser and hairdryer--only clock was on television. We had a space heater and a fan--which was wonderful due to the traffic noise and the fact that airconditioning hadn't been turned on yet. Other room had one hairdryer, two telephones, no dressing room, no fan, same clock, and not enough space to roll suitcase between beds and wall. We were unable to call room 232 so I called front desk. Someone went to the room to check telephone. Girls told them they could call out but couldn't receive calls. Service man picked phone up, called front desk, said phone worked. Girls repeated they could call out but couldn't receive. AGain, service person called out, said phone worked. Their way of fixing situation was to move us from room116 too room 233, next door. This was done at 10:30 p.m. Our room, disappointingly, was just like room 232--except no clock even on television. Room was about 1/4 smaller in size and extremely hot. UPon request, we were given a fan for each room. Here are my tips: bring your own washcloth, your own soap and shampoo (theirs are very small and don't suds well,) Internet is ten pounds for 24 hours. Free breakfasts was good--two types of eggs, sausage, canadian bacon, hashbrowns, baked beans, mushrooms, various cereals, sliced fruit, rolls, and lunch meats. I was disappointed in the coffee--it taste instant and the lack of refills on coffee and tea. Later I realized this was the case throughout London.There are two elevators-both worked well, no gift shop, and a nice sized foyer. The location was very close to Victoria Station and several pubs but we didn't find any really nice restaurants close. I would stay here again but would try to get a room like room 116. :)	
