	Warning this hotel overbooks rooms	This hotel over books rooms and tries to relocate you to hotels several miles away, in my case 13 miles away in the middle of nowhere.	
Aug 11 2009	Excellent Service Value for Money and Central Location	We arrived early for our stay and the staff could not be friendlier. They had our room ready, which enabled us to have access to our room immediately. The booking in process was efficient.The location of the hotel, on Oxford Street is a real bonus as we were able to do some shopping and return to the hotel periodically for a rest and an excellent cup of coffee. We also visited a local restaurant just off Oxford Street for an evening meal.We stayed in a twin room on the eighth floor, which was quiet. The room was pleasantly decorated with plenty of space, TV, tea/coffee-making facilities. The hotel was extremely clean throughout.. Thoroughly enjoyed our stay and will definitely stay again.	
Aug 10 2009 	Perfect location but not quite as good as other Radissons	I stayed here with my mum from 22nd to 24th June this year, for our first trip to Wimbledon on 23rd. We chose the hotel as we had loved the two Radissons we had stayed in previously (Mountbatten &amp; Hampshire), and the location was perfect for our shopping plans on the other two days of our trip. I wasn't too happy with the price of £295 per night, as booked through the Radisson website, but as I have a long term health problem, I couldn't take advantage of the early booker 20% off rate as I may have needed to cancel. However, upon arrival we were upgraded to a better room. The room itself was adequately proportioned, with a neat bathroom and small sitting alcove. It had all mod cons, including a Bang &amp; Olufson TV. Everything was very clean, and the staff had clearly adhered to our request for no cleaning fluids to be used due to allergies. But the major selling point had to be the bed - SOOOO comfortable! I don't tend to sleep well away from home but this bed really helped me to sleep. The main thing we love about Radissons is the cooked English breakfast. Since our last visit, this had changed from waiter to buffet service, but the food was still the same outstanding quality, and it worked out better as we could take more of what we wanted and miss out what we didn't. We had mixed feelings about our one evening meal. My burger and chips was absoloutely delicious, but my mum's lamb was quite tough.The staff at this hotel were all lovely and helpful. Whilst the location was perfect for shopping, it did make it hard to relax being on a main shopping street, and Boots was lit up bright red outside our room at night! Also not keen on the restaurant being upstairs and no lobby area to relax in.Overall, the rooms, service, staff and food lived up to our previous Radissson experiences, but the layout and lack of the large lobby decked out with sofas found in other Radissons left it slightly trailing its sister hotels.	
Aug 4 2009 	DO NOT STAY HERE!!	I would not recommend this hotel to anyone, apart from it's the great location on Oxford Street; the Hotel has NOTHING going for it!! BE WARNED.... AVOID THIS HOTEL AT ALL COSTS!!I booked a birthday weekend in London for my partner, and intended to make the most of our weekend in London. (End of July 2009)To cut a VERY long story short, we arrived and were turned away from the hotel, 4 different times, before finally being allowed to 'Check-In' to our room at 5pm! The website clearly states you can have your room from 2pm, but the rude lobby staff kept giving the same excuse 'Housekeeping are busy at weekends'.As i told them, it’s not the guest’s problem; if you are aware you’re understaffed at weekends, employ more housekeepers? I paid £150 per night, for a room i wasn’t allowed until 5pm, on my partners birthday, we had arrange to meet some close family and friends for a birthday dinner and drinks before going to see a show. The weekend was completely ruined, we could not meet our family and friends for drinks and dinner, as by the time we were both ready, we had to go straight to the show.I found the attitude of every member of staff disgusting! I stay in hotels around the world due to the nature of my job, and can say, even Travelodge have better customer care and customer service skills than the Radisson Edwardian Berkshire.I normally LOVE Radisson hotels, and have yet to find a bad one, until now.. The Berkshire...Like other reviews mentions:The rooms are standard, nothing great. Small in size, and the rooms and carpets are all getting a bit grubby. No complimentary products in the bathroom (shower cap etc), which is also tiny, so tiny it’s just a toilet, shower and sink.The hotel’s restaurant food was average. As for any kind of atmosphere in the restaurant, bar area, forget it. It’s like the entrance of a funeral parlour.I recommend searching alternative accommodation in central London if planning a visit.Would i stay again? ...... Never!	
Aug 4 2009 	Great hotel in a great location	I booked a night in this hotel last weekend via lastminute.com and got a good rate. Upon arrival at the hotel I was greeted by a very attentive and polite receptionist. The service in that regard can't be faulted. As other's have pointed out in their reviews, the rooms in this hotel are small so if you're of a fuller figure then you may wish to look elsewhere as the shower in particular can be a bit of a squeeze. With that said, my room was immaculate and in great condition. It was beautifully furnished and had a range of facilities including a safe, iron and ironing board, mini bar and complimentary toiletries.The location of this hotel is great and, whilst it's small, for the price I paid (£68 per night) I think it would be unreasonable to expect grandeur and space in such a prime location. An excellent place to stay if you're in London for a spot of serious shopping. Despite the prime location, I also found that noise was not a problem and I had a very restful night's sleep (much needed too!)My only complaints about this hotel would be the cost of breakfast (£17 GBP), the price of items from the minibar (£2.25 for a Kitkat!) and the lack of decent channels on the television.	
Aug 1 2009 	Small but adequate	A good, well run hotel.The rooms are small, really small. If you have ever worked offshore you will know what I mean.Location is excellent, and that was the the whole purpose of staying at this hotel, so unless you are a 25 stone obese the small rooms are acceptable.The breakfast is well presented and of good quality. The staff are freindly and helpful.If I was to offer advise to the management of the hotel, I would say to them that the check-in area is to dark and sombre. It's such a small area that it should be brightened up to give the new arrival a better welcome.That being said, it's a fine hotel and I would recommend it.	
Jul 31 2009 	Not worth the money	Last week (23/24 July) we went to London and stayed at the Radisson Edwardian Berkshire Oxford Street hotel. We had a reasonable rate from the internet and reports on Tripadvisor were very good. As it was a 4+* hotel we were excited about staying there.Check-in went smoothly and the lady on reception was very nice. She offered us the choice of two rooms (one at the front or one at the back of the hotel) and we decided to go with room 721 at the front of the hotel.The hotel has two lifts - each carrying a maximum of four people. Yes, that's right, only FOUR people in each lift! They are sooooo very tiny and old and rickety. They have been modernised in that you use your room key card to operate the lift, but they are still incredibly slow and old. My fiancé is 6' 7&quot; and his head touched the ceiling – thank goodness the lift didn't stop suddenly else he'd have had a very sore head! When the lifts did stop there was quite a large step up from the lift to the floor outside which was awkward, especially with suitcases.When we got to the room we were quite impressed. It was very large with three windows and view looking down Oxford Street – you couldn't have got closer to the shops if you'd have tried! We had a double bed as requested (very comfortable) and for some reason a blow-up single bed in the corner too.Upon closer inspection, however, we started to feel very disappointed and I'm afraid to say that the report from here isn't that good.We couldn't find any drawers in the room anywhere, with one exception which was in the wardrobe and had the kettle and tea and coffee making facilities in it – no room for anything else. As a girlie I like to put my undies in a drawer but had to make do with the shelf in the wardrobe; my other half just left his in the suitcase.The bathroom was quite large and adequate for what we needed. There were no little bottles of shower gel/shampoo etc, but there were large pump action bottles provided in the shower and by the basin which were very nice (Gilchrist &amp; Soames). The shower was quite powerful, however, the water kept going hot and cold which was quite unpleasant. There was an extractor fan in the ceiling but it didn't work so you had to leave the bathroom door open, and even then the room still got very very steamy.Towelling robes were provided free which were lovely, but in the room 'handbook' it says you will be charged £95 if you take one home with you, so be warned!Having spent 10 minutes hunting for the hairdryer we found it in the wardrobe of all places – where everything else seemed to be; the kettle, tea/coffee, safe, mini bar, suitcase stand, iron and ironing board, trouser press, mirror. In fact, not much room for any clothes!Having to use the hairdryer in the wardrobe was an interesting experience to say the least! Who wants to dry their hair in a hot, tiny cupboard getting hairs all over their newly pressed clothes??! What a bizarre set up! Using my hair straighteners was very awkward too. There was a sort of dressing table against one wall in the bedroom but there wasn't a mirror above it, nor any plug sockets nearby. There was a plug socket right next to the entrance door to the bedroom which was no use whatsoever. The only other sockets were in a floor box under the table by the sofa (like the floor boxes you get at work!). So I had to go scrabbling about on my hands and knees to plug my straighteners in. Good job I'd brought a travel mirror with me as again there was no mirror nearby.The bedside lights weren't really by the bedside. They were actually spotlights in the ceiling above each side of the bed which were incredibly bright and blinding. The switches were too far away from the bed when you were lying there and you had to lean right over to turn them off.One thing which we cannot fault is the location of the hotel. It is in the heart of Oxford Street, about 10 steps from Debenhams. Selfridges is just down the road and Bond Street tube is close by too.Breakfast the first morning was disappointing. We arrived at about 9.00am and were shown to a table. The lady said that breakfast wasn't included in our room rate – we challenged this so she went off to check with reception. After we'd ordered our tea and toast she came back and confirmed that indeed breakfast wasn't included and we would be charged - £17 EACH!!! Seeing as it was so expensive we decided to get our money's worth and piled our plates high! The quality of the food was good; however, the temperature was cold. It was a buffet style and the spoons used to serve were very hot and I had to use a napkin to hold them. But between the time it takes to fill your plate and then get back to your table, the food had gone cold, so the food couldn't have been that hot in the first place. The selection was good with all the usual – bacon, sausage, beans, croissants, juices, yoghurt etc etc.The second morning we didn't make that mistake again and went out for breakfast.We can't comment on the bar or restaurant as we didn't use them.Check-out was very slow. There were a few people in front of us so the guy at the concierge desk helped out. We checked our bill, as we always do, and found that when we booked the prices on their website for accommodation did not include VAT. The concierge asked if we'd had a good stay and we pointed out a few of the above items but decided to keep it brief else we'd have been there for a while!Overall we wouldn't say this was a 4 star hotel and were very disappointed.Would we stay there again? Only if we managed to get a good room rate, as the location is fantastic and can't be faulted.	
Jul 29 2009 	Nicest hotel I've ever stayed at.	Before even making my booking at this hotel I'd read through loads of reviews on TripAdvisor checking that everything would be OK. This hotel was by far the best from the hotels I had in mind, most of the reviews being positive. It was worrying therefore to find some of the latest reviews negative, involving the use of lifts etc. The lifts seemed to work fine, we managed to get 5 in our lift and it still went up and down! Although the gap to step up did get a little bigger. The man who entered the lift to make 5 wasn't exactly the lightest person to say the least!We booked a basic room with breakfast for an excellent rate, as it was my girlfriends birthday the manager generously upgraded our room, making our rate even more excellent. The room we stayed in was a King Deluxe Suite I think, or something of a similar name. The service was good, I was given a free drink from the bar due a small delay and the staff offered to carry our bags up to the room.The rooms cleanliness was of an outstanding quality, however after finding a sandal under the bed upon leaving it did put doubts in our mind how much they actually cleaned! But it seemed like they did a pretty good job. Our room came with two tables, a king size bed, a couch, large CRT Television which was a good brand, forget now, but the sound was excellent, got the general coffee and tea making facilities also an iron, safe, mini bar etc, I could go on! The mini bar was one of those ones that have scales in, so after hearing from my girlfriend while we were at the theatre that she'd picked up a can of lemonade to inspect the ingredients I was rather worried, luckily one can view the updated version of the bill on the tv! No charge was made! Phew! Also, another thing to mention, if you're traveling alone there is a built in chain on the door, it's rather stylish, but very easy to use and literally works with the flick of a switch!!The bathroom was all marble, even the walls and the shower was powerful. Got soap and shampoo included in the room, it seemed to make my hair nice and soft, softer than it usually is! The bathroom could have done with a bit more of a scrub in between the slabs of marble, other than that it couldn't really be faulted! The breakfast was also good, quite expensive if you don't book it with your room rate at £17 per person, is it worth it? I wouldn't say it was worth it, but hotels are over priced so a price around that ball park figure was to be expected. We got the breakfast included so we didn't pay the full price, it was definitely worth the little extra we paid. It was a full english breakfast with options such as porridge, pancakes, croissants, cereals etc... basically everything you would want with some extra options for an extra charge, no thanks!Overall the service was outstanding, I never actually met the manager (not to my knowledge), but he seemed to be a nice fellow and the staff seemed well trained!A 2 course meal was available in the restaurant for £15 which I thought was a very reasonable deal, especially since it was a restaurant, in-fact any restaurant that'd be a good deal, you can even pre-book online, I was tempted, but being students we don't like anything other than burgers and chips, and they weren't on the menu!!Anyway, yeah would definitely recommend this hotel to anyone coming to london, excellent location, we walked from the hotel to the prince of wales theatre, easy 10-15 minute walk. London was very busy though, obviously because of the summer holidays! Went to the wax works too, well worth the wait! I'm glad the hotel entrance is not actually on Oxford street otherwise you'd be pushing your way past people just to get in and out! Tube also very convenient just across the road, great for getting there from St Pancras!	
Jul 20 2009 	recommendable	A nice not to big hotel..the situation is perfect..only a few steps away from the bond street underground station..near to piccadilly circus near to the hyde park.. for my next london trip , for sure i would stay there again.	
Jul 18 2009 	Great Location	We only had one night here but it was great. We were going to a party just off Bond St so I was looking for a nice hotel as close as possible. This could not have been better.It was a five minute walk to the party venue and was right in the middle of the shopping area in Oxford St. The room was lovely with a very nice large bed. Nice bathroom with big bath. Great sound proofing so no noise from the street.Very friendly helpful staff. We needed directions to the party venue and the man on the front desk googled and printed us out a map. Very efficient.Fantastic english breakfast included in the room rate.Expensive for us Kiwis with the NZ dollar but well worth the splurge.	
Jul 15 2009 	THE BEST HOTEL ON OXFORD STREET!!	we stayed at the berkshire for 10 nights and this was our best experience , we had stayed at the cumberland and thistle both ,location wise all three are the same but what makes berkshire stand out is its 5 star service and the rooms they are bigger than both the other hotels and are more newly renovated , mr paul kennedy the hotel manager is very good at his job the hotel is running at 100 percent occupancy and during this time no manager bothers with the guest request as they are so busy but mr paul made sure that our any request should not go unanswered .if you are looking at spending a nice holiday in central london and want to stay right on oxford street there is no better choice than this hotel its number one hotel .	
Jul 14 2009 	Great hotel and brilliant location would defiantly stay again!!	I went to London for a weekend of shopping and going out. I booked this hotel as I noticed it was a really central location. I was not disappointed when I turned up. My room overlooked Oxford Street so the location was perfect.The rooms are a really good size nicely decorated and with a very comfy bed. The staff were all very friendly. They were more than happy to advise on place to eat and go out and sorted out a taxi for me and a friend for the night.I would really recommend this hotel!!	
Jul 13 2009 	Wont stay again. small pokey room . look for better value for your money	Stayed there the other night with my girlfriend and her 2 sisters. had 2 rooms booked. A double for us and a twin. Got to reservation they only had 2 rooms left both double. Whats the point in making a reservation and paying extra for twin room. Kept saying were fully booked. I had booked 3 months ago.Lifts are dangerous. there is a 6 inch step when you get off the lift as it does not come flush with Floor and its a very squashed lift at that.The room is cluttered . can barely walk between bed and stupid table and chair that the room is too small for. If they had an lcd instead of old tv it would look less cluttered. Breakfast was ok and some of staff friendly although i was overall dissapointed . I spent nearly 400 pounds for 4 of us to stay here but in hind sight its only worth less than half of that. Location is good for shopping but i wont stay again	
Jul 9 2009 	Wouldn't stay again	Disappointing hotel, lifts constantly out of order (when working, restricted to 3 persons instead of the allocated 4, a little worrying in itself!!!), no remote control for TV, no Rose wine in Bar &amp; room very basic &amp; bland. Also no electric socket anywhere near a mirror for using hair-straightners	
Jul 8 2009 	great location	great location on Oxford st., big rooms, friendly staff, free internet and of course reasonable price.	
Jul 7 2009 	Good Location shame about the room	The hotel is situated in a good location being just across the road from Bond Street tube station and about a 10 minute walk from Oxford Circus station. Check in time at the hotel is 2pm, we got there for 215 and tried to check in- we were told we would be having a twin room as booked but our room wouldnt be ready for another hour and a half! Leaving the bags we went for a wander. When we got back to the hotel our room was ready only when we got to the room it turned out to be a double - I was with a friend so this wasn't convenient. I telephoned reception to explain that we had been given the wrong room and was told they would call us back as soon as possible. An hour later we still hadn't heard anything so rang them again to be told that there where no twin rooms available and we would have to stay put but another bed could be put in the room (it was small enough to start with), nearly another hour later a member of staff came with an air bed - rather poor service that we had to wait for 2 hours for something to be sorted when we wanted to go back out. We stayed at the hotel for 2 nights and on the 2nd day a member of staff visited our room around 3.30pm to say they could move us - a bit late in the day when we were just leaving to go to a concert and wouldnt get back until late - unfortunately we didnt have the time to move!Breakfast in the hotel was a buffet with a good choice of food available. I would return back to the hotel but only if they sorted the rooms out first - very poor that it took so long to sort the situation out.	
Jun 27 2009 	A pleasant stay	Extremely well located on Oxford Street near Bond Street tube. Room was nicely appointed with a very comfortable bed. We had breakfast included and the buffet breakfast was very good indeed, especially the scrambled egg. I appreciated the complimentary wi-fi.The only down point that stops me giving the hotel 5/5 was that the room was a little bit dusty in places and there was a quite a strong smell of mildew in the bathroom, however this went away after we used the shower.Given the location and level of service/accomodation, the deal we got was very good value and I would not hesitate to recommend this hotel and would stay there again.	
Jun 24 2009 	Great Location 	Check in was quick and hassle free.We prepaid GBP 140 per night (no breakfast) but I think we may have got an upgraded room as it had a couch and was a bit more spacious.Rooms were spotless, nicely furnished (nice tv). Bathroom was more than adequate.This was one of the most comfortable beds I've ever slept in.Oh, and location is perfect too, for shopping along Oxford street, and only a few minutes from Soho or Covent Garden for plenty of nightlife.I would definitely stay at this hotel again.When we were checking out there was some hassle (a couple of drama queens whinging and going nuts about having to bring luggage from their rooms themselves). The staff handled themselves extremely well in the face of completely undeserved abuse from those 2 guests.	
Jun 18 2009 	Best location in London -- but reasonable	I get to London from Canada about once a year. I always stay at the Radisson, 350 Oxford St. It is a block or two away from Selfridges, within walking distance of many theatres and surrounded by reasonable restaurants. As you know, when you are traveling, it is all about location. But the service and amenities are good too.L.C.	
Jun 11 2009	Excellent Hotel staff location	I dont often write reviews, but I feel that I have to say a huge thank you to the staff at the Raddison Berkshire London, I had taken my staff to London as a reward for hard work during the last finacial year, I wanted a quality hotel, in an exceptional location close to the shopping, west end, and generally central, as my party is of a mixed age and requirements: The Berkshire exceeded all expectations, Central, just off New bond street and Oxford street, the rooms were modern clean and very comfortable, the breakfast was exceptional, and the staff were extremely helpful polite, and Fun: 10 out of 10 for this very pleasant hotel and also not too expensisve : well done all:	
Jun 9 2009 	Clean great location friendly staff	We just returned from this nice hotel on Oxford Street. The location was great for shopping and right next to Bond Metro (Tube) Station. We walked to Soho, a nice area for restaurants and pubs. We had breakfast included and it was pretty good (some smoked salmon and more vegetables would have been nice).	
May 24 2009 	cleanfriendly and location excellent. Five stars all the way	We stayed two nights for my 40th birthday, staff were helpful and friendly. Given the location in Oxford street, the hotel was very well priced( including breakfast). Rooms were clean and tidy and ascots restaurant was also first class. we will definately be booking another trip in the near furture. Will be recommending this hotel to all our friends and family.	
May 11 2009 	lovely hotel excellent location	Great location, very friendly staff, comfortable room and good breakfast. Booked via Bookings which included breakfast - good value. Just in front Bond Tube Station and lot of buses . Good for shopping!	
May 8 2009 	Experience was excellent.	Service, food, room, location and common areas combined to create good value.	
May 7 2009 	Great Hotel in Great Location	My wife and I recently had a one-night stay at this hotel, with a view to a West End show and see the London Marathon. I have had previously bad experiences with west end hotels were the reception is all glitz but the rooms are Dickensian. This hotel is definitely not like that at all. In fact the reception area is quite small and understated but everything else about the hotel is first class. First the location: on the north side of Oxford St and right opposite Bond St station and only minutes walk away from Oxford St and Regent St shopping. Piccadilly Circus (for theatreland) is two stops away on the Tube. There is a 2pm check-in which is great if you only have one day and want to make as much use of it as possible. Actually we arrived at around 2.40pm and our standard room was not ready so we were given a free upgrade (we didn't have to ask). Great start!The room was beautifully presented, spotless and spacious. The bathroom was modern and had classy amenities.The ground floor bar was quiet and relaxing for cocktails at the end of the evening. Breakfast was buffet style and definitely above average. Checkout was easy and painless.All of the staff we had contact with were pleasant and helpful and treated us like valued guests.We will definitely stay here again when next in London.	
May 3 2009 	very comfortable night's stay	Great location, very friendly staff, comfortable room and excellent breakfast. Booked via Yeego which included breakfast - good value. Free wifi.	
Apr 27 2009 	Highly recommended	My husband and I stayed here at the weekend for a leisure break in London. The Location could not be better, right on Oxford street, oppsite Bond street tube, we were able to walk to all the shops, sites and restaurants. The hotel is very stylish and comfortable, the rooms are fairly small but have everything you would need and are very comfortable, the only small problems were that the window didnt stay open so you couldnt get any fresh air in the room so despite the air conditioning it was a little warm and stuffy but if it had been open it probably would have been rather noisy as we overlooked the main road but for me it was worth it to be in such a great spot. The breakfast was buffet style, I ordered the eggs benidict for which i payed a supplement. I had to wait a long time for it and it was nothing special, with hindsight i should have just had the buffet breakfast which my husband thoroughly enjoyed. The service was excellent and the staff were very pleasant.I would highly recommend this to anyone looking for a hotel in the heart of london with access to all of the sites.	
Apr 27 2009 	lovely hotel excellent location	excellent location for shopping, two minute walk from bond st tube. very nice clean room, friendly staff. will definitely stay again.	
Apr 26 2009 	Almost Perfect	My stay with Radisson Edwardian Berkshire, was more than excellent overall. The Location was prime, and the hotel staff were great professionals. The Privacy I felt during my stay, made my stay enjoyable, while still in the middle of all the attractions and just a walk away from major centrepoint areas. The only draw back during my stay was the WIFI connection. Although it comes for free with the room, the signal was low, and cuts off at times. Other than that, I recommend this hotel to everyone, and I will defenitely stay there again.	
Apr 22 2009 	Great Location for a City Break	Stayed over for a night while meeting with some friends.Right on Oxford street which is great for shopping, resturants, bars and night clubs.Breakfast was good with friendly service.	
Apr 19 2009 	Perfect	It was a mother and daughter (20 years old) vacation. Leisure , shopping and fun. The Hotel is located in a perfect location, we had a deluxe double bed room, so it was big and comfortable. The service was outstanding. To conclude, it is a highly recommended hotel.	
Mar 19 2009 	Highly recommend would return again	Perfect location for shopping right on Oxford Street, short distance to theatre which is what we did. Had a fab nights sleep in the comfortable rooms, have a few rooms which are still smoking rooms which was good for half the group I travelled with. Breakfast the following monrning was brilliant, 1 of the best in London I've had in a long time.Lot's of people checking out the same time on the Sunday morning but, was extremly quick we'd also received a discount for the NCP car park behind the hotel which was an added bonus. Would return.	
Mar 8 2009 	shopping central	This hotel was perfectly based for those week end shopping trips with the social dining and culture together.The staff were multi lingual friendly and available eager to assist when needed.The communal areas have the feel of modern comfortable luxury living.The rooms are equally luxurious and comfortable with all the ammenities you would expect from such a standard I stayed here with girl friends and enjoyed a wonderful weekend in the capital the central location had a safe feel to it with direct access to tubes and bus routes to get to all locations.	
Mar 8 2009 	Perfect London base	Just off Oxford Street, the hotel is also a short walk away from the many lovely restarants in St Christopher's Place and James Road (which provide a touch of Paris in London).Also, as Bond Street is on the Jubilee Line, the hotel is a good base for travellers to Wembley and the O2 stadium.	
Mar 7 2009 	Location x 3	This hotel is located literally a stones throw from Oxford Street, perfect for high street shopping. We were also going to the london palladium, a walking distance of 7 mins away, we did take a cab due to high heels. Oxford Circus tube station is also only 5 mins walk from the hotel. The service in the bar was excellent. Our room wasn't ready on arrival due to a miscommunicated error but the hotel took our bags while we shopped. The room(3 of us sharing), cost about €300 which inc a buffet breakfast which was lovely and very filling. I'd definitely go back to this hotel, staff, rooms and location were perfect.	
Mar 5 2009 	brilliant location	brillian location - couldn't be better in fact!! rooms slightly on the small side but extremely comfortably, trendy and clean - will definitely stay there again.	
Mar 3 2009 	Excellent!!	Top location, In the centre of Oxford Street &amp; Bond St Tube Station a minutes walk away, Ideal for shopping and transport , and we proved you could easily walk to most locations, Bond Street, Regent Street, Piccadilly, Etc From check in the service was first class, the concierge was excellent and all staff through out our stay were friendly, helpful and very courteous, I honestly can't fault anything about our stay and would certainly come back to stay there again, a very pleasing hotel stay from myself and my wife	
Feb 25 2009 	Excellent hotel is splendid location	We had a very enjoyable stay here. The staff were friendly and the room was excellent. There was free internet access which was a selling point for me because I needed to work during the afternoon.	
Jan 17 2009 	Good location some things fine but appalling treatment	I stayed in this hotel for 1 night on business. It is in a great location and the rooms were comfortable but a little on the small side and dated. The TV system is also very limited. It needs updating but was reasonable value.The buffet breakfast was fine and staff were very helpful and efficient..... until I left some property in the bedroom.Stupidly I forgot an important piece of medical equipment that I need to use every night. It really is vital to me. I left it in the room and didnt realise it was missing until I got home. Next day I called the hotel and they were very helpful. Housekeeping had found it and they would post it to me but I would have to pay the cost. I was delighted and immediately emailed them with my credit card details.Nothing happened. The item didnt arrive. I assumed that with the Chrismas post it must be delayed and was forced to get a replacement. . In January, 3 weeks after losing it, I got another email. The Hotel Manger considered that there was a risk of fraud here so they would not return the item unless I sent a fax with a scan of my credit card and a scan of my passport or other photo id. It had by now taken them 3 weeks to decide this and I don't have a fax machine.I called the hotel and pointed out that I was a customer, had stayed there, the property was found in my room, they had swiped my credit card while I was there and I lived in the UK at the address they would post the item to and that was the address on my registration. No dice. Without the fax the item wouldnt be posted back. I was clearly being treated as a suspected crook who was trying to defraud them in some way although how I could do this when they were charging my credit card for the cost of postage I cannot understand.Frankly after this I wouldn't send what is in effect a DIY identity fraud kit to this hotel. I don't trust them. This item is worth perhaps £100 but they can keep it. will never stay there again and Radission should be ashamed of this.My advice is clear. This hotel is OK and reasonable value ....... but don't stay there.	
Jan 10 2009 	Great Location	Have to agree with other reviewer's this is very well located if you want a base for shopping or have business locally, although I had read reviews I was still a little shocked at the small size of the room especially for the price and would be a problem of storage if you arrive with 2 suitcases. The room small, AC/heating noisy, hairdryer did not work but one was immediately brought up (it is my opinion when paying high price to stay in a quality hotel it should not be up to the guests to find out things don't work?), the bathroom was cold with no heating but liked the large shower done tiled like a turkish bath area but found the tiled/marbled seat very very cold because no heating. Tea/coffee hidden away in cupboard (no biccies) bit of a pain to use kettle to make a drink. Iron &amp; ironing board provided in room - nice touch. Food/breakfast ok. Staff friendly and welcoming. A tip for anyone going to this hotel for the first time it is located between Debenhams &amp; Mexx stores down the street, took me 40 mins to find it after I came out of Bond St underground as there are no signs, would not even contemplate driving to or parking around this hotel?	
Dec 22 2008 	Loved it!	Great location - In the heart of Oxford Street-Bond St Tube Station a minutes walk away - Ideal for shopping and transport links.The hotel , staff , rooms and service were first class and can't fault anything about our stay and would certainly come back to stay there again 5 Stars from me!	
Nov 25 2008 	Great location	We stayed at this hotel to go Christmas shopping. It is a great hotel right on Oxford St. which is perfect for shopping.We had two executive twin rooms. Good rooms and bathrooms with nice smellies.I would always stay here if I want to go shopping again.	
