	Great location tiny little rooms mediocre service	Chose this hotel for its location - near to Green Park tube. Will not be going back again. The service was mediocre - sometimes good, sometimes standoffish and not helpful. The rooms were really disapointing - and the corridors were small with lots of steps up and down which is a pain.Overall well worth avoiding unless you get a great rate and don't plan to spend any time in the room.	
Sep 8 2009 	Great Little Hotel in Good Location	Spent two days at the Hilton Green Park, small hotel with lovely modern rooms, singles are neat but well furnished with everything you need and good bathrooms. Hotel is in a great location, 5 minutes from the Ritz and 10 minutes walk through Green Park to Buckingham Palace. The London Bus tours even stop outside Green Park Tube Station which again is 5 mins walk. Staff are excellent.	
Sep 6 2009 	Make sure you book if you want dinner in the hotel restaurant	Great trip - August 2009 Bank Holiday Weekend. Everything was perfect - until we tried to have dinner in the hotel restaurant. Our request to the restaurant hostess was firstly to enquire if we had booked (there were three other couples eating in a virtually empty restaurant) and in response to our &quot;no - but we are resident&quot;, we were requested to have a drink in the bar because &quot;they didn't want everyone to eat at the same time&quot;... oh dear, the poor chef, unable to cope with more than 6 meals at one sitting! Needless to say that we went and had a meal elsewhere! I told the Reception staff at check in who advised me that they would &quot;look in to the matter!&quot; Hey ho! One good tip - definitely try Langans in Strattan Street - even in jeans and without a reservation, they fitted us in - on a Friday evening at 8pm with no fuss, no quibble. And don't be scared, it's VERY reasonably priced (similar to Carluccios) - and excellent customer service.	
Sep 4 2009 	Excellent Stay Highly Recommend	I just laugh at the posters who give this hotel a bad rating. They must be used to staying at the Taj Mahal. Buckingham Palace is directly across from Green Park. Perhaps they can get a room there because nothing else would seem to please them.This hotel has a friendly staff. The location is central, it is very clean and all of the staff provides great service. I have stayed here several times and my last stay of five nights was a delight. By European standards, I did not find my room to be too small as others have stated.I guess there is just no pleasing some people, but I was extremely pleased with this hotel and I would recommend it to anyone. Ignore the hotel snobs. You will like this hotel.	
Sep 2 2009 	Service with a smile!	Perhaps some critics of this hotel are more used to larger corporate type hotels, but this is a mews hotel so the rooms are bound to be smaller. We regularly stay at either Flemings directly opposite or the Green Park Hilton dependant on the price available. O.K. Flemings is a tad more stylish, but one thing about both hotels is the friendliness of the staff. A three day stay for two rooms worked out at £300 cheaper than Flemings and included dinner for one night, a full breakfast buffet as opposed to a plated one at Flemings, and you would be hard pressed to tell the difference in qual;ity between both hotels. The ideal location for West End theatres and galleries makes it the ideal choice. If only they would do something about that eyesore of a derelict building on the corner. A request when booking for a front room was noted and supplied. Another troublefree and smooth stay with excellent breakfast and dinner . Keep up the good work	
Aug 31 2009 	Superb hotel for the money	My friend and I stayed at Hilton Green Park Hotel for the weekend, forn the 2 nights for 1 promotion, and the hotel was superb!!!! Lovely clean and comfortable room and staff were very friendly and helpful. Breakfast was wonderful and would highly recommend this hotel for anyone who likes value for money deals.	
Aug 30 2009 	great hotel great location great service!!!	Stayed here for 3 nights in a Deluxe room which was of a good size. Very clean. Alright it's not the Hilton Park Lane but this is a hidden gem. The location is just fantastic, right in the heart of Mayfair and across the road from Green Park and about 15 minutes walking to Piccadilly. The staff were so friendly and made you feel like you were right at home. Couldn't fault breakfast, really a good spread! My only fault with this hotel is the parking, the nearest being about a 10 minute walk and about £40 per night. Be great if they could negotiate a special rate for guests at this hotel. Did hear other guests complaining about room size but again for a little bit more, stay in a deluxe room. It's well worth the money. Staying there in another 3 weeks!!	
Aug 28 2009 	Not a good hotel!	This hotel was the worst Hilton I had ever stayed in... the walls were so thin you feel like your sleeping in the hallway.	
Aug 25 2009 	Shocking	This is genuinely one of the worst hotels i have stayed in. It is an embarassment to the name Hilton and to London...It is ludicrously expensive which is based upon it's excellent location. That is the only thing that it has going for it. Arriving there a noted that the public areas are small and shabby and the overall ambiance is 1 star at best. So this was not a good start. Then i got to the room (and i use the word &quot;room&quot; advisedly)The room which was a single was quite literally unbelievable. It was right up in the roof with a really low ceiling. It was tiny (smaller than my none to capacious bathroom at home) and the shower room was basically an enlarged cupboard. I utterly rejected this room and demanded something bigger stating that If i got such a room in a youth hostel i would demand something else and how could they even contemplate selling this. It was obvious this was not the first time this had happened and quickly they did get another room..It was a queen room and was the size of a normal single. Having no choice but to accept this at an extra £10 because it was late, i had an uncomfortable night and woke up to admire the view of the fire escape and the rubbish strewn vacant lot beyond....so celubrious..not.... Oh My God! Never stay there. It is a nightmare and then you see the bill and it becomes &quot;a nightmare on elm street&quot;	
Aug 3 2009 	FIrst come first served!	pre booked and paid for 3 nights at this hotel on the hilton website for my boyfriend and I. When we arrived at around 23.00hrs as i had stated when booking, we were told that all the double rooms had been given away as they were really busy and unfortunately it was a 'first come, first served' situation. They gave us two single bed rooms which were cupboard sized. Not exactly a romantic wknd away! When you book a room and prepay for it, its not acceptable to be told its first come, first served. Very poor behaviour from a hilton, expected much better. Otherwise, location and breakfast good and got a regular double room for the 2nd and 3rd night and it was fine. Got a 50% refund for the first night mess up.	
Jun 28 2009 	Could not fault it!!	I honestly can't believe all the bad reviews. We have just returned from a 2 night stay, my husband and I plus my sister in law and brother in law, so we had two rooms and had no complaints with either. We had deluxe rooms, which were a great size and the en-suite was really big. Everything you would expect, large comfy bed, pillows the best we have had in any hotel recently, air-con, wall mounted flat screen TV, tea and coffee making facilities etc, what more could you want??The location is fantastic, so central, but being set down a side street no problems with noise. OK, it is several buildings knocked into one, but the undulating corridors just added to the appeal, it's not just a modern tailor made hotel building, it has far more character than that!Breakfast was lovely, the usual English etc, or if you preferred waffles or pancakes made to order.Would we return? Without a doubt all of us would	
Jun 28 2009 	Shoebox	This is my first stay in a European hotel, and my first reaction is that it is SMALL!!! (approx 7'x12') Compared to hotel rooms in the US, my single room at the Hilton Green Park hotel was less than half the size. The bathroom was close to normal size, though. The single twin bed was a bit stiff (and shorter than usual) but otherwise comfortable. Not enough pillows or pillow selection. Not much room for my suitcase. Flat screen TV was wall-mounted and plenty large. Tea/coffee selection was excellent and included a shortbread cookie. I love that the room had a electric hot water kettle. Great for business travel. Internet and local phone calls are not free. No gym, but great parks nearby. The B&amp;B rate included breakfast, which was so-so (don't expect omlets like Embassy Suites). Marks &amp; Spencer around the corner at the Green Park tube stop. Very convenient. Great location. I would stay here again.	
Jun 18 2009 	Fawlty Towers 2009	My family and I stayed at the Hilton Green Park (or should I say, Fawlty Towers) for 6 nights. The hotel is in a good location in Mayfair, near the Ritz and Green Park, the staff were pleasant enough and the breakfast was good and fresh. Everything else was awful. The hotel seemed to be 3-4 townhouses that were cobbled together - without being gutted and barely having been renovated - leaving random groups of steps in the middle of the upstairs hallways and zero sound-proofing. Our first room was at the end of the 4th floor hallway and we had our 2 yo with us in her stroller and would have to maneuver the stroller 3-4 times to get over the randomly placed steps before arriving to our room. The door to the room was at the beginning of a long, narrow and dark hallway which opened up to a very dark, albeit large enough, space overlooking some dingy backs of buildings. The water in the shower seemed indecisive, switching from hot to cold every few seconds or so. The extra roll of toilet paper was never replenished. The floors in our room, outside our door and above us creaked so loudly that it was disturbing. Also, eventhough we were at the end of the hallway, there was so much noise outside our door, it felt like people were about to come into our room all day long. Halfway through our stay, the internet access ceased working and we were finally moved to another room, after my husband was told by the staff at the front desk that he would have to call their service provider to ascertain the problem. After a day of this nonsense, we were moved to a room down the hall from our original room. This time, there was more light as we were at the front of the hotel (half moon street I think?) but it was five times more noisy as the door of the room opened straight into the living space and all the foot traffic from the main hallway felt as it was happening in our room! I was wishing for the first room with the long interior hallway that in hindsight muffled some sounds a little bit. Also, one of the 3 windows in this room did not close all the way so you felt the draft and heard all of the outside traffic (and jack hammers from the road work at the corner) all night and the one in the bathroom had mold all around the panes. We had the same problem with the water temperature, but this time, we at least had internet access. Oh, and yes, the beds were horribly soft and definitely bottom-of-the-line. The floors again were incredibly squeaky, and you could hear the people upstairs and outside of your room very clearly. I should also mention that there was some problem with the fire alarms which caused them to go off several times during our stay there, once during the middle of the night. And, that later, we were invited to a cocktail reception for &quot;special guests&quot; (I am sure it was everyone staying in the hotel) by a paper invitation under our door, which was then followed by a pleading call from the front desk. When I told the staff member who was calling that we would not be attending, she started begging us to come. Totally unprofessional!But to top it all off, my daughter's hand got caught in the hotel's revolving door and no one in the lobby (there were about 4-5 staff there) could figure out what to do. They all stood around dumbfounded at the sight - and one of the doormen/concierge, even attempted turning the door with her hand stuck between it and the glass frame, in a totally illogical effort to free her!!! Luckily, my husband knew how to unlock the revolving door and the whole thing was almost over swiftly except for the fact there were several trips made by a staff member back and forth from the kitchen to the bar in order to determine how to get ice for my sobbing daughter's hand afterwards. The GM later came to our room to find out what he could do for us and to tell us that he had watched the video footage to learn more about the events that transpired. In fairness, there was not much he could do, but the fact that he mentioned there being a video of the occurrence and that he was watching it seemed a little odd. In hindsight, this experience will stay in my mind and is what now makes our stay at the Hilton Green Park seem like an episode of Fawlty Towers.We will never stay in this hotel again. It is not worth it.	
Jun 15 2009 	Pleasant Surprise	We were looking for a hotel near to Park Lane, that could accomodate 3 persons and which was reasonably priced. This hotel fulfilled these requirements.The room was large enough for the three of us with a sofa that converted into a double bed. The room was well presented and was clean and tidy. The bathroom was functional and perfectly adequate. Curtains didn't keep the light out so we all woke early. Good A/C in the room.Breakfast was included and the quality was much higher than the bigger Hilton Hotels.We would definately try and book this hotel again.	
Jun 3 2009 	Better than expected from previous reviews	We won Hilton / Green Park from Priceline for our last day in London, and I was nervous after reading the reviews. However, it turned out great. Our room was actually spacious by London standards, quiet, and had a very comfortable bed. The location is convenient., about 3 blocks from the tube, and 1 block from Green Park. There is a nice &quot;hidden&quot; street nearby (Shepherd's Lane) with several pubs, a drug store, a few restaurant choices, etc. The staff was very helpful, allowed us to check in early, and kept our luggage after check-out until time for us to leave the following evening ( at no cost except tip).We stayed over a Sunday evening, which is typically not a busy time, so that may have contributed to the quiet atmosphere. If the hotel were busier, I could understand how noise might be a problem. Only complaints: The halls are old, very narrow, and need updating. The room carpet was either soiled or worn around the perimeter and torn in several locations, but everything else was quite nice. For the price we paid, it was a definite bargain.	
Jun 2 2009 	Could have been better	I read all the comments on the hotel and I was scared to go there!!!!!The location is great: in front of green park, 10 minutes walking of Piccadilly Circus.The staff is really nice.We were 4 so we had 2 rooms (1 double bed in each).The design was correct but nothing great.The bed was however really bad (too soft on the sides so I kept on falling on the night table... very dangerous)We were on the 5th floor (out of 6).The corridor was very noisy and it was like they were talking in my own room!!!The bathroom was very simple but clean.The breakfast was good.Air conditionner in every rooms but no curtains at the windows......No free internet connectionWe paid 129 £ per night breakfast included in may 2009 so I would say it was a correct quality for the price, but from a Hilton, I was expecting more!!Is Hilton buying many hotels in London in order to be ready for the Olympic Games? I don't know, but fore sure, it wasn't designed to be a Hilton!!!	
May 21 2009 	NOT THE BEST HILTON I HAVE STAYED IN	This hotel is ideally situated for the underground being just a two minute walk from Green Park Underground. However the room was the smallest Hilton room I have slept in and the bed was a tad short for me. I would however like to praise the cleaner as it was always spotless and well presented. Paid for buffet breakfast on one occasion and again slightly dissapointed. I have never had a cooked breakfast without sausages but trust me this is what is in store for you should you avail yourself of the food. Staff were pleasant and helpful. I don't think I would stay here again although I wouldn't put anyone off doing so.	
Apr 29 2009 	Great Hotel	We stayed here for a few days and somehow ended up with a suite. It was great, top floor on the end and plenty of space! There was a living area attached to the sleeping area, a GIANT dressing room, and very large bathroom. We almost had too much space for the amount of time we were actually in the room. There weren't many restuarants nearby so we did have to walk a little for that. Also the tours don't stop at this hotel, so we had to walk to another Hilton that took about ten minutes. As far as the price, it made up for what it lacked in location.. I'm just not sure I'd return to London in December!!	
Apr 25 2009 	Could the rooms be smaller?	Why doesn't Hilton give this property one of its budget brand names -- Hampton Inns, or something -- and stop diminishing the Hilton brand like this? The rooms at this hotel are tiny. My &quot;Diamond&quot; upgraded room could not have been smaller, was not air conditioned (and uncomfortably warm), had paper-thin walls, and overlooked a filfthy vacant lot. Aggressive effort to empty the rooms at check-out time, with maids ignoring the &quot;don not disturb signs.&quot;	
Apr 11 2009	At the right price - a real gem	Stayed here for two nights at the bargain price of £127 for two. It was perfectly situated - close to the shops - reasonable walk to the theatre and very close to Buckingham Palace. Yes, the room was small, but do you really go to a London hotel to stay in the room? And the breakfast, fab and included in the price.	
Apr 6 2009 	Practical Lodging for Business Travellers	This hotel is definately not to be mistaken for a destination. You simply book here to sleep, go to work and eat breakfast. They have no useful amenities and rooms are way to small to be enjoyable. Room service is often left on the lower level hallway for more than 24hrs even though the cleaners pass right by it. For anyone disturbed by small places definately don't book the single room. Most birds nests are bigger. Breakfast served every morning is actually the one highlight. It's a typical english breakfast that most North Americans would delight in. Due to its proximity to entertainment you will find this hotel convenient for short trips after work.We found Picadilly Circus and Oxford Street to be very short walking distances from the Hotel.As for local restuarants we tried two nice places in short walking distance:Le Duca - Italian Restaurant La Boudin Blanc - French RestaurantMost advanced palates would enjoy their offerings. The French Lamb Ratatouille was just amazing.Overall don't plan on spending time in the hotel. Just drop your bags and come back exhausted, so you don't think about your cramped quarters.	
Apr 3 2009 	Nice quiet hotel in convenient location	We stayed briefly for 1 night recently on our visit to London. The hotel is well located for walking around London tourists' spots (e.g. it is very near Buckingham Palace) and for public transport (the nearest tube station was less than 5 minutes' walk away). The hotel is off a side street, so, is quiet at night, which suited us fine. Green Park is over the road from the hotel's street, so, is a pleasant walk in the mornings.Our double room wasn't huge but was adequate and comfortable enough for our needs. Bearing in mind that the hotel is in central London, the size of our room was perfectly acceptable (as we had 2 large suitcases with us). Shower was good with plenty of hot water and there were the usual complimentary refreshments and toileteries in the room. Temperature control in the room was excellent.We had breakfast included in our booking and tried out the buffet breakfast. It was a reasonably decent breakfast, though nothing outstanding (but nothing really bad either!).All in all, no complaints and would not hesitate to come back.	
Mar 28 2009 	Nice Hotel	stayed there over night visiting london for a concert, great location, walkable to all main tourist sites.room was slightly too small but guess thats london, no twins were available but had a nice stay	
Mar 26 2009 	Excellent Location	We stayed here for 2 nights either side of our holiday. It was very central, worked in great for both the Heathrow &amp; Gatwick Express. We walked everywhere easily, it was great. We found this hotel through 'priceline' at £70 odd a night, would not pay much more though! The room was quite small, but it was clean and had a powerful shower. We had no noise in either stay. All staff were lovely. Our booking did not include breakfast (which was very steep), there was a Tesco Metro &amp; Starbucks around the corner which was great.	
Mar 13 2009 	Great location excellent service nice room	The Green Park Hilton is in a fabulous location. It is steps away from the tube, grocery store, Pret and Starbucks. We stayed four days and were very happy with the accommodations. We got a really good deal on Priceline, and it was well worth every penny that we spent. The room, while not huge in size, seemed just right for two of us. The front staff was extremely pleasant and helpful, even letting us check in a bit early. We did not have the breakfast or eat in the restaurant, but they did offer a pre-fixed menu for 19.00 pounds (dinner). We were on the first floor, and apparently right above the lounge/restaurant, and we could hear music play throughout the day and night. It was very faint, but every now and then you could really hear the beat of the music. One thing that was somewhat disappointing was the wireless internet. I website states that the rooms have high-speed internet in the rooms. While there is a box for the internet and you can have wireless, you have to pay for it, and I believe it was approximately 20.00 pounds per day. Or you could buy cards, which we did, and 15 minutes was 5.00 pounds. Quite expensive, although still less expensive than calling home everyday. We would stay at this location again.	
Feb 23 2009	Great hotel -	I just back from the Hilton Green Park and I have nothing but good things to say about this hotel. The first thing to remember is that this nice Hilton, but not glamorous and high-end. If you are looking for that kind of experience, try elsewhere.If you are looking for a hotel that gives great service, nice comfortable rooms (if a bit on the small side), a GREAT breakfast and a location that can’t be beat – this is for you. The Green Park Tube is steps away and so is charming Shepherd’s Market. Oxford St. is a 15 minute stroll as is St. James, Jermyn St. and Piccadilly Circus. I have stayed in a number of hotels in the area and I have found this to a great place to stay. Room G33 was large and had a fold out sofa, flat screen TV but looked out onto the ventilation shaft. There was plenty of light and everything was very comfortable. I must mention Kareem, the concierge and his team. He worked hard for me (last minute reservations etc) and came through with flying colors. This has become my London hotel of choice.	
Feb 13 2009 	Great location - shame about everything else...	I really don’t like writing negative reviews, and although there was no one major problem with this hotel, there were just so many little problems that all added up to making this such a bad stay. I want to make clear that I don’t normally moan, I just cannot believe how bad our stay was in comparison to so many other London hotels, and I wanted to tell our experience honestly.Room: We had a standard room, which in itself was ok – quite small but big enough for two people. It was pretty clean, the bathroom didn’t smell particularly clean but the sheets etc were. The window and the curtains were dirty though. Our room was on the first floor and overlooked some kind or air vent, probably from the kitchen, however was not noisy. But, our first night in the room was awful – there is no a/c and the room was too hot – we had turned the radiator off earlier in the day, but the temperature was still really high. The noise from the corridor was continuous – there was a group on our floor and until 4am there were doors slamming and people screaming in the corridor – several calls to the night reception were in vain – nothing was done.We moved to a room on the 4th floor for the last two nights – even smaller and dirty under the bed – the remains of room service I think! The bed was really hard and uncomfortable. We were awoken on Sunday and Monday morning at 8am by workmen on scaffolding outside our room – no lie in for us!! Not just small noise, heavy crashes and drilling, impossible to sleep through even with earplugs! The hotel is undergoing the installation of air conditioning, and there is work constantly occuring at the hotel.Breakfast: Saturday breakfast was really good, felt organised and under control. There was huge choice and variety and everything was fresh. However, the breakfast on Sunday and Monday was bad – hardly any choice and really poorly stocked. We waited 20 minutes for a table, even though the breakfast room wasn’t even half full – there were not enough staff to serve or clean, and the food did not seem fresh. There were signs in the lifts warning of queues, but the experience I had could have easily been sorted with more organisation and better management.Hotel staff: Generally very friendly, and I feel that many of the problems were out of their control – the hotel management needs to address these issues, not ignore them as I felt was happening.I booked a long weekend for a romantic getaway, not just a sightseeing weekend, and so I guess I expected/wanted more from my room than many tourists would. It is in a great location, so if you will be out all day and only sleeping in the hotel, this is a good base.However. I have stayed in many Hiltons before, and this one was by far the worst – a real embarrassment for a London hotel, and a very poor example of Hilton as a brand. It did not live up to expectations, and I really don’t feel that it deserves its 4* rating. I left my trip feeling really disappointed and having a poor view of Hilton – this hotel could be so good but at the moment it is not – there are better hotels for the same money and I would not recommend this hotel for any London visit.	
Feb 11 2009 	Cant beat this hotel!	Just come back from London, stayed at the Hilton, it was fantastic!Staff were really friendly, couldn't do enough for us, polite, pleasent and really helpful. The rooms were really nice, clean, and very well stocked. Didn't need to take anything apart from your clothes, and maybe your straightners! They provided shampoo, conditioner, shower gel, soap, handwash, hand cream, shower cap, flannels, towels, hairdryer, tea, coffee, hot chocolate, biscuits, all free of charge. It was fab!Breakfast was provided in the morning which was really nice. You could have full english, cereal, cakes, toast, yougurts, fruit, almost anything.The location of the hotel was ideal, 2 stops away from Victoria Station on the tube. Close to most things, Big Ben, Houses of Parliment, Buckingham Palace, Oxford street , Knightsbridge. Only 2 or 3 stops on the tube to all of these places. Went to the O2 arena, the train went straight from Green Park to the O2 without changing. Didn't need to use taxi's all weekend.Cant say enough good things about this hotel, i WILL be going back! No doubt about it!	
Jan 29 2009 	Great location competent hotel good overall value	Small hotel in converted townhouses. Not many facilities. Reasonable rooms. Great location and nothing to complain about	
Jan 28 2009 	cosy and friendly hotel	This is a small, friendly, cosy hotel situated in a side street just off Picadilly which means that it is exceptionally quiet for a hotel set in the heart of London. We had a room at the front and were not even disturbed by traffic noise. Staff and service excellent. Comfortable rooms and beds. Excellent breakfast. However, evening dinner in the restaurant leaves a lot to be desired. The crab and avocado tower was wet and tasteless, the teryaki beef overdone and the beef was tough. Such a shame as the restaurant itself is comfortable and the decor and table arrangement good. Very few guests appear to have their evening meal here. We stayed 3 nights on honour reward points. It is disappointing that there is no executive lounge for honours guests. Also no bathrobe or complimentary slippers provided. Surprising as the number of points used were the same as for a stay at the Waldorf or Park Lane Hilton.	
Jan 28 2009 	Small but comfortable rooms good location easy Tube access to Heathrow	I needed an inexpensive place to stay for one night, with easy access to Heathrow to catch a morning flight to the US. Of course, I could have picked an airport hotel, but what fun would that be?So instead, I picked the London Hilton Green Park. They offered a January sale rate of about GBP 55 including breakfast for a single room on a Saturday night, which was a steal for a central London location.With easy access to the Green Park Piccadilly Tube line station I had a very easy connection to London Heathrow for only about GBP 5 or so. Not very fast (about 1 hr) and not great if you have a lot of luggage, but since I didn't have to transfer and the hotel was literally a five minute walk from the station, pretty convenient.As described in other reviews, the Hilton Green Park is a row of old houses that are turned into a small hotel. Because of this, the hotel corridors are full of steps and stairs, so not great if you have difficulties walking - in that case, ask for a room that is easily accessible. I booked a single room, which was just that. A small room with single bed with duvet, a private bathroom with combined bathtub and shower, a small work desk, flat screen TV. The room featured a safe and paid Internet access. I was on the fourth floor and had a view of the roof tops towards Shepherds Market. The windows slide up for fresh air. I did not notice an airconditioning unit or vent - so that would be something to check out before you stay in the summer! Overall, the room was comfortable enough for my short stay. Possibly because I am a Hilton HHonors silver member, there was a bottle of still water waiting for me - but no glass, and the bottle was unceremoniously plonked on the side table.The reception staff were friendly but not overly service oriented and seemed to be checking in a lot of weekend guests at this low rate. The breakfast buffet was very nice. Good selection, and because I was early on a Sunday morning, not too busy. (There were signs in the lift to state that the hotel expected the breakfast to be really busy and they therefore extended the opening hours of the buffet.)The location is good: easy access to Green Park station and the buses on Piccadilly. The Shepherds Market restaurants and bars are right behind the hotel as well, so quite a few not-so-touristy dining options. There is a Tesco Express mini-supermarket nearby too and a Marks and Spencers Express above the Green Park station, if you want to buy something to eat or drink in you room. You are about a 10 minute walk from Bond Street, the Burlington Arcade and across Green Park from Buckingham Palace. Hyde Park is about a 15 minute walk.I probably would not rate this hotel a four-star, or particularly suited for business travel, but would stay here again if the price was right.All in all, if you don't expect luxury, but you want a comfortable, reliable room in a good location, this is a good hotel.	
Jan 26 2009 	A fair deal	Excellent location. Quiet, yet very central, in the heart of Maifair London. Around 10 minutes walk to some of London's main attractions, such as: Piccadilly Circus, Oxford Street, Buckingham Palace or Knightsbridge (Harrods). Two minutes walk to Green Park subway station. This 4 stars hotel is located in an old building, but is pretty well maintained. Those who are expecting top standards might be a little dissapointed, as the hotel is a bit below Hilton's usual standards, but it is definitely above average standards for Central London, at this price (around 160 GBP / double room / night). Room was small, but clean, with a nice and well equipped bathroom (we had a standard double roon, with qeen size bed) The main problem was that we could actually hear the people walking in the room above us (it sounded like an old wooden celing...). Excellent hotel stuff, friendly and helpful. V|ery good English breakfast (5 star standard, at a 4 star hotel). Hotel is not cheap, but overall the rate seems fair, given the location. A possible problem for those traveling during the summer period might be the air conditioning, which did not work at the time of our stay (there was an &lt;out of service&gt; label on the air condition switch on the wall). Just double check before booking. I would recommend this hotel for those looking for a perfect location in Central London, with good service standards, at an almost fair price (given the air conditioner is working...)	
Jan 23 2009 	Let down by the standard of the room	Good location, helpful staff and good standard of breakfast. However the room was not up to 4 star standard. The carpet was dirty on the edge all round, the window would not shut, the heating could not be controlled, the standard lamp did not work and the decoration was marked. There was a letter in the room that referred to an imminent refurbishment programme. Yes we had booked on a good deal, but there remains the suspicion that we were given a poor quality room as bargain customers - not the way to get repeat business.	
Dec 14 2008 	Great location good hotel - excellent value	The Hilton Green Park is a nice hotel that is right in the center of everything - steps from the green park tube station - on a side street in mayfair and doesn't look like your generic hotel. It is quite reasonable in cost and has all the services one needs. The rooms are smallish but more than sufficient - the bar is nice and there are oodles of restaurants right in the neighborhood, if you don't want to eat there. The staff is very curtious. To me this is the perfect london hotel... When there it is my home away from home.	
