	This the budget hotel that you need	The hotel is located in the very center of the London. It allows easy access to the main objectives, via bus or via underground.We arrived late and first impression in the lobby was of &quot;no frills&quot;.Room was very clean and it was kept like this for the whole 5 days of our staying: 5+ stars for the maintenance staff. Furniture was simple and practical and it fitted well with the neo style. Very comfortable bed, moderate size room for 2 ppl maximum (considering European standards, though an american might find it small, but nonetheless tiny); small bathroom, but not claustrophobic :). Because one has so many things to do in London and won't spend days in the hotel room, I feel this is really a minor thing. Great staff both at reception and also at the restaurant / breakfast room. Also maintenance stuff was very friendly and they did a great job.Very good breakfast for the price (with enough options like: English breakfast, fruits, French croissants, cereals, several varieties of tea &amp; coffee, etc). Some vegetables could be added to really make a difference. We stayed for 5 days and we had enough morning options not to feel bored :)I really recommend this hotel, it will be my first choice when visiting again London.Big price difference between online and lobby quote: book online, you might be able to stay up to 50% more days.	
Aug 22 2009 	Very Handy Location	We were only in London for a few days, so didn't need to be close to everything. There is a tube station just across the road and it's only a short trip into the middle of town. The main reason we chose the hotel is because the Jack The Ripper Tour is run nearby, and most related sites are within a short walk of the hotel.The buffet breakfast was good (extra cost but good value) but get there early to make sure you get a seat and don't have to queue for too long. The rooms are small but comfortable, which is pretty standard for both Ibis and London. The nearby &quot;markets&quot; that get such a good review in Lonely Planet are NOT worth wasting your time on - go see something you definitely want to see, rather than hope to find something of value.	
Aug 17 2009 	Better than it looks	Stayed here for a Saturday night whilst visiting O2 dome and friends in Camden. Handily located about 10 minutes from Aldgate station. Rooms were £75 including breakfast which was much cheaper than other hotels. Some major work going on at Aldgate East tube station meant that there was a lot of scaffolding outside but once past this the hotel was OK, standard Ibis fare. Rooms were reasonably roomy and bathrooms were slightly strange &quot;pods&quot; but OK. Don't be put off by the immediate locale which isn't too inviting. The hotel is 5 - 10 minutes walk from Spitalfields Market which is really nice.	
Aug 10 2009 	Great hotel - Value for money	We stayed at the IBIS London City for four nights in July. The overall impression is that this is good value for money. The room was clean and functional for our needs - which was to sleep and relax our feet after hours (and hours) with shopping.Service was very good. One of the lamps in our room didn't work, but this was fixed immediately when we told the receptionist. The hotel guarantees to fix any problems with the room within 15 minutes, and they did (in our case),At one occasion we had a bit of trouble to communicate with the receptionist, as we tried to make him reconfirm a reservation at a restaurant. As none of us were native English speakers, I ended up calling them myself from my cellphone. Location is okay for this price. The Aldgate East station is only a few meters from the hotel entrance, and 20 minutes on the subway gets you about anywhere in central London.Breakfast is good, but do NOT eat dinner at the hotel restaurant. The food is not very tasty, and the glasses and cutlery is not clean. All in all this is a great hotel.	
Aug 5 2009 	Typically good IBIS	Great location, right next to Aldgate East tube (and only 5 mins walk from Aldgate). Not too much to see in this area but only 10 mins tube away from the City and the West End.Rooms typically clean, fairly basic, IBIS standard - all perfectly adequate.The staff are very helpful, and the bar has a good atmosphere; the prices are reasonable too!All in all a good place to stay for a weekend in town.Only thing I've noticed is the IBIS don't provide a hair dryer which has always struck me as odd. It doesn't bother me but my wife always comments on this.	
Jul 30 2009 	Excellent Value for London	This is just your typical standard Ibis - you could be anywhere in the world, but it offers excellent value and a comfortable room in a great location. It couldn't be handier for Aldgate East tube station, and is an pleasant 20min walk past the Gherkin and the City to St. Paul's. An excellent option for those on a budget. Only real downside is, like lots of the more modern Ibis hotels, it has one of those Pod type bathrooms in the room - not good if you are sharing a room!	
Jul 19 2009 	Perfect location but away from the crowds.	Just back from my fifth stay at this super hotel. Many years ago, this location would have been frowned upon - just outside the City of London and too far east - but now the area is thriving and has much to offer tourists. If you want a curry in Brick Lane or to go on a Jack the Ripper guided walk, this hotel is ideally suited. Indeed, due to its location close to tube and bus routes. most parts of London are no more than 30 minutes away. The rooms are clean and functional and I've never been bothered by any noise. Breakfast is great value. That said, prices have crept up since I first stayed here two Summers ago and this weekend I paid £35 a night more than two years ago. Adding another tenner for internet access and the hotel, sadly, starts losing its reputation for being value for money.	
Jun 8 2009 	Pretty good	Stayed 4 nights in Ibis London City and liked it a lot!Very basic but clean and comfortable.Very good location. Just around the corner you find Aldgate East tube station.I thought breakfast was good and had plenty of choice but I don't eat much so... I had a drink at the bar late at night and the waiter was nice and friendly. It's good to know that you can always have something to eat or drink late at night.The bathrom was almost spotlessly clean. A couple hairs in the shower.Overall, I think it is the perfect hotel if you are on a budget.	
May 29 2009 	Value for Money - Come on!	Stay: 17-20 May 2009Room: 544Total amount: $220.5 GBP (not include breakfast extra: 5.5 /per person)1) I arrived the hotel at 09:30 a bit earlier than the usual check-in time (12:00). So I left luggage at hotel without cost. They proceed very fast and helpful. So I went out to eat breakfast nearby restaurant, it costs me 6.5GBP/per person, no drink included. the beacon is very salty.2) Return to hotel about 12:00, check-in ok. Firstly, I borrow a hair-dryer from reception, ok.3) I read lots of comments about this hotel. So I check any bugs on bed. No, I cannot find one. The room is clean and everythings is ok.4) Breakfast 5.5GBP all you can eat is absolutely value for money. I eat breakfast in hotel everyday.5) People is very nice and helpful.6) Someone complained about the siren sound. Yup, I definitely hear that but it's not as large as you think. If you walk around london whole day long, drag your tired body back to the hotel, I promised it would bother you much.7) Bathroom, it can shower 2 person at the same time. It's ok!Weakness:1) The toilet paper is not clean. I read someone comment about this. So I already bring my own. I never use the hotel toilet paper.2) The receptionist need to train more about the direction. They point me out to the wrong tube station of the famous location london eye. Man, how's that possible.3) Breakfast only have 2 kinds of meat.Transportation:Just next to Aldgate East station and 5 mins walk to the Aldgate station and 10 mins walk to livepool station.Overall:I stayed in ibis London city, Bristol hotel in Frankfurt, Best western in Paris before writing this comment.Do you ask me is Ibis london city value for money after I compared all the above europe hotels I stayed in this trip.I swear Ibis london city is absolutely value for money.	
May 10 2009 	Very pleased!	I stayed 3 nights at the Ibis, London City Hotel. In fact, celebrating my 60th birthday in London. The location is perfect, not far from London Liverpool and Spitalfieds. Buses just round the corner. Welcoming staff and helpful all through our visit. Room very nice - colours for a change. Bathroom very practical. Breakfast was plentiful and way far from &quot;continental&quot;. Very nice bar as well and the restaurant you could relax in at night. We go to London at least once a year and Ibis City will be our choice. Budget hotels are way behind this! I also contacted on a matter, before my visit, the manager and was addressed in the most kind way. I wish to thank you Ibis London once again! Hans from Sweden.	
Apr 29 2009 	Nice room helpful staff but nothing extraodinary	I stayed at this hotel for 9 nights. Due to the nature of my trip I literally didn't spend any time in my room, I only slept there so I really didn't use any of the facilities. Room is pretty basic but nice and well-kept and of adequate size, there is room service every day including on weekends. A no-frills hotel though, there is no hairdryer in the rooms for example and you need to borrow one from reception, also you need to pay for the TV and the internet in the rooms and rates at the time were £9.99 for 24h which may be considered expensive by some. Also there aren't any toiletries provided, just a soap flake and some very basic shampoo that I wouldn't recommend, better bring your own. Room was quiet but a bit too cold though so I wouldn't recommend this place if you were to go there in the winter. Also the location is a bit of a downside because even though it says City, the hotel is actually located right next to the Tower Hamlets. On the other hand it is very conveniently located right next to Aldgate East Station which is a plus. Staff were also very helpful and I didn't have any problems with them. I would recommend the hotel if you manage to book it at a fair price.	
Apr 11 2009 	Good stay	On my business trip to London in January, I stayed at this hotel. Since this hotel is very close to my office, it suited me just fine. Also, there are couple of tube stations adjacent to this hotel, which makes it easier to travel to other parts of London. There are Tesco and Cost Cutter shops very near to it, nice pubs and restros as well. The hotel itself have a French restro-bar.The rooms were baic, but clean. The bathroom was good and spacious. The TV have basic channels unless you get the multimedia package (for a fees). The rooms have iron (but no iron board), a coffee maker, but no hair dryer. The only thing missing is the Internet. You need to pay for it if you want to use the Internet from your room (both DSL and wifi). If you dont have a laptop ... the hotel have couple of internet desktops near the reception area.The staff is usually French .... but nice and helpful. Overall the hotel was value for money and I would recommend it if you are looking for a good place to stay at affordable rates.	
Mar 27 2009 	Bed Bugs – Disgusting experience at the Ibis	I stayed a the Ibis hotel on 2nd Feb, I have stayed here before without incident but my experience on that night means I’ll never set foot in any Ibis hotel ever again.After a tiring day on a training course I got to my room and crashed out on the bed until about 9.30pm when I woke up I felt something crawling in my hair. I brushed it with my hand and a small insect fell onto the bed. I crushed it and a lot of blood came out of it (I didn’t know at that time that that was MY blood). Then I felt something else crawling in my hair as I shook my head several more of these insects fell on the bed. I jumped up in disbelief and lifted the pillow to see more of these creatures scurry for cover. I rang reception and told them that I wanted a different room because there was some kind of infestation in my room. They told me that they couldn’t give me another room because they were fully booked. I was pretty insistent with them at this point and they said they’d call me back. Fifteen minutes later reception called me and said someone would be up with another room key. After a while a security man turned up at the door, handed me another room key and demanded the key to the room I was in. I told him I hadn’t packed, so he said just drop it at reception and went to leave. I was pretty amazed that the Manager hadn’t come up. I said to the security man, don’t you even want to see this, he reluctantly came into the room but was quite horrified by the bugs crawling around on the bed. I gathered my belongings pretty much still phased by the experience and got in the lift to my new room. There were a couple of women in the lift and, as you do, you look toward the floor where I thought I noticed something crawling on my scarf. I looked more closely and there were some of these bugs on there. I crushed them, I don’t know if the women noticed but I wanted the ground to open up and swallow me I felt so dirty and grimy.When I got in my new room I took all my clothes and shook them in the shower, and then showered myself – several times.Then I went down to reception to ask to speak to the manager, but had to speak to the duty manager instead.Now this is where it really get’s disturbing. She didn’t act in any way like this was an out-of-the-ordinary event. She said sorry and said that I didn’t have to pay for my room but far from being shocked at my experience acted like it was an everyday matter. I asked to speak to the manager and she said I’d have to come back in the morning.I didn’t sleep much that night, I could still feel those things crawling all over me.I went to reception in the morning and asked to speak to the manger but amazingly he had the same attitude. Apologetic, but not surprised by my experience. He offered me a free weekend at the hotel with my wife!!!! Really! Would you take someone you care about back to that!?I can’t begin to tell you how grimy and disgusting this experience made me feel. I have been unable to write about this until now and even now it is making my skin crawl. To this day whenever I feel a slight itch I look down because I still feel those things crawling on me.I would save yourselves this grim experience.	
Mar 17 2009 	Good value for money	I recently stayed at Ibis London City as I was attending an Event in London. I was traveling on my own and wanted to make sure I felt safe, which I did.I booked through lastminute.com £75. Check-in wasn't until 3pm, however, I arrived early to do some sight seeing. I intended on going into the hotel to see if there was a secure room for my luggage to stay in while I was touring around London (I didn't want to be having to lugg it around with me) however, I was able to check in early which meant I could put it straight into my room.The room was very modern, clean, tidy and spacious good for two people - it was a double room but had a very decent sized bed, queen I think. It contained a LCD TV of a decent size, it costs to watch but you can get access from £1.99 -£5.99 depending on what you are after. Internet through the TV with wireless keyboard was also available from £3 per hour. You could also have the option of accessing the internet from your Laptop for £4.95 per hour or £9.99 for 24 hours.There was also a iPod connection so you could play your music through the TV speakers, I was able to use my mobile as I had the right connection chord, this was good and it didn't cost extra money.There was a full length mirror, and a decent sized wardrobe, along with a desk and bench/lounge with cushion. Tea and Coffee facilities and a telephone with a leaflet about call rates. It was a security card entrance to the room which made it a lot easier to carry around rather than a key. The bathroom had a good size shower and a shampoo/shower gel dispenser. The water pressure was fantastic.The view from the room, well, there wasn't one, it just looked onto the back of other buildings, however, I didn't book here to get a nice view, I booked for comfort, which is what I got. I'm wasn't aware of any outside noise so it was a peaceful sleep, the bed a little hard but fairly comfortable.I found the staff at the reception desk very pleasant and helpful, as was the host in the restaurant for the buffet breakfast. The buffet breakfast was an extra £5.50 on top of the room, however, there was a really good spread, breads, cereals, fruit, yogurts, fruit juices, tea and coffee etc. They even had an option for people who had to leave early, a breakfast served from 4:30am to 6:30am I think.Even though I didn't go to the Restaurant for dinner, the menu was well priced, Starters from £3.75 and a Steak as a main £16. You could also opt for a 2 or 3 course set menu at £11.50 and £15.50 respectively. The children's menu had food such as nuggets and chips and was priced at £5.80 ( I thought that was a bit steep for a child's meal, but as I haven't any children I am not sure what the 'go' is).As I was traveling on my own I wanted to make sure I felt safe and that I was in good hands, the Ibis London City ticked all the boxes for me and I look forward to staying there again.	
Mar 4 2009 	Cheap clean and comfortable	Assuming that when you visit London, all you're really looking for is a relatively affordable, basic place to stay, this will do just fine. The hotel itself is pretty small as are the rooms and the only restaurant is pretty poor. However, as the hotel was just a base it was more than sufficient. located right next to a tube station (aldgate east) with a nice bathroom, clean room, and half-decent tv. 2 of us were there for new year's eve and got an amazing deal! 100 pounds for new year's eve and even less for the night's surrounding it which blew away the competition. Definitely would recommend for a nice, safe, convenient base in London.	
Mar 3 2009 	Hassle free stay in London - absoutely no complaints I will be back !	Took me 3 weeks to find a nice hotel reasonable enough for London as hotels are expensive and after reading previous reviews for the Ibis in L.City all positive I decided to book it for a long w/end with my boyfriend. I can now report back that I agree with all of them - the hotel was gr8 Ibis standards &amp; staff so helpful -got to check in early as the room was ready total bonus as we had an early flight, location only 2 mins walk to Aldgate East Station, which ended up being closed for 2 days which didn't matter much as we used Liverpool St. Station which is approx 8 mins away. Accessible to all sites by the tube 10 min journey or less. There is plenty of bars &amp; restaurants nearby to choose from after sightseeing &amp; a Bar in Hotel. The Double room was spotless and compact for 2 with plenty of storage &amp; and large Power Shower was a bonus. Our room was to the back rather than facing the street so there wasn't a sound. On departure we left our bags with reception to do a spot of shopping as we had a later flight. Can't recommend enough my 1st trip to London in years - hassle free, quiet at night condsidering its size &amp; being fully booked, friendly staff, great location - I will be back.	
Jan 8 2009 	Excellent!	My fiance and I have just returned from a 3 day stay at the Ibis London City and it is probably one of the best hotels we have stayed in, in terms of quality all round. We got it for an excellent rate of just £49 per night, an amazing price really for an inner city london hotel. The nearest tube station is aldgate east, literally a 20 second walk from the hotel entrance (just turn right). We didnt bother with the hotel breakfast as we preferred to eat on the move, theres a great bakery just past the tube station perfect if you just want something light. However the hotel breakfast seems reasonable at £5.50, with a good buffet selection. The room itself was large, clean, and very stylishly decorated. very comfy bed too! Also opted to have a drink in the bar one evening followed by dinner in the french themed restaurant, both excellent with 5 star service from the staff. Would not hesistate to stay at this hotel again!	
Jan 1 2009 	the right choice	A good hotel for London; adequate price to be in zone 1, good cleaniness and helpful staff, as always in Ibis. The Underground station (Aldgate East) is right under the hotel and you can be downtown in 15 minutes. Surroundigs very safe.	
Dec 29 2008 	Very good option	We had a good experience in our stay in Ibis London City. We are not quite in position to compare it with other hotels in London as it was our first visit to this city, but in the general sense everything was smooth: helpful personel, clean nice room (check the pictures), nice breakfast, good location (just in front of the metro stop) and the price seems extremely suitable for London standards. One minor point would the small size of the breakfast hall, but it didn't really annoy us even when it was rather crowded. One useful tip could be avoiding the &quot;late riser's breakfast&quot; as it is simply the remaining stuff from the normal breakfast.	
Dec 25 2008 	Great Hotel!	Our plane arrived at 7:30 am and we arrived at our hotel at 8:30 am. They had a room available so they let us check-in early. We paid £5 per person for the buffet breakfast which was really nice and then went sightseeing. Our room was small but clean. You probably would not want to have more than two people per room. The hotel also has a baggage closet to hold your luggage when you stay there. This was valuable on the day we checked out. We were told the luggage room fills up early so it's better to go ahead and check out in the morning at breakfast and put your luggage in the closet then.The location was excellent, right next to the tube. This hotel is a great value.	
Dec 17 2008 	Fab Place - a no hassle stay	From check in to check out this was a fab place to stay. Really friendly reception staff, chatty and smiley. Easy check in even with large group checking in at same time. Check out the same and excellent left luggage service.The room was a good size with a large comfy bed and a pod style bathroom with a great power shower. Also had an LCD TV with a good range of channels. Tea &amp; coffee making facility available. We found that there was some traffic noise through the night but the hotel is almost on a major road junction, so expected.We booked the hotel well in advance and got a fantastic 3 night long weekend rate of £59.25 a night!! Didn't have breakfast as there is a Wetherspoons about 5 mins walk away. There are places to eat &amp; drink all around the hotel area. Area can seem a bit off the beaten track but you can use Aldgate East, Aldgate, Liverpool St &amp; Tower Hill tube stations all within 15 mins walk. We found getting to all areas of the city easily accessible.We will definitely look to stay here again.Have stayed in a few London hotels but not any as easy going as this one.	
Dec 6 2008 	Average Hotel	Stayed here for 2 days on a business trip and was a little disapppointed overall. The hotel is directly next to Aldgate East tube station on a very busy road which must be near a hospital because the sound of sirens is unavoidable and goes on all night.The rooms are OK, the beds are comfortable and whilst a little unusual, the shower pods are quite good.The food was average, with pretty basic evening meals and a standard continental breakfast. I know this is a French hotel chain, but staying in London I would have expected a hot breakfast but this was not to be.I have recently stayed at a Premier Travell Inn which was superior in almost all respects.	
Nov 26 2008 	Reasonable place to stay in London	I stayed here for one night when attending a conference around the corner in London Metropolitan University.I've stayed in Ibis hotels before &amp; generally regard them as reasonable for a short stay - a bit lacking in character but perfectly adequate.This was fine - room was OK with a rather odd bathroom 'pod' ! I was a bit annoyed by lack of hairdryer which I've come to expect as standard in hotel rooms but not a major issue.The breakfast was a bit basic - I expected a wider choice of continental items for the £5.50 charged.I also used the restuarant in the evening - it advertised itself as a French restuarant &amp; it really was, with many French speaking people using it. Food good &amp; not over expensive.As a (older) woman on my own I found it a good place to stay &amp; though the neighbourhood isn't one I would have chosen but for the proximity of the conference, it was convenient &amp; very near the tube.	
Nov 23 2008 	Good Value	For a 2 star hotel located within the city of London you cant go far better than staying here, the welcome you receive is excellent and the hotel immediately feels warm and comfortable,It is located around the corner from Aldgate East, so quick links to St Pancras, West End, City, Docklands, so a great locationRooms were clean and shower was excellent, sampled the breakfast buffet which considering two days before I paid £14.95 in the holiday inn, £5.50 is a bargain and it is all you can eat.stay here and you will not regret it!!	
Nov 4 2008 	Last place to stay in London	I stayed in this hotel for three nights in August 2008. When I arrived, it appeared that no non-smoking rooms were immediately available, but they promised one starting from the second night. I had to live with it since I was not sure myself whether I had requested one at the time of booking. The next day I was given a non-smoking room which, however, had such a stench of chlorine that I began to wonder whether tobacco smell of my first room was not nicer after all. There was no hairdryer in the room but they were supposed to be available at the front desk. When I asked for one in the evening, it appeared that they were all gone and I was able to get hold of one only the next morning. The towels were different shades of white, yellow and grey and pillow cases had dark stains, so I had to ask to replace them. On one of the days the cleaner merely forgot to replace the towels (she took away those left on the floor but forgot to provide new ones) as well as to wash the cups in the room and to replenish tea bags. I had to ask for that specifically too. At the check-out I was requested to produce the hairdryer which I had naturally left in my room. The explanation to this effect did not help and I had to go back to the fifth floor and return to the reception with the ultimate evidence that I had not packed the hairdryer in my suitcase by accident. On top of everything, when I asked them to store my luggage for several hours until my departure from London (it was one small bag acceptable for cabin luggage), they said that their luggage rooms were full, they absolutely could not put my bag under the reception desk either and they had no other place to put it. They could not do better than suggest to me to walk to the Liverpool Street Station and check it in the luggage room there for 6 pounds. Definitely the last place I will ever stay again in London. OK, it is cheap, but it is worth paying more rather than staying in a dirty stinky hotel with poor service.	
Nov 3 2008 	good value hotel	The hotel is very well placed , being around the corner from Aldgate East tube and a few minutes walk from Aldgate. Staff are friendly and helpful, the rooms are not huge but clean and modern with a shower. There are often weekend deals on the price. Its worth exploring the Spitalfields area nearby which is very historic with successive migrations over the past two centuries from Huguenots, Jews and Bangladeshis. The bagels from the all-night Beigel shop on Brick Lane are great. We ate at Kasturi restaurant on Aldgate High Street. which was good. We also ate pizzas at the Story Deli and a vegan meal at the Rootmaster restaurant in an old double-decker, both in the old brewery complex on Brick Lane.	
Nov 1 2008 	Not bad!	This hotel was good for the price. The reception staff were very helpful and accommodating with all my requests and I asked for a room on the quiet side of the hotel which they honoured. There's a lot of building work around the hotel so looks from the outside aren't good but inside the rooms are very spacious, including big egg shaped bathrooms! The room was quiet, the bed was big and although it's right next to Aldgate East tube station I couldn't hear any trains.	
Aug 21 2008 	Good and Close to Metro	I'm used to Ibis Hotel formula, it's practical, clean, and a good breakfast.In this case, the metro station is just across street and the London bridge is really close like 10 min walking.I get a good weekend deal, It was 75£ night, for London with this quality is impossible to find better.	
Aug 18 2008 	exceptionally helpful staff- great value!	I trawled Tripadvisor at length looking for the impossible, a clean, safe, affordable, centrally located hotel where I could bring 5 teenage girls on a birthday celebration weekend. We wanted to shop, sight-see and visit the theatre on a hot august weekend. We arrived in Liverpool St from Stansted and were only one stop away from Aldgate East tube station. The hotel was right next door to the tube station so NO lugging cases. Check-in was smooth and efficient and the birthday girl was wished a happy birthday! Our rooms were side by side, i-pods could be played through speakers, the beds were spacious and comfortable. the capsule bathrooms were funky. Noise did not travel between rooms and a kettle was on hand for a cup of tea. Our requests for extra towels, hair-dryers, taxis were all given promptly with a smile. We ate breakfast both mornings in the restaurant. receptionist had a lovely sunny disposition. Waiting staff here were efficient but in short supply. Breakfast was buffet style and served til midday. the food was plentiful and so fresh. It cost £5.50 and was worth every penny. The evening menu looked attractive but we didn't get to sample it. Our check out was worrying as we had 8 cases and a day's sight-seeing planned. the luggage room was completely full but our receptionist made no fuss about leaving one room available to store our cases til 6pm. On two occasions the girls left valuable personal items in taxis and once again, the fantastic reception staff went to a lot of trouble to assist us and we got both items back. incredible! The bar was inviting looking, not with this group, but they provided me with my much-needed night-cap to bring to the room. priceless.!I got above and beyond what I expected when I booked this hotel, a very pleasant stay.	
Jul 8 2008 	Amazing hotel with pure quality	In June me and my partner stayed in London for a few days,we wanted to stay at this hotel because of its location.The hotel was of a high standed and I must say that I never found anything to complain about,the room was quiet,clean and very inviting.The hotel bar is very welcoming and smart,the whole weekend was enjoyable and we hope to return to this rather pleasant hotel again in the near future.	
Jul 5 2008 	Very average hotel	Location was great - just literally around the corner from Aldgate East station. The whole London city is actually walkable from here if you want to save money not using the tube. Room, however - bathroom smelled of sewerage sometimes when people in other rooms flushed, room was very very basic, and price was a bit high for the basic amenities in the room. Reception staff very helpful. I emailed them after I checked out and got a reply straight away.	
Jun 25 2008 	Great hotel	This is a great hotel to stay at. Rooms are just the right size (not the British size), clean, modern furniture, bathroom is spotlessly clean, room and bathroom are cleaned on a daily basis. Staff working at the reception are very helpfull (there was a French guy at the time we were at the hotel - very polite). Hotel is within the 1st underground zone, the Aldergate tube station is just around the corner, Brik Lane market is 100 meters from the hotel. Strongly recommend this hotel!	
Jun 9 2008 	Excellent value for money	Stayed at the Ibis for one night only on a Sunday. The hotel was easy to find, right next to a Aldgate East underground station. The adjoining area is not the most glamorous part of London, however it is convenient to the City, safe, and lively enough with bars, pubs and restaurants not far away. A good taste of &quot;real&quot; London! The check-in staff were extremely friendly, welcoming and helpful and gave me a quiet double room at the back of the hotel which was quite large, very clean and cheerfully decorated. Facilities are not luxurious, but it has all that you might need from a quick stopover for tourist or business purposes. Later on had a few drinks at the bar (open 24 hours) and a pretty good dinner for a reasonable price at their French restaurant. About 80% of the staff were French, and guests were a mixture of Portuguese, French and Spanish. All-in-all a great place offering exceptional value for money. I will definitely be making this my accommodation of choice for business trips in the future.	
May 24 2008 	Good hotel great location staff not so good	Clean, nice hotel. Great location, close to Aldagate Eat Tube Station. It is a modern hotel, rooms are clean, well maintain, although the bathroom reminds me of the ones in a cruise ship because they are small. The rooms does not have hair blower, not even a piece of paper to write notes. Breakfast is not so good, cold eggs, cold bread, good coffee and juice. Spanish speaking staff is not so friendly, I call reception for help to make an international phone call and all I get is &quot;I don't know&quot;. I have a problem with an additional night I booked, hotel staff blame the agency and did not help me, last day I have to leave without eating breakfast.	
May 23 2008 	Good clean basic room. Breakfast good value	My wife and I stayed for two nights to go to The Sound of Music.Hotel very accessible, just round the corner from Aldgate East underground station and journey takes about 20 mins to Picadilly Circus.We got a day pass which cost £5.30 and allowed us to travel off peak in Zones 1 and 2. (We started our first journey at 10.00am and ticket could be used all of the remainder of the day.)Room and ensuite shower were basic but clean and practical with tea and coffee making facilities and TV.The buffet breakfast was good. We didn't have a meal in restaurant but had an enjoyable evening drink in the bar. We would return.	
