	Excellent Value for Money!	This hotel is ideally located with Kings Cross Station and underground on your doorstep. You can easily walk from Euston station too as it is a mere 10 minutes along the road. Also note that there is a burger king next to it (makes it a lot easier to find). The rooms itself are lovely and maintained to a very high standard. All rooms come with free tv and internet(via the tv) and each morning you are supplied with a newspaper of your choice which is also a nice touch. The bed's are very comfortable and the shower is excellent. Only slight problem was the heat of the room which was soon solved by asking reception to turn on the air conditioning. They also have a luggage room which is very handy if you have late flight/train. I would definitely recommend this hotel as it also has a Starbucks, Costa and Tesco nearby.	
Oct 5 2009 	Great rooms great location (for this part of London)	I stayed in a triple room with my parents (in their 70s) for one night and found this hotel great. My bed was a fold down one which appeared out of one of the wardrobes - I thought these only existed in the cartoons and kept thinking my bed would shoot me back up against the wall. It was actually quite comfortable.From a location point of view it was great - we flew in to Gatwick and a train brought us straight to St Pancras right across the road. The next day we got a Eurostar from St Pancras, so there was no long walk around London trying to find the hotel.The front door of the hotel is right beside an entrance to Kings Cross/St Pancras tube station so you could almost get to the hotel from the train without getting wet.As mentioned elsewhere the showers are very good - big heads and a good flow of hot water. One little problem was that in the absence of any sort of barrier the water from the shower had a habit of flooding the bathroom floor.Breakfast was included in our room rate - but note it is only the continental breakfast. We went for parts of the full breakfast. Food was very good and relatively good value. I would go for the full breakfast again. It was served in the main restaurant downstairs which is open to the public in the evening.Check-in and check-out were smooth and there were no problems there. The hotel bar is open 24 hours I think. It's a nice comfortable place to while away some time while waiting for others to get ready.The area around has plenty of old-school hotels but I would definitely return here. I tried to book direct with the hotel but they quoted the full rate. When I checked the rate on some of the online engines I got a much better rate.	
Oct 1 2009 	Very impressed with room less so with staff	My room at the Megaro was supremely clean, comfortable and spacious, with many useful amenities such as flat-screen TV (with lots of channels and free Internet access), mini-fridge (with free water and milk), and espresso machine. Décor was modern and streamlined, closet and drawer space were ample, and the bed was supremely comfortable. The bathroom, which was spacious and extremely clean, had one of the best showers I’ve ever used, as well as an inviting full-sized bathtub. If I were rating the Megaro on the quality of the room alone, I’d give it 5 stars. One security feature I really appreciated was that access to the lift and stairs required use of a room key, so random people couldn’t just walk in off the street and roam through the hotel. Except for the excellent housekeeping staff, service at the Megaro doesn’t measure up to the same stellar standard as the accommodation. The young man who checked me in was curt and uncommunicative almost to the point of rudeness. No greeting, no volunteering of any information. When asked a direct question, he’d answer it grudgingly, as briefly as possible. Fortunately, not all the staff was as sullen as this unpromising specimen; during my four-day stay, some of the young women who worked at the front desk showed that they knew how to smile and say hello to guests who passed through the lobby. Unfortunately, my check-out experience wasn’t all that much more positive than my check-in. All four staff members at the desk, including the manager, were embroiled in some kind of discussion with the small group of travelers ahead of me in line, about the room rate that the group had booked. Three of the four staff members weren’t doing anything productive—just standing there looking perplexed. Finally, after several minutes, one of them realized that a queue was forming, and mercifully broke away to attend to other guests. She took a bafflingly long time processing my check-out, even though there was no ambiguity about my room rate, no problem with my credit card, and no accumulation of incidental expenses. It’s a good thing I wasn’t in a hurry. On customer service, I’d have to give the Megaro 2.5, or at most 3, stars. This was not a staff I’d want to depend on if I really needed help with anything important.Still, despite the shortcomings in service, I’d readily stay at the Megaro again, provided I could get a similar discounted rate. Besides the great room, I really enjoyed the central location—so close to Eurostar, and convenient for getting to Islington, the City and the East End as well as all the attractions in the West End.	
Sep 28 2009 	excellent hotel in london	every thing is fantastic except breakfast, good location, value.	
Sep 24 2009 	Great location for St Pancras	Very nice hotel. Our room was very large and clean with a great shower! It is close to Euston Station and you couldn't get closer to St Pancras Station - It is opposite the main entrance!The staff were very friendly and helpful, looking on the internet to find the location of a pub we wanted to go to.We didn't have breakfast, as had an early train to catch, so can't review that.It was great valve for money as we booked it late and got a good deal.Overall very happy.	
Sep 21 2009 	Excellent hotel	Hotel is located directly across the road from St. Pancras station. I arrived early but the staff were very helpful and stored my luggage until later in the day. The room provided was very good - a reasonable size for London and excellent in-room facilities including an expresso machine. Room was also very clean and very quiet..Would use this hotel again.	
Sep 18 2009 	Great location great hotel have booked again!	We couldn't believe how close this hotel was to the station. We arrived at 9.45 - check in wasnt til 2.00 but we left our bags in secure room, and when we checked out the next day we were able to leave our bags there again until our train at 3.pm, which I thought was brilliant. The hotel itself was very clean, the room was spotless and the bed very comfortable. I liked the fact we had an iron, ironing board and espresso machine in the room. There was abit of noise from street noise, but it was quite nice to hear the chaos outside and know that we were all cosy in our lovely room! We got home and booked the hotel again for around Christmas time - I would definately recommend it as a central place to stay when visiting London.	
Sep 2 2009	Fantastic place and location	This hotel is definitely a gem just across from King's Cross. I asked for a room with easy access as my mother moves around in a wheelchair and we were given an incredible room with facilities designed for such cases and at an incredible price. The room was equipped with a coffee maker, 32&quot; LCD TV, a comfortable sofa and with a spacious bathroom. The staff were incredibly helpful. The hotel even managed to squeeze in a lift which is really helpful for people with mobility or luggage problems. That is definitely something one rarely sees in hotels around King's Cross or St Pancras, at least if they are 3 stars and below.	
Sep 1 2009 	very good	Good location, near tube, Kings Cross/St Pancreas.Small reception area but had a drink at night in small bar, quiet but pleasant.Family room was excellent. Two doubles, two flat screen televisions etc.Great continental breakfast. Very helpful staff.Booked with airmiles.	
Aug 30 2009 	perfect for location to eurostar	For a hotel right next to Kings Cross / St Pancras you would think it would be more noisy but this was well sound proofed and really lovely. we got room only for about 80 quid and i don't think i would pay 240 which was the price listed at reception but the shower and bathroom were lovely and the room was clean and a good size. a nice touch was the access to loads of CD's via the TV system including a wide variety this made up for the limited digital signal on the telly. we were room only as had to hit the station at 8 am so can't comment on food but it all looked pretty good. for location to the eurostar it can't really be beaten - across the crossing outside the door and you are there!Felt quite posh, not too pricy and prefect spot for train.	
Aug 29 2009 	Great Hotel Friendly Staff Lovely rooms!	I stay at this hotel all the time and was kind of wondering if I should write a review just in case it gets too popular!I often have to travel on my own to London and Carol and the team make me feel incredibly welcome every time I come to town.Rooms are lovely and spacious, lovely bathrooms, chilled milk and water in the fridge as well as a coffee maker in your room and the beds are v comfy!Brilliant location for business travellers right next to the tube and Eurostar, and just a 4 minute walk from Euston for those travelling into town.	
Aug 24 2009 	Somewhere a little different from the norm	Stayed here overnight after a superb day on the Steam Dream's Cathedrals Express from Kings Cross. The hotel was booked thro Expedia and on arrival VAT was added to the quoted Expedia price. We found this unusual and it has never happened to us in any previous hotel bookings. Expedia's small print does say the hotel may or may not include tax in the total, I think the price should have clearly state &quot;+VAT&quot;. However, the hotel room was large, clean and modern - but quirky! Quite a few unusual features and I didn't understand why it was neccessary to have a drop down bed 600mm away from the window wall in such a large room. Generally a pleasant boutique style hotel which was conveniently placed for St.Pancras, Kings Cross and the British Library.	
Aug 24 2009 	Great Hotel	The hotel is just just across the road from Eurostar, which was great. The room we were given was huge, had a lovely bathroom and was spotless. The coffee machine was great, there were teabags too and complimentary water and fresh milk. The bed was huge and comfortable. The rates were good too as we booked in advance. We did not have time to sit down for breakfast but staff helped us by giving us some bread and crossiants to take with us. This is a gem of a hotel and I highly recommend it. There was some traffic noise, but you are in the centre of London and it was not bad.	
Aug 23 2009 	Really enjoyed my stay	I stayed here for three nights over a weekend in July and I really enjoyed my stay. There's an entrance for Kings Cross tube station basically right outside the door and Kings Cross is of course one of the bigger busier stations, so getting to the hotel from Heathrow was easy for a tired traveller. Reception staff were friendly and check in was quick. I had a room on the third floor around the side of the hotel, so it wasn't that noisy. My room was a standard room and was plenty big enough - double/queen bed, enough room for my case and my friend's smaller bag. The bathroom was nice - shower over bath, as mentioned the screen only covers half the bath so it can be a little wet after a shower. Shower was excellent though! The bathroom door was a normal wooden door - have seen some reviews saying some rooms have a frosted glass door. Some basic toiletries were provided. Internet is provided via an LCD tv on the wall which is free of charge and easy to use. My rate included breakfast in the restaurant downstairs which was pretty good - one hot meal, tea or coffee and anything from the buffet. Newspapers were provided each morning. Tried out the coffee machine just to make a cup of tea - coffee, teabags and milk provided. Small fridge to store your own drinks. Room had a good strong airconditioner too, and from memory you could open the windows slightly. Hotel has a small entrance and you need your room card to get through to the lift. There is only one and it's a little slow so take the stairs if you don't have any bags. I only stayed three nights but really enjoyed my stay, it was a nice start to my trip. I would recommend this to anyone looking for somewhere nice and central to stay in London - check their website for a special rate though.	
Aug 21 2009 	Fantastic Hotel	We stayed at the megaro hotel in Aug for a weekend break to visit friends. After searching for a hotel on this website we found this hotel. We called the hotel to see if they had any rooms available and how much they charge. We found they had a discount rate for Aug so opted to book the executive double room. We arrived at Euston station and found the hotel which was a five minute walk. On arrival at the hotel we checked in very quickly and headed for the room, when we entered we were suprised to see how large the room was ( we have stayed in higher priced hotels and they have been just a pokey room ). There was everything you need in the room a coffee machine extra milk, bottled water, iron and ironing board. There bathroom was really nice and had a decent large shower that a 6ft 5ins person could fit under. The my wife says that the best was the large comfy bed. The hotel is so close to everything the tube is right outside the hotel so you can get around london from there easly. The hotel staff are really friendly and allowed us to store our suitcase in the room for the whole day. I would really recommend this hotel and would stay there again	
Aug 20 2009 	Absolutely loved this place!	Went away with a group of the girls for 3 nights in mid July and had to do a lot of research on London hotels as everyone had different budgets and different ideas as to what level of comfort they wanted. After a long search i found Megaro Hotel on trip advisor. Reviews and pictures looked great and after contacting the hotel for rates i was very happy to get a quote that fitted in with all of our budgets.We flew into Luton airport and got a shuttle bus straight to the train station and a train into st. pancreas station. We walked out of the station and were delighted to find out that the hotel was right across the road. Our rooms weren't ready as we arrived at around 10am but the helpful guy behind the front desk (don't know how to spell his name think it was Tahil or something like that sorry) put our luggage in the luggage room for us. Which left us free to explore London for the day with the kings cross tube station across the road. So handy!When we got to our rooms we fell in love. Lovely big double room with big bathroom, milk and bottled water provided in a mini fridge and also small safe and espresso machine. The air conditioning was brilliant as it was quite humid in london while we were there. Rooms were very clean too.There was a lovely night receptionist on named Suresh who served us drinks in the residents bar on the one night we decided to have a few drinks when we arrived back to the hotel.All in all we were so happy to find this hotel and will definitely be staying here again the next time i'm in London!	
Aug 18 2009 	Terrific location and comfy room	Can't beat the location - literally steps away from Kings Cross subway. Easy access to 3 subway lines, Eurostar (to Paris) and trains to other parts of UK. Room is spacious with nice shower.	
Aug 16 2009 	Great value location!	For the money, I couldn't have asked for a better place to stay in London. The icing on the cake was the location - steps away from very central tube station, we had great access to all London has to offer, and felt safe coming &amp; going at all hours. The St. Pancras / King's Cross station across the street was ideal in that many different tube lines intersect there, and there was an underground path to steps coming up right outside the Megaro. Staff was very helpful and accommodating - stored our luggage securely and free of charge for the full day while we were out sightseeing and enjoying London until our train left that evening.Only downsides to the hotel were (1) the shower wasn't fully enclosed, nor was there a &quot;lip&quot; to the shower floor, meaning that there was often a mess of water after all 3 girls had washed up and (2) there is a bit of street noise audible -- not an issue for me, but a light sleeper might have a problem.	
Aug 13 2009 	Brilliant stay  both location and staff perfect	This is a good hotel both for business and leisure travels. Close to tube and trains , helpful staff and nice , quite spacious rooms. Recommended!	
Aug 5 2009 	Excellent location and helpful staff	I was upgraded on arrival to a spacious room with a double bed and double sofa bed, it had flat screen TVs in each bedroom area and workstation, and a spacious bathroom with shower / loo/ basin. Everything was new and spotless. The style is budget boutique, and it is a budget hotel so don't expect Egyptian linen and Molton Brown handwash, but everything is nicely turned out and kept in good order. Breakfast wasn't included and was £7.50 for a continental choice or about £13.50 for that plus hot breakfast. Not clear on the room menu but priced in the restaurant itself were individual hot items to buy.The location is superb, directly on the Euston Road exit to Kings Cross, so getting to and from the hotel by bus, train and tube is easy, including after a late night out. They also have a free luggage room to use once you've checked out before you leave London.Paying less than half the rack rate for a room via hotel booking sites, I would certainly stay here again.	
Aug 4 2009 	Great clean convenient hotel.	Booked a family room, beds were one double and two full size singles ( good job as our kids are 5ft 8 and 6ft 2 ). Lovely clean room with ample space and nice bathroom. Milk supplied daily and extra coffee for the coffee machine was provided free of charge, bowl of fruit provided on first day and newspaper free of charge on both days. Staff very efficient, friendly and quick. Room ready for us when we arrived at 11am on the first day which was very welcome! Kept our many bags for us on our last day as we didn't leave until the evening. Can't fault the service! Didn't try the breakfast and room alittle noisy at night, although we expected this with the hotel having such a central location.	
Jul 26 2009 	Good but not anything special	After staying at this hotel for 1 night I left with very mixed feelings. Check-in took forever even though there were 4 members of staff there and only one other customer checking in at the same time as me. Nothing was very clear as to what they wanted from me and communication was poor to say the least. Again I don't know what it is with London hotels but they dont seem very good at directing you to your room, yet alone the lift! I asked and they would only go as far as telling me where the lift was, poor if you ask me. The room itself was lovely and big, which is what I wanted as I chose an executive room. The bed was very comfy and the wooden floors were lovely. Again as others have said the glass door for the bathroom could cause a few issues for some people. The addition of free internet access was a bonus and it worked very well and quickly. As I was on the top floor there was still some noise but I could imagine it could be quite a big problem on lower levels as there is not single glazing. Also the blinds are not that effective in blocking out all of the light so those who like dark rooms may wish to look elsewhere. The breakfast in the morning was very good, although again reception were less than forthcoming with directions to their own dining space?!? The one waitress was brilliant although the service was slow as she literally was doing everything, again very poor for a hotel of this supposed standard. Average breakfast, but some nice fresh croissants though! Check out was fairly quick although the staff again made no real effort. Overall I felt a bit let down by the hotel only on the customer service front, it was poor to say the least. But if you can overlook this then its a good hotel with nice rooms that a clean, spacious and nicely decorated. I would however say that you can do a lot better for your money, such as the K+K George in Earls Court, same (if not cheaper) price but a much better hotel overall!	
Jul 25 2009 	excellent except the elevator	Just cross Euston road when you get out of St Pancras train station and there you are. The lobby is discreet but the room we got was great, nice bathroom, nice furnitures and nice paintings. Internet through TV is free of charge. The only issue was the elevator 'out of service'. Our room was on the 5th floor! A friend has been there one month later and was still not working...	
Jul 23 2009 	Pity For The Breakfast...	We spent a week end break at the Megaro Hotel, coming from Paris.As many other travellers pointed out, the hotel is very convenient if you travel with Eurostar because it’s literally opposite Saint Pancras train station.We asked for interconnecting rooms but the hotel said tehy could only give us adjacent rooms which we accepted.Only, when we arrived the rooms were not adjacent at all although in the same corridor.We decided not to complain : as we have a toddler of 2 we asked for quiet rooms which we got and they were indeed very calm.The rooms are decorated with taste and everything is brand new. The nice detail is the espresso machine with complimentary water and milk in the fridge. Being Italian I particularly appreciated that because it changes from the Nescafé and the kettle…We were helped with tube and buses by receptionists so there is absolutely nothing to complain.What we did not appreciate was the continental breakfast included in our plan : the advertising in the lift mentioned a selection but the staff said that if we wanted certain things it would be extra.We made clear that we had no intention to pay an extra for an oat porridge and in the end we could have it included in the plan.Overall the buffet is pretty mediocre and could really improve.	
Jul 15 2009 	Great addition to hotels near St Pancras	The hotel entrance is very discreet (it's next door to Barclays, directly across from Pancras Road). The lobby is tiny, but there is a nice bar at the back. Check-in wasn't particularly slick, but well-meaning. Accessing the lift to the rooms requires a room key (reassuring, Kings Cross is improving as an area, but lone women should still be cautious late at nght).The room itself was excellent: very large by London standards, and a particularly comfortable bed. The bathroom had a glass door which was only partially opaque: the WC is not visible, but potentially a bather would be visible by his/her travelling companion.....! There is free wifi, complimentary mineral water and a decent tv. The fridge is great, but as a tea drinker, I would have preferred a proper kettle as well as the espresso machine.London had been unusually hot that week, and the air conditioning was essential: it did take a while to get going, but was very effective eventually. We got a really good deal via Laterooms for a Friday night: will definitely stay here again.	
Jul 6 2009 	the cleanest hotel ever wonderful place to stay	I stayed one night friday 3rd July, our room was one of the best I have ever stayed in worldwide and I worked in 5 star hotels for 15 years ! it was spotless , very big and with a great bathroom. The hotel manager, a lady was very helpful and very professional. A rare thing now days. The hotel was very good value and I would recommend this hotel fully.	
Jul 5 2009 	Roomy modern hotel	We spent three nights here in late June and would recommend the Megaro to any London visitors. We arrived early from Paris (on the Eurostar ) so we could not check in immediately. The staff stored our luggage and we were able to use the lobby restrooms to change and wash up. The front desk staff all were helpful and attentive so no complaints there. Our reservation was made directly through the hotel website and was fair (109/night) but did not include breakfast, which is available in the hotel restaurant. However, we found a small bakery nearby, Patisserie Deux Amis on Judd St (5 minute walk, left on Euston, left on Judd) which had wonderful breads, pastries and coffee for a morning start. We also ate dinner locally at the Camino (spanish food) restaurant and it was delicious.We had two executive double rooms (one for us, one for teenagers) and each was spacious (as big as what we are accustomed to in the US), clean, well furnished and equipped with a large LCD TV, which doubled as a computer monitor. The built in Internet was handy, when it worked; the kids room remote keyboard did not work (they had a laptop so no bother) and our internet froze on the final day. There is also no printer so printing boarding passes has to be accomplished elsewhere.The beds were very comfy and while the bathrooms were good sized there were two quirks. First, there was a bit of a problem with getting cold water. After the first day, the cold water tap produced warm water only and we were told that a plumber was working on the entire system to correct. Better to have hot water and no cold, than vice versa, but it was a little annoying. Second, the bathroom in the kids room was fully glass enclosed with frosted glass from about two feet off the floor to five feet high. Just a little strange. None of this would stop us from staying here again.The metro is literally steps from the front door and St. Pancras (Eurostar station) was just across the street. Regarding the front door - it is easy to miss as the hotel &quot;footprint&quot; is very small. There is a currency conversion shop next door and its rates are very good, especially compared to the train station. Kings Cross is a major station so access to everywhere is pretty easy from this location. There is a 9 3/4 gate for Harry Potter fans in the Kings Cross station near platform 8 for the suburban trains - just ask the station staff and they will direct you to it. The British Library is just down Euston Rd a bit and has the Magna Carta and other interesting collections. Otherwise this is a hotel in a train station neighborhood which is trying to clean up and has mostly, but not totally succeeded in doing so.The rooms all had air conditioning, a safe, espresso machine, milk and a small fridge with milk. The beds were big and comfy, really comfy. The room key also is used as a master electric control for the room (which we have seen in some other European hotels). Place it in a slot by the door and only then do you have lights and a/c, etc. There was one fairly small elevator which worked, although there was a wait at times because housekeeping also used the hotel to move the days dirty linens and towels in huge bags.You can book this hotel with confidence and enjoy a big comfortable room at a good price. The staff will help you upon request and the whole of London awaits you through the Underground.	
Jun 23 2009 	Very convenient spotlessly clean and good value	We usually opt for the Novotel St Pancras for nearness to Kings Cross station for convenience but it had no availability for one night on our way back from a week's holiday in New York. We discovered the Megaro and booked via the internet. I was a bit dubious as we have experienced some poor hotels in the Kings Cross area in the past. The entrance was small and unassuming and at first we thought it was solely the restaurant entrance. We arrived at 1145 am, jetlagged after a long flight and then an hour on the tube from Heathrow so were disappointed that we couldn't check in until 2pm. They did let us leave our heavy cases though and we killed time, returning2 hours later. I liked the fact that you could not access the stairs and lift to the bedroom without using a room card. The room itself was 'superior' (I don't know how this differs from 'standard?') and although it's not huge it's minimalistic and very contemporary with everything provided that you need. Well thought out, with fabulous coffee maker, a fridge complete with a small bottle of milk, an electronic safe and very easy-to-use thermostat controls. Everything was spotlessly clean, the bathrom was lovely (and I'm fussy!) and the shower was brilliant. We were a bit concerned about traffic noise but didn't hear anything once we got into the very comfy bed and slept like logs! A free daily newspaper was outside our room (and all rooms) in the morning. The staff, who were Italian, were helpful and couldn't do enough. The continental breakfast which was included in our one night stay of £106 was perfectly sufficient, very nice and consisted of cereals, juice, croissants, rolls, cheese and ham. The only niggle in the breakfast room (downstairs restaurant) is that it was extremely cold, but I suppose that's a minor thing. This hotel was everything and more that we hoped for and we would definitely use it again and have no hesitation in recommending it.	
Jun 20 2009 	Excellent location very comfortable friendly safe for a family with 2 kids	We were a family with 2 daughters - 10 and 16. Spent 2 nights-1-2 Jun 09. Excellent and safe location in central London. Across the road from King's Cross tube station and St Pancras Int'l stn for Eurostar which we took for Paris. Sumptuous breakfast. Hot milk given on request. Cloak room near reception for keeping the bags. Staff not too conversant with English(seemed Italian or Spanish) though very helpful and one can manage even with this little handicap. We had a Quad room which was very spacious and also economical vis-a-vis 2 double occupancy rooms(Room#202). Good view of the road outside and King's Cross tube stn esp at night. Had done booking thru local Delhi-based agent who used Gullivers Travel Agents(GTA) software. No difficulties at all at check-in or chk-out. Room and bathroom adequately provided/stocked with amenities. Had an digital safe, electric kettle, iron, hair-drier, wi-fi connectivity (tv+remote used for surfing), LCD tv, fridge etc. Clean room and bed linen. Overall very comfortable stay and we would love to come back to this hotel.	
Jun 5 2009 	Never stayed in a better London hotel!	Location beside st. Pancreas station was great - comfort and space in bedroom fantistic, there was water and an espresso machine with fresh milk in fridge - absolutely everything you could need. Staff were absolutely great and nothing too much trouble from more coffee pods for the room to taxis and directions, the service was second to none and always with smile and humour!The street presence is quite small and easily missed if you don't know where to look and taxis often had'nt heard of it - but once found is a little gem of only about 50 rooms with all the charm, comfort and service of the large luxury hotels but with much more heart!	
Jun 3 2009 	Lovely room and excellent location	We stayed in this hotel over a weekend and cannot fault it as a base in London. We travelled via St Pancras, so the location is perfect for dropping off bags and travelling onwards by tube. The reception staff were very helpful, the lift worked (see previous reviews...) and we were very pleased with the room we had. It overlooked the back of the hotel and there were no traffic noise problems. Very comfortable bed, a decent bathroom and we appreciated the internet connection so we could check train departure times etc. On this visit we didn't use the bar or restaurant so can't comment on these facilities, however, we intend to use the hotel again on future visits to London	
Jun 1 2009 	Great Location and room	We stayed in this hotel for only 1 night on European vacation. It was directly across the street from Kings Cross St. Pancras Rail/Tube station which was absolutely IDEAL. 5 min on the tube to go to Trafalgar Square (Tourist central) .Great value (approx 60 GBP) for a great room which was newly renovated. The shower was absolutely amazing...just like a spa. The room was quite small and there wasn't a lot of room for 2 suitcases but that's about the only complaint I have. Did not order room service or stay for breakfast because it was quite expensive in the restaurant but we went to a local bakery on our way out.For dinner there are great pubs and restaurants all along the street.Overall, excellent room for a great value if you are staying short term.	
May 29 2009 	Great value in London for a nice and clean hotel	We stayed 2 nights with a family of 6 (4 chidren aged 3 to 13). Overall excellent experience with a good value for London. We had a family room at £120 and a regular room at £90. Megaro is located on Euston street, right across King's Cross and St Pancras. Extremely convenient if you come through these stations since you literally cross the street, can drop your luggage and start the day! The flip side is the noise coming from Euston Road, which is a major axis and is very busy if not traffic jammed. Reception is not particularly friendly, but gets the job done. We had room in the front, and even with triple windows, you still hear the rumble (and actually can sometimes feel it!). A good pair of hear plug solved that problem for me, and the kids walked so much during the day that they went to sleep without even a little fight...Room are surprisingly large for a city hotel. The family room has a double bed, plus 2 single beds that are stored in cupboards. The single beds can accomodate adults. This hotel has been seriously renovated recently (I would say less than 5 years), and is maintained very clean. The bathroom have full polished glass panelling, and are not miles away from what you can find at the Metropolitan on Hyde Park for example. I would characterize the decor as trendy modern. TV with free internet is a plus, not very fast tough.Breakfast is served in the restaurant located in the basement. £7.5 buffet breakfast is good, and includes porridge, cereals, pastries, yougurt, ham and cheese, and freshly squeezed fruit juice. Eggs and other more elaborate dishes are extra. Service is nice, and prepared a botte for our 3 year old with a smile.There is really not much to be seen within walking distance of the hotel, but there is a tube station right in front of it. We had a bit of a hard time to find a place to eat diner for 6 after 7pm. Pizza express about 200m from the hotel is a good family choice, but long queue after 7pm. The first night we ended up eating at the &quot;bar&quot; which serves soups, salads and main dishes. Very glad it was there, but portions are not huge. There is a Burger King next door for truly desperate situations.Overall, an excellent base for exploration in London. Plenty of buses can bring you back to the hotel in the evening, and it is so much more fun with the kids than riding the tube in the morning...	
