	A Tad better than Tourist Class	We were cautious about a hotel in a converted terrace house, since the sound transmission of every footfall from the room above in a Pimlico (Belgrave Road) tourist class hotel a few years ago kept me awake each night. At the Academy I was sure to request a top-floor room in advance and on arrival--and having just read that so many others suffered the heavy footsteps of their upstairs neighbors, I'm so glad I did and very grateful to have been granted one (the pretty but uncharming clerk repeated that he could &quot;not guarantee anything&quot;). The interior storm windows were effective in reducing street noise. I'll very briefly list the strengths--location, location, location, near lots of interesting restaurants, shops, the British Museum, and the University of London. The decor is charming, too, as most reviewers have already said. The weaknesses center on attention to detail. I had to ask twice to have the light over the bathroom sink repaired. The bottled water was missing the last day. Neither were the coffee packets replaced over the three-day stay. The tiny bar of soap (in the shape of a frog) was never replaced, nor were the fine shower amenities (shampoo, conditioner, body wash). The drains in the bathroom smelled, and on the second day the wakeup call came 40 minutes late. And the last night a attic exhaust fan whirred noisily. The front desk staff is polite but undertrained. I booked the room through the hotel Web site and would highly recommend booking through Kayak or another consolidator, so as to pay in American dollars, if that is your currency. (The dollar declined so badly that we ended up paying $233 per night for a tiny room.) I'd certainly stay Bloomsbury again but would try for the Hotel Russell.	
Aug 8 2009 	Fails to meet its marketing hype	A promising start when we were welcomed into the charming reception room for registration. Sadly, our double room was not up to the standards that the Eton Group claim in their marketing material. As someone who stays in hotels on a regular basis,(including central London hotels), I take a pragmatic view of what is and what is not reasonably acceptable and this room certainly failed on a number of important areas. First impresions were pretty good, until we found the ensuite 'bathroom'. This consisted of a module shoe-horned into a corner of the room; think railway carriage wash-hand basin, but smaller. Even worse, it was cracked in several places, (as was the lid of the toilet cistern), and neither tap gave anything more than a feeble trickle of water. Rather alarmingly, when the cold tap was turned on, water leaked from the spindle of the hot tap, and vice versa. The result of this was a gradually forming pool of water which then ran onto the floor. The shower was as weak as the flow of water from the taps and the plastic ceiling of the 'module' carried browny yellow splatter marks of many, many months or even years. There was also a rather unpleasant smell on opening the door. Room for only one of us at a time too.Other shortcomings of the room included water stains on the ceiling, a flickering main ceiling light, tired, marked and old decoration, a bedside cabinet with the door hanging off and curtains that could only be drawn across the front of the desk and mini bar that were located in the bay window. This meant no access to either desk or minbar once the curtains had been drawn and a rather disconcerting 'bellying out' of the drawn curtains remeniscent of a Victorian lady's dress. A tea and coffee making tray was found inside the broken bedside cabinet, but there was no power socket to plug it into, unless one searched around for an already being used floor-level socket behind the wardrobe or other bedside cabinet. Importantly, and worryingly, not one single electrical item in the room carried a PAT label, other than the hairdryer, and that label was so old that it was impossible to see when it had been tested. This is a legal requirement. The details of the hotel provided in the thoughtfully placed 'Summit' hotels directory in the desk drawer drew our attention to, amongst other delights promised at the Academy, the complementary mineral water, slippers and CD player in every room. We had none of these, not even a clock radio beside the bed. Soundproofinig between floors is zero, so we could track each footfall of the guests in the room above ours. Luckily, they did not use their television or CD player. (perhaps they didn't have one either). On the plus side, the bed and bedding were good, (although no spare pillows), the garden area and conservatory are a pleasant and calm oasis in this central London boutique hotel. The location is good and the breakfast room and bar are delightful; in fact the breakfast was the best I've had for many a year, served by friendly and helpful staff. On checkout I provided constructive criticism to the receptionist, who to be fair was sympathetic and apologetic. He made a careful note of my concerns and promised that the manager would contact me. Nothing so far and I guess that if he/she was going to, it would have happened by now. I paid £280 for 2 nights bed and breakfast and, for roughly the same money, I could have stayed in a bigger hotel and received far better facilities and standards. It's a shame that the Acedamy markets itself as something special but fails to deliver on some very basic standards.	
Jul 22 2009 	A FIND AFTER STAYING AT 2 OTHER PLACES	We received a very warm welcome at the Academy after staying at 2 other places which were far from pleasant.The room was clean with very comfortable bedding . Large bathroom with bath,shower. Close to shops were you could buy food and drinks.Fridge in room was useful; for drinks etc. nice malaysian restaurant close by. Buses across the road to city. 2 Tube stations close by. Garden was very nice and sitting room/library was a pleasant place to read the papers. Staff very helpful. I would recommend this hotel to anyone wanting to be close to center of london without too much traffic noise and convenience of all facilities close by	
Jul 20 2009 	Super hotel spot on service	We have just stayed for the weekend at The Academy and what a lovely stay we had. Our room was upgraded to a suite which was totally unexpected but fabas it was my birthday. The suite was a good size by London standards and we found the staff to be incredibly polite and attentive. The hotel has a quaint courtyard-style garden which, had it not rained would have been great to sit in and read the Sunday papers. There are several hotels in Gower Street but I wouldn't hesitate to recommend this hotel over all the others. We couldn't have felt further from busy London had we tried yet we were only 5 mins in a cab from Covent Garden. The staff, attention to detail in each room and location of the hotel were fabulous.	
Jul 11 2009 	Close to the action	Cozy hotel and great location. Very good service. Walking distance to everything you want to see in London. Some of the rooms though are below\or sidewalk level.	
Jun 10 2009 	A nice hotel but beware of room 20	My wife and I have stayed at the Academy a number of times, and we've previously found it to be comfortable, friendly, in an excellent location and, when booked at the right time, good value for money.All of the above was still true on this occasion, but our stay was spoiled by our room.We were given room 20, a reasonable sized double, with a small shower-room, and this was perfectly fine and all we'd come to expect from the Academy until we were awoken at 3am by the the sound of movement in the room above.As the guest above us walked around their room, a succession of creaks and bangs could be heard clearly and loudly in our room.The following night the same thing happened and we were woken up again, and then on the third night a new occupant (according to reception), kept us awake by moving around after midnight.I don't think the other guests were behaving in a particularly noisy manner, and if they wanted to be up late that was clearly up to them. Also, you might expect a few creaks and groans and plumbing sounds from a hotel in old building, but what we experienced went beyond that and would seem to be a fundamental problem with the sound insulation in room 20.So, by all means stay at the Academy. It's a nice hotel and has a lot going for it, but if you're given room 20, I would ask if anything has been done about noise coming into the room from upstairs, and if it hasn't then ask for a different room - or take some earplugs.	
May 20 2009 	Definitely a hidden gem	Stayed for one one night on a business trip to London - central enough and very good value for money at the rate paid - but not at the rack rate. The single room was not spacious but certainly adequate, comfortable and well equiped. Only small downside was decidedly dodgy reception on the in-room TV but the radio was a nice touch.The public rooms add lots of character as does the potential for sitting outside in the garden when the weather matches the mood!!I would certainly return to the hotel and would also consider it for a romantic weekend away with the better half.	
May 19 2009 	nice cozy charming hotel	Found the hotel very charming. Good friendly &amp; discreet service. Location is very good for the West End, Covent garden, Eurostar. Gower Street feels a bit like the main road that it is although much calmer at the weekend. Nearest tube in any direction is a 10-15 min walk with luggage.We had a room at the back of the hotel which was lovely ,overlooking the garden with its small pond and large leafy tree. Garden itself was a bit scruffy with ashtrays full of butts and rainwater and what looked like a 3 day old breakfast tray left out but from the room you didn't see this. Bed was very comfy, good sheets, duvet, pillows; Shame no bath in our room only shower so worth asking for one next time. Would choose this hotel over a big London hotel where one is always lining up for the reception, elevators, breakfast or something. The weekends around this part of town are very calm but one is never too far away from something. Lovely streets in the area and leafy.	
May 5 2009 	A hotel I was happy to come back to at the end of the day	The Academy is in a terrific location - a couple of blocks from the British Museum, with a Tube station around the corner and plentiful bus service to the West End, Trafalgar Square and Victoria Station. Gower Street is lined with lovely old townhouses, most of which (like the Academy) have been converted into hotels. My room (bedroom with en suite bathroom) was in the basement, and although it faced the street, I was undisturbed by trafic noise. The bed was extremely comfortable, the bathroom was more than adequate, and there was an electric teakettle and a box of teabags, etc. on the desk. The only drawback, being a basement room, was that there was little light from outside, but the room was provided with sufficient lamps that this wasn't a problem. The staff was unfailingly helpful and cordial. There is a dining room on the premises, but I didn't use it - the prices seemed a little steep, and anyway, why eat at your hotel when you're in the heart of London? This was a lucky choice, and I would gladly choose it again for my nest visit.	
Mar 30 2009 	Great location	This hotel is in a great location to go to the theatre, only 10 minutes walk for us. It was in a really nice area away from the main hustle and bustle. We got a room at the back of the hotel and so could not hear traffic noise but did not get a very good nights sleep because we could hear every movement other guests made around the hotel. Walking up and down the stairs, round their bedroom, even going to the toilet!! It was a real shame because the beds were extra comfy. A friend had another room in the hotel and didn't hear any noise at all. The breakfast was really good value and the staff were polite and helpful.	
Feb 14 2009 	Classy Cozy boutique hotel	Seemed like a really nice hotel, small rooms but several sitting rooms decorated in period (or period-ish - I'm not an architect) style. Unlike a previous reviewer, a porter carried my bag to my room, where I found soft classical music on the radio, a bowl of apples on the desk and a bottle of mineral water by the bed. Continental breakfast was pricey at $11 but very good.I only wish I could have stayed the full two nights I'd booked, but the weather delayed my arrival 28 hours so it was bounce in, bounce out.	
Feb 4 2009 	Little London gem	This little London gem is hidden away in a lovely backstreet of Bloomsbury - 10 mins walk from Tottenham Court Road, 15 mins from Soho. The prices are better if you book direct and make sure breakfast is included (£5 extra for room service) - it's fantastic. Contrary to some reviews, we found the staff very friendly. Ask for a room at the back if you want it very quiet as there is some street noise that the hotel can't do anything about. We had the Virginia Wolff suite which was extremely confortable with four poster bed, small living area, flat screen TV, tea/coffee making facilities, music playing softly when we arrived. The bathroom is a little tired but more than adequate with a very good shower over the bath and Molton Brown toilettries. We booked a car parking space in one of their rented garages nearby - it felt very safe leaving the car there. I travel a lot and can be very critical of hotels, but 10 out of 10 for this.	
Jan 14 2009 	Beautiful Small Boutique Hotel in Bloomsbury	Stayed in London 4 nights during a nasty cold spell. Couldn't have asked for a cozier spot (crackling fireplace in the reception area), a nicer, more accommodating staff, or a more charming and pleasant room. Because they were advertising a winter special I was able to book a suite at a good price, and it was a very reasonable size for a London hotel room. The decor was lovely -- tasteful and luxurious. The room had a safe large enough for my laptop, as well as the requisite mini-bar, well-stocked, a hot-pot with instant coffee &amp; tea bags, and a constantly refreshed supply of Granny Smith apples. Large, flat-screen TV with plenty of offerings and a very nice radio which was tuned to a classical music station when I arrived. Wi-fi is extra but was fast and reliable. Everything was immaculate. One evening I returned late to find my bed turned down and a free water. I usually don't eat breakfast but did on the day I left for the long trip back home. It was delectable - fresh cheeses and fruits with good variety, yogurt &amp; muesli, rolls &amp; croissants, an assortment of juices, along with options for a more substantial English meal. Room service is available 24/7 and was quite good, plenty of choices, and reasonable.The bed was exceptionally comfortable and the room quiet. There was some street noise despite the double-glazing so if this is a concern, one should ask for a room at the back of the hotel. The hotel is very well located close to museums, UCL, and multiple underground sations. The front desk is more than happy to make bookings and to recommend local eateries, etc. The staff is international and all are highly professional. The stairs? No problem -- a porter will gladly carry bags, fetch an iron, etc.I was very pleased with the Academy and would certainly return.	
Nov 19 2008 	a good choice in london	as some rated this hotel as 4-5 grade and some 1-2, i'll give here some of my impressions that might help one decide if to stay here or not: - location is superb. walking distance from 4 tube stations and short walking distance from real magor sites and attractions.  - service is not perfect. absolutly suficient, especially if you know how to ask things to be done for you. but one does need to help things happen to him. it's not a spoiling treatment.  - rooms and public areas are beautiful, very nicely decorated and very comfortable. furniture are of very good taste. people who prefer beauty and esthetics might prefer here over a plain standard hotel.  - small nice garden with goldenfish pond and sitting corners (for summer).  - wonderfull wonderfull breakfast, incl. amasing selection of fresh exotic fruits. make sure to include it in the room rate. wonderful service in this part of the hotel. - this hotel's stuff are mostly of foreign origin. they are all helpful and nice, but they are not english. one will not find here the tipical english behaviour or accent.  - in front rooms the traffic might be heard. back rooms are very quiet, apart from the sound of the water fountain in the garden.  - voices from coridores and other rooms' doors can be heard in rooms. but each coridor has only few rooms, so there are not too many people going outside a certain room. - many complementry treats: mineral water; safe in room; newspapers in room, in dinning room and in conservatory (lounge); appels in room; bath robe; slippers; making tea/cofee/choclate facilities; radio-disk player.- single rooms are small. i mean small. but have all the above mentioned pros, + large storage area. my bottom line: i loved it	
Oct 28 2008 	So cosy!	We have just returned from the Academy, and would surely recommend it ! We find it very special, cosy, situated in a VERY quite street, nothing special from the outside, but special inside/We had a room on the groundfloor with 3 windows and garden view. It was a felling that you came to your english aunt's countryhouse, where there is a library with a fireplace and pretty small garden. I didn't like, that breakfast was not included in the price, but when i saw fresh strawberries, and wildberries with blueberries, i gave up.But: that's true that you can hear the sounds from the koridor	
Oct 15 2008 	Definitely no	I have just returned from the Academy hotel and would not recommend it to anyone! When we arrived our room wasn't ready which was fair enough as we were early but when we returned at 2pm which was check-in time our room still wasn't ready and we had to wait over 45 mins for it.There were 57, yes 57 steps up to our room with no lift in the hotel, and when you get to the top to find your key card doesn't work its not too nice to realise you've to walk down and back up the steps to get into your room! The beds in the room were very comfortable but the rooms were extremely noisy. You could hear everything from other rooms - showers, toilets flushing and such noisy floorboards in the corridors! Not to mention the cleaners starting to hoover corridors at 8am (and no soundproofing between corridor and rooms either).Definitely better to be had in London for the money. Will not be returning.	
Sep 1 2008	Wonderful Satay	Me and my mum stayed in this hotel for one night. We booked a twin room which was beautifully furnished and even had Molton Brown toiletries. The beds were extremely comfortable and after a long day walking the streets of London a good nights sleep was definately important. A good nights sleep i got. Even though it is in a busy Bloomsbury you would never have thought it. The area was excellent with just a 15 minute walk to Covent Garden and Oxford Street, which both do not require excellent map reading skills as they are easy to find. The staff were extremely helpful and very welcoming, and the continental breakfast was very good. I would recommend this hotel to anyone who is looking for a comfortable stay in a well situated Georgian town house.	
Aug 12 2008 	Good hotel in Bloomsbury	Stayed here for two nights in August 08. The hotel is well located in the Bloomsbury area, just of Tottenham Court Road and not far from the West End theatres, Oxford Street etc. Nearest tube station (Goodge Street) is about 5-10 mins walk . The hotel and our room were very nice and the staff were friendly. Breakfast was lovely and one of the nicer ones I've had in a London hotel - cooked breakfast was made to order and the continental breakfast was plentiful and included lots of different types of fresh fruit. The room was fine and the bed very comfortable. No noise from other guests or outside, so had a very peaceful night's sleep. Only slight niggles were that the room and bathroom were quite small - ok for a couple of days stay but would have been quite cramped if stayed longer. Also there was no lift and as we were staying on the top floor we didn't enjoy the trips up the stairs! Overall though, this hotel was good value for money and would recommend it.	
Aug 3 2008 	Great quirky hotel	Booked this hotel after searching the web for a reasonably priced hotel. This did not dissapoint. We arrived about 11.00ish checked our bags in with no problems. Very quick and polite reception staff. Went back to hotel later and went straight to room. Room was nice size with a lovely soft bed, one of the most comfortable i have ever slept in. We had fresh apples in the room and complimentary water and papers during our stay. Did not stay for breakfast so cannot comment there.Check out was quick and again polite. Left our bags until later in the day, again with no problems.Hotel is in a great location although the 10 minute walk to Regent Street is a bit under estimated.... ok if your Seb Co though!!!!. Tube station is a 10 min walk.Catch the tube if your going to Victoria Palace Theatre. Much quicker and cheaper than a taxi. £20 for a 15 min journey is a bit extreme.	
Jul 28 2008 	Avoid this place	This hotel stood out for me when I was looking on the internet for a mid range priced hotel in a good location. It is made up of 5 georgian houses which I thought would give the place a bit of character and elegance. In actual fact, it means that the rooms are tiny, there is a shabby feel to the fittings and there is no lift. As my room was on the top floor this meant hauling bags up and down 5 flights of steep stairs - in 30 degree humid London heat this was no fun. The rooms do have air conditionning though so that was a plus. But that was the only plus.The bathroom was the tiniest I have ever seen - fascinating really how they managed to get the fittings in atall. The light above the mirror didn't work, the kettle didn't work and nor did the safe. They had the usual Molton Brown shower gel and shampoo but when I used most of this on the first day they didn't replace it on the second day which is a meanness that I have never experienced before. I would not stay here again - the area was great though so would definitely recommend staying somewhere nearby but give this place a miss if you want to really enjoy your visit to London.	
Jul 27 2008 	Totally overpriced	Most of reviews here are positive so was guided by this. Disappointing experience. Room itself OK but very small. Public areas v. down at heel and staff, whilst nice, seemed to not be quite with it. Would have been OK except for the price. Very expensive for what is on offer. There is much better value out there, in nicer parts of London.	
Jul 25 2008 	Quality small hotel in Bloomsbury	Booked a night with lastminute.com at the last minute - good rate.Small but very comfortable room; it was a hot night so the air-con was a saviour. Reception staff a bit do-lally and cold. Safe and blinds in room did not work; staff aware though. Shower a bit basic but okay; bathroom very small, but nice smellies etc.Breakfast well presented, of good quality and served in a quick and friendly manner.	
Jul 11 2008 	Winner of the Rudest Front Desk Staff Award	We stayed at The Academy at the very end of a month long vacation during which we had stayed at 9 other properties. On the plus side, the Academy had the most comfortable bed we slept in during our entire trip. The room was beyond small, but the bed was a piece of soft heaven after many very hard beds. And the breakfast staff were incredibly nice people. On the negative side, the person who worked the front desk was the rudest woman imaginable. It was like you were bothering her by checking in or checking out. As another review stated, &quot;check in time is 2:00 pm&quot;. She doesn't inform you there is a solarium you can sit in while you wait, she just offers to store your luggage and then sends you away. When we asked for a recommendation for lunch she drew a huge circle on a map and said &quot;there are many restaurants in this area&quot;. Wow! Thanks for the recommendation. At first I thought it was just us, but then, while we were sitting there waiting to check in, I saw that she treated everyone with disdain. I can't imagine why they hired her. Unfortunately she was there all 3 days of our stay so I have no other front desk person to compare. My advice to the hotel? Hire people who actually like your guests.	
Jul 8 2008 	Pricklystaff--Don't Waste Your Time and $$$	My friend and I stayed at the Academy on June 29th and June 30th, and received terrible service. We were fully expecting the great service that normally accompanies a boutique hotel. Instead, we were greeted by a grim woman who was all business, not one bit friendly or helpful. We arrived at 7am from a long transatlantic flight and asked for an early check-in, but they were adamant that we not get in the room until 2pm on the dot. In addition, I was quoted one price on the phone when i called them directly to reserve and they ended up charging me more than what they originally stated in the phone call. Very shady practice, indeed.The staff did not know anything about the local attractions and they were dismissive with any questions. In fact, will I was trying to get some basic info out of Sandra (like what time the London EYe closed, for instance, which she didn't have a clue about, nor did she offer to find out), I saw the doorman blatantly roll his eyes at my question. Rude, rude, and rude.Do not recommend.	
Jul 3 2008 	Mixed Experience	I booked a single room at The Academy for a long weekend. The hotel itself seemed fine, and the location is very convenient, even though Gower Street is pretty busy. Unfortunately, my room was the smallest hotel room in which I have ever stayed, even in London: it was a low-ceilinged addition to the original building with a single bed in it, and was dark and rather depressing. I asked for another room that evening, but there was nothing available. The next day they allowed me to upgrade to a double room for a modest enough amount, and it completely transformed my experience: it was more like a junior suite. If you plan to stay here, I would strongly recommend trading up to a double, or going elsewhere. The staff were courteous, and the bathrooms have the usual Molton Brown toiletries, etc., but if you want a room that at all resembles their website photos you have to pay a bit more.	
Jun 30 2008 	Disgusting service and rude pretentious staff	I stayed at the Academy on Thursday 19th June in a twin room for one night. Whilst I found the room pleasant, I cannot say the same of the service I was provided, in particular the reception desk staff. Our breakfast was served cold. The waiting staff took it back to the kitchen and returned 15 minutes later. I was disgusted to find the breakfast was re-heated (We knew this because the poached eggs were now hard and covered in black pepper – which we had sprinkled on the first time we were presented with them). To my amazement and despite it being re-heated, parts of the breakfast were still cold. The staff asked if they should ‘try again’. I told them we would eat elsewhere. Upon checking out, the reception desk asked me to pay for the tea and coffee we had at breakfast. I explained that we had not eaten breakfast and that I would not be paying for refreshments I had whilst waiting for the Chef to cook a breakfast and the waiting for it to be re-heated. At no point during this conversation was an apology offered. I was extremely disappointed in the attitude of the reception desk staff member who appeared pretentious and rude. I also find it astonishing that the hotel can charge £15 for breakfast that it not up to standard. I will not be using this hotel again. Dr Simpson	
