	Glorious public spaces but worn out rooms	We stayed at Claridge's for a weekend in November in a suite, which we were told had recently been 'refurbished'. The bedroom and living room, although both very large for central London, were rather worn out with vintage curtains and some chipped paint and tired carpets - fine generally, but not at £1,200 per night! The service standards are good, probably amongst the best in town, and the lobby is one of the most glamorous. For us, though, the room was a big let-down. Brown furniture, cheap pictures and very old fashioned lights and so on. It reminded me just how chic The Connaught now is, albeit with rooms which are a fraction of the size.	
Oct 13 2009 	Amazing birthday treat - SheilaL - Hertfordshire	This was a surprise birthday present from my wonderful family. On arrival the door to my car was whisked open by the smartly dressed doorman and mine and my daughters luggage was removed and stowed in the hotel so quickly I think my driver was still reeling from the service. We were met by genuinely polite and smiling staff who directed us to the waiting receptionist. Re a previous comment our room, despite not being in the top price bracket by any means, was well decorated, airy, very clean and comfortable with a bottle of gently chilling champagne on the sideboard and assorted fruit. The bathroom was a very good size, with one of the largest baths I have seen in a London hotel and a shower very similar to a monsoon downpour. Loved the quirk that should you have a problem in the bath you could pull the cord for either a maid or a valet, very poirot! After quickly freshening up I was again whisked off to have a sumptuous lunch in the Gordon Ramsey restaurant. My family had remembered that I really wanted to taste just how good food by top chefs actually tasted, you are always hearing about the intensity of flavours and I just wanted to sample this for myself. What can I say, I was not disappointed in any way, the food was superb and the taste supreme. The staff were highly attentive and helpful, whilst not rushing you to make up your mind. The wine list was amazing and there was something for every pocket. This hotel is so well situated as near to Bond Street, Oxford Street and Regent Street for shopping and all the major sites for tourists. Staff we found to be a delight, perhaps you get back what you give!!. I liked the idea of the service charge as that sorted the age old problem of who to tip and how much. I expect there will always be people who will moan,and lets face it there are, but the service we received was deserving of this. I have travelled the world and stayed in some top hotels and they all have their plus points but when it comes to old fashioned personal discreet service and considerate staff I felt that Claridge's was top of the tree. If you want a modern hotel with whizzy staff then stay in one and leave Claridge's to the people who may appreciate it. I certainly had a birthday to remember.	
Oct 8 2009 	best hotel	The Claridges hotel in London was the best hotel experience we have ever had. We travel frequently and stay in high end hotels but this was beyond our expectations. The rooms were impeccable and the lobby was the center of action. The Mayfair location was great. One block from the Bond St tube station, which we used every day. Theo, our concierge, was the best.	
Sep 9 2009 	u need to have the right surname !!	i phoned the hotel to make a reservation for a 2 night stay, i was told the hotel was fully booked - i normally use my maiden name when booking hotels. i phoned ten minutes later and i used my husbands name, they asked me to confirm who he was and surprize surprize, i got a reservation for the same 2 nights i was told were fully booked !!!!!! the staff seem to forget that it is the guests that keep them in a job and should drop the attitude	
Sep 3 2009 	Disappointed after high expectations	I stay at a wide range of hotels and even clubs in London depending on the mood and varying neighborhood preferences. I had stayed at the Claridge's sister hotel, the Connaught, several times with the full range of experiences from exquisite to awful. I had heard so much about Claridge's that I thought it would be a step up from the Connaught. Finding a discounted special rate on the Claridge's web site, I booked it expecting the best. I then needed to come an extra day early and booked that extra day by telephone, understanding the first day my cheaper room was not available but I would have to take a nicer room at a higher price and move to the cheaper room the next morning. While the exterior is impressive, the interior seems ordinary for a luxury hotel and nothing special. The central stairwell and hallways cannot compare to that of the Connaught. I thought the service was no better than any other good London hotel. A room service dinner arrived on a rolling table with no glass of water, no bread and butter, no flower in a bud vase or any other decor. In fact a doorman never opened a door; the attended elevator isn't attended through the night, and one must duck around the corner to a secondary elevator during those hours. Worst yet, when I went to the front desk to arrange the move to the cheaper room after the first night the front desk tried to &quot;upsell&quot; me to stay in the same room at the higher price. When I said no, I wanted the lower rate and was prepared to move to a different room, the front desk denied that I had the lower rate in my booking, even after it called the reservations department. Only when I spent 10 minutes digging out my printed confirmation from the Claridge's web site did I persuade them that I had booked a lower rate. Then they said I didn't have to change rooms after all and I would be staying in the same room at the lower rate (And I had spent 1/2 hour packing for the move.) I felt uncomfortable having to press the issue, and that is not how I expect to be treated at a hotel of this reputation. Perhaps I was treated this way because I was paying the lowest rate in the hotel -- but I judge luxury hotels by how they treat their lowest ranking patrons. On the other hand, the location is superb, very close to Bond Street and its Tube station, and the bed was comfortable. The room was clean, pleasant, and well maintained, but there was nothing particularly elegant about it.	
Sep 2 2009 	Superb Service at one of London's top hotels	Our one bedroom suite was large and well appointed by London standards. The public spaces are obviously beautiful. Great fitness center! Service and food at the breakfast/tea restaurant were good. Location is ideal. Most impressively, the service was superb. Everyone from the doorman, bellman, front desk staff and concierge could not have been nicer or more helpful. Concierge arranged for hard to get dinner reservations on virtually no notice! Very friendly and welcoming ambience. This is definitely my new hotel of choice in London.	
Aug 21 2009 	Very Service Oriented Wish Rooms would match	Overall we really liked Clardige's. The staff was very service oriented in addition to being kind and helpful. The breakfast was also very nice. However, we got an art deco room that could have used some refurbishing. If Clardige's would update the bathrooms and plumbing it would be even better! I would just recommend you ask for a modern room and not an art deco one.	
Aug 19 2009 	Best food in London	Excellent food and service,upgraded to a suite,so overall fantastic experience.	
Aug 15 2009 	Birthday Treat	We stayed for one night midweek, and dined at Gordon Ramseys.The welcome as you enter the hotel was one of the warmest I've ever experienced. Everyone of the staff attempted to make eye contact and smile, which was very pleasant, and most unusual in Central London !We booked a delux double, but found a special offer on AMEX subsequently which provided champagne, breakfast and a voucher for Harvey Nics. We contacted the hotel prior to arrival, and asked for the special offer to be included, to which they immediately agreed. Upon arrival, we were upgraded to a suite. The lounge in the suite was bigger than my lounge at home ! Wonderful.We had a pre dinner drink in the bar, which was quite crowded, although the waiting staff were still attentive, and found us a table. The place had a nice buzz, and yummy nibbles.Dinner in Gordon Ramseys restaurant was excellent. We had the tasting menu which we really enjoyed. The only small point was that I would have preferred a selected wine recommended with each course, rather than having to chose from the wine list for each.The suit itself was very comfortable and surprisingly quiet, although we were on the fifth floor. The bed was very comfortable.Breakfast in the morning was good. Clients are clearly very demanding, and every combination of breakfast item seemed to be available.Check out was smooth, and we left our bags at the hotel to collect later after a spot of shopping ! Very enjoyable stay.	
Aug 10 2009 	Simply the Best in London	I was extreemly pleased with my stay at claridges. Super service, perfect location and the hotel is splended. I would recomend it to anyone appreciates the greatness og service and luxury.	
Aug 10 2009 	Absolute Indulgence	Recently had a 2 night stay in a suite at Claridges. This amazing Art Deco style hotel in the heart of Mayfair has everything to offer for a romantic or special occasion. I booked a Junior Suite and was upgraded to a beautiful and very large Mayfair Suite. All of the staff were attentive, helpful and polite and the concierge in particular went out of their way to help us with some reservations. The location of the hotel is perfect for theatre, dinner and shopping. A very memorable stay and I would definitely go back again. The only minor negative would be the lack of a CD player in the rooms - with a GBP2.00 charge applied if you want to play music from their selection.	
Aug 4 2009 	Good but not good enough	I agree with what many other Tripadvisor members have written: the public rooms are very impressive, the location is excellent, as is service (and those charming elevators!) but the rooms... My room was very small and when I saw the decor in the 2 of the suites (for 1700 pounds per night), I was not too impressed. It is a nice hotel, but not worth the money. You might want to consider looking elsewhere.	
Jul 28 2009 	THE hotel in London	Claridge's is simply the best hotel in London (I've stayed, for example, at the Dorchester and Langham and they cannot be compared with Claridge's). The service is very professional and friendly (they have lift operators, butlers in suites etc.), the hotel is very clean and the location is quiet and good. We got a free upgrade to a huge suite (which included for example an expresso room!) with complimentary champagne, flowers, chocolates, fruits and three different waters to choose from. Lunch at Gordon Ramsey's was really good. All in all, a perfect hotel experience!	
Jul 23 2009 	Top rate stay at Claridges as expected	The standards at Claridges are consistently high, which makes returning to this property a pleasure. Staff are professional, rooms lovely and comfortable, drinks well served.	
Jul 21 2009 	Claridge's is the best!!	We loved our stay at Claridge's. Every hotel should be so elegant with staff so helpful. I know it's expensive, but sometimes you just need to splurge. The location is ideal as it is very close to Selfridges and House of Fraser. It's a 10 pound cab ride to Paddington tube station which has high speed trains to Heathrow.	
Jul 18 2009 	Everything and more	Had two wonderful days at Claridges where we were upgraded (at no extra charge) to a suite. It's luxurious, the service is professional, friendly and exactly what you would expect of the best hotel in London. Naturally, everything is costly but that's what you expect. The Art Deco decor is exquisite and the attention to detail and little extra touches are what make it extra special. Two dinners in Gordon Ramsays at Claridges (£70 per head plus wine, water etc) were delicious and this whole experience is one I will never forget. If I can ever afford to again, I will definitely go back to Claridges	
Jul 11 2009 	Expensive but not sure we would stay again	Claridge's is above all a name. All the celebs stay there, so for my boyfriend's birthday I thought I would treat him and see what all the fuss was about. We were ready to check in at 2pm and told that our room was not ready. Good start. We went for lunch and were told I would recieve a phonecall on my mobile when the room was ready - certainly within the hour. We did not receive a phonecall. By 3.45pm we went back to the hotel - we were concerned about the time since we were due to go out at 6pm - and although our room was ready (just as well otherwise I would not have been happy) we received no form of apology. This is supposed to be the best hotel in London! At the time I did not make a fuss but for what you pay per night, we had lost a couple of hours in our room which equated to a good few drinks in the bar! To top it off our air conditioning did not work and we had a very hot and uncomfortable nights sleep.Moaning aside it is a beautiful hotel and great location but be prepared to pay over the odds for everything. £31 for an full english breakfast? I don't think so. If you make a reservation make sure money is not a problem. Also, if you write a complaint letter to the mangement after your stay, expect to not receive a reply - I am still waiting to hear back after my letter dated 25th May! Will let you know if I receive any form of response but to be honest, I'm not expecting it!	
Jun 25 2009 	Wonderful wonderful wonderful	It was quite simply - WONDERFUL. We stayed just one night, a special treat for my husbands birthday. Everything about this place is just so special, including the staff who dont care if you arrive with or without matching suitcases. As far as they are concerned whilst staying at their hotel you will be treated like royalty. The hotel is steeped in history and it all adds to the ambience. I cannot recall the last time I had such a fabulous nights sleep in a hotel, the pillows are to die for. Ate late lunch inthe reading room and it was fantastic and considering you are in the heart of Mayfair the price was very good. The food was excellent and the service superb, if you want cheap and cheerful and continental breakfast this is not the place for you if, on the other hand, you want to be spoilt to death, made to feel very special and dont mind spending a little bit morethen this is the place for you.i	
Jun 22 2009	I agree with Spencer Tracy	From the moment you enter there is the feeling that nothing is a problem, and it is not. Claridge's is uniique and can not be compared. It is a step above all the rest-from the fantastic concierege,the lift operator ( lift includes a small couch ) who knows you, to the opulent yet perfectly understated English rooms it is unbeatable. It gets better in the fact that all the help seem to truly like their job and the hotel and you feel this. One bit of advice anything is possible as long as you pay but there isn't even the need to write a chit, the staff knows and accomodates to Perfection.7 nights was not enough and now in London I can't stay anywhere else!!	
May 31 2009 	Friendly and efficient staff huge rooms and old school glamour - could you ask for more?	I thought I would rewrite my review on Claridges as I have stayed here quite a few times recently and I have nothing but praise for it. Having stayed at quite a few hotels in central London now ( a lot which I am indifferent about and therefore can't be bothered to write about) I have decided that this really is one of the best options around. The staff are so friendly, it doesn't take long for them to recognise you and understand and adhere to your preferences without being asked to. The manager is always knocking around and will introduce himself readily, going out of his way to help a guest in any way he can. No mater what type of room you are in it will be huge, bathrooms might be old but they are clean and the baths themselves are always extra long and super deep perfect for a relaxing soak at the end of a hard days shopping or work! Furnishings are old but spotless and the beds are the most comfortable I have ever slept in. You are spoilt for choice when it comes to eating too with Gordon Ramseys downstairs if you want to splash out on fine dining or the hotels own restaurant wth equally fine dining at surprisingly affordable prices (three course set menu around £40 including little extra amuse bouches etc) or you can opt for room service which is of surprisingly high quality although a somewhat pricier option. All in all, as long as you are not looking for something ultra modern, you won't go wrong with Claridges!	
May 20 2009 	A Magnificent Mayfair Jewel	Claridge's is an exquisite property located in the heart of Mayfair. The distinctly Art Deco hotel is favored by many famous guests as we saw many walking the lobby and hallways. We got two Deluxe King Rooms through a special offer, while there were not breathtaking views (Mayfair rooftops/buildings), the rooms were suprisingly spacious for London. We had never even been in the hotel before our stay but friends said nothing but good things about it. A Bentley Continental Flying Spur picked us up from the airport and took us to the hotel, then a wonderful staff and our butler were more than helpful with securing restaurant reservations and theatre tickets as well as suggesting new, fun things to do around the city. Our rooms were both art deco style as opposed to classical (we had a choice). The restaurants in the hotel are nothing but fantastic!!! We ate breakfast every morning in the Reading Room or Foyer (one morning the Room, the next the Foyer, etc.) they are both lovely. We also had afternoon tea in the Foyer which was impeccable, before the theatre. The West End is within short walking distance and we saw Mary Poppins which was fantastic!!! Also in the hotel, is the Gordon Ramsay restaurant, while not as good as his signature one on Hospital Road, it is certainly a nice evening out. Although I did not make use of the fitness facilities, I had a massage in the spa which was fantastic. We saw three Barbra Streisand concerts, all at the O2 Dome which was really in Greenwich but the hotel made transportation to and from the venue so easy. The ONLY negative about the hotel was the location. There was really nothing of interest within walking distance (other than the West End) such as Bond Street or Knightsbridge/St. James. Other than that, this is certainly one of London's top hotels and would return in the future, especially if it underwent a major re-do.	
May 18 2009 	Fabulous Unique Faultless	I have just been fortunate to come back from my second stay at the world's most perfect hotel. From the moment the taxi pulls up outside and a white gloved hand whisks away the luggage, to the bed so large and comfortable I can lie across it without touching the sides, the unobtrusive turndown service that includes replacing my supermarket bookmark with a claridge's own, the unique and delicious cocktails in the bar, the immaculate and delectable breakfast, to the ability of the doorman to summon up a taxi (and my case at the same moment) from an empty london street, everything is immaculate.But most of all, Claridges delivers on service. Without distinguishing in any way between the tourist who has saved up for a once in a lifetime treat, the jaded business man on a regular visit, or blue blooded european royalty, the standard of service is pitched perfectly. Despite the number of guests, everyone is made to feel a valued individual - if you mention on checking in that you are going to the theatre that evening, the next day you will be asked if you enjoyed the show.Of course you pay for this and if you just want a bed for a night in london, you won't appreciate this hotel. If you want trendy, cutting edge fashion, it wont appeal either. But if you want a taste of possibly the most famous vintage hotel, there is only one claridges.	
May 18 2009 	A Great Stay - Disaster thrown in.	My friend and I booked this as a secret location through last minute. Imagine our delight when we found out it was Claridge's.We were doing the 26 mile Marathon called the Moonwalk for Breast Cancer that evening.We arrived and were knocked out by the decor. Check in was great and we were given late check out due to requiring sleep in the early hours rather than the evening. We were shown to our room but the maid was still cleaning so a pot of tea was provided for us while we waited.The room was great with large bed and fantastic bathroom. We unpacked got changed and went down for afternoon tea. We had Floral Afternoon Tea which was a delight, the whole thing was just yummy! The duet playing the piano and double bass were excellent.Following tea we went to try and get some sleep as we were going to be up all night, the bed was so comfortable I went straight off. We had our showers and got our clothing on for the Marathon we were still preparing for the challenge ahead when I thought I could hear the shower running I looked into the bathroom to see water running through the ceiling. Someone above had obviously left their bath running. I rang reception straight away saying it was an emergency and explained the situation. I switched off the bathroom and lobby lights as they were now flickering and reached into the bathroom for some towels to stop the flow under the door as our bathroom was now like a swimming pool. Someone appeared at our door and did not seem to understand that the problem was with the room above and the only way the water was going to stop was to get them to switch the bath off. An electrician arrived and the water was now running into the bedroom so we had to gather everyting up and put it in the wardrobe. The electrician announced it was unsafe and was going to have to plunge us into darkness.We at this point needed to leave to register for our Marathon, we could really have done without this and we now felt less organised as we hadn't completed our preparation before the disaster. On leaving the hotel I need to assure myself that we would indeed be coming back to a dry room on our return. I asked the receptionist to step to one side as there were guest checking in and I didn't want them to think Claridge's was falling apart. The receptionist called the executive housekeeper whose name was Jutta Asta, and we explained our situation, she said that all would be well when we returned in the early hours of the morning.When I got to Hyde Park I realised I had left my camera battery on charge in the room and due to all the panic had forgotten it. I had intend to record all the sights on the way round and was bitterly disappointed, however I rang Claridge's and explained what had happened and that the gates were closed and I could not come back to collect it and they sent some one to Hyde Park with it. This was incredible service.We completed our Marathon and when we arrived back Jutta was waiting for us and indeed, from that moment on everyting was sorted staff were rallied to collect our things from the room we were given another room breakfast and champagne was ordered and we were tired but very happy. We slept for a few hours and then went to Gordon Ramsey's for lunch. This was excellent and the service spot on.Although we had a disaster not caused in anyway by Claridge's but by a guest, we were treated extremely well and Claridge's certainly pulled out all the stops to make us feel better about the situation.Jutta Asta the Executive Housekeeper was just fantastic and we cannot thank her enough for everything. Also Christophe who came all the way across to Hyde Park with my camera battery.The service is unbeatable. I will be staying here again.	
May 4 2009 	Undoubtedly the best hotel in London...	I travel all around the world for business or leisure. I often stay at luxury hotels as I really pay attention to details that make you feel the hotel is worth every penny.There are many 5 stars hotels in London. Most of them state they are the best in town, they are second to none...According to me, most of the London 5 stars hotels are old fashonned. They lack serious overall renovations or refurbishings. The Dorechester is among these hotels as it provides an excellent service but has old fashonned furnitures. Contrary to Paris that has 5 to 7 real palaces (outstanding building, beautiful furnitures, excellent food, premier service...), London can not boast with a real palace that exceeds common luxury standards...except the CLARIDGES.My wife and I wanted to stay in a Mayfair hotel. This area is located in the center of london's main attractions. In that point, the Claridges hotel is perfectly situated.We wanted to stay in a moden / art deco room in a hotel where service quality still has a sense. We reserved a Claridges suite designed by David Linley, a genius furniture designer.We arrived in London early in the morning. A Bentley limousine was waiting for us. The driver was friendly and class.At the hotel, they upgraded us with a Linley suite that is one of the best modern / art deco style suite of the hotel. A bottle of champagne, a fruit plate and flowers were put in our suite.During our stay, we tested the staff. Our butler together with the concierges were very professional and friendly. They showed they paid attention to our requests. We ordered food via the room service ad we also eated at the main restaurant. Everything was perfect. Food quality was great like in many french palaces.As a summary, we spent 3 unforgettable days in that hotel. The Claridges is definitely the best hotel in London. It is a perfect gateway for people expecting the best.Thank you very much to the hotel's staff	
May 4 2009 	Superb superb superb	Claridges is not only one of Londons most famous hotels, but one of the worlds, with a long illustrious history, favoured by both old and new money (apparently on one occasion a diplomat rang Claridges and asked to speak to the king, receiving the reply... certainly sir, but which one?).I spotted a deal on a website for 3 nights over Easter that seemed too good to be true, and booked it. It turned out to be an agents mistake but the price was honoured anyway. Thank goodness, for this was an experience not to be missed.Firstly the room... it was smallest king room they do and I tell you it was enormous for London, and big for anywhere else. The king bed was in fact a 6' by 6' superking and supremely comfortable. The room was serviced twice daily and we were never interrupted for service purposes. The room itself overlooked an interior courtyard so no view...Next the bathroom... and this truly deserves a mention on its own... fabulous double depth half sunken 6' bath that fills in no time and retains the water heat makes this the best bath of any hotel. Furthermore the room soundsystem is fed into the bathroom. Me and my partner love our baths together and we spent ages enjoying this. From a practical getting clean point of view it had an awesome showerhead above the size of a dinnerplate that just drenched me!Food... We had breakfast in the restaurant once and the room twice. Each time it was lovely and the service faultless. We also had afternoon tea and again this was fantastic, they make it a real occasion... expensive yes... at over £60 for 2, but wonderful, there were over 30 types of tea on offer, the sandwiches were divine, the scones so light and the cakes so rich... Again the service was immaculate but please understand afternoon tea is an event here so set aside at least a couple of hours to enjoy the experience. We didn't have any evening meals here but we did have a few drinks in the evening in the bar and fumoir (before the smoking ban a designated cigar bar, now a very characterful non-smoking bar). The cost of drinks are, as with everything here, pricey, £7 for a pint of beer, but you dont go to Claridges with a closed wallet. The service throughout was utterly faultless and a pleasure from the moment of arrival to checkout. I will be staying again, even though I know I'll have to pay much more next time, the place is just fab.Even if you only do it once, this should be on your list of lifetime &quot;must do&quot; experiences.And yes, there is something very special about stepping out of Harrods into a cab and requesting &quot;Claridges please&quot;... even if all you have in your Harrods bag is some sandwiches to snack on in your room till dinner!!	
Apr 23 2009 	Fantastic break in great location	We have just returned from 3 lovely nights at Claridges London. We we treated wonderfully from the minute we arrived when our cases were swiftly dealt with. We were offered complimentary champagne as a welcome drink in our room and treated very well throughout our 3 night stay. Be aware that this is a true 5 star hotel and if you are not prepared to pay 5 star prices then it is better that you do not come here! If you do choose to come and accept the prcies then you will have a lovely time. Our only slight gripe was the wait every morning for breakfast and the slightly slow service for breakfast - however we were in no rush!! The location is great with everything in walking distance. Enjoy!!	
Apr 14 2009 	What a luxurious weekend in London	My wife and I were planning a weekend away and decided to go to London because we love it so much.We were looking for a luxurious and relaxing Easter Weekend. I had stayed at Claridges a few years ago when on business and I remebered I really liked it. I researched many of the five star hotels and decided this was the property that would best suit our needs.We arrived on Thursday morning and I had arranged for a car with the hotel Concierge to pick us up at Heathrow. We arrived at the hotel around 10am and we were able to check in early to our junior suite. The room was excellent. about 750 sq ft. it had a seperate small sitting room with two comfortable chairs, tv, mini bar and a desk. This was where we too our afternoon tea!The bathroom was large (all white marble) and the water pressure in the shower was terrific. Our bedroom was very large and had lots of closet space, king size bed and very nice old furniture. This is an old property but the up keep in our room and the hallways is excellent. I would say the carpets have been replaced in the last couple of years. You get a great feeling of the history of the hotel by the decor and furnishings but for some reason it doesnt feel worn out. My wife had a spa treatment and she enjoyed that. I used the gym twice which is very nicely equipped with proffessional grade equipment.The package was good value for London five star hotels. We paid $495 pounds (about $900 Canadian) for the juinor suite and it included a bottle of champagne on arrival and full english breakfast for two each morning. I love afternoon tea at this property. Its a pricey (about 30 pounds each) but so enjoyable. We had it each day. London is a great city for being a walking tourist. This hotel is in an excellent location for window shopping all the great stores. We ate at a great two michelin star restaurant (The Square) it was only a 5 minute walk. On our last night we ate at the Gordon Ramsey restaurant in the hotel. It was very nice as one would expect. Lastly, the staff at the property are exceptional and I cant think of any more than that. Ive stayed at a number of Four Seasons hotels (My Standard for excelence) and Claridges ranks equally in terms of service and value. If you are prepared to spend the money for 5 stars in London, stay at Claridges, Its worth every penny	
Apr 11 2009 	Stunning. Pricey but worth every penny.	Apart from the location and beauty of the hotel, the thing that stands out most is the quality and friendliness of the service, which is absolutely outstanding. Nothing was too much trouble. Every request was handled with effortless efficiency. The food is also of an exceptionally high standard.	
Apr 10 2009 	A friendly palace!	Yes,that is Kate Moss in the bar and Marc Jacobs in the lobby but the beauty of this hotel is that everyone is treated in the same friendly manner.I am a nonentity but get the loveliest,genuine welcome imaginable.The staff ,who have been there years,are truly concerned about their guests.Arrival is like coming home after a long ,arduous trip away.If you want to take someone special somewhere special then this is where you go.The most calm and romantic venue imaginable.The bedding and bathroom are without equal.The tall,immaculate gentleman keeping a close eye on everything is the manager;Alex ,his deputy ,is without equal.I have turned up with my 6 children in tow and had the welcome only a plutocrat would expect.Just perfect.	
Mar 16 2009	spencer tracy was right!!!	Apparently, Spencer Tracy once remarked that when he died, he didnt want to go to Heaven- he wanted to go to Claridges!! and I have to say, I couldnt agree more.I stayed here with my elderly Mother whilst visiting London for a theatre trip. It was expensive, there is no denying it - but was pure unadulterated luxury, and so much worth the expense for a special occasion. Nothing was too much trouble for anyone, and NO ONE thought they were a cut above (as often happens in higher class establishments)Every member of staff we came into contact with couldnt do enough for us, and I never felt that they had their hand out for a tip - which makes a refreshing change I had booked afternoon tea - bliss (try the ENGLISH tea)After the theatre we came back and had a supper - divine!!Breakfast the following day - I cant begin to tell you how delicious this wasEverything was just PERFECT.Yes, its expensive, but as a treat, or special occasion - Claridges is an absolute MUST.In fact, for my Birthday in August, I have just booked theatre tickets AND Claridges for my husband and I. My advice....... save up, and push the boat out to stay at a beautiful art deco hotel which has a pillow menu (12 different types of pillows - I kid you not) and 3 different types of caviar on the in-room dining menu!!This truly has to be experienced at least once in a lifetime	
