	Works for Me	This is trip #5 to London for me in the past 3 years and out of all 5 hotels in which I have stayed, I feel the Strand Palace works the best for me. Booked a package through Air Canada Vacations and got a very reasonable rate including breakfast. I was assigned a standard single room which was small like so most London hotel rooms in this price range, but it was clean, comfortable, functional and home for 8 days and nights. No complaints at all. Location is great with an easy walk to central London attrractions and the hotel is within a 5 minute walk to 4 tube stations (Embankment, Charing Cross, Temple and Covent Garden). Lots of cheap and fast eats handy as well as some great dining and theatres. The hotel breakfast was pretty standard English breakfast fare served fresh and hot. Seemed that a there was only a wait on weekends. Hotel staff was friendly and helpful and the doormen on the Strand were very welcoming. Overall the hotel rates well for value for price. I would stay here again.	
Nov 16 2009 	Great Location	The Strand Palace offers a decent hotel in a great central London location, ideal for visiting Covent Garden, Trafalgar Square, Leicester Square and for the West End. Having stayed in some dives in my time around Paddington and Bayswater this was a very pleasant surprise and not one that I needed to break the bank to experience. I stayed while visiting the London film festival but would say that the primary focus is business travellers (with cheaper rate single rooms) and overseas tourists. I was amused to be asked to provide my passport details on arrival as I was assumed to be from overseas. In respect to overseas visitors the hotel is pretty shameless in increasing its revenue stream. If you forget to bring any toiletries with you don’t use the overpriced vending machines if you don’t have to. There is a Superdrug and a Boots on the Strand just minutes walk away from where things will be much cheaper. The hotel itself has quite a bit of character and some elegance about it. The rooms are clean and comfortable and come with the extras you would expect. For a large hotel I also found it to be unusually peaceful away from the lobby area even though the hotel was busy. The buffet breakfast was good and well organised but generally service was a little impersonal; as I would expect with a large hotel and isn’t something that personally bothers me. The hotel also has a decent looking restaurant (which I didn’t visit) and 3 bars which are convenient but nothing exceptional.One slight bugbear is that you need to pay to store bags after check-out which is something I would usually expect to be provided as a courtesy by the hotel. Having said that it was only £2 per item and I did only have one bag but larger groups with more baggage might have a nasty last day surprise. Overall though the hotel is recommended and you could do a lot lot worse in London within the same price range. I have already booked to stay again early next year to see a show with my girlfriend and would have no hesitation in making the Strand palace my preferred choice for trips to the capital.	
Nov 14 2009 	good price for London excellent location	I came to London and it turned out I had no place to stay, so I had to find sth ASAP. Strand Palace was actually the only one that had free rooms so I didn't have much choice.The hotel itself is quite scary, enormous (i guess that's why they usually have free rooms) and dark, for me it looked like the kingdom hospital from von Trier's movie. Nevertheless as for London it is affordable and its location just perfect. Rooms are small but the bathroom is ok, breakfasts are really good but make sure to wake up early enough as the queues to get the table are big.Anyway - being in London you don't spend too much time in your room. So clean bathroom, bed and nice location are all you need. This hotel has it all	
Nov 13 2009 	LocationLocationLocation	We stayed here for 9 days in Oct. and could not have been happier. After booking room 6 months ahead, and then reading several negative reports, I was apprehensive about my decision. From the time we arrived at the hotel until we left ,it was one outstanding experience. Staff could not have been more helpful or friendly, everytime you passed a staff member it was always a smile and a hello.We were in a club king room,facing the Strand which was a little noisy at first, but was not a bother after the first night. The room was surprisingly large and very nice and the bathroom was plenty large and had a great shower/tub combo. The full English breakfast every morning was superb and plentiful, The other restaurants were also very good, again with outstanding staff members. Hotel is within walking distance of almost everything . All in all the stay was very pleasant.	
Nov 12 2009 	Not my most enjoyable stay in London but an amazing location.	The Strand Palace did not live up to my expectation. We arrived very early into London after 24 hours flying from Australia. As our arrival was so early we had pre-booked an early check in so that we could freshen up and hit London. The first hiccup was that they couldn't find our reservation, even though we booked it directly with the hotel and were holding the confirmation email. Then, the credit card that we used for a guarantee rejected but was accepted 20 mins later (yes that’s how long we stood at Reception waiting to be checked in.) On arrival in the decent sized room for London standards, I tried to find how to turn the air conditioning on as the room was very hot. I was shocked to find that the way to cool the room was by a tiny fan. So, we rang reception to see if we could be moved to an air conditioned room, which is when we found out that no rooms have air con and we were already staying in the highest category. Even though the bathroom was tiny, it was clean and well appointed. We only attempted breakfast in the hotel on one day as we were totally put off by the very terse greeter. The staff in the breakfast room were much nicer as they were helpful, efficient and smiling. The best thing about the hotel is the location. It’s on the Strand, opposite the Savoy Hotel, not far from Charing Cross station, right behind Covent Garden and amongst Theatres. Buses are on the doorstep, Charing Cross is about 400m away for British Rail trains and the Underground (Bakerloo and Northern lines)and Covent Garden Underground is about 500m away (Piccadilly line).	
Nov 12 2009 	A very comfortable stay in the best location good service and friendly staff.	The Strand is in a good location, staff are very friendly and are at your convenience, a very comfortable stay, highly recommended.	
Nov 11 2009 	Great Hotel 	Stayed here for 7 days and it was brilliant. The staff, amenities, location everything. Make sure you book a club room. For London the rooms are great.	
Nov 11 2009 	Disappointed	After our 4th stay here we were given Room 407, which is rated a Club Room. This is a small (smaller than usual!) corner room so that the desk is 1/2 the size and there is no table by the arm chair which is under the wall mounted TV and proves a challenge when getting up out of the chair. The room is also very noisy even with the windows and wood panels closed. You also have to ask for the bath robes from Housekeeping. Tip of the day - don't stay in Room 407.We extended by one night and no-one, not even the manager, was able to offer us a lower rate. Our original rate was a lot less than the GBP200 we were being quoted for the extra night. It is clean, staff are friendly, great location. We did not use the restaurant - there is a brilliant little place right next door (across from the luggage store called Exeter cafe) serving full English with 2 eggs, bacon, sausages, baked beans, toast and fabulous coffee for GBP4.00Will we return to The Strand? No. As a repeat visitor to the hotel we felt that we were given an inferior Club room in a not so great location and that no concession on the rate was even considered when we extended our stay - we could have moved however our favourite hotel was fully booked and they had a much better rate and with free wireless in the room. We'll be at The Grand next time.	
Nov 10 2009 	In the heart of London	Very good location - in the middle of everything :-)The room was allways nice to get back to in the afternoon - nice and clean.:-)Service good. :-)noice in the room, from aircondition(fans) outside :-(	
Nov 7 2009 	Small smelly room	I hated the room, it stank of cigarette smoke (even though it's banned now), it was the size of a shoebox and I would never go back. (I know they have updated some rooms since, but the size of them is unlikely to have changed).	
Nov 3 2009 	Great location	We stayed in room 368 which was on the front of the hotel looking out onto the Strand. Our first night was Saturday and it was quite noisy on the Strand with buses and people until about 2am in the morning. Our room didn't have proper double glazed windows so obviously your going to hear some noise. I put the fan on in the room which drownred out the street noise and also used earplugs. i would recommend asking for a room on the interior of the hotel if you are a light sleeper.I slept better on the Sun/Mon.We stayed in the Club room and it was very big and everthing was very clean. The bed was comfy. Apart from a bit of noise from the street I have no complaints. Breakfast was brilliant with a great selection on offer. Check in was quick and easy. Charing Cross underground station is a 1 min walk away which made it easy to travel all over London. The Strand Palace is in a great location for exploring London and I would definately stay there again when we visit London again.We used Oyster cards to travel around on the underground which made things so easy. It is so simple to use the underground.Can't wait to go ack to London and will stay at Strand Palace.	
Nov 2 2009 	Good stay fantastic location.	I stayed at the Strand Palace for work at the end of September 2009. I had a Club Single which was very clean, albeit the usual small size of London hotel rooms. It was facing one of the inner courtyards and with it being a bit of a heat wave, it was very, very hot. This was the main drawback for me but forewarned is forearmed and the reviews here at least led me to expect that. I slept on top of the duvet with the fan going all night! The room was rather good, but as small as I expected. The bathroom was nice too with a fairly good shower and as it's newly refurbished, it's very clean. Nice toiletries too. I found the bed surprisingly hard and uncomfortable as I usually like a hard mattress but wouldn't let this stop me from staying again.I arrived at 7pm ish during the week and didn't have to queue to check-in and liked the staff I spoke to who were all very helpful. I wasn't however given a gym pass as advertised for the club room, but as I knew I wasn't going to use it, I didn't chase it. Maybe something you'd like to bear in mind if this is important to you because I'm not the only one to mention this.Yes there are about 8 steps leading up to reception, but I can't actually believe anyone can complain about that! I was hardy enough to carry my bag up those and then into the lifts (and I'm a wee girl!)I didn't bother having breakfast but I had room service the first night and it was very good and the guy who brought it was helpful.I liked the decor throughout but agree that I wish the bedrooms were air conditioned like the lobby is! This would not stop me going back, but I would only go back in winter.Overall I had a pleasant stay and would go back and recommend it to friends.BTW if travelling from Kings Cross you can get the tube to Covent Garden and walk about 7 minutes to the hotel pulling your case if you're not a wimp!	
Nov 2 2009 	Central clean and the price is right!	Took my wife on her first trip to London and was concerned about cleanliness, based on past experiences. Found the hotel nice, clean and very well located. 5 minute walk to Trafalgar Square, Covent Garden Market, the Tube and the Thames. Might be a bit noisy in the Summer with the windows open so better not to have a room directly on the Strand. Breakfast buffet was ample and you cannot beat the price (for London)!! Will be staying there again!!	
Nov 2 2009 	Loved this location	Strand Palace is in an awesome location for visiting London on foot. It's close to Underground stations and popular tourist spots. It's location in the West End means there are restaurants and shops nearby.I had a club single room for three nights, and it was plenty for me. The room was updated and clean. The bed was comfortable, though the pillows were terrible. It was fairly warm for late October, so I ran the tabletop fan to keep some air moving in the room, but that was enough.One thing that bothered me was that the guestroom doors slam. In the morning when people are leaving for their day of site seeing and whatever, it gets pretty loud and not easy for a jet-lagged American to sleep in. :D	
Nov 2 2009 	Perfect for me	I cannot fault this hotel.Top of my priorities is location when booking a hotel and could not ask for a better location than the strand palace. Covent garden just round the corner, as is Liecster square and Piccadily. Buses stop just out the front door and are very easy to navigate round the city.Room was clean and a decent size. Heater worked perfectly but was not needed. TV had good channels. Shower was great. Bed was hard, but I prefer a hard bed.Breakfast was busy but very very tasty.I will return here on my next trip to london and will recomend it to my friends.	
Oct 25 2009 	Value 	I've booked this hotel via hotels.com, It's a superior clubsingle room and the size is okay for me. Excellent price with excellent location. New, clean and helpful staff that i can ev en stored my lugguage after i've checked out, so that i can had a quick shopping before i cuaght my flight!!!	
Oct 25 2009 	Good location and service	On the whole i thought that the Strand Palace was well run and comfortable, in a very convenient location.Service at reception was excellent and cleaning could not be faulted. There was a very wide choice for breakfast and although the room was busy the staff were so efficient that there was a feeling of calm and relaxation.My only reservation was about my single 'club' room. It was nicely decorated and even had wooden shutters, which work better than curtains. However, it was very small, which was disappointing.This is an historic hotel so I suppose the down side of all the lovely art deco design is the occasional small room.	
Oct 24 2009 	very good long weekend	have stayed at the strand palace many times before and have noticed marked improvements to the decor over the last few stays the service is always polite and friendy at reception and you are made to feel welcomerooms are always clean and tidy the location of the hotel is one of the best we have stayed at in london with covent garden china town and west end theatres very close bythe breakfasts are very good with a very wide selection would strongly recommend this hotel	
Oct 23 2009 	Great location in London for sightseeing theatres shopping and transport Small Rooms and Bad Service.	The Strand Palace is in a great location in London for sightseeing, theatres, shopping and transport, unfortunately the rooms and service let it down. We chose a Double Club Room thinking that this would be of a better standard and larger than a normal double room. Instead we found that the room was just big enough to fit the double/queen bed and just allowed you space to walk around it. This room definitely was not as big as those shown on the website photos.Not sure if this was because we booked online and got a reduced rate as we have noticed that we seem to get better rooms if we book directly with the hotel. That said we did book and pay for a Club room so would have expected better.The other point to note is that the rooms are only heated; they are not air-conditioned and only have a plug-in desk fan to cool the room. The site has no mention of if there was air-conditioning but given the standard of the hotel and room rates you would normally expect this. The sheets were not large enough to fit the bed and in our case double bed sheets were being used on a queen size and they barely covered the base of the bed.Best check if the Club Rooms actually include the Virgin Gym Access Pass. We were never provided one and the Club Room information in the room did not state this was included. Checking the site, it still states that this is included with Club rooms. This could have just been an oversight of the Club Check-in person and the hotels brochures but as the Club Check-in was only available 2 of the 5 days that we stayed there, we could not check with them.Breakfast was included in our room rates and is worth doing it this way. Selection did change daily and was of a good standard.Again Great location but don't bother paying extra for the club Room's. They were not worth it.	
Oct 23 2009 	A great choice for the traveller who recognises quality and value.	Great location for main line links. Ideal for Covent garden and other tourist attractions. As a short stay (3 nights), business travellor - accessibility to tube and bus was important. It ticked every box. The best being a simple bus journey to Whitehall, from directly outside the hotel. So easy and convenient. My small(ish) single room was perfect. Quiet and full of natural light (by day); with great lighting in the room (for the eve). Certainly not dimly lit - like so many hotel rooms - which enabled me to work and relax quite easily. Also - the room warmed up and cooled down quickly (and easily), probably due to its smaller size and simple to operate radiator; and it was great that I could open windows easily, to let in fresh air as and when required (something that is often not possible in other hotels, regardless of star rating). Coupled with a lovely view from the room, excellent cleaning staff (friendly, polite and respectful), free bottled water and the usual tea/coffee - I wouldn't hesitate to book in again. Overall - all the staff were helpful and attentive with some (concierge in particular), being keen to ensure my stay (and plans) ran as smoothly as possible. Finally, breakfast was lovely - lots of choice and attention to detail. Staff were extremely busy (as hotel was full, during my stay), but they ensured things ran like clockwork. Carvery - lovely (good value).	
Oct 23 2009 	Great location service and food - just what you need	This was our secong stay here. Everything ram smoothly on both occasions. Excellent position to see the sights and shows. In easy walking distance of many and only a few minutes drive from Euston &amp; kings Cross.We will certainly stay again when we next visit London.Also good for Oxford Street and Regent Street shopping	
Oct 21 2009 	Great hotel! Great Location	The Strand Palace is a good hotel for a very good price. While is not an elite hotel, I found the rooms to be comfortable and clean. I had a simple single bed and there was sufficient space. It was not claustropobic like some other hotel rooms. They were in the middle of construction on several floors last year. Also as the hotel is one city block, I recommend that you reserve a room located in the mddle of the hotel. If you reserve an outside room with a window on the street, there is alot of street traffic as the Strand is a major thoroughfare.	
Oct 19 2009 	Great Location with Class!!	We stayed for three nights at the 'Strand Palace&quot; , it is central to everything that you need to do in London. The room although small ( but a huge bathroom) was well appointed, the staff very helpful. Our whole experience was very positive. Would definately stay there on our next visit and recommend it to other visitors.	
Oct 16 2009 	Great Location Great Service Excellent Hotel!	Located in West End, very convenient to walk around the town. Close to many theatres, and many nice restaurants. The Hotel services is reasonably good.	
Oct 16 2009 	locked me out of my room	The reservation I'd made on their website had been mysteriously cancelled. I had to wait 20 min for them to figure out what to do (there was no one else in the queue). When I finally got a room, my credit card balance only allowed authorization for one night and their machine wouldn't accept my German bank card (which worked at all the cash points). So they programmed my key for only one night! Then next morning after breakfast I wasn't able to get back into my room and they wouldn't reprogram my key card until I paid for the rest of my stay (2 more days) in advance. I asked if I could pay later that day since I had to get to a meeting, but no, had to pay before they would let me back into the room.It has the feel of a big impersonal hotel and the lobby was a challenge to get through every single time as it was always packed with bus loads of people. I had to pay to leave my luggage for 2 hours on the last day even though I'd just stayed there for the last 3 nights. Location's good though.	
Oct 15 2009 	Get out before 12!	Location wise this is hard to beat but the room was cramped and poorly decorated. Getting to the room in the first place is a maze and their room directions leave a lot to be desired. Check out is 12pm, I left my room at 11.55 to iron a shirt and arrived back at 12.03 but was locked out of my room. There was a dispute with the front desk to get back in, I finally checked out at 12.15. Surely they can have a grace period of 15-30 minutes before the room key becomes inoperative.	
Oct 14 2009 	Location location location!!!	I have stayed at the Strand Palace many times over the last few years. The reason that I return is, primarily, its excellent location, immediately opposite the Savoy Hotel on the Strand. The hotel is an excellent base from which to explore the many sights of the west end, Covent Garden, theatreland, Soho, Trafalgar Square, Westminster and the legal quarter. In recent years the hotel has made improvements to its rooms and public areas but I have always found it to be clean and friendly. The breakfasts are great. The rooms are perfectly adequate, certainly not luxurious, but clean and well enough spaced to be comfortable. On recent visits I have used the fantastic Virgin Active gym and pool across the road with tokens that the hotel issues free if you stay in a club room. If you are looking for a central hotel at a reasonable price the Strand Palace is very hard to beat.	
Oct 14 2009 	Pristine ideally located and outstanding staff	If you want to explore the West End, Theatreland and the South Bank this hotel is ideal as you can walk to pretty well anywhere you would want to see.The public areas and our room were all in excellent condition and were exceptionally clean. We had a room on the first floor which had no view to speak of but was quiet. Our friends were in a room on the same corridor facing The Strand and noticed the traffic but they do live in the midde of nowhere so are used to unusual levels of quiet.Our room was well appointed and the ensuite shower room was spotless. The shower was particularly invigorating. The bedroom was fairly warm, the windows don't open and there didn't appear to be air conditioning so the rooms might get hot in the height of summer. The hotel must already have thought of this as there was an electric fan in the room. Every single member of staff we encountered was helpful, friendly and keen to please.Highly recommended!	
Oct 13 2009	Wonderful experience	Hotel is spotlessly clean,lovely restaurents,efficient check in desk &amp; most helpful concierge area.Rooms most comfortable &amp; clean.Location is ideal for most London activities.Would stay there again without question.	
Oct 10 2009 	Perfect location and clean rooms - we love the strand palace hotel	We always come back to the Strand palace hotel, we've stayed there several times. Perfect location in Convent garden, max. 5 minutes walk to the Trafalgar sq. and 7 minutes til Piccadilly circus. The only things we would like to comment, is that we're missing air-conditioned rooms.. In the middle of summer it's very hot in the rooms, and we also miss mini-bar in the room. All in all, this is good value for the money.	
Oct 8 2009 	Outstanding value - outstanding service	A solo traveller would find this hotel absolutely wonderful - especially a female!! The location of this hotel was great - close to Charing Cross tube station. The Concierge Desk was over-the-top helpful in securing tube passes and Heathrow Express tickets...as well as general inquiries. Check-in was easy and most pleasant assistants -the courtyard rooms are very quiet but a ghastly view of an ugly building - my room was quickly switched. Breakfast was delightful - most efficient service and a great array of choices. This hotel was well priced and I would return again - absolutely terrific.	
Oct 8 2009 	Great place for central London	I found a special rate at this hotel for a single that would be approximately 150 USD a night .For me that is a splurge, but hey, I'm worth it! The hotel is close to Covent Garden, theaters underground and bus routes. The single really is a single, it reminded me of a very upscale dorm room, with attached bath. Single bed, a built in desk and a closet. TV on the wall. It was tastefully decorated in a contemporary style. The windows have wooden shutters which really helped with the 4 am sunrise. The concierge, housekeeping and room service were great.As a woman traveling alone I felt very comfortable here.	
Oct 8 2009 	Love this Hotel!	We almost always stay at Strand Palace on our short trips to London. This is a hidden gem, in the center of everything, 5 min walk to Trafalgar square, in the middle of the theater district, a bus stop nearby with convenient routes that take you directly to Paddington or the Tower, and at an unbelieveble for London price! Everything is so close! Breakfast may be crowded, especially on weekends, rooms may require an extra round of cleaning (and they will do it), but I love it!	
Oct 8 2009 	Perfect hotel	We stayed for one night when we visited London and went to a show and would definitely recommend. It was perfectly located for the theatre and all staff were very helpful and friendly.	
Oct 8 2009 	GREAT LOCATION THOUGH SMALL ROOMS	Stayed at the Palace for three nights, very clean hotel, great location but even through I had the Club room the size was dissapointing. bed very confortable but as I was on the first floor at the front of the hotel noise was a issue. I will stay at this hotel again as it would be a great place to stay to see all of London.	
Oct 7 2009 	Short musical London visit	This is my second visit to this hotel and I would happily return the next time I go to London. It's located near everything - shopping - theatres - restaurants.	
Oct 7 2009 	Great location and great price considering how central it is	The staff were very friendly and efficient despite it being a very large and full hotel. The bedroom wasnt very big but very clean and every amenity - lots of complimentary tea, coffe, water, toiletries, etc. Lots of choice at breakfast and food of a good standard. Great location and price - very close to tube stations, and all major tourist attractions withing easy walking distance. Very close to Covent Garden, theatres, the river, Trafalgar Square, London Eye, etc.	
Oct 6 2009 	Excellent location but some service/building problems: No Ramps for Luggage	The pros:-The hotel is centrally located near Charing Cross tube station and walking distance to the main London attractions. No need to take the tube during the stay. Additionally there are small shops nearby (Boots, Tesco) if you need some toiletries or a quick take-away snack. Banks are around the corner.-The room was very clean. And the shower curtain had some magnets in the lower part so that it wouldn't move during the shower. Great idea!-The rooms have safe boxes which are free to use. Also, some magazines were provided in the room for entertainment as well as a guide of London.The cons:-The check-in process took way too long and I was given a room key which didn't work, so had to go back to the reception area and queue up again-The rooms are small by European standards. No minibar and more importantly, no A/C. The fan provided was not enough and opening the windows didn't make any sense due to the amount of traffic in the main road-where my room was facing-Wireless is not free to use. Ridiculous prices charged if you want to use it.-The biggest and most obvious issue for me is that THERE ARE NO RAMPS FOR LUGGAGE! The access from the street (about 12 steps) does NOT have a ramp and nobody came to help me -in spite of carrying a very large suitcase, a backpack and a laptop bagAdditionally if you want to leave your luggage in the storage room upon checking out, guess what? Yes, there ARE NO RAMPS for the storage room either. And on top of that you HAVE TO PAY to leave your luggage. It's the first time ever that I've been asked to pay to leave my luggage. And it's not per room, it's per luggage item (2 pounds per luggage item). Absolutely non-sense-Breakfast was average/poor. Not many choices in terms of food and refreshments. -Bizarre incident on the second day in the hotel: a friend came to drop some suitcases that I had left in his place and the security guy followed us into the elevator -of course, again, no one came to help lifting the suitcases from the street to the reception area- and almost to the room aisle. I'm still wondering why... We were both dress in business clothes so I can not think of any reason why we may have looked suspiciousAs a whole, the location is great for sightseeing and the rooms were very clean but the problems with the room temperature, the lack of ramps for luggage and the poor breakfast mean that I won't be staying there again. If you are only concerned about a central location with clean rooms, it's worth it. Otherwise, look somewhere else. There are some business-like hotels in other areas which are much more worth it than this one.	
Oct 4 2009 	Immaculate room and bathroom hot water and excellent service.	Needed a central London location. The Strand Palace Hotel was excellent with very clean rooms and new bathroom. Hot water, excellent beds and excellent service. The food was world class in the hotel restaurants, this was a big surprise. In fact ,any referral by the hotel staff was excellent.	
Oct 3 2009 	Fantastic location excellent food 	Fantastic location, most things are within walking distance or there is an excellent bus service right outside the hotel. Covent Garden underground station or Charing Cross is only 5 min walk. Shopping, sight-seeing and theatres are all so accessable. The buffet breakfast was excellent - plenty of choice. In the evening both restaurants offered excellent food at a reasonable price. Air conditioning would be nice in the rooms, but we managed with the fan - we had a room on The Strand and noise was not a problem with the double glazing and shutters during the night. The room and bathroom were spotless. The staff were excellent and helpful. We would definately stay there again and have already recommended it to friends.	
Oct 2 2009 	Excellent value for money	The hotel is ideally located, the staff is without exceptrion extremely friendly, helpful and service-oriented, and last but not least: the single rooms are very nice.	
Oct 2 2009 	Terrific location	Checked in 9/24, out 9/29. Small, clean room. Lack of A/C was not an issue during our stay but I doubt I would stay there during the summer. Very close to good food and shopping. Very nice pedestrian area and the staff - all very friendly. Only encountered one incident: arranged a wake up call for the first morning, yet the wake up calls continued each and every morning when we didn't want to receive the call; spoke to the front desk but it was never fixed. This is a good hotel for taking a travel alarm clock with you. I'm not sure why there wasn't a clock radio especially since the music from the t.v. had additional charges for the music I wanted to listen to. I would stay there again.	
Oct 1 2009 	good place good stay and nice people	good location, smiling hotel porter Miguel nice recptionist, Gemma	
Oct 1 2009 	Good choice - Club rooms are stylish modern and comfortable	I had a Club room on the front of the hotel facing the Strand, The room was newly refurbished, elegant without being fussy, and nicely equipped. Only downside was no air conditioning - that's fine by me as I prefer fresh air from an open window, but the road is busy so it's noisy. In mid-summer it would probably be uncomfortably hot and I'd avoid it then, but otherwise I'd happily stay there again. The location - in the West End, close to the City, Parliament and the South Bank - is excellent and public transport abundant. Note - I think that all the Club rooms are refurbished and none of the others are. If that's right, I would only choose a Club room.	
Sep 30 2009 	excellent location but small rooms without a/c	Fantastic location for theatre life and good eating. Also, not far from tube stations. Hotel seems to be very popular keeping the reception area busy almost around the clock. Breakfast is good but the breakfast room is jam packed during 7-9 a.m. Even so the seating procedure is well managed. Rooms are small and tend to get very warm even in late September. Opening the window is not an option if you are a light sleeper.	
Sep 30 2009 	This hotel is very central - its perfect for all London's attractions and the West End	We always use this hotel when visiting London,. It is really central for all attractions. The staff are really friendly and helpful at all times. The rooms are spacious, clean and comfortable.	
Sep 30 2009 	"what a diamond"	Just back from a fabulous weekend with my husband, went to the strand palace as a birthday surprise for my husband, we were not dissapointed. Staff were lovely, left a complimentary bottle of wine and a card for my husbands birthday in our room. We were in a kingsize club room at the front of the hotel, it was great you could lose yourself in the bed. Room was pretty warm but we had a fan to cool us down. Room was immaculate, we were left bottles of water and toiletries every day. Breakfast was terrific so much choice and the food was lovely, it does get very busy especially at weekends but you didnt have to wait too long for a table as the staff were very efficient. All in all I would certainly go back to this hotel, and would certainly recommend it.	
