	Small but satisfying	After reading some of the negative reviews on this website, we decided to upgrade as we arrived at the hotel. The upgrading from standard double en-suite to executive double en-suite cost us £15 a night, and it was well worth the money. We were explained that the standard rooms were very small, with room little more than the bed. When upgrading we got a small, but rather nicely furnished bedroom, with a high double bed (with wooden carvings India style), with room underneath to stack the suitcases. There was a TV, a big Indian wardrobe, and a desk. Big windows facing Trebovir Road. The bathroom was small, but nice with tiled walls and nice equipment, and clean (!). The first morning the breakfast room was full, so we decided to have breakfast in a local cafe instead, but the next two mornings we ate at the hotel. Breakfast was good and plenty: rolls, bread for toasts, croissants, muesli, fruit, cheese, coffee, tea, juice, milk......Service was also good. Our room was not ready when we arrived so we left our luggage in the foyer, and on return, the luggage hade been placed in our room. The next morning we discovered that the electric kettle was not clean (probably some earlier guests have been warming milk or something in it) and when we pointed that out, the kettle was changed immediately.Some of the other reviewers complain about the room size. I quite agree, everything in this hotel is very tiny. The web side photos are almost real size photos! Tine reception, tiny rooms, narrow staircases, but if you're not planning to spend much time at the hotel, it serves your needs. The location is very convenient: 1 min from Earls Court underground station..	
Aug 30 2009 	I'm definitely coming back!	I stayed in Mayflower hotel for a week this August with my boyfriend and we absolutely loved it. Mayflower hotel has a good location on a quiet Trebovir Road with excellent connections (underground). We are budget travellers not interested in luxury accommodation, but Mayflower felt like it to us, for 70 pounds per night! The staff was very friendly and helpful and the room (n:o 40) was tidy and comfortable with beautiful textiles and nice wooden floor. The bathroom was clean and shiny with a very good shower. We had coffee making facilities, a safety deposit box, hair dryer, a free WiFi and a fan, which is more than we usually expect. Breakfast buffet was served in pleasant breakfast room with access to outside terrace. Buffet included coffee/tea, juice, croissants and bread rolls with jam and other toppings, youghurts with muesli etc. and fresh fruit. When in London, you have to accept things like narrow corridors with floor to floor carpeting or tiny lifts. Houses are small and hotels are no exception, at least not in our price range.We will definitely stay in Mayflower hotel next time we are visiting London! We just hope they are not discovered by too many travellers and tempted to rise their prices...	
Aug 24 2009 	DO NOT stay at the Mayflower Hotel and Apartments under any circumstances!	All I can say about this hotel is avoid it at all costs! We booked a one bedroom apartment for a 2 night stay. First impressions of the hotel are lovely - reception is clean and modern and just like the pictures on the website. But that is where the positive review ends. I realised before booking that the apartments were a 5 minute walk from the hotel so wasnt bothered about that at all. But we were allocated Apt 9 which is on the top floor (up 3 flights of stairs) with no lift and far too many stairs for a 4 year old! It was small (about the size of a large double bedroom) with a sofa bed, 2 single beds and kitchen area so overcrowded to say the least. It was unclean and unbearably hot. After much complaining at reception we moved to Apt 8 (one floor below) which was slightly better. However, the whole building is dirty, without air conditioning and in general need to maintenance - holes in the wall, bare wires, nails sticking out, doors held together with tape etc. Breakfast is poor and served in an overcrowded breakfast area.Please believe the negative reviews on this hotel! It really is dreadful and worth no more than probably £50 per night. The apartments are more like a hostel!To make matters worse I actually emailed the hotel before arrival to request a 'nice' apartment as the weekend was a surprise for my husband and daughter. The response I received was 'our one bedroom apartments sleep up to 3 people' - talk about missing the point - I should have known then we were in trouble.As a final note - during my two days here I heard 3 seperate people complaining about their accommodation in the main hotel so it seems that's not much better than the apartments. The general feeling is that the rooms are too small and overpriced.Dont waste your money here - it really is dreadful!	
Aug 1 2009 	BEDBUGS IN APARTMENT!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!	apartment not attached to hotel-ten minute walk round corner-couldd cope with this (plus the noise and general decay) BUT then discovered about ten bedbugs on both bed and sofa bed when we came back at midnight!!!! hotel had no room to accommodate us by then (did not want to risk another apartment) so we had to ring around other places. Having paid laterooms.com £300 for a 2 nite stay this was shocking. The young guy on reception was very apologetic and offered us use of the internet to find somewhere else but really, this is not on. we had to carry our bags back round through the streets to get refund and then start ringing hotels in the area. eventually found acommodation at 1 am. Nightmare. bed bugs aside, the apartment was not the cleanest, dingy, very very noisy and not very secure-e.g. balcony doors did not lock. (right beside tube station, main road) Could have suffered these but the bugs ....no. they suggested that the previous guests may have brought them in...????really not good enough and i won't be booking through laterooms again either!	
Jul 28 2009 	We will repeat!!!	My husband and I recently stayed for 4 nights at the Mayflower Hotel. Located on a quiet, charming, residential street, a short distance from Earl's Court tube, and many good restaurants, the Mayflower is an excellent hotel in London. The accommodation is modern elegance and well maintained, with good sized, modern bathrooms. Breakfast was very good, with a nice selection of continental, and English. Above all, the staff at the Mayflower were friendly, accommodating and always willing to help. Truly an enjoyable stay. We would recommend to anyone going to London. We will be back for sure next time we're in the UK.	
Jul 28 2009 	Courtesy and value for money	A friend of ours had recommended the Mayflower Hotel to us, some time ago, so we had high expectations. Fortunately we were not disappointed. The hotel is very close to Earl's Court station, and therefore it is very easy traveling to Heathrow airport, or 15 minutes from London's West End. The hotel looks great inside, with some lovely architectural details, and the use of some beautiful fabrics make for a wonderful atmosphere. Our room was comfortable, and clean, and the staff were friendly, and helpful. We would highly recommend this hotel, and are looking forward to a return visit next year.	
Jul 23 2009 	Pleasant surprise and convenient location!	I stayed here once and I was pleasantly surprised. I recieved a newly renovated room on the lower level and it was modern, clean and quiet.The one thing i remember about the staff was that I had gone on this trip post a divorce and i was a little down when i arrived. When i was shown to my room there was a desk girl that came to my room to ask me if i needed anything or if i wanted to talk for a minute. She seemed genuinely interested in helping me. That was honestly very sweet and unexpected.My stay was for a week and it was so close to the earls court tube station and in walking distance from nice pubs and things to do. Very nice charming neighbourhood and felt safe.I really liked my room and my bed was soft and the bathroom was really great! It had a walk in open stone or slate shower, bowl and swan neck sink and very clean. This was a pleasant surprise and I was very glad I chose it.	
Jul 20 2009 	Excellent	We are four friends travelling all around Europe and London was our last stop. The hotel we booked last minute because the actual hotel we suppose to misplace our booking but what find we were really impressed with the level of service we received since the time we step in to the hotel till the time we checked out. All the member of staff was really pleasant and very helpful. We have a wonderful stay over there and we will be coming back again to mayflower. The room which we were in have enough space and very clean. The breakfast was excellent. I love the lounge area it was really relaxing and above all they have a small garden at the back of the hotel which was really nice as we have our dinner over there. I don’t agree with the people as they say the rooms are small they are not as my own experience the rooms are smaller in the other European countries.	
Jul 12 2009 	Absolutely Cramped	This place was nothing special.. especially for the price! I stayed in hotels in Paris, Berlin and Rome that were all nicer than this one and less than half the price. There was a TV in the room with a desk and a chair... but the TV took up all the desk space, and the chair was so close to the bed that you literally couldnt pull it out far enough to sit on it! This place was a real disappointment.	
Jun 18 2009 	Amazing 2 nights in a WONDERFUL hotel	I arrived at the Mayflower a little apprehenisve after reading some recent reviews. I walked left out Earls Court tube station, left again, and 1 minute down the road and i was at the Mayflower, so first star for location- SO central and easy to get to. I arrived at the lovely reception area and was greeted by a friendly helpful receptionist, second star. He asked to take payment for the room, but as i wanted to see the room first he allowed me to just swipe my credit card and pay after i had checked out the room, third star. As he then led me outside the hotel and down some stairs to a basement room he told me we had been upgraded to a luxury suite,fourth star. WOW. HUGE four poster bed, beautiful furniture and bedding, kitchen, dining table, huge TV, walk in closet and massive bathroom which giant shower. I was a very happy girl, fifth star. Everything was clean and high standard, only problem was the remote died, but we werent really interested in watching TV anyway. Could have done with more towels, and be careful of the shower... it floods easily as there is no door, its more of a wetroom. All in all i had a fantastic 5star 2 day getaway to London and the fact we only paid for a standard double room made it even better. I will be back!	
Jun 15 2009 	average - nothing special	On arrival hotel looked lovely, reception &amp; lounge very modern. Lift very small! we stayed in room 34, which was very &quot;compact&quot;, no air conditioning so had to open windows but then had to close them as very noisy - trains!!!!. bathroom lovely. When going to breakfast found breakfast room very nice again modern, then I asked for traditional breakfast as did not want continental, i chose scrambled egg, mushroom, tomatoes, sausage and toast price - £7.50!!!!!! only to be told they only do halal sausage - please forgive me but this was London and would at least have liked a choice ie: british sausage, vegetarian sausage or halal!!!!in the end i chose scrambled egg, mushroom &amp; toast - £3.99 If we did stay again i would skip breakfast and pop to McDonalds round the corner - would be cheaper!!!! On the whole hotel was clean just a few things could be changed - air con would make it more pleasant.	
Jun 9 2009	Small room but it's London go out	In Earl's Court, the main travelers' district, so don't expect to meet many Londoners. But a nice place, friendly and cooperative. Very clean. The room is unbelievably tiny with just two camp cot sized beds. No honeymoons here. Who would come to London on a honeymoon anyway? Good value for money.	
Apr 22 2009	A safe bet for a mid-range London hotel	I booked 7 twin rooms for two nights to accommodate half of a stag party over a weekend. As the ages of the attendees ranged from mid-thirtes to late forties, we were keen not to end up in a hotel resembling some of the scrofulous fleapits I have previously had the displeasure to have endured on business trips to London.First impressions were good; friendly enough staff, in a small but smart reception area. The rooms were all well-appointed, if a little on the compact side (even for London). As best man I asked for one of the better rooms (purely for the sake of the groom, of course), and was perfectly happy with it. There was a small safe, a decent TV and tea/coffee tray, and the decor was clean and modern. From the selection I saw, every room has individual styling, and there were no complaints from any of our party. The bathroom was a treat - quality fittings &amp; fixtures and a big walk-in tiled shower with good pressure and an unwavering constant temperature. The beds were comfortable with fluffy duvets, and our 2nd-floor room didn't get too much street noise (not that I would have noticed, arriving back at 4.30am). There is 24-hour night porterage, and they are happy to hold on to your bags after you have checked out - although they didn't seem to be massively concerned about security, as we saw several bags sitting unattended in the small lounge adjoining the reception.Breakfast seemed to divide opinion. My friend's poached eggs looked tasty, although other reports suggested the standard was not consistent. Continental breakfast is included, anything cooked is a la carte. Personally, I would put the standard of the breakfast fairly low on my list of priorities when choosing a reasonably-priced London hotel - Earls Court Road is about 30 seconds' stroll away, so surely you can find something to eat?A dedicated curmudgeon could probably find something to moan about here, but for our purposes The Mayflower delivered just what we expected of it.	
Apr 17 2009 	Never again!	Let's start with the positives; location is almost perfect - less than a minute to Earl's Court tube station, external appearances very good, room size (if in deluxe or above) is very acceptable and the bathroom is of a good size with functioning (thank god) facilities.Now to the negatives, whilst I was not in London to stay in the hotel room for the period of our stay I do have some standard expectations for the room e.g. cleanliness, facilities etc. At first all seemed good, advised at check in (by very pleasant receptionist) that we had been upgraded from a standard double to deluxe double. However, first thing that surprised me was the request for full payment in advance something I am not used to with Hotels as with all other hotels I have stayed in you are provided with a service and then make payment on departure (as I was soon to discover there is no service at this hotel so that is why you pay up front).So bags duly dropped off, we spent the rest of the day exploring London... after a wonderful evening out, we get back to the hotel and first shocker - make up on the pillows, hairs in the bed!!!! This swiftly followed by the realisation there is no telephone in the room in order to contact reception, and being on the 3rd floor we were not in the mood to go back to reception. I went to complain in the morning and point out a few other nuggets of information to the duty manager: the bed issue, no telephone, tv not as advertised, dirty towels in room, stains on bathroom floor, dirty/dust in general - this was met with a lack of interest and a lack of action from the staff. I also pointed out that the card stating the facilities they provided does not meet the room provided as by this point I was thinking lets see what would make them interested. Out of everything they appeared interested in the missing trouser press which a random handyman turned up shortly after to install - I don't think they took on board the sarcasm in my voice when saying this was not in the room.this is when I discovered the reason why they take payment in full when you check in - we strongly thought about checking out and moving hotels for the second night, but would obviously want a refund - this was not going to happen as the 'policy' of the hotel is that cancellation should be 48 hours in advance - this would be a bit difficult as we had already checked in and hadn't seen the shocking state of the room!!! So they offered us a move in room to the standard room - not happening after seeing the box room they call a hotel room.In summary - go to the Mayflower if you wish to have money taken off you for a dirty room, dirty towels, dirty pillows and hairs (from someone else) in your bed and the management/supervisory staff not being interested in the least in anything you have to say. They have an attitude that you should be grateful that they let you in and you should not complain about anything.	
Mar 1 2009 	Very Good	We stayed in one of the apartments and was pleasently surprised. The apartments are right next to the Earls Court tube station and opposite the Earls Court itself. The decor was modern, it was clean and the kitchenette was good. The only downside was that it was quite a walk from the main hotel - about 5-10 mins. So when you check in, you then have to walk to the apartment; don't wear heels like I did!	
Feb 21 2009 	Noisy Room - Unprofessional Reception Staff	Don't go there or at least - Don't accept room no. 33! When we arrived at the hotel on Friday evening we were told we could profit from an upgrade to an &quot;executive suite&quot; for the same price. Strangely enough my girlfriend had to pay for our room (no. 33) in advance by credit card. We were soon to know why...On Saturday morning (7.30am) we both awoke from a disturbing and continuous loud humming noise which lasted about 15min - enough to be fully awake! When complaining to the reception staff they told us they would check what the problem was. They said it was the first time ever someone complained about this noise. On Sunday Morning we were again woken up at 04.45am by the same noise. From the regularity of the noise we finally guessed it must be a warm water pump which was installed directly above our bathroom. Every time some other hotel guest took a shower this noise made sleeping impossible. After complaining the reception staff gave us finally another room for our third night. However when we asked for an appropriate refund for not being able to sleep (one might think undisturbed sleep would be one main purpose of a hotel room) the staff showed absolutely no comprehension and told us only the hotel manager Faisaal Saloojee could decide on refunds, but he was back on Monday only (of course long after our scheduled departure)...Our written request for a refund was then denied with the following arguments (extracts) by Frank Davis, Customer Services:&quot;Every room of the hotel has a water pump... unfortunately we have no control over the humming noise... Unfortunately, as your first complaint was about a noise in general we were trying to locate the source of the noise but to no avail... some guests might be light sleepers... Unfortunately, we are unable to honour your request for a refund as all refunds for a guest's stay must be made during guest's stay&quot; (NICE ONE, huh?) &quot;You have fully used the accomodation supplied without attempting to cancel your booking. Only on these occasions we would have been able to offer you a refund&quot;.No further comment...	
Jan 21 2009 	never again	On arrival was told they had no record of my confirmed booking, took ages to sort and I was due to go on a company Christmas party so was stressed. Room was tiny even for one night. Bathroom was not clean and there was too much noise at night as windows not double glazed.Arrived for breakfast at 8.30 next day and was told they had run out. Rude staff who would not help out. Hope this is not representative of London hotels, have travelled extensively and can say hotels in India and Eastern Europe at this grade were far superior.	
Nov 14 2008	Disgusting place	I booked a single room for 4 nights. They have me a room on the top floor. It was the smallest hotel room I've ever seen, smaller than an EastHotel room.It was impossible to put a bag anywhere. There was constantly noise from the railway. In November, the room was extremely hot even when the window was open. Instead of a duvet, there was a dirty blanket. The walls are paper thin.I had to cancel my booking after a sleepless night but had to pay for 2 extra nights due to the booking conditions.In the end I paid £10 more and stayed in a Hilton. Their single rooms are about 4 times bigger than what [--] hotel offers.	
Oct 31 2008 	Small Rooms Dirty Noisy Very Rude Staff	I visited London for a funeral, unfortunately for me I had to travel sleepless and when I arrived I realised that the Hotel was under recostruction, especially the front area . I have to inform you that my travel agent was never informed therefore I wasn't informed about that specific detail. Not taht will have made any difference because noise wasn't the only problem I faced staying at Mayflower Hotel &amp; Appartments, as you will see below.My room was facing at the front and the constructors could even see me inside my room. Also this wasn't the room I prepaid in my booking. I asked for a single room with a double bed, but my room and bed was so small that only a midget (no offence to the midgets they are addorable) could happily sleap over, and if you are suffering from claustrophobia this room was the ideal to give you a panic attack. The bathroom was dirty and moulded and dirty in several corners.So I kindly asked to be moved to another bigger and quiter room, but they said that they didn't have other available rooms except another midget room in the &quot;basement&quot;. I am also reffering to the elevator which could fit only one normal person and my suitcase barely could fit in it.Dead tired and emotionally exhausted Iand hoping to find some peace and rest in a quiet room, I moved to that room which what a suprise was similar to the other one, but this time that room was next to the train rails and next to the breakfast area.(Also the breakfast that is included and cost me another 10 pounds for each night was a laught. The food that our church gives to the homeless is gourmet compare to what this hotel serves for breakfast. I know because my mother is the one who organises it!!!)With no alternative I stayed one night and I informed the duty manager in the reception( who by the way with no condolence for my situation - being there for a funeral- was the rudest person I ve ever faced in my life), that I ll be cheking out the next morning staying one night instead of two.I was a flying attendant for nine years and believe me I cannot even recall the number of the hotels I ve stayed.This was a lifetime exprerience and I must admit one of the worst. As a closure I must inform the readers and hopefully the owner of the hotel, of this review that the prepaid amount for the second night was never refunded as it supposed to be since I had no intentions in leaving the hotel but I didn't have any other choice.Thank you	
Oct 27 2008 	Great stay at the Mayfloowe 10/10	This is a really sweet well furnished 'bijoux' hotel, next door to earls court tube and easily accessible to lots of top attractions. The room was really nicely decorated, small but everything was a good standard (We did get a free upgrad from a standard to an executive room though) the lounge and breakfast room were really nice, the inclusive continental was good, lots of choice. Friendly service, good value for money would really really recommed it,	
Oct 21 2008 	Small Room	I stayed at the Mayflower Hotel because they offered a very good rate to a meeting planner and someone else was paying for my stay. On arrival I was given a room on the top floor which overlooked the rail tracks and was extremely warm/hot. The room was also extremely small. I went down to reception and asked for and received a different room facing away from the tracks. It was equally small. So small that I had to place my 21inch roller bag on the bed to open it, and had to store the bag closed in an upright position. There was a built-in desk but the bed was so close to it that I could not move the chair back to sit in it. I had to stand in front of the desk and move the chair sideways till it was behind me, then sit and reverse to get up. The bathroom was equally small. Water was hot but pressure in shower was low.I had to unplug something to get a free outlet for my laptop. The Hotel has an elevator which is also very small and very slow. One person and one roller bag can fit in it at once.Free WiFi is offered in the lobby but I received a signal in my room too. Continental Breakfast included cold cereals, some whole fruit in a bowl, rolls and bread, and sliced cheese, tomatoes and cucumbers along with juices and coffee and tea. Full cooked to order breakfast was offered at additional charge but I didn't try it. The hotel staff were nice, the hotel was very clean, the location was convenient but the rooms are too small.	
Oct 20 2008 	Don't believe the Internet Page	We booked a Mayflower Apartment as an alternative to staying five nights in a small hotel room. We were taken from the Hotel to an under street &quot;cave&quot; on Warwick Road by a surly staff member, who thankfully, I did not have to deal with again. The room,(“apartment”) which had one small window and was accessed through 3 locked doors was cramped and hot. A noisy fan was the only form of ventilation. The double bed was squeezed into an alcove and a large amount of space was taken up by a &quot;cupboard&quot; housing the hot water cylinder. Pots and pans were provided but no stove top ??The bathroom was at least, clean and modern.Location only a couple of doors away from the entrance to Earls Court tube station was a bonus.A disappointing welcome to London and I would recommend that travellers request some details of the apartment before confirming a booking.	
Sep 30 2008 	Great Hotel	I stayed at this hotel with my husband for four nights to do some sightseeing in London. I booked the Mayflower because I had read a review in the Telegraph which said it was good value for money. We found it to be excellent in every respect.We had a friendly welcome from the receptionists and were told we had been upgraded to an executive room at no extra cost. The room was quite spacious with a very nice bathroom which included a good size corner shower. We could not work out how the safe worked and without any quibbles the receptionist sent a porter to show us. The room was spotlessly clean and the bed comfortable. The self service buffet continental breakfast was plentiful and excellent.The proximity to Earls Court tube station makes the Mayflower a good choice for exploring London and we will definitely stay there again.	
Sep 20 2008 	Very Disappointing	We booked our stay at the Mayflower for George Michael's final concert. When making the reservation we were told that we had booked a luxury suite, and looking at the website we were impressed by the hotels offered qualities.On arrival, we were a little early, we were told our room was not yet available. Not an issue as we were in London. However, when we finally checked in we found we were not in the main hotel but an associated apartment block on Warwick Road. This is where things started to go wrong. The apartment was sparcely furnished (other than the kitchen area for which we had no use for) the bedroom had no room either side of the bed to get in or out of, the chair was broken an worst of all there was no way of shutting out the incredible noise of Warwick Road out of either the lounge or bedroom areas.Needless to say our stay, thankfully only one night, was much disturbed.The website desribes the very best fittings within the bathrooms and walk in american type showers. These turn out to be overhead appliances at the end of a small bath! Furthermore, no luxury bathsheets here just 2 small towels and a bath mat.Do not be drawn in by the wonder pictures on the website as these are not trully representative of the reality (in our case anyway). I do believe if you are lucky enough to get the room you have booked and are in the hotel, things are much better. Sadly we were not and did not enjoy our stay despite confirming the Luxury Suite booking twice prior to checking in.We did email the hotel and were responded to very quickly. A small refund was promptly offered too, which compensated the difference in price between apartment and luxury suite. However, if you are looking for luxury make sure you are not in Warwick Road and request your stay to be in the main hotel only.	
Aug 19 2008	Great hotel in a great location...	I stayed here during my first visit to the UK in 2003. At the time the hotel seemed to be going through some upgrades. I stayed in a double room and found it to be small but adequate. The decor was modern and comfortable. The bathrooms were beautifully done and modern. The location is just a stones throw to the Earls Court tube station. I would stay here again. It is in a safe area and the rooms were comfortable.	
