	Great LocationOutstanding Staff	We spent 1 night at this hotel.The Staff could not have been more friendler..everyone of them said Hello and the Concerige was really helpful.There are some renovations taking place but it didnt disturb us,the room was a little dated but comfortable.It did lack a tea/coffee maker but this was the only negative.we really loved the location and would definetly stay there again	
Jul 6 2009 	The best of the best.	We stayed in this hotel for two nights while on a concert/shopping trip and, in my opinion, it really is one of the best hotels in London. Nothing is too much effort for the staff and the rooms are large and comfortable with all the amenities you'd expect from a hotel of this standard. That coupled with the excellent location make it well worth spending the few extra pounds on the booking. We'll definitely be back again soon.	
Jun 29 2009 	Nice location reasonable hotel room basic 3-4 star.	My friend and I stayed here for our birthdays and we booked the Spa Escape. The hotel is in a nice location situated right on Kensington Gardens. Our room was very disappointing. We had paid for an upgrade which was inlcuded a garden view and a sofa. Unfortunately we were on 1st Floor so couldn't see much. The room was clean, but very dated and looked nothing like the rooms on the website. The hotel is clean, but I note from the website that it was refurbished in 1996 which is what it looks like, not too old but I would say it could do with some updating. The staff were friendly and helpful. Our luggage went missing for 3 hours, although they did make up for it with a free bottle of wine! The Spa is lovely and the treatments were bliss! It's easy walking distance from the tube station and there are a selection of high street shops on the doorstep ranging from Karen Millen to Top Shop. There's also an average variety of restaurants and pubs. The park - Kensington Gardens is a superb park, really lovely with so much to offer everyone of all ages. It's a constant hive of activity and I would thoroughly recommend a walk through it, but allow at least half a day. All in all the hotel was average. Nothing to complain about, but wouldn't go back.	
May 18 2009 	Excellent value	In April 2009 we enjoyed a very pleasant one night stay at the Royal Garden Hotel as we were going to a concert at the Royal Albert Hall. As it turned out, this hotel couldn't be better placed as it is only a 5 minute walk down Kensington High Street to the Albert Hall. Located right next to Kensington Gardens and the Palace and a 2 minute walk from Kensington High Street tube station it is a fabulous area to explore London from. We only booked a few days before and managed to get a standard room with breakfast included with Superbreak for well under £200, which compared very favourably with other hotels in the area. Our second floor room overlooked Kensington High Street, but we were not troubled by noise from the street below. The room itself was very spacious with a huge comfortable bed and the room itself and the bathroom were beautifully clean.The breakfast was superb - buffet style but with huge choices of hot food, cereals, fruit and continental breakfast items. Would well recommend getting a bed and breakfast deal as breakfast is £20 pp per day if you pay separately!All in all, a really excellent stay and we would certainly look to stay again next time we visit London.	
May 4 2009 	Friendly 	This hotel is excellent in most respects - and the friendly efficient service deserves particular mention - but it is let down by the poor sound insulation in the bedrooms. If you happen to have neighbours who like to have the sound up on the TV and radio - as we did on our last visit - your peace and quiet will be disturbed. In fact, when the occupant of the adjoining room sneezed during the night it sounded as if he/she was in our room. It is also worth noting that rooms at the front of the hotel are affected by traffic and street noise.	
Mar 20 2009 	Great location great service	We stayed in the Royal Garden hotel for long weekend break in London and left very pleased with our experience.We had a superior deluxe room which meant we had a fantastic lounge area that overlooked Kensington Palace Gardens - a very relaxing view where we spent a good few hours reading and chilling out. I would best describe the room as 'old fashioned comfort' which will not appeal to everybody. It was very clean and comfortable, but perhaps not up to the 5 star chic appeal of many of the London hotels that many visiors will expect.We ate in both of the hotel restaurants and received fantastic service and food in both - we would definately recommend them to anyone visiting the hotel. All requests we had were met with a friendly 'pleased to help' attitude from every staff member we encountered, which made the stay effortless.Luckily, because we booked last minute we managed to pick up a fairly good deal on the room rate, whereas if we had paid full price I would consider it to be quite steep for the room quality/size/amenities.Overall a very enjoyable stay, made by the excellent food and staff service.	
Mar 9 2009 	Great Hotel in great location second visit looking forward to our next visit.	This hotel is in a perfect location situated on Kensington High Street. Our delux room was spacious and overlooked Kensington Palace/Gardens. Our friends had a standard room which was just as spacious but with a view of the high street. Nothing was too much trouble for the staff. It has the best of both world with the tube, restaurants and bars within minutes walk and also Hyde Park and Kesington Gardens also within a few minutes walk. The champaigne in Bertie's Bar was good and reasonably priced. The first time we stayed the breakfast was waiter service which gave the hotel the edge on other hotels but the second time we stayed it appears to have changed to buffet style but the food was still great. The only improvement I would make would be have tea/coffee making facilities in the rooms, then I would have been completely happy.	
Mar 1 2009 	Great Location and Service but not really a five star property	We Stayed in Royal Gardens Hotel during my husbands business trip. Our son of three came along too. The location is excellent as you are right next to the park and there are many resturants on the street across from the hotel. The service was excellent and professional. We recieved a special rate as we stayed over the weekend. Unfortunately they put us in a room on the 1st floor looking to the hotel machinery so we could not open the cutrains and look out to the park although when we veiwed the rooms before we booked we were shown a lovely room looking at the gardens ( this was our decision to stay there). The bathroom was well sized for London but the rain shower did not work only the standard one. The bed was comfortable but we found a strange stain on the sheets that had not come out during washing (not acceptable for a 5 star establishment). The decor is comfortable but is in need of some refurbishment. Room Service was excellent and the breakfast served in our room was perfect. One the whole we enjoyed our stay but some aspects of the hotel are not in the 5 star range. But the service definately is.	
Feb 17 2009 	Nice Hotel Great Service!	We stayed at the Royal Garden for 2 nights in January and loved it. We booked through www.hotelsclick.com and got a good deal and free breakfast (priced at £20pp per day otherwise). Overall stay very good.Good Things- Service provided by staff was excellent throughout, Cleanliness of hotel in general v.good, Room was spacious and had lovely view, Brilliant mini-bar selection, Comfortable beds, LCD TV on wall which tilted for various viewing angles (unlike portable TV stated in other bizzare review), Great location, Tube 5 min walk away which provides access to almost everywhere, Breakfast of high standard and choice, Park Restaurant on ground floor pretty good, Room Service quick, mostly reasonable prices for food (but not drinks), and delicious!Not so good things-Bathroom definitely could have been better for 5* hotel, Robes etc could have been of better standard, Turndown chocs would have been nice, Main annoyance- Internet access extortionate at £1.50 per 3 mins or £20 daily!We stay 4-5* on a regular basis and I would happily give this a high 4*. A very pleasant stay.	
Dec 28 2008 	Lovely hotel in great location - close to tube 	We stayed at the Royal Garden Hotel for 2 nights whilst visting London for some Christmas shopping and stayed in a delux room on the 7th floor which overlooked the High Street.The hotel is right on Kensington High Street close to the tube station, so it was really easy to find. Check in was smooth and our room was large and very clean. The bathroom was spotless and the bed was super super comfy!We didn't use any of the facilities at the hotel as we were out and about all day but the concierge did look after our cases and shopping bags after we had checked out as we were not leaving until the evening!This hotel was lovely, very impressive looking and in a great location, we had a very enjoyable stay!	
Dec 9 2008 	Great location and thats about it	The hotel is located right next to Kensington Gardens, within walking distance of Kensington Palace, the High Street, Royal Albert Hall and Notting Hill.Other than the location, there is nothing else about the hotel that we found pleasant. The hallways and rooms were very dated and had a damp smell. The bathroom was old with tiles missing, a cracked mirror, and peeling paint. Our room faced the High Street, so it was very loud. If you stay here ask for a room facing the park or out the back of the building.It gets dark and cold in November. We found it strange that you had to exit the hotel and walk down a driveway in order to get to the fitness center. Note that it closes 30min before the advertised closing time.The staff overall seemed to be bitter because of how they are treated by management, and they took it out on us as guest - everyone from the front desk to room service.We do not plan to return to this hotel and would not recommend it to anyone.	
Dec 1 2008 	Not my kind of Five Star	First of all the front of house staff at this hotel are really friendly and efficient, housekeeping leaves something to be desired. We always have a weekend in London at this time of year as it coincides with my little girl's birthday. I booked an executive family room for the four of us, told the hotel it was my daughter's birthday they did not acknowledge this in any way. The room itself (515) was very nice and a really good size for London but the bathroom............was small, to say the least, and a real 1980's throwback. I could'nt believe it when I saw the brown pipe type hairdryer on the wall! As other reviewers have mentioned, the towels and bathrobes are really poor quality and quite old. Turndown service was literally just that, they turned the cover down, they did'nt tidy the bathroom or our dirty glasses away. The breakfast buffet was very good but on Sunday morning we had to stand in the bar area for over 20 mins to wait for a table with what seemed like the rest of the residents of the hotel. We had a lovely weekend but this hotel compared to it's competitors if definitely not the 5 star experience my family and I enjoy. Good location for Kensington and what great views over kensington Palace.	
Nov 13 2008 	Enjoyed	I only stayed here for one night and therefore didn't have an opportunity to sample all that was on offer - but from what I saw I would stay here again.I arrived just after 2 p.m. (which is their earliest check-in time) but my room wasn't ready. The staff were very apologetic and I was offered a tea or coffee in the bar overlooking the park - which was pleasant enough - but I'd have preferred to have been in my room.When I was eventually able to get to my room (45 minutes later!) it was comfortable and clean - with fantastic views over the park and towards the London skyline (from the roof of the Royal Albert Hall, past the London Eye, and over to the BT tower and beyond). The room was on two levels - with a sitting area and desk next to the large windows a couple of steps higher than the bed area. Be warned if in a similar room as I found the carpet on the edge of the step was slippery - and I have a sore coccyx as a result!The bed and pillows were comfortable. Towels and bath robes a bit scratchy. I liked the The White Company toiletries and the bath and separate shower.The &quot;basket of croissants and Danish Pastries&quot; in the Express Breakfast option is actually one croissant and one Danish - but they were flaky and fresh. Gripes: £20 for wireless internet access is steep, and there was no complimentary water which I would expect in a hotel like this.Overall - If I need to stay in this part of London again I would give it another chance	
Nov 3 2008 	Attractive London Hotel with awesome views!	We recently enjoyed a two night stay via redemption of our Disney VC points. DVC has recently paired down the offerings of properties to redeem in London, but the Royal Garden is still a viable option.Upon arrival, a pleasant and cheery desk clerk offered us a room upgrade availble early (10:00 am). She personally walked us to room #837, a recently refurbished room overlooking the park. After taking in the stuning panorama; Kensington Palace, London Eye, Royal Albert Hall, our clerk remained to answer any questions, ensure the bellman brought our bags up, and ensured the room was to our satisfaction. As a recently refurbished room, expect granite in the bathrooms, separate shower and spa tub, towel heater, and TV speakers. TV's have been upgraded to 37&quot; flatscreens, and the rooms now have outlets for all regions plus the internet jack.The only meals we partook in the hotel was breakfast; on Sundays expect a hot buffet with mostly British breakfast items and a custom egg bar. Buffet area was kept tidy and staff were keen to ensure all was well. PROS: Great location on Kensington High Street within walking distance to the Palace, shopping, Royal Albert Hall, tube stop and dining. Public areas kept immaculate, and staff was polite and professional. Newly remodeled rooms are decorated to a high standard without being fussy.CONS: Few if any. We managed to hear conversation and TV noise from an adjacent room, but little else.SUMMARY: Appropriate hotel for those wanting more from their London hotel experience. While not in the same league as The Covent Garden Hotel or The Draycott, it does manage to stay in the same league as most higher end chain properties	
Nov 3 2008 	Nice Hotel and location but extortion for the extras.	We stayed here for a three night break recently, some of the reviews here made it look like a nice place. This hotel is in an excellent location situated next to Hyde Park and Kensington High Street, but the hotel is not as much &quot;contemporary&quot; as it is down right 70's.On the positives, the location is excellent:- situated on Kensington High Street and minutes from the Underground station of the same name makes it close to the city without being in the city. Plenty of great shopping and restaurants nearby, as well as Hyde Park and Holland Park (a real hidden gem with its Kyoto Japanese Garden), and Notting Hill's Portobello Market about 20 minutes walk away.The hotel itself is nice, although their decorator should be shot... among other things, the restaurant itself is a miss-mash of designs that don't seem to work too well, including two huge (and awful) Grecian statues in the style of Atlas holding up the ceiling... I have no idea what the designer was going for here. The room we had on the 10th floor was spacious and very clean, and allowed for some excellent views. The staff are friendly and pleasant, and the room was well equipped and well maintained.Okay, on the down side, as far as I can tell, this hotel's goal is simply here to extort money from you. Internet access in the room is £20 (approx €26) a day! How a hotel can justify that kind of cost is beyond me, thankfully there was a MacDonald's down the road with free WiFi. The mini-bar prices were also ridiculously overpriced.Breakfast, which was a nice but very average affair, was also grossly over priced at £20 per person, and the service was appalling:- first day we received toast 20 minutes before the actual breakfast arrived, and the second day it was the other way around... everything we ordered just seemed to come out to the table in random order and most of the time we were waiting on something (although on the weekend they ran a buffet instead of an ordering system, which made the experience marginally better). But the real highlight was begin overcharged on check out, three times the actual cost was charged to my credit card. No explanation and no apology was given, and I'm still trying to sort this out with the management. While I enjoyed my stay here, I doubt I would stay here again. The location was the biggest attraction and advantage with this stay. As others have said here, this hotel does not justify its 5 star rating. To expect low priced, or even free, internet access is not unreasonable in a 5 star hotel, and the over charging of my credit card left a bitter taste in my mouth.But if you do happen to stay in this hotel, or in Kensington, we found a really nice Japanese restaurant nearby, Feng Sushi, which we found to be very reasonably priced compared to other local restaurants and the service was superb.	
Oct 12 2008 	advertised as a 5* but more like a 3*	I selected the standard room and was expecting a small room with 5* amenities. The room was small and the bathroom even smaller! The room was very outdated; the in room phone must have been a 1960's version. There was no message light and no dial/key pad. Very antiquated. The charge for wi-fi is exorbitant; 20pounds a day!!!! No other options available. The phones did not have dialup or cat 5 capabilities. The bedspread was dated and was an old fashioned quilted gold . There is an exposed old blanket, no triple sheeting as would be expected in a hotel billing itself as 5*. . The TV was an 11&quot; outdated portable style, it was color; surprise surprise. But it was positioned in a place very difficult to watch from the bed. The service was pleasant but the breakfast service in the restaurant was unorganized and very understaffed. It took 30 minutes to get a toasted muffin because the kitchen forget to prepare the order.Overall it was an okay experience for the price. Had it been presented as a 3* hotel then it would have been a decent experience. The food in the bar was very mediocre. The staff was pleasant and helpful when asked for assistance.	
Oct 3 2008 	home away from home!	been there more than 4 timesamazing location, classy rooms, great restaurants, feels like home everytimeextremely friendly staff and plenty of things to do nearby,CAN'T WAIT TO GO THERE AGAIN!	
Sep 15 2008 	Not exactly contemporary or 5 star	I had the opportunity to stay at the Royal Garden courtesy of a prize package my friend had won. On approach it looks like most major hotel chains and the lobby is impressive. The doormen, check-in desk and concierge were all incredibly friendly and smiley. Our room was a twin overlooking Kensington Gardens. I really don't class this hotel as &quot;contemporary&quot;. The decor, the finishing touches and technology are all very dated. The bathroom was fairly small and needed a good steam clean. Beware the bath plug - my friend nearly lost half her toenail! The beds were squishy and comfortable but I loathe extra tight bedsheets and old fashioned blankets - feels like a straightjacket. The TV was archaic and there was no kettle/tea making facilities which really should be standard. Why would anyone pay £3.50 for a cup of tea? (Starbucks across the road will suffice!). My friend was also woken up a few times in the night by a banging noise. I heard it around 7.30am. We also discovered the £300 room rate did not include breakfast. If I had booked and paid for this room I would have been disappointed. This 5 Star does not mean luxury - there are no special touches in the room but its a well located hotel for various attractions and pretty good shopping. I also wish hotels would stop using photos of their most glamourous rooms on their websites, when most of us stay in the standard rooms - its no wonder we get fed up whe we arrive to see our very different looking room!	
Aug 7 2008	Great Service	We booked this hotel through Disney Vacation points and we couldn't have asked for a better place to stay. We spent a portion of our England trip with relative in Hunstanton, Norfolk along the coast and we drove a rental into Central London with the much appreciated Sat/Nav system. I don't think we would have been able to transverse the complicated and harrowing London traffic without it. From the moment we arrive to the time we left everyone was wonderful. Starting at the front drive with a wonderful doorman who took care of contacting the rental company repeatedly to pick up our vehicle. To the gracious front desk staff who were nice enough to change our rooms from 2 twins to a double due to my husbands mistake during booking. We were very please with the recommendations and assistance from the conserge staff who were extremely helpful with the allocation of a wheelchair for our stay so that my Mom-in-law was able to see the sights with us and thier dining suggestions were wonderful. We had English Breakfast included with our reservations which was delish with a buffet and choice of entrees and service was impecable. Thank goodness it was included considering it was 20 pounds per person. Rooms were very nice. Our double had a good sized bathroom, very well appointed and we also had a sitting area which was nice, overlooking Kensington Street. There was a stong odor of smoke in the room, but since we really only were there to sleep it did really bother us. The twin room my in-laws had was very spacious and on the 10th floor had a great view of the tops of london's buildings. It reminded me of Peter Pan's flight. :-)We had a wonderful time and would recommend this hotel to anyone looking for a good landing place in this great city. We will definately have to go back as we only had two full days in the city and that is just not enought time to really enjoy everything this city has to offer.	
Jul 24 2008	Mixed	If you want the best of this 5* (but definitely more like 4*) hotel, then you really have to get an expensive room with a great view over the park. And you don't have to like squidgy little bathrooms with tiny baths and no heated towel rail and old seventies-type brown hairdryers -- even in that expensive room.And when will the owners of expensive hotels realise that we don't want to wait for room service for a cuppa? We really do need and expect a kettle and the rest.Sometimes I have had large rooms or even been upgraded to suites overlooking the Palace and Round Pond, but this time I had a little room that seemed to be over the kitchen roof, as there was an unending noise like an air vent going on all night. That reminds me that other reviewers have mentioned the heating/aircon system that obviously has a mind of its own.We ate at the new Chinese on the top floor. I didn't see that the food was better than in the general run of Soho restaurants, but then I'm just after good nosh, not a load of fussing about.Breakfast is always super, with everything you could want, and I always find it very very relaxed in the sunny dining room, but again I felt that the staff were fussing, as if they were overworking to improve their service profile.I actually like the Royal Garden very much: for its nice lobby, its good lifts and the general feeling of being in a large, secure and anonymous hotel. I will always go back, but I don't expect anything like the Four Seasons kind of standard.	
Jun 22 2008 	a wonderful stay	We stayed for one night at the Royal Garden Hotel as we were going to the Royal Albert Hall, which was five minutes walk up the road. The staff couldn't have been friendlier. Check in was quick and efficient and we were taken to our Junior Suite by the receptionist. We had a nice room with a separate seating area. There was a side view towards Kensington Gardens. The bathroom was a decent size with White Company toiletries. We had a Champagne Afternoon Tea which consisted of a glass of champagne, strawberries as well as the usual sandwiches, cakes and scones. There were also several different teas on the menu. As it was also my husband's birthday this was a very good experience. The bed was very comfortable and the next morning we had a good breakfast, including fresh fruits, pastries, cereal and a cooked breakfast. Check out was equally efficient. A wonderful stay for the two of us.	
May 21 2008 	Royal Garden - Great Every Time	This was the second time I stayed with the Royal Garden and I only have positive things to say. The staff is unbelieveably helpful and polite. Patrick at reception was especially helpful and kind in giving us pointers where to go for a good night out. Staff really went out of their way to make our stay enjoyable. Rooms were spacious, which is rare for such a centrally located hotel and everything was very clean as well. Breakfast was included with our rate and brought to our room every morning. It was very fresh and carefully prepared. I would absolutely recommend this hotel to anyone, as the hotel is centrally located and in a generally safe area of the city. We could see Kensington Palace and Gardens from our room. Starbucks is across the street and Topshop a few steps away! What more could you ask for! Be sure to inquire if Patrick or Jesus are working the desk, they will make the difference!	
Apr 24 2008 	Not a 5*. Very Shabby	My boyfriend recently took me here for my birthday and we were both very disappointed. We had booked a junior suit. It was small and dated. We had been told we had a garden view room but were given the wrong key. On speaking to the desk we were told that we could not move as our original room had been given to someone else. The room whilst an ok size was very dated. There was no DVD or CD player, the sound from the TV in the bathroom was broken and so always on, the toilet roll holder was broken and the windows were so bad we were both kept up half the night with the traffic. There was also banging from work going on in the hotel next to our room for much of the afternoon. If you do decide to stay here, insure you get a garden room or you will get no sleep, the rooms are not soundproofed for a main road. We had breakfast in our room and whilst there was plenty of food the hot meal looked as though it had sat on the side for an hour. All in all this not a 5 star hotel. We recently stayed at the Landmark which in comparison make this look like a hostel. For the price you will find a better hotel	
Apr 23 2008 	Horrible 70s Hotel	Great location, but this is really an old hotel that had not been updated. Our room was noisy facing the High street and had old worn furniture and sheets. The bathrooms were large, but had well used towels that had been washed several hundred times - the bathroom could have used an update. The health club was small, dark and in the basement that was accessed from outside the hotel - not good when you are in your workout gear and its freezing outside. And there's a charge to use the facilities. We're pretty laid back New Zealanders, but found the staff more lazy that laid back.	
Mar 26 2008	Great hotel in Kensington	We recently returned from a trip to London and we stayed at the Royal Garden Hotel. It was lovely and we received terrific service. The staff were very courteous, kind and helpful at all times--the concierge and the bellmen particularly. We used the Business Center to email home and it had several computers and printers for our use. The continental breakfast is wonderful, and the English breakfast (included with our room) offered everything you could possibly think of for breakfast. The location of the hotel is great and within easy walking distance to the Kensington High Street tube stop. Also the #9 bus to Trafalgar Square stops right in front of the hotel. We did not try the hotel restaurant for dinner (expensive!) but did have a drink at the bar which was wonderful (free snacks included--olives, nuts, etc.) There are several good restaurants nearby--we ate more than once at Strada (Italian restaurant across the street) and at the Whole Foods food court (it has a seafood bar, a sushi bar, a tapas bar, etc.). There is great shopping nearby as well--Urban Outfitters, Marks and Spencer, Clarks Shoes, an electronics store, etc. Our room was not what I would consider &quot;plush&quot;--however it was very nice, spacious and the bathroom was fully equipped. Something we wish we had known beforehand was that the hotel offers a European cell phone rental service for a nominal fee (we had rented ours in advance). While the Royal Garden is pricey, it is an extremely nice hotel and I would visit again. It offered a restful and comfortable retreat after a long day of sightseeing. Also, when considering cost, don't forget that London is one of the most expensive cities in the world--you should be ready to pay more for food and other necessities than you would in most other cities.	
Mar 1 2008 	Excellent place in Kensington	I am writing this review shortly after checking out of the Royal Garden Hotel. Stayed for two nights. When I arrived, the check-in staff were extremely helpful and courteous. I did not have to wait in a queue. They immediately opened a spot previously closed at the counter to check me in. The room was very spacious, comfortable and clean with the ususal amenities. Unfortunately, the window faced the street rather than the park but despite that there was little street noise (even though I was just on the 2nd floor). The bar in the lobby looked nice though I did not have a chance to try it (it was a bit sparse in terms of patrons which was a bit off putting). At check out, again the staff were courteous, professional and lightningly quick at the same time.Overall, it was a very comfortable stay (though a bit expensive) but I would happily stay again.	
Feb 28 2008	Stylish and friendly	I have stayed here several times over the last few years and have never had a bad experience yet- something that cannot be said of many hotels these days.My last visit was for my mums birthday and they arranged flowers for the room which were gorgeous. Unfortunately the room was not the one I thought Id booked (no view to speak of and no separate seating area) and was less than the 5* standard typified by the Deluxe Rooms Id stayed in before. When I contacted reception to ask if we could move, I have to say the hotel came up trumps. Without any problem they changed us to a deluxe room with a lovely view at no extra charge.The breakfast buffet is delicious and plentiful. Room service is reasonable for the standard of the hotel and promptly delivered. The staff throughtout the hotel give 5* service with a smile - can be a rarity in London I have found over the years.The hotel is only a 10 minute walk from the tube and ideally placed for exploring the sights. I would certainly reccommend it anyone looking for a more upmarket base for a short break.	
Feb 21 2008 	I will never forget our night here.. Amazing	We stayed at the Royal Garden hotel for one night. It was a surprise from my boyfriend for valentines day, and it was amazing, really made me feel like a princess.Our room was great, with a massive bed, and the most wonderful view of the Royal Park and Kensington Palace. The bathroom was a good size, with toweling robes, which were so soft.We were given Champagne and strawberries in our room, which was just perfect, the champagne was the best I have ever tasted.We ate at the hotel restaurant, and the food was amazing. I loved the Foie Gras was the most amazing food I have ever tasted. The wine was fantastic and the service was outstanding.The location of the hotel was excellent, the park is beautiful especially on a sunny day like we had.This was the most amazing romantic evening ever… I will never forget it…..	
Jan 27 2008 	Good but expected better for price	Booked in for 1 night at the hotel to attend a party nearby. They had a special offer on at the spa. The spa and the spa staff were lovely.The room was clean and a good size but for the price we paid i expected better. No iron or ironing board (bought up on request but a tip was expected) Adiitionally no tea/ coffee making facilities in the room.The breakfast was served in a nice airy room with views of the park good varied selection, only complaint is staff need to be asked 3 or 4 times for toast and when it came it was cold...Would probably not stay here again unless the price was allot cheaper...	
