	Simple hotel good location	Overall the hotel provided exactly what we needed - a base for a 2-day sighting seeing trip around London. The location was good since it was right near the Earl's Court Station that allowed us to get everywhere we wanted to go. Otherwise there was not much near the hotel.The room was actually bigger than anticipated. It was very basic though. Only negative was that the one women at the desk wasn't helpful at all with any of our questions. Would recommend for a basic sightseeing stay.	
Sep 30 2009 	Not a bad word to say against this hotel!	I recently travelled to London with my friend, and we had booked this hotel upon recommendation of her family. When we arrived, the staff were decent, and we were told our room was on the ground floor, which we were happy with. The room was at the end of a maze of corridors, and I was most definitely pleasantly surprised with what awaited us. The room was meant to be a twin room, but it had a double bed, as well as a single. It was clean, quiet and comfortable. We managed to get an excellent deal on the room, so were delighted with the quality. The only small complaint that I would have was that the carpet was worn away in one place, but the next day it had been covered by a mat.Breakfast was included in our offer, and it was grand. Location of the hotel was excellent - Earl's Court is a lovely area. honestly have no complaints at all.	
Sep 24 2009 	Good location so-so hotel	Located two blocks from the Earl's Court tube station, the Barkston Gardens is a convenient place to stay for travelers in London. The hotel is clean and the staff at reception, especially Lorenza, is very helpful. The room itself is just basic lodging. There was a lot of closet space but few drawers for storage. The room was larger than most European hotel rooms but it could do with refurbishment. All in all, however, it wasn't a bad deal for the price (about $120 American) considering how expensive London is.	
Sep 22 2009 	Dirty 	Hotel was in a great location because it was a block away from the underground/tube BUT I couldn't take the disgusting room. We both got violently ill (although this could have been from food as well). The room. I don't even know where to begin. Dirt/grime (not stains) on curtains, windows, floors, coffee pot, everywhere in bathroom, baseboards, etc. I even found clipped pieces of wire in the bed. We asked to move rooms but the next one was even worse. I can take creaky floors, old everything (this hotel desperately needs an update), some dust and dirt but this is worse than any military barracks I have stayed in. This wouldn't even qualify as a one star in the US and the Heath Dept would have shut this hotel down.Looks are deceiving. The outside and lobby is gorgeous! We were so happy when we first arrived (until we saw our room). There is no way that the housekeepers vacuum, wash the curtains, dust, etc. I have no idea what they are being paid for except to change the sheets and I am not sure they were changed. If you are homeless, you will enjoy this hotel, especially the location. If you vacuum once a year or wash dishes twice a year, you will still find this place the most gross hotel you have encountered (depending on your room- 5th floor disgusting but so are the stairs throughout).Staff was pretty bad. There was only one nice one--a gentleman that was nice working at night. There was a snooty, skinny blonde (believe English) that wasn't boasting with cheer and an okay front desk clerk. This hotel ruined our perception of London.By the way, free internet but doesn't work on top floors!!!	
Sep 20 2009 	2 Star Hotel at absolute best no air-con and no service!	Stayed here for 4 nights in August '09 with my partner.Its a definite no-no to stay during summer as they have central heating in the hotel but no aircon whatsoever. There are also several rooms (like ours) located inbetween floors so you have to drag your suitcases up and down stairs to get to an elevator.Inside the actual room its the tiniest room I've ever seen with the smallest double bed in history, even 2 normal average people lying down on their backs with arms against their sides would be falling off the bed or be on top of each other! TV is 22cm dinosaur and the whole floor creaks and moans and theres no sound proofing at all.The only positive is the location, right next to Earls court tube stop which is a step free tube station so that's handy. Also the old gentleman in charge of the breakfast was excellent and the English cooked breakfast was very good as well.Staff barely spoke English, many were Spanish but in Spain could speak better English.Price isn't that high, but you definitely suffer for the lower price .. and at $65 a night (A$130~A$140) you really expect better.	
Sep 18 2009 	You'd have to be barking mad to stay at Barkston Gardens	Three star hotels are notoriously Dickensian in London and can't generally be relied upon as they can in Paris and other world capitols. We spent one night in a ground floor room of this &quot;hotel&quot; if it can be called that - it is more akin to an crumbling old rooming house than to a proper hotel. It wasn't very reassuring to find a rat trap under our bed and when we inquired of the gentleman at reception he couldn't garantee that we wouldn't have a rat as a third guest in the room. The hotel's pipes and wires come through un-insulated openings large enough to admit even the largest of vermin because the owners are too cheap to properly renovate this old carcass of a hotel with its rabbit warren like corridors. We were fortunately not visited by rats but, when we had to change rooms the second night due to a previously booked customer, we were shown the only room available - a basement room with a strong odor of mold. We naturally objected and found a proper room for only slightly more and slightly further out in a four star hotel. I don't know how hotels such as the Barkston Gardens gets away with it but no self-respecting guest should ever have to opt for a moldy room, even at $120 per night. It's insulting to be shown such a room and would certainly be unhealthy to have to stay in one. Only London could pass off such a disaster as the Barkston Gardens as a hotel. Any other city in Europe or the US would have it torn down as a health threat. Even four star hotels in London have to be carefully scrutinized by the hapless guest for cleanliness and lack of vermin. If the Barkston Gardens Hotel were a kennel, I would even have reservations about leaving my dog there as it is fit only for mad dogs and Englishmen with no self-respect.	
Sep 17 2009	avoid at all costs	Absolutley horrible. Run down, mildew and mold everywhere in bathroom. Staff simply didn't care. Free continental breakfast, barely adequate, but featured a most officious breakfast captain, who controlled the dining room. The hostel down the street is likely a better value and probably in bertter condition	
Sep 11 2009 	Excellent	We stayed at this hotel from 6th to 13th August in a double ensuite room (room number 422 on the 2nd floor). The room was quite spacious (if compared to what you usually get in London for £65) and the bathroom was big as well.At the time of booking we decided to have continental breakfast only, but you may also have your breakfast being served in your room if you pay a £2.5 extra. The staff was EXTREMELY polite and helpful. On Sunday morning breakfast is available from 8am, but we had to leave the hotel very early to participate in a day tour outside London. A member of the staff asked us what time we wanted to have breakfast and the day of the tour he proposed us to prepare our breakfast at 7am just to do us a favour. Excellent service and very helpful staff.In addition to this, the hotel's location is excellent: Earl's Court tube station is just a stone's throw (less than 200 metres); there you can decide whether to take a Districy/Circle or Piccadilly train to reach the city centre. In this area there are lots of restaurants and pubs which are open until late.That was the 4th time that I had stayed in a hotel in London and Barkston Gardens Hotel was the best one.I would recommend this hotel without hesitation.Abbiamo soggiornato al Barkston Gardens Hotel dal 6 al 13 di Agosto 2009 in una doppia con servizi in camera (stanza 422, al secondo piano con ascensore). La stanza era abbastanza larga, soprattutto se si considerano gli standard londinesi.Il nostro è stato un ottimo affare perché, prenotando con largo anticipo, abbiamo concordato la tariffa di 65£ a notte per camera con la colazione continentale compresa nel prezzo. Lo staff è stato decisamente gentile e a nostra completa disposizione. Visto che la domenica mattina la colazione viene servita a partire dalle 8 ma noi dovevamo partire per un tour molto presto, credevamo che quel giorno avremmo perso la nostra colazione. Un membro dello staff ci ha domandato a che ora avessimo bisogno di partire e ci ha proposto di scendere in sala colazioni all’ora desiderata anche se il servizio non era ancora ufficialmente disponibile. E’ stato molto gentile da parte sua, noi non avevamo insistito ma lui ha voluto farci questo piacere. Assolutamente apprezzabile.Per quanto riguarda la posizione dell’hotel, bisogna ammettere che è ottima: la stazione della metro di Earl’s Court è davvero a due passi, direi a meno di 200metri. La zona è tranquilla, piuttosto turistica e infatti ci sono molti pub, ristoranti, super e mini-market aperti anche fino a tardi.Questa è stata la nostra quarta volta a Londra in hotel di questa categoria e devo ammettere che il Barkston Gardens è stata una piacevole scoperta, il migliore rispetto a tutti quelli visitati fino al momento. Per concludere: ottima posizione, ottimo servizio, grande disponibilità, stanze sufficientemente spaziose, colazione o servizio in camera fino alle 11 di sera(con il supplemento di 2.50£ a camera), buona la colazione, eccellente rapporto qualità/prezzo.Vi torneremo sicuramente.Consiglio questo hotel senza esitazioni!	
Aug 18 2009 	TERRIBLE customer service rude staff	We had booked a four night stay at this hotel via HRS, but decided over a week in advance that we wanted to go to the countryside on the third night (wishing to retain nights 1, 2 and 4).HRS does not allow you to amemd your booking to drop a ´middle´ night, so we called the hotel directly from abroad (at some expense!!!!)The receptionist advised us that we would have to re-book the fourth night at 20 pounds higher per night than the rate we had locked in via HRS!!! She spoke heavily accented english which we could barely understand, and was incredibly rude (at one point calling us stupid). And an email to the manager still has no response 48 hours later.... BEWARE!!!!	
Jul 29 2009 	Great location on a budget	My husband and I stayed at Barkston Gardens the end of April. Fairly large room with double bed and large bathroom. Very nice for cheap price - bigger than expected. Included breakfast which was perfect to start the day. Staff were helpful and polite. The location is the best if you can't afford to stay in central London. Right on the Piccadily Line at Earl's Court tube station - you are the last stop in Zone 1. It is a great neighbourhood to retreat to after an evening seeing the sights. Also excellent for taking the Tube to Heathrow airport - 5 minutes from Tube station.	
Jul 25 2009 	Still A Good Hotel But!!!	Once again we stayed at this hotel, for ease of travel it could not be better, value for money was excellent, a large double room for £60 pn, (booked through expedia) in the heart of London has got to be a good deal.we like to stay on the top floor (6th) as the floorboards are still squeaking and no one above to annoy you.Still a problem with hot water but enough to get a good wash, though the shower on occassions was slower.Wrote to the hotel last year about new windows as still using the old wooden sash type but noticed that they were still the same.apart from this it ios a little gem and well worth it, after all you only need a bed at night and could not find them more comfortable.	
Jul 20 2009 	Great location good value	Basic budget hotel. Fab location, just a few yards from Earls Court Tube station. Creaky floors, little insulation (we ended up with room 308 - a bit more secluded than most others). They were doing a bit of work on the electrical wires when we arrived and our room had two electricians in it upon arrival, but seconds later we where on out way to another (and a bit larger) room.A bit tired but clean and nice. Perfect when travelling to/from London via Heathrow. And at £60 a night it was well worth it.Hotel also has a luggage room for late depratures (like ours).Didn't try the breakfast as we opted to eat at a nearby pub, The Courtfield - cooked English breakfast from $4.99.	
Jul 1 2009 	average stay	I stayed in London at this hotel from June the 2nd to June 5th on my way to Athens...Hotel is close to Earls Court station so easy to access from Heathrow..had asked a single room but had a double room though did not like the beds at all found them uncomfortable...very hot when in London and the room was unbearable due to hot weather..i did not see any fan in the room, guess should have asked for it...rooms were spacey by London values but basic and tired . Lobby is good and welcoming, breakfast continental and was included but nothing special about it, though for me it was enough.I did not find it very clean and that made me kind of uneasy.Staff except one dark brown hair one who was nice the rest were totally average in being helpful and in their customer service. I guess for the price i paid it was good but overall i do not like the Earls court area and prefer Knights Bridge so far, was on a budget this time , have decided to try a new area each time in London...will stay there only if it is a short stay and not during the summer and if i do not find a better one.	
Jun 26 2009 	No value for money	The rooms were hot, no air conditioning or fans, no bar fridge. Furniture was old and falling apart. Had kettle but no lead. Bed cover and carpets were dirty. Had to keep asking where bar staff were when you wanted a drink. Only served breakfast - no other meals as dining room semi closed.	
Jun 21 2009 	we found a cockroach in our bed. do not stay in the basement.	this hotel was good value for london and in a great location. initially, we stayed in a sixth floor room which was fine, but on the second to last night we were moved to a basement room (long story) and in the morning found a COCKROACH in our bed. IN THE BED!! i can only imagine it crawled under the covers with us some time during the night!! we freaked, were moved to the sixth floor, and no more cockroaches. but DO NOT stay in the basement. COCKROACHES!	
Jun 20 2009 	excellent value close to tube station really clean	close to tube station,was really easy to find. first impressions from outside was ok but lobby was nice and spacious. We found all the staff really nice and helpful. Our room was small but it was just enough space as we were gone most of the day anyway. Initally the room was warm when we arrived but the fan cooled the room down in no time at all. Our room was really clean and we had maid service and towel change every day. Only thing we weren't really keen on was the continental breckfast appart from that everything was great When we checked out there was a luggage room provided so we could collect it later. It was in a quiet area so it was easy to sleep. appart from the odd noisy guest in the hotel itself.	
Jun 12 2009 	Tired and Tatty Room	The location for our visit was good. Easy walking distance from tube - though not a great help as there was a tube strike on our second and third day. Reception staff very pleasant and helpful allowed us to check in before time. Our room on the top floor, though large was very gloomy and had no ventilation. There was a small portable fan and the window was broken. The reception area and breakfast area were bright and cheerful. Breakfast was adequate.	
May 28 2009 	Close to train station and great breakfast	This hotel is a short walk from Earls Court train station. We used the underground from this station to travel around London. There are a number of small shops on the way to the station where you can buy snacks and also places to eat. There is a park across the road as others have mentioned but access if by key and limited to the local residents.The hotel is old and worn with thin walls and small rooms, but you would have to pay a lot more probably to get something better. The breakfast was very nice with plenty to eat. Despite being around the corner from a pub it was very quiet.	
May 26 2009 	It was ok nothing spectacular.	Fodor's recommended this budget hotel and from the photos on TA, I thought it would be great for the $150 I was paying considering everything else I could find in a nice area of London was $200 or more for 3 adults (myself and my 19 and 21 year old). The Barkston is an old quirky hotel...it was like walking through a maze getting to our room because of all the closed fired doors and listening to the floor creak, but yet it brought you back in time so I didn't really mind that. But there is no air conditioning so I wouldn't stay here in the summer. We had a bottom floor room facing the street so leaving the window open (and only one window opens about 5 inches) made me a little nervous but it was way too hot otherwise and we were there May 15 when the night temperature was in the 60's. A small fan provided helped, but I know it would probably be miserable if it was any hotter outside. And I was a little disappointed that we didn't get a room in the building over the court as pictured. The Barkston is actually on two sides of the street. The one side where you check in, is a pretty white building and then across the street is the huge red brick courtyard building that's in the photos.Convenience to the tube is excellent. As soon as you exit Earl's Court tube, turn right. Barkston Gardens is either the first or second street you see. There are no street signs, you must look on the corners of the buildings for the street names....and not all corners have them (unfortunately for the lost) but Barkston Gardens is named.The family room we had was a good size room with high ceilings. The single and double bed were comfortable enough but they had set up a pull out couch bed that my daughter slept in. She said it was ok but when I sat on it, I felt it was awful....sinking in the center and lumpy mattress. The staff overall were excellent. Very friendly and helpful. Only one lady should be fired. She was a 30ish blond women with glasses at the front desk upon our check in. She was cool towards us which I don't care, but I watched as she was downright rude to her co-worker and while the co-worker was trying to assist an Asian women who was struggling with english, she told the co-worker to just charge the woman, knowing the foreign lady could not understand that she was going to be charged. When the foreign lady was trying to question or understand, the blond woman shoved our key to us (basically we were dismissed), raised her voice and started berating the Asian woman. Later on when we were leaving, I mentioned to her that the toilet in our room didn't flush. She made a face and said she would send someone to fix it. When we got back 8 hours later, it was clear no one ever came or was in our room. The next morning, a gentleman was behind the desk and I again mentioned the toilet. Because they are old, you have to pump the water in to flush it. He explained to me how to do it and the problem was solved.The continental breakfast was ok....cereal, croissants, toast, ham and cheeses. Continental was included in our price but I wouldn't have paid for it otherwise.We were only in London for 2 days so the Barkston was satisfactory. If we had to stay longer, I'm not sure this would be my choice and I've never been to London before so maybe this is typical.	
May 3 2009 	Pleasantly surprised.	I spent a Saturday night here and was pleasantly surprised by this hotel. I wasn't expecting much due to the price &amp; location (which were both very good), but this hotel has everything you need. Yes, decor was generally a bit tired, but if you want sparkling new &amp; modern you will have to pay more. Service was good, I actually booked a single room, but they gave me a double - I guess because it was available, which was good of them as it wasn't necessary. Sheets were clean, bathroom was clean and location was lovely - overlooking a small park and off the main road so was really quiet for central London - and on a Saturday night, so I was expecting the worst. Literally 1 min walk to earls court tube. One not so good thing - even though it was only 20C outside the room was very warm, even with the windows open. However, a free standing fan is provided - another unexpected touch, so this quickly reduced the room temperture, and it ran quietly, so I left it on overnight. However, I don't think this would be a comfortable place to stay in he height of summer. Overall though I would defintely use it again if I needed to stay in a central location in London that was good value for money. Oh yes, and checkout is 12noon - so no rush to leave, which is a bonus if the night before was spent in Soho!	
May 2 2009 	value for money!	What a find! Clean, handsome, well-run hotel in London for about 80 GBP ($120) a night. The rooms are spacious (for London) and bright. Bathroom was big and newly refurbished, and the shower was great. Our room, #206, led to an almost-private courtyard. The hotel is about a 3-minute walk from Earl's Court tube, which gives easy access to everywhere (including Heathrow), and is across the street from a park. Breakfast is available, and there is a small bar in the hotel. Wireless Internet was reliable, even in our room. Staff were accessible and friendly. This was just great.	
Apr 14 2009 	Great location... sour finish	You can't ask for better in regards to location. We spent four nights at the end of March. You also get a decent sized room and bathroom for the price you pay. Unfortunately, the shower was awful and almost unusable, we ended up having to be creative to not burn or freeze. The cooked breakfast was really greasy (deep fried everything) and definitely not recommended. We changed our mind on the last day and ordered only the continental breakfast (which we were told was fine), however, they charged us for two cooked breakfast anyways. When we mentioned it, the man who said he was the day manager was very rude and refused to change our bill before he charged our credit card. When I emailed the main manager, she replied that we would have had to cancel our room booking while at the hotel and then rebook in order not to be charged the extra amount!	
Apr 1 2009 	Nice hotel - Great location. Would definitely stay again.	Stayed there for 3 nights in Feb-March 08'. Was recommended to stay there by a friend and wasn't disappointed. Nothing can beat the location, a couple of minutes away from the tube station, from which I did most of my trips around the city. There is also a Tesco store, a pharmacy and a Burger King just across the road. Had a view of a lovely garden just outside the window.Room was fairly small but cosy and heated, clean and neat. The shower stream was lacking a bit of life, though it was told on an info sheet inside the lift that it was due to maintenance in the water system, although they did say it would affect the water stream between 5-7 am, and in my room at least, it lasted all day.All in all, was worth the price and what you would expect from a 3 star hotel. Would definitely be coming back.	
Mar 25 2009 	Amazing Location Soured by Old Dingy Feel	We stayed at the Barkston Garden Hotel for three days on our recent trip to London. The location cannot be beat - about a 2 minute walk from the underground station. It's in a great little neighborhood with a grocery store, pharmacy, and a lot of restaurants around for entertainment. The hotel has a cute walk-up, and is well-lit with friendly front desk staff. There is free wi-fi available throughout the hotel if you have a laptop, which was a huge bonus for us.It has been said before, but this is definitely a case of you get what you pay for. The first thing I noticed was that when we walked into our room (which was at the end of a long hall with zero lights), the floor creaked. EVERYWHERE. There wasn't one spot in the small room that didn't make noise when you walked around, which I'm sure irritated the people below us. The bathroom was quite large, but the showerhead was a miser with water. We froze every time we showered because the water wouldn't come out fast enough, so by the last day, I had resorted to washing my hair under the running tap.We considered the room fine, because we weren't expecting much, but even so, I wouldn't stay here again. I will definitely pay more and upgrade my experience.	
Mar 23 2009 	Great location	Me and and two friends stayed here friday to sunday - this hotel is great location for underground and lots of places to eat and drink in earls court. The room was clean, the beds were good although I had the sofa bed - not comfy at all but I slept so was okay. Bathroom was large - we had hot water which was good but the shower sprayed water all over the floor - but we didn't care coz we had hot water was the main thing and it was fast hot water. The manager was very friendly when we came for continental breakfast. Staff are friendly. I would recommend this hotel.	
Mar 22 2009 	Got what you paid for...	Me and my Fiance stayed in the Barkston for 2 nights in March. We paid £50 per night for the room. Our room was number 304. On arrival, my fiance noticed when you opened the `patio` door/window, when you shut it, it wouldn't lock, and was easy to pull or push open. Not great considering there was no safe in the room, and on check in we were not offered a safe. It was very annoying when we checked out, I commented on the room and about the spring sticking out of the mattress and everything else, and all the man did was scribbled it down on a peice of paper and just said `ok` when I finished.NO SORRY about that, and thankyou for letting us know.Anyway, we left the hotel and went out. When we came back I got into bed, and felt a sharp pain in my leg, when I looked, I saw a spring that was stuck out of the mattress on the left side of the bed. It was stuck out about two inches, and had caught my leg. Because of the time I just pushed the spring back into the mattress and covered it over with the sheet. When we woke in the morning, we ran the tap for a bath, and had NO hot water. We had reasonably hot water on an evening, but NONE in a morning. Another couple of picky things were the walls are like paper-like some of the reviews said you can hear everything that goes on above you, and the decor is very dated, but this didnt bother us. The pipes to the radiator were exposed-the radiator didnt work, and had two portable radiators in the room, along with a fan, kettle, very old hair dryer, drop down ironing board and old iron (didnt use any of these)The shower head was an old metal one...the tiles around the bathroom could of done with a good clean, and when I had my first bath, I had to wash the bath out as there were `body hair` in the bath.The good points to this hotel though, were that you got a television in your room with about 10 channels on it, you got a sofa bed as well as a bed and plenty of pillows and bedding, you had a desk with a full length mirror, a wardrobe, kettle and tea/coffee and sugar with two packs of biscuits, room service every morning and clean towels, free internet in the bar downstairs, and the lager looked lively!!The breakfast in a morning was ok, not a big fan, it was a continental breakfast, croissants were hard, toast was cold.People that worked there weren't english-but this is very comman in London. Would not stay here again, have learnt that it pays to pay more when it comes to your accommodation. Area was good and central, a bit rough but....you can't have everything!!	
Mar 9 2009 	Good For the Cost	The selection of this hotel for our stay in London was based on cost and location (its within a 2 minute walk of Earls Court Underground) and the cost averaged £55 per night.The staff were friendly and helpful during our stay. The room was available to us despite arriving a little early and the check in/out was fast.The room itself was larger that others we've stayed in, in the area. The decor is showing signs of wear and is probably due a revamp. The window is our room didn't lock although it opened onto a flat roof. There were some extras (a floor standing fax, trouser press etc) that lead to the room seeming cluttered. The bathroom was large athough the shower head kept sliding down the height adustment bracket.Free wifi in the hotel bar was a plus with free newspapers available with breakfast. We had a continental breakfast included in the room rate and we found it good enough to set us up for the day (cereal, OJ, tex, coffee, toast, rolls, yogurts, ham, chess and fruit)I would stay here again	
Feb 25 2009 	Decent hotel with some pros and cons	We stayed in the Barkston Gardens hotel for three nights in late february for 60 euros a night, which is a good deal for a hotel in central London. The hotel had pros and cons:Pros:* Location; just 200 metres from Earl's Court tube, which is on the Picadilly and District Line.* free continental breakfast with fresh croissants and rolls* Comfortable bed (but it was small)* Decent bathroom with a lot of space, hot water and good water pressure.* Computer with free use of internet in the lobby and free wifi (when it's working... see cons)Cons:* The room was very hot. We had to sleep without any blankets. I think it was at least 25C in the room, may have been more.* The creaky floors. We could hear the people above us walking around the room and were annoyed by our own creaky floor* The showerhead could use some cleaning!* Very slow elevator, we used the stairs instead.* The wi fi internet wasn't available on the first two days we were thereAll in all we had a nice stay and would recommend this hotel for anyone who is travelling on a budget! Just don't expect luxury and dress lightly!	
