	Pleasantly Suprised !	Stayed here while attending the ATP Tennis Finals at the O2 Arena. I booked the hotel for economy and practical reasons to be near our digs when leaving the o2 late at night.After booking ......I then turned to Trip Advisor (!!! Not the way its supposed to work ...read reviews then book !!) Half the reviews hated the place the other half satisified .We where pleasantly suprised , expecting the worst the hotel was well located and safe , front staff polite and helpfull.Room basic but definately clean ...especially the bathroom.Will use again .	
Aug 25 2009 	Good for London sightseeing	Well, it's a Travelodge so you know what you are getting - hot water, decent beds, adequate room, TV etc, cannot fault the value as we got the room on one of the offers. I have stayed in a few of them but there are always a few differences in the locations, if not the rooms so here are the things we found out from this one:There is a bar/cafe attached but if you are just looking for somewhere to buy a sandwich or pint of milk you may be caught short as it is in the middle of office blocks so the couple of shops there close after office hours and don't open at weekends. If visiting London, eat out before you return.Rooms can be noisy at the back and front of the Travelodge as there is buildng work going on in front and various fan/air conditioning type noise from the office blocks. Closing the windows helps but makes the room hot.Internet access can be bought for £1 for 20 mins - OK to check online for info for travelling the next dayThere are often coach parties staying - if you have booked breakfast, ask if there are coach parties as they always seem to be up early and needing to eat all at the same time which causes large queues for seats for the cafeParking is £5 per day if resident (cheaper rate) - when you check out, if you want to park your car it can cost up to £22 for over 4 hours extra. There is a cheaper car park at E14 4AE (by the West India Quay station) for about £1 per hour - we moved our car here for the final day and travelled in by DLR as usualStaff at the Travelodge - we found that the coffee &amp; tea was not replenished and I had to go and ask for extras (I was at the reception desk behind a man asking for more toilet paper so perhaps they are on an economy drive?). I would also recommend to the staff, in the interests of professionalism, that they try not to argue loudly over the reception area in earshot of guests about dissatisfaction with their various shift patterns, holiday times, how their wage rise was turned down and how they feel that other members of staff are getting preferential treatment. Save that for your manager.All in all, I would say that this is a good place to base yourself for a city break or sightseeing trip - easy to get into the underground stations from the DLR link and reasonable rates.	
Aug 12 2009 	Do Not Stay Here With Children	With two children aged 3 and 6, a family room was booked.On arrival on Sunday 9th Aug 2009 we were told that everything was made up and ready. The family room allocated to us was facing the main A12, an incredibly busy, noisy main road which kept the children awake for both nights. The room could not be changed as it was 'made up' being the receptionist excuse. The excuse was made up more like! What twaddle - I had to pull out and make the two single beds myself. I had to walk back to reception to get the correct number of towels as they had put two out for the four of us.After a night of very little sleep came the battle of the plates. A massive queue to get in to the dining area, as the hotel did not have enough glasses, plates, cups or cutlery and kept you waiting outside. Guests were going into the kitchen and washing up the crockery themselves.On the second day we waited so long that we gave up and went elsewhere for food.The hotel is a joke - avoid like the plague if you want to sleep and have breakfast when you wake up - funnily enough the two things you are paying for !!!!!!!!!!	
Aug 11 2009 	Great value fantastic location friendly staff will be back!!	We had stayed at this travelodge a year ago and rebooked for this summer for 6 nights.After reading some of the reviews on the site we were wondering what had happened to this hotel since we had last stayed and were worried about what we were going to find.We had heard from a relative that at least three cars had had their windscreens smashed when they stayed in January and were thinking about cancelling altogether however, you can not find a hotel for even double what we paid. £29 per night for the rooms (we had two as we have three children) and £6.75 per Adult breakfast if you pre book. Children eat free. We requested two rooms next to each other on a high floor and that is exactly what we got.It is true that you get to a certain extent what you pay for. The hotel is tired round the edges. Carpets could do with replacing and when we did use the toilet on the ground floor there was a foisty sort of smell that other reviews have mentioned. However, on Floor 4 it was fine. Our rooms were spacious and very clean. The only fault that I could find were two chewing gum type stains on the carpet in one of the rooms which was not pleasant but just shows the lack of respect with which some guests treat their accomodation! There were fans in our room which was a pleasant surprise.The staff are doing the best they can with what they have to work with and we could not fault the service that we received at all. Very friendly and helpful. We requested extra towels and pillows and we got them. They were then replaced in our room on a daily basis. The towels smelt fresh and the sheets were changed regularly. The rooms were cleaned very well and all the tea/coffee etc restocked. Breakfast was not the Hilton but by far the best we have had in any travelodge. The hotel was extremely busy but everything was always available food wise; some times there was a queue to be seated and a short wait for clean mugs/ plates etc but service was always perfect despite the stress of coping with lots of hungry customers. We had dinner two nights too and this was ok for the money.The car park now seems to be manned 24 hours and the attendants are extremely helpful. There were no incidents that we were aware of and we felt extremely safe in this area. It is at most a five minute stroll to the East India DLR and then perhaps twenty minutes to either Towergate or Bank.For the money this hotel can not be beaten and we would like to say thanks to all the staff for a great stay. We will be back soon.	
Jul 27 2009 	above average travelodge.	large travelodge with seemingly endless rooms and corridoors check in was good and the room (family size) was large and clean. theres a big restaurant and bar downstairs.big compaired to the other travelodges ive stayed in more like a standard hotel restaurant than a TL. car parking cost £5 per 24hrs and getting a car pass was easy as staff were on hand to help.you tend to always know what you will get with a TL and this was no different to other ones ive stayed in.	
Jul 14 2009 	Ok to stay in but a lot of road noise if your use to quiet locations.	Normal Travelodge Offering, room fine and clean. Very close to Docklands Light Railway.Only points worth raising is that I could not understand the Security Guard when I had to buzz to get into secure park, took me 3 attempts to understand what he was saying.Next to very busy road, so can be noisy if you are not use to the sound of a busy city, even with the windows closed.Overall though, cannot complain for the price.	
Jul 2 2009 	First and Last stay at Travelodge	The beds were sagged and the shower had black mould on the sealant and curtain. There were crumbs on the carpets and the window had greasy hand marks on it. The sofa in the room smelt of tobacco and the staff were unwilling to accept there was a problem. The Manager was completely useless, blindly defending the hotel when it was clear there was a problem. I'd equate his behaviour with someone on the Titanic insisting it was not sinking and everything was absolutely fine.The only redeeming aspect was the breakfast which although expensive was an 'all you can eat' buffet type. However with a family it worked out cheaper to just buy the breakfast items from a supermarket instead.To top it all off we were issued with a &quot;penalty charge notice&quot; by the parking company. Not only is it illegal but it is also totally unenforceable. Travelodge have lost our custom forever and they must be incredibly financially desperate if they have to rely on issuing customers with fake and illegal parking 'fines' in order to secure extra income.	
Jun 21 2009 	needs some improvements	Easy to get to using DLR, great price for hotel but no payphone, no cashpoint , towels smelled stale ,bathroom smelled of dampness. be prepared if you`ve been to O2 theres nothing to eat if you get back late and nothing in the surrounding area to get anything, at breakfast very slow on filling up food trays. May sound like im moaning but a simple thing like a teaspoon cant be found at breakfast and they offer tea n coffee!!! Staff were very friendly and helpfull. overall we had a great time and if your not as fussy as me then its go fot it.	
Jun 14 2009 	By far the nicest Travelodge I've ever stayed in!	Stayed here for one night when going to concert at 02. It is in a really great position for the 02 just need to cross the river either on tube or in our case, as Jubilee line was down, on free boat provided by DLR, port in short walking distance from hotel.As for the hotel itself, I was very impressed. The staff were friendly and helpful; the room was a good size and very clean as was the bathroom; the shower was good and powerful (there's nothing I hate more than a bad shower in a hotel!); was lovely to be able to have breakfast at a travelodge and buffet was good for price, particularly as was all you can eat! Parking was good and always a bonus in a London hotel! Only £5 for 24 hours.Would definitely stay here again on my next visit to the 02!	
Jun 14 2009 	Great hotel - especially for the O2	Just back from a weekend in London. Stayed in the Travelodge Docklands because it was close to the O2 arena. Hotel is fantastic for the price you pay. Rooms are basic but clean and a good size. Staff were always accomodating; our first key didn't open the door and that was sorted straight away and we were given extra towles when we requested. The bar is very good, food is basic but does the trick. We paid 7.50 each for breakfast which was okay but doin't know if I'd get it again if I went back. The hotel is also very close to the East India train stop to get into the centre of London which is quite far away. But for the O2 it's spot on!	
Jun 11 2009 	Good value for money	Slight queue for check in but enough staff on hand to cope. At first door card didn't work but that was quickly rectified. The room was tidy, on the small side but was easily adequate for an overnight stay. 10 minute drive to the O2, but in rush hour give yourself half hour at least. Adequate parking, nice bar in the evenings. Only gripe would be the poor breakfast. Poor selection and not of the highest quality.	
Jun 9 2009 	Very basic - good access to O2 and parking but that's about it	Had to go to a conference at the O2 - needed somewhere close with reasonable parking. The Travelodge looked OK on TripAdvisor so booked the 3 nights I needed. Arrived before 12:00 and was told early check-in could only be investigated after 12:00, was not guaranteed, and would cost GBP10 extra if available. The place wasn't full, so there could well have been rooms available, but the horrible woman on the front desk was totally unhelpful.Once in, found the room clean but incredibly basic, with basically nothing in it that couldn't be nailed down. The parking was fine, but in all other respects, it was just barely acceptable.	
Jun 9 2009 	Bargain Stay	This was our 5th stay at this travelodge and again it did what it said on the tin, cheap clean accommodation with good transport links.We now avoid this lodge at the weekends or when there is something on at the O2. The noise is just horrendous at nights.We were again on the ground floor and worryingly as we walked up the corridor behind reception we again smelt dampness, this was also evident during our last stay in the same corridor. This time the carpets were dry. Our room was ready on our arrival just after 3pm, no waiting to check in. The room was clean but with scuff marks on the walls. The tv remote was missing and a bulb out in the shower room. We reported both on our way out, we received the remote but the bulb wasnt replaced, which was disappointing, it was only a light bulb afterall.The one thing that really annoys me about this lodge is that it has a good bar which is only opened limited hours. It's something like 5pm to 11pm Monday through Thursday and open till midnight I believe Friday and Saturday. When the place is busy and you have people waiting outside the reception wouldnt it make sense to open the bar, people can sit there and you may even make additional £££!! If you go to a show in the west end, the earliest possible time you can get back to the lodge is 11.15pm, so when you get in you can't have an alcoholic drink. The lodge isnt really near any bars for a convenient drink, so we bring things back or have a drink before heading back to the lodge.	
May 20 2009 	Wouldn't go again	We arrived late (10pm) and were absolutely shattered after a 4 and a half hour drive so when I pulled back the covers to find a ripped sheet I was not best pleased but as it was so late we thought there would be no-one to change it so covered it with a pillow for the night (rip was right by the head). The next morning we went down to reception and asked for the sheet to be changed, what looked like a manager was on the same side of reception desk as us and advised the reception staff that although we'd only been there one night it should be changed as it should never have been put on when ripped, we went out for the day returned at 10pm to find sheet had not been changed, I was so annoyed as we had been told it would be done that despite the time we went down to reception to complain. The result?! We were given a sheet to put on the bed ourselves, we do not work for travelodge!! If there are no specific cleaners then another member of staff should have changed the sheet!! The first night we had a towel each but the following day one towel had been removed so we had to share a towel, we were miles from reception and 3 floors up so by the time we waited for the lift and walked a mile of corridor (there was no phone) and queued at the reception desk we could have been out for the day and so we did not request another towel. On the final day I wiped my face with a 'cleanly' provided hand towel to discover it was covered in bright pink lipstick at least I think it was lipstick, I'm sure I don't have to tell you how disgusted that made me feel. Overall an awful stay as the cleaners obviously don't give a damn. The only plus was the location, for the price it wasnt too far from the centre by DLR and tube.	
Apr 28 2009 	Typical Travelodge	Had it not been for the engineering works on the Jubilee line on Easter weekend, our stay at the Docklands Travelodge would have been so much less tiring. Not that Travelodge are to blame, but the time taken to central London without the Jubilee line becomes annoying.Otherwise, the staff do their utmost to keep clients happy, the rooms are spacious enough and clean. The restaurant serves basic cheap food.Cons: staff seem to struggle to cope at breakfast, plates could be cleaner sometimes, noise from the road can be a nuisance with the window open. Otherwise this was another pleasant stay at yet another Travelodge.	
Apr 14 2009 	OK (ISH!)	Good Points - Easy to get into London via DLR East India a 2 minutes walk away.Can Park for £5 a night which is good value for LondonOutside of Congestion ZonesBad Points - Rooms smell badly of toilets. You get used to it after a while but when you first return to your room is always smells like somebody has just been to the toilet!Horrible showers because the mouldy shower curtains stick to you whilst you are having a shower. The water goes freezing cold then boiling hot!Other peoples hairs hanging off wall tiles to bathrooms!Carpets are rather disgusting, especially in the main coridoors the coridoors SMELL AWFUL!Noisey outside due to planes overhead and some kind of generator going all day and nightFor £19 a room cant complain but I wouldnt pay anymore. Apparently the hotel has just been 'done up'...but it doesnt look or smell like it!	
Apr 5 2009 	good hotel	Stayed for one night when going to the O2. Quite a long wait at check in, but staff very pleasant and apoligetic. Only one towel in room but this was quickly remedied by reception staff. No problem with parking and the DLR only a short walk away. Rooms are small and basic but ideal for overnight stay. Would use this hotel again when visiting london.	
Apr 3 2009 	Great for the o2	Great value for money hotel, rooms were clean and comfortable, good shower! ideal for the o2 arena.Very helpful staff, additional room items readily available, plenty of reasonably priced parking (£5 for 24hrs for residents). Good breakfast plenty of choice and nowhere else nearby to eat.Only improvement would be a cash point in hotel and maybe extended bar times as was shut by the time returned from o2 when would've been nice to have a night cap!!Thanks alot, will recommend.	
Mar 22 2009	Just OK	Check in took forever.....rooms were adequate as was breakfast. good location, close to public transportation. Probably would not choose it again if given a choice.	
Mar 22 2009 	Aufweidersein Pets Day Out	Stayed in London whilst working at the excel exhibition.Not impressed.Assume there are so many people attending the nearby exhibition that they dont need to worry about customer satisfaction, however in these recessionary times they should think again. The corridor was being painting whilst we were there and the fumes were awful , so much so that I awoke with a really bad throat. The cast from aufweidersein pet were there to greet me from 8am as they were painting the room oppposite as loudly as poss. the reception were not bothered and certainly I would only stay here as a last resort in future	
Mar 16 2009 	Bargain!!	I stayed four nights at £29 per night which I thought was a bargain, it takes about 20 mins from Central London by DLR which may be a bit far out for some but is not so bad as its quite a good service.The hotel is undergoing refurbisment and that may cause a bit of disturbance to some but most of the work is going on in the day so you probably wouldn't notice it.The breakfast was okay, nice breakfast room and attentive staff, although the scrambled eggs were akin to rubber.If you are arriving by tube/DLR to East India station, there is little signage and late at night it is very deserted so make sure you cross the footbridge (signpost Town Hall), go down the stairs past the buses that are parked and through what looks like a security gate, you will then see the travelodge on the right hand side.I would happily stay again given the cost, even at full price it never seems to go over £55 which for London is a bargain.	
Mar 11 2009 	Cheap and Chearful	Stayed here a few times now and for the money (you can get this hotel for £19 a night if you book far enough ahead), you cant go to far wrong. The decor in the rooms is a little tired, but its clean. Room facilities include tea and coffee and en suite. Family rooms are worth it for the extra space if you can and cost no extra. The restaurant is good quality, but pricey, and the bar whilst open till late only serves bottle drinks at around £3 each. The DLR east india station is a 4 minute walk away and takes you direct into bank station. If your looking for somewhere to stay whilst you shop or take in a show, you wont go far wrong, and parking is available on site for £5 per 24hrs.	
Mar 9 2009 	gr8 location 4 th o2 - typical travelodge value	typical travelodge.so close to the o2.good value for money.and yummy breakfast too.what more can one say.	
Feb 24 2009 	Great for O2	Stayed here as we were going to the O2 Arena. I looked everywhere to get a good deal and somewhere close. Last year i stayed in the Holiday Inn but this hotel was a much better location, right in the financial times area of the docklands so quite secure if a group of girls or on own. East India DLR is right behind the hotel. Take this to to next tube station and change to get to O2 arena £5.60 day pas for zone 1 &amp; 2. Hotel not the ritz but you get what you pay for. Parking is £5 for 24hrs. Best hotel for O2 though	
Feb 13 2009 	Some pros some cons	Think we got what we paid for here. The staff were nice and very helpful. The corriders smelt stale and there were holes in the walls. Our room itself was ok, the bathroom could have been cleaner, and our towels disappeared the following day. The shower was powerful though the water was a lot cooler the following day.On the plus side we didn't experience any noise from outside the bed was very comfortable and clean, the car park was cheap and safe. East India DLR was a short walk away. For me the pros outweighed the cons.I would stay here again as it was easy to drive to and was on the whole OK.	
Jan 27 2009 	Poor example of a Travelodge	Stayed here for one night whilst visiting East Lond attraction before flying out of Gatwick.General note: Travelodge's 'jobsworth' policy of not allowing any check-in before 3pm unless you pay a tenner is really putting my off this chain.Large hotel next to main road and business district. Woken by City airport planes at 6.50am - double glazing neither use nor ornament.Rooms very small, bathrooms even smaller. Room wasn't the cleanest I'd seen and equipment was dated.Would it kill you to put some pictures on the wall? I've seen more cheerful looking prison cells!It's ok if you're a workman I guess but I wouldn't recommend it to anyone else!	
Jan 8 2009 	Usual value	Stopped here on a £19 family deal on 27/12/2008. Not glam but the usual clean and basic travelodge. Everything needed to sleep for a few hours only.Easy to drive to the Docklands and £5 per day parking handy. The DLR is two minutes walk. Easy to get into London.Have rebooked in the Summer on the £19 deal (and £9 on some nights). Bargain.	
Dec 18 2008 	No frills value for money	This is a great hotel. We stayed on the ground floor, overlooking the car park. It's very quiet with the windows shut. If you have the windows open you can hear a bit of traffic noise/ aeroplane noise. Nice area, felt comfortable walking to the tube at night (3mins). Comfy bed, clean sheets and kettle/cups and a decent shower. Hotel staff very pleasant. Convenient for the O2. Paid £29 online for the room and would definately stay here again.	
Dec 7 2008 	cheap and good location	Nice budget hotel near the O2 book the breakfast is is delicious. Easy access to central london via the docklands light railway (east india station a 5 minute walk away). I have been there twice now! Bar open till the early hours too.	
Nov 24 2008 	A great base to explore London	When arriving at the hotel I initially felt quite apprehensive due to the mixed reviews I had read, however I was pleasently surprised.The reception staff were friendly and helpful. The room was basic (what you would expect from a travelodge) but was clean and comfortable.The hotel was a short walk from the DLR, which was an extremely efficient way of getting in and out of the city.The hotel has a busy road to its rear but with the window closed this was not an issue.I would not recommend this hotel to anyone expecting a five star service but if you are looking for a base from which to explore London it is ideal.	
Nov 14 2008 	Disgusting!	If you like the smell of urine as you are walking down the corridors and also the same smell in your room then you will like this hotel! The rooms are small, very basic, the linen was dirty, the shower curtain was mouldy, the bathroom sink cracked and there was one towel!Breakfast........great if you like mouldy bread on both mornings! Dirty cutlery and plates.I know this is a cheap hotel, but all I ask for is cleanliness and this HOTEL CERTAINLY IS NOT CLEAN!	
Oct 2 2008 	Not too bad..but not great	This hotel isn't bad for the money but the decor is a litle 'tired'.It is very hard to find (even with Sat Nav!) as it situated at the rear of high rise offices ...so be warned !Taxi to the O2 was £15. DLR station is fairly near but I wouldn't like to walk it in winter as its very windy and a bit desolate outside of the office hours. It also requires a change of train to get to the O2.Breakfast was adequate but shuts very promptly at 10am.Car parking was £5 for 24hrs paid in advance.Tea and Coffee in room.Limited irons available so grab one early.Personally I wouldn't use this hotel again because on evenings I like to have a wander around and being in a business/office park there is not much to see.(actually..there is nothing to see)Nearby is a restaurant open office hours offering full english for £4, it was modern clean and tidy so if you want a lie in you can get your breakfast there (its actually closer than the DLR station and has a cashpoint next door. (no cashpoint in hotel).Staff were pleasant at the hotel and booked taxi's for us and gave directions.One word of warning if you are going to see a concert at the O2 and planning to to eat at one of the many restaurants there, either arrive early or be prepared to queue for a table (around 30 mins when we went to see Stevie Wonder)You can get fish and chips actually in the concert arena which at £12 for two wasn't bad value and very tasty too.Hope this helps someone make an informed choice.	
Sep 26 2008 	"Worst night EVER!!!!"	Woah! after a hell of a day in busy London I just wanted to get home to Manchester....No chance, some nut on the train line was firing a gun at staff andtrains at a station further up .As it became clear I would be stuck over night I phoned my husband who said not to worry, he would phone through to the travel lodge switch board and book me a room.I wish he hadnt! The floor at Euston station would have been more comfortable!!Apperantly docklands was the closest room they had availible and not knowing london to well he went for it not realising what a trek it was from euston.I rocked up about half 11 and even in the dark could tell it wasnt going to be a pleasent experiance.as I tottered past the crowd of bozey,leary men gathered at the enterence, I told my self it cant be that bad...It was worse!With my aching feet just dying to kick off my new platrform heels, I was finally given the key to my room by a rather gruff receptionist.taking the lift which looked like something from a horror film I made it to my room on the 3rd floor, at least now I could rest....No.The key hadnt been swiped and wouldnt open the door. another journey down in the hell lift and up again I was in...O Dear! A grotty room with a lumpy smelly bed( Im not even sure the bed linen had been washed!) and a hideous couch which wouldnt have been out of place at the dump were the highlights of the room, the bed side tables had been broken off and smashed chipboard was all that remained in their place.No phone.whilst showering I had visions of a phsyco equse seen....tring to sleep was near impossible,walls were paper thin and I could clearly hear a couple going for it near by,even over the loud traffic!In the light of day the room looked even worse,and on going down for breakfast was asked to show my breakfast pass???When the guy at the front desk managed to get me one I handed it to the man in the breakfast area as instructed.nothing looked particulaly appetising but I had to eat and as carried my meager pickings to one of the grimey tables was acousted by a kitchen worker demanding my breakfast pass!Id had enough, handed my cracked and stained key to room 320in to recption,called a taxi and got the heck outta there.....what a nightmare!	
Sep 16 2008 	Value for Money	As with most other reviews would concur that this hotel offers value for money providing you take advantage (as we did) of the £29 per night offer available on the Travelodge website.£6.75 for pre booked cooked breakfast was also good value - particularly in London.One word of warning though - if you are travelling by car late at night make sure you have clear and precise instructions regarding the location of the hotel. We spent 30 minutes going round in circles around Canary Wharf trying to find the location of the hotel. If you approach from the wrong direction there are very few road signs to help and the locals do not seem to know where the hotel is either!	
Aug 22 2008 	GOOD VALUE AND CLEAN	I booked a cheap deal direct with Travelodge and got the room for £19 The location was quite good, there is nothing really around the hotel but the DLR is a short couple of mins walk so it had easy access to everywhere in London.We were going to the O2 and it took about 20 mins to get thereDLR and then tube so good location for that.The room we stayed in was clean and well decorated. Nothing fancy of course but it is a Travelodge.Tea and coffee is the room was unexpected so a bonus.We did have breakfast at hotel and it was good and hot but not really worth the money to be honest.I would definatley stay here again	
Aug 22 2008	Great Stay at the Travelodge	Stayed for 1 night, got a £19 room deal via their own website, easy to find as it's right on the A13 a bit noisy, but we were on the car park side of the hotel away from the road so the noise was not too bad. Hotel is 5 minute walk away from East India DLR, but check for any engineering works at weekends!Can reccomend the Bar Cafe Breakfast, book online for 10% discount- 2 kids per adult eat free, food was well cooked, good choice and value for money.Room was very clean and staff helpful, one o the better Travelodges	
