	CLEAN GOOD LOCATION CHEAP	Stayed in London travelodges before, but never on the South Bank. This was an excellently located hotel, 100 yards from the tube station of Southwark and a 5 minute walk to the Thames. Great base if you want a bed for the night clsoe to the amenities of London town.Reception staff very helpful.	
Sep 19 2009 	For a budget hotel.....highly recommended!!!!!!	We stayed at the Travelodge Southwark for 3 nights after flying from Australia to London. Checked in at 7pm and all very efficient and smooth.The rooms are spacious (ask for a family room if it is the same price as a double, you get a lounge in it) and comfortable.It is considered a no frills hotel as they dont provide all the toiletries etc but as far as everything else it was brilliant. It is only a newly built hotel with a 5 minute walk t the tube station and a 15 minute walk to London Eye. Very central.The restaurant food is basic (good if you prebook the 2 course dinner for 6 pounds) eg fish and chips, lasagne, curry etc but there are pubs and restaurants/cafes right outside the front doors. The wine bar next door is excellent for a meal!They also have vending machines in the reception area and internet terminals (a pound per 20 minutes).........really couldnt fault it. Especially if you go a cheap rate!!	
Sep 9 2009 	A comfortable relaxing stay	I'm quite fussy about the cleanliness of hotels but this travelodge was very clean and modern. We stayed for 2 nights (2nd-4th Sept) and thoroughly enjoyed our stay. The location was excellent - virtually on the doorstep of Southwark Tube station and about a 20 min walk to the London eye. The hotel service was excellent and on the 2nd day we returned to our room to find our bed had been made, clean towels etc. There are a lot of rooms with about 7 floors and I thought we might hear other guests, however the whole stay was peaceful and relaxing. There are also some great local bars / restaurants and can highly recommend 'Tas' - a greek/turkish restaurant which is literally a 2 minute walk from the Travelodge.	
Sep 7 2009 	Second Visit - will be going back again soon (I hope!)	This is our second visit to the Southwark Travelodge this year. It's ideally located (even more so now there's a convenience store below it selling milk, papers, snacks etc). The Tate Modern is a five minute stroll, and there are loads of restaurants/cafes in the Blue Fin Building, just before you get to it. There's a Pret, Leon, Starbucks and a load of other eateries, all of which looked very nice.The hotel is situated on the railway line but don't let that put you off - the double glazing is very good. We asked for a room on one of the upper levels (there are 7 floors) and facing the road. Luckily we were situated in room 627, which is overlooking Union Street. You get next to no noise in this room. There are secure doors on every corridor so it feels quite secure. The first night we were there, some rowdy girls we on their way out to a club, and came back very noisily at 4am. This was the exception though - we were there for eight nights and only had a little disruption this one time. In the main it's mostly business people, young couples and families who seem to make use of the hotel.The location of the hotel is really it's major selling point. It is a two minute walk from Southwark tube station (great for the Jubilee line, meaning you can be at Bond Street tube in about 15 mins). Waterloo station and all its amenities are about 10 minutes away, There's a Sainsburys Local just opposite the station, as well as a nice pub called The Wellington which sells pretty good pub food. There are lots of bus stops here too, and the area as a whole feels quite safe.The room was extremely spacious and the bathroom was neat and clean. You know what to expect (and what not to expect with Travelodges) - just a bar of soap, no fripperies, but for the amount we paid (ave. 30 quid a night) that's just fine. It was nice to have a bath after a long day schlopping around London and the water was really, really hot (a plus point for me as I like it bordering on scalding!!). The shower was nice and powerful too. The towels weren't fantasticly soft but they were a good size and did the job just fine.The room was very clean and was serviced daily. The flat-screen TV was a really nice plus points, esp as it had some Freeview channels and radio stations too. Our view of Big Ben was a nice bonus too. I would say our stay was ever so slightly inferior to our stay in January. The staff were not as friendly on this occasion, and the complimentary coffee has gone from being Gold Blend to Nescaffe Original (which I hate!). These are small matters, but I find it's often the little things that make or break a trip. Not that I was overly worried about them in this instance but if I had paid the going rate I think I'\d have been a tad annoyed :)All in all though, I will be going back, probably for the January sales (provided I can get a good deal on the room!). It's a great base for London and I reckon you'd be hard pushed to find such good value anywhere other than a Travelodge in Zone 1.	
Aug 24 2009 	Good Value	Arrived a little early for the early check, but receptionist was very friendly and told us she knew we'd be arriving looking for early check in. We only had to wait a couple of minutes when we were told our room was ready. Room was basic (but that was to be expected from the budget), but it was very clean, had airconditoning and was nice and quite. Location is great, a 2 minute walk to Southwark Tube, 10 mins to Waterloo or London Bridge, walking distance to the Tate/Globe &amp; all the interesting places round London Bridge. The Borough Market is also in the area. I stayed there with my sons, 11yrs and 15 yrs, I felt safe in the area walking back from Tube at night. Very handy shop down stairs that sold everything from fresh bread, milk, sandwiches, drink, papers etc... The Travelodge had a restaurant, that you could get pizza in a box to bring back to the room - great for teens. There was internet in reception which was also good for teens. Reception area had vending machines, handy for late night cold drinks. There is a 24 hour supermarket near the Southwark Tube station.	
Aug 24 2009 	Basic Hotel - but clean and comfortable	The hotel was basic with no frills but for the price we paid it was excellent. It was clean, comfortable and quiet even though it was next to the railway line. It was only 10 -15 minutes walk from the Globe Theatre where we spent the evening and had lots of places to eat close by.Would definately stop at this hotel again.	
Aug 23 2009 	No Hassel No Frills	It’s what you want, just a place to crash after walking around London all day/night. Nothing else. We use Travelodge a lot and this one was pretty good. We had the family room for 2 Adults and one Teen. The couch was more like a day bed, so it was more comfortable then a sofa bed. The room was clean and comfortable. We could see the train going by from our window, but never heard it. We also had views of a office building next door, so be careful when you open the curtains. The restaurant looks like a school cafeteria, but was probably fine. (we didn’t eat there) There isn’t a bar area, but you can get your drinks in the restaurant and sit there or take them to your room. There is a handy shop at the entrance that has all you need. You can walk to the river area in about 10-15 min, and come across some coffee shops along the way. For a lunch or dinner it easy just to walk to the Thames path and find a restaurant. We ate at an Italian place with great views of the river. There was also a nice looking fish restaurant next to it with a upper deck .	
Aug 21 2009 	Very basic - both nights had to evacuate at dawn due to fire alarms	Not impressed, room basic with very cheap, very uncomfortable mattresses, very poor lighting and extractor fan not working in bathroom. Two towels for 4 people. Both nights we were awoken due to fire alarms, first night at 5.25am and second at 7am - no apology at waiting outside in pyjamas with exausted children. Lovely tiny theatre 2 doors along.However pretty cheap for London, clean and near to the station but I wouldn't stay again	
Aug 16 2009 	Clean and comfortable	Stayed for 4 nights for a family break. Had pre booked an early check in which was just as well as we arrived at midday and would have wasted the afternoon waiting to get into our room. On arrival check in was quick and when we got to our room there was only 1 towel and the double bed was made up but no bedclothes for the sofa bed - there were 4 of us. The maid was in the next room so she was able to sort out more towels and bedding without any problem. The room was quite big and very clean. Although we were overlooking the railway it didnt bother us at all. Maids came in every day an made up beds and left clean towels which we didnt expect. They never replaced the toilet roll and we had to go to reception and ask for more, that was the only complaint i could say we had.Breakfast was quite basic but edible and we always got enough to do us. Hotel was about 2 mins walk from southwark tube staton and 5 mins from waterloo. Overall we had an enjoyable stay and would recomment this travelodge.	
Aug 16 2009 	An Excellent stay!	Having stayed at various Travel Lodges across the UK, this has to be the best we've ever stayed at- the hotel is fairly modern with air conditioning, digitial TV and is bright and comfortable. We stayed here either side of travelling to Europe- the first three nights we were on the 7th floor with a great view of St Paul's Cathedral, which looked spectacular at night. The second three nights we were on the second floor- no real view, apart from the railway tracks (but you don't go to London to look out of your hotel window!) Trains passed our window and quite often we couldn't hear them- so noise was certainly not an issue for us. Last year we stayed at the Purple Hotel at Tower Hill (now a Premier Inn) and there wasn't an awful lot of difference between the two- except Travel Lodge rooms were £19- £39a night! A bargain. Will certainly stay again.	
Aug 14 2009 	did the trick too many rooms for the size of the reataurant in it though	I went for a few days holiday in London to show the kids the sites. This Hotel was pretty reasonable on price and fairly handy for London city centre. there is a good wee pub opposite which did food and the owner was friendly so we had a few pints in there at night after a hard day on the tour round the city. It was a good 20 minute walk to the London eye, 5 mins from tate modern, There is quite a few bars etc on the street and it is just 2 minutes from the southwark tube station. We used taxis to get about as it was just as cheap as paying 5 tube tickets. I would probably try and get a hotel a bit closer to the centre next time so we could just walk out to some of the main shops, sites etc. The restaurant was too small for the amount of rooms in the hotel. The hotel was newly opened when we went there so it was clean.	
Aug 13 2009	Great central location for a budget hotel	After seeing warnings about train noise called up and asked for quiet room on check-in day - was duly allocated a top floor room with no noise. Great central location for a budget hotel; most budget places are further out or in poor locations. Walked from here to the Tate Modern then along the South Bank and was at Big Ben in 30mins. Not many budget hotels where this is possible. Room was big for London standards, and clean. Obviously not the best hotel in London, but one of the best for the rate I paid. When I am on a budget London trip I will return here.	
Aug 7 2009 	Perfect for what we needed	We stayed here for 2 nights and found it to be perfect for our needs. It's basic (but you know that, you're staying at a Travelodge!), clean and comfortable. It's about a 2 minute walk from Southwark underground station and only a couple of minutes further away from Waterloo. Most of the time we walked to Waterloo because there's a better choice of trains. The hotel is also within walking distance of Westminster etc (maybe about 15mins at quite a slow pace) so is ideal for sightseeing. We didn't eat in the hotel because there's so much so nearby and wanted to make the most of our stay in London. The only criticism I have is of the staff. We found them to be unfriendly and unhelpful (luckily we only had to deal with them when checking in and out). Apart from that, we'd recommend the hotel and will probably stay there again when we next visit London on a budget. If you're not on a budget, I'd recommend the Park Plaza County Hall which is a few minutes away from the Travelodge and far superior!	
Aug 7 2009 	Great Value and Location	Stayed here for three nights at the end of July. We had a great prepaid Super Saver rate for a family room and also paid for early check-in. The hotel is over a disability employment agency and so is a bit hard to spot at first. It is one block from Southwark tube (very convenient) and about a 10 minute walk to Waterloo station. Check-in was easy and our room was ready. The family room was very spacious for London and had a king bed and a twin sofa bed. The back support cushion comes off the sofa bed and then you put the sheets on. Sheets and towels were of good quality. As others have said here, the bed linen for the sofa bed was not in the room and there were not enough towels for 3 people. But, a quick trip to the front desk remedied that. The room and the bathroom were very, very clean. There was no closet and instead there was a small clothes rack over the sofa bed which was not the most convenient place, especially if you have long dresses or skirts. A/C worked well, as did the flat screen TV. Our room overlooked the rail tracks, but we really could not hear much noise at all from the trains. We also had a view of St. Paul's, which was nice. Did not eat breakfast at the hotel, so can't speak to that. Wi fi worked well (fee applies). There is a pub with outdoor seating across the street, small convenience shop on the ground floor and Borough Market is about a 15 minute walk. Also, the Anchor and Hope gastro pub is a few minutes walk away on The Cut. The hotel also has a small bar and you can bring drinks to your room. As others have said, there are no toiletries or hairdryer in the room, although they have them at the front desk. Also, no phone and they do not provide wake-up calls. So, no frills but due to location, price and cleanliness, I would most definitely stay here again on our next trip.	
Aug 3 2009 	Travelodge	I stayed at this hotel in early July with some friends as the first stop on our Europe Holiday. We found the room spacious for 3 people. It was clean and well maintained. We found the staff to be nice and helpful and never got annoyed when we came down late for breakfast.The Prices per night for the travelodge are very good. I would recommend, that if you are planning to have breakfast booking it online when you book the room.As the other reveiws have mentioned this hotel is in a good location, near southwark train station, and not that long of a walk to waterloo station. Also being in walking distance to the London Eye.Would definitely recommend this hotel to friends staying in London.	
Aug 2 2009 	Great value basic hotel	My boyfriend and I stayed at the Southwark Travelodge for two nights at the end of July 09 as we went to an event in London on the Friday night and wanted to make the most of our stay. We got quite a good deal by booking online in advance and the hotel was in a gret location for us.The rooms are surprisingly spacious, and are very basic but have everything you need. They cut costs by not putting toiletries, irons and hairdryers in the rooms, but according to an in-room leaflet you can ask for anything they don't have at reception (we didn't need anything). Because of this it feels a bit empty and cheap compared to other hotel rooms (at Premier Inns, Holiday Inns etc), though it is cheaper so you get what you pay for. The bathroom was very basic but clean and the shower was particularly good, lovely and hot! Check-in was 3pm and check-out was 12pm, much later than many other London hotels. I was particularly impressed by the safety of the hotel, you need your room card to enter the main entrance after 6pm, and once you get up the lift onto your floor you again need your room card to enter the corridor to the rooms.The location was really good, literally seconds from Southwark station (Jubilee Line) and minutes from Bankside - Tate Modern, St. Pauls Cathedral, South Bank - and The Old Vic and other theatres. If you don't know it's there you'll probably walk past it, it's above a Costcutter/employment agency and you'll only notice it if you actually look carefully for it so keep an eye out (on the left right before the railway bridge if you're walking from Southwark station).Overall, very basic but good value for a cheap and cheerful London hotel, and a great location.	
Aug 2 2009 	Stressed out staff	We stayed in a family room with 2 adullts and 2 children (7yrs &amp; 4yrs). The location is the best thing about the hotel, short walk from tube, but no signage makes it easy to miss. Rooms are typical Travelodge, roomy but sparse on furnishing. I was forewarned about lack of linen and towels for our family on TA and this was the case when we arrived. Tired from a long journey with kids on the tube, I had to trudge back down to reception to ask for more towels and the linen for the kid's beds. Staff were apologetic, but clearly stressed and not coping with workload. We also discovered dirty linen behind the door when we entered, and my sister who arrived earlier in the day was given her room key only to discover someone elses bags in it. Staff said they had a power failure that day which meant that the room got missed and obviously the previous guests didn't check out on time. Talk about security risk! My advice is don't leave any valuables in room and lock your bags. Breakfast was good value as 2 kids can eat free with one adult. On the whole a pleasant stay but more staff would ease the workload and make sure mistakes don't happen.	
Jul 27 2009 	Perfect for XXL!	Stayed here a few times now when we've gone clubbing to XXL. The location is fantastic, 2 mins from Southwark tube station, 5 mins from Waterloo. It's 400 meters from the club.Pleanty of minimarket type shops here too, but be carefull of the sandwiches I bought one got back to hotel room and it was mouldy!Room was basic but adequate for 1 or 2 night stay. Very clean. AIrcon worked well.The checkin staff here could be more friendly though. Housekeepers a bit noisy in the morning!	
Jul 23 2009 	Cheap Clean Great location and lots of trains!	Great location for tube station (Southwark) and bus route RV1 which runs from Covent Garden to the Tower. Very modern and clean. Great security with key pad outside (for after 10pm) and on each floor. Shower and bath, tea/coffee, modern lighting and flat screen tv. My son thought he was in heaven as there were about 7 train lines right outside the window, and signals too. Only a little noise could be heard in the room, not enough to keep you awake. Breakfast convenient, we'd paid in advance (£11.68 for 2 adults and 2 children) Juice cheap and watery but everything else ok. Definitely recommend for families.	
Jul 17 2009 	Great Budget Hotel	very basic hotel but great prices! breakfast was really good and quiet cheap for a hotel breakfast. 7 pound 50 pence. room was very clean and beds and shower were awesome. no frills here but just everything you need thats great. good location (only 100 mts from southwark underground) and can walk to london eye, big ben etc in about 20 mins.	
Jul 5 2009 	Clean spacious and modern value	The room was very clean and more spacious than we expected (included tub). We experienced a comfortable 5night stay here, although one of the elevators was out for about half our stay, the room was quiet and offered all the basics (coffee maker too). Everything is accessible, though not necessarily central, however, the southwark underground station is only a block away. You could take a longer walk to fleet street or a short one to the Tate Modern, millenium bridge or St. Paul's. There's a few good places to eat/drink there too. This is a great value for a comfortable stay.	
Jul 3 2009 	Good value - basic clean roomy	I've used this Travelodge a few times. Although it appears at first sight to be tucked away in an obscure part of south London its actually very handy for lots of things. I always stay there on business and its only a 15-20 minute walk into the City, but it's also good for a range of the South Bank attractions, particularly the Tate Modern which is literally 5 minutes walk. There's a Tube station just along the road too (Southwark - Jubilee Line)It's a typical Travelodge. Good value, clean and tidy. Rooms are a good size and despite being next to a busy set of rail-tracks I've never been kept awake by trains. I've never worried about buying a breakfast there as there are all sorts of cafes and other eateries in the viscinity.	
Jun 30 2009 	Basic Hotel - You get what you pay for	We stayed in this hotel as we were going to a gig in Hyde Park and it is a bit of a journey to travel back home late at night so we decided to book here as it is convenient and only a walk away from where we work. When we went to book in we waited and I gave a smile to the receptionist but she just scowled at me, no please and thank yous at all, just extremely abrupt and rude. As we had turned up at 2pm and wanted to get into our room early she just barked at us that it was an extra £10 (which we knew) and she stood there sighing away. They really need to get their customer services up to scratch! Room was very basic and next to the railway line, but as others have said, double glazing was very good. Air conditioning was very good as it was such a hot day. Bathroom modern and clean and shower fantastic. If was to stay up London again I would definitely go back to Premier Inns as I find them much nicer and the staff much friendlier than this particular Travel Lodge.	
Jun 7 2009 	OK For a cheap clean bed but Premier Inn Southwark 100 times better	Booked this on a cheap deal as a cheap getaway with friends. Really glad we didnt pay alot as wasnt that impressed. Checked on the website prior to departure, re hairdryer, and said available at reception, what it didnt say was that there was only one, and you had to wait for it and then you had to drop it back within the hour. Reception staff were majorly lacking on the personality front, not what you would call person people - Not a great idea on the front line. Asked where the bar was and was told that it was closed and would only be open if Daniel came in, probably around 5pm, and if Daniel was not there then the bar wouldnt be open, so we didnt bother. Re our rooms, Luckily we wernt in our room at all and when we were, we just needed to sleep, bed and room clean so it was fine, but we booked two double rooms and both were tiny, and overlooking the main rail track, so very noisy, so if you book this hotel ask for one not overlooking the railway. Housekeeping knocked on our door at 8.30 am to clean the room on day of checkout, not that impressed as we kept saying no, have to come back later, she didnt have a clue what we were saying and just kept saying Housekeeping, and wanted to come in - Not good, especially on the morning after the night before, and when the staff dont understand a word of English - So frustrating. Have stayed at the Premier Inn in Southwark many times, and it knock spots of this hotel. If you have a choice of the two for the same price thenI would def pick the Premier Inn Southwark. If you just want a bed and nothing else as long as you get a really cheap deal, and stipulate whereabouts in the hotel you want to be you will be fine	
May 26 2009 	good value	good price.good staff.ideal location if youre in central london to get you everywhere.if youre a runner who wants to spend a night prior to your run,this hotel is ideal.will be close to the start of the race.nice and clean rooms.shops everywhere.only thing is,its opposite the pub and you know how people are when they have too much alcohol in their liver and brain.anyway,still this hotel is cheap if we disregard people who drink too much risking their health.	
May 22 2009 	Definitely can't complain	For £29 per night we definitely could not complain. 5 mins from London Waterloo and South Bank, 2 mins from Southwark underground station. Family room quite new, big, clean, usual Travelodge layout. Breakfast room (though we did not use it) seemed light and airy. Rooms surprisingly quiet given railway line and busy road (aircon, not possible to open windows, aircon rather noisy so we switched it off without any noticeable increase in heat). Small shop next door sold basics.	
May 17 2009 	No frills budget hotel - perfectly adequate for business trip.	Even though I live just 20 miles away, I had to attend an evening function in Central London and rather than risk the last train home I decided to stay here. It was fine for what it was - the room was basic but clean and spacious. The breakfast was ok (although you would get better and cheaper at a local cafe). The pillows were terrible, however, too big and not supportive enough. It's a no-frills hotel at a budget price in the middle of a really expensive city.	
May 11 2009 	Not the best - be warned they dont hold luggage and late check in/early check out only	we were told on the phone that we can pay £10 extra to check in early, when we arrived we were told we couldn't had to wait until a room becomes available. After speaking nicely to the chap at the desk we managed to get 1 room (so we can put out luggage in)Rooms are ok, as you would expect for a travel lodge, however the breakfast was not so good, they didn't have sausages, bacon left (at 09:00, breakfast finishes at 11:00) and the eggs were powder scrambled eggs.Prefer the travel lodge on covent gardens or the premier travel inn at the london eye.Even though our room was next to the railway line, we never heard the noise of the trains going by (good double glazing)There is an underground station near buy however, the weekend we were there it was shut, so had to walk to waterloo station!	
May 10 2009 	An awful stay for me despite the cheap price	I needed to stay in central London for a night, and saw the amazing £29 price at this hotel. I like my luxuries, but certainly for one night I was more than happy to stay in a functional modern room. Reading the reviews, I was quite certain that my stay would be acceptable. However, I had an awful night, and wished I'd forked out a bit more to stay elsewhere. The main problem was that my room STANK of old smoke, despite being a non-smoking room. The smell was of ingrained smoke, and didnt seem like it was just due to the last guest having a quick puff. It was awful. I aksed the receptionist if I could move, she was one of the most miserable people I have ever encountered, and simply said 'hotel full', or something to that extent. So I had to go back to my miserable room. The pillow was so uncomfortable that I actually had to put it on the floor and use some folded up clothes I had with me instead, which was infinitely more comfortable! The carpets were beginning to look a bit grimey, but to be fair the very basic bathroom was very clean. I believe all travelodges dont have soap, but unfortunately I didnt realise this before I arrived. How much would it cost them to put in a small bar of soap or dispenser? I found the hotel to be depressing, and very uncomfortable. I was only there for a few hours, but I barely slept due to the stink of the room and unfomfortable bed. It may be modern, but its new-ness (and therefore implication that it will be clean) may now be wearing off.I am usually very forgiving when the price is cheap, but I would never stay here again. Shme the staff were rude too, if they were remotely apologetic, maybe I'd have been more generous in my review.Location is good, but there are many other hotels in the area. Next time Ill try the local Holiday Inn express as I have another trip coming up soon.	
May 10 2009	Fabulous stay - perfect bargain break!	Really enjoyed our stay at this hotel, especially the bargain price of £165 for a family room for 3 nights at the Saver Rate! The room was quite spacious, everything was spotlessly clean and all still looks new. Location is excellent, very close to Southwark Tube Station and within walking distance of Millennium Bridge, St Paul's, the Globe, Tate Modern etc. Jubilee Line was closed during our stay but you can also walk to Waterloo within 10 minutes. Costcutter store across the road is cheaper than the shop next to the hotel, and all local amenities, cafes, restaurants are right on the doorstep. Beds were very comfortable, and even the third bed which our daughter slept in was fine. Our room was 228 - at the front of the hotel, overlooking the main road, but very quiet - we couldn't hear any trains. Maids did an excellent job and the Reception desk staff were friendly and helpful. Can't comment on the breakfast as we didn't eat there. The hotel is in a nice, area which felt safe even late at night and after 10 pm the outer door is locked and only accessible via your key card, as is the main door onto the hotel corridors. I would definitely recommend this hotel for location, cleanliness, and a comfy bed!	
May 7 2009 	Perfect location	Stayed one night over the bank holiday great deal £19 a night. Hotel, bedroom and bathroom very clean. No noise problems from trains forgot they were there. We had a young child with us, which they knew when we checked in, when we got to room found there was no bedding for the childs bed, so we had to trundle back down to reception to get towels and bedding, why couldn't they have given us the bedding when we checked in? save us going up and down loads of times. In the morning we thought we would try the breakfast £7.50 each, free for children. On the menu it looked great all named products e.g. Kelloggs cereals and muller yogurts. Plenty of choice with the cereals but the fridge only had one flavour of yogurt in it and if you didn't happen to like that one too bad, I asked them for a different flavour and was told there was none. Cooked breakfast was ok but they were slow to replenish stocks.Overall Hotel is excellent, ideal location but would give the breakfast a miss next time.	
May 6 2009 	Good T/L (for a change).	Although very close to the railway, the double glazing keeps noise down to a very slight murmer which should prove little trouble (I was in 212 which is eye level with the trains and no problems sleeping at night).Being very new everything works well well, and is still clean. Reception on first floor with lift up, and each floor has security locks on landing doors for access to the corridors to rooms.Whilst the tube is useful for many, of note is that buses 45 and 63 from Kings Cross to Elephant (and beyond) and 100 stop outside Southwark Tube Stn. as well. This makes this T/L very well connected and a possibility for an overnight before/after Eurostar for those travelling light (around 20/25 mins bus ride to KGX and a few minutes walk).As already mentioned plenty of Pubs/Restos locally, plus takeaways and at least 2 local convenience stores a few minutes walk along The Cut.	
