	love this place	Great hotel, staff lovely, great gym and food is cool. Not cheap.	
Sep 23 2009 	Fantastic Funky 5 Star	The hotel is a wonderful place to feel pampered and relaxed.. We stayed in an incredibly spacious double room (very spacious for London) with the most comfortable bed I have ever slept in. Attentive and reliable staff who ensured our early morning trip to Heathrow was taken care of perfectly.I stay regularly in 5 star hotels in both London and New York and rate this as one of the finest for a funky atmosphere without losing the attentiveness and luxury you expect of a 5 star. I will certainly be staying again,	
Sep 22 2009 	Good stay - too hip for the country girl?	I booked this hotel through Hotwire and was very pleased on arrival. The hotel was a short walk from Sherpherds Bush tube and located in a quiet residential street. Our room was located near the back of the hotel and when i say back, i mean a walk of at least 200 yards from reception (it certainly felt like it when carrying shopping bags). The room was very clean and spacious and had every ammenity we could need. At night the hotel seemed to turn into a trendy night club - which was a bit of a shock when we trudged back into the hotel wearing jogging bottoms and trainers after a hard day's sightseeing. However, the bouncers did let us in and we skulked through the bar area getting some odd looks.The staff were very nice and helpful and this was a great stay.	
Sep 20 2009 	Fantastic rooms and a lovely spa	The room was very spacious, with a very comfortable bed - chocolates were delicious. The spa treatrments were amazing,and very relaxing. The meal we had in the Kanteen and the room service were also delicious.Location is also excellent - right by Westfield and the tube station, and also good for the restuarants in Shepherds Bush.Aside from the bar, which was very lively the rest of the hotel was very quiet and peaceful -we has a great weekend and will definitely be back.	
Sep 17 2009 	NOT worth it!!	On booking this hotel i was looking for a luxury break with my partner and as it was described as the 'couture hotel of west london we thought it was going to be good,, how wrong could we be!! I have stayed in other hotels half the price of this and they were 10 times better,, checking is was fine no problem, the room very basic as it was explained as having a super king sized bed, yes it was big but basic duvets did nothing for it and lots of hairs in the bed, were the sheets even changed? the fixtures and fittings were warn in the room, there were finger prints and smears all over the dark wooded furniture, not cleaned! the bath had patches that needed fixing and there were clumps of long black hair all over the shower wall, not nice at all!! there were no bathrobes or slippers as stated, everything just seemed not bothere with, we payed 365.00 for 2 nights, plus £200 for a treatment each in the spa so this wasnt a cheap break, we expected so much more from this hotel,, everything is so OVER PRICED!! if i was you i wouldnt bother, dont waste your money!!	
Sep 2 2009	My favourite retreat in London	We spent 5 nights at the K West Hotel &amp; Spa in RIchmond Way recently. The Hotel was excellent in that is is very clean, friendly staff and excellent food. It is also in a great location for the Underground, The Westfield Shopping Centre, Pubs, Cinema all of which are only a three minute walk away.	
Sep 1 2009 	Didnt want to leave...	We had a great time, we have stayed once in the past and found it just as delightful but with &quot;Westfield&quot; shopping centre just across the road the stay was even better as all the Restaurants were on the doorstep, which was nice as after a day in the SPA we went for a lovely walk and a late dinner. The room was clean and spacious and the TV was all interactive and we could plug our ipods in and listen to our own music in the room. We had body treatments in the SPA which was divine a total pampering for me and my husband without the kids it was just what we needed....	
Aug 25 2009 	Lovely weekend at the K West!	Swift check in, and such polite assistance. Loved the lay out of the hotel, so clean and tidy. Key didn't work the first time I tried, and had to go down stairs to get a new one. Upon entrance to the room, finally, I loved the amount of space *Executive Double room*! Couldn't believe I'd got it for £90.00! Everything was spotless! Down side was when I left the room to go to the vending machine my key for it didn't work again, but then seeing the prices of your typical can of Coke going for £3.00 put me off anyway, went back to the room only to see the key didn't work. So had to go down to reception yet again for them to validate it. But apart from all of the key mess, the stay was enjoyable and very comfortable. We got a great deal with the movies which were all free for us and they were great blockbuster hits, all recent releases. Excellent location with Westfields just across the way, and the shopping centre with restaurants and a supermarket was just across the road. Perfect!	
Aug 17 2009	Rather disappointingly average	The staff were very lovely and clearly worked very hard here. I fee it's the hotel owners/management that have cut corners here. Firstly when my mum checked into her room, they had given her an unclean room, where the bed sheet were full of hair. The staff were great and changed her room quickly, however this shouldn't have happened. The second room she was given was lovely and much bigger, so that was good. My partner and booked me and him an executive double, which was big, but no frills I would say. There was only one set of products and very few products at that. Again the reception staff were excellent and got us more straight away. The tea caddy had a poor selection, especially for the price paid. I just feel the value for money was very very low. I am glad we didn't eat there, as there are superb restaurants around the corner. Including fab Moroccan bakeries on Shepherd's Bush Road. Great location and I would suggest getting the cheapest room here, as it really isn't work splashing out.	
Aug 16 2009 	Nice clean hotel in great location	I read about this hotel ages ago and never got round to staying there. I found a great deal online, so finally booked a night there for my Aunt and myself to stay after seeing U2 at Wembley.The hotel was a four or five minute walk from the tube, which was great. Westfield is a stones throw away, and there are plenty of nearby bars and restaurants. We didnt use the hotel bar etc as the price was very steep ( £12 for a miniature Jack Daniels and then £3 for a can of coke from the vending machine )For £129 for a night in a London hotel, I cant complain. The room was large and clean, the bathroom was lovely and the TV had a mix of channels ( which was great to relax to when we got back from the gig ). The staff were very friendly and even looked after our luggage after we had checked out so that we could go sightseeing in London. Would definitely stay there again.	
Aug 16 2009 	WE WERE VERY IMPRESSED WITH THE FRIENDLY 	* Wonderful location close to the tube, yet so quiet.* Easy access to west end theatres.* Extremely large &amp; comfortable beds in well designed rooms.* Rapid room service delivering delicious food quickly.* Informal lobby breakfast was popular.* Fascinating selection of guests speaking several languages.* Workout facilities are excellent.	
Aug 11 2009 	Happy to say actually quite good	I am a very fussy bloke and was nervous about staying here after bad reviews. Got two doubles for £85 a night each on net. Rooms were lovely - beds very comfy, magazines up to date, Aveda toiletries, great shower, nice towels, perfect. Not noisy either. Was in 221. Had friends in 123 and they said the same. Staff said hello as they walked past and friendly. Only criticism would be the surly desk staff and concierge - very stuck up and quite rude. They had no umbrellas when it was pouring down outside. They should have some to borrow given its London. Breakfast was great - continental but fresh fruit, muffins lovely, good selection of drinks and snacks. Yes its not help yourself but it actually makes it easier i reckon. Would deffo stay here again if could get a good rate. I'd say it was definately a good 4 star hotel. Can't work out where all the criticism is coming from. Maybe I just was lucky. Also great internet and free which was a real plus. Of course, bar and room service is horrifically expensive but its the same everywhere. Didn't use spa or gym but looked clean and nice and good spa menu. Maybe next time.	
Aug 8 2009 	Never again	I stayed two nights with my husband for his special birthday. We were staying in three different location hotels while this was our third one. We sure were not impressed with the service and the location area at all compared with the last two. There is nothing special about it with its SPA name. The hotel is located at very rundown neighbourhood when you walked out the underground station to it. The first impression to the lobby was &quot;It was not clean&quot;. The room itself was OK since we had booked the executive suit. The odd thing is you have to go one floor down with the lift instead of going UP. We were shocked with their contniental breakfast service the first morning since it was even like this busy filthy street &quot;to go&quot; style. No room clean up service for the first day until 4:30pm. We then had to skip it to get the clean towels by myself. Sorry, hubby.... I will not do it again.	
Aug 5 2009 	BEWARE ! DOUBLE DOESN'T MEAN DOUBLE.	We had booked a Junior Double Room for 3 nights.This, we had done by phone,so spoke to reservations. On checking in,we were informed that a junior double room room is not a double room for 2 people, but for single occupancy. They could find us a room for 2 people,but would be at much greater cost per night. As we were in London for business and had to start work immediatly, we had no choice but to pay extra. We were furious. No hotel anywhere else advertises doubles that mean single. WHAT A RIP-OFF.p.s. If you open the bottle of water in your bedroom, it will cost you £4.50.	
Aug 3 2009 	Very Trendy	This is a great hotel - I booked it with last.minute.com with theatre tickets so it worked out good value for money. I probably wouldn't stay in Sheperds Bush again - it's just a little too far out. I have no complaints other than we were very disappointed that the price didn't include use of the spa and we thought it did.	
Aug 1 2009 	Wonderful K-West!	We've stayed here twice, once on a shopping weekend and once with teenage children, for a theatre break. The staff are so friendly and helpful, and the rooms are large, very clean and beautiful. (The bathrooms are amazing!) There is even a dvd player in the room, as well as tea/coffee making facilities. Westfield is about a 5 minute walk away, and the tube station about half that, so very convenient for the Central line (and easy access to the West End). The spa is also excellent. I would definitely stay here again.	
Jul 31 2009 	fantastic	great service, amazing room, lively night bar, but quiet rooms.great experience!!!	
Jul 29 2009 	Fantastic Hotel Great Location!	We stayed here for a weekend away, arrived at the Hotel that looks great from the outside and was just as good inside, really good sized rooms and lovely bathroom, all mod cons in the room really liked how you could plug in your own Ipod so listen to your own music. Staff Very helpfull, A very good hotel, would recomend it and stay again!	
Jul 14 2009 	If you want to meet Rock Stars and like a lively bar this is your place	Went last year with my sister/ We picked this hotel after reading reviews of partying happening till 3 am. This had turned some of the reviewers off but it was just what we were looking for. The hotel looks live a worn down W hotel. Nice but definitely shabby. The staff is not the best either. Nor is breakfast, HOWEVER..The tube is a 5 min walk, and a lively interesting bunch stays and meets here. Definitely hip in it's own weird way. If you are into music, there are plenty of famous bands staying here. I would definitely go back if I wanted a spontaneous and lively trip. Love the snack machines in the halls which have things like : small bottle of vodka and crackers, or small bottle of champagne and biscuits as choices. Hilarious! All of this is expensive and we were glad we had brought some liquor with us :)	
Jul 13 2009 	service poor Even General manager is only Mon-fri 9-5 person	Stayed for 3 nights, stayed here years ago when this hotel first opened and service was no good then and not got any better. they only have valet parking at best part of £40 per 24hrs which is Ok but no one present and at to park my own car but still pay for valet parking, then had to carry all our luggage no trolleys at hotel and no luggage assistance, although he does watch you struggle, checked in at 3.10pm though checkin time was from 2pm room not ready when to restaurant to pass some time but this closes at 3pm so was told no food, once got room was OK, but on our floor peoples room service trays were outside room when we arrived on friday and still same trays outside same rooms with left over food on the monday morning which is disgusting. Bar area is no better ordered bottle of Laurent Perrier rose Champagne and after 3 efforts still did not get even though on there wine list, bar tender or her manager did not know what it was!ask to see the general manager 3 times over the weekend but seems she finished early on friday and was still not back in at 9am on Monday, only part time General Manager I know, all the staff are frightened to even contact her! must think the hotel is being run smoothly but beleive me this is not the case, in fact would probably say you would be better staying at a 3 star in town, you would certainly get better service and feel like the staff do care about there guest which is not the case at this hotel, we attended looking to use this hotel for our staff for 3 nights per week for 1 year but I would not even use it for that even though the position suited, would not be worth the hassle I would get from my staff! hope this gives you insight into our poor in our opinion this hotel is.	
Jul 8 2009 	Just Great!	This was just a superb place!!!! Very trendy, with rooms that were both spacious and luxurious. The bed was very comfortable and the rooms had all the necessary amenities. The bathroom had a bathtub/shower which is always a nice option. Was there for a short stay, so could not check the spa. However we ate at the restaurant for breakfast, and it was nice: funky stylish decor, friendly staff.Staff is international, well trained and efficient.The hotel location is superb too.The guests tend to be young and hip (with some celebrities while we were there), but nobody looked at us funny because we had 2 young ones.The price was right for the level of service offered, the amenities and the location.Highly recommend the place!!! We will definitely go back... So should you!!	
Jul 6 2009 	Good but not as good as it used to be	Revisited the KWest after fabulous stay in 2007 with a spa treatment package. The decor is beginning to look a little tired, departure queue far too long, room service prices have rocketed and not good value for money. Got woken up by noisy guests in early hours of the morning - not good. Although the Westfield shopping centre is nearby, not sure if it is longer worth that extra travelling time on the tube if you are spending time in the centre of London. Great for a spa break but perhaps not as a base.	
Jun 28 2009 	Highly Recommended!	This is a great hotel. The rooms are clean and very large. We got a room upgrade on check in, staff were really nice, and the free breakfast was great (and definitely worth it given the pound/dollar exchange rate). We didn't see too many other tourists staying there because of its location. It's not that far from Notting Hill and other nightlife spots so it wasn't a problem. Also, after stumbling through seas of tourists at other spots in the city it was refreshing to come back to a low key, laid back, and decidedly non-touristy hotel. It took about 45 minutes to an hour to get there on the tube from Heathrow but only cost around 2 pounds. Don't take the Heathrow Express to Paddington if you're staying here---it would be inconvenient and a waste of money.	
Jun 15 2009 	Kin Tired After K West	I used to stay at the K West fairly regulary and have stayed in the K West suites and all other standard exec rooms etc so know the hotel a little by now. I now favour the Zetter/Hoxton when in London as the K West is looking a little shabby in areas and not what it used to be like a few years ago. Bed in the exec superior room i had was very uncomfortable - oh how i yearned for the Sheraton sweetsleeper last night!Room starting to age now - when a hotel is advertised as luxury it has to stand up to intense scrutiny but it has to be said K West lets itself down now.In the shower there was no shelf to house soap or shampoo/conditioner which either had to be placed on shower floor or thrown back in sink? A little frustrating! Also no mini bar but a conveniently placed £4.50 bottle of mineral water!! The vending drink machine didnt work on my floor so not much choice really.Staff are great still and helpful but K West is let down overall by high prices and tatty rooms - there are better hotels and K West cannot trade on its position or funky DJ alone as this has no interest to me as a business traveller. Back to the Hoxton then for me - has free water and breakfast in price!!!	
Jun 10 2009 	Fantastic service great rooms friendly staff and central location	The room was spacious, clean and had everything we needed. The staff were really friendly and attentive.Breakfast was delicious, again with good choice and friendly staff. We were close to the largest shopping centre in Europe and really close to centre of London, so great week-end out.The spa was a great way to relax after a dayys shopping with fantastic massage and relaxation room, followed by a spa and jacuzzi.Highly recommend to anyone wanting a relaxing time in London.	
Jun 9 2009 	A hidden gem	I recenty stayed at KWest with my friend for a night away from it all. The location is great, close to Shepherds Bush and Olympia. It is still tucked away off the main roads which is great. From here you can choose Westfield Shopping Mall, Notting Hill Gate, High St Ken all within 20mins from the hotel.The hotel is very funky, clean . From the staff uniforms to the flower displays it is all quiet contemporary. There is a lot of young , viabriant clientelle and a fun bar to people watch. In the evening it transforms to a very hip and trendy bar with a live dj.The beds were so comfortable and the decor fits the mood of the hotel.Breakfast was great and an added bonus to have Starbucks coffee served in the lounge.We had one great experience and felt we had been away for longer . There is plenty to do in the area and if you want to chill out in the hotel, with the spa and other facilities that is no problem either.	
Jun 8 2009 	Boutique luxury and funky music	I took my boyfriend here for his birthday. The hotel is just over the road from Shepherd's Bush station, but hidden away enough on a tree-lined avenue to feel quiet and secluded. The exterior is smart, white and lit up at night. The decor inside is funky and colourful.The room itself makes you go 'aaaah' when you walk in. It's very stylish but is equipped with a large flat screen tv, playstation, dvd player and sky. There were chocolates and Aveda goodies waiting for us, and a MASSIVE bed. The room was fairly spacious (more so than the Waldorf) and has a 'living area' with a sofa and coffee table. The view is out onto some trees and a row of Victorian houses. I slept extremely well.The service was great and they brought us an ice bucket and champagne glasses, and plates and knives for the birthday cake at no extra cost. We went out for dinner but when we got back the bar was lively, with music playing.The next day we made use of the free spa facilites and spent an hour in the jacuzzi followed by steam room, sauna and a shower - the changing rooms have complimentary toiletries and even straighteners! It was all very well designed. We also made use of the free internet facilities. What a great birthday.The only drawback I would say is that, though the rooms themselves are good value, the breakfast is £17pp and drinks are also very expensive.In summary, a funky, stylish experience as befits a hotel often frequented by stars of the music scene, which we didn't want to leave!	
May 18 2009 	Very trendy hotel a really great place to stay will definitely be back	Hotel is in excellent location, only a 5 minute walk from Shepherds Bush (central Line), and the New Westfield Shopping centre, arrived late evening and received a very warm welcome. Our room was great very trendy, we had a room with a sofa bed for our 2 children which was more than adequate, after all we were only going to be sleeping there.Did not eat dinner in restaurant, but we had breakfast which was lovely, staff were very friendly.Will definitely be back, maybe with friends this time experience some shopping and the busy bar in the evening. BRISTOL	
May 18 2009 	Nice hotel but terrible service and charged me twice for one room	Shame, my friend recommended this hotel to me.Was expecting a lot more to be honest. Yes, it's contempary, and yes it's modern, but the room was nothing like the website picture made it look. Room was trendy, but very small, I felt a bit claustrophic. We did not pick the cheapest rooms, so they must be even smaller. We asked for a quiet room, it was silent, but 3 corridors away from the lifts, which wouldn't suit some people.They wanted £130 for parking in their car park for the weekend and were very rude when my husband said no way was he paying that. It took the general manager to come and say there is a NCP over the road for £30 for the weekend. It's about the principle of not being ripped off. The vending machine prices were scandelous. Bar prices average for London, a Bellini Luxe and a diet coke for £13. Very nice bar area.One lovely girl at reception, and other rude staff who barely spoke English.One major problem, they have charged me for the room twice. I have been on the phone sorting this out with my credit card company. We paid cash yet they have charged the card that we gave for security reasons. You have to have a credit card for them to open your tab, whether you want one or not. Very very annoying as we always pay cash, and very annoying that I have been charged twice and I now need to sort this out myself.Looks very scruffy from the outside, not luxury at all, and in a rough area. A real mixed bag. Trendy clean hotel, with terrible service, no atmosphere, in a rough area miles from where you probably want to be. For same price you can get much better.	
May 16 2009 	Cool hip modern hotel - fantastic stay!	We stayed at the K west for one night with our 2 young children. The suite we stayed in was amazing - smart, spotless with lots of space and a bathroom with a gorgeous free-standing bath and huge shower. The kids loved it too! It was nice to stay somewhere that wasn't stuffy or old-fashioned and we will definitely be back again. Perfect location for shopping at Westfield and a short drive from the Natural History Museum for the kids. We loved the bar and restaurant too and just wished we could have stayed longer.	
May 15 2009 	Lovely stay Lovely staff Liked Location	My husband &amp; I won a 3 day trip to London to see Bob Dylan in concert (lucky us!) The hotel was the K West and we enjoyed our stay very much. We only had a week to prepare for the trip, and I sent (many) emails to K West with questions and concerns, They met them all with good grace and helpful answers. We were arriving very late and leaving very early 3 days later and the hotel arranged a cab both ways, at less than the very high prices London cabs are known for. It was wonderful to step off the plane and have our driver waiting for us.I had asked our room to be changed to a smoking room which was done- I had expected a not-quite-as-nice room, as sometimes happens with smoking rooms but we had a beautiful junior suite. I noticed instantly when we got in that it had no smoke odor, which also sometimes happens (its expected) with smoking rooms.Our room was elegant, modern and spotlessly clean. The bed was very firm, with lovely fluffy down comforters. We slept very well. The bathroom was sparkling, and the water hot &amp; plentiful- I enjoyed the long length of the tub, I'm usually cramped (long legs!) There was plenty of storage space, not too many hangers, but we called for more which were promptly brought to us. The room safe and fridge worked fine for us- no problems. This may be a small thing, but the rug in our room was a nubbly weave and it felt great on bare feet after walking around London all day! ;) We didn't have the best view but did wake each morning to the sounds of birds singing in the trees outside- surely better than traffic!Since we were only in London for two full days, we spent most of our trip away from the hotel. We did not have a chance to eat in the restaurant, but we did order some appetizers from room service. they were good, and brought very quickly. We also did not try the bar, but it was usually hopping when we came in late at night, with lots of interesting looking people hanging out- its located right across from the lobby so there's no noise to bother you in your room. In fact, we heard only the occasional door close from our room, we were never disturbed by other guests.Unfortunately, we never got a chance to try the spa either, but the spa 'menu' looked wonderful. There was also a selection of magazines in our room, which I thought was a nice touch.The Location was great- very near the Shepherd's Bush Tube Station, down a couple of short, quaint streets &amp; up a short flight of stairs. We went ALL over London, using both the buses and tube, and this was a convenient area to be in- I liked not being too near to London City center- this felt removed, and more relaxed. There's a 24 hour Londi's right across from the station- great for cheap drinks, snacks &amp; other fun, British foodstuffs- try Twiglets &amp; Sugar Skulls!There was a small problem when we checked out (NOT the Hotel's fault, the co that gave us the trip) and even tho it was 4:30 AM on Monday morning ( I told you we were leaving early!) the night Clerk, Sadiki, was kind &amp; as helpful as he could be, in trying to solve our problem. Along with Gisele, in Customer relations, who answered so many of those emails, every staff member we came across was polite, and friendly. The young man who came to our room to fix a 'problem' with our coffee maker did not even make fun of me when the 'problem' turned out to be ME, not flipping the switch!We really enjoyed our stay at K west and felt quite pampered. London was amazing and if we are lucky enough to return, we'll be making K West our 'home'!	
May 14 2009 	Chic stylish and very comfortable.	I stay in London regularly and the K West is my favourite. It is certainly way better than anything else in West London. Spotlessly clean. Ultra chic decor. Spacious rooms with terrific showers. Large flat screen T.V.s with internet access. Staff very friendly and helpful. lively bar at night attracting a cool clientele. Five minute walk from Shepherd's Bush underground and the new Westfield Shopping centre. Overnight parking can be expensive but I suppose prices are in line with others- and at least there is a car park.!	
May 12 2009 	It's modern clean comfortable with friendly helpful staff.	The location was ideal for visiting family in the area and for shopping at the superb Westfield Centre! The room was large, airy and comfortable with everything we could possibly have needed for two nights' stay.The staff were very welcoming and helpful.We didn't eat at the hotel so cannot comment on food and service.	
May 9 2009	Lovely hotel with very friendly staff.	We stayed here on Thursaday 7th May as we were going to see Taylor Swift at the Empire.After reading some of the reviews on here I was very dubious about this hotel, but as it was the closest to the venue and we would be walking back I decided to book.We chose the Spring offer and got a deluxe room with a full breakfast and use of the Spa for £125.When we arrived we were greeted by a lovely receptionist who checked us in quickly and efficently, the room was beautiful, clean bathroom with a powerful shower, on the top floor and facing away from the road. The TV remotes wouldn't work but a quick call to reception and it was sorted within minutes.On leaving to go to the concert, again the receptionists were very pleasent and wished us good evening.As it was just me and my 13 year old daughter, we didn't use the bar but were not disturbed in any way by noise from there.Breakfast in the morning was lovely, freshly cooked and again very friendly staff who really couldn't do enough.Checking out, again quickly and efficently done by a lovely receptionist called Anna, who gave us a short cut to the Westfield shopping center.All in all a lovely hotel, clean with friendly staff, somewhere I would definately book again.	
May 6 2009 	Nice hotel - nothing special	From the hotel website, I was expecting something a little more swish, so was a little dissapointed when I opened my hotel room door - just average really.Clean, near to Shepherds Bush underground, expensive parking.Did not eat in the restaurant - so did not sample food and cannot comment.Did not try out any of the spa either.If your looking for somewhere relatively cheap to stay - just to park your head - then it's ok.	
Apr 30 2009 	Plenty of better hotels in London	Problem with booking took 10 minutes to check in. Front desk staff were not bothered (noticed another guest ask if there was a roman catholic church nearby to which the front desk staffer said he didn't really know?)Reception is fairly nicely designed.Room was at the very very end of a massive corridor - booooo. Got to room, stank of smoke, how come no body mentioned this? or asked if i'd like a no smoking room?Decor-wise it's fairly decent i suppose.Small bed. Tiny room.Bottle of water beside the bet - that costs £4.95 to drink. Really naff thing to do. Went down to spa which costs £10 for hotel guests to use. No movable shower head in bathroom (pet hate / requirement) TV in room didn't work.Upon checkout I realise VAT was not included in the price. huh is that legal?Also although my travel agent had supposedly paid for the room, i also had to pay. Plenty of decent hotels in London, give this one a wide berth.	
