	excellent	very attentive staff and lovely hotel. upgraded to a suite which was very luxurious. breakfast great with a good choice of hot &amp; cold.	
Nov 7 2009 	Simply the best!	A pleasure to stay here. Super location, extremley efficient and friendly staff. Atmosphere with lots of vitality, very clean &amp; comfortable. Its now my choice of hotel in London and I visit three or four times a month! Reception team are the best I have seen! and did not mean it to rhyme!!!!	
Nov 4 2009 	Great location stylish modern decor	Fantastically placed for the West End without being right in it. Stayed here and went to the Colliseum (English National Opera, straight down the road; also very handy for the Royal Opera House in Covent Garden). Friendly professional staff, well decorated rooms (not the biggest, but it's central London). Also check out the Lebanese restaurant, right over the road and open until late.	
Nov 2 2009 	Fantastic hotel!	We stayed at the Raddison to watch a show and take in a meal at Covent garden.The hotel is modern with fantastic rooms, all have flat screen tv's with connectivity, and the bathrooms are fantastic with walk in showers with modern tiling and accesories.The staff are friendly, particularly the Concierge for who nothing is too much trouble.I would reccomend a stay as the central location is great for theatreland, Covent Garden etc...highly reccomended.	
Nov 2 2009 	A 5 star hotel with 4 star prices!!!	We have been fortunate enough to stay in some excellent hotels around the world including The Wynn (Las Vegas), The Ritz Carlton South Beach (Miami) and can easily say that the Radisson Bloomsbury is equal to if not better than these hotels with respect to its customer service. The level of this service is second to none the staff are both polite and courteous and will do all they can to accommodate your needs. We had the pleasure of meeting Kumar who is the Guest Relations Manager at the hotel and is a credit to the Radisson Edwardian family. The hotel itself is beautiful and the restaurant is extremely comfortable with an excellent menu. London is very competitive when it comes to hotels and restaurants but I highly recommend not only staying in this hotel but dining in the restaurant. This is the only place we’ll be staying for our next and future visits.Thanks once again for all your help Kumar it was a great couple of days made all the better by the hotel and your outstanding service.	
Nov 2 2009 	The hotel surpassed expectations which made for a perfect stay	Although we only stayed there one night, the service, quality of the surroundings and general feel of the whole hotel helped make the stay very special	
Nov 1 2009 	Well located nice rooms boutique feel.	Well located, two blocks from British Museum. Walking distance from Tottenham Court Tube station. Close to many West End theatres. Clean, boutiquey feel. Rooms seem bigger than your average London hotel. Just beware if you are sensitive to perfume as they use quite a bit of aromatherapy in the lobby.Be careful with the WiFi - it is free, so DON'T plug into the hardline in the room - that one costs money.	
Nov 1 2009 	Total commitment to customer care	A fine hotel styled with luxurious and elegant furnishings in all areas. Although the first room we were shown to was a bit small we were quickly given another one and a plausible explanation for the problem. The service was excellent and courteous. Also very convenient as well - 10 minutes from Covent Garden / Embankment and across the road from the British Museum.	
Oct 28 2009 	Excellent Hotel	I stayed at the hotel for my son's 13th birthday treat and have to say I was impressed !Check in was a smooth process and the reception staff were paticularly helpful - even noting that it was my son's birthday. Although we knew the hotel was central we didn't realise it was so central ..... only 3 minutes brisk walk to Oxford Street, Covent Garden and 10 minutes walk to Carnaby street. Tube close by - choice from Holborn or Tottenham Court Road. We had a deluxe room which was large and spacious, tastefully decorated and had the 'Radisson' smell which I love. Breakfast had a great selection and the staff once again were paticularly helpful. Overall great stay at a reasonable price - would definately recommend it.	
Oct 27 2009 	Excellent Hotel Great Location	We were in London for a sporting event and were seeking a good hotel in an excellent location. After much searching we settled on the Radisson Bloomsbury and upon arrival it was clear that we had made an excellent choice. Rooms were tastefully decorated and the staff at the hotel were helpful and courteous. The hotel is located close to numerous, pubs, restaurants and entertainment. The hotel is located in an area with good access to public transport and is within easy walking distance a number of shopping districts. We thorough enjoyed our stay and it will be our hotel of choice during our next trip to London.	
Oct 26 2009 	Excellent Hotel	It's difficult to find a good Hotel in London which is excellent value for money but this hotel is it. The rooms are nice, clean and modern. The hotel is very receptive to suggestions for improvement to their services. I had a problem with the person who checked me in on my first visit so I alerted the hotel to this and they fixed the problem. I have stayed twice now and will return. The location is fabulous. The concierges could not be better.	
Oct 26 2009 	Perfect luxury	Staff friendly and efficient, great service and happy faces everywhere. First floor king deluxe room was as described - luxurious and very clean. Free newspaper for the morning will be slipped under your door so make sure you pick from the choice of Telegraph or Times. There will be magazines in your room too. You need the card key to use the lifts and access each floor if using the stairs so security is tight. My friends stayed in similar rooms on third floor and fourth - all just as lovely. We did book 'twins' but were given king size beds which we didn't mind as they were huge. Not even sure if they do twin beds so check this if it matters to you. Overlooked main road but not noisy at all - just the odd siren which you have to expect in a city (and I'm a light sleeper!). Watch the 'London channel' on the tv if you're not a local - very interesting. Ideal location for theatre, shops and mooching around the main tourist places. Best of all was the everything! Can't fault anything. We arrived early at midday and were able to check in even though it says 2pm check in. We parked in the NCP carpark on Great Russell Street - £31 per day - car park was really empty! Very short walk to the hotel. On the day we checked out, the Staff were happy to store our luggage (in a unused locked conference room) until much later that day when we were ready to leave London. Decor very simple - purples and dark marble flooring with wonderful pieces of art and sculptures giving an elegant feel to the hotel. Very thick bouncy carpet along the corridors mean you do not hear anyone around you. We did not have breakfast so cannot comment on the food but we stayed for afternoon tea / coffee before leaving London and relaxed in the bar area and were treated very well. Would definitely consider booking this hotel the next time we visit London.	
Oct 22 2009 	brill	We visited this hotel on the 17th till the 19th of october, Very nice hotel the location was perfect, as in the theater district, and close, to most attractions,I found the hotel staff very helpful and polite, I would recommend this hotel to anybody, ps the food was good too	
Oct 22 2009 	Beautifully appointed hotel in very handy location	I stayed at this hotel for one night on 20th Oct 2009, Room 4009. I booked through my company and the B&amp;B rate was £112 inclusive. The hotel appears to have been recently refurbished and although the hotel is possibly early 20th century the decor is very modern and minimalist in style.It is clean, smart and everything is new. The bedding is new, the bathrooms are new and it's all beautifully clean and sweet-smelling.The breakfast was lovely, they even had fresh strawberries and raspberries on the breakfast buffet. While I was staying at the hotel I went to see Thriller Live at the Lyric Theatre (the evening showing). I was able to walk there in 10 mins (no need for a taxi) and I also walked back alone after the show. There are plenty of people around and the area feels very safe.I would thoroughly recommend this hotel - it was a joy to stay there! I can't think of anything to fault about it. However I didn't eat in the restaurant in the evening or use the bar so can't comment on those aspects.	
Oct 21 2009 	Excellent hotel	We stayed here in October 2009. We were met outside the hotel and our luggage was taken to our room. Check in was smooth and our room was clean and modern and the bed very comfortable. The hotel staff were very helpful and efficient. However, the bar is very expensive, we had 4 drinks which cost £30.00. The hotel location is perfect for Oxford Street and all of the major attractions. Would definitely recommend and stay here again.	
Oct 20 2009 	Bit of a gem for Central London	I have got so tired of staying in poor London accommodation and now use the Crowne Plaza, Ealing as my base for business trips to London. Yesterday (Monday) however I had to stay in London and was anticipating an uninspiring stay at the Radisson. I walked into a nice reception but was all the time thinking &quot;yes wait until I get out of the lift and the corridors will be shabby – a usual trick.&quot; To my surprise the corridors looked smart as I made my way out of the lifts to room 6006 - still thinking the room itself was going to be the let down. To my delight I walked into a well furnished room with modern fixtures and fittings - over the moon. The best bit was the peace and quiet. No discernible traffic noise – amazing and a good night sleep. The morning breakfast did not disappoint. A good selection of food with pleasant staff. Thank you Radisson for restoring my faith in Central London accommodation. The only catch here was that I was upgraded. I am willing to take a chance to see if my visit next week bags me the same standard of accommodation. Fingers crossed.	
Oct 20 2009 	Perfect	This must be the perfect hotel room for that price . The Interior design is stunning , people very nice . The room size , bed , bath is for this price so central in London a great find.....	
Oct 16 2009 	Sophisticated elegant hotel in very central location	I stayed here in Sept 09 when I visited London on a business trip. The hotel was fantastic - really upmarket looking and sophisticated. The staff very exceptionally friendly and professional - nothing was a bother for them. I got an upgrade to a kingsize room - loved the furnishings and the bathroom/ shower.Breakfast offered a huge selection, again the staff could not have been more helpful. The decor of the hotel (all areas) was modern but with a warm elegance. The hotel was a few minutes from Tottenham Court Rd tube station which meant travelling about London was really easy.I wish I could have stayed longer - maybe next time! I would recommend this hotel to anyone who appreciates receiving friendly, professional service and a luxurious bathroom!!	
Oct 15 2009 	Recommended for business or holidays	I have been 5-6 times in this hotel during the last year, the hotel quality is very good but they still have to improve the cleaning, this is my main concern.The hotel is moderm and the staff very friendly, recomended for business or holidays.	
Oct 14 2009 	Never again. Better choices abound in this part of London.	The hotel was overpriced, the room so small we cold barely move around let alone open our luggage. The drain overflowed when you took a shower so the bathroom flooded out into the room. The whole hotel is scented with something that smells like overpowering perfume and the front desk staff are condescending.Only good part was free high speed internet and business centre use.	
Oct 14 2009 	Big disappointment	As a frequent, worldwide traveller, I have seldom been more disappointed. Client service - both in person and in amenities - was well below par, from the employee who let the hotel door slam in front of my sister as she was struggling with two big suitcases, to the lack of signage to help the customer know where to find anything, to the cash-grabby attitude to customer service (late checkout? that'll be 20 pounds an hour please!), and to the slimy concierge who insisted that we use &quot;his&quot; taxi to get to Paddington, when there were tons available on the street. The room was terrible for the money we paid (about C$400): small and cramped (no room to lie down the suitcases even), overly hot, a non-functioning fridge, tv with the fewest possible channels, and - the worst - the teeny shower which flooded the bathroom (amazingly, it seemed designed to cascade out onto the main floor!). But don't confuse the Radisson Bloomsbury STREET Hotel with the Bloomsbury Hotel (around the corner): the latter is lovely and I thoroughly regretted trying something new this time. Radisson should learn that investing in a swanky lobby does not make up for a total lack of concern for the client themselves.	
Oct 13 2009 	delightfull	It is the best stay I've had in a London' hotel. A great hotel. A great service. The staff is so professionnal. the decoration is stylish, It is beautifu placel. The hotel is very well situated too. they made my stay. thank you again. I should recommand it to any one.	
Oct 12 2009 	Lovely hotel in a great location apart from a few faults	I have just come back from staying a weekend at this hotel and was very suprised at how close it is to Tottenham Court Road station. Literally a 3 min walk from a station which has great access to other areas i.e. leiscester square. And easily walkable to oxford street's great shops. Dont bother walking from Holborn.We arrived at the hotel around 9pm and prior to arrival I emailed the hotel to give my requests i.e. high floor. As soon as we walked in we were greeted by a lovely receptionist who completed check-in. This hotel is very very modern, funky, and boutique i.e. black floor, velvet walls however there was quite large music around the reception area and both if us could hear what each other was saying.The receptionist explained that we had to put the keycard in the lift before pressing the floor button but people still seemed to get confused about this coming back to reception to say the lift didnt work! On entering our floor the hallways are just amazing, big sculptures and plush carpets. Even better when we got to our superior room (6020) which although cosy, was filled with a few special touches i.e. round glass table, big flatscreen tv, and velvet bed throw and extra pillows. They have done a good job. If you like a good bathroom then come here... rainforest shower head, gilchrest &amp; soames bath products, hand wash &amp; body lotion. Best of all the bathroom is huge!!!Breakfast was included with the package and it really was good. There was a menu where you could have anything cooked up for you, some free, and some chargeable like smoked haddock or kipper (£2). Still good value. If you like your fruit then they offer fresh strawberrys, raspberrys as well as melon, orange, and pineapple. Cooked breakfast was great with 2 types of bacon, sausages, eggs and lots more. Hardly ever had to wait and got seated straight away both days. However we did notice that once my parter drank a yakult that it was a week out of date! He informed Robin the restaurant supervisor and he apologised and offered us a free drink in the bar, which was quite generous. Once we left for the day we forgot to put our 'clean room' button on, but I though that all the hotels I have been to they would clean the room anyway.. wrong, we returned at 4pm to find the room hadnt been cleaned, but once we went out and put the light on, we came back to find it had all been done. Great service considering most housekeeping go home at 2pm.My only major gripe was that our safe didnt work in the room for the entire trip. Initially I phoned reception who could barely hear me due to the music as mentioned before but she came up straight away and said that maintanence had gone home and will be in the next day. Came back to our room the next evening to find nothing had been done. This was very frustrating as we had to take our valuable out with us and just did not 100% trust the reception safe.Overall the hotel interior is top notch, location.. one of the best around. We were obviously unlucky with the safe issue but it really is a good 5* hotel and not to snobby!	
Oct 11 2009 	fantastic	we really loved it here the staff were so friendly and helpful to, the room was spotless and so comfortable to, can not fault this place at all had a great weekend we also read tripadvisor and its so true this place is beauifull cant wait to go back to london and stay here again thanks from mr and mrs tucker portsmouth	
Oct 8 2009 	Lovely place in the city but you don't know it.	From the courtyard entry to the over the top greeting you feel welcome and pampered. Once inside check in was fast. The room we had was large and so was the bathroom unlike most hotel rooms we have stayed in Europe. Convenient to the tube. Great restaurants within walking distance. I hope we can get back to London again soon. We would stay here again!	
Oct 7 2009 	Elegant and sophisticated but a bit too fragrant...	We spent five really happy days at this classy and well situated hotel. Everything from the staff to the bedding was perfect - clean, comfortable and relaxing...except.... for the very strong air freshener scent in the lobby reception area. I am not one of those scent sensitive people by any means, but I found the floral perfumey odour in the main reception area really, really over powering. Other than that, absolutely no complaints! Our twin room looked out over the front of the hotel but it was very quiet - lovely street view and leafy green trees. The staff were super helpful and didn't have a problem when we asked for the mini bar to be emptied so we could put our own food in the fridge (even though it was probably a bit of a hassle for them). Would definitely stay here again!	
Oct 7 2009 	Beautiful hotel with a lovely ambience	This hotel gives very welcoming and courteous service. Our room was a spacious one on the 6th floor. The location is exellent, with Covent Garden and Soho approximately 5 minutes walk away. Tottenham Court Road tube station is also very nearby.This is a very nice hotel that I am looking forward to return to.	
Oct 6 2009 	Nice hotel- but not good service	Booked this hotel in August for and October weekend. Seems nice since the refit but had we the following problems:1. checkin took over 30 minutes as the could not find the booking. had a printout and confirmation on my iphone but still had to wait 30minutes and made to sit on the &quot;naughty step&quot; Eventually got to the room (even though they hadnt found details) and they rang the following day to say they had &quot;found the details&quot;2. House keeping were knocking at the door at 8.30 am on a saturday- we said we would be gone in 10minutes but when we came back at 15.30 the room handt been touched. I put the do not disturb sign up so I could have a rest before going out again- but as soon as I fell asleep- housekeeping telephoned to ask why I had got the &quot;do not disturb&quot; on the door and when could they service the room! 3. the keys only worked some of the time. If you have ever waited ages for the lift, walked down corridors with bags- only for the key not to work- you will know how annoying this can be.....4. breakfast! The restaurant is not big enough.. Sunday morning we were in a que with 40 other people waiting for a seat- my adivce would be don't bother- find somewhere else for breakfast if you have to stop here.in summary the hotel is nice and rooms good- although ive had a much better expericnce in a premier inn at a LOT less money. Shame.	
Oct 5 2009 	A wonderful experience in London	We recently stayed at the Raddisson Edwardian hotel on Bloomsbury Street. We found the hortel itself very modern, hip and clean. The staff all friendly and willing to make our stay a most enjoyable one.We felt comfortable that you needed your key to operate the elevator and felt that was a very good security function. The room was quite large and beautifully appointed. The bath very modern, and beatiful with all the ammenities one would need including a heated towel rack and separate LARGE shower.The bedroom was in soothely stylish decor and colors. A delightful room., The bed comfortable and room service proved quick and efficient as well.Our only two minor concerns which we did verse with the management upon leaving were two small annoyances. 1/ The refuse pail was large and useful, however they place a plastic bag less than one third its size within it. Obviously the first pieces of trash you throw into it,, the plastic bag falls to the floor of the pale and is now rendered useless and annoying as you must constanrtly bend down to open it and try tro fit tre gardage into it. A quick fix and no anxiety for the guest- A proper size Plastic bag (SOlVED) the only minor other problem was teh lighting. There are ample ceiling lights throughout the room, on a dimmer, so all the lights on high work great, or dimmed low for moos wonderful, however I you want to sit at the chairs b y the table an read,, you must keep the lights up high,and it makes it impossible for someone else in teh room to simply take a nap. The addition of a lamp on that table for not too much money would solve teh problem easily.Lastly- the placement of the hotel is WONDERFUL. A stroll to Soho and the restaurants and theartres. Its greatly situation, around the corner from the British Museum.Everyone who stays there will enjoy their trip.	
Oct 4 2009 	Classy friendly stylish and all in an excellent location!	My boyfriend and I stayed here for my 40th birthday weekend and with the number of hotels in London, it was hard to make a decision on which one to choose. I'm so pleased that we decided to go with the Radisson Bloomsbury Street; it exceeded my expectations in all areas - and I would have been absolutely gutted to have chosen badly on such a special occasion. Every single member of staff was professional, friendly and courteous and Ona (who cleaned our room) really went the extra mile for me once she learned it was my birthday; she really helped to make it special.	
Oct 4 2009 	A superb hotel in a wonderfully central location	Having stayed at this hotel for a number of years, we are still delighted with all aspects, especially the service and friendliness of the staff. Just a few hundred metres from the British Museum and many theatres, it is a perfect location for short breaks.	
Oct 2 2009 	Lovely clean friendly welcoming hotel	Ideal for Oxford Street shopping and a very short walk to Tottenham Court Road tube so ideal for short tube rides to main London Attractions. This was our second stay at this hotel. We last stayed at Christmas and had a wonderful time in the beautifully decorated surroundings. Lovely staff, excellent food, relaxing stay! Will definitely stay here again when we next visit London.	
Oct 2 2009 	Elegant comfortable stay	Rooms were large, clean and comfortable. Room service was excellant.Bar in the evening was delightful for a late night drink.	
Sep 25 2009 	Excellent Hotel with fantastic staff!	We stayed for only one night at the Radisson and the staff were wonderful and the hotel was lovely. The room we had overlooked onot the back which was a little nosy as it backed onto a residential apartment block - however, this did not spoil our break in any way! We would definately return. The hotel staff couldnt do enough for us - very attentative and willing to help ALWAYS. Excellent place to stay would highly recommend! (Excellent location! Only round the corner from Convent Garden and if you're a stage lover then youre right down the road from ALL the shows! It was fab!!)	
Sep 21 2009 	Would Stay Again	Good location for central london, service was very good, not the cheepest hotel in London but with 4* rating you get what you pay for. If I had to find any fault the only one is at Breakfast time the resturant got quite busy but we were warned of this by a sign by the lift and avoided those times	
Sep 18 2009 	Modern comfortable and great staff	I have been in this hotel many times for several years now (it was called Radisson Marlborough before). They have done major renovations in the hotel (entrance, restaurant, rooms) and the result is superb. I liked it before but currently, in my opinion, it is one of the best hotels in London (and the location is wonderful!). It really has a modern style but it is very comfortable and it has a familiar atmosphere. The staff is great (especially at the restaurant) and, in the very few occasions that I had to report a problem, they have dealt with it quickly.	
Sep 17 2009 	Modern hotel in great location but rooms are small.	We stayed for 3 nights at this hotel and were very pleased overall. We were able to get into our room a few hours early (we requested early check-in) and were also upgraded to a &quot;deluxe&quot; room upon arrival. The hotel and rooms are very modern and clean. Our room, despite being a &quot;deluxe&quot;, was very small, with the king-sized bed taking up most of the room. There was a small desk and chair that took up more room. However, the room amenities were very nice, there was sufficient clothing storage, and the bed was very comfortable. The only issue we had was storing our two big suitcases without taking up more space.The bathroom was quite roomy and modern with nice amenities. The only issue we had with the bathroom was flooding the floor every time we took a shower, due to the half-sized shower door.The location of the hotel is excellent, with the Tottenham Court Tube station about a 5 min. walk away. The British Mueum is across the street, and you are also about 10 minutes walk from Charlotte Street, where there are many restaurants and pubs.The hotel management is very responsive to any issues, as I received a personal email after doing an online survey, which addressed some of the points made in my review.	
Sep 15 2009 	Over-rated - good location but room tiny and breakfast bad.	We travel to London regularly and have stayed in many 4* hotels in the City. Our favourite is the Marylebone Hotel (Jurys Clifton Ford) and after our recent stay at the Radisson Bloomsbury st. that does not change.The Radisson hotel has some very positive points - in particular the location. Very close to Tottenham Court Road Tube Station and within walking distance of Covent Garden, Soho, Oxford Street. It is 15 seconds walk from the British Museum. The staff are exceptionally friendly and helpful and I would put them top of the list for this. This is especially the case for the reception and concierge staff. Well Done. Staff in the breakfast room were the complete opposite though. Thats another story. First time I've even been shouted at in a restaurant. I asked for butter - none came with the cold toast - and was walking back to my table when I heard the girl shout an Oi Mate at me and handed me a small dish of butter. So much for table service and manners!!! The rooms: TINY TINY TINY - even compared to other similar London hotels. I know we had a good deal through superbreak that included breakfast, but it was only 15stg of a saving and that does not permit putting a 6ft 2 person into a room where the roof was almost hitting his head and legs off the end of the tiny double bed. Ok - they did change us when I explained the situation. Was told it was an upgrade. What a load of rubbish.... if it was an upgrade I would have been so angry to have paid more for it. Almost no room to walk around the bed. Obviously close to a bar/nightclub playing techno music until 1.30am. When I lied down in bed I could see the ripples in my bedside water glass from the thumping music. I would say it was one of the most noise afflicted hotels I have stayed in. Doors banging all night, front of house powerhosing at 5.30am followed by room above having bath at 6am. They might as well have been in the room with us. The noise insulation is bad. Room was very dark. Bathroom was large, with heated towel rain and lovely fluffy towels. However, the flood that was on the slippy floor when we had a shower meant that we had to use one of the bath towels to mop up the leakage from the inadequate shower screen. I slipped getting out of the bath but managed to right myself. I mentioned this to the check-out staff but was just told it would be looked into and sorry about that. Breakfast was just OK. Typical english breakfast and some fruit, cereal and youghurt available. Q was massive and the room was full to capacity. Tables all on top of each other and only 3 staff visible. One of which was the rude butter girl. Orange juice was like acid. I know this review sounds bad and I guess it wasnt the worst experience ever - but it was just for one night and when converted to Euro it cost 200 euro. Not worth it at all. The staff and location were top notch but the room and breakfast general darkness of the place made it a bad experience.	
Sep 15 2009 	Great Bed and central location	We chose the hotel because it is more wheelchair accessible than the other hotels we researched in London. We were travelling with my father and mother and wheelchair accessibility was a major concern. Their room was great and our room was right across the hall.The king sized bed was comfortable and the room was large enough so that the bed did not swallow the room. The decoration was more boutique than large chain. We had ample storage for our clothes and the bathroom was so large we left our suitcases in the bathroom with more than enough room for two adults. We could see the grounds for the British museum from the entrance to the hotel. The front desk staff were sensitive and attentive to any request that we had. The &quot; English &quot; breakfast was worth every pound and our family of non-breakfast eaters started off everyday having breakfast in the lobby.This area was close enough for us to walk (push) to Covent Gardens, SOHO and even the Tate Modern. This location was central to all of the train statinos that we needed for our side trips. We usually stay in boutique / small hotels but we did not feel lost in this hotel thanks to the recent renovation and staff attentiveness.	
Sep 10 2009 	Another endorsement for this lovely hotel	Stayed for a 2 night leisure break after finding a great &quot;Friday night free&quot; deal on the hotel web site. The recently renovated rooms and public areas are tasteful and modern with touches of luxury throughout and the courteous staff thoroughly deserve all their positive reviews. The buffet breakfast was not included in our rate so we paid for the continental breakfast and were very satisfied with the range of cereals/fruit/pastries/cold meats served in the chic restaurant area. The hotel is in a great location for the West End shops and theatre district and is also a short walk from the bustle of Covent Garden and Leicester Square. Will definitely put the Bloomsbury Street at the top of our list for the next trip to London!	
Sep 8 2009 	Excellent Hotel	We stayed at this hotel in august and found it to be superb. The entrance/reception area is very impressive. The room we had was large and very plush with a huge 40inch tv and big comfy bed.The staff were very helpful and friendly.The only downside was the bar prices. The hotel has a stunning bar area with huge plush sofas and lots of black marble and it would be a lovely place to have a drink before going up to bed but the prices were stupid. We had two brandies and one coffee and the brandies, which were just one pub measure of brandy, were £10 each!! this is way overpriced and just annoyed us. Hence this lovely bar was always empty!	
Sep 6 2009	FANTASTIC!!!!!	My mother-in-law and i stayed here for one night as a birthday celebration to see a show at a theatre - we were really impressed with the decor as we entered the hotel as it looked very luxurious with the lovely ornaments and the clean spacious areas. our room was not ready so we had a drink in the bar area while we waited. the staff were very friendly and the tableware was gorgeous with free snacks. all be it a little expensive at £3.50 for a cup of tea! our room was fantastic with all the amenities you could wish for, ironing board and iron, flat screen tv,lovely walk in shower and very clean and spacious. on our departure,the lift was broken so one of the staff carried our bags down the stairs for us! we were able to leave our bags in their 'lobby' until it was ready for us to travel home.the staff were very helpful and flagged down a taxi for us.we really enjoyed our stay here - would highly recommend this hotel and may return very soon. Thank you.	
Sep 6 2009 	Excelent stay for a city hotel providing a theatre break really relaxing and made to feel very welcome	this hotel provided my wife and I, a perfect theatre weekend, an hotel which is close to all the theatres. Rooms were very modern with all amenities.Staff was very friendly and helpful.I have no hesitation in recommending this hotel and will definately return again	
Sep 4 2009 	Fantastic hotel	We staid in the Radisson for 1 night as we went to the theatre. We could not fault the hotel and the staff were great as well, very friendly and helpful. It is in an excellent location for the theatre and very close to a tube station. We would recommend a stay there. A++++	
